sequence,v115@FhB8BeB8DeB8CeH8AeH8Jem6IvhFfhB0cBxdBTfBSn?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeO/IvhF8fBfhB6hBxdBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jei6IvhFGcBxdB3fBUhBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeK/IvhFzaBfhBxdBGiB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jey/IvhFfhBxdBGiBTfB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Je2/IvhFShBxdBTiB3fBUh?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfB3hBTfBUi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfBUiBTfB3h?BlpB
TSLZIJO,O,O,O,O,O,X,O,O
TSLZIOJ,O,O,O,O,X,X,X,X
TSLZJIO,O,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,O,X,X,X,X
TSLZOJI,O,O,O,O,X,X,X,X
TSLOIJZ,O,O,O,O,O,O,O,X
TSLOIZJ,O,O,O,O,X,X,X,X
TSLOJIZ,O,O,O,O,O,O,O,X
TSLOJZI,O,O,O,O,O,O,X,X
TSLOZIJ,O,O,O,O,X,X,X,X
TSLOZJI,O,O,O,O,X,X,X,X
TSJILZO,O,O,O,O,O,X,O,X
TSJILOZ,O,X,O,O,O,X,O,X
TSJIZLO,O,O,O,O,O,X,O,X
TSJIZOL,O,O,O,X,X,X,X,X
TSJIOLZ,O,X,O,O,O,O,O,X
TSJIOZL,O,X,O,X,X,X,X,X
TSJLIZO,O,O,O,O,O,X,O,X
TSJLIOZ,O,X,O,O,O,X,O,X
TSJLZIO,O,O,O,O,O,X,O,X
TSJLZOI,O,O,O,O,O,X,X,X
TSJLOIZ,O,O,O,O,O,O,O,X
TSJLOZI,O,O,O,O,O,O,X,X
TSJZILO,O,O,O,O,O,X,O,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,O,X,O,X
TSJZLOI,O,O,O,O,O,X,X,X
TSJZOIL,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X,X
TSJOILZ,O,O,O,O,O,O,O,X
TSJOIZL,O,O,O,X,X,X,X,X
TSJOLIZ,O,O,O,O,O,O,O,X
TSJOLZI,O,O,O,O,O,O,X,X
TSJOZIL,O,O,O,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X
TSZILJO,O,O,O,O,O,X,O,O
TSZILOJ,O,O,O,O,X,X,X,X
TSZIJLO,O,O,O,O,O,X,O,O
TSZIJOL,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,O,X,O,O
TSZLIOJ,O,O,O,O,X,X,X,X
TSZLJIO,O,O,O,O,O,X,O,X
TSZLJOI,O,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,O,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X
TSZJILO,O,O,O,O,O,X,O,X
TSZJIOL,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,O,O,X,O,X
TSZJLOI,O,O,O,O,O,X,X,X
TSZJOIL,O,O,O,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X
