sequence,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhF3cBGeB?TgBliBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFzcBGeB?igB3iBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBcmBOnBqsB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFfiBTeB?igB+nBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBGiBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFFdBTgB?OmBCjBUnBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFyhBWjB?xlBTnBFmBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeaAJvhFzbBRdB?GiBFmB/sBctB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFylBWnB?xnBFmBTnBXtB
TZISOLJ,X,O,O,X,X,X,X,X,X
TZISOJL,X,O,O,X,X,X,X,X,X
TZIOLJS,X,O,O,O,X,X,O,X,X
TZIOLSJ,X,O,O,X,X,X,X,X,X
TZIOJLS,X,O,O,O,X,X,O,X,X
TZIOJSL,X,O,O,X,X,X,X,X,X
TZIOSLJ,X,O,O,X,X,X,X,X,X
TZIOSJL,X,O,O,X,X,X,X,X,X
TZLIJSO,X,O,O,O,X,X,X,X,O
TZLIJOS,X,O,O,O,X,X,X,X,O
TZLISJO,X,O,O,O,X,X,X,X,X
TZLISOJ,X,O,O,X,X,X,X,X,X
TZLIOJS,X,O,O,O,X,X,X,X,X
TZLIOSJ,X,O,O,X,X,X,X,X,X
TZLJISO,X,O,O,O,X,X,X,X,O
TZLJIOS,X,O,O,O,O,O,X,X,O
TZLJSIO,X,O,O,O,X,X,X,X,X
TZLJSOI,X,O,O,O,X,O,X,X,X
TZLJOIS,X,O,O,O,O,O,X,X,X
TZLJOSI,X,O,O,O,X,O,X,X,X
TZLSIJO,X,O,O,O,X,X,X,X,X
TZLSIOJ,X,O,O,X,X,X,X,X,X
TZLSJIO,X,O,O,O,X,X,X,O,X
TZLSJOI,X,O,O,O,X,X,X,O,X
TZLSOIJ,X,O,O,X,X,X,X,X,X
TZLSOJI,X,O,O,X,X,X,X,O,X
TZLOIJS,X,O,O,O,X,X,X,X,X
TZLOISJ,X,O,O,X,X,X,X,X,X
TZLOJIS,X,O,O,O,O,O,X,X,X
TZLOJSI,X,O,O,O,X,O,X,X,X
TZLOSIJ,X,O,O,X,X,X,X,X,X
TZLOSJI,X,O,O,X,X,X,X,O,X
TZJILSO,X,O,X,O,X,X,X,X,O
TZJILOS,X,O,O,O,X,O,X,X,O
TZJISLO,X,O,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X,X
TZJIOLS,X,O,O,O,X,O,X,X,X
TZJIOSL,X,O,O,X,X,O,X,X,X
TZJLISO,X,O,O,O,X,X,X,X,O
TZJLIOS,X,O,O,O,X,O,X,X,O
TZJLSIO,X,O,O,O,X,X,X,X,X
TZJLSOI,X,O,O,O,X,O,X,X,X
TZJLOIS,X,O,O,O,X,O,X,X,X
TZJLOSI,X,O,O,O,X,O,X,X,X
TZJSILO,X,O,X,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X,X
TZJSLIO,X,O,X,O,X,X,X,X,X
TZJSLOI,X,O,X,O,X,O,X,X,X
TZJSOIL,O,O,X,X,X,O,X,X,X
TZJSOLI,O,O,X,O,X,O,X,X,X
TZJOILS,X,O,O,O,X,O,X,X,X
TZJOISL,O,O,O,X,X,O,X,X,X
TZJOLIS,O,O,O,O,X,O,X,X,X
TZJOLSI,O,O,O,O,X,O,X,X,X
TZJOSIL,O,O,X,X,X,O,X,X,X
TZJOSLI,O,O,X,O,X,O,X,X,X
TZSILJO,X,O,O,X,X,X,X,X,X
TZSILOJ,X,O,O,X,O,X,X,X,X
TZSIJLO,X,O,O,X,X,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X,X
TZSIOLJ,X,O,O,X,O,X,X,X,X
TZSIOJL,X,O,O,X,X,X,X,X,X
TZSLIJO,X,O,O,O,X,X,X,X,X
TZSLIOJ,X,O,O,X,O,X,X,X,X
TZSLJIO,X,O,O,O,O,X,X,O,X
TZSLJOI,X,O,O,O,O,X,X,O,X
TZSLOIJ,X,O,O,X,O,X,X,X,X
TZSLOJI,X,O,O,X,O,X,X,O,X
TZSJILO,X,O,O,X,X,X,X,X,X
TZSJIOL,O,O,O,X,X,X,X,X,X
TZSJLIO,X,O,O,O,X,X,X,O,X
TZSJLOI,X,O,O,O,X,X,X,O,X
TZSJOIL,O,O,O,X,X,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,O,X
TZSOILJ,X,O,O,X,O,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X,X
TZSOLIJ,X,O,O,X,O,X,X,X,X
TZSOLJI,X,O,O,X,O,X,X,O,X
TZSOJIL,O,O,O,X,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,O,X
TZOILJS,X,O,O,O,X,X,O,X,X
TZOILSJ,X,O,O,X,X,X,X,X,X
TZOIJLS,X,O,O,O,X,X,O,X,X
TZOIJSL,O,O,O,X,X,X,X,X,X
TZOISLJ,X,O,O,X,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X,X
TZOLIJS,O,O,O,O,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X,X
TZOLJIS,O,O,O,O,O,O,O,X,X
TZOLJSI,O,O,O,O,X,O,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,O,X
TZOJILS,X,O,O,O,X,O,O,X,X
TZOJISL,O,O,O,X,X,O,X,X,X
TZOJLIS,O,O,O,O,X,O,O,X,X
TZOJLSI,O,O,O,O,X,O,X,X,X
TZOJSIL,O,O,X,X,X,O,X,X,X
TZOJSLI,O,O,X,O,X,O,X,X,X
TZOSILJ,X,O,O,X,O,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X,X
TZOSLIJ,X,O,O,X,O,X,X,X,X
TZOSLJI,X,O,O,X,O,X,X,O,X
TZOSJIL,O,O,O,X,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,O,X
TOILJSZ,O,O,O,O,O,X,X,X,X
TOILJZS,O,O,O,O,O,X,O,X,X
TOILSJZ,O,O,O,O,X,X,X,O,X
TOILSZJ,O,O,O,X,X,X,X,X,X
TOILZJS,O,O,O,O,X,X,O,X,X
TOILZSJ,O,O,O,X,X,X,X,X,X
TOIJLSZ,O,O,X,O,X,X,X,X,X
TOIJLZS,O,O,X,O,X,X,O,X,X
TOIJSLZ,O,O,X,O,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X,X
TOIJZLS,X,O,X,O,X,O,O,X,X
TOIJZSL,O,O,X,X,X,O,X,X,X
TOISLJZ,O,O,O,O,O,X,X,O,X
TOISLZJ,X,O,O,X,O,X,X,X,X
TOISJLZ,O,O,X,O,O,X,X,O,X
TOISJZL,O,O,X,X,X,X,X,X,X
TOISZLJ,X,X,O,X,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X,X
TOIZLJS,X,O,O,O,X,X,O,X,X
TOIZLSJ,X,O,O,X,X,X,X,X,X
TOIZJLS,X,O,O,O,X,X,O,X,X
TOIZJSL,O,O,O,X,X,X,X,X,X
TOIZSLJ,X,O,O,X,X,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,O,O,X,X,X,X
TOLIJZS,O,O,O,O,O,X,O,X,X
TOLISJZ,O,O,O,O,X,X,X,O,X
TOLISZJ,O,O,O,X,X,X,X,X,X
TOLIZJS,O,O,O,O,X,X,O,X,X
TOLIZSJ,O,O,O,X,X,X,X,X,X
TOLJISZ,O,O,O,O,O,X,X,X,X
TOLJIZS,O,O,O,O,O,X,O,X,X
TOLJSIZ,O,O,O,O,O,X,X,O,X
TOLJSZI,O,O,O,O,O,X,X,O,X
TOLJZIS,O,O,O,O,O,X,O,X,X
TOLJZSI,O,O,O,O,X,X,X,X,X
TOLSIJZ,O,O,O,O,O,X,X,O,X
TOLSIZJ,O,O,O,X,O,X,X,X,X
TOLSJIZ,O,O,O,O,O,X,X,O,X
TOLSJZI,O,O,O,O,O,X,X,O,X
TOLSZIJ,O,O,O,X,O,X,X,X,X
TOLSZJI,O,O,O,X,O,X,X,O,X
TOLZIJS,O,O,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X,X,X
TOLZJIS,O,O,O,O,O,X,O,X,X
TOLZJSI,O,O,O,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X,O,X
TOJILSZ,O,O,X,O,X,X,X,X,X
TOJILZS,O,O,X,O,X,X,O,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X,X
TOJIZLS,X,O,X,O,X,O,O,X,X
TOJIZSL,O,O,X,X,X,O,X,X,X
TOJLISZ,O,O,O,O,O,X,X,X,X
TOJLIZS,O,O,O,O,O,X,O,X,X
TOJLSIZ,O,O,O,O,O,X,X,O,X
TOJLSZI,O,O,O,O,X,X,X,O,X
TOJLZIS,O,O,O,O,O,X,O,X,X
TOJLZSI,O,O,O,O,X,X,X,X,X
TOJSILZ,O,O,X,O,O,X,X,O,X
TOJSIZL,O,O,X,X,X,X,X,X,X
TOJSLIZ,O,O,O,O,O,X,X,O,X
TOJSLZI,O,O,O,O,O,X,X,O,X
TOJSZIL,O,O,O,X,X,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,O,X
TOJZILS,X,O,O,O,X,O,O,X,X
TOJZISL,O,O,O,X,X,O,X,X,X
TOJZLIS,O,O,O,O,X,O,O,X,X
TOJZLSI,O,O,O,O,X,O,X,X,X
TOJZSIL,O,O,X,X,X,O,X,X,X
TOJZSLI,O,O,X,O,X,O,X,X,X
TOSILJZ,O,O,O,O,O,X,X,O,X
TOSILZJ,X,O,O,X,O,X,X,X,X
TOSIJLZ,O,O,X,O,O,X,X,O,X
TOSIJZL,O,O,X,X,X,X,X,X,X
TOSIZLJ,X,X,O,X,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,O,O,X,X,O,X
TOSLIZJ,O,O,O,X,O,X,X,X,X
TOSLJIZ,O,O,O,O,O,X,X,O,X
TOSLJZI,O,O,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,X,O,X,X,X,X
TOSLZJI,O,O,O,X,O,X,X,O,X
TOSJILZ,O,O,X,O,O,X,X,O,X
TOSJIZL,O,O,X,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,X,X,O,X
TOSJLZI,O,O,O,O,O,X,X,O,X
TOSJZIL,O,O,O,X,X,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,O,X
TOSZILJ,X,X,O,X,O,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X,X
TOSZLIJ,X,O,O,X,O,X,X,X,X
TOSZLJI,X,O,O,X,O,X,X,O,X
TOSZJIL,O,O,O,X,X,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X,O,X
TOZILJS,X,O,O,O,X,X,O,X,X
TOZILSJ,X,O,O,X,X,X,X,X,X
TOZIJLS,X,O,O,O,X,X,O,X,X
TOZIJSL,O,O,O,X,X,X,X,X,X
TOZISLJ,X,O,O,X,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X,X
TOZLIJS,O,O,O,O,X,X,X,X,X
TOZLISJ,O,O,O,X,X,X,X,X,X
TOZLJIS,O,O,O,O,O,O,O,X,X
TOZLJSI,O,O,O,O,X,O,X,X,X
TOZLSIJ,O,O,O,X,X,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X,O,X
TOZJILS,X,O,O,O,X,O,O,X,X
TOZJISL,O,O,O,X,X,O,X,X,X
TOZJLIS,O,O,O,O,X,O,O,X,X
TOZJLSI,O,O,O,O,X,O,X,X,X
TOZJSIL,O,O,X,X,X,O,X,X,X
TOZJSLI,O,O,X,O,X,O,X,X,X
TOZSILJ,X,O,O,X,O,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X,X
TOZSLIJ,X,O,O,X,O,X,X,X,X
TOZSLJI,X,O,O,X,O,X,X,O,X
TOZSJIL,O,O,O,X,X,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X,O,X
ITLJSZO,O,O,O,O,X,X,X,X,X
ITLJSOZ,O,O,O,O,O,X,X,X,X
ITLJZSO,O,O,O,O,X,X,X,X,O
ITLJZOS,X,O,O,O,O,X,X,X,O
ITLJOSZ,O,O,O,O,O,X,X,X,X
ITLJOZS,X,O,O,O,O,X,X,X,X
ITLSJZO,O,O,O,O,X,X,X,O,X
ITLSJOZ,O,O,O,O,X,X,X,O,X
ITLSZJO,O,O,O,O,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X,X
ITLSOJZ,O,O,O,O,X,X,X,O,X
ITLSOZJ,X,O,O,X,X,X,X,X,X
ITLZJSO,O,O,O,O,X,X,X,X,O
ITLZJOS,X,O,O,O,X,X,X,X,O
ITLZSJO,O,O,X,O,X,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,X,X
ITLZOJS,X,O,O,O,X,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,X,X
ITLOJSZ,O,O,O,O,O,X,X,X,X
ITLOJZS,X,O,O,O,O,X,X,X,X
ITLOSJZ,O,O,O,O,X,X,X,O,X
ITLOSZJ,X,O,O,X,X,X,X,X,X
ITLOZJS,X,O,O,O,X,X,X,X,X
ITLOZSJ,X,O,O,X,X,X,X,X,X
ITJLSZO,O,O,X,O,X,X,X,X,X
ITJLSOZ,O,O,X,O,X,X,X,X,X
ITJLZSO,O,O,X,O,X,X,X,X,O
ITJLZOS,X,O,X,O,X,X,X,X,O
ITJLOSZ,O,O,X,O,X,X,X,X,X
ITJLOZS,X,O,X,O,X,X,X,X,X
ITJSLZO,X,O,X,O,X,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,O,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X,X
ITJZLSO,X,O,X,O,X,X,X,X,O
ITJZLOS,X,O,X,O,X,X,X,X,O
ITJZSLO,X,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X,X
ITJZOLS,X,O,X,O,X,X,X,X,X
ITJZOSL,X,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,O,X,X,X,X,X
ITJOLZS,O,O,X,O,X,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X,X
ITJOZLS,X,O,X,O,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X,X
ITSLJZO,X,O,O,O,O,X,X,O,X
ITSLJOZ,O,O,O,O,O,X,X,O,X
ITSLZJO,X,O,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,X,O,X,X,X,X
ITSLOJZ,X,O,O,O,O,X,X,O,X
ITSLOZJ,X,O,O,X,O,X,X,X,X
ITSJLZO,X,O,X,O,X,X,X,O,X
ITSJLOZ,O,O,X,O,O,X,X,O,X
ITSJZLO,X,O,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X,X
ITSJOLZ,O,O,X,O,O,X,X,O,X
ITSJOZL,O,O,X,X,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,O,X,X,X,X
ITSZJLO,X,O,O,X,X,X,X,X,X
ITSZJOL,O,O,O,X,X,X,X,X,X
ITSZOLJ,X,O,O,X,O,X,X,X,X
ITSZOJL,X,O,O,X,X,X,X,X,X
ITSOLJZ,O,O,O,O,O,X,X,O,X
ITSOLZJ,X,O,O,X,O,X,X,X,X
ITSOJLZ,O,O,X,O,O,X,X,O,X
ITSOJZL,O,O,X,X,X,X,X,X,X
ITSOZLJ,X,X,O,X,O,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X,X
ITZLJSO,X,O,O,O,X,X,X,X,O
ITZLJOS,X,O,O,O,X,X,X,X,O
ITZLSJO,X,O,X,O,X,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X,X,X
ITZLOJS,X,O,O,O,X,X,X,X,X
ITZLOSJ,X,O,O,X,X,X,X,X,X
ITZJLSO,X,O,X,O,X,X,X,X,O
ITZJLOS,X,O,O,O,X,X,X,X,O
ITZJSLO,X,O,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X
ITZJOLS,X,O,O,O,X,X,X,X,X
ITZJOSL,X,O,O,X,X,X,X,X,X
ITZSLJO,X,O,X,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X,X,X
ITZSJLO,X,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X,X
ITZOLJS,X,O,O,O,X,X,O,X,X
ITZOLSJ,X,O,O,X,X,X,X,X,X
ITZOJLS,X,O,O,O,X,X,O,X,X
ITZOJSL,X,O,O,X,X,X,X,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X
ITZOSJL,X,O,O,X,X,X,X,X,X
ITOLJSZ,O,O,O,O,O,X,X,X,X
ITOLJZS,O,O,O,O,O,X,O,X,X
ITOLSJZ,O,O,O,O,X,X,X,O,X
ITOLSZJ,O,O,O,X,X,X,X,X,X
ITOLZJS,O,O,O,O,X,X,O,X,X
ITOLZSJ,O,O,O,X,X,X,X,X,X
ITOJLSZ,O,O,X,O,X,X,X,X,X
ITOJLZS,O,O,X,O,X,X,O,X,X
ITOJSLZ,O,O,X,O,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X,X
ITOJZLS,X,O,X,O,X,O,O,X,X
ITOJZSL,O,O,X,X,X,O,X,X,X
ITOSLJZ,O,O,O,O,O,X,X,O,X
ITOSLZJ,X,O,O,X,O,X,X,X,X
ITOSJLZ,O,O,X,O,O,X,X,O,X
ITOSJZL,O,O,X,X,X,X,X,X,X
ITOSZLJ,X,X,O,X,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X,X
ITOZLJS,X,O,O,O,X,X,O,X,X
ITOZLSJ,X,O,O,X,X,X,X,X,X
ITOZJLS,X,O,O,O,X,X,O,X,X
ITOZJSL,O,O,O,X,X,X,X,X,X
ITOZSLJ,X,O,O,X,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X,X,X
ILTJSOZ,O,O,O,O,O,X,X,X,X
ILTJZSO,O,O,O,O,X,X,X,X,O
ILTJZOS,X,O,O,O,O,X,X,X,O
ILTJOSZ,O,O,O,O,O,X,X,X,X
ILTJOZS,O,O,O,O,O,X,X,X,X
ILTSJZO,O,O,O,O,X,X,X,O,X
ILTSJOZ,O,O,O,O,X,X,X,O,X
ILTSZJO,O,O,O,O,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X,X,X
ILTSOJZ,O,O,O,O,X,X,X,O,X
ILTSOZJ,O,O,O,X,X,X,X,X,X
ILTZJSO,O,O,O,O,X,X,X,X,O
ILTZJOS,X,O,O,O,X,X,X,X,O
ILTZSJO,O,O,X,O,X,X,X,X,X
ILTZSOJ,X,O,O,X,X,X,X,X,X
ILTZOJS,X,O,O,O,X,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X,X,X
ILTOJSZ,O,O,O,O,O,X,X,X,X
ILTOJZS,O,O,O,O,O,X,X,X,X
ILTOSJZ,O,O,O,O,X,X,X,O,X
ILTOSZJ,O,O,O,X,X,X,X,X,X
ILTOZJS,O,O,O,O,X,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,X,X
ILJTSZO,O,O,O,O,O,X,X,X,X
ILJTSOZ,O,O,O,O,O,X,X,X,X
ILJTZSO,O,O,O,O,X,X,X,X,O
ILJTZOS,X,O,O,O,O,X,X,X,O
ILJTOSZ,O,O,O,O,O,X,X,X,X
ILJTOZS,O,O,O,O,O,X,X,X,X
ILJSTZO,O,O,O,O,O,X,X,X,X
ILJSTOZ,O,O,O,O,O,X,X,X,X
ILJSZTO,O,X,O,X,O,X,X,X,O
ILJSZOT,O,O,O,X,O,X,X,X,O
ILJSOTZ,O,O,O,O,O,X,X,X,X
ILJSOZT,O,O,O,X,O,X,X,X,X
ILJZTSO,O,X,O,O,X,X,X,X,O
ILJZTOS,X,X,O,O,O,X,X,X,O
ILJZSTO,O,X,O,X,O,X,X,X,O
ILJZSOT,O,O,O,X,O,X,X,X,O
ILJZOTS,X,X,O,O,O,X,X,X,O
ILJZOST,X,X,O,X,O,X,X,X,O
ILJOTSZ,O,X,O,O,O,X,X,X,X
ILJOTZS,O,X,O,O,O,X,X,X,X
ILJOSTZ,O,O,O,O,O,X,X,X,X
ILJOSZT,O,O,O,X,O,X,X,X,X
ILJOZTS,O,X,O,O,O,X,X,X,O
ILJOZST,O,X,O,X,O,X,X,X,O
ILSTJZO,O,O,O,X,O,X,X,O,X
ILSTJOZ,O,O,O,X,O,X,X,O,X
ILSTZJO,O,O,O,X,X,X,X,X,X
ILSTZOJ,X,O,O,X,O,X,X,X,X
ILSTOJZ,O,O,O,X,O,X,X,O,X
ILSTOZJ,O,O,O,X,O,X,X,X,X
ILSJTZO,O,O,O,O,O,X,X,O,X
ILSJTOZ,O,O,O,O,O,X,X,O,X
ILSJZTO,O,X,X,X,O,X,X,X,O
ILSJZOT,O,O,X,X,O,X,X,X,O
ILSJOTZ,O,O,O,O,O,X,X,X,X
ILSJOZT,O,O,X,X,O,X,X,X,X
ILSZTJO,O,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,O,X,X,X,X
ILSZJTO,O,X,X,X,X,X,X,X,O
ILSZJOT,O,O,X,X,X,X,X,X,O
ILSZOTJ,X,X,X,X,O,X,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,O,X,X,X,X
ILSOTZJ,O,X,O,X,O,X,X,X,X
ILSOJTZ,O,O,O,O,O,X,X,X,X
ILSOJZT,O,O,X,X,O,X,X,X,X
ILSOZTJ,O,X,X,X,O,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X,X
ILZTJSO,O,X,O,X,X,X,X,X,O
ILZTJOS,X,X,O,X,X,X,X,X,O
ILZTSJO,O,X,O,X,X,X,X,X,X
ILZTSOJ,X,X,O,X,X,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X,X,X
ILZTOSJ,X,X,O,X,X,X,X,X,X
ILZJTSO,O,X,O,O,X,X,X,X,O
ILZJTOS,X,X,O,O,X,X,X,X,O
ILZJSTO,O,X,O,X,X,X,X,X,O
ILZJSOT,O,O,O,X,X,X,X,X,O
ILZJOTS,X,X,O,O,X,X,X,X,O
ILZJOST,X,X,O,X,X,X,X,X,O
ILZSTJO,O,X,O,X,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X,X,X
ILZSJTO,O,X,O,X,X,X,X,X,O
ILZSJOT,O,O,O,X,X,X,X,X,O
ILZSOTJ,X,X,O,X,X,X,X,X,X
ILZSOJT,X,O,O,X,X,X,X,X,X
ILZOTJS,X,X,O,X,X,X,O,X,X
ILZOTSJ,X,X,O,X,X,X,X,X,X
ILZOJTS,X,X,O,O,X,X,O,X,O
ILZOJST,X,X,O,X,X,X,O,X,O
ILZOSTJ,X,X,O,X,X,X,X,X,X
ILZOSJT,X,X,O,X,X,X,O,X,X
ILOTJSZ,O,X,O,O,O,X,X,X,X
ILOTJZS,O,X,O,O,O,X,O,X,X
ILOTSJZ,O,X,O,O,X,X,X,X,X
ILOTSZJ,O,X,O,X,X,X,X,X,X
ILOTZJS,O,X,O,O,X,X,O,X,X
ILOTZSJ,O,X,O,X,X,X,X,X,X
ILOJTSZ,O,X,O,O,O,X,X,X,X
ILOJTZS,O,X,O,O,O,X,O,X,X
ILOJSTZ,O,O,O,O,O,X,X,X,X
ILOJSZT,O,O,O,X,O,X,O,X,X
ILOJZTS,O,X,O,O,O,O,O,X,O
ILOJZST,O,X,O,X,O,O,O,X,O
ILOSTJZ,O,O,O,X,O,X,X,X,X
ILOSTZJ,O,X,O,X,O,X,X,X,X
ILOSJTZ,O,O,O,O,O,X,X,X,X
ILOSJZT,O,O,X,X,O,X,O,X,X
ILOSZTJ,O,X,X,X,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X,O,X,X
ILOZTJS,O,X,O,X,X,X,O,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,X
ILOZJTS,O,X,O,O,X,X,O,X,O
ILOZJST,O,X,O,X,X,X,O,X,O
ILOZSTJ,O,X,O,X,X,X,X,X,X
ILOZSJT,O,X,O,X,X,X,O,X,X
IJTLSZO,O,O,X,O,X,X,X,X,X
IJTLSOZ,O,O,X,O,X,X,X,X,X
IJTLZSO,O,O,X,O,X,X,X,X,O
IJTLZOS,X,O,X,O,X,X,X,X,O
IJTLOSZ,O,O,X,O,X,X,X,X,X
IJTLOZS,X,O,X,O,X,X,X,X,X
IJTSLZO,X,O,X,O,X,X,X,X,X
IJTSLOZ,O,O,X,O,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,O,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X
IJTZLSO,X,O,X,O,X,X,X,X,O
IJTZLOS,X,O,X,O,X,X,X,X,O
IJTZSLO,X,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X,X
IJTZOLS,X,O,X,O,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X,X,X,X
IJTOLSZ,O,O,X,O,X,X,X,X,X
IJTOLZS,O,O,X,O,X,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X,X
IJTOZLS,X,O,X,O,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X
IJLTSZO,O,O,X,O,X,X,X,X,X
IJLTSOZ,O,O,X,O,X,X,X,X,X
IJLTZSO,O,O,X,O,X,X,X,X,O
IJLTZOS,X,O,X,O,X,X,X,X,O
IJLTOSZ,O,O,X,O,X,X,X,X,X
IJLTOZS,O,O,X,O,X,X,X,X,X
IJLSTZO,O,O,X,O,X,X,X,X,X
IJLSTOZ,O,O,X,O,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X,X,X,O
IJLSZOT,O,O,X,X,X,X,X,X,O
IJLSOTZ,O,O,X,O,X,X,X,X,X
IJLSOZT,O,O,X,X,X,X,X,X,X
IJLZTSO,O,X,X,O,X,X,X,X,O
IJLZTOS,X,X,X,O,X,X,X,X,O
IJLZSTO,O,X,X,X,X,X,X,X,O
IJLZSOT,O,O,X,X,X,X,X,X,O
IJLZOTS,X,X,X,O,X,X,X,X,O
IJLZOST,X,X,X,X,X,X,X,X,O
IJLOTSZ,O,X,X,O,X,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X
IJLOSTZ,O,O,X,O,X,X,X,X,X
IJLOSZT,O,O,X,X,X,X,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X,O
IJLOZST,O,X,X,X,X,X,X,X,O
IJSTLZO,X,O,X,O,X,X,X,X,X
IJSTLOZ,O,O,X,O,X,X,X,X,X
