sequence,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFukB3gBzhBtnByq?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFqkBTgBmhBtnBXm?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBzhBtnBXl?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFukB3gBtmB0iByq?BTsB,v115@FhB8IeA8HeB8AeE8BeB8JeT/IvhF/lBRhBtnB2rBip?BUsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBtmB0iBXl?BTsB,v115@FhB8IeA8HeB8AeE8BeB8JeZEJvhFCgBemBtnBXlBzm?BUsB
TOILSJZ,O,O,X,O,X,X,O
TOILSZJ,O,O,X,O,X,X,O
TOILZJS,O,X,X,O,X,O,X
TOILZSJ,O,O,X,O,X,X,X
TOIJLSZ,O,X,X,O,X,O,O
TOIJLZS,O,X,X,O,X,O,X
TOIJSLZ,X,X,O,O,X,O,O
TOIJSZL,X,X,O,O,X,O,O
TOIJZLS,X,X,O,O,X,O,X
TOIJZSL,X,X,O,O,X,O,O
TOISLJZ,X,O,O,O,X,O,O
TOISLZJ,X,O,X,O,X,X,O
TOISJLZ,X,O,O,O,X,O,O
TOISJZL,X,X,O,O,X,O,O
TOISZLJ,X,X,X,O,X,X,O
TOISZJL,X,X,X,O,X,O,O
TOIZLJS,X,X,X,O,X,O,X
TOIZLSJ,X,X,X,O,X,X,X
TOIZJLS,X,X,X,O,X,O,X
TOIZJSL,X,X,X,O,X,O,O
TOIZSLJ,X,X,X,O,X,X,O
TOIZSJL,X,X,X,O,X,O,O
TOLIJSZ,O,O,X,O,O,O,O
TOLIJZS,O,X,X,O,X,O,X
TOLISJZ,O,O,X,O,O,X,O
TOLISZJ,O,O,X,O,O,X,O
TOLIZJS,O,X,X,O,X,O,X
TOLIZSJ,O,O,X,O,X,X,X
TOLJISZ,O,O,X,O,O,O,O
TOLJIZS,O,X,X,O,X,O,X
TOLJSIZ,O,O,X,O,O,O,O
TOLJSZI,O,O,X,O,O,O,O
TOLJZIS,O,X,X,O,X,O,X
TOLJZSI,O,X,X,O,O,O,X
TOLSIJZ,O,O,X,O,O,X,O
TOLSIZJ,O,O,X,O,O,X,O
TOLSJIZ,O,O,X,O,O,X,O
TOLSJZI,O,O,X,O,O,X,O
TOLSZIJ,O,O,X,O,O,X,O
TOLSZJI,O,O,X,O,O,X,O
TOLZIJS,O,X,X,O,X,O,X
TOLZISJ,O,O,X,O,X,X,X
TOLZJIS,O,X,X,O,X,O,X
TOLZJSI,O,X,X,O,O,O,X
TOLZSIJ,O,O,X,O,O,X,X
TOLZSJI,O,O,X,O,O,X,X
TOJILSZ,O,X,X,O,X,O,O
TOJILZS,O,X,X,O,X,O,X
TOJISLZ,X,X,O,O,O,O,O
TOJISZL,X,X,O,O,X,O,O
TOJIZLS,X,X,O,O,X,O,X
TOJIZSL,X,X,O,O,X,O,O
TOJLISZ,O,X,X,O,O,O,O
TOJLIZS,O,X,X,O,X,O,X
TOJLSIZ,O,X,X,O,O,O,O
TOJLSZI,O,X,X,O,O,O,O
TOJLZIS,O,X,X,O,X,O,X
TOJLZSI,O,X,X,O,O,O,X
TOJSILZ,X,X,O,O,O,O,O
TOJSIZL,X,X,O,O,X,O,O
TOJSLIZ,X,X,O,O,O,O,O
TOJSLZI,X,X,O,O,O,O,O
TOJSZIL,X,X,O,O,X,O,O
TOJSZLI,X,X,O,O,X,O,O
TOJZILS,X,X,O,O,X,O,X
TOJZISL,X,X,O,O,X,O,O
TOJZLIS,X,X,O,O,X,O,X
TOJZLSI,X,X,O,O,X,O,X
TOJZSIL,X,X,O,O,X,O,O
TOJZSLI,X,X,O,O,X,O,O
TOSILJZ,X,O,O,O,O,O,O
TOSILZJ,X,O,X,O,O,X,O
TOSIJLZ,X,O,O,O,X,O,O
TOSIJZL,X,X,O,O,X,O,O
TOSIZLJ,X,X,X,O,X,X,O
TOSIZJL,X,X,X,O,X,O,O
TOSLIJZ,X,O,O,O,O,O,O
TOSLIZJ,X,O,X,O,O,X,O
TOSLJIZ,X,O,O,O,O,O,O
TOSLJZI,X,O,O,O,O,O,O
TOSLZIJ,X,O,X,O,O,X,O
TOSLZJI,X,O,X,O,O,X,O
TOSJILZ,X,O,O,O,O,O,O
TOSJIZL,X,X,O,O,X,O,O
TOSJLIZ,X,O,O,O,O,O,O
TOSJLZI,X,O,O,O,O,O,O
TOSJZIL,X,X,O,O,X,O,O
TOSJZLI,X,O,O,O,X,O,O
TOSZILJ,X,X,X,O,X,X,O
TOSZIJL,X,X,X,O,X,O,O
TOSZLIJ,X,O,X,O,X,X,O
TOSZLJI,X,O,X,O,X,X,O
TOSZJIL,X,X,X,O,X,O,O
TOSZJLI,X,O,X,O,X,O,O
TOZILJS,X,X,X,O,X,O,X
TOZILSJ,X,X,X,O,X,X,X
TOZIJLS,X,X,X,O,X,O,X
TOZIJSL,X,X,X,O,X,O,O
TOZISLJ,X,X,X,O,X,X,O
TOZISJL,X,X,X,O,X,O,O
TOZLIJS,X,X,X,O,X,O,X
TOZLISJ,X,X,X,O,X,X,X
TOZLJIS,X,X,X,O,X,O,X
TOZLJSI,X,X,X,O,X,O,X
TOZLSIJ,X,X,X,O,X,X,X
TOZLSJI,X,X,X,O,X,X,X
TOZJILS,X,X,X,O,X,O,X
TOZJISL,X,X,X,O,X,O,O
TOZJLIS,X,X,X,O,X,O,X
TOZJLSI,X,X,X,O,X,O,X
TOZJSIL,X,X,X,O,X,O,O
TOZJSLI,X,X,X,O,X,O,O
TOZSILJ,X,X,X,O,X,X,O
TOZSIJL,X,X,X,O,X,O,O
TOZSLIJ,X,X,X,O,X,X,O
TOZSLJI,X,X,X,O,X,X,O
TOZSJIL,X,X,X,O,X,O,O
TOZSJLI,X,X,X,O,X,O,O
ITLJSZO,O,O,O,O,O,O,O
ITLJSOZ,O,O,O,O,O,O,O
ITLJZSO,O,X,O,O,X,O,X
ITLJZOS,O,X,O,O,X,X,X
ITLJOSZ,O,O,X,O,O,X,O
ITLJOZS,O,X,X,O,X,X,X
ITLSJZO,O,O,O,O,O,X,O
ITLSJOZ,O,O,O,O,O,X,O
ITLSZJO,O,O,O,O,X,X,O
ITLSZOJ,O,O,X,O,O,X,O
ITLSOJZ,O,O,O,O,O,X,O
ITLSOZJ,O,O,X,O,O,X,O
ITLZJSO,O,O,X,O,X,O,X
ITLZJOS,O,O,X,O,X,X,X
ITLZSJO,O,O,X,O,X,X,X
ITLZSOJ,O,O,X,O,X,X,X
ITLZOJS,O,O,X,O,X,X,X
ITLZOSJ,O,O,X,O,X,X,X
ITLOJSZ,O,O,X,O,O,X,O
ITLOJZS,O,X,X,O,X,X,X
ITLOSJZ,O,O,X,O,O,X,O
ITLOSZJ,O,O,X,O,O,X,O
ITLOZJS,O,O,X,O,X,X,X
ITLOZSJ,O,O,X,O,X,X,X
ITJLSZO,O,O,O,O,O,O,O
ITJLSOZ,O,O,O,O,O,O,O
ITJLZSO,O,X,O,O,X,O,X
ITJLZOS,O,X,O,O,X,X,X
ITJLOSZ,O,O,X,O,O,X,O
ITJLOZS,O,X,X,O,X,X,X
ITJSLZO,O,O,O,O,O,O,O
ITJSLOZ,O,O,O,O,O,O,O
ITJSZLO,X,O,O,O,O,O,O
ITJSZOL,X,X,O,X,X,O,O
ITJSOLZ,X,O,O,X,O,O,O
ITJSOZL,X,X,O,X,X,O,O
ITJZLSO,O,X,O,O,X,O,X
ITJZLOS,O,X,O,O,X,X,X
ITJZSLO,O,X,O,O,O,O,O
ITJZSOL,O,X,O,X,X,O,O
ITJZOLS,O,X,O,O,X,X,X
ITJZOSL,O,X,O,X,X,O,O
ITJOLSZ,O,X,X,O,X,O,O
ITJOLZS,O,X,X,O,X,O,X
ITJOSLZ,X,X,O,O,O,O,O
ITJOSZL,X,X,O,O,X,O,O
ITJOZLS,X,X,O,O,X,O,X
ITJOZSL,X,X,O,O,X,O,O
ITSLJZO,O,O,O,O,O,O,O
ITSLJOZ,O,O,O,O,O,O,O
ITSLZJO,O,O,O,O,X,X,O
ITSLZOJ,O,O,O,O,O,X,O
ITSLOJZ,O,O,O,O,O,O,O
ITSLOZJ,O,O,X,O,O,X,O
ITSJLZO,O,O,O,O,O,O,O
ITSJLOZ,O,O,O,O,O,O,O
ITSJZLO,X,O,O,O,O,O,O
ITSJZOL,X,X,O,X,X,O,O
ITSJOLZ,X,O,O,X,O,O,O
ITSJOZL,X,X,O,X,X,O,O
ITSZLJO,X,O,O,O,X,X,O
ITSZLOJ,X,O,O,O,O,X,O
ITSZJLO,X,O,O,O,X,O,O
ITSZJOL,X,O,O,X,X,O,O
ITSZOLJ,X,O,O,X,X,X,O
ITSZOJL,X,O,O,X,X,X,O
ITSOLJZ,X,O,O,X,O,O,O
ITSOLZJ,X,O,X,X,O,X,O
ITSOJLZ,X,O,O,X,X,O,O
ITSOJZL,X,X,O,X,X,O,O
ITSOZLJ,X,X,X,X,X,X,O
ITSOZJL,X,X,X,X,X,X,O
ITZLJSO,O,O,O,O,X,O,X
ITZLJOS,O,O,O,O,X,X,X
ITZLSJO,O,O,O,O,X,X,X
ITZLSOJ,O,O,O,O,X,X,X
ITZLOJS,O,O,O,O,X,X,X
ITZLOSJ,O,O,X,O,X,X,X
ITZJLSO,O,O,O,O,X,O,X
ITZJLOS,O,O,O,O,X,X,X
ITZJSLO,O,O,O,O,X,O,O
ITZJSOL,O,O,O,X,X,O,O
ITZJOLS,O,O,O,O,X,X,X
ITZJOSL,O,O,O,X,X,O,O
ITZSLJO,O,O,O,O,X,X,O
ITZSLOJ,O,O,O,O,X,X,O
ITZSJLO,O,O,O,O,X,O,O
ITZSJOL,O,O,O,X,X,O,O
ITZSOLJ,O,O,O,X,X,X,O
ITZSOJL,O,O,O,X,X,X,O
ITZOLJS,O,O,O,O,X,X,X
ITZOLSJ,O,O,X,O,X,X,X
ITZOJLS,O,O,O,O,X,X,X
ITZOJSL,O,O,O,X,X,O,O
ITZOSLJ,O,O,O,X,X,X,O
ITZOSJL,O,O,O,X,X,X,O
ITOLJSZ,O,O,X,O,X,O,O
ITOLJZS,O,X,X,O,X,O,X
ITOLSJZ,O,O,X,O,X,X,O
ITOLSZJ,O,O,X,O,X,X,O
ITOLZJS,O,X,X,O,X,O,X
ITOLZSJ,O,O,X,O,X,X,X
ITOJLSZ,O,X,X,O,X,O,O
ITOJLZS,O,X,X,O,X,O,X
ITOJSLZ,X,X,O,O,X,O,O
ITOJSZL,X,X,O,O,X,O,O
ITOJZLS,X,X,O,O,X,O,X
ITOJZSL,X,X,O,O,X,O,O
ITOSLJZ,X,O,O,O,X,O,O
ITOSLZJ,X,O,X,O,X,X,O
ITOSJLZ,X,O,O,O,X,O,O
ITOSJZL,X,X,O,O,X,O,O
ITOSZLJ,X,X,X,O,X,X,O
ITOSZJL,X,X,X,O,X,O,O
ITOZLJS,X,X,X,O,X,O,X
ITOZLSJ,X,X,X,O,X,X,X
ITOZJLS,X,X,X,O,X,O,X
ITOZJSL,X,X,X,O,X,O,O
ITOZSLJ,X,X,X,O,X,X,O
ITOZSJL,X,X,X,O,X,O,O
ILTJSZO,O,O,O,O,O,O,O
ILTJSOZ,O,O,O,O,O,O,O
ILTJZSO,O,X,O,O,X,O,X
ILTJZOS,O,X,O,O,X,X,X
ILTJOSZ,O,O,X,O,O,X,O
ILTJOZS,O,X,X,O,X,X,X
ILTSJZO,O,O,O,O,O,X,O
ILTSJOZ,O,O,O,O,O,X,O
ILTSZJO,O,O,O,O,X,X,O
ILTSZOJ,O,O,X,O,O,X,O
ILTSOJZ,O,O,O,O,O,X,O
ILTSOZJ,O,O,X,O,O,X,O
ILTZJSO,O,O,X,O,X,O,X
ILTZJOS,O,O,X,O,X,X,X
ILTZSJO,O,O,X,O,X,X,X
ILTZSOJ,O,O,X,O,X,X,X
ILTZOJS,O,O,X,O,X,X,X
ILTZOSJ,O,O,X,O,X,X,X
ILTOJSZ,O,O,X,O,O,X,O
ILTOJZS,O,X,X,O,X,X,X
ILTOSJZ,O,O,X,O,O,X,O
ILTOSZJ,O,O,X,O,O,X,O
ILTOZJS,O,O,X,O,X,X,X
ILTOZSJ,O,O,X,O,X,X,X
ILJTSZO,O,O,O,O,O,O,O
ILJTSOZ,O,O,O,O,O,O,O
ILJTZSO,O,X,O,O,X,O,X
ILJTZOS,O,X,O,O,X,X,X
ILJTOSZ,O,O,X,O,O,X,O
ILJTOZS,O,X,X,O,X,X,X
ILJSTZO,O,O,O,O,O,O,O
ILJSTOZ,O,O,O,O,O,O,O
ILJSZTO,O,O,O,O,X,O,O
ILJSZOT,O,O,O,O,X,O,X
ILJSOTZ,O,O,O,O,O,O,O
ILJSOZT,O,O,O,O,X,O,X
ILJZTSO,O,O,O,O,X,X,X
ILJZTOS,O,O,O,O,X,X,X
ILJZSTO,O,O,O,O,X,X,X
ILJZSOT,O,O,O,O,X,X,X
ILJZOTS,O,O,X,O,X,X,X
ILJZOST,O,X,X,O,X,X,X
ILJOTSZ,O,O,X,O,O,O,X
ILJOTZS,O,X,X,O,X,O,X
ILJOSTZ,O,O,X,O,O,O,X
ILJOSZT,O,O,X,O,X,O,X
ILJOZTS,O,O,X,O,X,X,X
ILJOZST,O,X,X,O,X,X,X
ILSTJZO,O,O,O,O,O,O,O
ILSTJOZ,O,O,O,O,O,O,O
ILSTZJO,O,O,O,O,X,X,O
ILSTZOJ,O,O,O,O,O,X,O
ILSTOJZ,O,O,O,O,O,O,O
ILSTOZJ,O,O,X,O,O,X,O
ILSJTZO,O,O,O,O,O,O,O
ILSJTOZ,O,O,O,O,O,O,O
ILSJZTO,O,O,O,O,X,O,O
ILSJZOT,O,O,O,O,X,O,X
ILSJOTZ,O,O,O,O,O,O,O
ILSJOZT,O,O,O,O,X,O,X
ILSZTJO,O,O,O,O,X,X,O
ILSZTOJ,O,O,O,O,X,X,O
ILSZJTO,O,O,O,O,X,O,O
ILSZJOT,O,O,O,O,X,O,X
ILSZOTJ,O,O,O,O,X,X,X
ILSZOJT,O,O,O,O,X,O,X
ILSOTJZ,O,O,O,O,O,O,O
ILSOTZJ,O,O,X,O,O,X,O
ILSOJTZ,O,O,O,O,O,O,O
ILSOJZT,O,O,O,O,X,O,X
ILSOZTJ,O,O,O,O,X,X,X
ILSOZJT,O,O,O,O,X,O,X
ILZTJSO,O,O,O,O,X,O,X
ILZTJOS,O,O,O,O,X,X,X
ILZTSJO,O,O,O,O,X,X,X
ILZTSOJ,O,O,O,O,X,X,X
ILZTOJS,O,O,O,O,X,X,X
ILZTOSJ,O,O,X,O,X,X,X
ILZJTSO,O,O,O,O,X,X,X
ILZJTOS,O,O,O,O,X,X,X
ILZJSTO,O,O,O,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X
ILZJOTS,O,O,X,O,X,X,X
ILZJOST,O,X,X,O,X,X,X
ILZSTJO,O,O,O,O,X,X,X
ILZSTOJ,O,O,O,O,X,X,X
ILZSJTO,O,O,O,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X
ILZSOTJ,O,O,O,O,X,X,X
ILZSOJT,O,O,O,O,X,X,X
ILZOTJS,O,O,X,O,X,X,X
ILZOTSJ,O,O,X,O,X,X,X
ILZOJTS,O,O,X,O,X,X,X
ILZOJST,O,X,X,O,X,X,X
ILZOSTJ,O,O,X,O,X,X,X
ILZOSJT,O,O,X,O,X,X,X
ILOTJSZ,O,O,X,O,O,O,X
ILOTJZS,O,X,X,O,X,O,X
ILOTSJZ,O,O,X,O,O,X,X
ILOTSZJ,O,O,X,O,O,X,X
ILOTZJS,O,O,X,O,X,O,X
ILOTZSJ,O,O,X,O,X,X,X
ILOJTSZ,O,O,X,O,O,O,X
ILOJTZS,O,X,X,O,X,O,X
ILOJSTZ,O,O,X,O,O,O,X
ILOJSZT,O,O,X,O,X,O,X
ILOJZTS,O,O,X,O,X,X,X
ILOJZST,O,X,X,O,X,X,X
ILOSTJZ,O,O,X,O,O,O,X
ILOSTZJ,O,O,X,O,O,X,X
ILOSJTZ,O,O,X,O,O,O,X
ILOSJZT,O,O,X,O,X,O,X
ILOSZTJ,O,O,X,O,X,X,X
ILOSZJT,O,O,X,O,X,O,X
ILOZTJS,O,O,X,O,X,O,X
ILOZTSJ,O,O,X,O,X,X,X
ILOZJTS,O,O,X,O,X,X,X
ILOZJST,O,X,X,O,X,X,X
ILOZSTJ,O,O,X,O,X,X,X
ILOZSJT,O,O,X,O,X,X,X
IJTLSZO,O,O,O,O,O,O,O
IJTLSOZ,O,O,O,O,O,O,O
IJTLZSO,O,X,O,O,X,O,X
IJTLZOS,O,X,O,O,X,X,X
IJTLOSZ,O,O,X,O,O,X,O
IJTLOZS,O,X,X,O,X,X,X
IJTSLZO,O,O,O,O,O,O,O
IJTSLOZ,O,O,O,O,O,O,O
IJTSZLO,X,O,O,O,O,O,O
IJTSZOL,X,X,O,X,X,O,O
IJTSOLZ,X,O,O,X,O,O,O
IJTSOZL,X,X,O,X,X,O,O
IJTZLSO,O,X,O,O,X,O,X
IJTZLOS,O,X,O,O,X,X,X
IJTZSLO,O,X,O,O,O,O,O
IJTZSOL,O,X,O,X,X,O,O
IJTZOLS,O,X,O,O,X,X,X
IJTZOSL,O,X,O,X,X,O,O
IJTOLSZ,O,X,X,O,X,O,O
IJTOLZS,O,X,X,O,X,O,X
IJTOSLZ,X,X,O,O,O,O,O
IJTOSZL,X,X,O,O,X,O,O
IJTOZLS,X,X,O,O,X,O,X
IJTOZSL,X,X,O,O,X,O,O
IJLTSZO,O,O,O,O,O,O,O
IJLTSOZ,O,O,O,O,O,O,O
IJLTZSO,O,X,O,O,X,O,X
IJLTZOS,O,X,O,O,X,X,X
IJLTOSZ,O,O,X,O,O,X,O
IJLTOZS,O,X,X,O,X,X,X
IJLSTZO,O,O,O,O,O,O,O
IJLSTOZ,O,O,O,O,O,O,O
IJLSZTO,O,O,O,O,X,O,O
IJLSZOT,O,O,O,O,X,O,X
IJLSOTZ,O,O,O,O,O,O,O
IJLSOZT,O,O,O,O,X,O,X
IJLZTSO,O,O,O,O,X,X,X
IJLZTOS,O,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,X,X
IJLZSOT,O,O,O,O,X,X,X
IJLZOTS,O,O,X,O,X,X,X
IJLZOST,O,X,X,O,X,X,X
IJLOTSZ,O,O,X,O,O,O,X
IJLOTZS,O,X,X,O,X,O,X
IJLOSTZ,O,O,X,O,O,O,X
IJLOSZT,O,O,X,O,X,O,X
IJLOZTS,O,O,X,O,X,X,X
IJLOZST,O,X,X,O,X,X,X
IJSTLZO,O,O,O,O,O,O,O
IJSTLOZ,O,O,O,O,O,O,O
IJSTZLO,X,O,O,O,O,O,O
IJSTZOL,X,X,O,X,X,O,O
IJSTOLZ,X,O,O,X,O,O,O
IJSTOZL,X,X,O,X,X,O,O
IJSLTZO,O,O,O,O,O,O,O
IJSLTOZ,O,O,O,O,O,O,O
IJSLZTO,O,O,O,O,X,O,O
IJSLZOT,O,O,O,O,X,O,X
IJSLOTZ,O,O,O,O,O,O,O
IJSLOZT,O,O,O,O,X,O,X
IJSZTLO,O,O,O,O,X,O,O
IJSZTOL,O,O,O,X,X,O,O
IJSZLTO,O,O,O,X,X,O,O
IJSZLOT,O,O,O,X,X,O,X
IJSZOTL,X,X,O,X,X,O,X
IJSZOLT,X,X,O,X,X,O,X
IJSOTLZ,X,X,O,O,X,O,O
IJSOTZL,X,X,O,O,X,O,O
IJSOLTZ,X,X,O,O,X,O,O
IJSOLZT,X,X,O,O,X,O,X
IJSOZTL,X,X,O,O,X,O,X
IJSOZLT,X,X,O,X,X,O,X
IJZTLSO,O,O,O,O,X,O,X
IJZTLOS,O,O,O,O,X,X,X
IJZTSLO,O,O,O,O,X,O,O
IJZTSOL,O,O,O,X,X,O,O
IJZTOLS,O,O,O,O,X,X,X
IJZTOSL,O,O,O,X,X,O,O
IJZLTSO,O,O,O,O,X,X,X
IJZLTOS,O,O,O,O,X,X,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,O,O,X,X,X
IJZLOTS,O,O,X,O,X,X,X
IJZLOST,O,X,X,O,X,X,X
IJZSTLO,O,O,O,O,X,O,O
IJZSTOL,O,O,O,X,X,O,O
IJZSLTO,O,O,O,X,X,O,O
IJZSLOT,O,O,O,X,X,O,X
IJZSOTL,X,X,O,X,X,O,X
IJZSOLT,X,X,O,X,X,O,X
IJZOTLS,O,X,O,O,X,O,X
IJZOTSL,O,X,O,O,X,O,X
IJZOLTS,O,X,X,O,X,X,X
IJZOLST,O,X,X,O,X,X,X
IJZOSTL,X,X,O,O,X,O,X
IJZOSLT,X,X,O,X,X,O,X
IJOTLSZ,O,X,X,O,X,O,O
IJOTLZS,O,X,X,O,X,O,X
IJOTSLZ,X,X,O,O,X,O,O
IJOTSZL,X,X,O,O,X,O,O
IJOTZLS,X,X,O,O,X,O,X
IJOTZSL,X,X,O,O,X,O,O
IJOLTSZ,O,X,X,O,X,O,X
IJOLTZS,O,X,X,O,X,O,X
IJOLSTZ,O,X,X,O,X,O,X
IJOLSZT,O,X,X,O,X,O,X
IJOLZTS,O,X,X,O,X,X,X
IJOLZST,O,X,X,O,X,X,X
IJOSTLZ,X,X,O,O,X,O,O
IJOSTZL,X,X,O,O,X,O,O
IJOSLTZ,X,X,O,O,X,O,O
IJOSLZT,X,X,O,O,X,O,X
IJOSZTL,X,X,O,O,X,O,X
IJOSZLT,X,X,O,X,X,O,X
IJOZTLS,O,X,O,O,X,O,X
IJOZTSL,O,X,O,O,X,O,X
IJOZLTS,O,X,X,O,X,X,X
IJOZLST,O,X,X,O,X,X,X
IJOZSTL,X,X,O,O,X,O,X
IJOZSLT,X,X,O,X,X,O,X
ISTLJZO,O,O,O,O,O,O,O
ISTLJOZ,O,O,O,O,O,O,O
ISTLZJO,O,O,O,O,X,X,O
ISTLZOJ,O,O,O,O,O,X,O
ISTLOJZ,O,O,O,O,O,O,O
ISTLOZJ,O,O,X,O,O,X,O
ISTJLZO,O,O,O,O,O,O,O
ISTJLOZ,O,O,O,O,O,O,O
ISTJZLO,X,O,O,O,O,O,O
ISTJZOL,X,X,O,X,X,O,O
ISTJOLZ,X,O,O,X,O,O,O
ISTJOZL,X,X,O,X,X,O,O
ISTZLJO,X,O,O,O,X,X,O
ISTZLOJ,X,O,O,O,O,X,O
ISTZJLO,X,O,O,O,X,O,O
ISTZJOL,X,O,O,X,X,O,O
ISTZOLJ,X,O,O,X,X,X,O
ISTZOJL,X,O,O,X,X,X,O
ISTOLJZ,X,O,O,X,O,O,O
ISTOLZJ,X,O,X,X,O,X,O
ISTOJLZ,X,O,O,X,X,O,O
ISTOJZL,X,X,O,X,X,O,O
ISTOZLJ,X,X,X,X,X,X,O
ISTOZJL,X,X,X,X,X,X,O
ISLTJZO,O,O,O,O,O,O,O
ISLTJOZ,O,O,O,O,O,O,O
ISLTZJO,O,O,O,O,X,X,O
ISLTZOJ,O,O,O,O,O,X,O
ISLTOJZ,O,O,O,O,O,O,O
ISLTOZJ,O,O,X,O,O,X,O
ISLJTZO,O,O,O,O,O,O,O
ISLJTOZ,O,O,O,O,O,O,O
ISLJZTO,O,O,O,O,X,O,O
ISLJZOT,O,O,O,O,X,O,X
ISLJOTZ,O,O,O,O,O,O,O
ISLJOZT,O,O,O,O,X,O,X
ISLZTJO,O,O,O,O,X,X,O
ISLZTOJ,O,O,O,O,X,X,O
ISLZJTO,O,O,O,O,X,O,O
ISLZJOT,O,O,O,O,X,O,X
ISLZOTJ,O,O,O,O,X,X,X
ISLZOJT,O,O,O,O,X,O,X
ISLOTJZ,O,O,O,O,O,O,O
ISLOTZJ,O,O,X,O,O,X,O
ISLOJTZ,O,O,O,O,O,O,O
ISLOJZT,O,O,O,O,X,O,X
ISLOZTJ,O,O,O,O,X,X,X
ISLOZJT,O,O,O,O,X,O,X
ISJTLZO,O,O,O,O,O,O,O
ISJTLOZ,O,O,O,O,O,O,O
ISJTZLO,X,O,O,O,O,O,O
ISJTZOL,X,X,O,X,X,O,O
ISJTOLZ,X,O,O,X,O,O,O
ISJTOZL,X,X,O,X,X,O,O
ISJLTZO,O,O,O,O,O,O,O
ISJLTOZ,O,O,O,O,O,O,O
ISJLZTO,O,O,O,O,X,O,O
ISJLZOT,O,O,O,O,X,O,X
ISJLOTZ,O,O,O,O,O,O,O
ISJLOZT,O,O,O,O,X,O,X
ISJZTLO,O,O,O,O,X,O,O
ISJZTOL,O,O,O,X,X,O,O
ISJZLTO,O,O,O,X,X,O,O
ISJZLOT,O,O,O,X,X,O,X
ISJZOTL,X,X,O,X,X,O,X
ISJZOLT,X,X,O,X,X,O,X
ISJOTLZ,X,X,O,O,X,O,O
ISJOTZL,X,X,O,O,X,O,O
ISJOLTZ,X,X,O,O,X,O,O
ISJOLZT,X,X,O,O,X,O,X
ISJOZTL,X,X,O,O,X,O,X
ISJOZLT,X,X,O,X,X,O,X
ISZTLJO,O,O,O,O,X,X,O
ISZTLOJ,O,O,O,O,X,X,O
ISZTJLO,O,O,O,O,X,O,O
ISZTJOL,O,O,O,X,X,O,O
ISZTOLJ,O,O,O,X,X,X,O
ISZTOJL,O,O,O,X,X,X,O
ISZLTJO,O,O,O,X,X,X,O
ISZLTOJ,O,O,O,X,X,X,O
ISZLJTO,O,O,O,X,X,O,O
ISZLJOT,O,O,O,X,X,O,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,O,X,X,O,X
ISZJTLO,O,O,O,O,X,O,O
ISZJTOL,O,O,O,X,X,O,O
ISZJLTO,O,O,O,X,X,O,O
ISZJLOT,O,O,O,X,X,O,X
ISZJOTL,X,X,O,X,X,O,X
ISZJOLT,X,X,O,X,X,O,X
ISZOTLJ,X,O,O,X,X,X,X
ISZOTJL,X,O,O,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,X
ISZOLJT,X,O,O,X,X,O,X
ISZOJTL,X,X,O,X,X,O,X
ISZOJLT,X,X,O,X,X,O,X
ISOTLJZ,X,O,O,O,X,O,O
ISOTLZJ,X,O,X,O,X,X,O
ISOTJLZ,X,O,O,O,X,O,O
ISOTJZL,X,X,O,O,X,O,O
ISOTZLJ,X,X,X,O,X,X,O
ISOTZJL,X,X,X,O,X,O,O
ISOLTJZ,X,O,O,O,X,O,O
ISOLTZJ,X,O,X,O,X,X,O
ISOLJTZ,X,O,O,O,X,O,O
ISOLJZT,X,O,O,O,X,O,X
ISOLZTJ,X,O,O,O,X,X,X
ISOLZJT,X,O,O,O,X,O,X
ISOJTLZ,X,X,O,O,X,O,O
ISOJTZL,X,X,O,O,X,O,O
ISOJLTZ,X,X,O,O,X,O,O
ISOJLZT,X,X,O,O,X,O,X
ISOJZTL,X,X,O,O,X,O,X
ISOJZLT,X,X,O,X,X,O,X
ISOZTLJ,X,O,O,O,X,X,X
ISOZTJL,X,O,O,O,X,O,X
ISOZLTJ,X,O,O,X,X,X,X
ISOZLJT,X,O,O,X,X,O,X
ISOZJTL,X,X,O,O,X,O,X
ISOZJLT,X,X,O,X,X,O,X
IZTLJSO,O,O,O,O,X,O,X
IZTLJOS,O,O,O,O,X,X,X
IZTLSJO,O,O,O,O,X,X,X
IZTLSOJ,O,O,O,O,X,X,X
IZTLOJS,O,O,O,O,X,X,X
IZTLOSJ,O,O,X,O,X,X,X
IZTJLSO,O,O,O,O,X,O,X
IZTJLOS,O,O,O,O,X,X,X
IZTJSLO,O,O,O,O,X,O,O
IZTJSOL,O,O,O,X,X,O,O
IZTJOLS,O,O,O,O,X,X,X
IZTJOSL,O,O,O,X,X,O,O
IZTSLJO,O,O,O,O,X,X,O
IZTSLOJ,O,O,O,O,X,X,O
