sequence,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFzbBUdBajB2lBfnBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFUcBajBTgBOnB3hBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhF3bBUdBajBllBzmBOrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFcgBajBThBOnBfrBlrB
TJSLZOI,O,X,X,X
TJSLOIZ,O,X,X,X
TJSLOZI,O,X,X,X
TJSZILO,O,X,X,X
TJSZIOL,O,X,X,X
TJSZLIO,O,X,X,X
TJSZLOI,O,X,X,X
TJSZOIL,O,X,X,X
TJSZOLI,O,X,X,X
TJSOILZ,O,X,X,X
TJSOIZL,O,X,X,X
TJSOLIZ,O,X,X,X
TJSOLZI,O,X,X,X
TJSOZIL,O,X,X,X
TJSOZLI,O,X,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,X,X
TJZISLO,X,X,X,X
TJZISOL,X,X,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,X,X,X
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,X
TJZSIOL,X,X,X,X
TJZSLIO,X,X,X,X
TJZSLOI,X,X,X,X
TJZSOIL,X,X,X,X
TJZSOLI,X,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,X
TJZOSLI,X,X,X,X
TJOILSZ,O,X,X,X
TJOILZS,X,O,X,X
TJOISLZ,O,X,X,X
TJOISZL,O,X,X,X
TJOIZLS,X,O,X,X
TJOIZSL,X,X,X,X
TJOLISZ,O,X,X,X
TJOLIZS,X,O,X,X
TJOLSIZ,O,X,X,X
TJOLSZI,O,X,X,X
TJOLZIS,X,O,X,X
TJOLZSI,X,X,X,X
TJOSILZ,O,X,X,X
TJOSIZL,O,X,X,X
TJOSLIZ,O,X,X,X
TJOSLZI,O,X,X,X
TJOSZIL,O,X,X,X
TJOSZLI,O,X,X,X
TJOZILS,X,O,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,O,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,X,X,X,X
TSILJZO,O,X,X,X
TSILJOZ,O,X,X,X
TSILZJO,O,X,X,X
TSILZOJ,X,X,X,X
