sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
TJISOLZ,X,X,X,X,O,X,O,O,X,X
TJISOZL,X,X,X,X,O,O,O,X,X,X
TJIZLSO,X,O,O,X,O,O,O,O,O,X
TJIZLOS,X,O,X,O,O,O,O,X,X,X
TJIZSLO,X,X,O,X,O,X,O,O,O,X
TJIZSOL,X,O,O,O,O,O,O,X,O,X
TJIZOLS,X,O,X,O,O,O,O,X,X,X
TJIZOSL,X,O,O,O,O,O,O,X,O,X
TJIOLSZ,X,X,X,X,O,O,O,O,X,X
TJIOLZS,X,O,X,O,X,O,O,X,X,X
TJIOSLZ,X,X,X,X,O,X,O,O,X,X
TJIOSZL,X,X,X,X,O,O,O,X,X,X
TJIOZLS,X,O,X,O,O,O,O,X,X,X
TJIOZSL,X,O,X,O,O,O,O,X,X,X
TJLISZO,X,X,X,X,O,O,O,O,X,X
TJLISOZ,X,X,X,X,O,O,X,O,X,X
TJLIZSO,X,O,X,X,O,O,O,O,X,X
TJLIZOS,X,O,X,X,O,O,O,X,X,X
TJLIOSZ,X,X,X,X,O,O,O,O,X,X
TJLIOZS,X,O,X,X,X,O,O,X,X,X
TJLSIZO,X,X,O,X,O,O,O,O,X,X
TJLSIOZ,X,X,X,X,O,O,X,O,X,X
TJLSZIO,X,O,O,X,O,O,O,O,X,X
TJLSZOI,X,O,O,X,O,O,X,O,X,X
TJLSOIZ,X,X,X,X,O,O,X,O,X,X
TJLSOZI,X,O,O,X,O,O,X,O,X,X
TJLZISO,X,O,O,X,O,O,O,O,X,X
TJLZIOS,O,O,X,O,O,O,O,X,X,X
TJLZSIO,X,O,O,X,O,O,O,O,X,X
TJLZSOI,X,O,O,X,O,O,X,O,X,X
TJLZOIS,X,O,X,O,O,O,O,X,X,X
TJLZOSI,X,O,X,O,O,O,O,X,X,X
TJLOISZ,X,X,X,X,O,O,O,O,X,X
TJLOIZS,X,O,X,O,X,O,O,X,X,X
TJLOSIZ,X,X,X,X,O,O,O,O,X,X
TJLOSZI,X,O,X,O,O,O,O,O,X,X
TJLOZIS,X,O,X,O,X,O,O,X,X,X
TJLOZSI,X,O,X,O,X,O,O,X,X,X
TJSILZO,X,X,O,X,O,X,O,O,X,X
TJSILOZ,X,X,X,X,O,X,X,O,X,X
TJSIZLO,X,X,O,X,O,X,O,O,O,X
TJSIZOL,X,X,O,X,O,O,O,X,O,X
TJSIOLZ,X,X,X,X,O,X,O,O,X,X
TJSIOZL,X,X,X,X,O,O,O,X,X,X
TJSLIZO,X,X,O,X,O,O,O,O,X,X
TJSLIOZ,X,X,X,X,O,O,X,O,X,X
TJSLZIO,X,X,O,X,O,O,O,O,X,X
TJSLZOI,X,X,O,X,O,O,X,O,X,X
TJSLOIZ,X,X,X,X,O,O,X,O,X,X
TJSLOZI,X,X,O,X,O,O,X,O,X,X
TJSZILO,X,X,O,X,O,X,O,O,O,X
TJSZIOL,X,O,O,O,O,O,O,X,O,X
TJSZLIO,X,X,O,X,O,O,O,O,O,X
TJSZLOI,X,X,O,X,O,O,X,O,O,X
TJSZOIL,X,O,O,O,O,O,O,X,O,O
TJSZOLI,X,O,O,O,O,O,O,X,O,O
TJSOILZ,X,X,X,X,O,X,O,O,X,O
TJSOIZL,X,X,X,X,O,O,O,X,X,O
TJSOLIZ,X,X,X,X,O,O,O,O,X,O
TJSOLZI,X,X,O,O,O,O,O,O,X,O
TJSOZIL,X,O,O,O,O,O,O,X,X,O
TJSOZLI,X,O,O,O,O,O,O,X,X,O
TJZILSO,X,O,O,X,O,O,O,O,O,X
TJZILOS,O,O,X,O,O,O,O,X,X,X
TJZISLO,X,X,O,X,O,X,O,O,O,X
TJZISOL,X,O,O,O,O,O,O,X,O,X
TJZIOLS,O,O,X,O,O,O,O,X,X,X
TJZIOSL,X,O,O,O,O,O,O,X,O,X
TJZLISO,X,O,O,X,O,O,O,O,O,X
TJZLIOS,O,O,X,O,O,O,O,X,X,X
TJZLSIO,X,O,O,X,O,O,O,O,O,X
TJZLSOI,X,O,O,X,O,O,X,O,O,X
TJZLOIS,X,O,X,O,O,O,O,X,X,X
TJZLOSI,X,O,X,O,O,O,O,X,X,X
TJZSILO,X,X,O,X,O,X,O,O,O,X
TJZSIOL,X,O,O,O,O,O,O,X,O,X
TJZSLIO,X,X,O,X,O,O,O,O,O,X
TJZSLOI,X,X,O,X,O,O,X,O,O,X
TJZSOIL,X,O,O,O,O,O,O,X,O,O
TJZSOLI,X,O,O,O,O,O,O,X,O,O
TJZOILS,O,O,X,O,O,O,O,X,X,X
TJZOISL,X,O,O,O,O,O,O,X,O,X
TJZOLIS,O,O,X,O,O,O,O,X,X,X
TJZOLSI,O,O,X,O,O,O,O,X,X,O
TJZOSIL,O,O,O,O,O,O,O,X,O,O
TJZOSLI,O,O,O,O,O,O,O,X,O,O
TJOILSZ,X,X,X,X,O,O,O,O,X,X
TJOILZS,X,O,X,O,X,O,O,X,X,X
TJOISLZ,X,X,X,X,O,X,O,O,X,X
TJOISZL,X,X,X,X,O,O,O,X,X,X
TJOIZLS,X,O,X,O,O,O,O,X,X,X
TJOIZSL,X,O,X,O,O,O,O,X,X,X
TJOLISZ,X,X,X,X,O,O,O,O,X,X
TJOLIZS,X,O,X,O,X,O,O,X,X,X
TJOLSIZ,O,X,X,X,O,O,O,O,X,O
TJOLSZI,O,O,X,O,O,O,O,O,X,O
TJOLZIS,O,O,X,O,X,O,O,X,X,X
TJOLZSI,O,O,X,O,X,O,O,X,X,O
TJOSILZ,O,X,X,X,O,X,O,O,X,O
TJOSIZL,O,X,X,X,O,O,O,X,X,O
TJOSLIZ,O,X,X,X,O,O,O,O,X,O
TJOSLZI,O,X,O,O,O,O,O,O,X,O
TJOSZIL,O,O,O,O,O,O,O,X,X,O
TJOSZLI,O,O,O,O,O,O,O,X,X,O
TJOZILS,O,O,X,O,O,O,O,X,X,X
TJOZISL,X,O,O,O,O,O,O,X,X,X
TJOZLIS,O,O,X,O,O,O,O,X,X,X
TJOZLSI,O,O,X,O,O,O,O,X,X,O
TJOZSIL,O,O,O,O,O,O,O,X,X,O
TJOZSLI,O,O,O,O,O,O,O,X,X,O
TSILJZO,X,X,O,X,O,X,X,O,X,X
TSILJOZ,X,X,X,X,O,X,X,O,X,X
TSILZJO,O,X,O,X,O,X,X,O,O,X
TSILZOJ,O,X,O,X,O,X,O,O,X,X
TSILOJZ,X,X,X,X,O,X,X,X,X,X
TSILOZJ,X,X,X,X,O,X,X,O,X,X
TSIJLZO,X,X,O,X,O,X,X,O,X,X
TSIJLOZ,X,X,X,X,O,X,X,O,X,X
TSIJZLO,X,X,O,X,O,X,X,O,O,X
TSIJZOL,X,X,O,X,O,O,X,X,O,X
TSIJOLZ,X,X,X,X,O,X,X,O,X,X
TSIJOZL,X,X,X,X,O,O,X,X,X,X
TSIZLJO,O,X,O,X,O,X,X,O,O,X
TSIZLOJ,O,X,O,X,O,X,O,O,X,X
TSIZJLO,O,X,O,X,O,X,X,X,O,X
TSIZJOL,O,X,O,X,O,O,X,X,O,X
TSIZOLJ,O,X,O,X,O,X,O,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X,O,X
TSIOLJZ,O,X,X,X,O,X,X,X,X,X
TSIOLZJ,O,X,X,X,O,X,O,O,X,X
TSIOJLZ,O,X,X,X,O,X,X,X,X,X
TSIOJZL,O,X,X,X,O,X,X,X,X,X
TSIOZLJ,O,X,X,X,O,X,O,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X,O,X
TSLIJZO,X,X,O,X,O,X,X,O,X,X
TSLIJOZ,X,X,X,X,O,X,X,O,X,X
TSLIZJO,O,X,O,X,O,X,X,O,O,X
TSLIZOJ,O,X,O,X,O,X,O,O,X,X
TSLIOJZ,X,X,X,X,O,X,X,X,X,X
TSLIOZJ,X,X,X,X,O,X,X,O,X,X
TSLJIZO,X,X,O,X,O,X,X,O,X,X
TSLJIOZ,X,X,X,X,O,X,X,O,X,X
