sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
IOTZLSJ,O,X,X,O,X,X,O,X,X,X
IOTZJLS,O,X,X,O,X,X,O,X,X,X
IOTZJSL,X,X,X,O,X,X,O,X,O,X
IOTZSLJ,O,X,X,O,O,X,O,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,X,X,O,O,X,X
IOLTJZS,X,X,X,O,X,X,O,X,X,X
IOLTSJZ,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,O,O,O,X
IOLTZJS,O,X,X,O,X,X,O,X,O,X
IOLTZSJ,O,X,X,O,X,X,O,X,O,X
IOLJTSZ,X,X,X,X,X,X,O,O,X,X
IOLJTZS,X,O,X,O,X,X,O,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,O
IOLJSZT,X,O,X,O,X,X,X,X,X,O
IOLJZTS,X,O,X,O,X,X,O,X,X,X
IOLJZST,X,O,X,O,X,X,O,X,X,O
IOLSTJZ,O,X,X,X,O,X,X,X,X,X
IOLSTZJ,O,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,X,X,X,X,X
IOLSJZT,X,X,X,O,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,O,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,O,X,O,X
IOLZTSJ,O,X,X,O,X,X,O,X,O,X
IOLZJTS,O,O,X,O,X,X,O,X,O,X
IOLZJST,O,O,X,O,X,X,O,X,X,O
IOLZSTJ,O,X,X,O,X,X,O,X,X,X
IOLZSJT,O,X,X,O,X,X,O,X,X,X
IOJTLSZ,X,X,X,X,O,X,O,O,X,X
IOJTLZS,X,O,X,O,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,O,O,X,X
IOJTSZL,X,X,X,X,O,X,O,X,X,X
IOJTZLS,X,O,X,O,O,X,O,X,X,X
IOJTZSL,X,O,X,O,O,X,O,X,X,X
IOJLTSZ,X,X,X,X,X,X,O,O,X,X
IOJLTZS,X,O,X,O,X,X,O,X,X,X
IOJLSTZ,X,X,X,X,O,X,X,X,X,O
IOJLSZT,X,O,X,O,O,X,X,X,X,O
IOJLZTS,X,O,X,O,X,X,O,X,X,X
IOJLZST,X,O,X,O,X,X,O,X,X,O
IOJSTLZ,X,X,X,X,O,X,X,X,X,O
IOJSTZL,X,X,X,X,O,X,X,X,X,O
IOJSLTZ,X,X,X,X,O,X,X,X,X,O
IOJSLZT,X,O,O,O,O,X,X,X,X,O
IOJSZTL,X,O,O,O,O,X,X,X,X,O
IOJSZLT,X,O,O,O,O,X,X,X,X,O
IOJZTLS,X,O,X,O,X,X,O,X,X,X
IOJZTSL,X,O,O,O,O,X,O,X,X,X
IOJZLTS,X,O,X,O,X,X,O,X,X,X
IOJZLST,X,O,X,O,O,X,O,X,X,O
IOJZSTL,X,O,O,O,O,X,X,X,X,O
IOJZSLT,X,O,O,O,O,X,O,X,X,O
IOSTLJZ,O,X,X,X,O,X,X,X,X,X
IOSTLZJ,O,X,X,X,O,X,X,X,X,X
IOSTJLZ,O,X,X,X,O,X,X,X,X,X
IOSTJZL,O,X,X,X,O,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,O,X,X,X,X,X
IOSLTZJ,O,X,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,O,O,O,X,X,X,X,X
IOSLZTJ,O,X,O,O,O,X,X,X,X,X
IOSLZJT,O,X,O,O,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,X,X,X,X,X
IOSJLZT,X,X,O,O,O,X,X,X,X,X
IOSJZTL,X,X,O,O,O,X,X,X,X,X
IOSJZLT,X,X,O,O,O,X,X,X,X,X
IOSZTLJ,O,X,O,O,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,O,O,O,X,X,X,X,X
IOSZLJT,O,X,O,O,X,X,X,X,X,X
IOSZJTL,X,X,O,O,X,X,X,X,X,X
IOSZJLT,O,X,O,O,X,X,X,X,X,X
IOZTLJS,O,X,X,O,X,X,O,X,X,X
IOZTLSJ,O,X,X,O,X,X,O,X,X,X
IOZTJLS,O,O,X,O,X,X,O,X,X,X
IOZTJSL,X,O,X,O,X,X,O,X,O,X
IOZTSLJ,O,X,O,O,X,X,O,X,X,X
IOZTSJL,O,X,X,X,X,X,X,X,O,X
IOZLTJS,O,O,X,O,X,X,O,X,O,X
IOZLTSJ,O,X,X,O,X,X,O,X,O,X
IOZLJTS,O,O,X,O,X,X,O,X,O,X
IOZLJST,O,O,X,O,X,X,O,X,X,O
IOZLSTJ,O,X,X,O,X,X,O,X,X,X
IOZLSJT,O,X,X,O,X,X,O,X,X,X
IOZJTLS,X,O,X,O,X,X,O,X,X,X
IOZJTSL,X,O,O,O,X,X,O,X,O,X
IOZJLTS,O,O,X,O,X,X,O,X,O,X
IOZJLST,O,O,X,O,X,X,O,X,X,O
IOZJSTL,X,O,O,O,X,X,X,X,X,O
IOZJSLT,X,O,O,O,X,X,O,X,X,O
IOZSTLJ,O,X,O,O,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,O,O,O,X,O,X,X,X
IOZSLJT,O,X,O,O,X,X,O,X,X,X
IOZSJTL,X,X,O,O,X,X,X,X,X,X
IOZSJLT,O,X,O,O,X,X,X,X,X,X
LTIJSZO,X,X,X,X,O,O,X,O,O,X
LTIJSOZ,X,X,X,X,O,O,X,O,X,X
LTIJZSO,X,O,X,X,O,O,X,O,O,X
LTIJZOS,X,O,X,X,O,O,O,X,O,X
LTIJOSZ,X,X,X,X,O,O,X,O,X,X
LTIJOZS,X,O,X,X,X,O,X,X,X,X
LTISJZO,X,X,X,X,O,O,X,O,O,X
LTISJOZ,X,X,X,X,O,O,X,O,X,X
LTISZJO,X,X,X,X,O,O,X,O,O,X
LTISZOJ,X,X,X,X,O,X,O,O,O,X
LTISOJZ,X,X,X,X,O,X,X,X,X,X
LTISOZJ,X,X,X,X,O,X,X,O,O,X
LTIZJSO,X,O,X,X,X,O,X,O,O,X
LTIZJOS,O,O,X,X,X,O,O,X,O,X
LTIZSJO,X,O,X,X,X,O,X,O,O,X
LTIZSOJ,O,X,X,X,X,X,O,O,O,X
LTIZOJS,O,O,X,X,X,O,O,X,O,X
LTIZOSJ,O,X,X,X,X,X,O,X,O,X
LTIOJSZ,X,X,X,X,X,O,X,O,X,X
LTIOJZS,X,X,X,X,X,O,O,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,O,O,O,X
LTIOZJS,X,X,X,X,X,O,O,X,O,X
LTIOZSJ,X,X,X,X,X,X,O,X,O,X
LTJISZO,X,X,X,X,O,O,O,O,O,X
LTJISOZ,X,X,X,X,O,O,X,O,X,X
LTJIZSO,X,O,X,X,O,O,O,O,O,X
LTJIZOS,X,O,X,X,O,O,O,X,O,X
LTJIOSZ,X,X,X,X,O,O,X,O,X,X
LTJIOZS,X,O,X,X,X,O,O,X,X,X
LTJSIZO,X,X,X,X,O,O,O,O,O,X
LTJSIOZ,X,X,X,X,O,O,X,O,X,X
LTJSZIO,X,O,X,X,O,O,O,O,O,X
LTJSZOI,X,O,X,X,O,O,X,O,O,X
LTJSOIZ,X,X,X,X,O,O,X,O,X,X
LTJSOZI,X,O,X,X,O,O,X,O,X,X
LTJZISO,X,O,X,X,O,O,O,O,O,X
LTJZIOS,O,O,X,X,O,O,O,X,O,X
LTJZSIO,X,O,X,X,O,O,O,O,O,X
LTJZSOI,X,O,X,X,O,O,X,O,O,X
LTJZOIS,X,O,X,X,O,O,O,X,O,X
LTJZOSI,X,O,X,X,O,O,X,X,O,X
LTJOISZ,X,X,X,X,O,O,X,O,X,X
LTJOIZS,X,O,X,X,X,O,O,X,X,X
LTJOSIZ,X,X,X,X,O,O,X,O,X,X
LTJOSZI,X,O,X,X,O,O,X,O,X,X
LTJOZIS,X,O,X,X,X,O,O,X,X,X
LTJOZSI,X,O,X,X,X,O,X,X,X,X
LTSIJZO,X,X,X,X,O,O,X,O,O,X
LTSIJOZ,X,X,X,X,O,O,X,O,X,X
LTSIZJO,O,X,O,X,O,O,X,O,O,X
LTSIZOJ,O,X,O,X,O,X,O,O,O,X
LTSIOJZ,X,X,X,X,O,X,X,X,X,X
LTSIOZJ,X,X,X,X,O,X,X,O,O,X
LTSJIZO,X,X,X,X,O,O,X,O,O,X
LTSJIOZ,X,X,X,X,O,O,X,O,X,X
LTSJZIO,O,O,O,X,O,O,X,O,O,X
LTSJZOI,X,O,O,X,O,O,X,O,O,X
LTSJOIZ,X,X,X,X,O,O,X,O,X,X
LTSJOZI,X,O,X,X,O,O,X,O,X,X
LTSZIJO,O,O,O,X,O,O,X,O,O,X
LTSZIOJ,O,X,O,X,O,X,O,O,O,X
LTSZJIO,O,O,O,X,O,O,X,O,O,X
LTSZJOI,X,O,O,X,O,O,X,O,O,X
LTSZOIJ,O,X,O,X,O,X,X,O,O,X
LTSZOJI,X,X,O,X,X,X,X,O,O,X
LTSOIJZ,X,X,X,X,O,X,X,X,X,X
LTSOIZJ,X,X,X,X,O,X,X,O,O,X
LTSOJIZ,X,X,X,X,O,X,X,X,X,X
LTSOJZI,X,X,X,X,O,X,X,X,X,X
LTSOZIJ,O,X,O,X,O,X,X,O,O,X
LTSOZJI,X,X,O,X,X,X,X,O,O,X
LTZIJSO,X,O,X,X,X,O,O,O,O,X
LTZIJOS,O,O,X,X,X,O,O,X,O,X
LTZISJO,O,O,O,X,X,O,X,O,O,X
LTZISOJ,O,X,O,X,X,X,O,O,O,X
LTZIOJS,O,O,X,O,X,O,O,X,O,X
LTZIOSJ,O,X,X,O,X,X,O,X,O,X
LTZJISO,X,O,X,X,X,O,O,O,O,X
LTZJIOS,O,O,X,X,X,O,O,X,O,X
LTZJSIO,X,O,X,X,X,O,O,O,O,X
LTZJSOI,X,O,X,X,X,O,X,O,O,X
LTZJOIS,X,O,X,X,X,O,O,X,O,X
LTZJOSI,X,O,X,X,X,O,X,X,O,X
LTZSIJO,O,O,O,X,X,O,X,O,O,X
LTZSIOJ,O,X,O,X,X,X,O,O,O,X
LTZSJIO,O,O,O,X,X,O,X,O,O,X
LTZSJOI,X,O,O,X,X,O,X,O,O,X
LTZSOIJ,O,X,O,X,X,X,X,O,O,X
LTZSOJI,X,X,O,X,X,X,X,O,O,X
LTZOIJS,O,O,X,O,X,O,O,X,O,X
LTZOISJ,O,X,X,O,X,X,O,X,O,X
LTZOJIS,O,O,X,O,X,O,O,X,O,X
LTZOJSI,O,O,X,O,X,O,O,X,O,X
LTZOSIJ,O,X,X,O,X,X,O,X,O,X
LTZOSJI,O,X,X,O,X,X,O,X,O,X
LTOIJSZ,X,X,X,X,X,O,O,O,X,X
LTOIJZS,X,X,X,X,X,O,O,X,X,X
LTOISJZ,O,X,X,X,O,X,X,X,X,X
LTOISZJ,O,X,X,X,O,X,O,O,O,X
LTOIZJS,O,X,X,O,X,O,O,X,O,X
LTOIZSJ,O,X,X,O,X,X,O,X,O,X
LTOJISZ,X,X,X,X,X,O,O,O,X,X
LTOJIZS,X,O,X,X,X,O,O,X,X,X
LTOJSIZ,O,X,X,X,X,O,O,O,X,X
LTOJSZI,O,O,X,X,X,O,O,O,X,X
LTOJZIS,O,O,X,O,X,O,O,X,X,X
LTOJZSI,O,O,X,O,X,O,O,X,X,X
LTOSIJZ,O,X,X,X,O,X,X,X,X,X
LTOSIZJ,O,X,X,X,O,X,O,O,O,X
LTOSJIZ,O,X,X,X,O,X,O,X,X,X
LTOSJZI,O,X,X,X,X,X,O,X,X,X
LTOSZIJ,O,X,X,O,O,X,O,O,O,X
LTOSZJI,O,X,X,O,X,X,O,O,O,X
LTOZIJS,O,O,X,O,X,O,O,X,O,X
LTOZISJ,O,X,X,O,X,X,O,X,O,X
LTOZJIS,O,O,X,O,X,O,O,X,O,X
LTOZJSI,O,O,X,O,X,O,O,X,O,X
LTOZSIJ,O,X,X,O,X,X,O,X,O,X
LTOZSJI,O,X,X,O,X,X,O,X,O,X
LITJSZO,X,X,X,X,O,O,X,O,O,X
LITJSOZ,X,X,X,X,O,O,X,O,X,X
LITJZSO,X,O,X,X,O,O,X,O,O,X
LITJZOS,X,O,X,X,O,O,O,X,O,X
LITJOSZ,X,X,X,X,O,O,X,O,X,X
LITJOZS,X,O,X,X,X,O,X,X,X,X
LITSJZO,X,X,X,X,O,O,X,O,O,X
LITSJOZ,X,X,X,X,O,O,X,O,X,X
LITSZJO,X,X,X,X,O,O,X,O,O,X
LITSZOJ,X,X,X,X,O,X,O,O,O,X
LITSOJZ,X,X,X,X,O,X,X,X,X,X
LITSOZJ,X,X,X,X,O,X,X,O,O,X
LITZJSO,X,O,X,X,X,O,X,O,O,X
LITZJOS,O,O,X,X,X,O,O,X,O,X
LITZSJO,X,O,X,X,X,O,X,O,O,X
LITZSOJ,O,X,X,X,X,X,O,O,O,X
LITZOJS,O,O,X,X,X,O,O,X,O,X
LITZOSJ,O,X,X,X,X,X,O,X,O,X
LITOJSZ,X,X,X,X,X,O,X,O,X,X
LITOJZS,X,X,X,X,X,O,X,X,X,X
LITOSJZ,X,X,X,X,O,X,X,X,X,X
LITOSZJ,X,X,X,X,O,X,X,O,O,X
LITOZJS,X,X,X,X,X,O,O,X,O,X
LITOZSJ,X,X,X,X,X,X,O,X,O,X
LIJTSZO,X,X,X,X,O,O,O,O,O,X
LIJTSOZ,X,X,X,X,O,O,X,O,X,X
LIJTZSO,X,O,X,X,O,O,O,O,O,X
LIJTZOS,X,O,X,X,O,O,O,X,O,X
LIJTOSZ,X,X,X,X,O,O,X,O,X,X
LIJTOZS,X,O,X,X,X,O,O,X,X,X
LIJSTZO,X,X,O,X,O,X,X,O,X,X
LIJSTOZ,X,X,X,X,O,X,X,O,X,X
LIJSZTO,X,O,O,X,O,X,X,X,X,X
LIJSZOT,X,O,O,X,O,X,X,X,X,X
LIJSOTZ,X,X,X,X,O,X,X,X,X,X
LIJSOZT,X,O,O,X,O,X,X,X,X,X
LIJZTSO,X,O,O,X,X,O,O,O,O,X
LIJZTOS,X,O,X,O,X,O,O,X,O,X
LIJZSTO,X,O,O,X,O,X,O,X,O,X
LIJZSOT,X,O,O,X,O,O,O,X,X,X
LIJZOTS,X,O,X,O,X,O,O,X,O,X
LIJZOST,X,O,X,O,O,O,O,X,X,X
LIJOTSZ,X,X,X,X,X,O,X,O,X,X
LIJOTZS,X,O,X,O,X,O,X,X,X,X
LIJOSTZ,X,X,X,X,O,X,X,X,X,X
LIJOSZT,X,O,X,O,O,X,X,X,X,X
LIJOZTS,X,O,X,O,X,O,X,X,X,X
LIJOZST,X,O,X,O,X,O,X,X,X,X
LISTJZO,X,X,O,X,O,X,X,O,O,X
LISTJOZ,X,X,X,X,O,X,X,O,X,X
LISTZJO,O,X,O,X,O,X,X,O,O,X
LISTZOJ,O,X,O,X,O,X,X,O,O,X
LISTOJZ,X,X,X,X,O,X,X,X,X,X
LISTOZJ,X,X,X,X,O,X,X,O,O,X
LISJTZO,X,X,O,X,O,X,X,O,X,X
LISJTOZ,X,X,X,X,O,X,X,O,X,X
LISJZTO,X,O,O,X,O,X,X,X,X,X
LISJZOT,X,O,O,X,O,X,X,X,X,X
LISJOTZ,X,X,X,X,O,X,X,X,X,X
LISJOZT,X,O,O,X,O,X,X,X,X,X
LISZTJO,O,O,O,X,O,X,X,X,O,X
LISZTOJ,O,X,O,X,O,X,X,X,O,X
LISZJTO,O,O,O,X,O,X,X,X,O,X
LISZJOT,O,O,O,X,O,X,X,X,X,X
LISZOTJ,O,X,O,X,O,X,X,X,X,X
LISZOJT,O,X,O,X,X,X,X,X,X,X
LISOTJZ,X,X,X,X,O,X,X,X,X,X
LISOTZJ,X,X,X,X,O,X,X,X,X,X
LISOJTZ,X,X,X,X,O,X,X,X,X,X
LISOJZT,X,X,O,X,O,X,X,X,X,X
LISOZTJ,X,X,O,X,O,X,X,X,X,X
LISOZJT,X,X,O,X,X,X,X,X,X,X
LIZTJSO,X,O,X,X,X,O,O,O,O,X
LIZTJOS,O,O,X,X,X,O,O,X,O,X
LIZTSJO,O,O,O,X,X,O,X,O,O,X
LIZTSOJ,O,X,O,X,X,X,O,O,O,X
LIZTOJS,O,O,X,O,X,O,O,X,O,X
LIZTOSJ,O,X,X,O,X,X,O,X,O,X
LIZJTSO,X,O,O,X,X,O,O,O,O,X
LIZJTOS,O,O,X,O,X,O,O,X,O,X
LIZJSTO,O,O,O,X,X,X,O,X,O,X
LIZJSOT,O,O,O,X,X,O,O,X,X,X
LIZJOTS,O,O,X,O,X,O,O,X,O,X
LIZJOST,O,O,X,O,X,O,O,X,X,X
LIZSTJO,O,O,O,X,X,X,X,X,O,X
LIZSTOJ,O,X,O,X,X,X,O,X,O,X
LIZSJTO,O,O,O,X,X,X,O,X,O,X
LIZSJOT,O,O,O,X,X,O,O,X,X,X
LIZSOTJ,O,X,O,X,X,X,O,X,X,X
LIZSOJT,O,X,O,X,X,X,O,X,X,X
LIZOTJS,O,O,X,O,X,X,O,X,O,X
LIZOTSJ,O,X,X,O,X,X,O,X,O,X
LIZOJTS,O,O,X,O,X,O,O,X,O,X
LIZOJST,O,O,X,O,X,O,O,X,X,X
LIZOSTJ,O,X,X,O,X,X,O,X,X,X
LIZOSJT,O,X,X,O,X,X,O,X,X,X
LIOTJSZ,X,X,X,X,X,X,X,O,X,X
LIOTJZS,X,X,X,O,X,X,X,X,X,X
LIOTSJZ,X,X,X,X,X,X,X,X,X,X
LIOTSZJ,X,X,X,X,X,X,X,O,O,X
LIOTZJS,X,X,X,O,X,X,X,X,O,X
LIOTZSJ,X,X,X,O,X,X,X,X,O,X
LIOJTSZ,X,X,X,X,X,X,X,O,X,X
LIOJTZS,X,O,X,O,X,X,X,X,X,X
LIOJSTZ,X,X,X,X,X,X,X,X,X,X
LIOJSZT,X,O,X,O,X,X,X,X,X,X
LIOJZTS,X,O,X,O,X,X,X,X,X,X
LIOJZST,X,O,X,O,X,X,X,X,X,X
LIOSTJZ,X,X,X,X,O,X,X,X,X,X
LIOSTZJ,X,X,X,X,O,X,X,X,X,X
LIOSJTZ,X,X,X,X,O,X,X,X,X,X
LIOSJZT,X,X,X,O,X,X,X,X,X,X
LIOSZTJ,X,X,X,O,O,X,X,X,X,X
LIOSZJT,X,X,X,O,X,X,X,X,X,X
LIOZTJS,X,O,X,O,X,X,X,X,O,X
LIOZTSJ,X,X,X,O,X,X,X,X,O,X
LIOZJTS,X,O,X,O,X,X,X,X,O,X
LIOZJST,X,O,X,O,X,X,X,X,X,X
LIOZSTJ,X,X,X,O,X,X,X,X,X,X
LIOZSJT,X,X,X,O,X,X,X,X,X,X
LJTISZO,X,X,X,X,O,O,O,O,O,X
LJTISOZ,X,X,X,X,O,O,X,O,X,X
LJTIZSO,X,O,X,X,O,O,O,O,O,X
LJTIZOS,X,O,X,X,O,O,O,X,O,X
LJTIOSZ,X,X,X,X,O,O,O,O,X,X
LJTIOZS,X,O,X,X,X,O,O,X,X,X
LJTSIZO,X,X,O,X,O,O,O,O,O,X
LJTSIOZ,X,X,X,X,O,O,X,O,X,X
LJTSZIO,X,O,O,X,O,O,O,O,O,X
LJTSZOI,X,O,O,X,O,O,X,O,O,X
LJTSOIZ,X,X,X,X,O,O,X,O,X,X
LJTSOZI,X,O,O,X,O,O,X,O,X,X
LJTZISO,X,O,O,X,O,O,O,O,O,X
LJTZIOS,O,O,X,O,O,O,O,X,O,X
LJTZSIO,X,O,O,X,O,O,O,O,O,X
LJTZSOI,X,O,O,X,O,O,X,O,O,X
LJTZOIS,X,O,X,O,O,O,O,X,O,X
LJTZOSI,X,O,X,O,O,O,O,X,O,X
LJTOISZ,X,X,X,X,O,O,O,O,X,X
LJTOIZS,X,O,X,O,X,O,O,X,X,X
LJTOSIZ,X,X,X,X,O,O,O,O,X,X
LJTOSZI,X,O,X,O,O,O,O,O,X,X
LJTOZIS,X,O,X,O,X,O,O,X,X,X
LJTOZSI,X,O,X,O,X,O,O,X,X,X
LJITSZO,X,X,X,X,O,O,O,O,O,X
LJITSOZ,X,X,X,X,O,O,X,O,X,X
LJITZSO,X,O,X,X,O,O,O,O,O,X
LJITZOS,X,O,X,X,O,O,O,X,O,X
LJITOSZ,X,X,X,X,O,O,X,O,X,X
LJITOZS,X,O,X,X,X,O,O,X,X,X
LJISTZO,X,X,O,X,O,X,X,O,X,X
LJISTOZ,X,X,X,X,O,X,X,O,X,X
LJISZTO,X,O,O,X,O,X,X,X,X,X
LJISZOT,X,O,O,X,O,X,X,X,X,X
LJISOTZ,X,X,X,X,O,X,X,X,X,X
LJISOZT,X,O,O,X,O,X,X,X,X,X
LJIZTSO,X,O,O,X,X,O,O,O,O,X
LJIZTOS,X,O,X,O,X,O,O,X,O,X
LJIZSTO,X,O,O,X,O,X,O,X,O,X
LJIZSOT,X,O,O,X,O,O,O,X,X,X
LJIZOTS,X,O,X,O,X,O,O,X,O,X
LJIZOST,X,O,X,O,O,O,O,X,X,X
LJIOTSZ,X,X,X,X,X,O,X,O,X,X
LJIOTZS,X,O,X,O,X,O,X,X,X,X
LJIOSTZ,X,X,X,X,O,X,X,X,X,X
LJIOSZT,X,O,X,O,O,X,X,X,X,X
LJIOZTS,X,O,X,O,X,O,X,X,X,X
LJIOZST,X,O,X,O,X,O,X,X,X,X
LJSTIZO,X,X,O,X,O,O,O,O,O,X
LJSTIOZ,X,X,X,X,O,O,X,O,X,X
LJSTZIO,O,O,O,X,O,O,O,O,O,X
LJSTZOI,X,O,O,X,O,O,X,O,O,X
LJSTOIZ,X,X,X,X,O,O,X,O,X,X
LJSTOZI,X,O,O,X,O,O,X,O,X,X
LJSITZO,X,X,O,X,O,X,X,O,X,X
LJSITOZ,X,X,X,X,O,X,X,O,X,X
LJSIZTO,X,O,O,X,O,X,X,X,X,X
LJSIZOT,X,O,O,X,O,X,X,X,X,X
LJSIOTZ,X,X,X,X,O,X,X,X,X,X
LJSIOZT,X,O,O,X,O,X,X,X,X,X
LJSZTIO,O,O,O,X,O,O,O,O,O,X
LJSZTOI,X,O,O,X,O,O,X,O,O,X
LJSZITO,O,O,O,X,O,X,O,X,O,X
LJSZIOT,O,O,O,X,O,O,O,X,X,X
LJSZOTI,X,O,O,X,O,O,X,X,O,O
LJSZOIT,X,O,O,X,O,O,X,X,X,O
LJSOTIZ,X,X,X,X,O,O,X,O,X,O
LJSOTZI,X,O,O,X,O,O,X,O,X,O
LJSOITZ,X,X,X,X,O,X,X,X,X,O
LJSOIZT,X,O,O,X,O,X,X,X,X,O
LJSOZTI,X,O,O,X,O,O,X,X,X,O
LJSOZIT,X,O,O,X,O,O,X,X,X,O
LJZTISO,X,O,O,X,O,O,O,O,O,X
LJZTIOS,O,O,X,O,O,O,O,X,O,X
LJZTSIO,X,O,O,X,O,O,O,O,O,X
LJZTSOI,X,O,O,X,O,O,X,O,O,X
LJZTOIS,X,O,X,O,O,O,O,X,O,X
LJZTOSI,X,O,X,O,O,O,O,X,O,X
LJZITSO,X,O,O,X,X,O,O,O,O,X
LJZITOS,O,O,X,O,X,O,O,X,O,X
LJZISTO,O,O,O,X,O,X,O,X,O,X
LJZISOT,O,O,O,X,O,O,O,X,X,X
LJZIOTS,O,O,X,O,X,O,O,X,O,X
LJZIOST,O,O,X,O,O,O,O,X,X,X
LJZSTIO,O,O,O,X,O,O,O,O,O,X
LJZSTOI,X,O,O,X,O,O,X,O,O,X
LJZSITO,O,O,O,X,O,X,O,X,O,X
LJZSIOT,O,O,O,X,O,O,O,X,X,X
LJZSOTI,X,O,O,X,O,O,X,X,O,O
LJZSOIT,X,O,O,X,O,O,X,X,X,O
LJZOTIS,X,O,X,O,O,O,O,X,O,X
LJZOTSI,X,O,X,O,O,O,O,X,O,O
LJZOITS,X,O,X,O,X,O,O,X,O,X
LJZOIST,X,O,X,O,O,O,O,X,X,O
LJZOSTI,X,O,X,O,O,O,O,X,O,O
LJZOSIT,X,O,X,O,O,O,O,X,X,O
LJOTISZ,X,X,X,X,O,O,O,O,X,X
LJOTIZS,X,O,X,O,X,O,O,X,X,X
LJOTSIZ,X,X,X,X,O,O,O,O,X,O
LJOTSZI,X,O,X,O,O,O,O,O,X,O
LJOTZIS,X,O,X,O,X,O,O,X,X,X
LJOTZSI,X,O,X,O,X,O,O,X,X,O
LJOITSZ,X,X,X,X,X,O,O,O,X,X
LJOITZS,X,O,X,O,X,O,O,X,X,X
LJOISTZ,X,X,X,X,O,X,X,X,X,O
LJOISZT,X,O,X,O,O,X,X,X,X,O
LJOIZTS,X,O,X,O,X,O,O,X,X,X
LJOIZST,X,O,X,O,X,O,O,X,X,O
LJOSTIZ,X,X,X,X,O,O,O,O,X,O
LJOSTZI,X,O,X,O,O,O,O,O,X,O
LJOSITZ,X,X,X,X,O,X,X,X,X,O
LJOSIZT,X,O,X,O,O,X,X,X,X,O
LJOSZTI,X,O,X,O,O,O,O,X,X,O
LJOSZIT,X,O,X,O,O,O,O,X,X,O
LJOZTIS,X,O,X,O,X,O,O,X,X,X
LJOZTSI,X,O,X,O,X,O,O,X,X,O
LJOZITS,X,O,X,O,X,O,O,X,X,X
LJOZIST,X,O,X,O,X,O,O,X,X,O
LJOZSTI,X,O,X,O,X,O,O,X,X,O
LJOZSIT,X,O,X,O,X,O,O,X,X,O
LSTIJZO,X,X,O,X,O,O,X,O,O,X
LSTIJOZ,X,X,X,X,O,O,X,O,X,X
LSTIZJO,O,X,O,X,O,O,X,O,O,X
LSTIZOJ,O,X,O,X,O,X,O,O,O,X
LSTIOJZ,X,X,X,X,O,X,X,X,X,X
LSTIOZJ,X,X,X,X,O,X,X,O,O,X
LSTJIZO,X,X,O,X,O,O,X,O,O,X
LSTJIOZ,X,X,X,X,O,O,X,O,X,X
LSTJZIO,O,O,O,X,O,O,X,O,O,X
LSTJZOI,X,O,O,X,O,O,X,O,O,X
LSTJOIZ,X,X,X,X,O,O,X,O,X,X
LSTJOZI,X,O,O,X,O,O,X,O,X,X
LSTZIJO,O,O,O,X,O,O,X,O,O,X
LSTZIOJ,O,X,O,X,O,X,O,O,O,X
