sequence,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BTeBfmBlhB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?BSjBzgB3iBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFTd?BChBcoB/rBFnBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxdBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFTd?B6jBWnBZoBXhBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFXd?BzgBSnBcoBlrBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBlhBTjB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?B+jBzgB3iBatBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFxc?BTeBFmBXnBOtBCsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFRd?BOnBTmBFoB/rBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFlc?BTeBxmBOtBcnB/rB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxiBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBcoBzmBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFZh?B3dBzmBFoBurBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8JeRBJvhFcn?BTjBlgBCiB/rBOtB
IZTLOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IZTLOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTJLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZTJSLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZTJSOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZTJOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTJOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZTSLJO,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
IZTSLOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
IZTSJOL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZTSOJL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZTOLJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IZTOLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTOJLS,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTOJSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZTOSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZLTJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLTSJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IZLTOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLJTSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLJTOS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZLJSTO,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZLJSOT,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZLJOTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZLJOST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLSTJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZLSJTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IZLSOJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLOTJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IZLOTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLOJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O
IZLOSJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZJTLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJTSLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJTSOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJTOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IZJTOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJLTOS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZJLSTO,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZJLSOT,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZJLOTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZJLOST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJSTLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJSLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZJOTLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IZJOTSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJOLTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZJOLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJOSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSTLJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
IZSTOLJ,O,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZSTOJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSLTJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSLJTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O
IZSLOJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZSJTLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSJOLT,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O
IZSOTLJ,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZSOTJL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSOLTJ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O
IZSOLJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZSOJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOJLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZOTLJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IZOTLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOTJLS,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IZOTJSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOTSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZOLTJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IZOLTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOLJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O
IZOLSJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZOJTLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IZOJTSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOJLTS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOJSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOSTLJ,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O
IZOSTJL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O
IZOSLJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSJLT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOTLJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
IOTLJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
IOTLSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTLZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
IOTJLZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
IOTJSLZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTJZLS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IOTJZSL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IOTZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZJLS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
IOLTJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
IOLTSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IOLTZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLJTSZ,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
IOLJTZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
IOLJSTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLJZTS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOLSTZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
IOLSJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLSZTJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOLSZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLZTJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IOLZTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLZJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOLZSJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJTLSZ,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X
IOJTLZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
IOJLTZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
IOJLSTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJLZTS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOSTLZJ,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X
IOSTJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IOSTZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSLZTJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSLZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSJTLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSJZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSZTLJ,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O
IOSZTJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSZLTJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSZJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSZJLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOZTLJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
IOZTLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZTJLS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IOZTJSL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZTSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IOZLTJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IOZLTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O
IOZLSJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOZJTLS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IOZSTLJ,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O
IOZSTJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZSLTJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IOZSLJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZSJLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTIJSZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
LTIJZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIJZOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
LTIJOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
LTISJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTISZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTISOJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
LTISOZJ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
LTIZJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTIZOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTIZOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
LTIOJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
LTIOSJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
LTIOSZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
LTIOZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTIOZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTJISZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJISOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
LTJIZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJIZOS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
LTJIOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
LTJSIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
LTJSOIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJSOZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZSOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
LTJZOIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTJZOSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJOISZ,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X
LTJOIZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
LTJOSIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJOSZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJOZIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTJOZSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTSIJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTSIZJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LTSIOJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
LTSIOZJ,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X
LTSJIZO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTSJZIO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTSJZOI,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X
LTSJOZI,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
LTSZIJO,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
LTSZIOJ,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
LTSZJIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTSZJOI,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
LTSZOIJ,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
LTSZOJI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
LTSOIZJ,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X
LTSOJIZ,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X
LTSOJZI,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
LTSOZIJ,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X
LTSOZJI,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZISJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LTZIOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTZIOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTZJISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZJSOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
LTZJOIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
LTZJOSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
LTZSIJO,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
LTZSIOJ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSJIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
LTZSJOI,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
LTZSOIJ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSOJI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZOIJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTZOISJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTZOJIS,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LTZOJSI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTZOSJI,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTOIJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
LTOIJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
LTOISJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
LTOISZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
LTOIZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
LTOIZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTOJISZ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
LTOJIZS,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X
LTOJSIZ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
