sequence,v115@IhA8GeD8FeD8DeC8Jei/IvhF3gBcmBxiBdsBznBWwB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhFThBXjBUrBRsB9qBOsB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBTiBOoBxrBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9mBxiB0lBmnBXsBzqB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnB0rBXrB
TSOLJZI,O,O,O,X,O,X,X,O,X,X
TSOLZIJ,O,O,O,X,O,X,O,X,X,X
TSOLZJI,O,O,O,X,O,X,O,O,X,X
TSOJILZ,O,O,O,X,O,X,X,O,O,X
TSOJIZL,O,O,X,X,O,X,X,O,X,X
TSOJLIZ,O,O,O,X,O,X,X,O,O,X
TSOJLZI,O,O,O,X,O,X,X,O,X,X
TSOJZIL,O,O,O,X,O,X,X,O,X,X
TSOJZLI,O,O,O,X,O,X,X,O,X,X
TSOZILJ,O,O,O,X,O,X,O,X,X,X
TSOZIJL,O,O,O,X,O,X,O,X,X,X
TSOZLIJ,O,O,O,X,O,X,O,X,X,X
TSOZLJI,O,O,O,X,O,X,O,O,X,X
TSOZJIL,O,O,O,X,O,X,O,O,X,X
TSOZJLI,O,O,O,X,O,X,O,O,X,X
TZILJSO,O,X,X,O,X,O,X,O,X,O
TZILJOS,O,X,O,O,X,O,O,X,X,O
TZILSJO,O,X,X,O,X,X,X,O,X,O
TZILSOJ,O,X,X,O,X,X,X,X,X,X
TZILOJS,O,X,O,O,X,O,O,X,X,O
TZILOSJ,O,X,O,O,O,X,O,X,X,X
TZIJLSO,O,X,X,O,X,O,X,O,X,O
TZIJLOS,O,X,O,O,X,O,O,X,X,O
TZIJSLO,O,X,X,O,X,O,X,O,X,O
TZIJSOL,O,X,X,O,X,O,X,O,X,X
TZIJOLS,O,X,O,O,X,O,O,X,X,O
TZIJOSL,O,X,O,O,X,O,O,X,X,X
TZISLJO,O,X,X,O,X,X,X,O,X,O
TZISLOJ,O,X,X,O,X,X,X,X,X,X
TZISJLO,O,X,X,O,X,X,X,O,X,O
TZISJOL,X,X,X,O,X,X,X,O,X,X
TZISOLJ,O,X,X,O,X,X,X,X,X,X
TZISOJL,O,X,X,O,X,X,X,X,X,X
TZIOLJS,O,X,O,O,X,O,O,X,X,O
TZIOLSJ,O,X,O,O,O,X,O,X,X,X
TZIOJLS,O,X,O,O,X,O,O,X,X,O
TZIOJSL,O,X,O,O,X,O,O,X,X,X
TZIOSLJ,O,X,O,O,O,X,O,X,X,X
TZIOSJL,O,X,O,O,O,X,O,X,X,X
TZLIJSO,O,X,X,O,X,O,X,O,X,O
TZLIJOS,O,X,O,O,X,O,O,X,X,O
TZLISJO,O,X,X,O,X,X,X,O,X,O
TZLISOJ,O,X,X,O,X,X,X,X,X,X
TZLIOJS,O,X,O,O,X,O,O,X,X,O
TZLIOSJ,O,X,O,O,O,X,O,X,X,X
TZLJISO,O,X,X,X,X,O,X,O,X,O
TZLJIOS,O,X,O,X,X,O,O,X,X,O
TZLJSIO,O,X,X,X,X,X,X,O,O,O
TZLJSOI,O,O,O,X,X,X,O,O,X,X
TZLJOIS,O,O,O,X,X,X,O,X,X,O
TZLJOSI,O,O,O,X,X,X,O,X,X,X
TZLSIJO,O,X,X,O,X,X,X,O,O,O
TZLSIOJ,O,X,X,O,X,X,X,X,X,X
TZLSJIO,O,X,X,X,X,X,X,O,O,O
TZLSJOI,O,O,O,X,O,X,O,O,X,X
TZLSOIJ,O,O,O,X,O,X,O,X,X,X
TZLSOJI,O,O,O,X,O,X,O,O,X,X
TZLOIJS,O,O,O,X,X,X,O,X,X,O
TZLOISJ,O,X,O,X,O,X,O,X,X,X
TZLOJIS,O,O,O,X,X,X,O,X,X,O
TZLOJSI,O,O,O,X,X,X,O,X,X,X
TZLOSIJ,O,O,O,X,O,X,O,X,X,X
TZLOSJI,O,O,O,X,O,X,O,X,X,X
TZJILSO,O,X,X,X,X,O,X,O,X,O
TZJILOS,O,X,O,X,X,O,O,X,X,O
TZJISLO,O,X,X,X,X,O,X,O,X,O
TZJISOL,O,X,X,X,X,O,X,O,X,X
TZJIOLS,O,X,O,X,X,O,O,X,X,O
TZJIOSL,O,X,O,X,X,O,O,X,X,X
TZJLISO,O,X,X,X,X,O,X,O,X,O
TZJLIOS,O,X,O,X,X,O,O,X,X,O
TZJLSIO,O,X,X,X,X,X,X,O,O,O
TZJLSOI,O,O,O,X,X,X,O,O,X,X
TZJLOIS,O,O,O,X,X,X,O,X,X,O
TZJLOSI,O,O,O,X,X,X,O,X,X,X
TZJSILO,O,X,X,X,X,X,X,O,O,O
TZJSIOL,O,X,X,X,X,X,X,O,X,X
TZJSLIO,O,X,X,X,X,X,X,O,O,O
TZJSLOI,O,O,O,X,X,X,O,O,X,X
TZJSOIL,O,O,O,X,X,X,O,O,X,X
TZJSOLI,O,O,O,X,X,X,O,O,X,X
TZJOILS,O,O,O,X,X,X,O,X,X,O
TZJOISL,O,X,O,X,X,X,O,X,X,X
TZJOLIS,O,O,O,X,X,X,O,X,X,O
TZJOLSI,O,O,O,X,X,X,O,X,X,X
TZJOSIL,O,O,O,X,X,X,O,X,X,X
TZJOSLI,O,O,O,X,X,X,O,X,X,X
TZSILJO,O,X,X,O,X,X,X,O,O,O
TZSILOJ,O,X,X,O,X,X,X,X,X,X
TZSIJLO,O,X,X,O,X,X,X,O,O,O
TZSIJOL,X,X,X,O,X,X,X,O,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,X
TZSIOJL,O,X,X,O,X,X,X,X,X,X
TZSLIJO,O,X,X,O,X,X,X,O,O,O
TZSLIOJ,O,X,X,O,X,X,X,X,X,X
TZSLJIO,O,X,X,X,X,X,X,O,O,O
TZSLJOI,O,O,O,X,O,X,O,O,X,X
TZSLOIJ,O,O,O,X,O,X,O,X,X,X
TZSLOJI,O,O,O,X,O,X,O,O,X,X
TZSJILO,O,X,X,X,X,X,X,O,O,O
TZSJIOL,X,X,X,X,X,X,X,O,X,X
TZSJLIO,O,X,X,X,X,X,X,O,O,O
TZSJLOI,O,O,O,X,O,X,O,O,X,X
TZSJOIL,O,O,O,X,O,X,O,O,X,X
TZSJOLI,O,O,O,X,O,X,O,O,X,X
TZSOILJ,O,O,O,O,O,X,O,X,X,X
TZSOIJL,O,O,O,O,O,X,O,X,X,X
TZSOLIJ,O,O,O,X,O,X,O,X,X,X
TZSOLJI,O,O,O,X,O,X,O,O,X,X
TZSOJIL,O,O,O,X,O,X,O,O,X,X
TZSOJLI,O,O,O,X,O,X,O,O,X,X
TZOILJS,O,O,O,O,X,X,O,X,X,O
TZOILSJ,O,X,O,O,O,X,O,X,X,X
TZOIJLS,O,O,O,O,X,X,O,X,X,O
TZOIJSL,O,X,O,O,X,X,O,X,X,X
TZOISLJ,O,X,O,O,O,X,O,X,X,X
TZOISJL,O,X,O,O,O,X,O,X,X,X
TZOLIJS,O,O,O,X,X,X,O,X,X,O
TZOLISJ,O,X,O,X,O,X,O,X,X,X
TZOLJIS,O,O,O,X,X,X,O,X,X,O
TZOLJSI,O,O,O,X,X,X,O,X,X,X
TZOLSIJ,O,O,O,X,O,X,O,X,X,X
TZOLSJI,O,O,O,X,O,X,O,X,X,X
TZOJILS,O,O,O,X,X,X,O,X,X,O
TZOJISL,O,X,O,X,X,X,O,X,X,X
TZOJLIS,O,O,O,X,X,X,O,X,X,O
TZOJLSI,O,O,O,X,X,X,O,X,X,X
TZOJSIL,O,O,O,X,X,X,O,X,X,X
TZOJSLI,O,O,O,X,X,X,O,X,X,X
TZOSILJ,O,O,O,O,O,X,O,X,X,X
TZOSIJL,O,O,O,O,O,X,O,X,X,X
TZOSLIJ,O,O,O,X,O,X,O,X,X,X
TZOSLJI,O,O,O,X,O,X,O,X,X,X
TZOSJIL,O,O,O,X,O,X,O,X,X,X
TZOSJLI,O,O,O,X,O,X,O,X,X,X
TOILJSZ,O,O,O,X,O,O,X,X,X,X
TOILJZS,O,O,O,X,X,O,O,X,X,X
TOILSJZ,O,O,O,X,O,O,X,X,X,X
TOILSZJ,O,O,X,X,O,X,O,X,X,X
TOILZJS,O,O,O,X,X,O,O,X,X,X
TOILZSJ,O,X,O,X,O,X,O,X,X,X
TOIJLSZ,O,O,O,X,O,O,X,X,X,X
TOIJLZS,O,O,O,X,X,O,O,X,X,X
TOIJSLZ,O,O,O,X,O,O,X,X,X,X
TOIJSZL,O,O,X,X,O,O,X,X,X,X
TOIJZLS,O,O,O,X,X,O,O,X,X,X
TOIJZSL,O,X,O,X,X,O,O,X,X,X
TOISLJZ,O,O,O,X,O,O,X,X,X,X
TOISLZJ,O,O,X,X,O,X,O,X,X,X
TOISJLZ,O,O,O,X,O,O,X,X,X,X
TOISJZL,O,O,X,X,O,O,X,X,X,X
TOISZLJ,O,O,X,X,O,X,O,X,X,X
TOISZJL,O,O,X,X,O,X,O,X,X,X
TOIZLJS,O,O,O,X,X,O,O,X,X,X
TOIZLSJ,O,X,O,X,O,X,O,X,X,X
TOIZJLS,O,O,O,X,X,O,O,X,X,X
TOIZJSL,O,X,O,X,X,O,O,X,X,X
TOIZSLJ,O,X,O,X,O,X,O,X,X,X
TOIZSJL,O,X,O,X,O,X,O,X,X,X
TOLIJSZ,O,O,O,X,O,O,X,X,X,X
TOLIJZS,O,O,O,X,X,O,O,X,X,X
TOLISJZ,O,O,O,X,O,O,X,X,X,X
TOLISZJ,O,O,X,X,O,X,O,X,X,X
TOLIZJS,O,O,O,X,X,O,O,X,X,X
TOLIZSJ,O,X,O,X,O,X,O,X,X,X
TOLJISZ,O,O,O,X,O,O,X,X,X,X
TOLJIZS,O,O,O,X,X,O,O,X,X,X
TOLJSIZ,O,O,O,X,O,X,X,X,O,X
TOLJSZI,O,O,O,X,O,X,X,X,X,X
TOLJZIS,O,O,O,X,X,X,O,X,X,O
TOLJZSI,O,O,O,X,X,X,O,X,X,X
TOLSIJZ,O,O,O,X,O,X,X,X,O,X
TOLSIZJ,O,O,X,X,O,X,O,X,X,X
TOLSJIZ,O,O,O,X,O,X,X,X,O,X
TOLSJZI,O,O,O,X,O,X,X,X,X,X
TOLSZIJ,O,O,O,X,O,X,O,X,X,X
TOLSZJI,O,O,O,X,O,X,O,X,X,X
TOLZIJS,O,O,O,X,X,X,O,X,X,O
TOLZISJ,O,X,O,X,O,X,O,X,X,X
TOLZJIS,O,O,O,X,X,X,O,X,X,O
TOLZJSI,O,O,O,X,X,X,O,X,X,X
TOLZSIJ,O,O,O,X,O,X,O,X,X,X
TOLZSJI,O,O,O,X,O,X,O,X,X,X
TOJILSZ,O,O,O,X,O,O,X,X,X,X
TOJILZS,O,O,O,X,X,O,O,X,X,X
TOJISLZ,O,O,O,X,O,O,X,X,X,X
TOJISZL,O,O,X,X,O,O,X,X,X,X
TOJIZLS,O,O,O,X,X,O,O,X,X,X
TOJIZSL,O,X,O,X,X,O,O,X,X,X
TOJLISZ,O,O,O,X,O,O,X,X,X,X
TOJLIZS,O,O,O,X,X,O,O,X,X,X
TOJLSIZ,O,O,O,X,O,X,X,X,O,X
TOJLSZI,O,O,O,X,O,X,X,X,X,X
TOJLZIS,O,O,O,X,X,X,O,X,X,O
TOJLZSI,O,O,O,X,X,X,O,X,X,X
TOJSILZ,O,O,O,X,O,X,X,X,O,X
TOJSIZL,O,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,O,X,X,X,O,X
TOJSLZI,O,O,O,X,O,X,X,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X,X,X
TOJSZLI,O,O,O,X,O,X,X,X,X,X
TOJZILS,O,O,O,X,X,X,O,X,X,O
TOJZISL,O,X,O,X,X,X,O,X,X,X
TOJZLIS,O,O,O,X,X,X,O,X,X,O
TOJZLSI,O,O,O,X,X,X,O,X,X,X
TOJZSIL,O,O,O,X,X,X,O,X,X,X
TOJZSLI,O,O,O,X,X,X,O,X,X,X
TOSILJZ,O,O,O,X,O,X,X,X,O,X
TOSILZJ,O,O,X,X,O,X,O,X,X,X
TOSIJLZ,O,O,O,X,O,X,X,X,O,X
TOSIJZL,O,O,X,X,O,X,X,X,X,X
TOSIZLJ,O,O,X,X,O,X,O,X,X,X
TOSIZJL,O,O,X,X,O,X,O,X,X,X
TOSLIJZ,O,O,O,X,O,X,X,X,O,X
TOSLIZJ,O,O,X,X,O,X,O,X,X,X
TOSLJIZ,O,O,O,X,O,X,X,X,O,X
TOSLJZI,O,O,O,X,O,X,X,X,X,X
TOSLZIJ,O,O,O,X,O,X,O,X,X,X
TOSLZJI,O,O,O,X,O,X,O,X,X,X
TOSJILZ,O,O,O,X,O,X,X,X,O,X
TOSJIZL,O,O,X,X,O,X,X,X,X,X
TOSJLIZ,O,O,O,X,O,X,X,X,O,X
TOSJLZI,O,O,O,X,O,X,X,X,X,X
TOSJZIL,O,O,O,X,O,X,X,X,X,X
TOSJZLI,O,O,O,X,O,X,X,X,X,X
TOSZILJ,O,O,O,X,O,X,O,X,X,X
TOSZIJL,O,O,O,X,O,X,O,X,X,X
TOSZLIJ,O,O,O,X,O,X,O,X,X,X
TOSZLJI,O,O,O,X,O,X,O,X,X,X
TOSZJIL,O,O,O,X,O,X,O,X,X,X
TOSZJLI,O,O,O,X,O,X,O,X,X,X
TOZILJS,O,O,O,X,X,X,O,X,X,O
TOZILSJ,O,X,O,X,O,X,O,X,X,X
TOZIJLS,O,O,O,X,X,X,O,X,X,O
TOZIJSL,O,X,O,X,X,X,O,X,X,X
TOZISLJ,O,X,O,X,O,X,O,X,X,X
TOZISJL,O,X,O,X,O,X,O,X,X,X
TOZLIJS,O,O,O,X,X,X,O,X,X,O
TOZLISJ,O,X,O,X,O,X,O,X,X,X
TOZLJIS,O,O,O,X,X,X,O,X,X,O
TOZLJSI,O,O,O,X,X,X,O,X,X,X
TOZLSIJ,O,O,O,X,O,X,O,X,X,X
TOZLSJI,O,O,O,X,O,X,O,X,X,X
TOZJILS,O,O,O,X,X,X,O,X,X,O
TOZJISL,O,X,O,X,X,X,O,X,X,X
TOZJLIS,O,O,O,X,X,X,O,X,X,O
TOZJLSI,O,O,O,X,X,X,O,X,X,X
TOZJSIL,O,O,O,X,X,X,O,X,X,X
TOZJSLI,O,O,O,X,X,X,O,X,X,X
TOZSILJ,O,O,O,X,O,X,O,X,X,X
TOZSIJL,O,O,O,X,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,O,X,O,X,X,X
TOZSLJI,O,O,O,X,O,X,O,X,X,X
TOZSJIL,O,O,O,X,O,X,O,X,X,X
TOZSJLI,O,O,O,X,O,X,O,X,X,X
ITLJSZO,O,X,X,X,X,O,X,O,O,X
ITLJSOZ,X,O,X,X,X,O,X,O,O,X
ITLJZSO,O,X,X,X,X,O,X,O,X,O
ITLJZOS,O,X,O,X,X,O,X,X,X,O
ITLJOSZ,O,O,O,X,O,O,X,X,X,X
ITLJOZS,O,O,O,X,X,O,O,X,X,X
ITLSJZO,O,X,X,X,X,O,X,O,O,X
ITLSJOZ,X,O,X,X,O,O,X,O,O,X
ITLSZJO,O,X,X,O,X,X,X,O,O,X
ITLSZOJ,O,X,X,O,X,X,X,X,X,X
ITLSOJZ,X,O,X,X,O,O,X,X,O,X
ITLSOZJ,X,O,X,X,O,X,O,X,X,X
ITLZJSO,O,X,X,O,X,O,X,O,X,O
ITLZJOS,O,X,O,O,X,O,O,X,X,O
ITLZSJO,O,X,X,O,X,X,X,O,X,O
ITLZSOJ,O,X,X,O,X,X,X,X,X,X
ITLZOJS,O,X,O,O,X,O,O,X,X,O
ITLZOSJ,O,X,O,O,O,X,O,X,X,X
ITLOJSZ,O,O,O,X,O,O,X,X,X,X
ITLOJZS,O,O,O,X,X,O,O,X,X,X
ITLOSJZ,O,O,O,X,O,O,X,X,X,X
ITLOSZJ,O,O,X,X,O,X,O,X,X,X
ITLOZJS,O,O,O,X,X,O,O,X,X,X
ITLOZSJ,O,X,O,X,O,X,O,X,X,X
ITJLSZO,O,X,X,X,X,O,X,O,O,X
ITJLSOZ,X,O,X,X,X,O,X,O,O,X
ITJLZSO,O,X,X,X,X,O,X,O,X,O
ITJLZOS,O,X,O,X,X,O,X,X,X,O
ITJLOSZ,O,O,O,X,O,O,X,X,X,X
ITJLOZS,O,O,O,X,X,O,O,X,X,X
ITJSLZO,O,X,X,X,X,O,X,O,O,X
ITJSLOZ,X,O,X,X,X,O,X,O,O,X
ITJSZLO,O,X,X,X,X,O,X,O,O,X
ITJSZOL,O,X,X,X,X,O,X,O,X,X
ITJSOLZ,X,O,X,X,X,O,X,O,O,X
ITJSOZL,X,O,X,X,X,O,X,O,X,X
ITJZLSO,O,X,X,X,X,O,X,O,X,O
ITJZLOS,O,X,O,X,X,O,X,X,X,O
ITJZSLO,O,X,X,X,X,O,X,O,X,O
ITJZSOL,O,X,X,X,X,O,X,O,X,X
ITJZOLS,O,X,O,X,X,O,X,X,X,O
ITJZOSL,O,X,O,X,X,O,X,X,X,X
ITJOLSZ,O,O,O,X,O,O,X,X,X,X
ITJOLZS,O,O,O,X,X,O,O,X,X,X
ITJOSLZ,O,O,O,X,O,O,X,X,X,X
ITJOSZL,O,O,X,X,O,O,X,X,X,X
ITJOZLS,O,O,O,X,X,O,O,X,X,X
ITJOZSL,O,X,O,X,X,O,O,X,X,X
ITSLJZO,O,X,X,X,X,O,X,O,O,X
ITSLJOZ,X,O,X,X,O,O,X,O,O,X
ITSLZJO,O,X,X,O,X,X,X,O,O,X
ITSLZOJ,O,X,X,O,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,O,O,X,X,O,X
ITSLOZJ,X,O,X,X,O,X,O,X,X,X
ITSJLZO,O,X,X,X,X,O,X,O,O,X
ITSJLOZ,X,O,X,X,O,O,X,O,O,X
ITSJZLO,O,X,X,X,X,O,X,O,O,X
ITSJZOL,O,X,X,X,X,O,X,O,X,X
ITSJOLZ,X,O,X,X,O,O,X,O,O,X
ITSJOZL,X,O,X,X,O,O,X,O,X,X
ITSZLJO,O,X,X,O,X,X,X,O,O,X
ITSZLOJ,O,X,X,O,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,O,O,X
ITSZJOL,X,X,X,O,X,X,X,O,X,X
ITSZOLJ,O,X,X,O,X,X,X,X,X,X
ITSZOJL,X,X,X,O,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,O,O,X,X,O,X
ITSOLZJ,X,O,X,X,O,X,O,X,X,X
ITSOJLZ,X,O,X,X,O,O,X,X,O,X
ITSOJZL,X,O,X,X,O,O,X,X,X,X
ITSOZLJ,X,O,X,X,O,X,O,X,X,X
ITSOZJL,X,O,X,X,O,X,O,X,X,X
ITZLJSO,O,X,X,O,X,O,X,O,X,O
ITZLJOS,O,X,O,O,X,O,O,X,X,O
ITZLSJO,O,X,X,O,X,X,X,O,X,O
ITZLSOJ,O,X,X,O,X,X,X,X,X,X
ITZLOJS,O,X,O,O,X,O,O,X,X,O
ITZLOSJ,O,X,O,O,O,X,O,X,X,X
ITZJLSO,O,X,X,O,X,O,X,O,X,O
ITZJLOS,O,X,O,O,X,O,O,X,X,O
ITZJSLO,O,X,X,O,X,O,X,O,X,O
ITZJSOL,O,X,X,O,X,O,X,O,X,X
ITZJOLS,O,X,O,O,X,O,O,X,X,O
ITZJOSL,O,X,O,O,X,O,O,X,X,X
ITZSLJO,O,X,X,O,X,X,X,O,X,O
ITZSLOJ,O,X,X,O,X,X,X,X,X,X
ITZSJLO,O,X,X,O,X,X,X,O,X,O
ITZSJOL,X,X,X,O,X,X,X,O,X,X
ITZSOLJ,O,X,X,O,X,X,X,X,X,X
ITZSOJL,O,X,X,O,X,X,X,X,X,X
ITZOLJS,O,X,O,O,X,O,O,X,X,O
ITZOLSJ,O,X,O,O,O,X,O,X,X,X
ITZOJLS,O,X,O,O,X,O,O,X,X,O
ITZOJSL,O,X,O,O,X,O,O,X,X,X
ITZOSLJ,O,X,O,O,O,X,O,X,X,X
ITZOSJL,O,X,O,O,O,X,O,X,X,X
ITOLJSZ,O,O,O,X,O,O,X,X,X,X
ITOLJZS,O,O,O,X,X,O,O,X,X,X
ITOLSJZ,O,O,O,X,O,O,X,X,X,X
ITOLSZJ,O,O,X,X,O,X,O,X,X,X
ITOLZJS,O,O,O,X,X,O,O,X,X,X
ITOLZSJ,O,X,O,X,O,X,O,X,X,X
ITOJLSZ,O,O,O,X,O,O,X,X,X,X
ITOJLZS,O,O,O,X,X,O,O,X,X,X
ITOJSLZ,O,O,O,X,O,O,X,X,X,X
ITOJSZL,O,O,X,X,O,O,X,X,X,X
ITOJZLS,O,O,O,X,X,O,O,X,X,X
ITOJZSL,O,X,O,X,X,O,O,X,X,X
ITOSLJZ,O,O,O,X,O,O,X,X,X,X
ITOSLZJ,O,O,X,X,O,X,O,X,X,X
ITOSJLZ,O,O,O,X,O,O,X,X,X,X
ITOSJZL,O,O,X,X,O,O,X,X,X,X
ITOSZLJ,O,O,X,X,O,X,O,X,X,X
ITOSZJL,O,O,X,X,O,X,O,X,X,X
ITOZLJS,O,O,O,X,X,O,O,X,X,X
ITOZLSJ,O,X,O,X,O,X,O,X,X,X
ITOZJLS,O,O,O,X,X,O,O,X,X,X
ITOZJSL,O,X,O,X,X,O,O,X,X,X
ITOZSLJ,O,X,O,X,O,X,O,X,X,X
ITOZSJL,O,X,O,X,O,X,O,X,X,X
ILTJSZO,O,X,X,X,X,O,X,O,O,X
ILTJSOZ,X,O,X,X,X,O,X,O,O,X
ILTJZSO,O,X,X,X,X,O,X,O,X,O
ILTJZOS,O,X,O,X,X,O,X,X,X,O
ILTJOSZ,O,O,O,X,O,O,X,X,X,X
ILTJOZS,O,O,O,X,X,O,O,X,X,X
ILTSJZO,O,X,X,X,X,O,X,O,O,X
ILTSJOZ,X,O,X,X,O,O,X,O,O,X
ILTSZJO,O,X,X,O,X,X,X,O,O,X
ILTSZOJ,O,X,X,O,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,O,O,X,X,O,X
ILTSOZJ,X,O,X,X,O,X,O,X,X,X
ILTZJSO,O,X,X,O,X,O,X,O,X,O
ILTZJOS,O,X,O,O,X,O,O,X,X,O
ILTZSJO,O,X,X,O,X,X,X,O,X,O
ILTZSOJ,O,X,X,O,X,X,X,X,X,X
ILTZOJS,O,X,O,O,X,O,O,X,X,O
ILTZOSJ,O,X,O,O,O,X,O,X,X,X
ILTOJSZ,O,O,O,X,O,O,X,X,X,X
ILTOJZS,O,O,O,X,X,O,O,X,X,X
ILTOSJZ,O,O,O,X,O,O,X,X,X,X
ILTOSZJ,O,O,X,X,O,X,O,X,X,X
ILTOZJS,O,O,O,X,X,O,O,X,X,X
ILTOZSJ,O,X,O,X,O,X,O,X,X,X
ILJTSZO,O,X,X,X,X,O,X,O,O,X
ILJTSOZ,X,O,X,X,X,O,X,O,O,X
ILJTZSO,O,X,X,X,X,O,X,O,X,O
ILJTZOS,O,X,O,X,X,O,X,X,X,O
ILJTOSZ,O,O,O,X,O,O,X,X,X,X
ILJTOZS,O,O,O,X,X,O,O,X,X,X
ILJSTZO,O,X,X,X,X,O,X,O,O,X
ILJSTOZ,X,O,X,X,X,O,X,O,O,X
ILJSZTO,O,X,X,O,X,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X,X,O,X,X
ILJSOTZ,O,O,X,X,X,O,X,O,X,X
ILJSOZT,X,X,X,X,X,X,X,O,X,X
ILJZTSO,O,X,X,O,X,O,X,O,X,O
ILJZTOS,O,X,O,O,X,O,X,X,X,O
ILJZSTO,O,X,X,O,X,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X,X,O,X,X
ILJZOTS,O,X,O,O,X,O,X,X,X,X
ILJZOST,O,X,X,O,X,X,X,O,X,X
ILJOTSZ,O,O,O,X,O,O,X,X,X,X
ILJOTZS,O,O,O,X,X,O,O,X,X,X
ILJOSTZ,O,O,X,X,O,O,X,O,X,X
ILJOSZT,X,X,X,X,X,X,X,O,X,X
ILJOZTS,O,X,O,X,X,O,O,X,X,X
ILJOZST,O,X,X,X,X,X,X,O,X,X
ILSTJZO,O,X,X,X,X,O,X,O,O,X
ILSTJOZ,X,O,X,X,O,O,X,O,O,X
ILSTZJO,O,X,X,O,X,X,X,O,O,X
ILSTZOJ,O,X,X,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,O,O,X,X,O,X
ILSTOZJ,X,O,X,X,O,X,O,X,X,X
ILSJTZO,O,X,X,X,X,O,X,O,O,X
ILSJTOZ,X,O,X,X,X,O,X,O,O,X
ILSJZTO,O,X,X,O,X,X,X,O,X,X
ILSJZOT,O,X,X,O,X,X,X,O,X,X
ILSJOTZ,O,O,X,X,X,O,X,O,X,X
ILSJOZT,X,X,X,X,X,X,X,O,X,X
ILSZTJO,X,X,X,O,X,X,X,O,X,X
ILSZTOJ,X,X,X,O,X,X,X,X,X,X
ILSZJTO,X,X,X,O,X,X,X,O,X,X
ILSZJOT,X,X,X,O,X,X,X,O,X,X
ILSZOTJ,X,X,X,O,X,X,X,X,X,X
ILSZOJT,X,X,X,O,X,X,X,O,X,X
ILSOTJZ,O,O,X,X,O,O,X,X,X,X
ILSOTZJ,O,O,X,X,O,X,O,X,X,X
ILSOJTZ,O,O,X,X,O,O,X,O,X,X
ILSOJZT,X,X,X,X,X,X,X,O,X,X
ILSOZTJ,X,X,X,O,O,X,O,X,X,X
ILSOZJT,X,X,X,O,X,X,X,O,X,X
ILZTJSO,O,X,X,O,X,O,X,O,X,O
ILZTJOS,O,X,O,O,X,O,O,X,X,O
ILZTSJO,O,X,X,O,X,X,X,O,X,O
ILZTSOJ,O,X,X,O,X,X,X,X,X,X
ILZTOJS,X,X,O,O,X,O,O,X,X,O
ILZTOSJ,O,X,O,O,O,X,O,X,X,X
ILZJTSO,O,X,X,O,X,O,X,O,X,O
ILZJTOS,O,X,O,O,X,O,X,X,X,O
ILZJSTO,O,X,X,O,X,X,X,O,X,X
ILZJSOT,O,X,X,O,X,X,X,O,X,X
ILZJOTS,O,X,O,O,X,O,X,X,X,X
ILZJOST,O,X,X,O,X,X,X,O,X,X
ILZSTJO,X,X,X,O,X,X,X,O,X,X
ILZSTOJ,X,X,X,O,X,X,X,X,X,X
ILZSJTO,X,X,X,O,X,X,X,O,X,X
ILZSJOT,X,X,X,O,X,X,X,O,X,X
ILZSOTJ,X,X,X,O,X,X,X,X,X,X
ILZSOJT,X,X,X,O,X,X,X,O,X,X
ILZOTJS,O,X,O,O,X,O,O,X,X,X
ILZOTSJ,O,X,O,O,O,X,O,X,X,X
ILZOJTS,O,X,O,O,X,O,O,X,X,X
ILZOJST,X,X,X,O,X,X,X,O,X,X
ILZOSTJ,X,X,X,O,O,X,O,X,X,X
ILZOSJT,X,X,X,O,X,X,X,O,X,X
ILOTJSZ,O,O,O,X,O,O,X,X,X,X
ILOTJZS,O,O,O,X,X,O,O,X,X,X
ILOTSJZ,O,O,O,X,O,O,X,X,X,X
ILOTSZJ,O,O,X,X,O,X,O,X,X,X
ILOTZJS,O,O,O,X,X,O,O,X,X,X
ILOTZSJ,O,X,O,X,O,X,O,X,X,X
ILOJTSZ,O,O,O,X,O,O,X,X,X,X
ILOJTZS,O,O,O,X,X,O,O,X,X,X
ILOJSTZ,O,O,X,X,O,O,X,O,X,X
