sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
TLJZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSJIZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJZIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJZOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSZIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSZJIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSZJOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
