sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
ZISOTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZISOLTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZISOLJT,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O
ZISOJTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZISOJLT,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
ZIOTLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOTJLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZIOTSLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOTSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZIOLTJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOLJTS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZIOLJST,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X
ZIOLSTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOLSJT,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ZIOJTLS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
ZIOJTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZIOJLTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZIOJLST,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X
ZIOJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ZIOJSLT,X,X,X,X,O,O,X,O,O,X,O,X,O,O,X
ZIOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOSTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZIOSLTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZIOSLJT,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O
ZIOSJTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZIOSJLT,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
ZLTIJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLTIJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTISJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLTISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLTIOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTIOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTJIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTJSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLTJSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLTJOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTJOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZLTSIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLTSIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLTSJIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLTSJOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLTSOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSOJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOJIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOJSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOSJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLITJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLITJOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLITSJO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
ZLITSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLITOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLITOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLIJTOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLIJSTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
ZLIJSOT,O,O,X,X,O,X,X,O,X,X,X,O,O,O,O
ZLIJOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZLIJOST,X,X,X,X,O,X,X,O,O,X,X,O,X,O,X
ZLISTJO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
ZLISTOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLISJTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
ZLISJOT,O,O,X,X,O,X,X,O,X,O,X,O,O,O,O
ZLISOTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLISOJT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
ZLIOTJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLIOJST,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
ZLIOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLIOSJT,O,O,X,X,O,X,X,X,X,X,X,X,O,O,O
ZLJTISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJTIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJTSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLJTSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLJTOIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZLJITSO,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLJITOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLJISTO,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X
ZLJISOT,O,O,X,X,O,X,X,O,X,O,O,O,X,O,O
ZLJIOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZLJIOST,X,X,X,X,O,X,X,O,O,X,O,O,X,O,X
ZLJSTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZLJSTOI,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZLJSITO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZLJSIOT,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O
ZLJSOTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLJSOIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLJOTIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZLJOITS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZLJOIST,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
ZLJOSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLJOSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
ZLSTIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLSTIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLSTJIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ZLSTJOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ZLSTOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZLSITJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLSITOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLSIJTO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZLSIJOT,O,O,X,X,O,X,X,X,X,O,X,O,X,O,O
ZLSIOTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLSIOJT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
ZLSJTIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZLSJTOI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZLSJITO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZLSJIOT,O,O,X,X,O,X,X,X,X,O,X,O,X,O,O
ZLSJOTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSJOIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSOTIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLSOIJT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
ZLSOJTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSOJIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLOTIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOTJSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOITJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLOIJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOIJST,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X
ZLOISTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLOISJT,O,O,X,X,O,X,X,X,X,X,X,X,O,O,O
ZLOJTIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZLOJITS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJIST,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
ZLOJSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLOJSIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
ZLOSTIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLOSIJT,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O
ZLOSJTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLOSJIT,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X
ZJTILSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTILOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJTISLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTISOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
ZJTIOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
ZJTIOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZJTLSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZJTLOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZJTSILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJTSIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZJTSLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJTSOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJTSOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZJTOILS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
ZJTOISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZJTOSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJITLSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJITLOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJITSLO,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
ZJITSOL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
ZJITOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
ZJITOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJILTSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJILTOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJILSTO,O,X,X,X,O,X,X,X,X,X,O,O,O,O,X
ZJILSOT,O,O,X,X,O,X,X,O,X,O,O,O,O,O,X
ZJILOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZJILOST,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
ZJISTLO,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
ZJISTOL,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X
ZJISLTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJISLOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
ZJISOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ZJISOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
ZJIOTLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
ZJIOTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZJIOLST,X,X,X,X,O,O,X,O,O,X,O,X,X,X,X
ZJIOSTL,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ZJIOSLT,X,X,X,X,O,O,X,O,O,O,X,X,X,O,X
ZJLTISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZJLTSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZJLTOIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTOSI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZJLITSO,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZJLITOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJLISTO,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X
ZJLISOT,O,O,X,X,O,X,X,O,X,O,O,O,X,O,O
ZJLIOTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZJLIOST,X,X,X,X,O,X,X,O,O,X,O,O,X,O,X
ZJLSTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJLSTOI,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJLSITO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZJLSIOT,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O
ZJLSOTI,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJLSOIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJLOTIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOTSI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZJLOITS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZJLOIST,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
ZJLOSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJLOSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
ZJSTILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSTIOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZJSTLIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSTLOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSTOIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSTOLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJSITLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSITOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZJSILTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJSILOT,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O
ZJSIOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJSIOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
ZJSLTIO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJSLTOI,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZJSLITO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZJSLIOT,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O
ZJSLOTI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJSLOIT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJSOTIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSOTLI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJSOITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJSOILT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X
ZJSOLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJSOLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJOTILS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
ZJOTISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTLIS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTLSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOTSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOITLS,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
ZJOITSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOILTS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZJOILST,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X
ZJOISTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOISLT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
ZJOLTIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOLTSI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJOLITS,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZJOLIST,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X
ZJOLSTI,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZJOLSIT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X
ZJOSTIL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZJOSTLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZJOSITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOSILT,X,X,X,X,O,O,X,O,O,O,O,X,O,X,X
ZJOSLTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJOSLIT,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZSTILJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSTILOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSTIJLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSTIJOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTIOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSTIOJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSTLIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSTLJIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSTLJOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSTLOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTJILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSTJIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTJLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTJOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTJOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZSTOILJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOIJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOLJI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOJIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOJLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZSITLJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSITLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSITJLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSITJOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSITOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSITOJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSILTJO,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X
ZSILTOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZSILJTO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
ZSILJOT,O,O,X,X,O,X,X,O,X,O,X,O,O,O,O
ZSILOTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZSILOJT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
ZSIJTLO,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
ZSIJTOL,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X
ZSIJLTO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ZSIJLOT,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O
ZSIJOTL,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ZSIJOLT,X,X,X,X,O,O,X,O,O,O,X,X,O,O,X
ZSIOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZSIOLJT,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O
ZSIOJTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZSIOJLT,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
ZSLTIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSLTIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSLTJIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSLTJOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSLTOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSLITJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZSLITOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSLIJTO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZSLIJOT,O,O,X,X,O,X,X,X,X,O,X,O,X,O,O
ZSLIOTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZSLIOJT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
ZSLJTIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZSLJTOI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZSLJITO,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
ZSLJIOT,O,O,X,X,O,X,X,X,X,O,X,O,X,O,O
ZSLJOTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSLJOIT,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSLOTIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
