sequence,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbBTeBlhBR?qBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhFTeB0fBlhBR?qBfrBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhF0cBTeBigBR?qBFrBGqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhF0cBTeB6kBx?lBlqBfrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex7IvhFTeBmfBfmBl?hB6kB0qB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kB/?qBFmBmqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8JeU7IvhFTeBlhBRlB/?kBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbB1hBTeBx?lBarBGqB
TSLJOZI,O,X,O,X,O,X,X,X,X,O,X,O
TSLZIJO,O,X,O,X,X,X,X,X,X,O,X,X
TSLZIOJ,O,X,O,X,X,X,X,X,X,O,X,X
TSLZJIO,O,X,O,X,X,X,X,X,X,O,X,X
TSLZJOI,O,X,O,X,X,X,X,X,X,O,X,X
TSLZOIJ,O,X,O,O,X,X,X,X,X,O,X,O
TSLZOJI,O,X,O,X,X,X,X,X,X,O,X,O
TSLOIJZ,O,X,X,O,X,X,X,O,X,O,X,O
TSLOIZJ,O,X,O,O,X,X,X,O,X,O,X,O
TSLOJIZ,O,X,X,X,X,X,X,O,X,O,X,O
TSLOJZI,O,X,O,X,O,X,X,X,X,O,X,O
TSLOZIJ,O,X,O,O,X,X,X,X,X,O,X,O
TSLOZJI,O,X,O,X,X,X,X,X,X,O,X,O
TSJILZO,O,X,X,O,X,X,X,X,X,X,O,O
TSJILOZ,O,X,X,O,X,X,X,X,X,X,O,O
TSJIZLO,O,X,X,O,X,X,X,X,X,X,O,O
TSJIZOL,O,X,X,O,X,X,X,X,X,X,O,O
TSJIOLZ,O,X,X,O,X,X,X,X,X,X,O,O
TSJIOZL,O,X,X,O,X,X,X,X,X,X,O,O
TSJLIZO,O,X,X,X,X,X,X,X,X,O,X,O
TSJLIOZ,O,X,X,X,X,X,X,X,X,O,X,O
TSJLZIO,O,X,O,X,O,X,X,X,X,O,X,X
TSJLZOI,O,X,O,X,O,X,X,X,X,O,X,O
TSJLOIZ,O,X,X,X,X,X,X,X,X,O,X,O
TSJLOZI,O,X,O,X,O,X,X,X,X,O,X,O
TSJZILO,O,X,X,X,X,X,X,X,X,X,X,O
TSJZIOL,O,X,X,X,X,X,X,X,X,X,X,O
TSJZLIO,O,X,O,X,O,X,X,X,X,O,X,X
TSJZLOI,O,X,O,X,O,X,X,X,X,O,X,O
TSJZOIL,O,X,X,O,X,X,X,X,X,X,X,O
TSJZOLI,O,X,O,X,O,X,X,X,X,O,X,O
TSJOILZ,O,X,X,O,X,X,X,X,X,X,O,O
TSJOIZL,O,X,X,O,X,X,X,X,X,X,O,O
TSJOLIZ,O,X,X,X,X,X,X,X,X,O,X,O
TSJOLZI,O,X,O,X,O,X,X,X,X,O,X,O
TSJOZIL,O,X,X,O,X,X,X,X,X,X,X,O
TSJOZLI,O,X,O,X,O,X,X,X,X,O,X,O
TSZILJO,O,X,O,X,X,X,O,X,X,O,X,X
TSZILOJ,O,X,O,O,X,X,O,X,X,O,X,O
TSZIJLO,X,X,X,O,X,X,O,X,X,X,X,O
TSZIJOL,O,X,X,O,X,X,O,X,X,X,X,O
TSZIOLJ,O,X,O,O,X,X,O,X,X,O,X,O
TSZIOJL,O,X,X,O,X,X,O,X,X,X,X,O
TSZLIJO,O,X,O,X,X,X,X,X,X,O,X,X
TSZLIOJ,O,X,O,X,X,X,X,X,X,O,X,X
TSZLJIO,O,X,O,X,X,X,X,X,X,O,X,X
TSZLJOI,O,X,O,X,X,X,X,X,X,O,X,X
TSZLOIJ,O,X,O,O,X,X,X,X,X,O,X,O
TSZLOJI,O,X,O,X,X,X,X,X,X,O,X,O
TSZJILO,X,X,X,X,X,X,X,X,X,X,X,O
TSZJIOL,O,X,X,X,X,X,X,X,X,X,X,O
TSZJLIO,O,X,O,X,X,X,X,X,X,O,X,X
TSZJLOI,O,X,O,X,X,X,X,X,X,O,X,O
TSZJOIL,O,X,X,O,X,X,X,X,X,X,X,O
TSZJOLI,O,X,O,X,X,X,X,X,X,O,X,O
TSZOILJ,O,X,O,O,X,X,O,X,X,O,X,O
TSZOIJL,O,X,X,O,X,X,O,X,X,X,X,O
TSZOLIJ,O,X,O,O,X,X,X,X,X,O,X,O
TSZOLJI,O,X,O,X,X,X,X,X,X,O,X,O
TSZOJIL,O,X,X,O,X,X,X,X,X,X,X,O
TSZOJLI,O,X,O,X,X,X,X,X,X,O,X,O
TSOILJZ,O,X,X,O,X,X,O,O,X,O,X,O
TSOILZJ,O,X,O,O,X,O,O,O,X,O,X,O
TSOIJLZ,X,X,X,O,X,X,O,X,X,X,X,O
TSOIJZL,O,X,X,O,X,O,O,X,X,X,X,O
TSOIZLJ,O,X,O,O,X,O,O,X,X,O,X,O
TSOIZJL,O,X,X,O,X,O,O,X,X,X,X,O
TSOLIJZ,O,X,X,O,X,X,X,O,X,O,X,O
TSOLIZJ,O,X,O,O,X,X,X,O,X,O,X,O
TSOLJIZ,O,X,X,X,X,X,X,O,X,O,X,O
TSOLJZI,O,X,O,X,O,X,X,X,X,O,X,O
TSOLZIJ,O,X,O,O,X,X,X,X,X,O,X,O
TSOLZJI,O,X,O,X,X,X,X,X,X,O,X,O
TSOJILZ,O,X,X,O,X,X,X,X,X,X,O,O
TSOJIZL,O,X,X,O,X,X,X,X,X,X,O,O
TSOJLIZ,O,X,X,X,X,X,X,X,X,O,X,O
TSOJLZI,O,X,O,X,O,X,X,X,X,O,X,O
TSOJZIL,O,X,X,O,X,X,X,X,X,X,X,O
TSOJZLI,O,X,O,X,O,X,X,X,X,O,X,O
TSOZILJ,O,X,O,O,X,X,O,X,X,O,X,O
TSOZIJL,O,X,X,O,X,X,O,X,X,X,X,O
TSOZLIJ,O,X,O,O,X,X,X,X,X,O,X,O
TSOZLJI,O,X,O,X,X,X,X,X,X,O,X,O
TSOZJIL,O,X,X,O,X,X,X,X,X,X,X,O
TSOZJLI,O,X,O,X,X,X,X,X,X,O,X,O
TZILJSO,X,X,X,X,X,X,O,O,X,X,X,X
TZILJOS,X,X,X,X,X,X,O,O,X,X,X,X
TZILSJO,X,X,X,X,X,X,O,O,X,X,X,X
TZILSOJ,X,X,X,X,X,X,O,O,X,X,X,X
TZILOJS,X,X,X,X,X,X,O,O,X,X,X,X
TZILOSJ,X,X,X,X,X,X,O,O,X,X,X,X
TZIJLSO,X,X,X,X,X,X,O,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X,O,X,X,X,X,X
TZIJSLO,X,X,X,O,X,O,O,X,X,X,X,O
TZIJSOL,X,X,X,O,X,O,O,X,X,X,X,O
TZIJOLS,X,X,X,X,X,X,O,X,X,X,X,X
TZIJOSL,X,X,X,O,X,O,O,X,X,X,X,O
TZISLJO,X,X,X,X,X,O,O,X,X,X,X,X
TZISLOJ,X,X,X,O,X,O,O,X,X,X,X,O
TZISJLO,X,X,X,O,X,O,O,X,X,X,X,O
TZISJOL,X,X,X,O,X,O,O,X,X,X,X,O
TZISOLJ,X,X,X,O,X,O,O,X,X,X,X,O
TZISOJL,X,X,X,O,X,O,O,X,X,X,X,O
TZIOLJS,X,X,X,X,X,X,O,O,X,X,X,X
TZIOLSJ,X,X,X,X,X,X,O,O,X,X,X,X
TZIOJLS,X,X,X,X,X,X,O,X,X,X,X,X
TZIOJSL,X,X,X,O,X,O,O,X,X,X,X,O
TZIOSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TZIOSJL,X,X,X,O,X,O,O,X,X,X,X,O
TZLIJSO,X,X,X,X,X,X,X,O,X,X,X,X
TZLIJOS,X,X,X,X,X,X,X,O,X,X,X,X
TZLISJO,X,X,X,X,X,X,X,O,X,X,X,X
TZLISOJ,X,X,X,X,X,X,X,O,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,O,X,O,X,X
TZLJISO,X,O,X,X,O,X,X,O,X,X,X,X
TZLJIOS,O,O,X,X,O,X,X,O,X,X,X,X
TZLJSIO,O,O,X,X,O,X,X,X,X,X,X,X
TZLJSOI,O,O,X,X,O,X,X,X,X,X,X,X
TZLJOIS,O,O,X,X,O,X,X,O,X,X,X,X
TZLJOSI,O,O,X,X,O,X,X,X,X,X,X,X
TZLSIJO,O,X,O,X,X,X,X,X,X,X,X,X
TZLSIOJ,O,X,O,X,X,X,X,X,X,O,X,X
TZLSJIO,O,X,O,X,X,X,X,X,X,X,X,X
TZLSJOI,O,X,O,X,X,X,X,X,X,X,X,X
TZLSOIJ,O,X,O,X,X,X,X,X,X,O,X,X
TZLSOJI,O,X,O,X,X,X,X,X,X,X,X,X
TZLOIJS,O,O,X,X,X,X,X,O,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,O,X,O,X,X
TZLOJIS,O,O,X,X,O,X,X,O,X,X,X,X
TZLOJSI,O,O,X,X,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,X,X,X,X,X,O,X,X
TZLOSJI,O,X,O,X,X,X,X,X,X,X,X,X
TZJILSO,X,O,X,X,O,X,X,X,X,X,X,X
TZJILOS,O,O,X,X,O,X,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,O,X,X,X,X,O,O
TZJISOL,X,O,X,X,X,O,X,X,X,X,O,O
TZJIOLS,O,O,X,X,O,X,X,X,X,X,X,X
TZJIOSL,X,O,X,X,X,O,X,X,X,X,O,O
TZJLISO,X,O,X,X,O,X,X,X,X,X,X,X
TZJLIOS,O,O,X,X,O,X,X,X,X,X,X,X
TZJLSIO,O,O,X,X,O,X,X,X,X,X,X,X
TZJLSOI,O,O,X,X,O,X,X,X,X,X,X,X
TZJLOIS,O,O,X,X,O,X,X,X,X,X,X,X
TZJLOSI,O,O,X,X,O,X,X,X,X,X,X,X
TZJSILO,O,X,X,X,X,X,X,X,O,X,X,O
TZJSIOL,O,O,X,X,X,X,X,X,O,X,X,O
TZJSLIO,O,O,X,X,O,X,X,X,O,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X,O,X,X,O
TZJSOIL,O,O,X,X,X,X,X,X,O,X,X,O
TZJSOLI,O,O,X,X,O,X,X,X,O,X,X,O
TZJOILS,O,O,X,X,O,X,X,X,X,X,X,X
TZJOISL,X,O,X,X,X,O,X,X,X,X,O,O
TZJOLIS,O,O,X,X,O,X,X,X,X,X,X,X
TZJOLSI,O,O,X,X,O,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X,O,X,X,O
TZJOSLI,O,O,X,X,O,X,X,X,O,X,X,O
TZSILJO,O,X,O,X,X,X,O,X,O,X,X,X
TZSILOJ,O,X,O,O,X,X,O,X,O,X,X,O
TZSIJLO,X,X,X,O,X,X,O,X,O,X,X,O
TZSIJOL,O,X,X,O,X,X,O,X,O,X,X,O
TZSIOLJ,O,X,O,O,X,X,O,X,O,X,X,O
TZSIOJL,O,X,X,O,X,X,O,X,O,X,X,O
TZSLIJO,O,X,O,X,X,X,X,X,O,X,X,X
TZSLIOJ,O,X,O,X,X,X,X,X,O,O,X,X
TZSLJIO,O,X,O,X,X,X,X,X,O,X,X,X
TZSLJOI,O,X,O,X,X,X,X,X,O,X,X,X
TZSLOIJ,O,X,O,O,X,X,X,X,O,O,X,O
TZSLOJI,O,X,O,X,X,X,X,X,O,X,X,O
TZSJILO,X,X,X,X,X,X,X,X,O,X,X,O
TZSJIOL,O,X,X,X,X,X,X,X,O,X,X,O
TZSJLIO,O,X,O,X,X,X,X,X,O,X,X,X
TZSJLOI,O,X,O,X,X,X,X,X,O,X,X,O
TZSJOIL,O,X,X,O,X,X,X,X,O,X,X,O
TZSJOLI,O,X,O,X,X,X,X,X,O,X,X,O
TZSOILJ,O,X,O,O,X,X,O,X,O,X,X,O
TZSOIJL,O,X,X,O,X,X,O,X,O,X,X,O
TZSOLIJ,O,X,O,O,X,X,X,X,O,O,X,O
TZSOLJI,O,X,O,X,X,X,X,X,O,X,X,O
TZSOJIL,O,X,X,O,X,X,X,X,O,X,X,O
TZSOJLI,O,X,O,X,X,X,X,X,O,X,X,O
TZOILJS,X,X,X,X,X,X,O,O,X,X,X,X
TZOILSJ,X,X,X,X,X,X,O,O,X,X,X,X
TZOIJLS,X,X,X,X,X,X,O,X,X,X,X,X
TZOIJSL,X,X,X,O,X,O,O,X,X,X,X,O
TZOISLJ,X,X,X,O,X,O,O,X,X,X,X,O
TZOISJL,X,X,X,O,X,O,O,X,X,X,X,O
TZOLIJS,O,O,X,X,X,X,X,O,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X,O,X,O,X,X
TZOLJIS,O,O,X,X,O,X,X,O,X,X,X,X
TZOLJSI,O,O,X,X,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,O,X,X,X,X,X,X,O,X,X
TZOLSJI,O,X,O,X,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,O,X,X,X,X,X,X,X
TZOJISL,X,O,X,X,X,O,X,X,X,X,O,O
TZOJLIS,O,O,X,X,O,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,O,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X,O,X,X,O
TZOJSLI,O,O,X,X,O,X,X,X,O,X,X,O
TZOSILJ,O,X,O,O,X,X,O,X,O,X,X,O
TZOSIJL,O,X,X,O,X,X,O,X,O,X,X,O
TZOSLIJ,O,X,O,O,X,X,X,X,O,O,X,O
TZOSLJI,O,X,O,X,X,X,X,X,O,X,X,O
TZOSJIL,O,X,X,O,X,X,X,X,O,X,X,O
TZOSJLI,O,X,O,X,X,X,X,X,O,X,X,O
TOILJSZ,X,X,X,O,X,X,O,O,X,X,X,O
TOILJZS,X,X,X,X,O,X,O,O,X,X,X,X
TOILSJZ,X,X,X,O,X,X,O,O,X,X,X,O
TOILSZJ,X,X,O,O,X,O,O,O,X,X,X,O
TOILZJS,X,X,X,X,X,X,O,O,X,X,X,X
TOILZSJ,X,X,X,X,X,X,O,O,X,X,X,X
TOIJLSZ,X,X,X,O,X,X,O,O,X,X,O,O
TOIJLZS,X,X,X,X,O,X,O,O,X,X,X,X
TOIJSLZ,X,X,X,O,X,X,O,X,X,X,O,O
TOIJSZL,X,X,X,O,X,O,O,X,X,X,O,O
TOIJZLS,X,X,X,X,O,X,O,X,X,X,X,X
TOIJZSL,X,X,X,O,X,X,O,X,X,X,O,O
TOISLJZ,X,X,X,O,X,X,O,O,X,X,X,O
TOISLZJ,X,X,O,O,X,O,O,O,X,X,X,O
TOISJLZ,X,X,X,O,X,X,O,X,X,X,X,O
TOISJZL,X,X,X,O,X,O,O,X,X,X,X,O
TOISZLJ,X,X,O,O,X,O,O,X,X,X,X,O
TOISZJL,X,X,X,O,X,O,O,X,X,X,X,O
TOIZLJS,X,X,X,X,X,X,O,O,X,X,X,X
TOIZLSJ,X,X,X,X,X,X,O,O,X,X,X,X
TOIZJLS,X,X,X,X,X,X,O,X,X,X,X,X
TOIZJSL,X,X,X,O,X,O,O,X,X,X,X,O
TOIZSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TOIZSJL,X,X,X,O,X,O,O,X,X,X,X,O
TOLIJSZ,X,O,X,O,X,X,X,O,X,X,X,O
TOLIJZS,O,O,X,X,O,X,X,O,X,X,X,X
TOLISJZ,O,X,X,O,X,X,X,O,X,O,X,O
TOLISZJ,O,X,O,O,X,O,X,O,X,O,X,O
TOLIZJS,O,O,X,X,X,X,X,O,X,X,X,X
TOLIZSJ,O,X,X,X,X,X,X,O,X,O,X,X
TOLJISZ,X,O,X,X,X,X,X,O,X,X,O,O
TOLJIZS,O,O,X,X,O,X,X,O,X,X,X,X
TOLJSIZ,O,O,X,X,X,X,X,O,X,X,X,O
TOLJSZI,O,O,O,X,O,X,X,X,X,X,X,O
TOLJZIS,O,O,X,X,O,X,X,O,X,X,X,X
TOLJZSI,O,O,X,X,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,X,O,X,X,X,O,X,O,X,O
TOLSIZJ,O,X,O,O,X,X,X,O,X,O,X,O
TOLSJIZ,O,X,X,X,X,X,X,O,X,O,X,O
TOLSJZI,O,X,O,X,O,X,X,X,X,O,X,O
TOLSZIJ,O,X,O,O,X,X,X,X,X,O,X,O
TOLSZJI,O,X,O,X,X,X,X,X,X,O,X,O
TOLZIJS,O,O,X,X,X,X,X,O,X,X,X,X
TOLZISJ,O,X,X,X,X,X,X,O,X,O,X,X
TOLZJIS,O,O,X,X,O,X,X,O,X,X,X,X
TOLZJSI,O,O,X,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,X,O,X,X,X,X,X,X,O,X,X
TOLZSJI,O,X,O,X,X,X,X,X,X,X,X,X
TOJILSZ,X,O,X,O,X,X,X,O,X,X,O,O
TOJILZS,O,O,X,X,O,X,X,O,X,X,X,X
TOJISLZ,X,X,X,O,X,X,X,X,X,X,O,O
TOJISZL,X,O,X,O,X,O,X,X,X,X,O,O
TOJIZLS,O,O,X,X,O,X,X,X,X,X,X,X
TOJIZSL,X,O,X,O,X,X,X,X,X,X,O,O
TOJLISZ,X,O,X,X,X,X,X,O,X,X,O,O
TOJLIZS,O,O,X,X,O,X,X,O,X,X,X,X
TOJLSIZ,O,O,X,X,X,X,X,O,X,X,X,O
TOJLSZI,O,O,O,X,O,X,X,X,X,X,X,O
TOJLZIS,O,O,X,X,O,X,X,O,X,X,X,X
TOJLZSI,O,O,X,X,O,X,X,X,X,X,X,X
TOJSILZ,O,X,X,O,X,X,X,X,X,X,O,O
TOJSIZL,O,O,X,O,X,X,X,X,X,X,O,O
TOJSLIZ,O,O,X,X,X,X,X,X,X,X,X,O
TOJSLZI,O,O,O,X,O,X,X,X,X,X,X,O
TOJSZIL,O,O,X,O,X,X,X,X,X,X,X,O
TOJSZLI,O,O,O,X,O,X,X,X,X,X,X,O
TOJZILS,O,O,X,X,O,X,X,X,X,X,X,X
TOJZISL,X,O,X,X,X,X,X,X,X,X,O,O
TOJZLIS,O,O,X,X,O,X,X,X,X,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X,X,X,X,X
TOJZSIL,O,O,X,X,X,X,X,X,O,X,X,O
TOJZSLI,O,O,X,X,O,X,X,X,O,X,X,O
TOSILJZ,O,X,X,O,X,X,O,O,X,O,X,O
TOSILZJ,O,X,O,O,X,O,O,O,X,O,X,O
TOSIJLZ,X,X,X,O,X,X,O,X,X,X,X,O
TOSIJZL,O,X,X,O,X,O,O,X,X,X,X,O
TOSIZLJ,O,X,O,O,X,O,O,X,X,O,X,O
TOSIZJL,O,X,X,O,X,O,O,X,X,X,X,O
TOSLIJZ,O,X,X,O,X,X,X,O,X,O,X,O
TOSLIZJ,O,X,O,O,X,X,X,O,X,O,X,O
TOSLJIZ,O,X,X,X,X,X,X,O,X,O,X,O
TOSLJZI,O,X,O,X,O,X,X,X,X,O,X,O
TOSLZIJ,O,X,O,O,X,X,X,X,X,O,X,O
TOSLZJI,O,X,O,X,X,X,X,X,X,O,X,O
TOSJILZ,O,X,X,O,X,X,X,X,X,X,O,O
TOSJIZL,O,X,X,O,X,X,X,X,X,X,O,O
TOSJLIZ,O,X,X,X,X,X,X,X,X,O,X,O
TOSJLZI,O,X,O,X,O,X,X,X,X,O,X,O
TOSJZIL,O,X,X,O,X,X,X,X,X,X,X,O
TOSJZLI,O,X,O,X,O,X,X,X,X,O,X,O
TOSZILJ,O,X,O,O,X,X,O,X,X,O,X,O
TOSZIJL,O,X,X,O,X,X,O,X,X,X,X,O
TOSZLIJ,O,X,O,O,X,X,X,X,X,O,X,O
TOSZLJI,O,X,O,X,X,X,X,X,X,O,X,O
TOSZJIL,O,X,X,O,X,X,X,X,X,X,X,O
TOSZJLI,O,X,O,X,X,X,X,X,X,O,X,O
TOZILJS,X,X,X,X,X,X,O,O,X,X,X,X
TOZILSJ,X,X,X,X,X,X,O,O,X,X,X,X
TOZIJLS,X,X,X,X,X,X,O,X,X,X,X,X
TOZIJSL,X,X,X,O,X,O,O,X,X,X,X,O
TOZISLJ,X,X,X,O,X,O,O,X,X,X,X,O
TOZISJL,X,X,X,O,X,O,O,X,X,X,X,O
TOZLIJS,O,O,X,X,X,X,X,O,X,X,X,X
TOZLISJ,O,X,X,X,X,X,X,O,X,O,X,X
TOZLJIS,O,O,X,X,O,X,X,O,X,X,X,X
TOZLJSI,O,O,X,X,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,X,X,X,X,X,O,X,X
TOZLSJI,O,X,O,X,X,X,X,X,X,X,X,X
TOZJILS,O,O,X,X,O,X,X,X,X,X,X,X
TOZJISL,X,O,X,X,X,O,X,X,X,X,O,O
TOZJLIS,O,O,X,X,O,X,X,X,X,X,X,X
TOZJLSI,O,O,X,X,O,X,X,X,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X,O,X,X,O
TOZJSLI,O,O,X,X,O,X,X,X,O,X,X,O
TOZSILJ,O,X,O,O,X,X,O,X,O,X,X,O
TOZSIJL,O,X,X,O,X,X,O,X,O,X,X,O
TOZSLIJ,O,X,O,O,X,X,X,X,O,O,X,O
TOZSLJI,O,X,O,X,X,X,X,X,O,X,X,O
TOZSJIL,O,X,X,O,X,X,X,X,O,X,X,O
TOZSJLI,O,X,O,X,X,X,X,X,O,X,X,O
ITLJSZO,X,X,X,O,X,X,O,O,X,X,X,O
ITLJSOZ,X,X,X,O,X,X,O,O,X,X,X,O
ITLJZSO,X,X,X,X,O,X,O,O,X,X,X,X
ITLJZOS,X,X,X,X,O,X,O,O,X,X,X,X
ITLJOSZ,X,X,X,O,X,X,O,O,X,X,X,O
ITLJOZS,X,X,X,X,O,X,O,O,X,X,X,X
ITLSJZO,X,X,X,O,X,X,O,O,X,X,X,O
ITLSJOZ,X,X,X,O,X,X,O,O,X,X,X,O
ITLSZJO,X,X,O,X,X,O,O,O,X,X,X,X
ITLSZOJ,X,X,O,O,X,O,O,O,X,X,X,O
ITLSOJZ,X,X,X,O,X,X,O,O,X,X,X,O
ITLSOZJ,X,X,O,O,X,O,O,O,X,X,X,O
ITLZJSO,X,X,X,X,X,X,O,O,X,X,X,X
ITLZJOS,X,X,X,X,X,X,O,O,X,X,X,X
ITLZSJO,X,X,X,X,X,X,O,O,X,X,X,X
ITLZSOJ,X,X,X,X,X,X,O,O,X,X,X,X
ITLZOJS,X,X,X,X,X,X,O,O,X,X,X,X
ITLZOSJ,X,X,X,X,X,X,O,O,X,X,X,X
ITLOJSZ,X,X,X,O,X,X,O,O,X,X,X,O
ITLOJZS,X,X,X,X,O,X,O,O,X,X,X,X
ITLOSJZ,X,X,X,O,X,X,O,O,X,X,X,O
ITLOSZJ,X,X,O,O,X,O,O,O,X,X,X,O
ITLOZJS,X,X,X,X,X,X,O,O,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,O,O,X,X,X,X
ITJLSZO,X,X,X,O,X,X,O,O,X,X,O,O
ITJLSOZ,X,X,X,O,X,X,O,O,X,X,O,O
ITJLZSO,X,X,X,X,O,X,O,O,X,X,X,X
ITJLZOS,X,X,X,X,O,X,O,O,X,X,X,X
ITJLOSZ,X,X,X,O,X,X,O,O,X,X,O,O
ITJLOZS,X,X,X,X,O,X,O,O,X,X,X,X
ITJSLZO,X,X,X,O,X,X,O,X,X,X,O,O
ITJSLOZ,X,X,X,O,X,X,O,X,X,X,O,O
ITJSZLO,X,X,X,O,X,O,O,X,X,X,O,O
ITJSZOL,X,X,X,O,X,O,O,X,X,X,O,O
ITJSOLZ,X,X,X,O,X,X,O,X,X,X,O,O
ITJSOZL,X,X,X,O,X,O,O,X,X,X,O,O
ITJZLSO,X,X,X,X,O,X,O,X,X,X,X,X
ITJZLOS,X,X,X,X,O,X,O,X,X,X,X,X
ITJZSLO,X,X,X,O,X,X,O,X,X,X,O,O
ITJZSOL,X,X,X,O,X,X,O,X,X,X,O,O
ITJZOLS,X,X,X,X,O,X,O,X,X,X,X,X
ITJZOSL,X,X,X,O,X,X,O,X,X,X,O,O
ITJOLSZ,X,X,X,O,X,X,O,O,X,X,O,O
ITJOLZS,X,X,X,X,O,X,O,O,X,X,X,X
ITJOSLZ,X,X,X,O,X,X,O,X,X,X,O,O
ITJOSZL,X,X,X,O,X,O,O,X,X,X,O,O
ITJOZLS,X,X,X,X,O,X,O,X,X,X,X,X
ITJOZSL,X,X,X,O,X,X,O,X,X,X,O,O
ITSLJZO,X,X,X,O,X,X,O,O,X,X,X,O
ITSLJOZ,X,X,X,O,X,X,O,O,X,X,X,O
ITSLZJO,X,X,O,X,X,O,O,O,X,X,X,X
ITSLZOJ,X,X,O,O,X,O,O,O,X,X,X,O
ITSLOJZ,X,X,X,O,X,X,O,O,X,X,X,O
ITSLOZJ,X,X,O,O,X,O,O,O,X,X,X,O
ITSJLZO,X,X,X,O,X,X,O,X,X,X,X,O
ITSJLOZ,X,X,X,O,X,X,O,X,X,X,X,O
ITSJZLO,X,X,X,O,X,O,O,X,X,X,X,O
ITSJZOL,X,X,X,O,X,O,O,X,X,X,X,O
ITSJOLZ,X,X,X,O,X,X,O,X,X,X,X,O
ITSJOZL,X,X,X,O,X,O,O,X,X,X,X,O
ITSZLJO,X,X,O,X,X,O,O,X,X,X,X,X
ITSZLOJ,X,X,O,O,X,O,O,X,X,X,X,O
ITSZJLO,X,X,X,O,X,O,O,X,X,X,X,O
ITSZJOL,X,X,X,O,X,O,O,X,X,X,X,O
ITSZOLJ,X,X,O,O,X,O,O,X,X,X,X,O
ITSZOJL,X,X,X,O,X,O,O,X,X,X,X,O
ITSOLJZ,X,X,X,O,X,X,O,O,X,X,X,O
ITSOLZJ,X,X,O,O,X,O,O,O,X,X,X,O
ITSOJLZ,X,X,X,O,X,X,O,X,X,X,X,O
ITSOJZL,X,X,X,O,X,O,O,X,X,X,X,O
ITSOZLJ,X,X,O,O,X,O,O,X,X,X,X,O
ITSOZJL,X,X,X,O,X,O,O,X,X,X,X,O
ITZLJSO,X,X,X,X,X,X,O,O,X,X,X,X
ITZLJOS,X,X,X,X,X,X,O,O,X,X,X,X
ITZLSJO,X,X,X,X,X,X,O,O,X,X,X,X
ITZLSOJ,X,X,X,X,X,X,O,O,X,X,X,X
ITZLOJS,X,X,X,X,X,X,O,O,X,X,X,X
ITZLOSJ,X,X,X,X,X,X,O,O,X,X,X,X
ITZJLSO,X,X,X,X,X,X,O,X,X,X,X,X
ITZJLOS,X,X,X,X,X,X,O,X,X,X,X,X
ITZJSLO,X,X,X,O,X,O,O,X,X,X,X,O
ITZJSOL,X,X,X,O,X,O,O,X,X,X,X,O
ITZJOLS,X,X,X,X,X,X,O,X,X,X,X,X
ITZJOSL,X,X,X,O,X,O,O,X,X,X,X,O
ITZSLJO,X,X,X,X,X,O,O,X,X,X,X,X
ITZSLOJ,X,X,X,O,X,O,O,X,X,X,X,O
ITZSJLO,X,X,X,O,X,O,O,X,X,X,X,O
ITZSJOL,X,X,X,O,X,O,O,X,X,X,X,O
ITZSOLJ,X,X,X,O,X,O,O,X,X,X,X,O
ITZSOJL,X,X,X,O,X,O,O,X,X,X,X,O
