sequence,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBlnBctBCtB,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBFjB6sBctB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBTjBOpBllBXtB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBOpBllBToBXtB
TOSILJZ,X,O,O,X
TOSILZJ,X,O,O,X
TOSIJLZ,X,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,X,O,O,X
TOSLIZJ,X,O,O,X
TOSLJIZ,X,O,O,X
TOSLJZI,X,O,O,X
TOSLZIJ,X,O,O,X
TOSLZJI,X,O,O,X
TOSJILZ,X,O,O,X
TOSJIZL,O,O,O,O
TOSJLIZ,X,O,O,X
TOSJLZI,X,O,O,X
TOSJZIL,O,O,O,O
TOSJZLI,O,O,O,O
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,O,X
TOSZLJI,O,O,O,O
TOSZJIL,O,O,O,O
TOSZJLI,O,O,O,O
TOZILJS,O,O,X,O
TOZILSJ,O,O,O,X
TOZIJLS,O,O,X,O
TOZIJSL,O,O,X,O
TOZISLJ,O,O,O,X
TOZISJL,O,O,O,X
TOZLIJS,O,O,X,O
TOZLISJ,O,O,O,X
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,O
TOZJILS,O,O,O,O
TOZJISL,O,O,O,O
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,O,O
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,X
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,O
TOZSJIL,O,O,O,O
TOZSJLI,O,O,O,O
ITLJSZO,X,O,X,X
ITLJSOZ,X,O,X,X
ITLJZSO,X,O,X,X
ITLJZOS,X,O,X,X
ITLJOSZ,X,O,X,X
ITLJOZS,X,O,X,X
ITLSJZO,X,O,O,X
ITLSJOZ,X,O,O,X
ITLSZJO,X,O,O,X
ITLSZOJ,X,O,O,X
ITLSOJZ,X,O,O,X
ITLSOZJ,X,O,O,X
ITLZJSO,X,O,O,X
ITLZJOS,X,O,X,X
ITLZSJO,X,O,O,X
ITLZSOJ,X,O,O,X
ITLZOJS,X,O,X,X
ITLZOSJ,X,O,O,X
ITLOJSZ,X,O,X,X
ITLOJZS,X,O,X,X
ITLOSJZ,X,O,X,X
ITLOSZJ,X,O,X,X
ITLOZJS,X,O,X,X
ITLOZSJ,X,O,X,X
ITJLSZO,X,O,O,X
ITJLSOZ,X,O,O,X
ITJLZSO,X,O,O,O
ITJLZOS,X,O,O,O
ITJLOSZ,X,O,X,X
ITJLOZS,X,O,X,O
ITJSLZO,X,O,O,X
ITJSLOZ,X,O,O,X
ITJSZLO,O,O,O,O
ITJSZOL,O,O,O,O
ITJSOLZ,X,O,O,X
ITJSOZL,O,O,O,O
ITJZLSO,O,O,O,O
ITJZLOS,O,O,O,O
ITJZSLO,O,O,O,O
ITJZSOL,O,O,O,O
ITJZOLS,O,O,O,O
ITJZOSL,O,O,O,O
ITJOLSZ,X,O,X,X
ITJOLZS,X,O,X,O
ITJOSLZ,X,O,O,X
ITJOSZL,O,O,O,O
ITJOZLS,O,O,O,O
ITJOZSL,O,O,O,O
ITSLJZO,X,O,O,X
ITSLJOZ,X,O,O,X
ITSLZJO,X,O,O,X
ITSLZOJ,X,O,O,X
ITSLOJZ,X,O,O,X
ITSLOZJ,X,O,O,X
ITSJLZO,X,O,O,X
ITSJLOZ,X,O,O,X
ITSJZLO,O,O,O,X
ITSJZOL,O,O,O,X
ITSJOLZ,X,O,O,X
ITSJOZL,O,O,O,X
ITSZLJO,O,O,O,X
ITSZLOJ,O,O,O,X
ITSZJLO,O,O,O,X
ITSZJOL,O,O,O,X
ITSZOLJ,O,O,O,X
ITSZOJL,O,O,O,X
ITSOLJZ,X,O,O,X
ITSOLZJ,X,O,O,X
ITSOJLZ,X,O,O,X
ITSOJZL,O,O,O,X
ITSOZLJ,O,O,O,X
ITSOZJL,O,O,O,X
ITZLJSO,O,O,O,O
ITZLJOS,O,O,O,O
ITZLSJO,O,O,O,X
ITZLSOJ,O,O,O,X
ITZLOJS,O,O,X,O
ITZLOSJ,O,O,O,X
ITZJLSO,O,O,O,O
ITZJLOS,O,O,O,O
ITZJSLO,O,O,O,O
ITZJSOL,O,O,O,O
ITZJOLS,O,O,O,O
ITZJOSL,O,O,O,O
ITZSLJO,O,O,O,X
ITZSLOJ,O,O,O,X
ITZSJLO,O,O,O,X
ITZSJOL,O,O,O,X
ITZSOLJ,O,O,O,X
ITZSOJL,O,O,O,X
ITZOLJS,O,O,X,O
ITZOLSJ,O,O,O,X
ITZOJLS,O,O,X,O
ITZOJSL,O,O,X,O
ITZOSLJ,O,O,O,X
ITZOSJL,O,O,O,X
ITOLJSZ,X,O,X,X
ITOLJZS,X,O,X,X
ITOLSJZ,X,O,X,X
ITOLSZJ,X,O,X,X
ITOLZJS,X,O,X,X
ITOLZSJ,X,O,X,X
ITOJLSZ,X,O,X,X
ITOJLZS,X,O,X,O
