sequence,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jB6rBzqB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBCeBT?jB8qB+rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBzdB+jBU?hBXmBSwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBGeBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBfjB6jB8?mBzqBurB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jBCrBTrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBSjBU?jB3mBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBGeBzhBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFzcBfjB6jB8?qBurBdrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBSjBU?jBTmBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBfjB6jBU?hBTmBWwB
TSJZOIL,O,X,O,X,X,O,X,X,X,X,O
TSJZOLI,X,X,O,X,X,X,X,X,O,X,O
TSJOILZ,X,X,X,X,X,X,O,X,X,X,O
TSJOIZL,X,X,O,X,X,X,X,X,X,X,O
TSJOLIZ,X,X,O,X,X,X,O,X,X,X,O
TSJOLZI,X,X,O,X,X,X,O,X,O,X,O
TSJOZIL,X,X,O,X,X,X,X,X,X,X,O
TSJOZLI,X,X,O,X,X,X,X,X,O,X,O
TSZILJO,O,X,X,X,X,O,X,X,O,O,O
TSZILOJ,X,X,X,X,X,X,O,X,X,O,O
TSZIJLO,O,X,X,X,X,O,X,X,O,X,O
TSZIJOL,O,X,O,X,X,O,X,O,X,X,X
TSZIOLJ,X,X,X,X,X,X,O,X,X,X,O
TSZIOJL,O,X,X,X,X,O,X,O,X,X,X
TSZLIJO,O,X,X,X,X,O,X,X,O,O,O
TSZLIOJ,O,X,X,X,X,O,O,X,X,O,O
TSZLJIO,O,X,X,X,X,O,X,X,O,O,O
TSZLJOI,O,X,X,X,X,O,X,X,O,X,O
TSZLOIJ,O,X,X,X,X,O,O,X,X,O,O
TSZLOJI,O,X,X,X,X,O,O,X,X,X,O
TSZJILO,O,X,X,X,X,O,X,X,O,X,O
TSZJIOL,O,X,O,X,X,O,X,O,X,X,X
TSZJLIO,O,X,X,X,X,O,X,X,O,X,O
TSZJLOI,O,X,X,X,X,O,X,X,O,X,O
TSZJOIL,O,X,O,X,X,O,X,O,X,X,X
TSZJOLI,X,X,O,X,X,X,X,O,O,X,X
TSZOILJ,X,X,X,X,X,X,O,X,X,X,O
TSZOIJL,O,X,X,X,X,O,X,O,X,X,X
TSZOLIJ,X,X,X,X,X,X,O,X,X,X,O
TSZOLJI,X,X,X,X,X,X,O,X,X,X,O
TSZOJIL,O,X,X,X,X,O,X,O,X,X,X
TSZOJLI,X,X,X,X,X,X,X,O,X,X,X
TSOILJZ,X,X,X,X,O,X,O,X,X,X,X
TSOILZJ,X,X,X,X,O,X,O,X,X,O,O
TSOIJLZ,X,X,X,X,O,X,O,X,X,X,X
TSOIJZL,X,X,X,X,O,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,O,X,O,X,X,X,O
TSOIZJL,O,X,X,X,O,O,X,O,X,X,X
TSOLIJZ,X,X,X,X,O,X,O,X,X,X,X
TSOLIZJ,X,X,X,X,O,X,O,X,X,O,O
TSOLJIZ,X,X,X,X,O,X,O,X,X,X,X
TSOLJZI,X,X,X,X,O,X,O,X,X,X,X
TSOLZIJ,X,X,X,X,O,X,O,X,X,O,O
TSOLZJI,X,X,X,X,O,X,O,X,X,X,O
TSOJILZ,X,X,X,X,O,X,O,X,X,X,X
TSOJIZL,X,X,X,X,O,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,O,X,O,X,X,X,X
TSOJLZI,X,X,X,X,O,X,O,X,X,X,X
TSOJZIL,X,X,X,X,O,X,X,X,X,X,X
TSOJZLI,X,X,X,X,O,X,X,X,X,X,X
TSOZILJ,X,X,X,X,O,X,O,X,X,X,O
TSOZIJL,O,X,X,X,O,O,X,O,X,X,X
TSOZLIJ,X,X,X,X,O,X,O,X,X,X,O
TSOZLJI,X,X,X,X,O,X,O,X,X,X,O
TSOZJIL,O,X,X,X,O,O,X,O,X,X,X
TSOZJLI,X,X,X,X,O,X,X,O,X,X,X
TZILJSO,O,O,X,O,X,O,O,O,X,X,X
TZILJOS,O,O,O,O,X,O,X,O,X,X,X
TZILSJO,O,X,X,O,X,O,X,O,X,O,O
TZILSOJ,O,X,X,O,X,O,O,O,X,O,O
TZILOJS,O,X,X,O,X,O,X,O,X,X,X
TZILOSJ,O,X,X,O,X,O,X,O,X,X,X
TZIJLSO,O,O,X,O,X,O,O,O,X,X,X
TZIJLOS,O,O,O,O,X,O,X,O,X,X,X
TZIJSLO,O,O,X,X,X,O,X,X,O,X,O
TZIJSOL,O,O,O,X,X,O,X,O,X,X,X
TZIJOLS,O,O,O,X,X,X,X,O,X,X,X
TZIJOSL,O,O,O,X,X,O,X,O,X,X,X
TZISLJO,O,X,X,X,X,O,X,X,O,O,O
TZISLOJ,X,X,X,X,X,X,X,X,X,O,O
TZISJLO,O,X,X,X,X,O,X,X,O,X,O
TZISJOL,O,X,O,X,X,O,X,O,X,X,X
TZISOLJ,X,X,X,X,X,X,X,X,X,X,O
TZISOJL,O,X,X,X,X,O,X,O,X,X,X
TZIOLJS,O,O,X,X,X,X,X,O,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X,X,X
TZIOJLS,O,O,O,X,X,X,X,O,X,X,X
TZIOJSL,O,O,O,X,X,O,X,O,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,X,X,O
TZIOSJL,O,X,X,X,X,O,X,O,X,X,X
TZLIJSO,O,O,O,O,X,O,O,O,X,X,X
TZLIJOS,O,O,O,O,X,O,X,O,X,X,X
TZLISJO,O,X,O,O,X,O,X,O,X,O,O
TZLISOJ,O,X,X,O,X,O,O,O,X,O,O
TZLIOJS,O,X,O,O,X,O,X,O,X,X,X
TZLIOSJ,O,X,X,O,X,O,X,O,X,X,X
TZLJISO,O,O,O,O,X,O,O,O,X,X,X
TZLJIOS,O,O,O,O,X,O,X,O,X,X,X
TZLJSIO,O,O,O,O,X,O,O,O,X,X,X
TZLJSOI,O,O,O,O,X,O,O,O,X,X,X
TZLJOIS,O,O,O,O,X,O,X,O,X,X,X
TZLJOSI,O,O,O,O,X,O,X,O,X,X,X
TZLSIJO,O,X,O,O,X,O,X,O,X,O,O
TZLSIOJ,O,X,X,O,X,O,O,O,X,O,O
TZLSJIO,O,X,O,O,X,O,X,O,X,O,O
TZLSJOI,O,X,O,O,X,O,X,O,X,X,O
TZLSOIJ,O,X,X,O,X,O,O,O,X,O,O
TZLSOJI,O,X,X,O,X,O,O,O,X,X,O
TZLOIJS,O,X,O,O,X,O,X,O,X,X,X
TZLOISJ,O,X,X,O,X,O,X,O,X,X,X
TZLOJIS,O,X,O,O,X,O,X,O,X,X,X
TZLOJSI,O,X,O,O,X,O,X,O,X,X,X
TZLOSIJ,O,X,X,O,X,O,X,O,X,X,X
TZLOSJI,O,X,X,O,X,O,X,O,X,X,X
TZJILSO,O,O,X,O,X,O,O,O,X,X,X
TZJILOS,O,O,O,O,X,O,X,O,X,X,X
TZJISLO,O,O,X,X,X,O,X,X,O,X,O
TZJISOL,O,O,O,X,X,O,X,O,X,X,X
TZJIOLS,O,O,O,X,X,X,X,O,X,X,X
TZJIOSL,O,O,O,X,X,O,X,O,X,X,X
TZJLISO,O,O,O,O,X,O,O,O,X,X,X
TZJLIOS,O,O,O,O,X,O,X,O,X,X,X
TZJLSIO,O,O,O,O,X,O,O,O,X,X,X
TZJLSOI,O,O,O,O,X,O,O,O,X,X,X
TZJLOIS,O,O,O,O,X,O,X,O,X,X,X
TZJLOSI,O,O,O,O,X,O,X,O,X,X,X
TZJSILO,O,O,X,X,X,O,X,X,O,X,O
TZJSIOL,O,O,O,X,X,O,X,O,X,X,X
TZJSLIO,O,O,X,X,X,O,X,X,O,X,O
TZJSLOI,O,O,X,X,X,O,X,X,O,X,O
TZJSOIL,O,O,O,X,X,O,X,O,X,X,X
TZJSOLI,X,O,O,X,X,X,X,O,O,X,X
TZJOILS,O,O,O,X,X,X,X,O,X,X,X
TZJOISL,O,O,O,X,X,O,X,O,X,X,X
TZJOLIS,O,O,O,X,X,O,X,O,X,X,X
TZJOLSI,O,O,O,X,X,O,X,O,X,X,X
TZJOSIL,O,O,O,X,X,O,X,O,X,X,X
TZJOSLI,O,O,O,X,X,X,X,O,O,X,X
TZSILJO,O,X,X,X,X,O,X,X,O,O,O
TZSILOJ,X,X,X,X,X,X,X,X,X,O,O
TZSIJLO,O,X,X,X,X,O,X,X,O,X,O
TZSIJOL,O,X,O,X,X,O,X,O,X,X,X
TZSIOLJ,X,X,X,X,X,X,X,X,X,X,O
TZSIOJL,O,X,X,X,X,O,X,O,X,X,X
TZSLIJO,O,X,X,X,X,O,X,X,O,O,O
TZSLIOJ,O,X,X,X,X,O,X,X,X,O,O
TZSLJIO,O,X,X,X,X,O,X,X,O,O,O
TZSLJOI,O,X,X,X,X,O,X,X,O,X,O
TZSLOIJ,O,X,X,X,X,O,X,X,X,O,O
TZSLOJI,O,X,X,X,X,O,X,X,X,X,O
TZSJILO,O,X,X,X,X,O,X,X,O,X,O
TZSJIOL,O,X,O,X,X,O,X,O,X,X,X
TZSJLIO,O,X,X,X,X,O,X,X,O,X,O
TZSJLOI,O,X,X,X,X,O,X,X,O,X,O
TZSJOIL,O,X,O,X,X,O,X,O,X,X,X
TZSJOLI,X,X,O,X,X,X,X,O,O,X,X
TZSOILJ,X,X,X,X,X,X,X,X,X,X,O
TZSOIJL,O,X,X,X,X,O,X,O,X,X,X
TZSOLIJ,X,X,X,X,X,X,X,X,X,X,O
TZSOLJI,X,X,X,X,X,X,X,X,X,X,O
TZSOJIL,O,X,X,X,X,O,X,O,X,X,X
TZSOJLI,X,X,X,X,X,X,X,O,X,X,X
TZOILJS,O,O,X,X,X,X,X,O,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,O,X,X,X
TZOIJSL,O,O,O,X,X,O,X,O,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X,X,X,O
TZOISJL,O,X,X,X,X,O,X,O,X,X,X
TZOLIJS,O,O,X,X,X,O,X,O,X,X,X
TZOLISJ,O,X,X,X,X,O,X,O,X,X,X
TZOLJIS,O,O,X,X,X,O,X,O,X,X,X
TZOLJSI,O,O,X,X,X,O,X,O,X,X,X
TZOLSIJ,O,X,X,X,X,O,X,O,X,X,X
TZOLSJI,O,X,X,X,X,O,X,O,X,X,X
TZOJILS,O,O,O,X,X,X,X,O,X,X,X
TZOJISL,O,O,O,X,X,O,X,O,X,X,X
TZOJLIS,O,O,O,X,X,O,X,O,X,X,X
TZOJLSI,O,O,O,X,X,O,X,O,X,X,X
TZOJSIL,O,O,O,X,X,O,X,O,X,X,X
TZOJSLI,O,O,O,X,X,X,X,O,X,X,X
TZOSILJ,O,X,X,X,X,X,X,X,X,X,O
TZOSIJL,O,X,X,X,X,O,X,O,X,X,X
TZOSLIJ,O,X,X,X,X,X,X,X,X,X,O
TZOSLJI,O,X,X,X,X,X,X,X,X,X,O
TZOSJIL,O,X,X,X,X,O,X,O,X,X,X
TZOSJLI,O,X,X,X,X,X,X,O,X,X,X
TOILJSZ,O,X,X,X,X,X,O,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X,X,X,X
TOILSJZ,O,X,X,X,O,X,O,X,X,X,X
TOILSZJ,O,X,X,X,O,X,O,X,X,O,X
TOILZJS,O,O,X,X,X,X,X,O,X,X,X
TOILZSJ,O,X,X,X,O,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X,O,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,X,X,X,X
TOIJSZL,O,X,O,X,O,X,X,X,X,X,X
TOIJZLS,O,X,O,X,X,X,X,O,X,X,X
TOIJZSL,O,X,O,X,O,X,X,O,X,X,X
TOISLJZ,X,X,X,X,O,X,X,X,X,X,X
TOISLZJ,O,X,X,X,O,X,X,X,X,O,O
TOISJLZ,X,X,X,X,O,X,X,X,X,X,X
TOISJZL,O,X,X,X,O,X,X,X,X,X,X
TOISZLJ,O,X,X,X,O,X,X,X,X,X,O
TOISZJL,O,X,X,X,O,O,X,O,X,X,X
TOIZLJS,O,O,X,X,X,X,X,O,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,O,X,X,X
TOIZJSL,O,O,O,X,O,O,X,O,X,X,X
TOIZSLJ,O,X,X,X,O,X,X,X,X,X,O
TOIZSJL,O,X,X,X,O,O,X,O,X,X,X
TOLIJSZ,O,X,O,X,X,X,O,X,X,X,X
TOLIJZS,O,X,O,X,X,X,X,O,X,X,X
TOLISJZ,O,X,X,X,O,X,O,X,X,X,X
TOLISZJ,O,X,X,X,O,O,O,O,X,O,X
TOLIZJS,O,O,O,X,X,O,X,O,X,X,X
TOLIZSJ,O,X,X,X,O,O,X,O,X,X,X
TOLJISZ,O,X,O,X,X,X,O,X,X,X,X
TOLJIZS,O,O,O,X,X,X,X,O,X,X,X
TOLJSIZ,O,X,O,X,X,X,O,X,X,X,X
TOLJSZI,O,O,O,X,X,X,O,X,X,X,X
TOLJZIS,O,O,O,X,X,X,X,O,X,X,X
TOLJZSI,O,O,O,X,X,X,X,O,X,X,X
TOLSIJZ,O,X,X,X,O,X,O,X,X,X,X
TOLSIZJ,O,X,X,X,O,O,O,O,X,O,X
TOLSJIZ,O,X,X,X,O,X,O,X,X,X,X
TOLSJZI,O,X,X,X,O,X,O,X,X,X,X
TOLSZIJ,O,X,X,X,O,O,O,O,X,O,X
TOLSZJI,O,X,X,X,O,O,O,O,X,X,X
TOLZIJS,O,O,O,X,X,O,X,O,X,X,X
TOLZISJ,O,X,X,X,O,O,X,O,X,X,X
TOLZJIS,O,O,O,X,X,O,X,O,X,X,X
TOLZJSI,O,O,O,X,X,O,X,O,X,X,X
TOLZSIJ,O,X,X,X,O,O,X,O,X,X,X
TOLZSJI,O,X,X,X,O,O,X,O,X,X,X
TOJILSZ,X,X,O,X,X,X,O,X,X,X,X
TOJILZS,X,O,O,X,X,X,X,X,X,X,X
TOJISLZ,X,X,X,X,O,X,X,X,X,X,X
TOJISZL,O,X,O,X,O,X,X,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X,O,X,X,X
TOJIZSL,O,O,O,X,O,X,X,O,X,X,X
TOJLISZ,X,X,O,X,X,X,O,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X,X,X,X
TOJLSIZ,X,X,O,X,X,X,O,X,X,X,X
TOJLSZI,X,O,O,X,X,X,O,X,X,X,X
TOJLZIS,X,O,O,X,X,X,X,X,X,X,X
TOJLZSI,X,O,O,X,X,X,X,X,X,X,X
TOJSILZ,X,X,X,X,O,X,X,X,X,X,X
TOJSIZL,O,X,O,X,O,X,X,X,X,X,X
TOJSLIZ,X,X,O,X,O,X,X,X,X,X,X
TOJSLZI,X,O,O,X,O,X,X,X,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X,X,X,X
TOJSZLI,O,O,O,X,O,X,X,X,X,X,X
TOJZILS,O,O,O,X,X,X,X,O,X,X,X
TOJZISL,O,O,O,X,O,X,X,O,X,X,X
TOJZLIS,O,O,O,X,X,X,X,O,X,X,X
TOJZLSI,O,O,O,X,X,X,X,O,X,X,X
TOJZSIL,O,O,O,X,O,X,X,O,X,X,X
TOJZSLI,O,O,O,X,O,X,X,O,X,X,X
TOSILJZ,X,X,X,X,O,X,X,X,X,X,X
TOSILZJ,O,X,X,X,O,X,X,X,X,O,O
TOSIJLZ,X,X,X,X,O,X,X,X,X,X,X
TOSIJZL,O,X,X,X,O,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,O,X,X,X,X,X,O
TOSIZJL,O,X,X,X,O,O,X,O,X,X,X
TOSLIJZ,X,X,X,X,O,X,X,X,X,X,X
TOSLIZJ,O,X,X,X,O,X,X,X,X,O,O
TOSLJIZ,X,X,X,X,O,X,X,X,X,X,X
TOSLJZI,X,X,X,X,O,X,X,X,X,X,X
TOSLZIJ,O,X,X,X,O,X,X,X,X,O,O
TOSLZJI,O,X,X,X,O,X,X,X,X,X,O
TOSJILZ,X,X,X,X,O,X,X,X,X,X,X
TOSJIZL,O,X,X,X,O,X,X,X,X,X,X
TOSJLIZ,X,X,X,X,O,X,X,X,X,X,X
TOSJLZI,X,X,X,X,O,X,X,X,X,X,X
TOSJZIL,O,X,X,X,O,X,X,X,X,X,X
TOSJZLI,O,X,X,X,O,X,X,X,X,X,X
TOSZILJ,O,X,X,X,O,X,X,X,X,X,O
TOSZIJL,O,X,X,X,O,O,X,O,X,X,X
TOSZLIJ,O,X,X,X,O,X,X,X,X,X,O
TOSZLJI,O,X,X,X,O,X,X,X,X,X,O
TOSZJIL,O,X,X,X,O,O,X,O,X,X,X
TOSZJLI,O,X,X,X,O,X,X,O,X,X,X
TOZILJS,O,O,X,X,X,X,X,O,X,X,X
TOZILSJ,O,X,X,X,O,X,X,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X,O,X,X,X
TOZIJSL,O,O,O,X,O,O,X,O,X,X,X
TOZISLJ,O,X,X,X,O,X,X,X,X,X,O
TOZISJL,O,X,X,X,O,O,X,O,X,X,X
TOZLIJS,O,O,X,X,X,O,X,O,X,X,X
TOZLISJ,O,X,X,X,O,O,X,O,X,X,X
TOZLJIS,O,O,X,X,X,O,X,O,X,X,X
TOZLJSI,O,O,X,X,X,O,X,O,X,X,X
TOZLSIJ,O,X,X,X,O,O,X,O,X,X,X
TOZLSJI,O,X,X,X,O,O,X,O,X,X,X
TOZJILS,O,O,O,X,X,X,X,O,X,X,X
TOZJISL,O,O,O,X,O,O,X,O,X,X,X
TOZJLIS,O,O,O,X,X,O,X,O,X,X,X
TOZJLSI,O,O,O,X,X,O,X,O,X,X,X
TOZJSIL,O,O,O,X,O,O,X,O,X,X,X
TOZJSLI,O,O,O,X,O,X,X,O,X,X,X
TOZSILJ,O,X,X,X,O,X,X,X,X,X,O
TOZSIJL,O,X,X,X,O,O,X,O,X,X,X
TOZSLIJ,O,X,X,X,O,X,X,X,X,X,O
TOZSLJI,O,X,X,X,O,X,X,X,X,X,O
TOZSJIL,O,X,X,X,O,O,X,O,X,X,X
TOZSJLI,O,X,X,X,O,X,X,O,X,X,X
ITLJSZO,O,X,O,X,X,O,O,X,X,O,X
ITLJSOZ,X,X,O,X,X,X,O,X,X,O,X
ITLJZSO,O,X,O,O,X,O,O,O,X,O,X
ITLJZOS,O,X,O,O,X,O,X,O,X,X,X
ITLJOSZ,X,X,O,X,X,X,O,X,X,O,X
ITLJOZS,X,X,O,X,X,X,X,O,X,O,X
ITLSJZO,O,X,O,O,X,O,O,X,X,O,O
ITLSJOZ,X,X,O,O,X,X,O,X,X,X,X
ITLSZJO,O,X,O,O,X,O,X,O,X,O,O
ITLSZOJ,O,X,X,O,X,O,O,O,X,O,O
ITLSOJZ,X,X,X,O,X,X,O,X,X,X,X
ITLSOZJ,O,X,X,O,X,O,O,O,X,O,O
ITLZJSO,O,O,O,O,X,O,O,O,X,X,X
ITLZJOS,O,O,O,O,X,O,X,O,X,X,X
ITLZSJO,O,X,O,O,X,O,X,O,X,O,O
ITLZSOJ,O,X,X,O,X,O,O,O,X,O,O
ITLZOJS,O,X,O,O,X,O,X,O,X,X,X
ITLZOSJ,O,X,X,O,X,O,X,O,X,X,X
ITLOJSZ,X,X,O,X,X,O,O,X,X,X,X
ITLOJZS,X,X,O,X,X,O,X,O,X,X,X
ITLOSJZ,X,X,X,X,X,O,O,X,X,X,X
ITLOSZJ,O,X,X,X,X,O,O,O,X,O,X
ITLOZJS,O,X,O,O,X,O,X,O,X,X,X
ITLOZSJ,O,X,X,O,X,O,X,O,X,X,X
ITJLSZO,X,X,O,X,X,X,O,X,X,O,O
ITJLSOZ,X,X,O,X,X,X,O,X,X,O,O
ITJLZSO,X,X,O,X,X,X,O,X,X,O,O
ITJLZOS,X,X,O,X,X,X,X,X,X,X,X
ITJLOSZ,X,X,O,X,X,X,O,X,X,O,X
ITJLOZS,X,X,O,X,X,X,X,X,X,O,X
ITJSLZO,X,X,X,X,X,X,O,X,X,O,O
ITJSLOZ,X,X,X,X,X,X,O,X,X,O,O
ITJSZLO,O,X,X,X,X,O,O,X,X,O,O
ITJSZOL,O,X,O,X,X,O,O,X,X,X,O
ITJSOLZ,X,X,X,X,X,X,O,X,X,O,O
ITJSOZL,X,X,O,X,X,X,O,X,X,X,O
ITJZLSO,O,X,X,X,X,O,O,X,X,O,O
ITJZLOS,X,X,O,X,X,X,X,O,X,X,X
ITJZSLO,O,X,X,X,X,O,X,X,X,O,O
ITJZSOL,O,X,O,X,X,O,X,O,X,X,O
ITJZOLS,X,X,O,X,X,X,X,O,X,X,X
ITJZOSL,O,X,O,X,X,O,X,O,X,X,O
ITJOLSZ,X,X,O,X,X,X,O,X,X,O,X
ITJOLZS,X,X,O,X,X,X,X,X,X,O,X
ITJOSLZ,X,X,X,X,X,X,X,X,X,O,O
ITJOSZL,X,X,O,X,X,X,X,X,X,O,O
ITJOZLS,X,X,O,X,X,X,X,O,X,O,X
ITJOZSL,X,X,O,X,X,X,X,O,X,O,O
ITSLJZO,X,X,X,X,X,X,O,X,X,O,O
ITSLJOZ,X,X,X,X,X,X,O,X,X,X,O
ITSLZJO,O,X,X,X,X,O,X,X,O,O,O
ITSLZOJ,X,X,X,X,X,X,O,X,X,O,O
ITSLOJZ,X,X,X,X,O,X,O,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,O,X,X,O,O
ITSJLZO,X,X,X,X,X,X,O,X,X,O,O
ITSJLOZ,X,X,X,X,X,X,O,X,X,X,O
ITSJZLO,O,X,X,X,X,O,X,X,X,X,O
ITSJZOL,O,X,O,X,X,O,X,X,X,X,O
ITSJOLZ,X,X,X,X,X,X,O,X,X,X,O
ITSJOZL,X,X,O,X,X,X,X,X,X,X,O
ITSZLJO,O,X,X,X,X,O,X,X,O,O,O
ITSZLOJ,X,X,X,X,X,X,O,X,X,O,O
ITSZJLO,O,X,X,X,X,O,X,X,O,X,O
ITSZJOL,O,X,O,X,X,O,X,O,X,X,X
ITSZOLJ,X,X,X,X,X,X,O,X,X,X,O
ITSZOJL,O,X,X,X,X,O,X,O,X,X,X
ITSOLJZ,X,X,X,X,O,X,O,X,X,X,X
ITSOLZJ,X,X,X,X,O,X,O,X,X,O,O
ITSOJLZ,X,X,X,X,O,X,O,X,X,X,X
ITSOJZL,X,X,X,X,O,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,O,X,X,X,O
ITSOZJL,O,X,X,X,O,O,X,O,X,X,X
ITZLJSO,O,O,X,O,X,O,O,O,X,X,X
ITZLJOS,O,O,O,O,X,O,X,O,X,X,X
ITZLSJO,O,X,X,O,X,O,X,O,X,O,O
ITZLSOJ,O,X,X,O,X,O,O,O,X,O,O
ITZLOJS,O,X,X,O,X,O,X,O,X,X,X
ITZLOSJ,O,X,X,O,X,O,X,O,X,X,X
ITZJLSO,O,O,X,O,X,O,O,O,X,X,X
ITZJLOS,O,O,O,O,X,O,X,O,X,X,X
ITZJSLO,O,O,X,X,X,O,X,X,O,X,O
ITZJSOL,O,O,O,X,X,O,X,O,X,X,X
ITZJOLS,O,O,O,X,X,X,X,O,X,X,X
ITZJOSL,O,O,O,X,X,O,X,O,X,X,X
ITZSLJO,O,X,X,X,X,O,X,X,O,O,O
ITZSLOJ,X,X,X,X,X,X,X,X,X,O,O
ITZSJLO,O,X,X,X,X,O,X,X,O,X,O
ITZSJOL,O,X,O,X,X,O,X,O,X,X,X
ITZSOLJ,X,X,X,X,X,X,X,X,X,X,O
ITZSOJL,O,X,X,X,X,O,X,O,X,X,X
ITZOLJS,O,O,X,X,X,X,X,O,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X,O,X,X,X
ITZOJSL,O,O,O,X,X,O,X,O,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X,X,X,O
ITZOSJL,O,X,X,X,X,O,X,O,X,X,X
ITOLJSZ,O,X,X,X,X,X,O,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,X,O,X,O,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,O,X,X,O,X
ITOLZJS,O,O,X,X,X,X,X,O,X,X,X
ITOLZSJ,O,X,X,X,O,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,X,X,O,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,X,O,X,X,X,X,X,X
ITOJSZL,O,X,O,X,O,X,X,X,X,X,X
ITOJZLS,O,X,O,X,X,X,X,O,X,X,X
ITOJZSL,O,X,O,X,O,X,X,O,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,O,X,X,X,X,O,O
ITOSJLZ,X,X,X,X,O,X,X,X,X,X,X
ITOSJZL,O,X,X,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,O,X,X,X,X,X,O
ITOSZJL,O,X,X,X,O,O,X,O,X,X,X
ITOZLJS,O,O,X,X,X,X,X,O,X,X,X
ITOZLSJ,O,X,X,X,O,X,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,O,X,X,X
ITOZJSL,O,O,O,X,O,O,X,O,X,X,X
ITOZSLJ,O,X,X,X,O,X,X,X,X,X,O
ITOZSJL,O,X,X,X,O,O,X,O,X,X,X
ILTJSZO,O,X,O,X,X,O,O,X,X,O,X
ILTJSOZ,X,X,O,X,X,X,O,X,X,O,X
ILTJZSO,O,X,O,O,X,O,O,O,X,O,X
ILTJZOS,O,X,O,O,X,O,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,X,O,X,X,O,X
ILTJOZS,X,X,O,X,X,X,X,O,X,O,X
ILTSJZO,O,X,O,O,X,O,O,X,X,O,O
ILTSJOZ,X,X,O,O,X,X,O,X,X,X,X
ILTSZJO,O,X,O,O,X,O,X,O,X,O,O
ILTSZOJ,O,X,X,O,X,O,O,O,X,O,O
ILTSOJZ,X,X,X,O,X,X,O,X,X,X,X
ILTSOZJ,O,X,X,O,X,O,O,O,X,O,O
ILTZJSO,O,O,O,O,X,O,O,O,X,X,X
ILTZJOS,O,O,O,O,X,O,X,O,X,X,X
ILTZSJO,O,X,O,O,X,O,X,O,X,O,O
ILTZSOJ,O,X,X,O,X,O,O,O,X,O,O
ILTZOJS,O,X,O,O,X,O,X,O,X,X,X
ILTZOSJ,O,X,X,O,X,O,X,O,X,X,X
ILTOJSZ,X,X,O,X,X,O,O,X,X,X,X
ILTOJZS,X,X,O,X,X,O,X,O,X,X,X
ILTOSJZ,X,X,X,X,X,O,O,X,X,X,X
ILTOSZJ,O,X,X,X,X,O,O,O,X,O,X
ILTOZJS,O,X,O,O,X,O,X,O,X,X,X
ILTOZSJ,O,X,X,O,X,O,X,O,X,X,X
ILJTSZO,O,X,O,X,X,O,O,X,X,O,O
ILJTSOZ,X,X,O,X,X,X,O,X,X,O,O
ILJTZSO,O,O,O,O,X,O,O,O,X,O,O
ILJTZOS,O,O,O,O,X,O,X,O,X,X,X
