sequence,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBFiBu?sBirBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFSiBTeBZmBu?rB3nBUsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBm?rB6sB3rB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxcBTeBKrBf?sBlnBGsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBi?rBGsBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBGeBamBz?iB/sB1wB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFuhB3dBcjBZ?mBCsBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeB3hBlnBm?rB6sBUrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFViBcjBamB3?iB+rBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBTeBamBl?nB3rB+sB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxdB3hBlnBm?rBCtBTrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8JeU9IvhFFhBXjBzmBm?lBCoBxwB
TSLJOZI,X,X,X,X,X,O,X,O,X,X,O,X
TSLZIJO,X,X,X,X,O,O,O,X,X,O,X,X
TSLZIOJ,X,X,X,X,O,O,O,X,X,O,X,X
TSLZJIO,X,X,X,X,O,O,O,X,X,O,X,X
TSLZJOI,X,X,X,X,O,O,O,X,X,O,X,X
TSLZOIJ,X,X,X,X,O,O,X,X,X,O,X,X
TSLZOJI,X,X,X,X,O,O,O,X,X,O,X,X
TSLOIJZ,X,O,X,X,X,O,X,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,O,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,O,X,O,X,X,X,X
TSLOJZI,X,X,X,X,X,O,X,O,X,X,X,X
TSLOZIJ,X,X,X,X,O,O,X,X,X,O,X,X
TSLOZJI,X,X,X,X,O,O,X,X,X,O,X,X
TSJILZO,X,O,X,X,X,O,X,O,X,X,O,X
TSJILOZ,X,O,X,X,X,X,X,O,X,X,O,X
TSJIZLO,X,O,X,X,X,O,X,O,X,X,O,X
TSJIZOL,X,O,X,X,X,O,X,O,X,X,X,X
TSJIOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X,O,X,X,X,X
TSJLIZO,X,O,X,X,X,O,X,O,X,X,O,X
TSJLIOZ,X,O,X,X,X,X,X,O,X,X,O,X
TSJLZIO,X,X,X,X,X,O,X,O,X,O,O,X
TSJLZOI,X,X,X,X,X,O,X,O,X,O,O,X
TSJLOIZ,X,O,X,X,X,O,X,O,X,X,O,X
TSJLOZI,X,X,X,X,X,O,X,O,X,X,O,X
TSJZILO,X,O,O,X,X,O,X,O,X,X,O,X
TSJZIOL,X,O,O,X,X,O,X,O,X,X,X,X
TSJZLIO,X,X,O,X,X,O,X,O,X,O,O,X
TSJZLOI,X,X,O,X,X,O,X,O,X,O,O,X
TSJZOIL,X,O,O,X,X,O,X,O,X,X,X,X
TSJZOLI,X,X,O,X,X,O,X,O,X,X,O,X
TSJOILZ,X,O,X,X,X,O,X,O,X,X,X,X
TSJOIZL,X,O,X,X,X,O,X,O,X,X,X,X
TSJOLIZ,X,O,X,X,X,O,X,O,X,X,O,X
TSJOLZI,X,X,X,X,X,O,X,O,X,X,O,X
TSJOZIL,X,O,O,X,X,O,X,O,X,X,X,X
TSJOZLI,X,X,O,X,X,O,X,O,X,X,O,X
TSZILJO,X,X,X,X,X,O,O,X,X,O,X,X
TSZILOJ,X,O,X,X,X,O,O,X,X,O,X,X
TSZIJLO,X,O,O,X,X,O,O,X,X,X,X,X
TSZIJOL,X,O,O,X,X,O,O,X,X,X,X,X
TSZIOLJ,X,O,X,X,X,O,X,X,X,X,X,X
TSZIOJL,X,O,O,X,X,O,O,X,X,X,X,X
TSZLIJO,X,X,X,X,O,O,O,X,X,O,X,X
TSZLIOJ,X,X,X,X,O,O,O,X,X,O,X,X
TSZLJIO,X,X,X,X,O,O,O,X,X,O,X,X
TSZLJOI,X,X,X,X,O,O,O,X,X,O,X,X
TSZLOIJ,X,X,X,X,O,O,X,X,X,O,X,X
TSZLOJI,X,X,X,X,O,O,O,X,X,O,X,X
TSZJILO,X,O,O,X,X,O,O,O,X,X,O,X
TSZJIOL,X,O,O,X,X,O,O,O,X,X,X,X
TSZJLIO,X,X,O,X,X,O,O,O,X,O,O,X
TSZJLOI,X,X,O,X,X,O,X,O,X,O,O,X
TSZJOIL,X,O,O,X,X,O,O,O,X,X,X,X
TSZJOLI,X,X,O,X,X,O,X,O,X,X,O,X
TSZOILJ,X,O,X,X,X,O,X,X,X,X,X,X
TSZOIJL,X,O,O,X,X,O,O,X,X,X,X,X
TSZOLIJ,X,X,X,X,O,O,X,X,X,O,X,X
TSZOLJI,X,X,X,X,O,O,X,X,X,O,X,X
TSZOJIL,X,O,O,X,X,O,O,O,X,X,X,X
TSZOJLI,X,X,O,X,X,O,X,O,X,X,X,X
TSOILJZ,X,O,X,X,X,O,X,X,X,X,X,X
TSOILZJ,X,O,X,X,X,O,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,O,X,O,X,X,X,X
TSOIJZL,X,O,X,X,X,O,X,O,X,X,X,X
TSOIZLJ,X,O,X,X,X,O,X,X,X,X,X,X
TSOIZJL,X,O,X,X,X,O,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,O,X,X,X,X,X,X
TSOLIZJ,X,O,X,X,X,O,X,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,O,X,O,X,X,X,X
TSOLJZI,X,X,X,X,X,O,X,O,X,X,X,X
TSOLZIJ,X,X,X,X,O,O,X,X,X,O,X,X
TSOLZJI,X,X,X,X,O,O,X,X,X,O,X,X
TSOJILZ,X,O,X,X,X,O,X,O,X,X,X,X
TSOJIZL,X,O,X,X,X,O,X,O,X,X,X,X
TSOJLIZ,X,O,X,X,X,O,X,O,X,X,O,X
TSOJLZI,X,X,X,X,X,O,X,O,X,X,O,X
TSOJZIL,X,O,O,X,X,O,X,O,X,X,X,X
TSOJZLI,X,X,O,X,X,O,X,O,X,X,O,X
TSOZILJ,X,O,X,X,X,O,X,X,X,X,X,X
TSOZIJL,X,O,O,X,X,O,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,O,O,X,X,X,O,X,X
TSOZLJI,X,X,X,X,O,O,X,X,X,O,X,X
TSOZJIL,X,O,O,X,X,O,X,O,X,X,X,X
TSOZJLI,X,X,O,X,X,O,X,O,X,X,X,X
TZILJSO,O,X,O,X,O,O,O,X,O,X,X,X
TZILJOS,O,X,O,X,O,O,O,X,O,X,X,X
TZILSJO,X,X,X,O,O,O,O,X,X,X,X,X
TZILSOJ,X,X,X,O,O,O,O,X,X,X,X,X
TZILOJS,X,X,O,X,O,O,O,X,O,X,X,X
TZILOSJ,X,X,X,O,O,O,O,X,X,X,X,X
TZIJLSO,X,X,O,X,X,O,O,X,X,X,X,X
TZIJLOS,O,X,O,X,X,O,O,X,X,X,X,X
TZIJSLO,X,O,O,X,X,O,O,X,X,X,O,X
TZIJSOL,O,O,O,X,X,O,O,X,X,X,X,X
TZIJOLS,O,X,O,X,X,O,X,X,X,X,X,X
TZIJOSL,O,O,O,X,X,O,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,O,O,X,X,X,X,X
TZISLOJ,X,O,X,X,X,O,O,X,X,X,X,X
TZISJLO,X,O,O,X,X,O,O,X,X,X,X,X
TZISJOL,X,O,O,X,X,O,O,X,X,X,X,X
TZISOLJ,X,O,X,X,X,O,X,X,X,X,X,X
TZISOJL,X,O,O,X,X,O,O,X,X,X,X,X
TZIOLJS,X,X,O,X,O,X,O,X,O,X,X,X
TZIOLSJ,X,X,X,O,O,X,O,X,X,X,X,O
TZIOJLS,O,X,O,X,X,O,X,X,X,X,X,X
TZIOJSL,O,O,O,X,X,O,X,X,X,X,X,O
TZIOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
TZIOSJL,X,O,O,X,X,O,O,X,X,X,X,O
TZLIJSO,O,X,O,X,O,O,O,X,O,X,X,X
TZLIJOS,O,X,O,X,O,O,O,X,O,X,X,X
TZLISJO,X,X,X,O,O,O,O,X,X,X,X,X
TZLISOJ,X,X,X,O,O,O,O,X,X,X,X,X
TZLIOJS,X,X,O,X,O,O,O,X,O,X,X,X
TZLIOSJ,X,X,X,O,O,O,O,X,X,X,X,X
TZLJISO,O,X,O,X,O,O,O,X,O,X,X,X
TZLJIOS,O,X,O,X,O,O,O,X,O,X,X,X
TZLJSIO,O,X,O,X,O,O,O,X,O,X,O,X
TZLJSOI,O,X,O,X,O,O,O,X,O,X,O,X
TZLJOIS,O,X,O,X,O,O,X,X,O,X,X,X
TZLJOSI,O,X,O,X,O,X,O,X,O,X,X,X
TZLSIJO,X,X,X,O,O,O,O,X,X,X,X,X
TZLSIOJ,X,X,X,O,O,O,O,X,X,X,X,X
TZLSJIO,X,X,X,O,O,O,O,X,X,X,X,X
TZLSJOI,X,X,X,O,O,O,O,X,X,X,X,X
TZLSOIJ,X,X,X,O,O,O,X,X,X,X,X,X
TZLSOJI,X,X,X,O,O,O,O,X,X,X,X,X
TZLOIJS,X,X,O,X,O,O,O,X,O,X,X,X
TZLOISJ,X,X,X,O,O,O,O,X,X,X,X,X
TZLOJIS,X,X,O,X,O,O,X,X,O,X,X,X
TZLOJSI,X,X,O,X,O,X,O,X,O,X,X,X
TZLOSIJ,X,X,X,O,O,O,X,X,X,X,X,X
TZLOSJI,X,X,X,O,O,O,O,X,X,X,X,X
TZJILSO,X,X,O,X,X,O,O,X,O,X,X,X
TZJILOS,O,X,O,X,X,O,O,X,O,X,X,X
TZJISLO,X,X,O,X,X,O,O,X,X,X,O,X
TZJISOL,O,X,O,X,X,O,O,X,X,X,X,X
TZJIOLS,O,X,O,X,X,O,X,X,X,X,X,X
TZJIOSL,O,X,O,X,X,O,X,X,X,X,X,X
TZJLISO,O,X,O,X,O,O,O,X,O,X,X,X
TZJLIOS,O,X,O,X,O,O,O,X,O,X,X,X
TZJLSIO,O,X,O,X,O,O,O,X,O,X,O,X
TZJLSOI,O,X,O,X,O,O,O,X,O,X,O,X
TZJLOIS,O,X,O,X,O,O,X,X,O,X,X,X
TZJLOSI,O,X,O,X,O,X,O,X,O,X,X,X
TZJSILO,X,O,O,X,X,O,O,O,X,X,O,X
TZJSIOL,O,O,O,X,X,O,O,O,X,X,X,X
TZJSLIO,X,X,O,X,X,O,O,O,O,X,O,X
TZJSLOI,X,X,O,X,X,O,X,O,O,X,O,X
TZJSOIL,O,O,O,X,X,O,O,O,X,X,X,X
TZJSOLI,O,X,O,X,X,O,X,O,X,X,O,X
TZJOILS,O,X,O,X,X,O,X,X,O,X,X,X
TZJOISL,O,X,O,X,X,O,X,X,X,X,X,X
TZJOLIS,O,X,O,X,O,O,X,X,O,X,X,X
TZJOLSI,O,X,O,X,O,X,X,X,O,X,X,X
TZJOSIL,O,O,O,X,X,X,X,O,X,X,X,X
TZJOSLI,O,X,O,X,X,X,X,O,O,X,O,X
TZSILJO,X,X,X,X,X,O,O,X,X,O,X,X
TZSILOJ,X,O,X,X,X,O,O,X,X,O,X,X
TZSIJLO,X,O,O,X,X,O,O,X,X,X,X,X
TZSIJOL,X,O,O,X,X,O,O,X,X,X,X,X
TZSIOLJ,X,O,X,X,X,O,X,X,X,X,X,X
TZSIOJL,X,O,O,X,X,O,O,X,X,X,X,X
TZSLIJO,X,X,X,X,O,O,O,X,X,O,X,X
TZSLIOJ,X,X,X,X,O,O,O,X,X,O,X,X
TZSLJIO,X,X,X,X,O,O,O,X,X,O,X,X
TZSLJOI,X,X,X,X,O,O,O,X,X,O,X,X
TZSLOIJ,X,X,X,X,O,O,X,X,X,O,X,X
TZSLOJI,X,X,X,X,O,O,O,X,X,O,X,X
TZSJILO,X,O,O,X,X,O,O,O,X,X,O,X
TZSJIOL,X,O,O,X,X,O,O,O,X,X,X,X
TZSJLIO,X,X,O,X,X,O,O,O,X,O,O,X
TZSJLOI,X,X,O,X,X,O,O,O,X,O,O,X
TZSJOIL,X,O,O,X,X,O,O,O,X,X,X,X
TZSJOLI,X,X,O,X,X,O,X,O,X,X,O,X
TZSOILJ,X,O,X,X,X,O,X,X,X,X,X,X
TZSOIJL,X,O,O,X,X,O,O,X,X,X,X,X
TZSOLIJ,X,X,X,X,O,O,X,X,X,O,X,X
TZSOLJI,X,X,X,X,O,O,X,X,X,O,X,X
TZSOJIL,X,O,O,X,X,O,O,O,X,X,X,X
TZSOJLI,X,X,O,X,X,O,X,O,X,X,X,X
TZOILJS,X,X,O,X,O,X,O,X,O,X,X,X
TZOILSJ,X,X,X,O,O,X,O,X,X,X,X,X
TZOIJLS,O,X,O,X,X,O,X,X,X,X,X,X
TZOIJSL,O,O,O,X,X,O,X,X,X,X,X,X
TZOISLJ,X,O,X,X,X,O,X,X,X,X,X,X
TZOISJL,X,O,O,X,X,O,O,X,X,X,X,X
TZOLIJS,X,X,O,X,O,O,O,X,O,X,X,X
TZOLISJ,X,X,X,O,O,O,O,X,X,X,X,X
TZOLJIS,X,X,O,X,O,O,X,X,O,X,X,X
TZOLJSI,X,X,O,X,O,X,O,X,O,X,X,X
TZOLSIJ,X,X,X,O,O,O,X,X,X,X,X,X
TZOLSJI,X,X,X,O,O,O,O,X,X,X,X,X
TZOJILS,O,X,O,X,X,O,X,X,O,X,X,X
TZOJISL,O,X,O,X,X,O,X,X,X,X,X,X
TZOJLIS,O,X,O,X,O,O,X,X,O,X,X,X
TZOJLSI,O,X,O,X,O,X,X,X,O,X,X,X
TZOJSIL,O,O,O,X,X,X,X,O,X,X,X,X
TZOJSLI,O,X,O,X,X,X,X,O,O,X,O,X
TZOSILJ,X,O,X,X,X,O,X,X,X,X,X,X
TZOSIJL,X,O,O,X,X,O,O,X,X,X,X,X
TZOSLIJ,X,X,X,X,O,O,X,X,X,X,X,X
TZOSLJI,X,X,X,X,O,O,X,X,X,X,X,X
TZOSJIL,X,O,O,X,X,O,O,O,X,X,X,X
TZOSJLI,X,X,O,X,X,O,X,O,X,X,X,X
TOILJSZ,X,O,X,X,X,X,O,X,O,X,X,X
TOILJZS,X,X,X,X,X,X,O,X,O,X,X,X
TOILSJZ,X,O,X,X,X,X,O,X,X,X,X,X
TOILSZJ,X,O,X,X,X,X,O,X,X,X,X,O
TOILZJS,X,X,X,X,O,X,O,X,O,X,X,X
TOILZSJ,X,X,X,X,O,X,O,X,X,X,X,O
TOIJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,X,X,X,X,X,X
TOIJSLZ,X,O,X,X,X,X,X,O,X,X,X,X
TOIJSZL,X,O,X,X,X,X,X,O,X,X,X,O
TOIJZLS,O,X,O,X,X,X,X,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,X,X,X,X,O
TOISLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TOISLZJ,X,O,X,X,X,X,X,X,X,X,X,O
TOISJLZ,X,O,X,X,X,X,X,O,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,O,X,X,X,O
TOISZLJ,X,O,X,X,X,X,X,X,X,X,X,O
TOISZJL,X,O,X,X,X,X,X,X,X,X,X,O
TOIZLJS,X,X,O,X,O,X,O,X,O,X,X,X
TOIZLSJ,X,X,X,X,O,X,O,X,X,X,X,O
TOIZJLS,O,X,O,X,X,O,X,X,X,X,X,X
TOIZJSL,O,O,O,X,X,O,X,X,X,X,X,O
TOIZSLJ,X,O,X,X,X,O,X,X,X,X,X,O
TOIZSJL,X,O,O,X,X,O,O,X,X,X,X,O
TOLIJSZ,X,O,X,X,X,X,O,X,O,X,X,X
TOLIJZS,X,X,X,X,X,X,O,X,O,X,X,X
TOLISJZ,X,O,X,X,X,X,O,X,X,X,X,X
TOLISZJ,X,O,X,X,X,X,O,X,X,X,X,X
TOLIZJS,X,X,X,X,O,O,O,X,O,X,X,X
TOLIZSJ,X,X,X,X,O,O,O,X,X,X,X,X
TOLJISZ,X,X,X,X,X,X,X,X,O,X,X,X
TOLJIZS,X,X,X,X,X,X,X,X,O,X,X,X
TOLJSIZ,X,O,X,X,X,X,X,O,O,X,X,X
TOLJSZI,X,X,X,X,X,O,X,O,O,X,X,X
TOLJZIS,X,X,O,X,O,O,X,X,O,X,X,X
TOLJZSI,X,X,O,X,O,X,O,X,O,X,X,X
TOLSIJZ,X,O,X,O,X,O,X,X,X,X,X,X
TOLSIZJ,X,O,X,O,X,O,X,X,X,X,X,X
TOLSJIZ,X,O,X,O,X,O,X,O,X,X,X,X
TOLSJZI,X,X,X,O,X,O,X,O,X,X,X,X
TOLSZIJ,X,X,X,O,O,O,X,X,X,X,X,X
TOLSZJI,X,X,X,O,O,O,X,X,X,X,X,X
TOLZIJS,X,X,O,X,O,O,O,X,O,X,X,X
TOLZISJ,X,X,X,O,O,O,O,X,X,X,X,X
TOLZJIS,X,X,O,X,O,O,X,X,O,X,X,X
TOLZJSI,X,X,O,X,O,X,O,X,O,X,X,X
TOLZSIJ,X,X,X,O,O,O,X,X,X,X,X,X
TOLZSJI,X,X,X,O,O,O,O,X,X,X,X,X
TOJILSZ,X,O,X,X,X,X,X,X,O,X,X,X
TOJILZS,O,X,X,X,X,X,X,X,O,X,X,X
TOJISLZ,X,O,X,X,X,X,X,O,X,X,X,X
TOJISZL,X,O,X,X,X,X,X,O,X,X,X,X
TOJIZLS,O,X,O,X,X,X,X,X,O,X,X,X
TOJIZSL,O,O,O,X,X,X,X,X,X,X,X,X
TOJLISZ,X,X,X,X,X,X,X,X,O,X,X,X
TOJLIZS,O,X,X,X,X,X,X,X,O,X,X,X
TOJLSIZ,X,O,X,X,X,X,X,O,O,X,X,X
TOJLSZI,O,X,X,X,X,O,X,O,O,X,X,X
TOJLZIS,O,X,O,X,O,O,X,X,O,X,X,X
TOJLZSI,O,X,O,X,O,X,X,X,O,X,X,X
TOJSILZ,X,O,X,X,X,O,X,O,X,X,X,X
TOJSIZL,X,O,X,X,X,O,X,O,X,X,X,X
TOJSLIZ,X,O,X,X,X,O,X,O,O,X,O,X
TOJSLZI,O,X,X,X,X,O,X,O,O,X,O,X
TOJSZIL,O,O,O,X,X,O,X,O,X,X,X,X
TOJSZLI,O,X,O,X,X,O,X,O,O,X,O,X
TOJZILS,O,X,O,X,X,O,X,X,O,X,X,X
TOJZISL,O,X,O,X,X,O,X,X,X,X,X,X
TOJZLIS,O,X,O,X,O,O,X,X,O,X,X,X
TOJZLSI,O,X,O,X,O,X,X,X,O,X,X,X
TOJZSIL,O,O,O,X,X,X,X,O,X,X,X,X
TOJZSLI,O,X,O,X,X,X,X,O,O,X,O,X
TOSILJZ,X,O,X,X,X,O,X,X,X,X,X,X
TOSILZJ,X,O,X,X,X,O,X,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,O,X,O,X,X,X,X
TOSIJZL,X,O,X,X,X,O,X,O,X,X,X,X
TOSIZLJ,X,O,X,X,X,O,X,X,X,X,X,X
TOSIZJL,X,O,X,X,X,O,X,X,X,X,X,X
TOSLIJZ,X,O,X,X,X,O,X,X,X,X,X,X
TOSLIZJ,X,O,X,X,X,O,X,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,O,X,O,X,X,X,X
TOSLJZI,X,X,X,X,X,O,X,O,X,X,X,X
TOSLZIJ,X,X,X,X,O,O,X,X,X,O,X,X
TOSLZJI,X,X,X,X,O,O,X,X,X,O,X,X
TOSJILZ,X,O,X,X,X,O,X,O,X,X,X,X
TOSJIZL,X,O,X,X,X,O,X,O,X,X,X,X
TOSJLIZ,X,O,X,X,X,O,X,O,X,X,O,X
TOSJLZI,X,X,X,X,X,O,X,O,X,X,O,X
TOSJZIL,X,O,O,X,X,O,X,O,X,X,X,X
TOSJZLI,X,X,O,X,X,O,X,O,X,X,O,X
TOSZILJ,X,O,X,X,X,O,X,X,X,X,X,X
TOSZIJL,X,O,O,X,X,O,X,X,X,X,X,X
TOSZLIJ,X,X,X,X,O,O,X,X,X,O,X,X
TOSZLJI,X,X,X,X,O,O,X,X,X,O,X,X
TOSZJIL,X,O,O,X,X,O,X,O,X,X,X,X
TOSZJLI,X,X,O,X,X,O,X,O,X,X,X,X
TOZILJS,X,X,O,X,O,X,O,X,O,X,X,X
TOZILSJ,X,X,X,O,O,X,O,X,X,X,X,X
TOZIJLS,O,X,O,X,X,O,X,X,X,X,X,X
TOZIJSL,O,O,O,X,X,O,X,X,X,X,X,X
TOZISLJ,X,O,X,X,X,O,X,X,X,X,X,X
TOZISJL,X,O,O,X,X,O,O,X,X,X,X,X
TOZLIJS,X,X,O,X,O,O,O,X,O,X,X,X
TOZLISJ,X,X,X,O,O,O,O,X,X,X,X,X
TOZLJIS,X,X,O,X,O,O,X,X,O,X,X,X
TOZLJSI,X,X,O,X,O,X,O,X,O,X,X,X
TOZLSIJ,X,X,X,O,O,O,X,X,X,X,X,X
TOZLSJI,X,X,X,O,O,O,O,X,X,X,X,X
TOZJILS,O,X,O,X,X,O,X,X,O,X,X,X
TOZJISL,O,X,O,X,X,O,X,X,X,X,X,X
TOZJLIS,O,X,O,X,O,O,X,X,O,X,X,X
TOZJLSI,O,X,O,X,O,X,X,X,O,X,X,X
TOZJSIL,O,O,O,X,X,X,X,O,X,X,X,X
TOZJSLI,O,X,O,X,X,X,X,O,O,X,O,X
TOZSILJ,X,O,X,X,X,O,X,X,X,X,X,X
TOZSIJL,X,O,O,X,X,O,O,X,X,X,X,X
TOZSLIJ,X,X,X,X,O,O,X,X,X,X,X,X
TOZSLJI,X,X,X,X,O,O,X,X,X,X,X,X
TOZSJIL,X,O,O,X,X,O,O,O,X,X,X,X
TOZSJLI,X,X,O,X,X,O,X,O,X,X,X,X
ITLJSZO,X,O,X,X,X,O,O,X,O,X,X,X
ITLJSOZ,X,O,X,X,X,X,O,X,X,X,X,X
ITLJZSO,O,X,X,X,X,O,O,X,O,X,X,X
ITLJZOS,O,X,X,X,X,O,O,X,O,X,X,X
ITLJOSZ,X,O,X,X,X,X,O,X,O,X,X,X
ITLJOZS,O,X,X,X,X,X,O,X,O,X,X,X
ITLSJZO,X,O,X,X,X,O,O,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,O,X,X,X,X,X
ITLSZJO,X,X,X,X,X,O,O,X,X,O,X,X
ITLSZOJ,X,O,X,X,X,O,O,X,X,O,X,X
ITLSOJZ,X,O,X,X,X,O,O,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,O,O,X,X,X,X,X
ITLZJSO,O,X,X,X,O,O,O,X,O,X,X,X
ITLZJOS,O,X,X,X,O,O,O,X,O,X,X,X
ITLZSJO,X,X,X,X,O,O,O,X,X,X,X,X
ITLZSOJ,X,X,X,X,O,O,O,X,X,X,X,X
ITLZOJS,X,X,X,X,O,O,O,X,O,X,X,X
ITLZOSJ,X,X,X,X,O,O,O,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,O,X,O,X,X,X
ITLOJZS,X,X,X,X,X,X,O,X,O,X,X,X
ITLOSJZ,X,O,X,X,X,X,O,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,O,X,X,X,X,O
ITLOZJS,X,X,X,X,O,O,O,X,O,X,X,X
ITLOZSJ,X,X,X,X,O,O,O,X,X,X,X,O
ITJLSZO,X,O,X,X,X,O,O,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,O,X,X,X,X,X
ITJLZSO,O,X,X,X,X,O,O,X,X,X,X,X
ITJLZOS,O,X,X,X,X,O,O,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,X,O,X,X,X,X,X
ITJLOZS,O,X,X,X,X,X,O,X,X,X,X,X
ITJSLZO,X,O,X,X,X,O,X,O,X,X,O,X
ITJSLOZ,X,O,X,X,X,X,X,O,X,X,O,X
ITJSZLO,X,O,X,X,X,O,X,O,X,X,O,X
ITJSZOL,X,O,X,X,X,O,X,O,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X,O,X,X,X,X
ITJZLSO,X,X,O,X,X,O,O,X,X,X,X,X
ITJZLOS,O,X,O,X,X,O,O,X,X,X,X,X
ITJZSLO,X,O,O,X,X,O,O,X,X,X,O,X
ITJZSOL,O,O,O,X,X,O,O,X,X,X,X,X
ITJZOLS,O,X,O,X,X,O,X,X,X,X,X,X
ITJZOSL,O,O,O,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,X,X,X,X
ITJOSLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,O,X,X,X,O
ITJOZLS,O,X,O,X,X,X,X,X,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X,X,X,X,X,O
ITSLJZO,X,O,X,X,X,O,O,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,O,X,X,X,X,X
ITSLZJO,X,X,X,X,X,O,O,X,X,O,X,X
ITSLZOJ,X,O,X,X,X,O,O,X,X,O,X,X
ITSLOJZ,X,O,X,X,X,O,O,X,X,X,X,X
ITSLOZJ,X,O,X,X,X,O,O,X,X,X,X,X
ITSJLZO,X,O,X,X,X,O,X,O,X,X,O,X
ITSJLOZ,X,O,X,X,X,X,X,O,X,X,O,X
ITSJZLO,X,O,X,X,X,O,X,O,X,X,O,X
ITSJZOL,X,O,X,X,X,O,X,O,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,O,X,X,X,X
ITSZLJO,X,X,X,X,X,O,O,X,X,O,X,X
ITSZLOJ,X,O,X,X,X,O,O,X,X,O,X,X
ITSZJLO,X,O,X,X,X,O,O,X,X,X,X,X
ITSZJOL,X,O,X,X,X,O,O,X,X,X,X,X
ITSZOLJ,X,O,X,X,X,O,X,X,X,X,X,X
ITSZOJL,X,O,X,X,X,O,O,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,O,X,X,X,X,X,X
ITSOLZJ,X,O,X,X,X,O,X,X,X,X,X,O
ITSOJLZ,X,O,X,X,X,O,X,O,X,X,X,X
ITSOJZL,X,O,X,X,X,O,X,O,X,X,X,O
ITSOZLJ,X,O,X,X,X,O,X,X,X,X,X,O
ITSOZJL,X,O,X,X,X,O,X,X,X,X,X,O
ITZLJSO,O,X,O,X,O,O,O,X,O,X,X,X
ITZLJOS,O,X,O,X,O,O,O,X,O,X,X,X
ITZLSJO,X,X,X,X,O,O,O,X,X,X,X,X
ITZLSOJ,X,X,X,X,O,O,O,X,X,X,X,X
ITZLOJS,X,X,O,X,O,O,O,X,O,X,X,X
ITZLOSJ,X,X,X,X,O,O,O,X,X,X,X,X
ITZJLSO,X,X,O,X,X,O,O,X,X,X,X,X
ITZJLOS,O,X,O,X,X,O,O,X,X,X,X,X
ITZJSLO,X,O,O,X,X,O,O,X,X,X,O,X
ITZJSOL,O,O,O,X,X,O,O,X,X,X,X,X
ITZJOLS,O,X,O,X,X,O,X,X,X,X,X,X
ITZJOSL,O,O,O,X,X,O,X,X,X,X,X,X
ITZSLJO,X,X,X,X,X,O,O,X,X,X,X,X
ITZSLOJ,X,O,X,X,X,O,O,X,X,X,X,X
ITZSJLO,X,O,O,X,X,O,O,X,X,X,X,X
ITZSJOL,X,O,O,X,X,O,O,X,X,X,X,X
ITZSOLJ,X,O,X,X,X,O,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,O,O,X,X,X,X,X
