sequence,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlB/mBUiBtq?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF6gBzfBNnBxqBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF6gBzfBNnBxqB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBSmBNnB/qB0r?BmqB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBWmBNnB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBWmBNnBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlBNnBCmB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlBNnBCmBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBamBUiBfs?BWwB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfB0gB6mBNnB/q?B2wB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaB+gBNnBxqB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaB+gBNnBxqBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF0bBzfB9qBxmB3m?BywB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlB3hBOsBCr?BUrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBUhBOsBCr?B3rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBGhB8qBXn?BywB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBdmBUiBfs?BWwB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhFxgBNnB6lBmkBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhFxgBNnB6lBmkB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBUiBKrBfs?BuqB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaBNnBxlB+lB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF8fBtgB/qBxmBir?BzrB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaBNnBxlB+lBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhFRgBUiBXgB9qBTm?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhF/mBUiBxkBOlBtq?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhFXbBChBNnBUlBTm?BRwB
ITSZLJO,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
ITSZLOJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITSZJLO,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
ITSZJOL,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
ITSZOLJ,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ITSZOJL,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
ITSOLJZ,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ITSOLZJ,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITSOJLZ,X,O,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ITSOJZL,X,O,X,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ITSOZLJ,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITSOZJL,X,O,X,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
ITZLJSO,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
ITZLJOS,X,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ITZLSJO,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O
ITZLSOJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITZLOJS,X,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ITZLOSJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITZJLSO,X,X,X,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
ITZJLOS,X,X,O,X,O,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O
ITZJSLO,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITZJSOL,X,O,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
ITZJOLS,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
ITZJOSL,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
ITZSLJO,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ITZSLOJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITZSJLO,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITZSJOL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ITZSOLJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ITZSOJL,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ITZOLJS,X,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ITZOLSJ,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITZOJLS,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ITZOJSL,X,X,O,O,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ITZOSLJ,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITZOSJL,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ITOLJSZ,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
ITOLJZS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ITOLSJZ,O,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ITOLSZJ,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITOLZJS,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ITOLZSJ,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITOJLSZ,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
ITOJLZS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ITOJSLZ,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ITOJSZL,O,O,X,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ITOJZLS,O,O,O,X,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ITOJZSL,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ITOSLJZ,O,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ITOSLZJ,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITOSJLZ,O,O,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ITOSJZL,O,O,X,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ITOSZLJ,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITOSZJL,O,O,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ITOZLJS,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ITOZLSJ,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
ITOZJLS,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ITOZJSL,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ITOZSLJ,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ITOZSJL,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ILTJSZO,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
ILTJSOZ,O,O,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ILTJZSO,O,O,O,X,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILTJZOS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILTJOSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O
ILTJOZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILTSJZO,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
ILTSJOZ,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
ILTSZJO,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
ILTSZOJ,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ILTSOJZ,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
ILTSOZJ,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ILTZJSO,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ILTZJOS,X,X,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ILTZSJO,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O
ILTZSOJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
ILTZOJS,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ILTZOSJ,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
ILTOJSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O
ILTOJZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILTOSJZ,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O
ILTOSZJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
ILTOZJS,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ILTOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
ILJTSZO,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ILJTSOZ,O,O,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ILJTZSO,O,O,O,X,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILJTZOS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILJTOSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
ILJTOZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ILJSTZO,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ILJSTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ILJSZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILJSOTZ,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ILJZTSO,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ILJZTOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ILJZSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ILJZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILJZOTS,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ILJOTSZ,O,O,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ILJOTZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,O,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ILJOZTS,O,O,O,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ILSTJZO,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X
ILSTJOZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ILSTZJO,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X
ILSTZOJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSTOJZ,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ILSTOZJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSJTZO,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSJTOZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSJZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZTJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSZTOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSZJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ILSOJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZTJSO,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
ILZTJOS,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
ILZTSJO,X,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,O
ILZTSOJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ILZTOJS,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
ILZTOSJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ILZJTSO,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ILZJTOS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ILZJSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ILZJSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZJOTS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ILZSTJO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ILZSTOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ILZSJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ILZSJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ILZSOTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ILZSOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ILZOTJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZOTSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ILZOJTS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ILZOSTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ILOTJSZ,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
ILOTJZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOTSJZ,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOTZJS,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOJTSZ,O,O,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ILOJTZS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,O,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ILOJZTS,O,O,O,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOSTZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ILOSJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOZTJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOZJTS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IJTLSZO,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTLZSO,O,O,O,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IJTLZOS,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IJTLOSZ,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTLOZS,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTSLZO,O,O,X,X,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTSZLO,O,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJTSZOL,O,O,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
IJTSOLZ,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTSOZL,O,O,X,X,X,X,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
IJTZLSO,O,X,X,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IJTZLOS,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
IJTZSLO,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJTZSOL,O,O,O,X,X,X,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
IJTZOLS,O,O,O,X,X,X,O,X,O,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTZOSL,O,X,O,X,X,X,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
IJTOLSZ,O,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTOLZS,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTOSLZ,O,O,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTOSZL,O,O,X,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
IJTOZLS,O,O,O,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
IJTOZSL,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
IJLTSZO,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,O,O,X,X,X,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLTZSO,O,O,O,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IJLTZOS,O,O,O,X,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IJLTOSZ,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IJLTOZS,O,O,O,X,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
