sequence,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhFzgBUiB5oB3kBWs?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeOEJvhF8kBzgBqmB/nB5o?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhF3gBumB5oB1pB8q?BTsB,v115@EhB8IeA8IeA8AeC8AeE8Kel/IvhF3gBzhB5oB2pB8q?BSxB,v115@EhB8IeA8IeA8AeC8AeE8Kem/IvhFChB/nB5oBTkB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Ke0/IvhFlgB3hB5oB2pBTn?BCrB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFzfBWmB/nB5oB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFflBlgBumB5oB8q?BTsB
TZJOISL,O,O,O,O,X,X,X,X
TZJOLIS,O,X,O,O,X,X,X,X
TZJOLSI,O,X,O,O,X,X,X,X
TZJOSIL,O,O,O,O,X,X,X,X
TZJOSLI,O,O,O,O,X,X,X,X
TZSILJO,O,O,O,O,O,X,O,X
TZSILOJ,O,O,O,O,O,X,O,X
TZSIJLO,O,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,O,O,X,X,X
TZSIOJL,O,O,O,X,O,X,X,X
TZSLIJO,O,O,O,O,O,X,O,X
TZSLIOJ,O,O,O,O,O,X,O,X
TZSLJIO,O,O,O,O,O,X,O,X
TZSLJOI,O,O,O,O,X,X,O,X
TZSLOIJ,O,O,O,O,O,X,O,X
TZSLOJI,O,O,O,O,O,X,O,X
TZSJILO,O,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,X,X,X,X
TZSJLIO,O,O,O,O,O,X,O,X
TZSJLOI,O,O,O,O,X,X,O,X
TZSJOIL,O,O,O,O,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,X
TZSOILJ,O,O,O,O,O,X,X,X
TZSOIJL,O,O,O,X,O,X,X,X
TZSOLIJ,O,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,O,X,X,X
TZSOJIL,O,O,O,X,O,X,X,X
TZSOJLI,O,O,O,X,O,X,X,X
TZOILJS,X,X,O,X,X,X,X,O
TZOILSJ,X,X,O,X,X,X,X,O
TZOIJLS,O,X,O,X,X,X,X,O
TZOIJSL,O,O,O,X,O,X,X,X
TZOISLJ,O,O,O,X,O,X,X,X
TZOISJL,O,O,O,X,O,X,X,X
TZOLIJS,X,X,O,X,X,X,X,O
TZOLISJ,X,X,O,X,X,X,X,O
TZOLJIS,X,X,O,X,X,X,X,O
TZOLJSI,X,X,O,X,X,X,X,O
TZOLSIJ,X,X,O,X,X,X,X,O
TZOLSJI,X,X,O,X,X,X,X,O
TZOJILS,O,X,O,X,X,X,X,O
TZOJISL,O,O,O,X,O,X,X,X
TZOJLIS,O,X,O,X,X,X,X,O
TZOJLSI,O,X,O,X,X,X,X,O
TZOJSIL,O,O,O,X,O,X,X,X
TZOJSLI,O,O,O,X,O,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X
TZOSLIJ,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,X,O,X,X,X
TZOSJIL,O,O,O,X,O,X,X,X
TZOSJLI,O,O,O,X,O,X,X,X
TOILJSZ,O,X,O,X,O,O,O,O
TOILJZS,O,X,O,X,X,O,O,O
TOILSJZ,O,X,O,X,O,O,O,O
TOILSZJ,O,X,O,X,O,O,O,O
TOILZJS,X,X,O,X,X,O,O,O
TOILZSJ,X,X,O,X,X,O,O,O
TOIJLSZ,O,X,O,X,O,O,O,O
TOIJLZS,O,X,O,X,X,O,O,O
TOIJSLZ,O,X,O,X,O,O,O,X
TOIJSZL,O,X,O,X,O,O,X,X
TOIJZLS,O,X,O,X,X,O,X,O
TOIJZSL,O,X,O,X,O,O,X,X
TOISLJZ,O,O,O,X,O,O,O,X
TOISLZJ,O,O,O,X,O,O,O,X
TOISJLZ,O,X,O,X,O,O,O,X
TOISJZL,O,X,O,X,O,O,X,X
TOISZLJ,O,O,O,X,O,X,X,X
TOISZJL,O,O,O,X,O,O,X,X
TOIZLJS,X,X,O,X,X,X,X,O
TOIZLSJ,X,X,O,X,X,X,X,O
TOIZJLS,O,X,O,X,X,X,X,O
TOIZJSL,O,O,O,X,O,X,X,X
TOIZSLJ,O,O,O,X,O,X,X,X
TOIZSJL,O,O,O,X,O,X,X,X
TOLIJSZ,O,X,O,X,O,O,O,O
TOLIJZS,O,X,O,X,X,O,O,O
TOLISJZ,O,X,O,X,O,O,O,O
TOLISZJ,O,X,O,X,O,O,O,O
TOLIZJS,X,X,O,X,X,O,O,O
TOLIZSJ,X,X,O,X,X,O,O,O
TOLJISZ,O,X,O,X,O,O,O,O
TOLJIZS,O,X,O,X,X,O,O,O
TOLJSIZ,O,X,O,X,O,O,O,O
TOLJSZI,O,X,O,X,O,O,O,O
TOLJZIS,O,X,O,X,X,O,O,O
TOLJZSI,O,X,O,X,X,O,O,O
TOLSIJZ,O,X,O,X,O,O,O,O
TOLSIZJ,O,X,O,X,O,O,O,O
TOLSJIZ,O,X,O,X,O,O,O,O
TOLSJZI,O,X,O,X,O,O,O,O
TOLSZIJ,O,X,O,X,O,O,O,O
TOLSZJI,O,X,O,X,O,O,O,O
TOLZIJS,X,X,O,X,X,O,O,O
TOLZISJ,X,X,O,X,X,O,O,O
TOLZJIS,X,X,O,X,X,O,O,O
TOLZJSI,X,X,O,X,X,O,O,O
TOLZSIJ,X,X,O,X,X,O,O,O
TOLZSJI,X,X,O,X,X,O,O,O
TOJILSZ,O,X,O,X,O,O,O,O
TOJILZS,O,X,O,X,X,O,O,O
TOJISLZ,O,X,O,X,O,O,O,X
TOJISZL,O,X,O,X,O,O,X,X
TOJIZLS,O,X,O,X,X,O,X,O
TOJIZSL,O,X,O,X,O,O,X,X
TOJLISZ,O,X,O,X,O,O,O,O
TOJLIZS,O,X,O,X,X,O,O,O
TOJLSIZ,O,X,O,X,O,O,O,O
TOJLSZI,O,X,O,X,O,O,O,O
TOJLZIS,O,X,O,X,X,O,O,O
TOJLZSI,O,X,O,X,X,O,O,O
TOJSILZ,O,X,O,X,O,O,O,X
TOJSIZL,O,X,O,X,O,O,X,X
TOJSLIZ,O,X,O,X,O,O,O,X
TOJSLZI,O,X,O,X,O,O,O,X
TOJSZIL,O,X,O,X,O,O,X,X
TOJSZLI,O,X,O,X,O,O,X,X
TOJZILS,O,X,O,X,X,O,X,O
TOJZISL,O,X,O,X,O,O,X,X
TOJZLIS,O,X,O,X,X,O,X,O
TOJZLSI,O,X,O,X,X,O,X,O
TOJZSIL,O,X,O,X,O,O,X,X
TOJZSLI,O,X,O,X,O,O,X,X
TOSILJZ,O,O,O,X,O,O,O,X
TOSILZJ,O,O,O,X,O,O,O,X
TOSIJLZ,O,X,O,X,O,O,O,X
TOSIJZL,O,X,O,X,O,O,X,X
TOSIZLJ,O,O,O,X,O,X,X,X
TOSIZJL,O,O,O,X,O,O,X,X
TOSLIJZ,O,O,O,X,O,O,O,X
TOSLIZJ,O,O,O,X,O,O,O,X
TOSLJIZ,O,O,O,X,O,O,O,X
TOSLJZI,O,O,O,X,O,O,O,X
TOSLZIJ,O,O,O,X,O,O,O,X
TOSLZJI,O,O,O,X,O,O,O,X
TOSJILZ,O,X,O,X,O,O,O,X
TOSJIZL,O,X,O,X,O,O,X,X
TOSJLIZ,O,X,O,X,O,O,O,X
TOSJLZI,O,X,O,X,O,O,O,X
TOSJZIL,O,X,O,X,O,O,X,X
TOSJZLI,O,X,O,X,O,O,X,X
TOSZILJ,O,O,O,X,O,X,X,X
TOSZIJL,O,O,O,X,O,O,X,X
TOSZLIJ,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,X,O,X,X,X
TOSZJIL,O,O,O,X,O,O,X,X
TOSZJLI,O,O,O,X,O,O,X,X
TOZILJS,X,X,O,X,X,X,X,O
TOZILSJ,X,X,O,X,X,X,X,O
TOZIJLS,O,X,O,X,X,X,X,O
TOZIJSL,O,O,O,X,O,X,X,X
TOZISLJ,O,O,O,X,O,X,X,X
TOZISJL,O,O,O,X,O,X,X,X
TOZLIJS,X,X,O,X,X,X,X,O
TOZLISJ,X,X,O,X,X,X,X,O
TOZLJIS,X,X,O,X,X,X,X,O
TOZLJSI,X,X,O,X,X,X,X,O
TOZLSIJ,X,X,O,X,X,X,X,O
TOZLSJI,X,X,O,X,X,X,X,O
TOZJILS,O,X,O,X,X,X,X,O
TOZJISL,O,O,O,X,O,X,X,X
TOZJLIS,O,X,O,X,X,X,X,O
TOZJLSI,O,X,O,X,X,X,X,O
TOZJSIL,O,O,O,X,O,X,X,X
TOZJSLI,O,O,O,X,O,X,X,X
TOZSILJ,O,O,O,X,O,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,O,X,X,X
TOZSLJI,O,O,O,X,O,X,X,X
TOZSJIL,O,O,O,X,O,X,X,X
TOZSJLI,O,O,O,X,O,X,X,X
ITLJSZO,O,X,O,O,O,O,O,O
ITLJSOZ,O,X,X,O,O,O,O,X
ITLJZSO,O,X,O,O,X,O,O,O
ITLJZOS,O,X,O,O,X,O,O,X
ITLJOSZ,O,X,O,O,X,O,O,X
ITLJOZS,O,X,O,O,X,O,O,X
ITLSJZO,O,O,O,X,O,O,O,O
ITLSJOZ,O,O,X,X,O,O,O,X
ITLSZJO,O,O,O,X,O,O,O,O
ITLSZOJ,O,O,O,X,O,X,O,O
ITLSOJZ,O,O,O,X,O,O,O,O
ITLSOZJ,O,O,O,X,O,X,O,O
ITLZJSO,X,O,O,O,X,O,O,O
ITLZJOS,X,X,O,O,X,O,O,X
ITLZSJO,X,O,O,O,X,O,O,O
ITLZSOJ,X,O,O,O,X,X,O,O
ITLZOJS,X,X,O,O,X,X,O,O
ITLZOSJ,X,X,O,O,X,X,O,O
ITLOJSZ,O,X,O,O,O,O,O,O
ITLOJZS,O,X,O,O,X,O,O,O
ITLOSJZ,O,X,O,X,O,O,O,O
ITLOSZJ,O,X,O,X,O,X,O,O
ITLOZJS,X,X,O,O,X,X,O,O
ITLOZSJ,X,X,O,O,X,X,O,O
ITJLSZO,O,X,O,O,O,O,O,O
ITJLSOZ,O,X,X,O,O,O,O,X
ITJLZSO,O,X,O,O,X,O,O,O
ITJLZOS,O,X,O,O,X,O,O,X
ITJLOSZ,O,X,O,O,X,O,O,X
ITJLOZS,O,X,O,O,X,O,O,X
ITJSLZO,O,O,O,O,O,X,O,X
ITJSLOZ,O,O,X,O,O,X,O,X
ITJSZLO,O,O,O,O,O,X,O,X
ITJSZOL,O,O,O,O,X,X,X,X
ITJSOLZ,O,X,X,X,O,X,O,X
ITJSOZL,O,X,X,X,O,X,X,X
ITJZLSO,O,O,O,O,X,O,O,O
ITJZLOS,O,X,O,O,X,O,O,X
ITJZSLO,O,O,O,O,O,O,O,X
ITJZSOL,O,O,O,O,X,O,X,X
ITJZOLS,O,X,O,O,X,O,X,X
ITJZOSL,O,O,O,O,X,O,X,X
ITJOLSZ,O,X,O,O,O,O,O,X
ITJOLZS,O,X,O,O,X,O,O,X
ITJOSLZ,O,X,O,X,O,O,O,X
ITJOSZL,O,X,O,X,O,O,X,X
ITJOZLS,O,X,O,O,X,O,X,X
ITJOZSL,O,X,O,O,O,O,X,X
ITSLJZO,O,O,O,X,O,X,O,X
ITSLJOZ,O,O,X,X,O,X,O,X
ITSLZJO,O,O,O,X,O,X,O,X
ITSLZOJ,O,O,O,X,O,X,O,X
ITSLOJZ,O,O,O,X,O,X,O,X
ITSLOZJ,O,O,O,X,O,X,O,X
ITSJLZO,O,O,O,X,O,X,O,X
ITSJLOZ,O,O,X,X,O,X,O,X
ITSJZLO,O,O,O,X,O,X,O,X
ITSJZOL,O,O,O,X,X,X,X,X
ITSJOLZ,O,X,X,X,O,X,O,X
ITSJOZL,O,X,X,X,O,X,X,X
ITSZLJO,O,O,O,X,O,X,O,X
ITSZLOJ,O,O,O,X,O,X,O,X
ITSZJLO,O,O,O,X,O,X,O,X
ITSZJOL,O,O,O,X,O,X,X,X
ITSZOLJ,O,O,O,X,O,X,X,X
ITSZOJL,O,O,O,X,O,X,X,X
ITSOLJZ,O,O,O,X,O,X,O,X
ITSOLZJ,O,O,O,X,O,X,O,X
ITSOJLZ,O,X,O,X,O,X,O,X
ITSOJZL,O,X,O,X,O,X,X,X
ITSOZLJ,O,O,O,X,O,X,X,X
ITSOZJL,O,O,O,X,O,X,X,X
ITZLJSO,X,O,O,O,X,X,O,O
ITZLJOS,X,X,O,O,X,X,O,X
ITZLSJO,X,O,O,O,X,X,O,O
ITZLSOJ,X,O,O,O,X,X,O,O
ITZLOJS,X,X,O,O,X,X,O,O
ITZLOSJ,X,X,O,O,X,X,O,O
ITZJLSO,O,O,O,O,X,X,O,O
ITZJLOS,O,X,O,O,X,X,O,X
ITZJSLO,O,O,O,O,O,X,O,X
ITZJSOL,O,O,O,O,X,X,X,X
ITZJOLS,O,X,O,O,X,X,X,X
ITZJOSL,O,O,O,O,X,X,X,X
ITZSLJO,O,O,O,O,O,X,O,X
ITZSLOJ,O,O,O,O,O,X,O,X
ITZSJLO,O,O,O,O,O,X,O,X
ITZSJOL,O,O,O,O,X,X,X,X
ITZSOLJ,O,O,O,O,O,X,X,X
ITZSOJL,O,O,O,X,O,X,X,X
ITZOLJS,X,X,O,X,X,X,X,O
ITZOLSJ,X,X,O,X,X,X,X,O
ITZOJLS,O,X,O,X,X,X,X,O
ITZOJSL,O,O,O,X,O,X,X,X
ITZOSLJ,O,O,O,X,O,X,X,X
ITZOSJL,O,O,O,X,O,X,X,X
ITOLJSZ,O,X,O,X,O,O,O,O
ITOLJZS,O,X,O,X,X,O,O,O
ITOLSJZ,O,X,O,X,O,O,O,O
ITOLSZJ,O,X,O,X,O,O,O,O
ITOLZJS,X,X,O,X,X,O,O,O
ITOLZSJ,X,X,O,X,X,O,O,O
ITOJLSZ,O,X,O,X,O,O,O,O
ITOJLZS,O,X,O,X,X,O,O,O
ITOJSLZ,O,X,O,X,O,O,O,X
ITOJSZL,O,X,O,X,O,O,X,X
ITOJZLS,O,X,O,X,X,O,X,O
ITOJZSL,O,X,O,X,O,O,X,X
ITOSLJZ,O,O,O,X,O,O,O,X
ITOSLZJ,O,O,O,X,O,O,O,X
ITOSJLZ,O,X,O,X,O,O,O,X
ITOSJZL,O,X,O,X,O,O,X,X
ITOSZLJ,O,O,O,X,O,X,X,X
ITOSZJL,O,O,O,X,O,O,X,X
ITOZLJS,X,X,O,X,X,X,X,O
ITOZLSJ,X,X,O,X,X,X,X,O
ITOZJLS,O,X,O,X,X,X,X,O
ITOZJSL,O,O,O,X,O,X,X,X
ITOZSLJ,O,O,O,X,O,X,X,X
ITOZSJL,O,O,O,X,O,X,X,X
ILTJSZO,O,X,O,O,O,O,O,O
ILTJSOZ,O,X,X,O,O,O,O,X
ILTJZSO,O,X,O,O,X,O,O,O
ILTJZOS,O,X,O,O,X,O,O,X
ILTJOSZ,O,X,O,O,X,O,O,X
ILTJOZS,O,X,O,O,X,O,O,X
ILTSJZO,O,O,O,X,O,O,O,O
ILTSJOZ,O,O,X,X,O,O,O,X
ILTSZJO,O,O,O,X,O,O,O,O
ILTSZOJ,O,O,O,X,O,X,O,O
ILTSOJZ,O,O,O,X,O,O,O,O
ILTSOZJ,O,O,O,X,O,X,O,O
ILTZJSO,X,O,O,O,X,O,O,O
ILTZJOS,X,X,O,O,X,O,O,X
ILTZSJO,X,O,O,O,X,O,O,O
ILTZSOJ,X,O,O,O,X,X,O,O
ILTZOJS,X,X,O,O,X,X,O,O
ILTZOSJ,X,X,O,O,X,X,O,O
ILTOJSZ,O,X,O,O,O,O,O,O
ILTOJZS,O,X,O,O,X,O,O,O
ILTOSJZ,O,X,O,X,O,O,O,O
ILTOSZJ,O,X,O,X,O,X,O,O
ILTOZJS,X,X,O,O,X,X,O,O
ILTOZSJ,X,X,O,O,X,X,O,O
ILJTSZO,O,X,O,O,X,O,O,O
ILJTSOZ,O,X,X,O,X,O,O,X
ILJTZSO,O,X,O,O,X,O,O,O
ILJTZOS,O,X,O,O,X,O,O,X
ILJTOSZ,O,X,X,O,X,O,O,X
ILJTOZS,O,X,O,O,X,O,O,X
ILJSTZO,O,O,X,O,X,O,O,O
ILJSTOZ,O,X,X,O,X,O,O,X
ILJSZTO,O,O,X,O,X,O,X,O
ILJSZOT,O,O,X,O,X,O,X,O
ILJSOTZ,O,X,X,O,X,O,O,O
ILJSOZT,O,O,X,O,X,O,X,O
ILJZTSO,O,O,O,O,X,O,X,O
ILJZTOS,O,X,O,O,X,O,X,X
ILJZSTO,O,O,O,O,X,O,X,O
ILJZSOT,O,O,X,O,X,O,X,O
ILJZOTS,X,X,X,O,X,O,X,O
ILJZOST,X,X,X,O,X,O,X,O
ILJOTSZ,X,X,X,O,X,O,O,O
ILJOTZS,X,X,X,O,X,O,O,O
ILJOSTZ,X,X,X,O,X,O,O,O
ILJOSZT,X,X,X,O,X,O,X,O
ILJOZTS,X,X,X,O,X,O,X,O
ILJOZST,X,X,X,O,X,O,X,O
ILSTJZO,O,O,X,X,O,O,O,O
ILSTJOZ,O,O,X,X,O,O,O,X
ILSTZJO,O,O,X,X,O,O,O,O
ILSTZOJ,O,O,X,X,O,X,O,O
ILSTOJZ,O,O,X,X,O,O,O,O
ILSTOZJ,O,O,X,X,O,X,O,O
ILSJTZO,O,O,X,O,X,O,O,O
ILSJTOZ,O,O,X,O,X,O,O,X
ILSJZTO,O,O,X,O,X,O,X,O
ILSJZOT,O,O,X,O,X,O,X,O
ILSJOTZ,O,X,X,O,X,O,O,O
ILSJOZT,O,O,X,O,X,O,X,O
ILSZTJO,O,O,X,O,O,O,O,O
ILSZTOJ,O,O,X,O,O,X,O,O
ILSZJTO,O,O,X,O,X,O,X,O
ILSZJOT,O,O,X,O,O,O,X,O
ILSZOTJ,X,O,X,O,O,X,O,O
ILSZOJT,X,O,X,O,O,X,X,O
ILSOTJZ,O,O,X,X,O,O,O,O
ILSOTZJ,O,O,X,X,O,X,O,O
ILSOJTZ,O,X,X,O,O,O,O,O
ILSOJZT,O,O,X,O,O,O,X,O
ILSOZTJ,X,O,X,O,O,X,O,O
ILSOZJT,X,O,X,O,O,X,X,O
ILZTJSO,X,O,O,O,X,O,O,O
ILZTJOS,X,X,O,O,X,O,O,X
ILZTSJO,X,O,O,O,X,O,O,O
ILZTSOJ,X,O,O,O,X,X,O,O
ILZTOJS,X,X,O,O,X,X,O,O
ILZTOSJ,X,X,O,O,X,X,O,O
ILZJTSO,X,O,O,O,X,O,X,O
ILZJTOS,X,X,O,O,X,O,X,X
ILZJSTO,X,O,O,O,X,O,X,O
ILZJSOT,X,O,X,O,X,O,X,O
ILZJOTS,X,X,X,O,X,O,X,O
ILZJOST,X,X,X,O,X,O,X,O
ILZSTJO,X,O,O,O,X,O,O,O
ILZSTOJ,X,O,O,O,X,X,O,O
ILZSJTO,X,O,O,O,X,O,X,O
ILZSJOT,X,O,X,O,X,O,X,O
ILZSOTJ,X,O,O,O,X,X,O,O
ILZSOJT,X,O,O,O,X,X,X,O
ILZOTJS,X,X,O,O,X,X,O,O
ILZOTSJ,X,X,O,O,X,X,O,O
ILZOJTS,X,X,O,O,X,X,X,O
ILZOJST,X,X,O,O,X,X,X,O
ILZOSTJ,X,X,O,O,X,X,O,O
ILZOSJT,X,X,O,O,X,X,X,O
ILOTJSZ,X,X,O,O,O,O,O,O
ILOTJZS,X,X,O,O,X,O,O,O
ILOTSJZ,X,X,O,X,O,O,O,O
ILOTSZJ,X,X,O,X,O,O,O,O
ILOTZJS,X,X,O,O,X,O,O,O
ILOTZSJ,X,X,O,O,X,O,O,O
ILOJTSZ,X,X,O,O,O,O,O,O
ILOJTZS,X,X,O,O,X,O,O,O
ILOJSTZ,X,X,X,O,O,O,O,O
ILOJSZT,X,X,X,O,O,O,X,O
ILOJZTS,X,X,O,O,X,O,X,O
ILOJZST,X,X,O,O,X,O,X,O
ILOSTJZ,X,X,X,X,O,O,O,O
ILOSTZJ,X,X,X,X,O,O,O,O
ILOSJTZ,X,X,X,O,O,O,O,O
ILOSJZT,X,X,X,O,O,O,X,O
ILOSZTJ,X,X,X,O,O,O,O,O
ILOSZJT,X,X,X,O,O,O,X,O
ILOZTJS,X,X,O,O,X,O,O,O
ILOZTSJ,X,X,O,O,X,O,O,O
ILOZJTS,X,X,O,O,X,O,X,O
ILOZJST,X,X,O,O,X,O,X,O
ILOZSTJ,X,X,O,O,X,O,O,O
ILOZSJT,X,X,O,O,X,O,X,O
IJTLSZO,O,X,O,O,O,O,O,O
IJTLSOZ,O,X,X,O,O,O,O,X
IJTLZSO,O,X,O,O,X,O,O,O
IJTLZOS,O,X,O,O,X,O,O,X
IJTLOSZ,O,X,O,O,X,O,O,X
IJTLOZS,O,X,O,O,X,O,O,X
IJTSLZO,O,O,O,O,O,X,O,X
IJTSLOZ,O,O,X,O,O,X,O,X
IJTSZLO,O,O,O,O,O,X,O,X
IJTSZOL,O,O,O,O,X,X,X,X
IJTSOLZ,O,X,X,X,O,X,O,X
IJTSOZL,O,X,X,X,O,X,X,X
IJTZLSO,O,O,O,O,X,O,O,O
IJTZLOS,O,X,O,O,X,O,O,X
IJTZSLO,O,O,O,O,O,O,O,X
IJTZSOL,O,O,O,O,X,O,X,X
IJTZOLS,O,X,O,O,X,O,X,X
IJTZOSL,O,O,O,O,X,O,X,X
IJTOLSZ,O,X,O,O,O,O,O,X
IJTOLZS,O,X,O,O,X,O,O,X
IJTOSLZ,O,X,O,X,O,O,O,X
IJTOSZL,O,X,O,X,O,O,X,X
IJTOZLS,O,X,O,O,X,O,X,X
IJTOZSL,O,X,O,O,O,O,X,X
IJLTSZO,O,X,O,O,X,O,O,O
IJLTSOZ,O,X,X,O,X,O,O,X
IJLTZSO,O,X,O,O,X,O,O,O
IJLTZOS,O,X,O,O,X,O,O,X
IJLTOSZ,O,X,X,O,X,O,O,X
IJLTOZS,O,X,O,O,X,O,O,X
IJLSTZO,O,O,X,O,X,O,O,O
IJLSTOZ,O,X,X,O,X,O,O,X
IJLSZTO,O,O,X,O,X,O,X,O
IJLSZOT,O,O,X,O,X,O,X,O
IJLSOTZ,O,X,X,O,X,O,O,O
IJLSOZT,O,O,X,O,X,O,X,O
IJLZTSO,O,O,O,O,X,O,X,O
IJLZTOS,O,X,O,O,X,O,X,X
IJLZSTO,O,O,O,O,X,O,X,O
IJLZSOT,O,O,X,O,X,O,X,O
IJLZOTS,X,X,X,O,X,O,X,O
IJLZOST,X,X,X,O,X,O,X,O
IJLOTSZ,X,X,X,O,X,O,O,O
IJLOTZS,X,X,X,O,X,O,O,O
IJLOSTZ,X,X,X,O,X,O,O,O
IJLOSZT,X,X,X,O,X,O,X,O
IJLOZTS,X,X,X,O,X,O,X,O
IJLOZST,X,X,X,O,X,O,X,O
IJSTLZO,O,O,O,O,O,X,O,X
IJSTLOZ,O,O,X,O,O,X,O,X
IJSTZLO,O,O,O,O,O,X,O,X
IJSTZOL,O,O,O,O,X,X,X,X
IJSTOLZ,O,X,X,X,O,X,O,X
IJSTOZL,O,X,X,X,O,X,X,X
IJSLTZO,O,O,X,O,X,O,O,O
IJSLTOZ,O,O,X,O,X,O,O,X
IJSLZTO,O,O,X,O,X,O,X,O
IJSLZOT,O,O,X,O,X,O,X,O
IJSLOTZ,O,X,X,O,X,O,O,X
IJSLOZT,O,O,X,O,X,O,X,O
IJSZTLO,O,O,O,O,O,O,X,X
IJSZTOL,O,O,O,O,O,O,X,X
IJSZLTO,O,O,O,O,X,O,X,O
IJSZLOT,O,O,X,O,O,O,X,O
IJSZOTL,O,O,O,O,O,O,X,X
IJSZOLT,O,O,X,O,O,O,X,X
IJSOTLZ,O,X,X,X,O,O,X,X
IJSOTZL,O,X,X,X,O,O,X,X
IJSOLTZ,O,X,X,X,O,O,X,X
IJSOLZT,O,O,X,X,O,O,X,X
IJSOZTL,O,O,X,X,O,O,X,X
IJSOZLT,O,O,X,X,O,O,X,X
IJZTLSO,O,O,O,O,X,O,X,O
IJZTLOS,O,X,O,O,X,O,X,X
IJZTSLO,O,O,O,O,X,O,X,X
IJZTSOL,O,O,O,O,X,O,X,X
IJZTOLS,O,X,O,O,X,O,X,X
IJZTOSL,O,O,O,O,X,O,X,X
IJZLTSO,O,O,O,O,X,O,X,O
IJZLTOS,O,X,O,O,X,O,X,X
IJZLSTO,O,O,O,O,X,O,X,O
IJZLSOT,O,O,X,O,X,O,X,O
IJZLOTS,X,X,X,O,X,O,X,O
IJZLOST,X,X,X,O,X,O,X,O
IJZSTLO,O,O,O,O,X,O,X,X
IJZSTOL,O,O,O,O,X,O,X,X
IJZSLTO,O,O,O,O,X,O,X,O
IJZSLOT,O,O,X,O,X,O,X,O
IJZSOTL,O,O,O,O,X,O,X,X
IJZSOLT,O,O,O,O,X,O,X,X
IJZOTLS,O,X,O,O,X,O,X,O
IJZOTSL,O,O,O,O,X,O,X,X
IJZOLTS,X,X,O,O,X,O,X,O
IJZOLST,X,X,O,O,X,O,X,O
IJZOSTL,O,O,O,O,X,O,X,X
IJZOSLT,O,O,O,O,X,O,X,O
IJOTLSZ,O,X,O,O,O,O,X,O
IJOTLZS,O,X,O,O,X,O,X,O
IJOTSLZ,O,X,O,X,O,O,X,X
IJOTSZL,O,X,O,X,O,O,X,X
IJOTZLS,O,X,O,O,X,O,X,O
IJOTZSL,O,X,O,O,O,O,X,X
IJOLTSZ,X,X,O,O,O,O,X,O
IJOLTZS,X,X,O,O,X,O,X,O
IJOLSTZ,X,X,X,O,O,O,X,O
IJOLSZT,X,X,X,O,O,O,X,O
IJOLZTS,X,X,O,O,X,O,X,O
IJOLZST,X,X,O,O,X,O,X,O
IJOSTLZ,O,X,O,X,O,O,X,X
IJOSTZL,O,X,O,X,O,O,X,X
IJOSLTZ,O,X,X,X,O,O,X,O
IJOSLZT,O,O,X,X,O,O,X,O
IJOSZTL,O,O,O,X,O,O,X,X
IJOSZLT,O,O,O,X,O,O,X,O
IJOZTLS,O,X,O,O,X,O,X,O
IJOZTSL,O,O,O,O,O,O,X,X
IJOZLTS,X,X,O,O,X,O,X,O
IJOZLST,X,X,O,O,X,O,X,O
IJOZSTL,O,O,O,O,O,O,X,X
IJOZSLT,O,O,O,O,O,O,X,O
ISTLJZO,O,O,O,X,O,X,O,X
ISTLJOZ,O,O,X,X,O,X,O,X
ISTLZJO,O,O,O,X,O,X,O,X
ISTLZOJ,O,O,O,X,O,X,O,X
ISTLOJZ,O,O,O,X,O,X,O,X
ISTLOZJ,O,O,O,X,O,X,O,X
ISTJLZO,O,O,O,X,O,X,O,X
ISTJLOZ,O,O,X,X,O,X,O,X
ISTJZLO,O,O,O,X,O,X,O,X
ISTJZOL,O,O,O,X,X,X,X,X
ISTJOLZ,O,X,X,X,O,X,O,X
ISTJOZL,O,X,X,X,O,X,X,X
ISTZLJO,O,O,O,X,O,X,O,X
ISTZLOJ,O,O,O,X,O,X,O,X
ISTZJLO,O,O,O,X,O,X,O,X
ISTZJOL,O,O,O,X,O,X,X,X
ISTZOLJ,O,O,O,X,O,X,X,X
ISTZOJL,O,O,O,X,O,X,X,X
ISTOLJZ,O,O,O,X,O,X,O,X
ISTOLZJ,O,O,O,X,O,X,O,X
ISTOJLZ,O,X,O,X,O,X,O,X
ISTOJZL,O,X,O,X,O,X,X,X
ISTOZLJ,O,O,O,X,O,X,X,X
ISTOZJL,O,O,O,X,O,X,X,X
ISLTJZO,O,O,X,X,O,O,O,O
ISLTJOZ,O,O,X,X,O,O,O,X
ISLTZJO,O,O,X,X,O,O,O,O
