sequence,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBTgB/?mB+pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeO/IvhFxbBCgBlhB/?qBUmBTpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeO/IvhFxbBflB0gBl?hBTpBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT6IvhFxbBXgBlhBK?pBUmBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBlgB+?pB/qBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT6IvhFxbB0gBlhB2?pBCrB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeK/IvhFWgBxbBlhB/?qBUmBTpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBGlBT?mB3pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBCcBlhB+?pB/qBUrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT7IvhF0cBZkBWlB/?mB6pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeK/IvhFRgB3hBUgBG?mBTpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlgB6pB/?qBTmBOpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBTgB/mB6?pBOpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBSlBlhB8?qBGmB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jez6IvhF+gB0cB/mB6?pBZkBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFlgBTmBxpBi?pB/pBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex/IvhFlhB0fBKpBu?qBXqBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFxkBTmBllBi?pB/pBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex/IvhFlhBXgBKpBu?qB0pBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlfB3gBK?pBTmBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlgBOpB/?qBTmB6pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFxfB/mBTgB6?pBOpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je36IvhF0gBlhB2kBT?pBxqBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0fBlhBKpBu?qBXqBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFufB1gB0cB6?qBTmB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBFcBclB3?hB+pBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhFXgBlhBKpBu?qB0pBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0gBlhB6pB/?qBOpBTrB
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X
IOZLSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IOZJSLT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X
IOZSTJL,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X
IOZSLJT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZSJTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IOZSJLT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIJSZO,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X
LTIJSOZ,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTIJZOS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJOZS,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X
LTISJOZ,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTISZJO,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O
LTISZOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTISOJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTISOZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTIZJSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
LTIZSOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTIZOJS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTIOJSZ,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LTIOZJS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LTJISZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,O,O,X
LTJISOZ,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X
LTJIZSO,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
LTJIZOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTJIOSZ,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJIOZS,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJSIZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,O,O,O,X
LTJSIOZ,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X
LTJSZIO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,O,O
LTJSZOI,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O
LTJSOIZ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJSOZI,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
LTJZISO,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
LTJZIOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTJZSIO,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,X
LTJZSOI,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,X
LTJZOIS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTJZOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LTJOISZ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJOIZS,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTJOZIS,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTSIJZO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
LTSIJOZ,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTSIZJO,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O
LTSIZOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSIOJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSIOZJ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSJIZO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,O,X
LTSJIOZ,O,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTSJZIO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O
LTSJZOI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O
LTSJOIZ,O,O,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LTSJOZI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X
LTSZIJO,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
LTSZIOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSZJIO,O,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
LTSZJOI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
LTSZOIJ,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTSZOJI,O,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
LTSOIJZ,X,O,O,O,X,X,O,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTSOIZJ,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSOJIZ,O,O,O,O,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
LTSOJZI,O,O,O,O,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
LTSOZIJ,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSOZJI,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O
LTZIJSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
LTZIJOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTZISJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
LTZISOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZIOJS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJISO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
LTZJIOS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTZJSIO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,X
LTZJSOI,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,X
LTZJOIS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZJOSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LTZSIJO,X,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
LTZSIOJ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZSJIO,X,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O
LTZSJOI,X,O,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
LTZSOIJ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTZSOJI,X,O,O,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
LTZOIJS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZOISJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZOJIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZOJSI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZOSIJ,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTZOSJI,X,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOIJSZ,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTOISJZ,X,O,O,O,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
LTOISZJ,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X
LTOIZJS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTOIZSJ,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X
LTOJISZ,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOJIZS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOJSZI,O,O,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTOJZIS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOJZSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
LTOSIJZ,X,O,O,O,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOSIZJ,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTOSJIZ,O,O,O,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOSJZI,O,O,O,O,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOSZIJ,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTOSZJI,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O
LTOZIJS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOZISJ,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
LTOZJIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZJSI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOZSIJ,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOZSJI,X,O,O,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LITJSZO,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X
LITJSOZ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LITJZOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITJOSZ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LITJOZS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITSJZO,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X
LITSJOZ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LITSZJO,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O
LITSZOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LITSOJZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LITSOZJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LITZJSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LITZJOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITZSJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
LITZSOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LITZOJS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITZOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LITOJSZ,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LITOJZS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LITOSJZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
LITOZJS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LITOZSJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
LIJTSZO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,O,O,X
LIJTSOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LIJTZSO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
LIJTZOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJTOZS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJSTZO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X
LIJSTOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LIJSZTO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
LIJSZOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJSOTZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJSOZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJZTSO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X
LIJZTOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LIJZSTO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJZSOT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJZOTS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJZOST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJOTSZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LIJOTZS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LIJOSTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJOSZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJOZTS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
LIJOZST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LISTJZO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,O,X,X
LISTJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LISTZJO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,O,X,O
LISTZOJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LISTOJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISTOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LISJTZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X
LISJTOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
LISJZTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
LISJZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
LISJOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
LISJOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
