sequence,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBzgBfnB0?iB6oBFrB,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBFhB0iB6?oBfrBzrB
ILSOTZJ,X,O
ILSOJTZ,X,O
ILSOJZT,X,O
ILSOZTJ,X,O
ILSOZJT,X,O
ILZTJSO,X,X
ILZTJOS,X,X
ILZTSJO,X,X
ILZTSOJ,X,X
ILZTOJS,X,X
ILZTOSJ,X,X
ILZJTSO,X,X
ILZJTOS,X,X
ILZJSTO,O,O
ILZJSOT,X,X
ILZJOTS,X,X
ILZJOST,X,O
ILZSTJO,O,O
ILZSTOJ,O,X
ILZSJTO,O,O
ILZSJOT,X,X
ILZSOTJ,X,X
ILZSOJT,X,X
ILZOTJS,X,X
ILZOTSJ,X,X
ILZOJTS,X,X
ILZOJST,X,O
ILZOSTJ,X,O
ILZOSJT,X,O
ILOTJSZ,X,X
ILOTJZS,X,X
ILOTSJZ,X,X
ILOTSZJ,X,X
ILOTZJS,X,X
ILOTZSJ,X,X
ILOJTSZ,X,X
ILOJTZS,X,X
ILOJSTZ,X,O
ILOJSZT,X,O
ILOJZTS,X,X
ILOJZST,X,O
ILOSTJZ,X,O
ILOSTZJ,X,O
ILOSJTZ,X,O
ILOSJZT,X,O
ILOSZTJ,X,O
ILOSZJT,X,O
ILOZTJS,X,X
ILOZTSJ,X,X
ILOZJTS,X,X
ILOZJST,X,O
ILOZSTJ,X,O
ILOZSJT,X,O
IJTLSZO,O,X
IJTLSOZ,O,X
IJTLZSO,X,X
IJTLZOS,X,X
IJTLOSZ,O,X
IJTLOZS,X,X
IJTSLZO,O,X
IJTSLOZ,O,X
IJTSZLO,O,X
IJTSZOL,O,X
IJTSOLZ,O,X
IJTSOZL,O,X
IJTZLSO,X,X
IJTZLOS,X,X
IJTZSLO,X,X
IJTZSOL,X,X
IJTZOLS,X,X
IJTZOSL,X,X
IJTOLSZ,O,X
IJTOLZS,X,X
IJTOSLZ,O,X
IJTOSZL,O,X
IJTOZLS,X,X
IJTOZSL,X,X
IJLTSZO,O,X
IJLTSOZ,O,X
IJLTZSO,X,X
IJLTZOS,X,X
IJLTOSZ,O,X
IJLTOZS,X,X
IJLSTZO,O,O
IJLSTOZ,O,X
IJLSZTO,O,O
IJLSZOT,X,X
IJLSOTZ,X,O
IJLSOZT,X,O
