sequence,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF6iBTeBclBm?hBXmBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF8hBGeBamB3?iBTlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je07IvhFxdBzhBCjBX?hB2qBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je38IvhF5iBTeBclBy?mBllBmrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhFTeBclBXmBO?sB6sBlrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JeVBJvhFaiB5iBTeB0?gB2qBfsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JefCJvhFxdBUhBCjBT?lBmlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je3AJvhFcmBxiBmhBC?jBTlBFsB
TZJSOLI,O,O,O,X,O,X,X,X
TZJOILS,O,O,O,O,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X
TZJOLIS,O,O,O,O,X,X,X,X
TZJOLSI,O,O,O,O,X,X,X,X
TZJOSIL,O,O,X,X,O,X,X,X
TZJOSLI,O,O,O,X,O,X,X,X
TZSILJO,O,O,X,X,X,X,O,O
TZSILOJ,O,O,X,X,X,X,O,O
TZSIJLO,O,O,X,X,O,X,X,O
TZSIJOL,O,O,X,X,O,X,X,O
TZSIOLJ,O,O,X,X,X,X,X,O
TZSIOJL,O,O,X,X,O,X,X,O
TZSLIJO,O,O,X,X,X,X,O,O
TZSLIOJ,O,O,X,X,X,X,O,O
TZSLJIO,O,O,X,X,X,X,O,X
TZSLJOI,O,O,X,X,X,X,O,X
TZSLOIJ,O,O,O,X,X,X,O,X
TZSLOJI,O,O,O,X,X,X,O,X
TZSJILO,O,O,X,X,O,X,X,O
TZSJIOL,O,O,X,X,O,X,X,O
TZSJLIO,O,O,X,X,O,X,O,X
TZSJLOI,O,O,X,X,O,X,O,X
TZSJOIL,O,O,X,X,O,X,X,X
TZSJOLI,O,O,X,X,O,X,X,X
TZSOILJ,O,O,X,X,X,X,X,O
TZSOIJL,O,O,X,X,O,X,X,O
TZSOLIJ,O,O,O,X,X,X,O,X
TZSOLJI,O,O,O,X,X,X,O,X
TZSOJIL,O,O,X,X,O,X,X,X
TZSOJLI,O,O,X,X,O,X,X,X
TZOILJS,O,O,O,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,O,X
TZOIJLS,O,O,X,O,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,O,O
TZOISJL,O,O,X,X,O,X,X,O
TZOLIJS,O,O,O,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,O,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,O,X
TZOLSIJ,O,O,O,X,X,X,O,X
TZOLSJI,O,O,O,X,X,X,O,X
TZOJILS,O,O,O,O,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,O,O,O,O,X,X,X,X
TZOJLSI,O,O,O,O,X,X,O,X
TZOJSIL,O,O,X,X,O,X,X,X
TZOJSLI,O,O,O,X,O,X,O,X
TZOSILJ,O,O,X,X,X,X,O,O
TZOSIJL,O,O,X,X,O,X,X,O
TZOSLIJ,O,O,O,X,X,X,O,X
TZOSLJI,O,O,O,X,X,X,O,X
TZOSJIL,O,O,X,X,O,X,X,X
TZOSJLI,O,O,X,X,O,X,O,X
TOILJSZ,X,O,O,X,X,X,X,X
TOILJZS,O,O,O,X,X,X,X,X
TOILSJZ,O,O,O,X,X,X,X,X
TOILSZJ,O,O,O,X,X,X,X,X
TOILZJS,O,O,O,X,X,X,X,X
TOILZSJ,O,O,O,X,X,X,O,X
TOIJLSZ,X,O,O,O,X,X,X,X
TOIJLZS,O,O,O,O,X,X,X,X
TOIJSLZ,X,O,X,X,X,O,X,X
TOIJSZL,X,O,X,X,X,O,X,X
TOIJZLS,O,O,O,O,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,O,X,X,X,O,X,X
TOISLZJ,O,O,X,X,X,O,X,X
TOISJLZ,O,O,X,X,X,O,X,X
TOISJZL,O,O,X,X,X,O,X,X
TOISZLJ,O,O,X,X,X,O,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,O,O,O,X,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,O,X
TOIZJLS,O,O,X,O,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,O,O
TOIZSJL,O,O,X,X,O,X,X,O
TOLIJSZ,X,O,O,X,X,X,X,X
TOLIJZS,O,O,O,X,X,X,X,X
TOLISJZ,O,O,O,X,X,X,X,X
TOLISZJ,O,O,O,X,X,X,O,X
TOLIZJS,O,O,O,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,O,X
TOLJISZ,X,O,O,X,X,X,X,X
TOLJIZS,O,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,X,X,X
TOLJSZI,O,O,O,X,X,X,X,X
TOLJZIS,O,O,O,X,X,X,X,X
TOLJZSI,O,O,O,X,X,X,O,X
TOLSIJZ,O,O,O,X,X,X,X,X
TOLSIZJ,O,O,O,X,X,X,O,X
TOLSJIZ,O,O,O,X,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,O,X
TOLSZJI,O,O,O,X,X,X,O,X
TOLZIJS,O,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,X,X,O,X
TOLZJIS,O,O,O,X,X,X,X,X
TOLZJSI,O,O,O,X,X,X,O,X
TOLZSIJ,O,O,O,X,X,X,O,X
TOLZSJI,O,O,O,X,X,X,O,X
TOJILSZ,X,O,O,O,X,X,X,X
TOJILZS,O,O,O,O,X,X,X,X
TOJISLZ,X,O,X,X,X,O,X,X
TOJISZL,X,O,X,X,X,O,X,X
TOJIZLS,O,O,O,O,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,X,O,O,O,X,X,X,X
TOJLIZS,O,O,O,O,X,X,X,X
TOJLSIZ,O,O,O,O,X,X,X,X
TOJLSZI,O,O,O,O,X,X,X,X
TOJLZIS,O,O,O,O,X,X,X,X
TOJLZSI,O,O,O,O,X,X,O,X
TOJSILZ,O,O,X,X,X,O,X,X
TOJSIZL,O,O,X,X,X,O,X,X
TOJSLIZ,O,O,O,X,X,O,X,X
TOJSLZI,O,O,O,X,X,O,X,X
TOJSZIL,O,O,X,X,O,O,X,X
TOJSZLI,O,O,O,X,O,O,X,X
TOJZILS,O,O,O,O,X,X,X,X
TOJZISL,O,O,X,X,X,X,X,X
TOJZLIS,O,O,O,O,X,X,X,X
TOJZLSI,O,O,O,O,X,X,O,X
TOJZSIL,O,O,X,X,O,X,X,X
TOJZSLI,O,O,O,X,O,X,O,X
TOSILJZ,O,O,X,X,X,O,X,X
TOSILZJ,O,O,X,X,X,O,X,X
TOSIJLZ,O,O,X,X,X,O,X,X
TOSIJZL,O,O,X,X,X,O,X,X
TOSIZLJ,O,O,X,X,X,O,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,X,X,O,X,X
TOSLIZJ,O,O,O,X,X,O,O,X
TOSLJIZ,O,O,O,X,X,O,X,X
TOSLJZI,O,O,O,X,X,O,X,X
TOSLZIJ,O,O,O,X,X,O,O,X
TOSLZJI,O,O,O,X,X,X,O,X
TOSJILZ,O,O,X,X,X,O,X,X
TOSJIZL,O,O,X,X,X,O,X,X
TOSJLIZ,O,O,O,X,X,O,X,X
TOSJLZI,O,O,O,X,X,O,X,X
TOSJZIL,O,O,X,X,O,O,X,X
TOSJZLI,O,O,O,X,O,O,X,X
TOSZILJ,O,O,X,X,X,O,O,X
TOSZIJL,O,O,X,X,O,X,X,X
TOSZLIJ,O,O,O,X,X,O,O,X
TOSZLJI,O,O,O,X,X,X,O,X
TOSZJIL,O,O,X,X,O,X,X,X
TOSZJLI,O,O,X,X,O,X,O,X
TOZILJS,O,O,O,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,O,X
TOZIJLS,O,O,X,O,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,O,O
TOZISJL,O,O,X,X,O,X,X,O
TOZLIJS,O,O,O,X,X,X,X,X
TOZLISJ,O,O,O,X,X,X,O,X
TOZLJIS,O,O,O,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,O,X
TOZLSIJ,O,O,O,X,X,X,O,X
TOZLSJI,O,O,O,X,X,X,O,X
TOZJILS,O,O,O,O,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,O,O,O,O,X,X,X,X
TOZJLSI,O,O,O,O,X,X,O,X
TOZJSIL,O,O,X,X,O,X,X,X
TOZJSLI,O,O,O,X,O,X,O,X
TOZSILJ,O,O,X,X,X,X,O,O
TOZSIJL,O,O,X,X,O,X,X,O
TOZSLIJ,O,O,O,X,X,X,O,X
TOZSLJI,O,O,O,X,X,X,O,X
TOZSJIL,O,O,X,X,O,X,X,X
TOZSJLI,O,O,X,X,O,X,O,X
ITLJSZO,X,O,X,X,X,X,O,X
ITLJSOZ,X,X,O,X,X,X,X,X
ITLJZSO,O,O,X,X,X,X,X,X
ITLJZOS,O,O,O,X,X,X,X,X
ITLJOSZ,X,X,O,X,X,X,X,X
ITLJOZS,O,X,O,X,X,X,X,X
ITLSJZO,O,O,X,X,X,X,O,X
ITLSJOZ,O,X,O,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,O,X
ITLSZOJ,O,O,X,X,X,X,O,X
ITLSOJZ,O,X,O,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,O,X
ITLZJSO,O,O,X,X,X,X,X,X
ITLZJOS,O,O,O,X,X,X,X,X
ITLZSJO,X,O,X,X,X,X,O,O
ITLZSOJ,O,X,X,X,X,X,O,O
ITLZOJS,O,O,O,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X
ITLOJSZ,X,X,O,X,X,X,X,X
ITLOJZS,O,X,O,X,X,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X
ITLOSZJ,O,X,O,X,X,X,O,X
ITLOZJS,O,O,O,X,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,O,X
ITJLSZO,X,O,X,O,X,X,X,X
ITJLSOZ,X,X,O,O,X,X,X,X
ITJLZSO,O,O,X,O,X,X,X,X
ITJLZOS,O,O,O,O,X,X,X,X
ITJLOSZ,X,X,O,O,X,X,X,X
ITJLOZS,O,X,O,O,X,X,X,X
ITJSLZO,X,O,X,X,X,O,X,X
ITJSLOZ,X,X,X,X,X,O,X,X
ITJSZLO,X,O,X,X,X,O,X,X
ITJSZOL,X,O,X,X,X,O,X,X
ITJSOLZ,X,O,X,X,X,O,X,X
ITJSOZL,X,O,X,X,X,O,X,X
ITJZLSO,O,O,X,O,X,X,X,X
ITJZLOS,O,O,O,O,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,O
ITJZSOL,O,O,X,X,X,X,X,O
ITJZOLS,O,O,O,O,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X
ITJOLSZ,X,O,O,O,X,X,X,X
ITJOLZS,O,O,O,O,X,X,X,X
ITJOSLZ,X,O,X,X,X,O,X,X
ITJOSZL,X,O,X,X,X,O,X,X
ITJOZLS,O,O,O,O,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X
ITSLJZO,O,O,X,X,X,O,O,X
ITSLJOZ,O,X,X,X,X,O,X,X
ITSLZJO,O,O,X,X,X,X,O,X
ITSLZOJ,O,O,X,X,X,O,O,X
ITSLOJZ,O,X,X,X,X,O,X,X
ITSLOZJ,O,X,X,X,X,O,O,X
ITSJLZO,O,O,X,X,X,O,X,X
ITSJLOZ,O,X,X,X,X,O,X,X
ITSJZLO,O,O,X,X,X,O,X,X
ITSJZOL,O,O,X,X,X,O,X,X
ITSJOLZ,O,O,X,X,X,O,X,X
ITSJOZL,O,O,X,X,X,O,X,X
ITSZLJO,O,O,X,X,X,X,O,O
ITSZLOJ,O,O,X,X,X,O,O,O
ITSZJLO,O,O,X,X,X,X,X,O
ITSZJOL,O,O,X,X,X,X,X,O
ITSZOLJ,O,O,X,X,X,O,X,O
ITSZOJL,O,O,X,X,X,X,X,O
ITSOLJZ,O,O,X,X,X,O,X,X
ITSOLZJ,O,O,X,X,X,O,X,X
ITSOJLZ,O,O,X,X,X,O,X,X
ITSOJZL,O,O,X,X,X,O,X,X
ITSOZLJ,O,O,X,X,X,O,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X,X
ITZLSJO,X,O,X,X,X,X,O,O
ITZLSOJ,O,X,X,X,X,X,O,O
ITZLOJS,O,O,O,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X
ITZJLSO,O,O,X,O,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,O
ITZJSOL,O,O,X,X,X,X,X,O
ITZJOLS,O,O,X,O,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X
ITZSLJO,O,X,X,X,X,X,O,O
ITZSLOJ,O,X,X,X,X,X,O,O
ITZSJLO,O,O,X,X,O,X,X,O
ITZSJOL,O,O,X,X,O,X,X,O
ITZSOLJ,O,X,X,X,X,X,X,O
ITZSOJL,O,X,X,X,O,X,X,O
ITZOLJS,O,O,O,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X
ITZOJLS,O,O,X,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,O
ITZOSJL,O,O,X,X,O,X,X,O
ITOLJSZ,X,O,O,X,X,X,X,X
ITOLJZS,O,O,O,X,X,X,X,X
ITOLSJZ,O,O,O,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X
ITOLZJS,O,O,O,X,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,O,X
ITOJLSZ,X,O,O,O,X,X,X,X
ITOJLZS,O,O,O,O,X,X,X,X
ITOJSLZ,X,O,X,X,X,O,X,X
ITOJSZL,X,O,X,X,X,O,X,X
ITOJZLS,O,O,O,O,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,X,O,X,X
ITOSLZJ,O,O,X,X,X,O,X,X
ITOSJLZ,O,O,X,X,X,O,X,X
ITOSJZL,O,O,X,X,X,O,X,X
ITOSZLJ,O,O,X,X,X,O,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,O,O,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,O,X
ITOZJLS,O,O,X,O,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,O,O
ITOZSJL,O,O,X,X,O,X,X,O
ILTJSZO,X,O,X,X,X,X,O,X
ILTJSOZ,X,X,O,X,X,X,X,X
ILTJZSO,X,O,X,X,X,X,X,X
ILTJZOS,X,O,O,X,X,X,X,X
ILTJOSZ,X,X,O,X,X,X,X,X
ILTJOZS,O,X,O,X,X,X,X,X
ILTSJZO,X,O,X,X,X,X,O,X
ILTSJOZ,X,X,O,X,X,X,X,X
ILTSZJO,X,O,X,X,X,X,O,X
ILTSZOJ,X,O,X,X,X,X,O,X
ILTSOJZ,X,X,O,X,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,O,X
ILTZJSO,O,O,X,X,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X,X
ILTZSJO,X,O,X,X,X,X,O,O
ILTZSOJ,O,X,X,X,X,X,O,O
ILTZOJS,O,O,O,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,X,X,X
ILTOJZS,O,X,O,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,O,X
ILTOZJS,O,O,O,X,X,X,X,X
ILTOZSJ,O,X,O,X,X,X,O,X
ILJTSZO,X,O,X,O,X,X,O,X
ILJTSOZ,X,X,O,O,X,X,X,X
ILJTZSO,X,O,X,O,X,X,X,X
ILJTZOS,X,O,O,O,X,X,X,X
ILJTOSZ,X,X,O,O,X,X,X,X
ILJTOZS,X,X,O,O,X,X,X,X
ILJSTZO,X,X,X,O,X,O,X,X
ILJSTOZ,X,X,O,O,X,O,X,X
ILJSZTO,X,O,X,O,X,O,X,X
ILJSZOT,X,O,X,O,X,O,X,X
ILJSOTZ,X,X,X,O,X,O,X,X
ILJSOZT,X,X,X,O,X,O,X,X
ILJZTSO,X,X,X,O,X,X,X,X
ILJZTOS,X,X,O,O,X,X,X,X
ILJZSTO,X,X,X,O,X,X,X,X
ILJZSOT,X,X,X,O,X,X,X,X
ILJZOTS,X,X,X,O,X,X,X,X
ILJZOST,X,X,X,O,X,X,X,X
ILJOTSZ,X,X,O,O,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X
ILJOSTZ,X,X,X,O,X,O,X,X
ILJOSZT,X,X,X,O,X,O,X,X
ILJOZTS,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,O,X,X,X,X
ILSTJZO,X,X,X,X,X,O,O,X
ILSTJOZ,X,X,O,X,X,O,X,X
ILSTZJO,X,O,X,X,X,X,O,X
ILSTZOJ,X,X,X,X,X,O,O,X
ILSTOJZ,X,X,O,X,X,O,X,X
ILSTOZJ,X,X,O,X,X,O,O,X
ILSJTZO,X,X,X,X,X,O,X,X
ILSJTOZ,X,X,O,X,X,O,X,X
ILSJZTO,X,O,X,X,X,O,X,X
ILSJZOT,X,O,X,X,X,O,X,X
ILSJOTZ,X,X,X,X,X,O,X,X
ILSJOZT,X,X,X,X,X,O,X,X
ILSZTJO,X,O,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,X,O,X,X
ILSZJTO,X,O,X,X,X,O,X,X
ILSZJOT,X,O,X,X,X,O,X,X
ILSZOTJ,X,X,X,X,X,O,X,X
ILSZOJT,X,O,X,X,X,O,X,X
ILSOTJZ,X,X,X,X,X,O,X,X
ILSOTZJ,X,X,X,X,X,O,X,X
ILSOJTZ,X,X,X,X,X,O,X,X
ILSOJZT,X,X,X,X,X,O,X,X
ILSOZTJ,X,X,X,X,X,O,X,X
ILSOZJT,X,X,X,X,X,O,X,X
ILZTJSO,O,O,X,X,X,X,X,X
ILZTJOS,O,O,O,X,X,X,X,X
ILZTSJO,X,O,X,X,X,X,O,X
ILZTSOJ,O,X,X,X,X,X,O,X
ILZTOJS,O,O,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X
ILZJTSO,X,X,X,O,X,X,X,X
ILZJTOS,X,X,O,O,X,X,X,X
ILZJSTO,X,X,X,O,X,X,X,X
ILZJSOT,X,X,X,O,X,X,X,X
ILZJOTS,X,X,X,O,X,X,X,X
ILZJOST,X,X,X,O,X,X,X,X
ILZSTJO,O,X,X,X,X,X,X,O
ILZSTOJ,O,X,X,X,X,X,X,O
ILZSJTO,O,X,X,X,O,X,X,O
ILZSJOT,O,X,X,X,O,X,X,O
ILZSOTJ,O,X,X,X,X,X,X,X
ILZSOJT,O,X,X,X,O,X,X,O
ILZOTJS,O,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X
ILZOJTS,X,X,X,O,X,X,X,X
ILZOJST,X,X,X,O,X,X,X,X
ILZOSTJ,O,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,O,X,X,X
ILOTJSZ,X,X,O,X,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X,X
ILOTSJZ,X,X,O,X,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,O,X
ILOTZJS,O,O,O,X,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,O,X
ILOJTSZ,X,X,O,O,X,X,X,X
ILOJTZS,X,O,O,O,X,X,X,X
ILOJSTZ,X,X,X,O,X,O,X,X
ILOJSZT,X,X,X,O,X,O,X,X
ILOJZTS,X,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,X
ILOSTJZ,X,X,X,X,X,O,X,X
ILOSTZJ,X,O,X,X,X,O,X,X
ILOSJTZ,X,X,X,X,X,O,X,X
ILOSJZT,X,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,X,X,O,X,X
ILOSZJT,X,X,X,X,X,O,X,X
ILOZTJS,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,X
ILOZJTS,X,X,X,O,X,X,X,X
ILOZJST,X,X,X,O,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,O,X
ILOZSJT,O,X,X,X,O,X,O,X
IJTLSZO,X,O,X,O,X,X,X,X
IJTLSOZ,X,X,O,O,X,X,X,X
IJTLZSO,X,O,X,O,X,X,X,X
IJTLZOS,X,O,O,O,X,X,X,X
IJTLOSZ,X,X,O,O,X,X,X,X
IJTLOZS,O,X,O,O,X,X,X,X
IJTSLZO,X,O,X,X,X,O,X,X
IJTSLOZ,X,X,X,X,X,O,X,X
IJTSZLO,X,O,X,X,X,O,X,X
IJTSZOL,X,O,X,X,X,O,X,X
IJTSOLZ,X,O,X,X,X,O,X,X
IJTSOZL,X,O,X,X,X,O,X,X
IJTZLSO,O,O,X,O,X,X,X,X
IJTZLOS,O,O,O,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,O
IJTZSOL,O,O,X,X,X,X,X,O
IJTZOLS,O,O,O,O,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X
IJTOLSZ,X,O,O,O,X,X,X,X
IJTOLZS,O,O,O,O,X,X,X,X
IJTOSLZ,X,O,X,X,X,O,X,X
IJTOSZL,X,O,X,X,X,O,X,X
IJTOZLS,O,O,O,O,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X
IJLTSZO,X,O,X,O,X,X,X,X
IJLTSOZ,X,X,O,O,X,X,X,X
IJLTZSO,X,O,X,O,X,X,X,X
IJLTZOS,X,O,O,O,X,X,X,X
IJLTOSZ,X,X,O,O,X,X,X,X
IJLTOZS,X,X,O,O,X,X,X,X
IJLSTZO,X,X,X,O,X,O,X,X
IJLSTOZ,X,X,O,O,X,O,X,X
IJLSZTO,X,O,X,O,X,O,X,X
IJLSZOT,X,O,X,O,X,O,X,X
IJLSOTZ,X,X,X,O,X,O,X,X
IJLSOZT,X,X,X,O,X,O,X,X
IJLZTSO,X,X,X,O,X,X,X,X
IJLZTOS,X,X,O,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X,X,X
IJLZSOT,X,X,X,O,X,X,X,X
IJLZOTS,X,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,X,X,X,X
IJLOTSZ,X,X,O,O,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X
IJLOSTZ,X,X,X,O,X,O,X,X
IJLOSZT,X,X,X,O,X,O,X,X
IJLOZTS,X,X,X,O,X,X,X,X
IJLOZST,X,X,X,O,X,X,X,X
IJSTLZO,X,X,X,X,X,O,X,X
IJSTLOZ,X,X,X,X,X,O,X,X
IJSTZLO,X,X,X,X,X,O,X,X
IJSTZOL,X,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,X,X,O,X,X
IJSTOZL,X,X,X,X,X,O,X,X
IJSLTZO,X,X,X,O,X,O,X,X
IJSLTOZ,X,X,X,O,X,O,X,X
IJSLZTO,X,O,X,O,X,O,X,X
IJSLZOT,X,O,X,O,X,O,X,X
IJSLOTZ,X,X,X,O,X,O,X,X
IJSLOZT,X,X,X,O,X,O,X,X
IJSZTLO,X,O,X,X,O,O,X,X
IJSZTOL,X,O,X,X,O,O,X,X
IJSZLTO,X,O,X,O,O,O,X,X
IJSZLOT,X,O,X,O,O,O,X,X
IJSZOTL,X,O,X,X,O,O,X,X
IJSZOLT,X,O,X,O,O,O,X,X
IJSOTLZ,X,O,X,X,X,O,X,X
IJSOTZL,X,O,X,X,X,O,X,X
IJSOLTZ,X,X,X,O,X,O,X,X
IJSOLZT,X,O,X,O,X,O,X,X
IJSOZTL,X,O,X,X,O,O,X,X
IJSOZLT,X,O,X,O,O,O,X,X
IJZTLSO,O,X,X,O,X,X,X,X
IJZTLOS,O,X,O,O,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X,X
IJZTOLS,O,X,O,O,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X
IJZLTSO,X,X,X,O,X,X,X,X
IJZLTOS,X,X,O,O,X,X,X,X
IJZLSTO,X,X,X,O,X,X,X,X
IJZLSOT,X,X,X,O,X,X,X,X
IJZLOTS,X,X,X,O,X,X,X,X
IJZLOST,X,X,X,O,X,X,X,X
IJZSTLO,O,X,X,X,O,O,X,O
IJZSTOL,O,X,X,X,O,O,X,O
IJZSLTO,O,X,X,O,O,O,X,O
IJZSLOT,O,X,X,O,O,O,X,O
IJZSOTL,O,X,X,X,O,O,X,X
IJZSOLT,O,X,X,O,O,O,X,O
IJZOTLS,O,X,X,O,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X
IJZOLTS,X,X,X,O,X,X,X,X
IJZOLST,X,X,X,O,X,X,X,X
IJZOSTL,O,X,X,X,O,O,X,X
IJZOSLT,O,X,X,O,O,O,X,X
IJOTLSZ,X,O,X,O,X,X,X,X
IJOTLZS,O,O,X,O,X,X,X,X
IJOTSLZ,X,O,X,X,X,O,X,X
IJOTSZL,X,O,X,X,X,O,X,X
IJOTZLS,O,O,X,O,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X
IJOLTSZ,X,O,X,O,X,X,X,X
IJOLTZS,X,O,X,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,O,X,X
IJOLSZT,X,O,X,O,X,O,X,X
IJOLZTS,X,X,X,O,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,X
IJOSTLZ,X,O,X,X,X,O,X,X
IJOSTZL,X,O,X,X,X,O,X,X
IJOSLTZ,X,X,X,O,X,O,X,X
IJOSLZT,X,O,X,O,X,O,X,X
IJOSZTL,X,O,X,X,O,O,X,X
IJOSZLT,X,O,X,O,O,O,X,X
IJOZTLS,O,X,X,O,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X
IJOZSTL,O,X,X,X,O,O,X,X
IJOZSLT,O,X,X,O,O,O,X,X
ISTLJZO,O,X,X,X,X,O,X,X
ISTLJOZ,O,X,X,X,X,O,X,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,O,X,X
ISTLOJZ,O,X,X,X,X,O,X,X
ISTLOZJ,O,X,X,X,X,O,X,X
ISTJLZO,O,X,X,X,X,O,X,X
ISTJLOZ,O,X,X,X,X,O,X,X
ISTJZLO,O,X,X,X,X,O,X,X
ISTJZOL,O,X,X,X,X,O,X,X
ISTJOLZ,O,X,X,X,X,O,X,X
ISTJOZL,O,X,X,X,X,O,X,X
ISTZLJO,O,X,X,X,X,X,X,O
ISTZLOJ,O,X,X,X,X,O,X,O
ISTZJLO,O,O,X,X,X,X,X,O
ISTZJOL,O,O,X,X,X,X,X,O
ISTZOLJ,O,X,X,X,X,O,X,O
ISTZOJL,O,X,X,X,X,X,X,O
ISTOLJZ,O,X,X,X,X,O,X,X
ISTOLZJ,O,X,X,X,X,O,X,X
ISTOJLZ,O,X,X,X,X,O,X,X
ISTOJZL,O,X,X,X,X,O,X,X
ISTOZLJ,O,X,X,X,X,O,X,X
ISTOZJL,O,O,X,X,X,X,X,X
