sequence,v115@5gB8GeC8HeD8FeE8AeH8JeO/IvhFxbBTeBCgB/mB0l?BlpB,v115@5gB8GeC8HeD8FeE8AeH8JeU7IvhFFcBTeBikBGmBRq?B/pB,v115@5gB8GeC8HeD8FeE8AeH8Jex6IvhFOhBTeBlfBclB/p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jey/IvhFFcBTeBWmB0fB/p?BxvB,v115@5gB8GeC8HeD8FeE8AeH8JeZ/IvhFufB1gBTeBXhB8p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jex7IvhFTeB/mB6pB0qBOp?BFqB
TOJZISL,O,X,O,X,X,X
TOJZLIS,O,O,X,X,X,X
TOJZLSI,O,X,X,X,X,X
TOJZSIL,O,X,O,X,X,X
TOJZSLI,O,X,O,X,X,X
TOSILJZ,O,X,X,O,X,X
TOSILZJ,O,X,O,X,X,X
TOSIJLZ,O,O,X,O,X,X
TOSIJZL,O,X,O,O,X,X
TOSIZLJ,O,X,O,X,X,O
TOSIZJL,O,X,O,O,X,X
TOSLIJZ,O,X,X,O,X,X
TOSLIZJ,O,X,O,X,X,X
TOSLJIZ,O,X,X,X,X,X
TOSLJZI,O,X,O,X,X,X
TOSLZIJ,O,X,O,X,X,O
TOSLZJI,O,X,O,X,X,O
TOSJILZ,O,O,X,O,X,X
TOSJIZL,O,X,O,O,X,X
TOSJLIZ,O,O,X,X,X,X
TOSJLZI,O,X,O,X,X,X
TOSJZIL,O,X,O,X,X,X
TOSJZLI,O,X,O,X,X,X
TOSZILJ,O,X,O,X,X,O
TOSZIJL,O,X,O,O,X,X
TOSZLIJ,O,X,O,X,X,O
TOSZLJI,O,X,O,X,X,O
TOSZJIL,O,X,O,X,X,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,O,X,X,X,O,X
TOZILSJ,O,X,X,X,O,X
TOZIJLS,O,O,X,X,O,X
TOZIJSL,O,X,O,O,O,X
TOZISLJ,O,X,X,X,X,X
TOZISJL,O,X,X,O,O,X
TOZLIJS,O,X,X,X,O,X
TOZLISJ,O,X,X,X,O,X
TOZLJIS,O,X,X,X,O,X
TOZLJSI,O,X,X,X,O,X
TOZLSIJ,O,X,X,X,O,O
TOZLSJI,O,X,X,X,O,O
TOZJILS,O,O,X,X,O,X
TOZJISL,O,X,O,X,O,X
TOZJLIS,O,O,X,X,O,X
TOZJLSI,O,X,X,X,O,X
TOZJSIL,O,X,O,X,O,X
TOZJSLI,O,X,O,X,X,X
TOZSILJ,O,X,O,X,X,O
TOZSIJL,O,X,O,O,O,X
TOZSLIJ,O,X,O,X,X,O
TOZSLJI,O,X,O,X,X,O
TOZSJIL,O,X,O,X,O,X
TOZSJLI,O,X,O,X,X,X
ITLJSZO,O,O,X,O,X,X
ITLJSOZ,O,O,X,O,X,X
ITLJZSO,X,O,X,X,X,X
ITLJZOS,X,O,X,X,X,X
ITLJOSZ,O,O,X,O,X,X
ITLJOZS,X,O,X,X,X,X
ITLSJZO,O,X,X,O,X,X
ITLSJOZ,O,X,X,O,X,X
ITLSZJO,O,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X
ITLSOJZ,O,X,X,O,X,X
ITLSOZJ,O,X,X,X,X,X
ITLZJSO,X,X,X,X,O,X
ITLZJOS,X,X,X,X,O,X
ITLZSJO,X,X,X,X,O,X
ITLZSOJ,X,X,X,X,O,X
ITLZOJS,X,X,X,X,O,X
ITLZOSJ,X,X,X,X,O,X
ITLOJSZ,O,O,X,O,X,X
ITLOJZS,X,O,X,X,X,X
ITLOSJZ,O,X,X,O,X,X
ITLOSZJ,O,X,X,X,X,X
ITLOZJS,X,X,X,X,O,X
ITLOZSJ,X,X,X,X,O,X
ITJLSZO,O,O,X,O,X,X
ITJLSOZ,O,O,X,O,X,X
ITJLZSO,X,O,X,X,X,X
ITJLZOS,X,O,X,X,X,X
ITJLOSZ,O,O,X,O,X,X
ITJLOZS,X,O,X,X,X,X
ITJSLZO,O,O,X,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,X,X,X,O,X,X
ITJSZOL,O,X,X,O,X,X
ITJSOLZ,O,O,X,O,X,X
ITJSOZL,O,X,X,O,X,X
ITJZLSO,O,O,X,X,X,X
ITJZLOS,O,O,X,X,X,X
ITJZSLO,O,X,X,O,X,X
ITJZSOL,O,X,X,O,X,X
ITJZOLS,O,O,X,X,X,X
ITJZOSL,O,X,X,O,X,X
ITJOLSZ,O,O,X,O,X,X
ITJOLZS,X,O,X,X,X,X
ITJOSLZ,O,O,X,O,X,X
ITJOSZL,O,X,X,O,X,X
ITJOZLS,O,O,X,X,X,X
ITJOZSL,O,X,X,O,X,X
ITSLJZO,O,X,X,O,X,X
ITSLJOZ,O,X,X,O,X,X
ITSLZJO,O,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X
ITSLOJZ,O,X,X,O,X,X
ITSLOZJ,O,X,X,X,X,X
ITSJLZO,O,O,X,O,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,X,X,X,O,X,X
ITSJZOL,O,X,X,O,X,X
ITSJOLZ,O,O,X,O,X,X
ITSJOZL,O,X,X,O,X,X
ITSZLJO,O,X,X,X,X,O
ITSZLOJ,O,X,X,X,X,O
ITSZJLO,O,X,X,O,X,X
ITSZJOL,O,X,X,O,X,X
ITSZOLJ,O,X,X,X,X,O
ITSZOJL,O,X,X,O,X,X
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,X,X,X,X
ITSOJLZ,O,O,X,O,X,X
ITSOJZL,O,X,X,O,X,X
ITSOZLJ,O,X,X,X,X,O
ITSOZJL,O,X,X,O,X,X
ITZLJSO,O,X,X,X,O,X
ITZLJOS,O,X,X,X,O,X
ITZLSJO,O,X,X,X,O,X
ITZLSOJ,O,X,X,X,O,X
ITZLOJS,O,X,X,X,O,X
ITZLOSJ,O,X,X,X,O,X
ITZJLSO,O,O,X,X,O,X
ITZJLOS,O,O,X,X,O,X
ITZJSLO,O,X,X,O,X,X
ITZJSOL,O,X,X,O,O,X
ITZJOLS,O,O,X,X,O,X
ITZJOSL,O,X,X,O,O,X
ITZSLJO,O,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X
ITZSJLO,O,X,X,O,X,X
ITZSJOL,O,X,X,O,O,X
ITZSOLJ,O,X,X,X,X,X
ITZSOJL,O,X,X,O,O,X
ITZOLJS,O,X,X,X,O,X
ITZOLSJ,O,X,X,X,O,X
ITZOJLS,O,O,X,X,O,X
ITZOJSL,O,X,X,O,O,X
ITZOSLJ,O,X,X,X,X,X
ITZOSJL,O,X,X,O,O,X
ITOLJSZ,O,O,X,O,X,X
ITOLJZS,X,O,X,X,X,X
ITOLSJZ,O,X,X,O,X,X
ITOLSZJ,O,X,X,X,X,X
ITOLZJS,X,X,X,X,O,X
ITOLZSJ,X,X,X,X,O,X
ITOJLSZ,O,O,X,O,X,X
ITOJLZS,X,O,X,X,X,X
ITOJSLZ,O,O,X,O,X,X
ITOJSZL,O,X,X,O,X,X
ITOJZLS,O,O,X,X,X,X
ITOJZSL,O,X,X,O,X,X
ITOSLJZ,O,X,X,O,X,X
ITOSLZJ,O,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X
ITOSJZL,O,X,X,O,X,X
ITOSZLJ,O,X,X,X,X,O
ITOSZJL,O,X,X,O,X,X
ITOZLJS,O,X,X,X,O,X
ITOZLSJ,O,X,X,X,O,X
ITOZJLS,O,O,X,X,O,X
ITOZJSL,O,X,X,O,O,X
ITOZSLJ,O,X,X,X,X,X
ITOZSJL,O,X,X,O,O,X
ILTJSZO,X,O,X,O,X,X
ILTJSOZ,X,O,X,O,X,X
ILTJZSO,X,O,X,X,X,X
ILTJZOS,X,O,X,X,X,X
ILTJOSZ,O,O,X,O,X,X
ILTJOZS,X,O,X,X,X,X
ILTSJZO,O,X,X,O,X,X
ILTSJOZ,O,X,X,O,X,X
ILTSZJO,O,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,X
ILTSOJZ,O,X,X,O,X,X
ILTSOZJ,O,X,X,X,X,X
ILTZJSO,X,X,X,X,O,X
ILTZJOS,X,X,X,X,O,X
ILTZSJO,X,X,X,X,O,X
ILTZSOJ,X,X,X,X,O,X
ILTZOJS,X,X,X,X,O,X
ILTZOSJ,X,X,X,X,O,X
ILTOJSZ,O,O,X,O,X,X
ILTOJZS,X,O,X,X,X,X
ILTOSJZ,O,X,X,O,X,X
ILTOSZJ,O,X,X,X,X,X
ILTOZJS,X,X,X,X,O,X
ILTOZSJ,X,X,X,X,O,X
ILJTSZO,X,O,X,O,X,X
ILJTSOZ,X,O,X,O,X,X
ILJTZSO,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,X,O,X,O,X,X
ILJTOZS,X,O,X,X,X,X
ILJSTZO,X,O,X,O,X,X
ILJSTOZ,X,O,X,O,X,X
ILJSZTO,X,O,O,O,X,X
ILJSZOT,X,O,O,O,X,X
ILJSOTZ,X,O,X,O,X,X
ILJSOZT,X,O,O,O,X,X
ILJZTSO,X,O,X,X,O,X
ILJZTOS,X,O,O,X,O,X
ILJZSTO,X,O,O,X,O,X
ILJZSOT,X,O,O,X,O,X
ILJZOTS,X,O,O,X,O,X
ILJZOST,X,O,O,X,O,X
ILJOTSZ,X,O,X,O,X,X
ILJOTZS,X,O,X,X,X,X
ILJOSTZ,X,O,X,O,X,X
ILJOSZT,X,O,O,O,X,X
ILJOZTS,X,O,O,X,O,X
ILJOZST,X,O,O,X,O,X
ILSTJZO,O,X,X,O,X,X
ILSTJOZ,O,X,X,O,X,X
ILSTZJO,O,X,X,X,X,X
ILSTZOJ,O,X,X,X,X,X
ILSTOJZ,O,X,X,O,X,X
ILSTOZJ,O,X,X,X,X,X
ILSJTZO,X,X,X,O,X,X
ILSJTOZ,X,X,X,O,X,X
ILSJZTO,X,X,O,O,X,X
ILSJZOT,X,X,O,O,X,X
ILSJOTZ,X,X,X,O,X,X
ILSJOZT,X,X,O,O,X,X
ILSZTJO,O,X,O,X,O,O
ILSZTOJ,O,X,O,X,O,O
ILSZJTO,O,X,O,O,O,O
ILSZJOT,O,X,O,O,O,O
ILSZOTJ,O,X,O,X,O,O
ILSZOJT,O,X,O,O,O,O
ILSOTJZ,O,X,X,O,X,X
ILSOTZJ,O,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X
ILSOJZT,X,X,O,O,X,X
ILSOZTJ,O,X,O,X,O,O
ILSOZJT,O,X,O,O,O,O
ILZTJSO,X,X,X,X,O,X
ILZTJOS,X,X,O,X,O,X
ILZTSJO,X,X,X,X,O,X
ILZTSOJ,X,X,X,X,O,X
ILZTOJS,X,X,O,X,O,X
ILZTOSJ,X,X,X,X,O,X
ILZJTSO,X,X,X,X,O,X
ILZJTOS,X,X,O,X,O,X
ILZJSTO,X,X,O,X,O,X
ILZJSOT,X,X,O,X,O,X
ILZJOTS,X,X,O,X,O,X
ILZJOST,X,X,O,X,O,X
ILZSTJO,X,X,O,X,O,O
ILZSTOJ,X,X,O,X,O,O
ILZSJTO,X,X,O,X,O,O
ILZSJOT,X,X,O,X,O,O
ILZSOTJ,X,X,O,X,O,O
ILZSOJT,X,X,O,X,O,O
ILZOTJS,X,X,O,X,O,X
ILZOTSJ,X,X,X,X,O,X
ILZOJTS,X,X,O,X,O,X
ILZOJST,X,X,O,X,O,X
ILZOSTJ,X,X,O,X,O,O
ILZOSJT,X,X,O,X,O,O
ILOTJSZ,O,O,X,O,X,X
ILOTJZS,X,O,X,X,X,X
ILOTSJZ,O,X,X,O,X,X
ILOTSZJ,O,X,X,X,X,X
ILOTZJS,X,X,X,X,O,X
ILOTZSJ,X,X,X,X,O,X
ILOJTSZ,X,O,X,O,X,X
ILOJTZS,X,O,X,X,X,X
ILOJSTZ,X,O,X,O,X,X
ILOJSZT,X,O,O,O,X,X
ILOJZTS,X,O,O,X,O,X
ILOJZST,X,O,O,X,O,X
ILOSTJZ,O,X,X,O,X,X
ILOSTZJ,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X
ILOSJZT,X,X,O,O,X,X
ILOSZTJ,O,X,O,X,O,O
ILOSZJT,O,X,O,O,O,O
ILOZTJS,X,X,O,X,O,X
ILOZTSJ,X,X,X,X,O,X
ILOZJTS,X,X,O,X,O,X
ILOZJST,X,X,O,X,O,X
ILOZSTJ,X,X,O,X,O,O
ILOZSJT,X,X,O,X,O,O
IJTLSZO,X,O,X,O,X,X
IJTLSOZ,X,O,X,O,X,X
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,O,O,X,O,X,X
IJTLOZS,X,O,X,X,X,X
IJTSLZO,O,O,X,O,X,X
IJTSLOZ,O,O,X,O,X,X
IJTSZLO,X,X,X,O,X,X
IJTSZOL,O,X,X,O,X,X
IJTSOLZ,O,O,X,O,X,X
IJTSOZL,O,X,X,O,X,X
IJTZLSO,X,O,X,X,X,X
IJTZLOS,X,O,X,X,X,X
IJTZSLO,X,X,X,O,X,X
IJTZSOL,X,X,X,O,X,X
IJTZOLS,X,O,X,X,X,X
IJTZOSL,O,X,X,O,X,X
IJTOLSZ,O,O,X,O,X,X
IJTOLZS,X,O,X,X,X,X
IJTOSLZ,O,O,X,O,X,X
IJTOSZL,O,X,X,O,X,X
IJTOZLS,X,O,X,X,X,X
IJTOZSL,O,X,X,O,X,X
IJLTSZO,X,O,X,O,X,X
IJLTSOZ,X,O,X,O,X,X
IJLTZSO,X,O,X,X,X,X
IJLTZOS,X,O,X,X,X,X
IJLTOSZ,X,O,X,O,X,X
IJLTOZS,X,O,X,X,X,X
IJLSTZO,X,O,X,O,X,X
IJLSTOZ,X,O,X,O,X,X
IJLSZTO,X,O,O,O,X,X
IJLSZOT,X,O,O,O,X,X
IJLSOTZ,X,O,X,O,X,X
IJLSOZT,X,O,O,O,X,X
IJLZTSO,X,O,X,X,O,X
IJLZTOS,X,O,O,X,O,X
IJLZSTO,X,O,O,X,O,X
IJLZSOT,X,O,O,X,O,X
IJLZOTS,X,O,O,X,O,X
IJLZOST,X,O,O,X,O,X
IJLOTSZ,X,O,X,O,X,X
IJLOTZS,X,O,X,X,X,X
IJLOSTZ,X,O,X,O,X,X
IJLOSZT,X,O,O,O,X,X
IJLOZTS,X,O,O,X,O,X
IJLOZST,X,O,O,X,O,X
IJSTLZO,O,O,X,O,X,X
IJSTLOZ,O,O,X,O,X,X
IJSTZLO,X,X,X,O,X,X
IJSTZOL,O,X,X,O,X,X
IJSTOLZ,O,O,X,O,X,X
IJSTOZL,O,X,X,O,X,X
IJSLTZO,X,O,X,O,X,X
IJSLTOZ,X,O,X,O,X,X
IJSLZTO,X,O,O,O,X,X
IJSLZOT,X,O,O,O,X,X
IJSLOTZ,X,O,X,O,X,X
IJSLOZT,X,O,O,O,X,X
IJSZTLO,O,X,O,O,X,X
IJSZTOL,O,X,O,O,X,X
IJSZLTO,O,X,X,O,X,O
IJSZLOT,O,X,O,O,X,O
IJSZOTL,O,X,O,O,X,X
IJSZOLT,O,X,O,O,X,O
IJSOTLZ,O,O,X,O,X,X
IJSOTZL,O,X,X,O,X,X
IJSOLTZ,X,O,X,O,X,X
IJSOLZT,X,O,O,O,X,X
IJSOZTL,O,X,O,O,X,X
IJSOZLT,O,X,O,O,X,O
IJZTLSO,X,O,X,X,O,X
IJZTLOS,X,O,X,X,O,X
IJZTSLO,X,X,X,O,X,X
IJZTSOL,X,X,X,O,O,X
IJZTOLS,X,O,X,X,O,X
IJZTOSL,X,X,O,O,O,X
IJZLTSO,X,O,X,X,O,X
IJZLTOS,X,O,X,X,O,X
IJZLSTO,X,O,X,X,O,X
IJZLSOT,X,O,X,X,O,X
IJZLOTS,X,O,X,X,O,X
IJZLOST,X,O,O,X,O,X
IJZSTLO,X,X,O,O,X,X
IJZSTOL,X,X,O,O,O,X
IJZSLTO,X,X,X,O,O,X
IJZSLOT,X,X,O,O,O,X
IJZSOTL,X,X,O,O,O,X
IJZSOLT,X,X,O,O,O,X
IJZOTLS,X,O,X,X,O,X
IJZOTSL,X,X,O,O,O,X
IJZOLTS,X,O,X,X,O,X
IJZOLST,X,O,O,X,O,X
IJZOSTL,X,X,O,O,O,X
IJZOSLT,X,X,O,O,O,X
IJOTLSZ,O,O,X,O,X,X
IJOTLZS,X,O,X,X,X,X
IJOTSLZ,O,O,X,O,X,X
IJOTSZL,O,X,X,O,X,X
IJOTZLS,X,O,X,X,X,X
IJOTZSL,O,X,X,O,X,X
IJOLTSZ,X,O,X,O,X,X
IJOLTZS,X,O,X,X,X,X
IJOLSTZ,X,O,X,O,X,X
IJOLSZT,X,O,O,O,X,X
IJOLZTS,X,O,O,X,O,X
IJOLZST,X,O,O,X,O,X
IJOSTLZ,O,O,X,O,X,X
IJOSTZL,O,X,X,O,X,X
IJOSLTZ,X,O,X,O,X,X
IJOSLZT,X,O,O,O,X,X
IJOSZTL,O,X,O,O,X,X
IJOSZLT,O,X,O,O,X,O
IJOZTLS,X,O,X,X,O,X
IJOZTSL,X,X,O,O,O,X
IJOZLTS,X,O,X,X,O,X
IJOZLST,X,O,O,X,O,X
IJOZSTL,X,X,O,O,O,X
IJOZSLT,X,X,O,O,O,X
ISTLJZO,O,X,X,O,X,X
ISTLJOZ,O,X,X,O,X,X
ISTLZJO,O,X,O,X,X,X
ISTLZOJ,O,X,O,X,X,X
ISTLOJZ,O,X,X,O,X,X
ISTLOZJ,O,X,O,X,X,X
ISTJLZO,O,O,X,O,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,X,X,O,O,X,X
ISTJZOL,O,X,O,O,X,X
ISTJOLZ,O,O,X,O,X,X
ISTJOZL,O,X,O,O,X,X
ISTZLJO,O,X,O,X,X,O
ISTZLOJ,O,X,O,X,X,O
ISTZJLO,O,X,O,O,X,X
ISTZJOL,O,X,O,O,X,X
ISTZOLJ,O,X,O,X,X,O
ISTZOJL,O,X,O,O,X,X
ISTOLJZ,O,X,X,O,X,X
ISTOLZJ,O,X,O,X,X,X
ISTOJLZ,O,O,X,O,X,X
ISTOJZL,O,X,O,O,X,X
ISTOZLJ,O,X,O,X,X,O
ISTOZJL,O,X,O,O,X,X
ISLTJZO,O,X,X,O,X,X
ISLTJOZ,O,X,X,O,X,X
ISLTZJO,O,X,X,X,X,X
ISLTZOJ,O,X,X,X,X,X
ISLTOJZ,O,X,X,O,X,X
ISLTOZJ,O,X,X,X,X,X
ISLJTZO,X,X,X,O,X,X
ISLJTOZ,X,X,X,O,X,X
ISLJZTO,X,X,O,O,X,X
ISLJZOT,X,X,O,O,X,X
ISLJOTZ,X,X,X,O,X,X
ISLJOZT,X,X,O,O,X,X
ISLZTJO,O,X,O,X,O,O
ISLZTOJ,O,X,O,X,O,O
ISLZJTO,O,X,O,O,O,O
ISLZJOT,O,X,O,O,O,O
ISLZOTJ,O,X,O,X,O,O
ISLZOJT,O,X,O,O,O,O
ISLOTJZ,O,X,X,O,X,X
ISLOTZJ,O,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X
ISLOJZT,X,X,O,O,X,X
ISLOZTJ,O,X,O,X,O,O
ISLOZJT,O,X,O,O,O,O
ISJTLZO,O,O,X,O,X,X
ISJTLOZ,O,O,X,O,X,X
ISJTZLO,X,X,X,O,X,X
ISJTZOL,O,X,X,O,X,X
ISJTOLZ,O,O,X,O,X,X
ISJTOZL,O,X,X,O,X,X
ISJLTZO,X,O,X,O,X,X
ISJLTOZ,X,O,X,O,X,X
ISJLZTO,X,O,O,O,X,X
ISJLZOT,X,O,O,O,X,X
ISJLOTZ,X,O,X,O,X,X
ISJLOZT,X,O,O,O,X,X
ISJZTLO,O,X,O,O,X,X
ISJZTOL,O,X,O,O,X,X
ISJZLTO,O,X,X,O,X,O
ISJZLOT,O,X,O,O,X,O
ISJZOTL,O,X,O,O,X,X
ISJZOLT,O,X,O,O,X,O
ISJOTLZ,O,O,X,O,X,X
ISJOTZL,O,X,X,O,X,X
ISJOLTZ,X,O,X,O,X,X
ISJOLZT,X,O,O,O,X,X
ISJOZTL,O,X,O,O,X,X
ISJOZLT,O,X,O,O,X,O
ISZTLJO,O,X,O,X,X,O
ISZTLOJ,O,X,O,X,X,O
ISZTJLO,O,X,O,O,X,X
ISZTJOL,O,X,O,O,O,X
ISZTOLJ,O,X,O,X,X,O
ISZTOJL,O,X,O,O,O,X
ISZLTJO,O,X,X,X,O,O
ISZLTOJ,O,X,X,X,O,O
ISZLJTO,O,X,X,O,O,O
ISZLJOT,O,X,O,O,O,O
ISZLOTJ,O,X,X,X,O,O
ISZLOJT,O,X,O,O,O,O
ISZJTLO,O,X,O,O,X,X
ISZJTOL,O,X,O,O,O,X
ISZJLTO,O,X,X,O,O,O
ISZJLOT,O,X,O,O,O,O
ISZJOTL,O,X,O,O,O,X
ISZJOLT,O,X,O,O,O,O
ISZOTLJ,O,X,O,X,X,O
ISZOTJL,O,X,O,O,O,X
ISZOLTJ,O,X,X,X,O,O
ISZOLJT,O,X,O,O,O,O
ISZOJTL,O,X,O,O,O,X
ISZOJLT,O,X,O,O,O,O
ISOTLJZ,O,X,X,O,X,X
ISOTLZJ,O,X,O,X,X,X
ISOTJLZ,O,O,X,O,X,X
ISOTJZL,O,X,O,O,X,X
ISOTZLJ,O,X,O,X,X,O
ISOTZJL,O,X,O,O,X,X
ISOLTJZ,O,X,X,O,X,X
ISOLTZJ,O,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X
ISOLJZT,X,X,O,O,X,X
ISOLZTJ,O,X,O,X,O,O
ISOLZJT,O,X,O,O,O,O
ISOJTLZ,O,O,X,O,X,X
ISOJTZL,O,X,X,O,X,X
ISOJLTZ,X,O,X,O,X,X
ISOJLZT,X,O,O,O,X,X
ISOJZTL,O,X,O,O,X,X
ISOJZLT,O,X,O,O,X,O
ISOZTLJ,O,X,O,X,X,O
ISOZTJL,O,X,O,O,O,X
ISOZLTJ,O,X,X,X,O,O
ISOZLJT,O,X,O,O,O,O
ISOZJTL,O,X,O,O,O,X
ISOZJLT,O,X,O,O,O,O
IZTLJSO,O,X,X,X,O,X
IZTLJOS,O,X,X,X,O,X
IZTLSJO,O,X,X,X,O,X
IZTLSOJ,O,X,X,X,O,X
IZTLOJS,O,X,X,X,O,X
IZTLOSJ,O,X,X,X,O,X
IZTJLSO,O,O,X,X,O,X
IZTJLOS,O,O,X,X,O,X
IZTJSLO,O,X,X,O,X,X
IZTJSOL,O,X,X,O,O,X
IZTJOLS,O,O,X,X,O,X
IZTJOSL,O,X,O,O,O,X
IZTSLJO,O,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X
IZTSJOL,O,X,X,O,O,X
IZTSOLJ,O,X,X,X,X,X
IZTSOJL,O,X,X,O,O,X
IZTOLJS,O,X,X,X,O,X
IZTOLSJ,O,X,X,X,O,X
IZTOJLS,O,O,X,X,O,X
IZTOJSL,O,X,O,O,O,X
IZTOSLJ,O,X,X,X,X,X
IZTOSJL,O,X,X,O,O,X
IZLTJSO,X,X,X,X,O,X
IZLTJOS,X,X,X,X,O,X
IZLTSJO,X,X,X,X,O,X
IZLTSOJ,X,X,X,X,O,X
IZLTOJS,X,X,X,X,O,X
IZLTOSJ,X,X,X,X,O,X
IZLJTSO,X,X,X,X,O,X
IZLJTOS,X,X,X,X,O,X
IZLJSTO,O,X,X,X,O,X
IZLJSOT,O,X,X,X,O,X
IZLJOTS,X,X,X,X,O,X
IZLJOST,O,X,O,X,O,X
IZLSTJO,O,X,X,X,O,O
IZLSTOJ,O,X,X,X,O,O
IZLSJTO,O,X,X,X,O,O
IZLSJOT,O,X,X,X,O,O
IZLSOTJ,O,X,X,X,O,O
IZLSOJT,O,X,X,X,O,O
IZLOTJS,X,X,X,X,O,X
IZLOTSJ,X,X,X,X,O,X
IZLOJTS,X,X,X,X,O,X
IZLOJST,O,X,O,X,O,X
IZLOSTJ,O,X,X,X,O,O
IZLOSJT,O,X,X,X,O,O
IZJTLSO,X,O,X,X,O,X
IZJTLOS,X,O,X,X,O,X
IZJTSLO,X,X,X,O,X,X
IZJTSOL,X,X,X,O,O,X
IZJTOLS,X,O,X,X,O,X
IZJTOSL,X,X,O,O,O,X
IZJLTSO,X,O,X,X,O,X
IZJLTOS,X,O,X,X,O,X
IZJLSTO,X,O,X,X,O,X
IZJLSOT,X,O,X,X,O,X
IZJLOTS,X,O,X,X,O,X
IZJLOST,X,O,O,X,O,X
IZJSTLO,X,X,O,O,X,X
IZJSTOL,X,X,O,O,O,X
IZJSLTO,X,X,X,O,O,X
IZJSLOT,X,X,O,O,O,X
IZJSOTL,X,X,O,O,O,X
IZJSOLT,X,X,O,O,O,X
IZJOTLS,X,O,X,X,O,X
IZJOTSL,X,X,O,O,O,X
IZJOLTS,X,O,X,X,O,X
IZJOLST,X,O,O,X,O,X
IZJOSTL,X,X,O,O,O,X
IZJOSLT,X,X,O,O,O,X
IZSTLJO,O,X,O,X,X,O
IZSTLOJ,O,X,O,X,X,O
IZSTJLO,O,X,O,O,X,X
IZSTJOL,O,X,O,O,O,X
IZSTOLJ,O,X,O,X,X,O
IZSTOJL,O,X,O,O,O,X
IZSLTJO,O,X,X,X,O,O
IZSLTOJ,O,X,X,X,O,O
IZSLJTO,O,X,X,O,O,O
IZSLJOT,O,X,O,O,O,O
IZSLOTJ,O,X,X,X,O,O
IZSLOJT,O,X,O,O,O,O
IZSJTLO,O,X,O,O,X,X
IZSJTOL,O,X,O,O,O,X
IZSJLTO,O,X,X,O,O,O
IZSJLOT,O,X,O,O,O,O
IZSJOTL,O,X,O,O,O,X
IZSJOLT,O,X,O,O,O,O
IZSOTLJ,O,X,O,X,X,O
IZSOTJL,O,X,O,O,O,X
IZSOLTJ,O,X,X,X,O,O
IZSOLJT,O,X,O,O,O,O
IZSOJTL,O,X,O,O,O,X
IZSOJLT,O,X,O,O,O,O
IZOTLJS,O,X,X,X,O,X
IZOTLSJ,O,X,X,X,O,X
IZOTJLS,O,O,X,X,O,X
IZOTJSL,O,X,O,O,O,X
IZOTSLJ,O,X,X,X,X,X
IZOTSJL,O,X,X,O,O,X
IZOLTJS,X,X,X,X,O,X
IZOLTSJ,X,X,X,X,O,X
IZOLJTS,X,X,X,X,O,X
IZOLJST,O,X,O,X,O,X
IZOLSTJ,O,X,X,X,O,O
IZOLSJT,O,X,X,X,O,O
IZOJTLS,X,O,X,X,O,X
IZOJTSL,X,X,O,O,O,X
IZOJLTS,X,O,X,X,O,X
IZOJLST,X,O,O,X,O,X
IZOJSTL,X,X,O,O,O,X
IZOJSLT,X,X,O,O,O,X
IZOSTLJ,O,X,O,X,X,O
IZOSTJL,O,X,O,O,O,X
IZOSLTJ,O,X,X,X,O,O
IZOSLJT,O,X,O,O,O,O
IZOSJTL,O,X,O,O,O,X
IZOSJLT,O,X,O,O,O,O
IOTLJSZ,O,O,X,O,X,X
IOTLJZS,X,O,X,X,X,X
IOTLSJZ,O,X,X,O,X,X
IOTLSZJ,O,X,X,X,X,X
IOTLZJS,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,O,X
IOTJLSZ,O,O,X,O,X,X
IOTJLZS,X,O,X,X,X,X
IOTJSLZ,O,O,X,O,X,X
IOTJSZL,O,X,X,O,X,X
IOTJZLS,O,O,X,X,X,X
IOTJZSL,O,X,X,O,X,X
IOTSLJZ,O,X,X,O,X,X
IOTSLZJ,O,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X
IOTSJZL,O,X,X,O,X,X
IOTSZLJ,O,X,X,X,X,O
IOTSZJL,O,X,X,O,X,X
IOTZLJS,O,X,X,X,O,X
IOTZLSJ,O,X,X,X,O,X
IOTZJLS,O,O,X,X,O,X
IOTZJSL,O,X,X,O,O,X
