sequence,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBF?nB8sBmsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBl?iBUnBetB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmBU?iBetB3sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBCdBxiBU?nBFoBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBRdBCiB/?sBFoBctB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmB3?iBetBUsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0cBxdBVmBG?jB/sBatB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFicBWjBRmBF?oBUnBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF2hBXeBcoBR?mBqsBFsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB+jBVmBa?nBftB8sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0hBxiBXhBS?oBmsBlsB
TSJZOLI,X,O,O,O,O,O,O,X,X,O,X
TSJOILZ,X,O,O,X,O,O,O,X,X,O,X
TSJOIZL,X,O,X,X,X,O,O,X,X,X,X
TSJOLIZ,X,O,O,X,O,O,O,X,X,O,X
TSJOLZI,O,O,O,X,O,O,O,X,X,O,X
TSJOZIL,X,O,O,O,X,O,O,X,X,X,X
TSJOZLI,X,O,O,O,O,O,O,X,X,O,X
TSZILJO,O,X,X,X,X,X,O,X,X,X,X
TSZILOJ,O,X,X,X,X,X,O,X,X,X,X
TSZIJLO,O,O,O,O,X,X,O,X,X,X,X
TSZIJOL,O,O,O,O,X,X,O,X,X,X,X
TSZIOLJ,O,X,X,X,X,X,O,X,X,X,X
TSZIOJL,O,O,O,O,X,X,O,X,X,X,X
TSZLIJO,O,X,X,X,X,X,O,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,O,X,X,X,X
TSZLJIO,O,X,X,X,O,X,O,X,X,O,X
TSZLJOI,O,X,X,X,O,X,O,X,X,O,X
TSZLOIJ,O,X,X,X,X,X,O,X,X,X,X
TSZLOJI,O,X,X,X,O,X,O,X,X,O,X
TSZJILO,O,O,O,O,X,X,O,X,X,X,X
TSZJIOL,O,O,O,O,X,X,O,X,X,X,X
TSZJLIO,O,O,O,O,O,X,O,X,X,O,X
TSZJLOI,O,O,O,O,O,X,O,X,X,O,X
TSZJOIL,O,O,O,O,X,X,O,X,X,X,X
TSZJOLI,O,O,O,O,O,X,O,X,X,O,X
TSZOILJ,O,X,X,X,X,X,O,X,X,X,X
TSZOIJL,O,O,O,O,X,X,O,X,X,X,X
TSZOLIJ,O,X,X,X,X,X,O,X,X,X,X
TSZOLJI,O,X,X,X,O,X,O,X,X,O,X
TSZOJIL,O,O,O,O,X,X,O,X,X,X,X
TSZOJLI,O,O,O,O,O,X,O,X,X,O,X
TSOILJZ,X,O,O,X,O,O,O,X,X,O,X
TSOILZJ,O,X,X,X,X,X,O,O,X,X,X
TSOIJLZ,X,O,O,X,O,O,O,X,X,O,X
TSOIJZL,X,O,X,X,X,X,O,X,X,X,X
TSOIZLJ,O,X,X,X,X,X,O,O,X,X,X
TSOIZJL,O,O,O,X,X,X,O,O,X,X,X
TSOLIJZ,X,O,O,X,O,O,O,X,X,O,X
TSOLIZJ,O,X,X,X,X,X,O,X,X,X,X
TSOLJIZ,X,O,O,X,O,O,O,X,X,O,X
TSOLJZI,O,O,O,X,O,O,O,X,X,O,X
TSOLZIJ,O,X,X,X,X,X,O,X,X,X,X
TSOLZJI,O,X,X,X,O,X,O,X,X,O,X
TSOJILZ,X,O,O,X,O,O,O,X,X,O,X
TSOJIZL,X,O,X,X,X,O,O,X,X,X,X
TSOJLIZ,X,O,O,X,O,O,O,X,X,O,X
TSOJLZI,O,O,O,X,O,O,O,X,X,O,X
TSOJZIL,X,O,O,O,X,O,O,X,X,X,X
TSOJZLI,X,O,O,O,O,O,O,X,X,O,X
TSOZILJ,O,X,X,X,X,X,O,X,X,X,X
TSOZIJL,O,O,O,O,X,X,O,X,X,X,X
TSOZLIJ,O,X,X,X,X,X,O,X,X,X,X
TSOZLJI,O,X,X,X,O,X,O,X,X,O,X
TSOZJIL,O,O,O,O,X,X,O,X,X,X,X
TSOZJLI,O,O,O,O,O,X,O,X,X,O,X
TZILJSO,X,X,O,O,X,X,X,O,X,X,X
TZILJOS,X,X,O,O,X,X,X,O,X,X,X
TZILSJO,X,X,X,X,X,X,X,O,X,X,X
TZILSOJ,X,X,X,X,X,X,X,O,X,X,X
TZILOJS,X,X,O,O,X,O,O,O,X,X,X
TZILOSJ,X,X,X,X,X,X,O,O,X,X,X
TZIJLSO,X,X,O,O,X,X,X,O,X,X,X
TZIJLOS,X,X,O,O,X,O,O,O,X,X,X
TZIJSLO,X,X,O,O,X,X,X,O,X,X,X
TZIJSOL,X,X,O,O,X,X,O,O,X,X,X
TZIJOLS,X,X,O,O,X,O,O,O,X,X,X
TZIJOSL,X,X,O,O,X,X,O,O,X,X,X
TZISLJO,X,X,X,X,X,X,O,O,X,X,X
TZISLOJ,X,X,X,X,X,X,O,O,X,X,X
TZISJLO,X,X,O,O,X,X,O,O,X,X,X
TZISJOL,X,X,O,O,X,X,O,O,X,X,X
TZISOLJ,X,X,X,X,X,X,O,O,X,X,X
TZISOJL,X,X,O,O,X,X,O,O,X,X,X
TZIOLJS,X,X,O,O,X,O,O,O,X,X,X
TZIOLSJ,X,X,X,X,X,X,O,O,X,X,O
TZIOJLS,X,X,O,O,X,O,O,O,X,X,O
TZIOJSL,X,X,O,O,X,X,O,O,X,X,O
TZIOSLJ,X,X,X,X,X,X,O,O,X,X,O
TZIOSJL,X,X,O,O,X,X,O,O,X,X,O
TZLIJSO,X,X,O,O,X,X,X,X,O,X,X
TZLIJOS,X,X,O,O,X,X,X,X,O,X,X
TZLISJO,X,X,X,X,X,X,X,X,O,X,X
TZLISOJ,X,X,X,X,X,X,X,X,O,X,X
TZLIOJS,X,X,O,O,X,O,O,X,O,X,X
TZLIOSJ,X,X,X,X,X,X,O,X,O,X,X
TZLJISO,X,O,O,O,X,X,X,X,X,X,X
TZLJIOS,X,O,O,O,X,O,O,X,X,X,X
TZLJSIO,X,O,O,O,X,O,X,X,X,X,X
TZLJSOI,X,O,O,O,X,O,X,X,X,X,X
TZLJOIS,X,O,O,O,X,O,O,X,X,X,X
TZLJOSI,X,O,O,O,X,O,O,X,X,X,X
TZLSIJO,O,X,X,X,X,X,O,X,O,X,X
TZLSIOJ,O,X,X,X,X,X,O,X,O,X,X
TZLSJIO,O,X,X,X,X,X,O,X,X,O,X
TZLSJOI,O,X,X,X,X,X,O,X,X,O,X
TZLSOIJ,O,X,X,X,X,X,O,X,O,X,X
TZLSOJI,O,X,X,X,X,X,O,X,X,O,X
TZLOIJS,X,X,O,O,X,O,O,X,O,X,X
TZLOISJ,X,X,X,X,X,X,O,X,O,X,X
TZLOJIS,X,O,O,O,X,O,O,X,X,X,X
TZLOJSI,X,O,O,O,X,O,O,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,O,X,O,X,X
TZLOSJI,O,X,X,X,X,X,O,X,X,O,X
TZJILSO,X,O,O,O,X,X,X,X,X,X,X
TZJILOS,X,O,O,O,X,O,O,X,X,X,X
TZJISLO,X,O,O,O,X,X,X,X,X,X,X
TZJISOL,X,O,O,O,X,X,O,X,X,X,X
TZJIOLS,X,O,O,O,X,O,O,X,X,X,O
TZJIOSL,X,O,O,O,X,X,O,X,X,X,O
TZJLISO,X,O,O,O,X,X,X,X,X,X,X
TZJLIOS,X,O,O,O,X,O,O,X,X,X,X
TZJLSIO,X,O,O,O,X,O,X,X,X,X,X
TZJLSOI,X,O,O,O,X,O,X,X,X,X,X
TZJLOIS,X,O,O,O,X,O,O,X,X,X,X
TZJLOSI,X,O,O,O,X,O,O,X,X,X,X
TZJSILO,X,O,O,O,X,O,O,X,X,X,X
TZJSIOL,X,O,O,O,X,O,O,X,X,X,X
TZJSLIO,X,O,O,O,X,O,O,X,X,O,X
TZJSLOI,X,O,O,O,X,O,O,X,X,O,X
TZJSOIL,X,O,O,O,X,O,O,X,X,X,X
TZJSOLI,X,O,O,O,X,O,O,X,X,O,X
TZJOILS,X,O,O,O,X,O,O,X,X,X,O
TZJOISL,X,O,O,O,X,X,O,X,X,X,O
TZJOLIS,X,O,O,O,X,O,O,X,X,X,X
TZJOLSI,X,O,O,O,X,O,O,X,X,X,X
TZJOSIL,X,O,O,O,X,O,O,X,X,X,X
TZJOSLI,X,O,O,O,X,O,O,X,X,O,X
TZSILJO,O,X,X,X,X,X,O,X,X,X,X
TZSILOJ,O,X,X,X,X,X,O,X,X,X,X
TZSIJLO,O,X,O,O,X,X,O,X,X,X,X
TZSIJOL,O,X,O,O,X,X,O,X,X,X,X
TZSIOLJ,O,X,X,X,X,X,O,X,X,X,X
TZSIOJL,O,X,O,O,X,X,O,X,X,X,X
TZSLIJO,O,X,X,X,X,X,O,X,X,X,X
TZSLIOJ,O,X,X,X,X,X,O,X,X,X,X
TZSLJIO,O,X,X,X,X,X,O,X,X,O,X
TZSLJOI,O,X,X,X,X,X,O,X,X,O,X
TZSLOIJ,O,X,X,X,X,X,O,X,X,X,X
TZSLOJI,O,X,X,X,X,X,O,X,X,O,X
TZSJILO,O,X,O,O,X,X,O,X,X,X,X
TZSJIOL,O,X,O,O,X,X,O,X,X,X,X
TZSJLIO,O,X,O,O,X,X,O,X,X,O,X
TZSJLOI,O,X,O,O,X,X,O,X,X,O,X
TZSJOIL,O,X,O,O,X,X,O,X,X,X,X
TZSJOLI,O,X,O,O,X,X,O,X,X,O,X
TZSOILJ,O,X,X,X,X,X,O,X,X,X,X
TZSOIJL,O,X,O,O,X,X,O,X,X,X,X
TZSOLIJ,O,X,X,X,X,X,O,X,X,X,X
TZSOLJI,O,X,X,X,X,X,O,X,X,O,X
TZSOJIL,O,X,O,O,X,X,O,X,X,X,X
TZSOJLI,O,X,O,O,X,X,O,X,X,O,X
TZOILJS,X,X,O,O,X,O,O,O,X,X,X
TZOILSJ,X,X,X,X,X,X,O,O,X,X,O
TZOIJLS,X,X,O,O,X,O,O,O,X,X,O
TZOIJSL,X,X,O,O,X,X,O,O,X,X,O
TZOISLJ,X,X,X,X,X,X,O,O,X,X,O
TZOISJL,X,X,O,O,X,X,O,O,X,X,O
TZOLIJS,X,X,O,O,X,O,O,X,O,X,X
TZOLISJ,X,X,X,X,X,X,O,X,O,X,X
TZOLJIS,X,O,O,O,X,O,O,X,X,X,X
TZOLJSI,X,O,O,O,X,O,O,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,O,X,O,X,X
TZOLSJI,O,X,X,X,X,X,O,X,X,O,X
TZOJILS,X,O,O,O,X,O,O,X,X,X,O
TZOJISL,X,O,O,O,X,X,O,X,X,X,O
TZOJLIS,X,O,O,O,X,O,O,X,X,X,X
TZOJLSI,X,O,O,O,X,O,O,X,X,X,X
TZOJSIL,X,O,O,O,X,O,O,X,X,X,X
TZOJSLI,X,O,O,O,X,O,O,X,X,O,X
TZOSILJ,O,X,X,X,X,X,O,X,X,X,X
TZOSIJL,O,X,O,O,X,X,O,X,X,X,X
TZOSLIJ,O,X,X,X,X,X,O,X,X,X,X
TZOSLJI,O,X,X,X,X,X,O,X,X,O,X
TZOSJIL,O,X,O,O,X,X,O,X,X,X,X
TZOSJLI,O,X,O,O,X,X,O,X,X,O,X
TOILJSZ,X,X,O,X,X,O,X,X,X,X,X
TOILJZS,X,X,O,X,X,O,X,O,O,X,X
TOILSJZ,X,X,O,X,X,O,X,X,X,O,X
TOILSZJ,X,X,X,X,X,X,X,O,X,X,X
TOILZJS,X,X,O,X,X,O,X,O,O,X,X
TOILZSJ,X,X,X,X,X,X,X,O,O,X,X
TOIJLSZ,X,X,O,X,X,O,X,X,X,X,X
TOIJLZS,X,X,O,X,X,O,O,O,O,X,X
TOIJSLZ,X,X,O,X,X,O,X,X,X,O,X
TOIJSZL,X,X,X,X,X,O,O,X,X,X,X
TOIJZLS,X,X,O,O,X,O,O,O,X,X,X
TOIJZSL,X,X,O,O,X,X,O,O,X,X,X
TOISLJZ,X,X,O,X,X,O,O,X,X,O,X
TOISLZJ,X,X,X,X,X,X,O,O,X,X,X
TOISJLZ,X,X,O,X,X,O,O,X,X,O,X
TOISJZL,X,X,X,X,X,X,O,X,X,X,X
TOISZLJ,X,X,X,X,X,X,O,O,X,X,X
TOISZJL,X,X,O,X,X,X,O,O,X,X,X
TOIZLJS,X,X,O,O,X,O,O,O,X,X,X
TOIZLSJ,X,X,X,X,X,X,O,O,X,X,X
TOIZJLS,X,X,O,O,X,O,O,O,X,X,X
TOIZJSL,X,X,O,O,X,X,O,O,X,X,X
TOIZSLJ,X,X,X,X,X,X,O,O,X,X,X
TOIZSJL,X,X,O,O,X,X,O,O,X,X,X
TOLIJSZ,X,X,O,X,X,O,X,X,X,X,X
TOLIJZS,X,X,O,X,X,O,X,O,O,X,X
TOLISJZ,X,X,O,X,X,O,X,X,X,O,X
TOLISZJ,X,X,X,X,X,X,X,O,X,X,X
TOLIZJS,X,X,O,X,X,O,X,O,O,X,X
TOLIZSJ,X,X,X,X,X,X,X,O,O,X,X
TOLJISZ,X,O,O,X,X,O,X,X,X,X,X
TOLJIZS,X,O,O,X,X,O,O,X,X,X,X
TOLJSIZ,X,O,O,X,O,O,X,X,X,O,X
TOLJSZI,X,O,O,X,O,O,X,X,X,O,X
TOLJZIS,X,O,O,O,X,O,O,X,X,X,X
TOLJZSI,X,O,O,O,X,O,O,X,X,X,X
TOLSIJZ,X,O,O,X,O,O,O,X,X,O,X
TOLSIZJ,O,X,X,X,X,X,O,X,X,X,X
TOLSJIZ,X,O,O,X,O,O,O,X,X,O,X
TOLSJZI,O,O,O,X,O,O,O,X,X,O,X
TOLSZIJ,O,X,X,X,X,X,O,X,X,X,X
TOLSZJI,O,X,X,X,O,X,O,X,X,O,X
TOLZIJS,X,X,O,O,X,O,O,X,O,X,X
TOLZISJ,X,X,X,X,X,X,O,X,O,X,X
TOLZJIS,X,O,O,O,X,O,O,X,X,X,X
TOLZJSI,X,O,O,O,X,O,O,X,X,X,X
TOLZSIJ,O,X,X,X,X,X,O,X,O,X,X
TOLZSJI,O,X,X,X,X,X,O,X,X,O,X
TOJILSZ,X,O,O,X,X,O,X,X,X,X,X
TOJILZS,X,O,O,X,X,O,O,O,X,X,X
TOJISLZ,X,O,O,X,X,O,X,X,X,O,X
TOJISZL,X,O,X,X,X,O,O,X,X,X,X
TOJIZLS,X,O,O,O,X,O,O,O,X,X,X
TOJIZSL,X,X,O,O,X,X,O,O,X,X,X
TOJLISZ,X,O,O,X,X,O,X,X,X,X,X
TOJLIZS,X,O,O,X,X,O,O,X,X,X,X
TOJLSIZ,X,O,O,X,O,O,X,X,X,O,X
TOJLSZI,X,O,O,X,O,O,X,X,X,O,X
TOJLZIS,X,O,O,O,X,O,O,X,X,X,X
TOJLZSI,X,O,O,O,X,O,O,X,X,X,X
TOJSILZ,X,O,O,X,O,O,O,X,X,O,X
TOJSIZL,X,O,X,X,X,O,O,X,X,X,X
TOJSLIZ,X,O,O,X,O,O,O,X,X,O,X
TOJSLZI,X,O,O,X,O,O,O,X,X,O,X
TOJSZIL,X,O,O,O,X,O,O,X,X,X,X
TOJSZLI,X,O,O,O,O,O,O,X,X,O,X
TOJZILS,X,O,O,O,X,O,O,X,X,X,O
TOJZISL,X,O,O,O,X,X,O,X,X,X,O
TOJZLIS,X,O,O,O,X,O,O,X,X,X,X
TOJZLSI,X,O,O,O,X,O,O,X,X,X,X
TOJZSIL,X,O,O,O,X,O,O,X,X,X,X
TOJZSLI,X,O,O,O,X,O,O,X,X,O,X
TOSILJZ,X,O,O,X,O,O,O,X,X,O,X
TOSILZJ,O,X,X,X,X,X,O,O,X,X,X
TOSIJLZ,X,O,O,X,O,O,O,X,X,O,X
TOSIJZL,X,O,X,X,X,X,O,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,O,O,X,X,X
TOSIZJL,O,O,O,X,X,X,O,O,X,X,X
TOSLIJZ,X,O,O,X,O,O,O,X,X,O,X
TOSLIZJ,O,X,X,X,X,X,O,X,X,X,X
TOSLJIZ,X,O,O,X,O,O,O,X,X,O,X
TOSLJZI,O,O,O,X,O,O,O,X,X,O,X
TOSLZIJ,O,X,X,X,X,X,O,X,X,X,X
TOSLZJI,O,X,X,X,O,X,O,X,X,O,X
TOSJILZ,X,O,O,X,O,O,O,X,X,O,X
TOSJIZL,X,O,X,X,X,O,O,X,X,X,X
TOSJLIZ,X,O,O,X,O,O,O,X,X,O,X
TOSJLZI,O,O,O,X,O,O,O,X,X,O,X
TOSJZIL,X,O,O,O,X,O,O,X,X,X,X
TOSJZLI,X,O,O,O,O,O,O,X,X,O,X
TOSZILJ,O,X,X,X,X,X,O,X,X,X,X
TOSZIJL,O,O,O,O,X,X,O,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,O,X,X,X,X
TOSZLJI,O,X,X,X,O,X,O,X,X,O,X
TOSZJIL,O,O,O,O,X,X,O,X,X,X,X
TOSZJLI,O,O,O,O,O,X,O,X,X,O,X
TOZILJS,X,X,O,O,X,O,O,O,X,X,X
TOZILSJ,X,X,X,X,X,X,O,O,X,X,O
TOZIJLS,X,X,O,O,X,O,O,O,X,X,O
TOZIJSL,X,X,O,O,X,X,O,O,X,X,O
TOZISLJ,X,X,X,X,X,X,O,O,X,X,O
TOZISJL,X,X,O,O,X,X,O,O,X,X,O
TOZLIJS,X,X,O,O,X,O,O,X,O,X,X
TOZLISJ,X,X,X,X,X,X,O,X,O,X,X
TOZLJIS,X,O,O,O,X,O,O,X,X,X,X
TOZLJSI,X,O,O,O,X,O,O,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,O,X,O,X,X
TOZLSJI,O,X,X,X,X,X,O,X,X,O,X
TOZJILS,X,O,O,O,X,O,O,X,X,X,O
TOZJISL,X,O,O,O,X,X,O,X,X,X,O
TOZJLIS,X,O,O,O,X,O,O,X,X,X,X
TOZJLSI,X,O,O,O,X,O,O,X,X,X,X
TOZJSIL,X,O,O,O,X,O,O,X,X,X,X
TOZJSLI,X,O,O,O,X,O,O,X,X,O,X
TOZSILJ,O,X,X,X,X,X,O,X,X,X,X
TOZSIJL,O,X,O,O,X,X,O,X,X,X,X
TOZSLIJ,O,X,X,X,X,X,O,X,X,X,X
TOZSLJI,O,X,X,X,X,X,O,X,X,O,X
TOZSJIL,O,X,O,O,X,X,O,X,X,X,X
TOZSJLI,O,X,O,O,X,X,O,X,X,O,X
ITLJSZO,X,X,X,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,O,X,X,O,X,X,X,X,X
ITLJZSO,X,X,O,X,X,X,X,O,O,X,X
ITLJZOS,X,X,O,X,X,O,X,O,O,X,X
ITLJOSZ,X,X,O,X,X,O,X,X,X,X,X
ITLJOZS,X,X,O,X,X,O,X,O,O,X,X
ITLSJZO,X,X,X,X,X,X,X,X,X,O,X
ITLSJOZ,X,X,X,X,X,X,X,X,X,O,X
ITLSZJO,X,X,X,X,X,X,X,O,X,X,X
ITLSZOJ,X,X,X,X,X,X,X,O,X,X,X
ITLSOJZ,X,X,O,X,X,O,X,X,X,O,X
ITLSOZJ,X,X,X,X,X,X,X,O,X,X,X
ITLZJSO,X,X,O,X,X,X,X,O,O,X,X
ITLZJOS,X,X,O,X,X,X,X,O,O,X,X
ITLZSJO,X,X,X,X,X,X,X,O,O,X,X
ITLZSOJ,X,X,X,X,X,X,X,O,O,X,X
ITLZOJS,X,X,O,X,X,O,X,O,O,X,X
ITLZOSJ,X,X,X,X,X,X,X,O,O,X,X
ITLOJSZ,X,X,O,X,X,O,X,X,X,X,X
ITLOJZS,X,X,O,X,X,O,X,O,O,X,X
ITLOSJZ,X,X,O,X,X,O,X,X,X,O,X
ITLOSZJ,X,X,X,X,X,X,X,O,X,X,X
ITLOZJS,X,X,O,X,X,O,X,O,O,X,X
ITLOZSJ,X,X,X,X,X,X,X,O,O,X,X
ITJLSZO,X,X,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,O,X,X,O,X,X,X,X,X
ITJLZSO,X,X,O,X,X,X,X,O,O,X,X
ITJLZOS,X,X,O,X,X,O,O,O,O,X,X
ITJLOSZ,X,X,O,X,X,O,X,X,X,X,X
ITJLOZS,X,X,O,X,X,O,O,O,O,X,X
ITJSLZO,X,X,X,X,X,O,X,X,X,O,X
ITJSLOZ,X,X,O,X,X,O,X,X,X,O,X
ITJSZLO,X,X,X,X,X,O,X,X,X,X,X
ITJSZOL,X,X,X,X,X,O,O,X,X,X,X
ITJSOLZ,X,X,O,X,X,O,X,X,X,O,X
ITJSOZL,X,X,X,X,X,O,O,X,X,X,X
ITJZLSO,X,X,O,O,X,X,X,O,X,X,X
ITJZLOS,X,X,O,O,X,O,O,O,X,X,X
ITJZSLO,X,X,O,O,X,X,X,O,X,X,X
ITJZSOL,X,X,O,O,X,X,O,O,X,X,X
ITJZOLS,X,X,O,O,X,O,O,O,X,X,X
ITJZOSL,X,X,O,O,X,X,O,O,X,X,X
ITJOLSZ,X,X,O,X,X,O,X,X,X,X,X
ITJOLZS,X,X,O,X,X,O,O,O,O,X,X
ITJOSLZ,X,X,O,X,X,O,X,X,X,O,X
ITJOSZL,X,X,X,X,X,O,O,X,X,X,X
ITJOZLS,X,X,O,O,X,O,O,O,X,X,X
ITJOZSL,X,X,O,O,X,X,O,O,X,X,X
ITSLJZO,X,X,X,X,X,X,O,X,X,O,X
ITSLJOZ,X,X,X,X,X,X,O,X,X,O,X
ITSLZJO,X,X,X,X,X,X,O,O,X,X,X
ITSLZOJ,X,X,X,X,X,X,O,O,X,X,X
ITSLOJZ,X,X,O,X,X,O,O,X,X,O,X
ITSLOZJ,X,X,X,X,X,X,O,O,X,X,X
ITSJLZO,X,X,X,X,X,X,O,X,X,O,X
ITSJLOZ,X,X,O,X,X,O,O,X,X,O,X
ITSJZLO,X,X,X,X,X,X,O,X,X,X,X
ITSJZOL,X,X,X,X,X,X,O,X,X,X,X
ITSJOLZ,X,X,O,X,X,O,O,X,X,O,X
ITSJOZL,X,X,X,X,X,X,O,X,X,X,X
ITSZLJO,X,X,X,X,X,X,O,O,X,X,X
ITSZLOJ,X,X,X,X,X,X,O,O,X,X,X
ITSZJLO,X,X,O,X,X,X,O,O,X,X,X
ITSZJOL,X,X,O,X,X,X,O,O,X,X,X
ITSZOLJ,X,X,X,X,X,X,O,O,X,X,X
ITSZOJL,X,X,O,X,X,X,O,O,X,X,X
ITSOLJZ,X,X,O,X,X,O,O,X,X,O,X
ITSOLZJ,X,X,X,X,X,X,O,O,X,X,X
ITSOJLZ,X,X,O,X,X,O,O,X,X,O,X
ITSOJZL,X,X,X,X,X,X,O,X,X,X,X
ITSOZLJ,X,X,X,X,X,X,O,O,X,X,X
ITSOZJL,X,X,O,X,X,X,O,O,X,X,X
ITZLJSO,X,X,O,O,X,X,X,O,X,X,X
ITZLJOS,X,X,O,O,X,X,X,O,X,X,X
ITZLSJO,X,X,X,X,X,X,X,O,X,X,X
ITZLSOJ,X,X,X,X,X,X,X,O,X,X,X
ITZLOJS,X,X,O,O,X,O,O,O,X,X,X
ITZLOSJ,X,X,X,X,X,X,O,O,X,X,X
ITZJLSO,X,X,O,O,X,X,X,O,X,X,X
ITZJLOS,X,X,O,O,X,O,O,O,X,X,X
ITZJSLO,X,X,O,O,X,X,X,O,X,X,X
ITZJSOL,X,X,O,O,X,X,O,O,X,X,X
ITZJOLS,X,X,O,O,X,O,O,O,X,X,X
ITZJOSL,X,X,O,O,X,X,O,O,X,X,X
ITZSLJO,X,X,X,X,X,X,O,O,X,X,X
ITZSLOJ,X,X,X,X,X,X,O,O,X,X,X
ITZSJLO,X,X,O,O,X,X,O,O,X,X,X
ITZSJOL,X,X,O,O,X,X,O,O,X,X,X
ITZSOLJ,X,X,X,X,X,X,O,O,X,X,X
ITZSOJL,X,X,O,O,X,X,O,O,X,X,X
ITZOLJS,X,X,O,O,X,O,O,O,X,X,X
ITZOLSJ,X,X,X,X,X,X,O,O,X,X,X
ITZOJLS,X,X,O,O,X,O,O,O,X,X,X
ITZOJSL,X,X,O,O,X,X,O,O,X,X,X
ITZOSLJ,X,X,X,X,X,X,O,O,X,X,X
ITZOSJL,X,X,O,O,X,X,O,O,X,X,X
ITOLJSZ,X,X,O,X,X,O,X,X,X,X,X
ITOLJZS,X,X,O,X,X,O,X,O,O,X,X
ITOLSJZ,X,X,O,X,X,O,X,X,X,O,X
ITOLSZJ,X,X,X,X,X,X,X,O,X,X,X
ITOLZJS,X,X,O,X,X,O,X,O,O,X,X
ITOLZSJ,X,X,X,X,X,X,X,O,O,X,X
ITOJLSZ,X,X,O,X,X,O,X,X,X,X,X
ITOJLZS,X,X,O,X,X,O,O,O,O,X,X
ITOJSLZ,X,X,O,X,X,O,X,X,X,O,X
ITOJSZL,X,X,X,X,X,O,O,X,X,X,X
ITOJZLS,X,X,O,O,X,O,O,O,X,X,X
ITOJZSL,X,X,O,O,X,X,O,O,X,X,X
ITOSLJZ,X,X,O,X,X,O,O,X,X,O,X
ITOSLZJ,X,X,X,X,X,X,O,O,X,X,X
ITOSJLZ,X,X,O,X,X,O,O,X,X,O,X
ITOSJZL,X,X,X,X,X,X,O,X,X,X,X
ITOSZLJ,X,X,X,X,X,X,O,O,X,X,X
ITOSZJL,X,X,O,X,X,X,O,O,X,X,X
ITOZLJS,X,X,O,O,X,O,O,O,X,X,X
ITOZLSJ,X,X,X,X,X,X,O,O,X,X,X
ITOZJLS,X,X,O,O,X,O,O,O,X,X,X
ITOZJSL,X,X,O,O,X,X,O,O,X,X,X
ITOZSLJ,X,X,X,X,X,X,O,O,X,X,X
ITOZSJL,X,X,O,O,X,X,O,O,X,X,X
ILTJSZO,X,X,X,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,O,X,X,O,X,X,X,X,X
ILTJZSO,X,X,O,X,X,X,X,O,O,X,X
ILTJZOS,X,X,O,X,X,O,X,O,O,X,X
ILTJOSZ,X,X,O,X,X,O,X,X,X,X,X
ILTJOZS,X,X,O,X,X,O,X,O,O,X,X
ILTSJZO,X,X,X,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,X,X,X,X,X,X
ILTSZJO,X,X,X,X,X,X,X,O,X,X,X
ILTSZOJ,X,X,X,X,X,X,X,O,X,X,X
ILTSOJZ,X,X,O,X,X,O,X,X,X,X,X
ILTSOZJ,X,X,X,X,X,X,X,O,X,X,X
ILTZJSO,X,X,X,X,X,X,X,O,O,X,X
ILTZJOS,X,X,X,X,X,X,X,O,O,X,X
ILTZSJO,X,X,X,X,X,X,X,O,O,X,X
ILTZSOJ,X,X,X,X,X,X,X,O,O,X,X
ILTZOJS,X,X,O,X,X,O,X,O,O,X,X
ILTZOSJ,X,X,X,X,X,X,X,O,O,X,X
ILTOJSZ,X,X,O,X,X,O,X,X,X,X,X
ILTOJZS,X,X,O,X,X,O,X,O,O,X,X
ILTOSJZ,X,X,O,X,X,O,X,X,X,X,X
ILTOSZJ,X,X,X,X,X,X,X,O,X,X,X
ILTOZJS,X,X,O,X,X,O,X,O,O,X,X
ILTOZSJ,X,X,X,X,X,X,X,O,O,X,X
ILJTSZO,X,O,X,X,X,O,X,X,X,X,X
ILJTSOZ,X,O,O,X,X,O,X,X,X,X,X
ILJTZSO,X,X,O,X,X,X,X,O,O,X,X
ILJTZOS,X,O,O,X,X,O,X,O,O,X,X
ILJTOSZ,X,O,O,X,X,O,X,X,X,X,X
