sequence,v115@EhD8EeF8DeG8BeE8Jei6IvhF3bB1hBxdBWlBTmB0qB,v115@EhD8EeF8DeG8BeE8Je//IvhFUbBxdBlhBilBGmBzqB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBflB0gBlhBGmBzqB,v115@EhD8EeF8DeG8BeE8Jei6IvhFFcBxdBflB0gBumBzqB,v115@EhD8EeF8DeG8BeE8JeT6IvhF/gBxdBUlBOrBlmBCrB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBzfBfmBlhBGmB0qB,v115@EhD8EeF8DeG8BeE8Je//IvhFUbBxdBTlBOrBlmBCrB,v115@EhD8EeF8DeG8BeE8JeT6IvhFxdBXgBlhBuqBilBcrB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBzfBlhBUmB+lBXrB
TZLIJOS,O,X,X,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X,X
TZLIOJS,O,X,X,X,X,X,X,X,O
TZLIOSJ,O,X,X,X,X,O,X,X,O
TZLJISO,O,X,X,X,X,X,X,X,X
TZLJIOS,O,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,X,X,X,X,X,X
TZLJSOI,O,X,X,X,X,X,X,X,X
TZLJOIS,O,X,X,X,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,X,X
TZLSOJI,X,O,O,X,X,X,X,X,X
TZLOIJS,O,X,X,X,X,X,X,X,O
TZLOISJ,O,X,X,X,X,O,X,X,O
TZLOJIS,O,X,X,X,X,X,X,X,O
TZLOJSI,O,X,X,X,X,X,X,X,O
TZLOSIJ,O,X,X,X,X,O,X,X,O
TZLOSJI,O,X,X,X,X,O,X,X,O
TZJILSO,O,X,X,X,X,X,X,X,X
TZJILOS,O,X,X,X,X,X,X,X,X
TZJISLO,O,X,X,X,O,X,X,X,X
TZJISOL,O,X,X,X,O,X,X,O,X
TZJIOLS,O,X,X,X,X,X,X,X,O
TZJIOSL,O,X,X,X,O,X,X,X,O
TZJLISO,O,X,X,X,X,X,X,X,X
TZJLIOS,O,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,X,X,X,X,X,X
TZJLSOI,O,X,X,X,X,X,X,X,X
TZJLOIS,O,X,X,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,X
TZJSILO,O,X,X,X,O,X,X,X,X
TZJSIOL,O,X,X,X,O,X,X,O,X
TZJSLIO,O,X,X,X,O,X,X,X,X
TZJSLOI,O,X,X,X,O,X,X,X,X
TZJSOIL,O,X,X,X,O,X,X,O,X
TZJSOLI,O,X,X,X,O,X,X,O,X
TZJOILS,O,X,X,X,X,X,X,X,O
TZJOISL,O,X,X,X,O,X,X,X,O
TZJOLIS,O,X,X,X,X,X,X,X,O
TZJOLSI,O,X,X,X,X,X,X,X,O
TZJOSIL,O,X,X,X,O,X,X,X,O
TZJOSLI,O,X,X,X,O,X,X,X,O
TZSILJO,O,O,O,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,O,X,X,X
TZSIJLO,O,O,O,X,O,X,X,X,X
TZSIJOL,O,X,X,X,O,O,X,X,X
TZSIOLJ,O,O,O,X,X,O,X,X,O
TZSIOJL,O,X,X,X,O,O,X,O,O
TZSLIJO,O,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,O,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,O,X,X,O,X,X,X
TZSLOJI,X,O,O,X,X,O,X,X,X
TZSJILO,O,O,O,X,O,X,X,X,X
TZSJIOL,O,X,X,X,O,O,X,X,X
TZSJLIO,O,O,O,X,O,X,X,X,X
TZSJLOI,O,O,O,X,O,X,X,X,X
TZSJOIL,O,X,X,X,O,O,X,X,X
TZSJOLI,O,X,X,X,O,O,X,X,X
TZSOILJ,O,O,O,X,X,O,X,X,O
TZSOIJL,O,X,X,X,O,O,X,O,O
TZSOLIJ,O,O,O,X,X,O,X,X,O
TZSOLJI,X,O,O,X,X,O,X,X,O
TZSOJIL,O,X,X,X,O,O,X,O,O
TZSOJLI,O,X,X,X,O,O,X,O,O
TZOILJS,O,X,X,X,X,X,X,X,O
TZOILSJ,O,X,X,X,X,O,X,X,O
TZOIJLS,O,X,X,X,X,X,X,X,O
TZOIJSL,O,X,X,X,O,X,X,X,O
TZOISLJ,O,O,O,X,X,O,X,X,O
TZOISJL,O,X,O,X,O,O,X,O,O
TZOLIJS,O,X,X,X,X,X,X,X,O
TZOLISJ,O,X,X,X,X,O,X,X,O
TZOLJIS,O,X,X,X,X,X,X,X,O
TZOLJSI,O,X,X,X,X,X,X,X,O
TZOLSIJ,O,X,X,X,X,O,X,X,O
TZOLSJI,O,X,X,X,X,O,X,X,O
TZOJILS,O,X,X,X,X,X,X,X,O
TZOJISL,O,X,X,X,O,X,X,X,O
TZOJLIS,O,X,X,X,X,X,X,X,O
TZOJLSI,O,X,X,X,X,X,X,X,O
TZOJSIL,O,X,X,X,O,X,X,X,O
TZOJSLI,O,X,X,X,O,X,X,X,O
TZOSILJ,O,O,O,X,X,O,X,X,O
TZOSIJL,O,X,O,X,O,O,X,O,O
TZOSLIJ,O,O,O,X,X,O,X,X,O
TZOSLJI,O,O,O,X,X,O,X,X,O
TZOSJIL,O,X,O,X,O,O,X,O,O
TZOSJLI,O,X,O,X,O,O,X,O,O
TOILJSZ,O,O,X,X,X,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X,X
TOILSJZ,O,O,O,X,X,X,X,O,X
TOILSZJ,O,O,O,O,X,X,X,X,X
TOILZJS,O,X,X,X,X,X,X,X,O
TOILZSJ,O,O,X,X,X,O,X,X,O
TOIJLSZ,O,X,X,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,O,X,X,X,O,O,X
TOIJSZL,O,X,O,X,X,X,O,O,X
TOIJZLS,O,X,X,X,X,X,X,X,X
TOIJZSL,O,X,X,X,O,X,X,X,X
TOISLJZ,O,O,O,X,X,X,X,O,X
TOISLZJ,O,O,O,O,X,X,X,X,X
TOISJLZ,O,O,O,X,X,X,O,O,X
TOISJZL,O,X,O,X,X,X,O,O,X
TOISZLJ,O,O,O,O,X,X,X,X,X
TOISZJL,O,X,O,O,X,X,O,O,X
TOIZLJS,O,X,X,X,X,X,X,X,O
TOIZLSJ,O,X,X,O,X,O,X,X,O
TOIZJLS,O,X,X,X,X,X,X,X,O
TOIZJSL,O,X,X,O,O,X,X,X,O
TOIZSLJ,O,O,O,O,X,O,X,X,O
TOIZSJL,O,X,O,O,O,O,X,O,O
TOLIJSZ,O,O,X,X,X,X,X,X,X
TOLIJZS,O,X,X,X,X,X,X,X,X
TOLISJZ,O,O,O,X,X,X,X,O,X
TOLISZJ,O,O,O,O,X,X,X,X,X
TOLIZJS,O,X,X,X,X,X,X,X,O
TOLIZSJ,O,O,X,X,X,O,X,X,O
TOLJISZ,O,O,X,O,X,X,X,X,X
TOLJIZS,O,X,X,O,X,X,X,X,X
TOLJSIZ,O,O,X,O,X,X,X,X,X
TOLJSZI,O,O,X,O,X,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X,O,X
TOLSIZJ,O,O,O,O,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,X,X,O,X
TOLSJZI,O,O,O,O,X,X,X,O,X
TOLSZIJ,O,O,O,O,X,X,X,X,X
TOLSZJI,X,O,O,O,X,X,X,X,X
TOLZIJS,O,X,X,X,X,X,X,X,O
TOLZISJ,O,O,X,X,X,O,X,X,O
TOLZJIS,O,X,X,X,X,X,X,X,O
TOLZJSI,O,X,X,X,X,X,X,X,O
TOLZSIJ,O,O,X,X,X,O,X,X,O
TOLZSJI,X,O,X,X,X,O,X,X,O
TOJILSZ,O,X,X,O,X,X,X,X,X
TOJILZS,O,X,X,O,X,X,X,X,X
TOJISLZ,O,O,O,O,X,X,O,O,X
TOJISZL,O,X,O,O,X,X,O,O,X
TOJIZLS,O,X,X,O,X,X,X,X,X
TOJIZSL,O,X,X,O,O,X,X,X,X
TOJLISZ,O,X,X,O,X,X,X,X,X
TOJLIZS,O,X,X,O,X,X,X,X,X
TOJLSIZ,O,X,X,O,X,X,X,X,X
TOJLSZI,O,X,X,O,X,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X,X,X
TOJLZSI,O,X,X,O,X,X,X,X,X
TOJSILZ,O,O,O,O,X,X,O,O,X
TOJSIZL,O,X,O,O,X,X,O,O,X
TOJSLIZ,O,O,O,O,X,X,O,O,X
TOJSLZI,O,O,O,O,X,X,O,O,X
TOJSZIL,O,X,O,O,X,X,O,O,X
TOJSZLI,O,X,O,O,X,X,O,O,X
TOJZILS,O,X,X,O,X,X,X,X,X
TOJZISL,O,X,X,O,O,X,X,X,X
TOJZLIS,O,X,X,O,X,X,X,X,X
TOJZLSI,O,X,X,O,X,X,X,X,X
TOJZSIL,O,X,X,O,O,X,X,X,X
TOJZSLI,O,X,X,O,O,X,X,X,X
TOSILJZ,O,O,O,X,X,X,X,O,X
TOSILZJ,O,O,O,O,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,O,O,X
TOSIJZL,O,X,O,X,X,X,O,O,X
TOSIZLJ,O,O,O,O,X,X,X,X,X
TOSIZJL,O,X,O,O,X,X,O,O,X
TOSLIJZ,O,O,O,X,X,X,X,O,X
TOSLIZJ,O,O,O,O,X,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,O,X
TOSLJZI,O,O,O,O,X,X,X,O,X
TOSLZIJ,O,O,O,O,X,X,X,X,X
TOSLZJI,X,O,O,O,X,X,X,X,X
TOSJILZ,O,O,O,O,X,X,O,O,X
TOSJIZL,O,X,O,O,X,X,O,O,X
TOSJLIZ,O,O,O,O,X,X,O,O,X
TOSJLZI,O,O,O,O,X,X,O,O,X
TOSJZIL,O,X,O,O,X,X,O,O,X
TOSJZLI,O,X,O,O,X,X,O,O,X
TOSZILJ,O,O,O,O,X,X,X,X,X
TOSZIJL,O,X,O,O,X,X,O,O,X
TOSZLIJ,O,O,O,O,X,X,X,X,X
TOSZLJI,X,O,O,O,X,X,X,X,X
TOSZJIL,O,X,O,O,X,X,O,O,X
TOSZJLI,O,X,O,O,X,X,O,O,X
TOZILJS,O,X,X,X,X,X,X,X,O
TOZILSJ,O,X,X,O,X,O,X,X,O
TOZIJLS,O,X,X,X,X,X,X,X,O
TOZIJSL,O,X,X,O,O,X,X,X,O
TOZISLJ,O,O,O,O,X,O,X,X,O
TOZISJL,O,X,O,O,O,O,X,O,O
TOZLIJS,O,X,X,X,X,X,X,X,O
TOZLISJ,O,X,X,O,X,O,X,X,O
TOZLJIS,O,X,X,X,X,X,X,X,O
TOZLJSI,O,X,X,X,X,X,X,X,O
TOZLSIJ,O,X,X,O,X,O,X,X,O
TOZLSJI,X,X,X,O,X,O,X,X,O
TOZJILS,O,X,X,O,X,X,X,X,O
TOZJISL,O,X,X,O,O,X,X,X,O
TOZJLIS,O,X,X,O,X,X,X,X,O
TOZJLSI,O,X,X,O,X,X,X,X,O
TOZJSIL,O,X,X,O,O,X,X,X,O
TOZJSLI,O,X,X,O,O,X,X,X,O
TOZSILJ,O,O,O,O,X,O,X,X,O
TOZSIJL,O,X,O,O,O,O,X,O,O
TOZSLIJ,O,O,O,O,X,O,X,X,O
TOZSLJI,X,O,O,O,X,O,X,X,O
TOZSJIL,O,X,O,O,O,O,X,O,O
TOZSJLI,O,X,O,O,O,O,X,O,O
ITLJSZO,O,O,O,O,X,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,O,X
ITLJZSO,O,X,X,O,X,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,X,X
ITLJOSZ,O,X,X,O,X,X,X,X,X
ITLJOZS,O,X,X,O,X,X,X,X,X
ITLSJZO,O,O,O,O,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X,X
ITLSZJO,O,O,O,O,X,X,X,X,X
ITLSZOJ,O,O,O,O,X,X,X,X,X
ITLSOJZ,O,O,O,X,X,X,X,O,X
ITLSOZJ,X,O,O,O,X,X,X,X,X
ITLZJSO,O,X,X,X,X,X,X,X,X
ITLZJOS,O,X,X,X,X,X,X,X,X
ITLZSJO,O,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,X,O
ITLZOSJ,O,X,X,X,X,O,X,X,O
ITLOJSZ,O,X,X,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X,X
ITLOSJZ,O,O,O,X,X,X,X,O,X
ITLOSZJ,O,O,O,O,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,O
ITLOZSJ,O,X,X,X,X,O,X,X,O
ITJLSZO,O,O,O,O,X,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,O,X
ITJLZSO,O,X,X,O,X,X,X,X,X
ITJLZOS,O,X,X,O,X,X,X,X,X
ITJLOSZ,O,X,X,O,X,X,X,X,X
ITJLOZS,O,X,X,O,X,X,X,X,X
ITJSLZO,O,O,O,O,X,X,X,X,X
ITJSLOZ,O,X,X,O,X,X,X,O,X
ITJSZLO,O,O,O,O,X,X,X,X,X
ITJSZOL,X,X,X,O,X,X,X,O,X
ITJSOLZ,O,O,X,O,X,X,O,O,X
ITJSOZL,X,X,X,O,X,X,O,O,X
ITJZLSO,O,X,X,O,X,X,X,X,X
ITJZLOS,O,X,X,O,X,X,X,X,X
ITJZSLO,O,X,X,O,O,X,X,X,X
ITJZSOL,O,X,X,X,O,X,X,O,X
ITJZOLS,O,X,X,O,X,X,X,X,O
ITJZOSL,O,X,X,O,O,X,X,X,O
ITJOLSZ,O,X,X,O,X,X,X,X,X
ITJOLZS,O,X,X,O,X,X,X,X,X
ITJOSLZ,O,O,O,O,X,X,O,O,X
ITJOSZL,O,X,O,O,X,X,O,O,X
ITJOZLS,O,X,X,O,X,X,X,X,X
ITJOZSL,O,X,X,O,O,X,X,X,X
ITSLJZO,O,O,O,O,X,X,X,X,X
ITSLJOZ,O,X,X,O,X,X,X,X,X
ITSLZJO,O,O,O,O,X,X,X,X,X
ITSLZOJ,O,O,O,O,X,X,X,X,X
ITSLOJZ,O,O,O,X,X,X,X,O,X
ITSLOZJ,X,O,O,O,X,X,X,X,X
ITSJLZO,O,O,O,O,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,X,X,O,X
ITSJZLO,O,O,O,O,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,X,O,X
ITSJOLZ,O,O,X,O,X,X,O,O,X
ITSJOZL,X,X,X,O,X,X,O,O,X
ITSZLJO,O,O,O,O,X,X,X,X,X
ITSZLOJ,O,O,O,O,X,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,X,X,O
ITSZOJL,O,X,X,X,X,X,O,O,O
ITSOLJZ,O,O,O,X,X,X,X,O,X
ITSOLZJ,O,O,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,O,O,X
ITSOJZL,O,X,O,X,X,X,O,O,X
ITSOZLJ,O,O,O,O,X,X,X,X,X
ITSOZJL,O,X,O,O,X,X,O,O,X
ITZLJSO,O,X,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,X,X
ITZLSJO,O,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,X,O
ITZLOSJ,O,X,X,X,X,O,X,X,O
ITZJLSO,O,X,X,X,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,X,X
ITZJSLO,O,X,X,X,O,X,X,X,X
ITZJSOL,O,X,X,X,O,X,X,O,X
ITZJOLS,O,X,X,X,X,X,X,X,O
ITZJOSL,O,X,X,X,O,X,X,X,O
ITZSLJO,O,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,O,X,X,X
ITZSJLO,O,O,O,X,O,X,X,X,X
ITZSJOL,O,X,X,X,O,O,X,X,X
ITZSOLJ,O,O,O,X,X,O,X,X,O
ITZSOJL,O,X,X,X,O,O,X,O,O
ITZOLJS,O,X,X,X,X,X,X,X,O
ITZOLSJ,O,X,X,X,X,O,X,X,O
ITZOJLS,O,X,X,X,X,X,X,X,O
ITZOJSL,O,X,X,X,O,X,X,X,O
ITZOSLJ,O,O,O,X,X,O,X,X,O
ITZOSJL,O,X,O,X,O,O,X,O,O
ITOLJSZ,O,O,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,O,X,X,X,X,O,X
ITOLSZJ,O,O,O,O,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,X,X,O
ITOLZSJ,O,O,X,X,X,O,X,X,O
ITOJLSZ,O,X,X,X,X,X,X,X,X
ITOJLZS,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,O,X,X,X,O,O,X
ITOJSZL,O,X,O,X,X,X,O,O,X
ITOJZLS,O,X,X,X,X,X,X,X,X
ITOJZSL,O,X,X,X,O,X,X,X,X
ITOSLJZ,O,O,O,X,X,X,X,O,X
ITOSLZJ,O,O,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,O,O,X
ITOSJZL,O,X,O,X,X,X,O,O,X
ITOSZLJ,O,O,O,O,X,X,X,X,X
ITOSZJL,O,X,O,O,X,X,O,O,X
ITOZLJS,O,X,X,X,X,X,X,X,O
ITOZLSJ,O,X,X,O,X,O,X,X,O
ITOZJLS,O,X,X,X,X,X,X,X,O
ITOZJSL,O,X,X,O,O,X,X,X,O
ITOZSLJ,O,O,O,O,X,O,X,X,O
ITOZSJL,O,X,O,O,O,O,X,O,O
ILTJSZO,O,O,O,O,X,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,O,X
ILTJZSO,O,X,X,O,X,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,O,X,X,X,X,X
ILTSJZO,O,O,O,O,X,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,X,X,X
ILTSZJO,O,O,O,O,X,X,X,X,X
ILTSZOJ,O,O,O,O,X,X,X,X,X
ILTSOJZ,O,O,O,X,X,X,X,O,X
ILTSOZJ,X,O,O,O,X,X,X,X,X
ILTZJSO,O,X,X,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,O
ILTZOSJ,O,X,X,X,X,O,X,X,O
ILTOJSZ,O,X,X,X,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,O,O,X,X,X,X,O,X
ILTOSZJ,O,O,O,O,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,O
ILTOZSJ,O,X,X,X,X,O,X,X,O
ILJTSZO,O,O,O,O,X,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,O,X
ILJTZSO,O,X,X,O,X,X,X,X,X
ILJTZOS,O,X,X,O,X,X,X,X,X
ILJTOSZ,O,X,X,O,X,X,X,X,X
ILJTOZS,O,X,X,O,X,X,X,X,X
ILJSTZO,O,O,O,O,X,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,X,O,X
ILJSZTO,O,O,O,O,X,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,X,X
ILJSOTZ,O,X,O,O,X,X,O,O,X
ILJSOZT,O,X,O,O,X,X,O,X,X
ILJZTSO,O,X,X,O,X,X,X,X,X
ILJZTOS,O,X,X,O,X,X,X,X,X
ILJZSTO,O,X,X,O,O,X,X,X,X
ILJZSOT,O,X,X,O,O,X,X,X,X
ILJZOTS,O,X,X,O,X,X,X,X,X
ILJZOST,O,X,X,O,O,O,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X,X
ILJOSTZ,O,X,O,O,X,X,O,X,X
ILJOSZT,O,X,O,O,X,X,O,X,X
ILJOZTS,O,X,X,O,X,X,X,X,O
ILJOZST,O,X,X,O,O,O,X,X,X
ILSTJZO,O,O,O,O,X,X,X,X,X
ILSTJOZ,O,X,X,O,X,X,X,X,X
ILSTZJO,O,O,O,O,X,X,X,X,X
ILSTZOJ,O,O,O,O,X,X,X,X,X
ILSTOJZ,O,O,O,X,X,X,X,O,X
ILSTOZJ,X,O,O,O,X,X,X,X,X
ILSJTZO,O,O,O,O,X,X,X,X,X
ILSJTOZ,O,X,X,O,X,X,X,O,X
ILSJZTO,O,O,O,O,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X
ILSJOTZ,O,X,O,O,X,X,O,O,X
ILSJOZT,O,X,O,O,X,X,O,X,X
ILSZTJO,O,O,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,O,X,X,X,X,X
ILSZJTO,O,O,O,O,X,X,X,X,X
ILSZJOT,O,X,X,O,X,X,X,X,X
ILSZOTJ,O,O,O,O,X,O,X,X,X
ILSZOJT,O,O,O,O,X,O,O,X,X
ILSOTJZ,O,O,O,X,X,X,X,O,X
ILSOTZJ,O,O,O,O,X,X,X,X,X
ILSOJTZ,O,O,O,O,X,X,O,O,X
ILSOJZT,O,O,O,O,X,X,O,X,X
ILSOZTJ,X,O,O,O,X,O,X,X,O
ILSOZJT,X,O,O,O,X,O,O,X,X
ILZTJSO,O,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,O
ILZTOSJ,O,X,X,X,X,O,X,X,O
ILZJTSO,O,X,X,O,X,X,X,X,X
ILZJTOS,O,X,X,O,X,X,X,X,X
ILZJSTO,O,X,X,O,O,X,X,X,X
ILZJSOT,O,X,X,O,O,X,X,X,X
ILZJOTS,O,X,X,O,X,X,X,X,X
ILZJOST,O,X,X,O,O,O,X,X,X
ILZSTJO,O,O,O,O,X,X,X,X,X
ILZSTOJ,O,O,O,O,X,O,X,X,X
ILZSJTO,O,O,O,O,O,X,X,X,X
ILZSJOT,O,X,X,O,O,X,X,X,X
ILZSOTJ,O,O,O,O,X,O,X,X,X
ILZSOJT,O,X,O,O,O,O,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X,O
ILZOTSJ,O,X,X,X,X,O,X,X,O
ILZOJTS,O,X,X,X,X,X,X,X,O
ILZOJST,O,X,X,X,O,O,X,X,X
ILZOSTJ,O,X,O,O,X,O,X,X,O
ILZOSJT,O,X,O,O,O,O,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,O,O,X,X,X,X,O,X
ILOTSZJ,O,O,O,O,X,X,X,X,X
ILOTZJS,O,X,X,X,X,X,X,X,O
ILOTZSJ,O,O,X,X,X,O,X,X,O
ILOJTSZ,O,O,X,O,X,X,X,X,X
ILOJTZS,O,X,X,O,X,X,X,X,X
ILOJSTZ,O,O,O,O,X,X,O,X,X
ILOJSZT,O,O,O,O,X,X,O,X,X
ILOJZTS,O,X,X,O,X,X,X,X,O
ILOJZST,O,X,X,O,O,O,X,X,X
ILOSTJZ,O,O,O,X,X,X,X,O,X
ILOSTZJ,O,O,O,O,X,X,X,X,X
ILOSJTZ,O,O,O,O,X,X,O,O,X
ILOSJZT,O,O,O,O,X,X,O,X,X
ILOSZTJ,X,O,O,O,X,O,X,X,O
ILOSZJT,X,O,O,O,X,O,O,X,X
ILOZTJS,O,X,X,X,X,X,X,X,O
ILOZTSJ,O,O,X,O,X,O,X,X,O
ILOZJTS,O,X,X,X,X,X,X,X,O
ILOZJST,O,X,X,X,O,O,X,X,X
ILOZSTJ,O,O,O,O,X,O,X,X,O
ILOZSJT,O,O,O,O,O,O,X,X,X
IJTLSZO,O,O,O,O,X,X,X,X,X
IJTLSOZ,O,X,X,O,X,X,X,O,X
IJTLZSO,O,X,X,O,X,X,X,X,X
IJTLZOS,O,X,X,O,X,X,X,X,X
IJTLOSZ,O,X,X,O,X,X,X,X,X
IJTLOZS,O,X,X,O,X,X,X,X,X
IJTSLZO,O,O,O,O,X,X,X,X,X
IJTSLOZ,O,X,X,O,X,X,X,O,X
IJTSZLO,O,O,O,O,X,X,X,X,X
IJTSZOL,X,X,X,O,X,X,X,O,X
IJTSOLZ,O,O,X,O,X,X,O,O,X
IJTSOZL,X,X,X,O,X,X,O,O,X
IJTZLSO,O,X,X,O,X,X,X,X,X
IJTZLOS,O,X,X,O,X,X,X,X,X
IJTZSLO,O,X,X,O,O,X,X,X,X
IJTZSOL,O,X,X,X,O,X,X,O,X
IJTZOLS,O,X,X,O,X,X,X,X,O
IJTZOSL,O,X,X,O,O,X,X,X,O
IJTOLSZ,O,X,X,O,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X,X
IJTOSLZ,O,O,O,O,X,X,O,O,X
IJTOSZL,O,X,O,O,X,X,O,O,X
IJTOZLS,O,X,X,O,X,X,X,X,X
IJTOZSL,O,X,X,O,O,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,O,X
IJLTZSO,O,X,X,O,X,X,X,X,X
IJLTZOS,O,X,X,O,X,X,X,X,X
IJLTOSZ,O,X,X,O,X,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X,X
IJLSTZO,O,O,O,O,X,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,O,X
IJLSZTO,O,O,O,O,X,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,X,X
IJLSOTZ,O,X,O,O,X,X,O,O,X
IJLSOZT,O,X,O,O,X,X,O,X,X
IJLZTSO,O,X,X,O,X,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,X,X
IJLZSTO,O,X,X,O,O,X,X,X,X
IJLZSOT,O,X,X,O,O,X,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X,X
IJLZOST,O,X,X,O,O,O,X,X,X
IJLOTSZ,O,X,X,O,X,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X
IJLOSTZ,O,X,O,O,X,X,O,X,X
IJLOSZT,O,X,O,O,X,X,O,X,X
IJLOZTS,O,X,X,O,X,X,X,X,O
IJLOZST,O,X,X,O,O,O,X,X,X
IJSTLZO,O,O,O,O,X,X,X,X,X
IJSTLOZ,O,X,X,O,X,X,X,O,X
IJSTZLO,O,O,O,O,X,X,X,X,X
IJSTZOL,X,X,X,O,X,X,X,O,X
IJSTOLZ,O,O,X,O,X,X,O,O,X
IJSTOZL,X,X,X,O,X,X,O,O,X
IJSLTZO,O,O,O,O,X,X,X,X,X
IJSLTOZ,O,X,X,O,X,X,X,O,X
IJSLZTO,O,O,O,O,X,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X,X,X
IJSLOTZ,O,X,O,O,X,X,O,O,X
IJSLOZT,O,X,O,O,X,X,O,X,X
IJSZTLO,O,O,O,O,O,X,X,X,X
IJSZTOL,O,X,X,O,O,X,X,O,X
IJSZLTO,O,O,O,O,O,X,X,X,X
