sequence,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFRbBGdBTgBihBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFRbBShBTdB2lBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFagBGdBRhBzgBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Jem6IvhFRcBSiB0fBzgBFq?BXrB,v115@7gB8HeC8DeF8EeF8CeE8Jei6IvhFGcBTdBRgBfqBVr?B0qB,v115@7gB8HeC8DeF8EeF8CeE8Je37IvhFchBTdB6kBmfBxq?B1vB,v115@7gB8HeC8DeF8EeF8CeE8JeT6IvhFibBGdBRlBfrBlm?BUqB,v115@7gB8HeC8DeF8EeF8CeE8JeT6IvhFxcBfqBmlBllBCn?B0qB,v115@7gB8HeC8DeF8EeF8CeE8JeR7IvhFGdB0gBaqB/kBlm?BzqB,v115@7gB8HeC8DeF8EeF8CeE8JeG8IvhFTdBxfB8lBaqBlk?BXrB
TSOLIJZ,O,O,O,O,O,X,X,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X,X,X
TSOLJIZ,O,O,O,O,O,X,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,X,O
TSOLZJI,O,O,X,O,O,X,X,X,X,O
TSOJILZ,O,O,O,O,O,X,X,O,X,X
TSOJIZL,O,O,X,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,O,O,X,X,O,X,X
TSOJLZI,O,O,X,O,O,X,X,O,X,X
TSOJZIL,O,O,O,O,O,X,X,X,X,O
TSOJZLI,O,O,O,O,O,X,X,O,X,O
TSOZILJ,O,O,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,O,O,X,X,X,X,O
TSOZLIJ,O,O,O,O,O,X,X,X,X,O
TSOZLJI,O,O,O,O,O,X,X,X,X,O
TSOZJIL,O,O,O,O,O,X,X,X,X,O
TSOZJLI,O,O,O,O,O,X,X,X,X,O
TZILJSO,O,O,O,O,X,O,O,X,X,X
TZILJOS,O,O,X,O,O,O,O,X,X,X
TZILSJO,O,O,O,O,X,O,O,X,X,X
TZILSOJ,O,O,O,O,X,O,O,X,X,X
TZILOJS,O,O,X,O,O,O,O,X,X,X
TZILOSJ,O,O,X,O,X,O,O,X,X,X
TZIJLSO,O,O,O,O,X,X,O,X,X,X
TZIJLOS,O,O,X,O,O,X,O,X,X,X
TZIJSLO,O,O,O,O,X,X,O,X,X,X
TZIJSOL,O,O,O,O,X,X,O,X,X,X
TZIJOLS,O,O,X,O,O,X,O,X,X,X
TZIJOSL,O,O,O,O,X,X,O,X,X,X
TZISLJO,O,O,O,O,X,X,O,X,X,X
TZISLOJ,O,O,O,O,X,X,O,X,X,X
TZISJLO,O,O,O,O,X,X,O,X,X,X
TZISJOL,O,O,O,O,X,X,O,X,X,X
TZISOLJ,O,O,O,O,X,X,O,X,X,X
TZISOJL,O,O,O,O,X,X,O,X,X,X
TZIOLJS,O,O,X,O,O,O,O,X,X,X
TZIOLSJ,O,O,X,O,X,O,O,X,X,X
TZIOJLS,O,O,X,O,O,X,O,X,X,X
TZIOJSL,O,O,O,O,X,X,O,X,X,X
TZIOSLJ,O,O,O,O,X,X,O,X,X,X
TZIOSJL,O,O,O,O,X,X,O,X,X,X
TZLIJSO,O,O,O,O,X,O,X,X,X,X
TZLIJOS,O,O,X,O,O,O,X,X,X,X
TZLISJO,O,O,O,O,X,O,X,X,X,X
TZLISOJ,O,O,O,O,X,O,X,X,X,X
TZLIOJS,O,O,X,O,O,O,X,X,X,X
TZLIOSJ,O,O,X,O,X,O,X,X,X,X
TZLJISO,O,O,O,O,X,X,X,X,X,X
TZLJIOS,O,O,X,O,X,X,X,X,X,X
TZLJSIO,O,O,O,O,X,X,X,X,X,X
TZLJSOI,O,O,O,O,X,X,X,X,X,X
TZLJOIS,O,O,X,O,O,X,X,X,X,X
TZLJOSI,O,O,X,O,O,X,X,X,X,X
TZLSIJO,O,O,O,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,O,X,X,X,X,X
TZLSJOI,O,O,O,O,O,X,X,X,X,X
TZLSOIJ,O,O,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,O,O,X,X,X,X,X
TZLOIJS,O,O,X,O,O,O,X,X,X,X
TZLOISJ,O,O,X,O,X,O,X,X,X,X
TZLOJIS,O,O,X,O,O,X,X,X,X,X
TZLOJSI,O,O,X,O,O,X,X,X,X,X
TZLOSIJ,O,O,X,O,O,X,X,X,X,X
TZLOSJI,O,O,X,O,O,X,X,X,X,X
TZJILSO,O,O,O,O,X,X,O,X,X,X
TZJILOS,O,O,X,O,O,X,O,X,X,X
TZJISLO,O,O,O,O,X,X,O,X,X,X
TZJISOL,O,O,O,O,X,X,O,X,X,X
TZJIOLS,O,O,X,O,O,X,O,X,X,X
TZJIOSL,O,O,O,O,X,X,O,X,X,X
TZJLISO,O,O,O,O,X,X,X,X,X,X
TZJLIOS,O,O,X,O,X,X,X,X,X,X
TZJLSIO,O,O,O,O,X,X,X,X,X,X
TZJLSOI,O,O,O,O,X,X,X,X,X,X
TZJLOIS,O,O,X,O,O,X,X,X,X,X
TZJLOSI,O,O,X,O,O,X,X,X,X,X
TZJSILO,O,O,O,O,O,X,X,X,X,X
TZJSIOL,O,O,O,O,O,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,X,X,X
TZJSLOI,O,O,O,O,O,X,X,X,X,X
TZJSOIL,O,O,O,O,O,X,X,X,X,X
TZJSOLI,O,O,O,O,O,X,X,X,X,X
TZJOILS,O,O,X,O,O,X,O,X,X,X
TZJOISL,O,O,O,O,X,X,O,X,X,X
TZJOLIS,O,O,X,O,O,X,X,X,X,X
TZJOLSI,O,O,X,O,O,X,X,X,X,X
TZJOSIL,O,O,O,O,O,X,X,X,X,X
TZJOSLI,O,O,O,O,O,X,X,X,X,X
TZSILJO,O,O,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,O,O,X,X,X,X,X
TZSIJOL,O,O,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,O,X,X,X,X,X
TZSLIOJ,O,O,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,O,O,X,X,X,X,X
TZSLJOI,O,O,O,O,O,X,X,X,X,X
TZSLOIJ,O,O,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,O,O,X,X,X,X,X
TZSJILO,O,O,O,O,O,X,X,X,X,X
TZSJIOL,O,O,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,O,O,X,X,X,X,X
TZSJLOI,O,O,O,O,O,X,X,X,X,X
TZSJOIL,O,O,O,O,O,X,X,X,X,X
TZSJOLI,O,O,O,O,O,X,X,X,X,X
TZSOILJ,O,O,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,O,O,X,X,X,X,X
TZSOJIL,O,O,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,O,O,X,X,X,X,X
TZOILJS,O,O,X,O,O,O,O,X,X,X
TZOILSJ,O,O,X,O,X,O,O,X,X,X
TZOIJLS,O,O,X,O,O,X,O,X,X,X
TZOIJSL,O,O,O,O,X,X,O,X,X,X
TZOISLJ,O,O,O,O,X,X,O,X,X,X
TZOISJL,O,O,O,O,X,X,O,X,X,X
TZOLIJS,O,O,X,O,O,O,X,X,X,X
TZOLISJ,O,O,X,O,X,O,X,X,X,X
TZOLJIS,O,O,X,O,O,X,X,X,X,X
TZOLJSI,O,O,X,O,O,X,X,X,X,X
TZOLSIJ,O,O,X,O,O,X,X,X,X,X
TZOLSJI,O,O,X,O,O,X,X,X,X,X
TZOJILS,O,O,X,O,O,X,O,X,X,X
TZOJISL,O,O,O,O,X,X,O,X,X,X
TZOJLIS,O,O,X,O,O,X,X,X,X,X
TZOJLSI,O,O,X,O,O,X,X,X,X,X
TZOJSIL,O,O,O,O,O,X,X,X,X,X
TZOJSLI,O,O,O,O,O,X,X,X,X,X
TZOSILJ,O,O,O,O,O,X,X,X,X,X
TZOSIJL,O,O,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,O,O,X,X,X,X,X
TZOSLJI,O,O,O,O,O,X,X,X,X,X
TZOSJIL,O,O,O,O,O,X,X,X,X,X
TZOSJLI,O,O,O,O,O,X,X,X,X,X
TOILJSZ,O,O,X,X,O,X,X,X,X,X
TOILJZS,X,X,X,O,O,O,X,X,X,X
TOILSJZ,O,O,X,X,O,X,X,X,X,X
TOILSZJ,O,O,X,O,O,O,X,X,X,X
TOILZJS,X,O,X,O,O,O,X,X,X,X
TOILZSJ,X,O,X,O,X,O,X,X,X,X
TOIJLSZ,O,O,X,X,O,X,X,X,X,X
TOIJLZS,X,X,X,O,O,X,X,X,X,X
TOIJSLZ,O,O,O,X,O,X,X,X,X,X
TOIJSZL,O,O,X,X,O,X,X,X,X,X
TOIJZLS,X,X,X,O,O,X,X,X,X,X
TOIJZSL,X,X,O,O,X,X,X,X,X,X
TOISLJZ,O,O,O,X,O,X,X,X,X,X
TOISLZJ,O,O,X,O,O,X,X,X,X,X
TOISJLZ,O,O,O,X,O,X,X,X,X,X
TOISJZL,O,O,X,X,O,X,X,X,X,X
TOISZLJ,O,O,X,O,O,X,X,X,X,X
TOISZJL,O,O,X,O,O,X,X,X,X,X
TOIZLJS,X,O,X,O,O,O,X,X,X,X
TOIZLSJ,X,O,X,O,X,O,X,X,X,X
TOIZJLS,X,O,X,O,O,X,X,X,X,X
TOIZJSL,X,O,O,O,X,X,X,X,X,X
TOIZSLJ,X,O,O,O,X,X,X,X,X,X
TOIZSJL,X,O,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,O,X,X,X,X,X
TOLIJZS,X,X,X,O,O,O,X,X,X,X
TOLISJZ,O,O,X,O,O,X,X,X,X,X
TOLISZJ,O,O,X,O,O,O,X,X,X,X
TOLIZJS,X,O,X,O,O,O,X,X,X,X
TOLIZSJ,X,O,X,O,X,O,X,X,X,X
TOLJISZ,O,O,X,X,O,X,X,X,X,X
TOLJIZS,X,X,X,O,O,X,X,X,X,X
TOLJSIZ,O,O,X,X,O,X,X,X,X,X
TOLJSZI,O,O,X,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,O,X,X,X,X,X
TOLJZSI,O,O,X,O,O,X,X,X,O,X
TOLSIJZ,O,O,X,O,O,X,X,X,X,X
TOLSIZJ,O,O,X,O,O,X,X,X,X,X
TOLSJIZ,O,O,X,O,O,X,X,X,X,X
TOLSJZI,O,O,X,O,O,X,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X,X,O
TOLSZJI,O,O,X,O,O,X,X,X,X,O
TOLZIJS,O,O,X,O,O,O,X,X,O,X
TOLZISJ,O,O,X,O,X,O,X,X,O,X
TOLZJIS,O,O,X,O,O,X,X,X,O,X
TOLZJSI,O,O,X,O,O,X,X,X,O,X
TOLZSIJ,O,O,X,O,O,X,X,X,O,X
TOLZSJI,O,O,X,O,O,X,X,X,O,X
TOJILSZ,O,O,X,X,O,X,X,X,X,X
TOJILZS,X,X,X,O,O,X,X,X,X,X
TOJISLZ,O,O,O,X,O,X,X,X,X,X
TOJISZL,O,O,X,X,O,X,X,X,X,X
TOJIZLS,X,X,X,O,O,X,X,X,X,X
TOJIZSL,X,X,O,O,X,X,X,X,X,X
TOJLISZ,O,O,X,X,O,X,X,X,X,X
TOJLIZS,X,X,X,O,O,X,X,X,X,X
TOJLSIZ,O,O,X,X,O,X,X,X,X,X
TOJLSZI,O,O,X,X,O,X,X,X,X,X
TOJLZIS,O,O,X,O,O,X,X,X,X,X
TOJLZSI,O,O,X,O,O,X,X,X,O,X
TOJSILZ,O,O,O,X,O,X,X,X,X,X
TOJSIZL,O,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,O,X,X,X,X,X
TOJSLZI,O,O,X,X,O,X,X,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X,X,O
TOJSZLI,O,O,O,X,O,X,X,X,X,O
TOJZILS,O,O,X,O,O,X,O,X,X,X
TOJZISL,O,O,O,O,X,X,O,X,X,X
TOJZLIS,O,O,X,O,O,X,X,X,X,X
TOJZLSI,O,O,X,O,O,X,X,X,X,X
TOJZSIL,O,O,O,O,O,X,X,X,X,X
TOJZSLI,O,O,O,O,O,X,X,X,X,X
TOSILJZ,O,O,O,O,O,X,X,X,X,X
TOSILZJ,O,O,X,O,O,X,X,X,X,X
TOSIJLZ,O,O,O,O,O,X,X,X,X,X
TOSIJZL,O,O,X,O,O,X,X,X,X,X
TOSIZLJ,O,O,X,O,O,X,X,X,X,X
TOSIZJL,O,O,X,O,O,X,X,X,X,X
TOSLIJZ,O,O,O,O,O,X,X,X,X,X
TOSLIZJ,O,O,X,O,O,X,X,X,X,X
TOSLJIZ,O,O,O,O,O,X,X,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X,X,O
TOSLZJI,O,O,X,O,O,X,X,X,X,O
TOSJILZ,O,O,O,O,O,X,X,O,X,X
TOSJIZL,O,O,X,O,O,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,X,X,O,X,X
TOSJLZI,O,O,X,O,O,X,X,O,X,X
TOSJZIL,O,O,O,O,O,X,X,X,X,O
TOSJZLI,O,O,O,O,O,X,X,O,X,O
TOSZILJ,O,O,O,O,O,X,X,X,X,X
TOSZIJL,O,O,O,O,O,X,X,X,X,O
TOSZLIJ,O,O,O,O,O,X,X,X,X,O
TOSZLJI,O,O,O,O,O,X,X,X,X,O
TOSZJIL,O,O,O,O,O,X,X,X,X,O
TOSZJLI,O,O,O,O,O,X,X,X,X,O
TOZILJS,O,O,X,O,O,O,O,X,X,X
TOZILSJ,O,O,X,O,X,O,O,X,X,X
TOZIJLS,O,O,X,O,O,X,O,X,X,X
TOZIJSL,O,O,O,O,X,X,O,X,X,X
TOZISLJ,O,O,O,O,X,X,O,X,X,X
TOZISJL,O,O,O,O,X,X,O,X,X,X
TOZLIJS,O,O,X,O,O,O,X,X,X,X
TOZLISJ,O,O,X,O,X,O,X,X,X,X
TOZLJIS,O,O,X,O,O,X,X,X,X,X
TOZLJSI,O,O,X,O,O,X,X,X,X,X
TOZLSIJ,O,O,X,O,O,X,X,X,X,X
TOZLSJI,O,O,X,O,O,X,X,X,X,X
TOZJILS,O,O,X,O,O,X,O,X,X,X
TOZJISL,O,O,O,O,X,X,O,X,X,X
TOZJLIS,O,O,X,O,O,X,X,X,X,X
TOZJLSI,O,O,X,O,O,X,X,X,X,X
TOZJSIL,O,O,O,O,O,X,X,X,X,X
TOZJSLI,O,O,O,O,O,X,X,X,X,X
TOZSILJ,O,O,O,O,O,X,X,X,X,X
TOZSIJL,O,O,O,O,O,X,X,X,X,X
TOZSLIJ,O,O,O,O,O,X,X,X,X,X
TOZSLJI,O,O,O,O,O,X,X,X,X,X
TOZSJIL,O,O,O,O,O,X,X,X,X,X
TOZSJLI,O,O,O,O,O,X,X,X,X,X
ITLJSZO,O,O,O,O,X,X,X,X,X,X
ITLJSOZ,O,O,O,O,O,X,X,X,X,X
ITLJZSO,O,X,O,O,X,O,X,X,X,X
ITLJZOS,O,X,X,O,O,O,X,X,X,X
ITLJOSZ,O,O,X,X,O,X,X,X,X,X
ITLJOZS,X,X,X,O,O,O,X,X,X,X
ITLSJZO,O,O,O,O,O,X,X,X,X,X
ITLSJOZ,O,O,O,O,O,X,X,X,X,X
ITLSZJO,O,X,O,O,O,O,X,X,X,X
ITLSZOJ,O,O,X,O,O,O,X,X,X,X
ITLSOJZ,O,O,O,O,O,X,X,X,X,X
ITLSOZJ,O,O,X,O,O,O,X,X,X,X
ITLZJSO,O,O,O,O,X,O,X,X,X,X
ITLZJOS,O,O,X,O,O,O,X,X,X,X
ITLZSJO,O,O,O,O,X,O,X,X,X,X
ITLZSOJ,O,O,O,O,X,O,X,X,X,X
ITLZOJS,O,O,X,O,O,O,X,X,X,X
ITLZOSJ,O,O,X,O,X,O,X,X,X,X
ITLOJSZ,O,O,X,X,O,X,X,X,X,X
ITLOJZS,X,X,X,O,O,O,X,X,X,X
ITLOSJZ,O,O,X,O,O,X,X,X,X,X
ITLOSZJ,O,O,X,O,O,O,X,X,X,X
ITLOZJS,X,O,X,O,O,O,X,X,X,X
ITLOZSJ,X,O,X,O,X,O,X,X,X,X
ITJLSZO,O,O,O,X,X,X,X,X,X,X
ITJLSOZ,O,O,O,X,O,X,X,X,X,X
ITJLZSO,O,X,O,X,X,X,X,X,X,X
ITJLZOS,O,X,X,X,O,X,X,X,X,X
ITJLOSZ,O,O,X,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,O,X,X,X,X,X
ITJSLZO,O,O,O,X,O,X,X,X,X,X
ITJSLOZ,O,O,O,X,O,X,X,X,X,X
ITJSZLO,O,O,O,X,O,X,X,X,X,X
ITJSZOL,O,O,O,X,O,X,X,X,X,X
ITJSOLZ,O,O,O,X,O,X,X,X,X,X
ITJSOZL,O,O,X,X,O,X,X,X,X,X
ITJZLSO,O,X,O,X,X,X,X,X,X,X
ITJZLOS,O,X,X,X,O,X,X,X,X,X
ITJZSLO,O,X,O,X,X,X,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X,X,X,X
ITJZOLS,O,X,X,X,O,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,O,X,X,X,X,X
ITJOLZS,X,X,X,X,O,X,X,X,X,X
ITJOSLZ,O,O,O,X,O,X,X,X,X,X
ITJOSZL,O,O,X,X,O,X,X,X,X,X
ITJOZLS,X,X,X,X,O,X,X,X,X,X
ITJOZSL,X,X,O,X,X,X,X,X,X,X
ITSLJZO,O,O,O,O,O,X,X,X,X,X
ITSLJOZ,O,O,O,O,O,X,X,X,X,X
ITSLZJO,O,X,O,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,O,O,X,X,X,X,X
ITSLOJZ,O,O,O,O,O,X,X,X,X,X
ITSLOZJ,O,O,X,O,O,X,X,X,X,X
ITSJLZO,O,O,O,X,O,X,X,X,X,X
ITSJLOZ,O,O,O,X,O,X,X,X,X,X
ITSJZLO,O,O,O,X,O,X,X,X,X,X
ITSJZOL,O,O,O,X,O,X,X,X,X,X
ITSJOLZ,O,O,O,X,O,X,X,X,X,X
ITSJOZL,O,O,X,X,O,X,X,X,X,X
ITSZLJO,O,O,O,O,O,X,X,X,X,X
ITSZLOJ,O,O,O,O,O,X,X,X,X,X
ITSZJLO,O,O,O,O,O,X,X,X,X,X
ITSZJOL,O,O,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,O,O,O,X,X,X,X,X
ITSZOJL,O,O,O,O,O,X,X,X,X,X
ITSOLJZ,O,O,O,O,O,X,X,X,X,X
ITSOLZJ,O,O,X,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,O,O,X,X,X,X,X
ITSOJZL,O,O,X,O,O,X,X,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,X,X,X
ITSOZJL,O,O,X,O,O,X,X,X,X,X
ITZLJSO,O,O,O,O,X,O,X,X,X,X
ITZLJOS,O,O,X,O,O,O,X,X,X,X
ITZLSJO,O,O,O,O,X,O,X,X,X,X
ITZLSOJ,O,O,O,O,X,O,X,X,X,X
ITZLOJS,O,O,X,O,O,O,X,X,X,X
ITZLOSJ,O,O,X,O,X,O,X,X,X,X
ITZJLSO,O,O,O,O,X,X,X,X,X,X
ITZJLOS,O,O,X,O,O,X,X,X,X,X
ITZJSLO,O,O,O,O,X,X,X,X,X,X
ITZJSOL,O,O,O,O,X,X,X,X,X,X
ITZJOLS,O,O,X,O,O,X,X,X,X,X
ITZJOSL,O,O,O,O,X,X,X,X,X,X
ITZSLJO,O,O,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,O,O,X,X,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X,X,X
ITZSJOL,O,O,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,O,X,X,X,X,X,X
ITZOLJS,O,O,X,O,O,O,X,X,X,X
ITZOLSJ,O,O,X,O,X,O,X,X,X,X
ITZOJLS,O,O,X,O,O,X,X,X,X,X
ITZOJSL,O,O,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,O,O,X,X,X,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,O,X,X,X,X,X
ITOLJZS,X,X,X,O,O,O,X,X,X,X
ITOLSJZ,O,O,X,X,O,X,X,X,X,X
ITOLSZJ,O,O,X,O,O,O,X,X,X,X
ITOLZJS,X,O,X,O,O,O,X,X,X,X
ITOLZSJ,X,O,X,O,X,O,X,X,X,X
ITOJLSZ,O,O,X,X,O,X,X,X,X,X
ITOJLZS,X,X,X,O,O,X,X,X,X,X
ITOJSLZ,O,O,O,X,O,X,X,X,X,X
ITOJSZL,O,O,X,X,O,X,X,X,X,X
ITOJZLS,X,X,X,O,O,X,X,X,X,X
ITOJZSL,X,X,O,O,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,O,X,X,X,X,X
ITOSLZJ,O,O,X,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,O,X,X,X,X,X
ITOSJZL,O,O,X,X,O,X,X,X,X,X
ITOSZLJ,O,O,X,O,O,X,X,X,X,X
ITOSZJL,O,O,X,O,O,X,X,X,X,X
ITOZLJS,X,O,X,O,O,O,X,X,X,X
ITOZLSJ,X,O,X,O,X,O,X,X,X,X
ITOZJLS,X,O,X,O,O,X,X,X,X,X
ITOZJSL,X,O,O,O,X,X,X,X,X,X
ITOZSLJ,X,O,O,O,X,X,X,X,X,X
ITOZSJL,X,O,O,O,X,X,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X,X,X,X
ILTJSOZ,O,O,O,O,O,X,X,X,X,X
ILTJZSO,O,X,O,O,X,O,X,X,X,X
ILTJZOS,O,X,X,O,O,O,X,X,X,X
ILTJOSZ,O,O,X,X,O,X,X,X,X,X
ILTJOZS,X,X,X,O,O,O,X,X,X,X
ILTSJZO,O,O,O,O,O,X,X,X,X,X
ILTSJOZ,O,O,O,O,O,X,X,X,X,X
ILTSZJO,O,X,O,O,O,O,X,X,X,X
ILTSZOJ,O,O,X,O,O,O,X,X,X,X
ILTSOJZ,O,O,O,O,O,X,X,X,X,X
ILTSOZJ,O,O,X,O,O,O,X,X,X,X
ILTZJSO,O,O,O,O,X,O,X,X,X,X
ILTZJOS,O,O,X,O,O,O,X,X,X,X
ILTZSJO,O,O,O,O,X,O,X,X,X,X
ILTZSOJ,O,O,O,O,X,O,X,X,X,X
ILTZOJS,O,O,X,O,O,O,X,X,X,X
ILTZOSJ,O,O,X,O,X,O,X,X,X,X
ILTOJSZ,O,O,X,X,O,X,X,X,X,X
ILTOJZS,X,X,X,O,O,O,X,X,X,X
ILTOSJZ,O,O,X,O,O,X,X,X,X,X
ILTOSZJ,O,O,X,O,O,O,X,X,X,X
ILTOZJS,X,O,X,O,O,O,X,X,X,X
ILTOZSJ,X,O,X,O,X,O,X,X,X,X
ILJTSZO,O,X,O,O,X,X,X,X,X,X
ILJTSOZ,O,X,O,O,X,X,X,X,X,X
ILJTZSO,O,X,O,O,X,O,X,X,X,X
ILJTZOS,O,X,X,O,X,O,X,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,X,X,X
ILJTOZS,X,X,X,O,X,O,X,X,X,X
ILJSTZO,O,X,O,O,X,X,X,X,X,X
ILJSTOZ,O,X,O,O,X,X,X,X,X,X
ILJSZTO,O,X,O,O,X,X,X,X,X,X
ILJSZOT,O,X,O,O,X,X,X,X,X,X
ILJSOTZ,O,X,O,O,X,X,X,X,X,X
ILJSOZT,O,X,O,O,X,X,X,X,X,X
ILJZTSO,X,X,X,O,X,O,X,X,X,X
ILJZTOS,X,X,X,O,X,O,X,X,X,X
ILJZSTO,O,X,O,O,X,X,X,X,O,X
ILJZSOT,O,X,O,O,X,X,X,X,O,X
ILJZOTS,X,X,X,O,X,O,X,X,X,X
ILJZOST,O,X,X,O,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,X,O,O,X,X,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X,X
ILJOSZT,X,X,X,X,O,X,X,X,X,X
ILJOZTS,X,X,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,O,X
ILSTJZO,O,X,O,O,O,X,X,X,X,X
ILSTJOZ,O,X,O,O,O,X,X,X,X,X
ILSTZJO,O,X,X,O,O,O,X,X,X,X
ILSTZOJ,O,X,X,O,O,O,X,X,X,X
ILSTOJZ,O,X,X,O,O,X,X,X,X,X
ILSTOZJ,O,X,X,O,O,O,X,X,X,X
ILSJTZO,O,X,O,O,X,X,X,X,X,X
ILSJTOZ,O,X,O,O,O,X,X,X,X,X
ILSJZTO,O,X,O,O,X,X,X,X,X,X
ILSJZOT,O,X,O,O,O,X,X,X,X,X
ILSJOTZ,O,X,O,O,O,X,X,X,X,X
ILSJOZT,O,X,O,O,O,X,X,X,X,X
ILSZTJO,O,X,X,O,X,O,X,X,X,O
ILSZTOJ,X,X,X,O,X,O,X,X,X,O
ILSZJTO,O,X,O,O,X,X,X,X,X,O
ILSZJOT,O,X,O,O,O,X,X,X,X,O
ILSZOTJ,O,X,X,O,X,O,X,X,X,O
ILSZOJT,O,X,X,O,O,X,X,X,X,O
ILSOTJZ,X,X,X,O,O,X,X,X,X,X
ILSOTZJ,X,X,X,O,O,O,X,X,X,X
ILSOJTZ,O,X,O,O,O,X,X,X,X,X
ILSOJZT,O,X,O,O,O,X,X,X,X,X
ILSOZTJ,X,X,X,O,X,O,X,X,X,O
ILSOZJT,X,X,X,O,O,X,X,X,X,O
ILZTJSO,X,X,X,O,X,O,X,X,O,X
ILZTJOS,X,X,X,O,X,O,X,X,X,X
ILZTSJO,X,X,X,O,X,O,X,X,O,X
ILZTSOJ,X,X,X,O,X,O,X,X,O,X
ILZTOJS,X,X,X,O,X,O,X,X,X,X
ILZTOSJ,X,X,X,O,X,O,X,X,X,X
ILZJTSO,X,X,X,O,X,O,X,X,X,X
ILZJTOS,X,X,X,O,X,O,X,X,X,X
ILZJSTO,O,O,O,O,X,X,X,X,O,X
ILZJSOT,O,O,O,O,X,X,X,X,O,X
ILZJOTS,X,X,X,O,X,O,X,X,X,X
ILZJOST,O,O,X,O,X,X,X,X,X,X
ILZSTJO,O,X,O,O,X,O,X,X,O,X
ILZSTOJ,X,O,X,O,X,O,X,X,O,X
ILZSJTO,O,O,O,O,X,X,X,X,O,X
ILZSJOT,O,O,O,O,X,X,X,X,O,X
ILZSOTJ,O,O,X,O,X,O,X,X,O,X
ILZSOJT,O,O,O,O,X,X,X,X,O,X
ILZOTJS,X,X,X,X,X,O,X,X,X,X
ILZOTSJ,X,X,X,X,X,O,X,X,X,X
ILZOJTS,X,X,X,O,X,O,X,X,X,X
ILZOJST,O,O,X,O,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,O,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,O,X,X,X,X,X
ILOTJZS,X,X,X,O,O,O,X,X,X,X
ILOTSJZ,X,O,X,O,O,X,X,X,X,X
ILOTSZJ,X,O,X,O,O,O,X,X,X,X
