sequence,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mBXqB0qB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei6IvhFRcBckBlgB3?hBeqBzqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mB0qBXqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFFbB8gBzcBf?lBOrBSvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFXcB8hBzfBa?rBGlBVvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhF3bBzcBUlBF?mBupByvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFmcBflBlgBc?mBqqBzpB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei7IvhFOkBRhB3hBF?lBzqB0pB
TZJSOIL,O,O,X,X,X,O,O,X
TZJSOLI,O,O,O,X,X,X,X,X
TZJOILS,O,O,O,X,O,O,X,X
TZJOISL,X,O,X,X,X,O,X,X
TZJOLIS,O,O,O,X,O,X,X,X
TZJOLSI,X,O,O,X,O,X,X,X
TZJOSIL,O,O,X,X,X,O,X,X
TZJOSLI,O,O,O,X,X,X,X,X
TZSILJO,O,O,X,X,O,O,O,X
TZSILOJ,O,O,X,X,O,O,X,X
TZSIJLO,O,O,X,X,X,O,O,X
TZSIJOL,O,X,X,X,X,O,O,X
TZSIOLJ,O,X,X,X,O,O,X,X
TZSIOJL,O,X,X,X,X,O,O,X
TZSLIJO,O,O,O,X,O,O,O,X
TZSLIOJ,O,O,O,X,O,O,X,X
TZSLJIO,O,O,O,X,O,X,O,X
TZSLJOI,O,O,O,X,O,X,X,X
TZSLOIJ,O,X,O,X,O,O,X,X
TZSLOJI,O,X,O,X,O,X,X,X
TZSJILO,O,O,X,X,X,O,O,X
TZSJIOL,O,O,X,X,X,O,O,X
TZSJLIO,O,O,O,X,X,X,O,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,O,O,X,X,X,O,O,X
TZSJOLI,O,O,O,X,X,X,X,X
TZSOILJ,O,O,X,X,O,O,X,X
TZSOIJL,O,X,X,X,X,O,O,X
TZSOLIJ,O,O,O,X,O,O,X,X
TZSOLJI,O,X,O,X,O,X,X,X
TZSOJIL,O,O,X,X,X,O,O,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,O,X,O,X,O,O,X,X
TZOILSJ,O,X,O,X,O,O,X,X
TZOIJLS,O,X,O,X,O,O,X,X
TZOIJSL,X,X,X,X,X,O,X,X
TZOISLJ,O,X,X,X,O,O,X,X
TZOISJL,O,X,X,X,X,O,X,X
TZOLIJS,O,X,O,X,O,O,X,X
TZOLISJ,O,X,O,X,O,O,X,X
TZOLJIS,O,O,O,X,O,X,X,X
TZOLJSI,X,O,O,X,O,X,X,X
TZOLSIJ,X,O,O,X,O,O,X,X
TZOLSJI,X,X,O,X,O,X,X,X
TZOJILS,O,O,O,X,O,O,X,X
TZOJISL,X,O,X,X,X,O,X,X
TZOJLIS,O,O,O,X,O,X,X,X
TZOJLSI,X,O,O,X,O,X,X,X
TZOJSIL,O,O,X,X,X,O,X,X
TZOJSLI,O,O,O,X,X,X,X,X
TZOSILJ,O,O,X,X,O,O,X,X
TZOSIJL,O,X,X,X,X,O,X,X
TZOSLIJ,O,O,O,X,O,O,X,X
TZOSLJI,O,X,O,X,O,X,X,X
TZOSJIL,O,O,X,X,X,O,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,O,X,O,X,X,X,X,O
TOILJZS,O,X,O,X,O,X,X,O
TOILSJZ,O,X,O,X,X,X,X,O
TOILSZJ,O,X,O,O,O,X,X,X
TOILZJS,O,X,O,X,O,O,X,O
TOILZSJ,O,X,O,O,O,O,X,X
TOIJLSZ,O,X,O,O,X,X,X,O
TOIJLZS,O,X,O,O,O,X,X,O
TOIJSLZ,O,X,O,X,X,X,X,O
TOIJSZL,O,X,X,O,X,X,X,X
TOIJZLS,O,X,O,X,O,O,X,O
TOIJZSL,X,X,X,O,X,O,X,X
TOISLJZ,O,X,O,X,X,X,X,O
TOISLZJ,O,X,O,O,O,X,X,X
TOISJLZ,O,X,O,X,X,X,X,O
TOISJZL,O,X,X,O,X,X,X,X
TOISZLJ,O,X,X,X,O,O,X,X
TOISZJL,O,X,X,X,X,O,X,X
TOIZLJS,O,X,O,X,O,O,X,O
TOIZLSJ,O,X,O,X,O,O,X,X
TOIZJLS,O,X,O,X,O,O,X,O
TOIZJSL,X,X,X,X,X,O,X,X
TOIZSLJ,O,X,X,X,O,O,X,X
TOIZSJL,O,X,X,X,X,O,X,X
TOLIJSZ,O,X,O,X,X,X,X,O
TOLIJZS,O,X,O,X,O,X,X,O
TOLISJZ,O,X,O,X,X,X,X,O
TOLISZJ,O,X,O,O,O,X,X,X
TOLIZJS,O,X,O,X,O,O,X,O
TOLIZSJ,O,X,O,O,O,O,X,X
TOLJISZ,O,X,O,X,X,X,X,O
TOLJIZS,O,X,O,X,O,X,X,O
TOLJSIZ,O,X,O,X,X,X,X,O
TOLJSZI,O,X,X,X,X,X,X,X
TOLJZIS,O,X,O,X,O,X,X,O
TOLJZSI,X,X,X,X,O,X,X,X
TOLSIJZ,O,X,O,X,X,X,X,O
TOLSIZJ,O,X,O,O,O,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,O
TOLSJZI,O,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,O,O,X,X,X
TOLSZJI,O,X,X,O,O,X,X,X
TOLZIJS,O,X,O,X,O,O,X,O
TOLZISJ,O,X,O,O,O,O,X,X
TOLZJIS,O,X,O,X,O,X,X,O
TOLZJSI,X,X,O,X,O,X,X,X
TOLZSIJ,X,X,O,O,O,O,X,X
TOLZSJI,X,X,O,O,O,X,X,X
TOJILSZ,O,X,O,O,X,X,X,O
TOJILZS,O,O,O,O,O,X,X,O
TOJISLZ,O,O,O,X,X,X,X,O
TOJISZL,O,O,X,O,X,X,X,X
TOJIZLS,O,O,O,X,O,O,X,O
TOJIZSL,X,O,X,O,X,O,X,X
TOJLISZ,O,X,O,O,X,X,X,O
TOJLIZS,O,O,O,O,O,X,X,O
TOJLSIZ,O,O,O,O,X,X,X,O
TOJLSZI,O,O,X,O,X,X,X,X
TOJLZIS,O,O,O,O,O,X,X,O
TOJLZSI,X,O,X,O,O,X,X,X
TOJSILZ,O,O,O,X,X,X,X,O
TOJSIZL,O,O,X,O,X,X,X,X
TOJSLIZ,O,O,O,X,X,X,X,O
TOJSLZI,O,O,X,X,X,X,X,X
TOJSZIL,O,O,X,O,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X
TOJZILS,O,O,O,X,O,O,X,O
TOJZISL,X,O,X,O,X,O,X,X
TOJZLIS,O,O,O,X,O,X,X,O
TOJZLSI,X,O,X,X,O,X,X,X
TOJZSIL,O,O,X,O,X,O,X,X
TOJZSLI,O,O,X,O,X,X,X,X
TOSILJZ,O,X,O,X,X,X,X,O
TOSILZJ,O,X,O,O,O,X,X,X
TOSIJLZ,O,X,O,X,X,X,X,O
TOSIJZL,O,O,X,O,X,X,X,X
TOSIZLJ,O,O,X,X,O,O,X,X
TOSIZJL,O,X,X,X,X,O,X,X
TOSLIJZ,O,X,O,X,X,X,X,O
TOSLIZJ,O,X,O,O,O,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,O
TOSLJZI,O,X,X,X,X,X,X,X
TOSLZIJ,O,X,X,O,O,X,X,X
TOSLZJI,O,X,X,O,O,X,X,X
TOSJILZ,O,O,O,X,X,X,X,O
TOSJIZL,O,O,X,O,X,X,X,X
TOSJLIZ,O,O,O,X,X,X,X,O
TOSJLZI,O,O,X,X,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,X
TOSJZLI,O,O,X,O,X,X,X,X
TOSZILJ,O,O,X,X,O,O,X,X
TOSZIJL,O,X,X,X,X,O,X,X
TOSZLIJ,O,O,X,X,O,O,X,X
TOSZLJI,O,X,X,X,O,X,X,X
TOSZJIL,O,O,X,X,X,O,X,X
TOSZJLI,O,O,X,X,X,X,X,X
TOZILJS,O,X,O,X,O,O,X,O
TOZILSJ,O,X,O,X,O,O,X,X
TOZIJLS,O,X,O,X,O,O,X,O
TOZIJSL,X,X,X,X,X,O,X,X
TOZISLJ,O,X,X,X,O,O,X,X
TOZISJL,O,X,X,X,X,O,X,X
TOZLIJS,O,X,O,X,O,O,X,O
TOZLISJ,O,X,O,X,O,O,X,X
TOZLJIS,O,O,O,X,O,X,X,O
TOZLJSI,X,O,O,X,O,X,X,X
TOZLSIJ,X,O,O,X,O,O,X,X
TOZLSJI,X,X,O,X,O,X,X,X
TOZJILS,O,O,O,X,O,O,X,O
TOZJISL,X,O,X,X,X,O,X,X
TOZJLIS,O,O,O,X,O,X,X,O
TOZJLSI,X,O,O,X,O,X,X,X
TOZJSIL,O,O,X,X,X,O,X,X
TOZJSLI,O,O,O,X,X,X,X,X
TOZSILJ,O,O,X,X,O,O,X,X
TOZSIJL,O,X,X,X,X,O,X,X
TOZSLIJ,O,O,O,X,O,O,X,X
TOZSLJI,O,X,O,X,O,X,X,X
TOZSJIL,O,O,X,X,X,O,X,X
TOZSJLI,O,O,O,X,X,X,X,X
ITLJSZO,O,X,X,O,X,X,X,X
ITLJSOZ,O,X,O,O,X,X,X,X
ITLJZSO,X,X,O,O,O,X,X,X
ITLJZOS,O,X,O,O,O,X,X,X
ITLJOSZ,O,X,O,O,X,X,X,X
ITLJOZS,O,X,O,O,O,X,X,X
ITLSJZO,O,X,X,O,X,X,X,X
ITLSJOZ,O,X,O,O,X,X,X,X
ITLSZJO,O,X,O,O,O,X,X,X
ITLSZOJ,O,X,O,O,O,X,X,X
ITLSOJZ,O,X,O,X,X,X,X,X
ITLSOZJ,O,X,O,O,O,X,X,X
ITLZJSO,X,X,O,X,O,O,X,X
ITLZJOS,O,X,O,X,O,O,X,X
ITLZSJO,O,X,O,O,O,O,X,X
ITLZSOJ,O,X,O,O,O,O,X,X
ITLZOJS,O,X,O,X,O,O,X,X
ITLZOSJ,O,X,O,O,O,O,X,X
ITLOJSZ,O,X,O,X,X,X,X,X
ITLOJZS,O,X,O,X,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X
ITLOSZJ,O,X,O,O,O,X,X,X
ITLOZJS,O,X,O,X,O,O,X,X
ITLOZSJ,O,X,O,O,O,O,X,X
ITJLSZO,O,X,X,O,X,X,X,X
ITJLSOZ,O,X,O,O,X,X,X,X
ITJLZSO,X,X,O,O,O,X,X,X
ITJLZOS,O,X,O,O,O,X,X,X
ITJLOSZ,O,X,O,O,X,X,X,X
ITJLOZS,O,X,O,O,O,X,X,X
ITJSLZO,O,X,X,X,X,X,X,X
ITJSLOZ,O,X,O,X,X,X,X,X
ITJSZLO,O,X,X,O,X,X,O,X
ITJSZOL,O,X,X,O,X,X,O,X
ITJSOLZ,O,X,O,X,X,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X
ITJZLSO,X,X,X,X,O,O,X,X
ITJZLOS,O,X,O,X,O,O,X,X
ITJZSLO,X,X,X,O,X,O,O,X
ITJZSOL,X,X,X,O,X,O,O,X
ITJZOLS,O,X,O,X,O,O,X,X
ITJZOSL,X,X,X,O,X,O,X,X
ITJOLSZ,O,X,O,O,X,X,X,X
ITJOLZS,O,X,O,O,O,X,X,X
ITJOSLZ,O,X,O,X,X,X,X,X
ITJOSZL,O,X,X,O,X,X,X,X
ITJOZLS,O,X,O,X,O,O,X,X
ITJOZSL,X,X,X,O,X,O,X,X
ITSLJZO,O,X,X,O,X,X,X,X
ITSLJOZ,O,X,O,O,X,X,X,X
ITSLZJO,O,X,O,O,O,X,X,X
ITSLZOJ,O,X,O,O,O,X,X,X
ITSLOJZ,O,X,O,X,X,X,X,X
ITSLOZJ,O,X,O,O,O,X,X,X
ITSJLZO,O,X,X,O,X,X,X,X
ITSJLOZ,O,X,O,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,O,X
ITSJZOL,O,X,X,O,X,X,O,X
ITSJOLZ,O,X,O,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X
ITSZLJO,O,X,X,O,O,O,O,X
ITSZLOJ,O,X,X,O,O,O,X,X
ITSZJLO,O,X,X,X,X,O,O,X
ITSZJOL,O,X,X,X,X,O,O,X
ITSZOLJ,O,X,X,X,O,O,X,X
ITSZOJL,O,X,X,X,X,O,O,X
ITSOLJZ,O,X,O,X,X,X,X,X
ITSOLZJ,O,X,O,O,O,X,X,X
ITSOJLZ,O,X,O,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X
ITSOZLJ,O,X,X,X,O,O,X,X
ITSOZJL,O,X,X,X,X,O,X,X
ITZLJSO,X,X,O,X,O,O,X,X
ITZLJOS,O,X,O,X,O,O,X,X
ITZLSJO,O,X,O,X,O,O,X,X
ITZLSOJ,O,X,O,X,O,O,X,X
ITZLOJS,O,X,O,X,O,O,X,X
ITZLOSJ,O,X,O,X,O,O,X,X
ITZJLSO,X,X,X,X,O,O,X,X
ITZJLOS,O,X,O,X,O,O,X,X
ITZJSLO,X,X,X,X,X,O,O,X
ITZJSOL,X,X,X,X,X,O,O,X
ITZJOLS,O,X,O,X,O,O,X,X
ITZJOSL,X,X,X,X,X,O,X,X
ITZSLJO,O,X,X,X,O,O,O,X
ITZSLOJ,O,X,X,X,O,O,X,X
ITZSJLO,O,X,X,X,X,O,O,X
ITZSJOL,O,X,X,X,X,O,O,X
ITZSOLJ,O,X,X,X,O,O,X,X
ITZSOJL,O,X,X,X,X,O,O,X
ITZOLJS,O,X,O,X,O,O,X,X
ITZOLSJ,O,X,O,X,O,O,X,X
ITZOJLS,O,X,O,X,O,O,X,X
ITZOJSL,X,X,X,X,X,O,X,X
ITZOSLJ,O,X,X,X,O,O,X,X
ITZOSJL,O,X,X,X,X,O,X,X
ITOLJSZ,O,X,O,X,X,X,X,X
ITOLJZS,O,X,O,X,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X
ITOLSZJ,O,X,O,O,O,X,X,X
ITOLZJS,O,X,O,X,O,O,X,X
ITOLZSJ,O,X,O,O,O,O,X,X
ITOJLSZ,O,X,O,O,X,X,X,X
ITOJLZS,O,X,O,O,O,X,X,X
ITOJSLZ,O,X,O,X,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X
ITOJZLS,O,X,O,X,O,O,X,X
ITOJZSL,X,X,X,O,X,O,X,X
ITOSLJZ,O,X,O,X,X,X,X,X
ITOSLZJ,O,X,O,O,O,X,X,X
ITOSJLZ,O,X,O,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X
ITOSZLJ,O,X,X,X,O,O,X,X
ITOSZJL,O,X,X,X,X,O,X,X
ITOZLJS,O,X,O,X,O,O,X,X
ITOZLSJ,O,X,O,X,O,O,X,X
ITOZJLS,O,X,O,X,O,O,X,X
ITOZJSL,X,X,X,X,X,O,X,X
ITOZSLJ,O,X,X,X,O,O,X,X
ITOZSJL,O,X,X,X,X,O,X,X
ILTJSZO,O,X,X,O,X,X,X,X
ILTJSOZ,O,X,O,O,X,X,X,X
ILTJZSO,X,X,O,O,O,X,X,X
ILTJZOS,O,X,O,O,O,X,X,X
ILTJOSZ,O,X,O,O,X,X,X,X
ILTJOZS,O,X,O,O,O,X,X,X
ILTSJZO,O,X,X,O,X,X,X,X
ILTSJOZ,O,X,O,O,X,X,X,X
ILTSZJO,O,X,O,O,O,X,X,X
ILTSZOJ,O,X,O,O,O,X,X,X
ILTSOJZ,O,X,O,X,X,X,X,X
ILTSOZJ,O,X,O,O,O,X,X,X
ILTZJSO,X,X,O,X,O,O,X,X
ILTZJOS,O,X,O,X,O,O,X,X
ILTZSJO,O,X,O,O,O,O,X,X
ILTZSOJ,O,X,O,O,O,O,X,X
ILTZOJS,O,X,O,X,O,O,X,X
ILTZOSJ,O,X,O,O,O,O,X,X
ILTOJSZ,O,X,O,X,X,X,X,X
ILTOJZS,O,X,O,X,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X
ILTOSZJ,O,X,O,O,O,X,X,X
ILTOZJS,O,X,O,X,O,O,X,X
ILTOZSJ,O,X,O,O,O,O,X,X
ILJTSZO,O,X,X,O,X,X,X,X
ILJTSOZ,O,X,O,O,X,X,X,X
ILJTZSO,X,X,O,O,X,X,X,X
ILJTZOS,O,X,O,O,X,X,X,X
ILJTOSZ,O,X,O,O,X,X,X,X
ILJTOZS,O,X,O,O,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X,O,X
ILJSZOT,X,X,X,O,X,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X
ILJSOZT,X,X,X,O,X,X,X,X
ILJZTSO,X,X,O,O,X,X,X,X
ILJZTOS,X,X,O,O,X,X,X,X
ILJZSTO,X,X,X,O,X,X,O,X
ILJZSOT,X,X,X,O,O,X,X,X
ILJZOTS,X,X,O,O,X,X,X,X
ILJZOST,X,X,X,O,O,X,X,X
ILJOTSZ,O,X,O,O,X,X,X,X
ILJOTZS,O,X,O,O,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X
ILJOSZT,X,X,X,O,X,X,X,X
ILJOZTS,X,X,O,O,X,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,O,X,X,O,X,X,X,X
ILSTJOZ,O,X,O,O,X,X,X,X
ILSTZJO,O,X,O,O,X,X,X,X
ILSTZOJ,O,X,O,O,X,X,X,X
ILSTOJZ,O,X,O,X,X,X,X,X
ILSTOZJ,O,X,O,O,X,X,X,X
ILSJTZO,O,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,O,X,X,X,X
ILSJZTO,X,X,X,O,X,X,O,X
ILSJZOT,X,X,X,O,X,X,X,X
ILSJOTZ,O,X,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,X,X,X
ILSZTJO,O,X,O,O,X,X,O,X
ILSZTOJ,O,X,O,O,O,X,X,X
ILSZJTO,X,X,X,O,X,X,O,X
ILSZJOT,X,X,X,O,O,X,X,X
ILSZOTJ,O,X,O,O,O,X,X,X
ILSZOJT,X,X,X,O,O,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X,X
ILSOJTZ,O,X,X,O,X,X,X,X
ILSOJZT,X,X,X,O,X,X,X,X
ILSOZTJ,O,X,O,O,O,X,X,X
ILSOZJT,X,X,X,O,O,X,X,X
ILZTJSO,X,X,O,X,O,O,X,X
ILZTJOS,O,X,O,X,O,O,X,X
ILZTSJO,O,X,O,O,O,O,X,X
ILZTSOJ,O,X,O,O,O,O,X,X
ILZTOJS,O,X,O,X,O,O,X,X
ILZTOSJ,O,X,O,O,O,O,X,X
ILZJTSO,X,X,O,O,X,X,X,X
ILZJTOS,X,X,O,O,X,X,X,X
ILZJSTO,X,X,X,O,X,X,O,X
ILZJSOT,X,X,X,O,O,X,X,X
ILZJOTS,X,X,O,O,X,X,X,X
ILZJOST,X,X,X,O,O,X,X,X
ILZSTJO,O,X,O,O,X,X,O,X
ILZSTOJ,O,X,O,O,O,X,X,X
ILZSJTO,X,X,X,O,X,X,O,X
ILZSJOT,X,X,X,O,O,X,X,X
ILZSOTJ,O,X,O,O,O,X,X,X
ILZSOJT,X,X,X,O,O,X,X,X
ILZOTJS,O,X,O,X,O,O,X,X
ILZOTSJ,O,X,O,O,O,O,X,X
ILZOJTS,X,X,O,X,X,X,X,X
ILZOJST,X,X,X,O,O,X,X,X
ILZOSTJ,O,X,O,O,O,X,X,X
ILZOSJT,X,X,X,O,O,X,X,X
ILOTJSZ,O,X,O,X,X,X,X,X
ILOTJZS,O,X,O,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X
ILOTSZJ,O,X,O,O,O,X,X,X
ILOTZJS,O,X,O,X,O,O,X,X
ILOTZSJ,O,X,O,O,O,O,X,X
ILOJTSZ,O,X,O,O,X,X,X,X
ILOJTZS,O,X,O,O,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,X
ILOJZTS,X,X,O,O,X,X,X,X
ILOJZST,X,X,X,O,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X,X
ILOSJTZ,O,X,X,O,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X
ILOSZTJ,O,X,O,O,O,X,X,X
ILOSZJT,X,X,X,O,O,X,X,X
ILOZTJS,O,X,O,X,O,O,X,X
ILOZTSJ,O,X,O,O,O,O,X,X
ILOZJTS,X,X,O,X,X,X,X,X
ILOZJST,X,X,X,O,O,X,X,X
ILOZSTJ,O,X,O,O,O,X,X,X
ILOZSJT,X,X,X,O,O,X,X,X
IJTLSZO,O,X,X,O,X,X,X,X
IJTLSOZ,O,X,O,O,X,X,X,X
IJTLZSO,X,O,O,O,O,X,X,X
IJTLZOS,O,O,O,O,O,X,X,X
IJTLOSZ,O,X,O,O,X,X,X,X
IJTLOZS,O,X,O,O,O,X,X,X
IJTSLZO,O,O,X,X,X,X,X,X
IJTSLOZ,O,X,O,X,X,X,X,X
IJTSZLO,O,O,X,O,X,X,O,X
IJTSZOL,O,O,X,O,X,X,O,X
IJTSOLZ,O,X,O,X,X,X,X,X
IJTSOZL,O,O,X,O,X,X,X,X
IJTZLSO,X,O,X,X,O,O,X,X
IJTZLOS,O,O,O,X,O,O,X,X
IJTZSLO,X,O,X,O,X,O,O,X
IJTZSOL,X,O,X,O,X,O,O,X
IJTZOLS,O,O,O,X,O,O,X,X
IJTZOSL,X,X,X,O,X,O,X,X
IJTOLSZ,O,X,O,O,X,X,X,X
IJTOLZS,O,X,O,O,O,X,X,X
IJTOSLZ,O,X,O,X,X,X,X,X
IJTOSZL,O,X,X,O,X,X,X,X
IJTOZLS,O,O,O,X,O,O,X,X
IJTOZSL,X,X,X,O,X,O,X,X
IJLTSZO,O,X,X,O,X,X,X,X
IJLTSOZ,O,X,O,O,X,X,X,X
IJLTZSO,X,X,O,O,X,X,X,X
IJLTZOS,O,X,O,O,X,X,X,X
IJLTOSZ,O,X,O,O,X,X,X,X
IJLTOZS,O,X,O,O,X,X,X,X
IJLSTZO,O,X,X,O,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,X
IJLSZTO,X,X,X,O,X,X,O,X
IJLSZOT,X,X,X,O,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X
IJLSOZT,X,X,X,O,X,X,X,X
IJLZTSO,X,X,O,O,X,X,X,X
IJLZTOS,X,X,O,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X,O,X
IJLZSOT,X,X,X,O,O,X,X,X
IJLZOTS,X,X,O,O,X,X,X,X
IJLZOST,X,X,X,O,O,X,X,X
IJLOTSZ,O,X,O,O,X,X,X,X
IJLOTZS,O,X,O,O,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X
IJLOSZT,X,X,X,O,X,X,X,X
IJLOZTS,X,X,O,O,X,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,O,O,X,O,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X
IJSTZLO,O,O,X,O,X,X,O,X
IJSTZOL,O,O,X,O,X,X,O,X
IJSTOLZ,O,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,X,X,X,X
IJSLTZO,O,X,X,O,X,X,X,X
IJSLTOZ,O,X,X,O,X,X,X,X
IJSLZTO,X,O,X,O,X,X,O,X
IJSLZOT,X,O,X,O,X,X,X,X
IJSLOTZ,O,X,X,O,X,X,X,X
IJSLOZT,X,X,X,O,X,X,X,X
IJSZTLO,X,O,X,O,X,X,O,X
IJSZTOL,X,O,X,O,X,X,O,X
IJSZLTO,X,O,X,O,X,X,O,X
IJSZLOT,X,O,X,O,X,X,X,X
IJSZOTL,X,X,X,O,X,X,O,X
IJSZOLT,X,O,X,O,X,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,X
IJSOTZL,O,X,X,O,X,X,X,X
IJSOLTZ,O,X,X,O,X,X,X,X
IJSOLZT,X,X,X,O,X,X,X,X
IJSOZTL,X,X,X,O,X,X,O,X
IJSOZLT,X,O,X,O,X,X,X,X
IJZTLSO,X,O,X,X,O,O,X,X
IJZTLOS,X,O,X,X,O,O,X,X
IJZTSLO,X,O,X,O,X,O,O,X
IJZTSOL,X,O,X,O,X,O,O,X
IJZTOLS,X,O,X,X,O,O,X,X
IJZTOSL,X,X,X,O,X,O,X,X
IJZLTSO,X,O,O,O,X,X,X,X
IJZLTOS,X,O,O,O,X,X,X,X
IJZLSTO,X,O,X,O,X,X,O,X
IJZLSOT,X,O,X,O,O,X,X,X
IJZLOTS,X,O,O,O,X,X,X,X
IJZLOST,X,O,X,O,O,X,X,X
IJZSTLO,X,O,X,O,X,X,O,X
IJZSTOL,X,O,X,O,X,X,O,X
IJZSLTO,X,O,X,O,X,X,O,X
IJZSLOT,X,O,X,O,O,X,X,X
IJZSOTL,X,X,X,O,X,X,O,X
IJZSOLT,X,O,X,O,O,X,X,X
IJZOTLS,X,O,X,X,O,O,X,X
IJZOTSL,X,O,X,O,X,O,X,X
IJZOLTS,X,O,O,O,X,X,X,X
IJZOLST,X,O,X,O,O,X,X,X
IJZOSTL,X,O,X,O,X,X,O,X
IJZOSLT,X,O,X,O,O,X,X,X
IJOTLSZ,O,X,O,O,X,X,X,O
IJOTLZS,O,O,O,O,O,X,X,O
IJOTSLZ,O,O,O,X,X,X,X,O
IJOTSZL,O,O,X,O,X,X,X,X
IJOTZLS,O,O,O,X,O,O,X,O
IJOTZSL,X,O,X,O,X,O,X,X
IJOLTSZ,O,X,O,O,X,X,X,X
IJOLTZS,O,X,O,O,X,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,X,X,X,X
IJOLZTS,X,X,O,O,X,X,X,X
IJOLZST,X,X,X,O,O,X,X,X
IJOSTLZ,O,O,X,X,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X
IJOSLZT,X,O,X,O,X,X,X,X
IJOSZTL,X,O,X,O,X,X,O,X
IJOSZLT,X,O,X,O,X,X,X,X
IJOZTLS,X,O,X,X,O,O,X,X
IJOZTSL,X,O,X,O,X,O,X,X
IJOZLTS,X,O,O,O,X,X,X,X
IJOZLST,X,O,X,O,O,X,X,X
IJOZSTL,X,O,X,O,X,X,O,X
IJOZSLT,X,O,X,O,O,X,X,X
ISTLJZO,O,X,X,O,X,X,X,X
ISTLJOZ,O,X,O,O,X,X,X,X
ISTLZJO,O,X,O,O,O,X,X,X
ISTLZOJ,O,X,O,O,O,X,X,X
ISTLOJZ,O,X,O,X,X,X,X,X
ISTLOZJ,O,X,O,O,O,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X
ISTJLOZ,O,X,O,X,X,X,X,X
ISTJZLO,O,O,X,O,X,X,O,X
ISTJZOL,O,X,X,O,X,X,O,X
ISTJOLZ,O,X,O,X,X,X,X,X
ISTJOZL,O,X,X,O,X,X,X,X
ISTZLJO,O,O,X,O,O,O,O,X
ISTZLOJ,O,O,X,O,O,O,X,X
ISTZJLO,O,O,X,X,X,O,O,X
ISTZJOL,O,X,X,X,X,O,O,X
ISTZOLJ,O,X,X,X,O,O,X,X
ISTZOJL,O,X,X,X,X,O,O,X
ISTOLJZ,O,X,O,X,X,X,X,X
ISTOLZJ,O,X,O,O,O,X,X,X
ISTOJLZ,O,X,O,X,X,X,X,X
ISTOJZL,O,O,X,O,X,X,X,X
ISTOZLJ,O,O,X,X,O,O,X,X
