sequence,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhF3gBzhBGjByqBUo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBemBzhBfoB6o?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBUiBGjBTlBfs?BVyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFzgBUiBFjB2qBfs?BSyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBmhBCjBXmBTo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFUhBFiBXjBTlBSt?BmrB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBymBziB+oBXm?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBFiB8nB+oBTl?BfsB
TZJOLIS,O,O,O,X,O,X,O,X
TZJOLSI,O,O,O,X,O,X,O,X
TZJOSIL,O,O,O,X,O,X,O,X
TZJOSLI,O,O,O,X,O,X,O,X
TZSILJO,O,O,O,X,O,X,O,X
TZSILOJ,O,O,O,X,O,X,X,X
TZSIJLO,O,O,O,X,O,X,O,X
TZSIJOL,O,O,O,X,O,X,O,X
TZSIOLJ,O,O,O,X,O,X,X,X
TZSIOJL,O,O,O,X,O,X,X,X
TZSLIJO,O,O,O,X,O,X,O,X
TZSLIOJ,O,O,O,X,O,X,X,X
TZSLJIO,O,O,O,X,O,X,O,X
TZSLJOI,O,O,O,X,O,X,O,X
TZSLOIJ,O,O,O,X,O,X,X,X
TZSLOJI,O,O,O,X,O,X,X,X
TZSJILO,O,O,O,X,O,X,O,X
TZSJIOL,O,O,O,X,O,X,O,X
TZSJLIO,O,O,O,X,O,X,O,X
TZSJLOI,O,O,O,X,O,X,O,X
TZSJOIL,O,O,O,X,O,X,O,X
TZSJOLI,O,O,O,X,O,X,O,X
TZSOILJ,O,O,O,X,O,X,X,X
TZSOIJL,O,O,O,X,O,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,X
TZSOLJI,O,O,O,X,O,X,X,X
TZSOJIL,O,O,O,X,O,X,X,X
TZSOJLI,O,O,O,X,O,X,X,X
TZOILJS,O,X,O,X,O,X,O,X
TZOILSJ,O,X,O,X,O,X,X,X
TZOIJLS,O,O,O,X,O,X,O,X
TZOIJSL,O,O,O,X,O,X,O,X
TZOISLJ,O,O,O,X,O,X,X,X
TZOISJL,O,O,O,X,O,X,X,X
TZOLIJS,O,X,O,X,O,X,O,X
TZOLISJ,O,X,O,X,O,X,X,X
TZOLJIS,O,X,O,X,O,X,O,X
TZOLJSI,O,X,O,X,O,X,O,X
TZOLSIJ,O,X,O,X,O,X,X,X
TZOLSJI,O,X,O,X,O,X,X,X
TZOJILS,O,O,O,X,O,X,O,X
TZOJISL,O,O,O,X,O,X,O,X
TZOJLIS,O,O,O,X,O,X,O,X
TZOJLSI,O,O,O,X,O,X,O,X
TZOJSIL,O,O,O,X,O,X,O,X
TZOJSLI,O,O,O,X,O,X,O,X
TZOSILJ,O,O,O,X,O,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X
TZOSLIJ,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,X,O,X,X,X
TZOSJIL,O,O,O,X,O,X,X,X
TZOSJLI,O,O,O,X,O,X,X,X
TOILJSZ,O,X,O,X,X,O,O,O
TOILJZS,O,X,O,X,O,O,O,O
TOILSJZ,O,X,O,X,X,O,X,O
TOILSZJ,O,X,O,X,O,O,X,X
TOILZJS,O,X,O,X,O,O,O,X
TOILZSJ,O,X,O,X,O,O,X,X
TOIJLSZ,O,X,O,X,X,O,O,O
TOIJLZS,O,X,O,X,O,O,O,O
TOIJSLZ,X,X,O,X,X,O,O,O
TOIJSZL,X,X,O,X,X,O,O,O
TOIJZLS,O,X,O,X,O,O,O,O
TOIJZSL,O,X,O,X,O,O,O,O
TOISLJZ,O,X,O,X,X,X,X,O
TOISLZJ,O,O,O,X,O,X,X,X
TOISJLZ,X,X,O,X,X,X,X,O
TOISJZL,X,X,O,X,X,X,X,O
TOISZLJ,O,O,O,X,O,X,X,X
TOISZJL,O,O,O,X,O,X,X,X
TOIZLJS,O,X,O,X,O,O,O,X
TOIZLSJ,O,X,O,X,O,O,X,X
TOIZJLS,O,O,O,X,O,O,O,X
TOIZJSL,O,O,O,X,O,O,O,X
TOIZSLJ,O,O,O,X,O,O,X,X
TOIZSJL,O,O,O,X,O,X,X,X
TOLIJSZ,O,X,O,X,X,O,O,O
TOLIJZS,O,X,O,X,O,O,O,O
TOLISJZ,O,X,O,X,X,O,X,O
TOLISZJ,O,X,O,X,O,O,X,X
TOLIZJS,O,X,O,X,O,O,O,X
TOLIZSJ,O,X,O,X,O,O,X,X
TOLJISZ,O,X,O,X,X,O,O,O
TOLJIZS,O,X,O,X,O,O,O,O
TOLJSIZ,O,X,O,X,X,O,O,O
TOLJSZI,O,X,O,X,X,O,O,O
TOLJZIS,O,X,O,X,O,O,O,O
TOLJZSI,O,X,O,X,O,O,O,O
TOLSIJZ,O,X,O,X,X,O,X,O
TOLSIZJ,O,X,O,X,O,O,X,X
TOLSJIZ,O,X,O,X,X,O,X,O
TOLSJZI,O,X,O,X,X,O,X,O
TOLSZIJ,O,X,O,X,O,O,X,X
TOLSZJI,O,X,O,X,O,O,X,X
TOLZIJS,O,X,O,X,O,O,O,X
TOLZISJ,O,X,O,X,O,O,X,X
TOLZJIS,O,X,O,X,O,O,O,X
TOLZJSI,O,X,O,X,O,O,O,X
TOLZSIJ,O,X,O,X,O,O,X,X
TOLZSJI,O,X,O,X,O,O,X,X
TOJILSZ,O,X,O,X,X,O,O,O
TOJILZS,O,X,O,X,O,O,O,O
TOJISLZ,X,X,O,X,X,O,O,O
TOJISZL,X,X,O,X,X,O,O,O
TOJIZLS,O,X,O,X,O,O,O,O
TOJIZSL,O,X,O,X,O,O,O,O
TOJLISZ,O,X,O,X,X,O,O,O
TOJLIZS,O,X,O,X,O,O,O,O
TOJLSIZ,O,X,O,X,X,O,O,O
TOJLSZI,O,X,O,X,X,O,O,O
TOJLZIS,O,X,O,X,O,O,O,O
TOJLZSI,O,X,O,X,O,O,O,O
TOJSILZ,X,X,O,X,X,O,O,O
TOJSIZL,X,X,O,X,X,O,O,O
TOJSLIZ,X,X,O,X,X,O,O,O
TOJSLZI,X,X,O,X,X,O,O,O
TOJSZIL,X,X,O,X,X,O,O,O
TOJSZLI,X,X,O,X,X,O,O,O
TOJZILS,O,X,O,X,O,O,O,O
TOJZISL,O,X,O,X,O,O,O,O
TOJZLIS,O,X,O,X,O,O,O,O
TOJZLSI,O,X,O,X,O,O,O,O
TOJZSIL,O,X,O,X,O,O,O,O
TOJZSLI,O,X,O,X,O,O,O,O
TOSILJZ,O,X,O,X,X,X,X,O
TOSILZJ,O,O,O,X,O,X,X,X
TOSIJLZ,X,X,O,X,X,X,X,O
TOSIJZL,X,X,O,X,X,X,X,O
TOSIZLJ,O,O,O,X,O,X,X,X
TOSIZJL,O,O,O,X,O,X,X,X
TOSLIJZ,O,X,O,X,X,X,X,O
TOSLIZJ,O,O,O,X,O,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,O
TOSLJZI,O,X,O,X,X,X,X,O
TOSLZIJ,O,O,O,X,O,X,X,X
TOSLZJI,O,O,O,X,O,X,X,X
TOSJILZ,X,X,O,X,X,X,X,O
TOSJIZL,X,X,O,X,X,X,X,O
TOSJLIZ,X,X,O,X,X,X,X,O
TOSJLZI,X,X,O,X,X,X,X,O
TOSJZIL,X,X,O,X,X,X,X,O
TOSJZLI,X,X,O,X,X,X,X,O
TOSZILJ,O,O,O,X,O,X,X,X
TOSZIJL,O,O,O,X,O,X,X,X
TOSZLIJ,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,X,O,X,X,X
TOSZJIL,O,O,O,X,O,X,X,X
TOSZJLI,O,O,O,X,O,X,X,X
TOZILJS,O,X,O,X,O,O,O,X
TOZILSJ,O,X,O,X,O,O,X,X
TOZIJLS,O,O,O,X,O,O,O,X
TOZIJSL,O,O,O,X,O,O,O,X
TOZISLJ,O,O,O,X,O,O,X,X
TOZISJL,O,O,O,X,O,X,X,X
TOZLIJS,O,X,O,X,O,O,O,X
TOZLISJ,O,X,O,X,O,O,X,X
TOZLJIS,O,X,O,X,O,O,O,X
TOZLJSI,O,X,O,X,O,O,O,X
TOZLSIJ,O,X,O,X,O,O,X,X
TOZLSJI,O,X,O,X,O,O,X,X
TOZJILS,O,O,O,X,O,O,O,X
TOZJISL,O,O,O,X,O,O,O,X
TOZJLIS,O,O,O,X,O,O,O,X
TOZJLSI,O,O,O,X,O,O,O,X
TOZJSIL,O,O,O,X,O,O,O,X
TOZJSLI,O,O,O,X,O,O,O,X
TOZSILJ,O,O,O,X,O,O,X,X
TOZSIJL,O,O,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,O,O,X,X
TOZSLJI,O,O,O,X,O,O,X,X
TOZSJIL,O,O,O,X,O,X,X,X
TOZSJLI,O,O,O,X,O,X,X,X
ITLJSZO,O,X,O,O,X,O,O,O
ITLJSOZ,O,X,O,O,X,O,O,X
ITLJZSO,O,X,O,O,O,O,O,O
ITLJZOS,O,X,X,O,O,O,O,X
ITLJOSZ,O,X,O,O,X,O,O,X
ITLJOZS,O,X,O,O,X,O,O,X
ITLSJZO,O,O,O,O,X,O,O,O
ITLSJOZ,O,X,O,O,X,O,O,X
ITLSZJO,O,O,O,O,O,O,O,X
ITLSZOJ,O,O,O,O,X,O,X,X
ITLSOJZ,O,X,O,O,X,O,X,X
ITLSOZJ,O,O,O,O,X,O,X,X
ITLZJSO,O,O,O,O,O,X,O,X
ITLZJOS,O,O,X,O,O,X,O,X
ITLZSJO,O,O,O,O,O,X,O,X
ITLZSOJ,O,O,O,O,X,X,X,X
ITLZOJS,O,X,X,X,O,X,O,X
ITLZOSJ,O,X,X,X,O,X,X,X
ITLOJSZ,O,X,O,O,X,O,O,X
ITLOJZS,O,X,O,O,O,O,O,X
ITLOSJZ,O,X,O,O,X,O,X,X
ITLOSZJ,O,X,O,O,O,O,X,X
ITLOZJS,O,X,O,X,O,O,O,X
ITLOZSJ,O,X,O,X,O,O,X,X
ITJLSZO,O,X,O,O,X,O,O,O
ITJLSOZ,O,X,O,O,X,O,O,X
ITJLZSO,O,X,O,O,O,O,O,O
ITJLZOS,O,X,X,O,O,O,O,X
ITJLOSZ,O,X,O,O,X,O,O,X
ITJLOZS,O,X,O,O,X,O,O,X
ITJSLZO,X,O,O,O,X,O,O,O
ITJSLOZ,X,X,O,O,X,O,O,X
ITJSZLO,X,O,O,O,X,O,O,O
ITJSZOL,X,O,O,O,X,X,O,O
ITJSOLZ,X,X,O,O,X,X,O,O
ITJSOZL,X,X,O,O,X,X,O,O
ITJZLSO,O,O,O,X,O,O,O,O
ITJZLOS,O,O,X,X,O,O,O,X
ITJZSLO,O,O,O,X,O,O,O,O
ITJZSOL,O,O,O,X,O,X,O,O
ITJZOLS,O,O,O,X,O,O,O,O
ITJZOSL,O,O,O,X,O,X,O,O
ITJOLSZ,O,X,O,O,X,O,O,O
ITJOLZS,O,X,O,O,O,O,O,O
ITJOSLZ,X,X,O,O,X,X,O,O
ITJOSZL,X,X,O,O,X,X,O,O
ITJOZLS,O,X,O,X,O,O,O,O
ITJOZSL,O,X,O,X,O,X,O,O
ITSLJZO,O,O,O,O,X,X,O,O
ITSLJOZ,O,X,O,O,X,X,O,X
ITSLZJO,O,O,O,O,O,X,O,X
ITSLZOJ,O,O,O,O,X,X,X,X
ITSLOJZ,O,X,O,O,X,X,X,X
ITSLOZJ,O,O,O,O,X,X,X,X
ITSJLZO,X,O,O,O,X,X,O,O
ITSJLOZ,X,X,O,O,X,X,O,X
ITSJZLO,X,O,O,O,X,X,O,O
ITSJZOL,X,O,O,O,X,X,O,O
ITSJOLZ,X,X,O,O,X,X,O,O
ITSJOZL,X,X,O,O,X,X,O,O
ITSZLJO,O,O,O,O,O,X,O,X
ITSZLOJ,O,O,O,O,X,X,X,X
ITSZJLO,O,O,O,O,O,X,O,X
ITSZJOL,O,O,O,O,O,X,O,X
ITSZOLJ,O,O,O,X,O,X,X,X
ITSZOJL,O,O,O,O,O,X,X,X
ITSOLJZ,O,X,O,X,X,X,X,O
ITSOLZJ,O,O,O,X,O,X,X,X
ITSOJLZ,X,X,O,X,X,X,X,O
ITSOJZL,X,X,O,X,X,X,X,O
ITSOZLJ,O,O,O,X,O,X,X,X
ITSOZJL,O,O,O,X,O,X,X,X
ITZLJSO,O,O,O,X,O,X,O,X
ITZLJOS,O,O,X,X,O,X,O,X
ITZLSJO,O,O,O,X,O,X,O,X
ITZLSOJ,O,O,O,X,X,X,X,X
ITZLOJS,O,X,X,X,O,X,O,X
ITZLOSJ,O,X,X,X,O,X,X,X
ITZJLSO,O,O,O,X,O,X,O,X
ITZJLOS,O,O,X,X,O,X,O,X
ITZJSLO,O,O,O,X,O,X,O,X
ITZJSOL,O,O,O,X,O,X,O,X
ITZJOLS,O,O,O,X,O,X,O,X
ITZJOSL,O,O,O,X,O,X,O,X
ITZSLJO,O,O,O,X,O,X,O,X
ITZSLOJ,O,O,O,X,O,X,X,X
ITZSJLO,O,O,O,X,O,X,O,X
ITZSJOL,O,O,O,X,O,X,O,X
ITZSOLJ,O,O,O,X,O,X,X,X
ITZSOJL,O,O,O,X,O,X,X,X
ITZOLJS,O,X,O,X,O,X,O,X
ITZOLSJ,O,X,O,X,O,X,X,X
ITZOJLS,O,O,O,X,O,X,O,X
ITZOJSL,O,O,O,X,O,X,O,X
ITZOSLJ,O,O,O,X,O,X,X,X
ITZOSJL,O,O,O,X,O,X,X,X
ITOLJSZ,O,X,O,X,X,O,O,O
ITOLJZS,O,X,O,X,O,O,O,O
ITOLSJZ,O,X,O,X,X,O,X,O
ITOLSZJ,O,X,O,X,O,O,X,X
ITOLZJS,O,X,O,X,O,O,O,X
ITOLZSJ,O,X,O,X,O,O,X,X
ITOJLSZ,O,X,O,X,X,O,O,O
ITOJLZS,O,X,O,X,O,O,O,O
ITOJSLZ,X,X,O,X,X,O,O,O
ITOJSZL,X,X,O,X,X,O,O,O
ITOJZLS,O,X,O,X,O,O,O,O
ITOJZSL,O,X,O,X,O,O,O,O
ITOSLJZ,O,X,O,X,X,X,X,O
ITOSLZJ,O,O,O,X,O,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,O
ITOSJZL,X,X,O,X,X,X,X,O
ITOSZLJ,O,O,O,X,O,X,X,X
ITOSZJL,O,O,O,X,O,X,X,X
ITOZLJS,O,X,O,X,O,O,O,X
ITOZLSJ,O,X,O,X,O,O,X,X
ITOZJLS,O,O,O,X,O,O,O,X
ITOZJSL,O,O,O,X,O,O,O,X
ITOZSLJ,O,O,O,X,O,O,X,X
ITOZSJL,O,O,O,X,O,X,X,X
ILTJSZO,O,X,O,O,X,O,O,O
ILTJSOZ,O,X,O,O,X,O,O,X
ILTJZSO,O,X,O,O,O,O,O,O
ILTJZOS,O,X,X,O,O,O,O,X
ILTJOSZ,O,X,O,O,X,O,O,X
ILTJOZS,O,X,O,O,X,O,O,X
ILTSJZO,O,O,O,O,X,O,O,O
ILTSJOZ,O,X,O,O,X,O,O,X
ILTSZJO,O,O,O,O,O,O,O,X
ILTSZOJ,O,O,O,O,X,O,X,X
ILTSOJZ,O,X,O,O,X,O,X,X
ILTSOZJ,O,O,O,O,X,O,X,X
ILTZJSO,O,O,O,O,O,X,O,X
ILTZJOS,O,O,X,O,O,X,O,X
ILTZSJO,O,O,O,O,O,X,O,X
ILTZSOJ,O,O,O,O,X,X,X,X
ILTZOJS,O,X,X,X,O,X,O,X
ILTZOSJ,O,X,X,X,O,X,X,X
ILTOJSZ,O,X,O,O,X,O,O,X
ILTOJZS,O,X,O,O,O,O,O,X
ILTOSJZ,O,X,O,O,X,O,X,X
ILTOSZJ,O,X,O,O,O,O,X,X
ILTOZJS,O,X,O,X,O,O,O,X
ILTOZSJ,O,X,O,X,O,O,X,X
ILJTSZO,O,X,O,O,X,O,O,O
ILJTSOZ,O,X,O,O,X,O,O,X
ILJTZSO,O,X,O,O,X,O,O,O
ILJTZOS,O,X,X,O,X,O,O,X
ILJTOSZ,O,X,O,O,X,O,O,X
ILJTOZS,O,X,X,O,X,O,O,X
ILJSTZO,O,O,O,O,X,O,X,O
ILJSTOZ,O,X,O,O,X,O,X,X
ILJSZTO,O,O,O,O,X,O,X,O
ILJSZOT,O,O,X,O,X,O,X,O
ILJSOTZ,X,X,X,O,X,O,X,O
ILJSOZT,X,X,X,O,X,O,X,O
ILJZTSO,O,O,X,O,X,O,O,O
ILJZTOS,O,X,X,O,X,O,O,X
ILJZSTO,O,O,X,O,X,O,X,O
ILJZSOT,O,O,X,O,X,O,X,O
ILJZOTS,O,X,X,O,X,O,O,O
ILJZOST,O,O,X,O,X,O,X,O
ILJOTSZ,X,X,X,O,X,O,O,O
ILJOTZS,X,X,X,O,X,O,O,O
ILJOSTZ,X,X,X,O,X,O,X,O
ILJOSZT,X,X,X,O,X,O,X,O
ILJOZTS,X,X,X,O,X,O,O,O
ILJOZST,X,X,X,O,X,O,X,O
ILSTJZO,O,O,O,O,X,O,X,O
ILSTJOZ,O,X,O,O,X,O,X,X
ILSTZJO,O,O,O,O,X,O,X,X
ILSTZOJ,O,O,O,O,X,O,X,X
ILSTOJZ,O,X,O,O,X,O,X,X
ILSTOZJ,O,O,O,O,X,O,X,X
ILSJTZO,O,O,O,O,X,O,X,O
ILSJTOZ,O,X,O,O,X,O,X,X
ILSJZTO,O,O,O,O,X,O,X,O
ILSJZOT,O,O,X,O,X,O,X,O
ILSJOTZ,X,X,X,O,X,O,X,O
ILSJOZT,X,X,X,O,X,O,X,O
ILSZTJO,O,O,O,O,X,O,X,X
ILSZTOJ,O,O,O,O,X,O,X,X
ILSZJTO,O,O,O,O,X,O,X,O
ILSZJOT,O,O,X,O,X,O,X,O
ILSZOTJ,O,O,O,O,X,O,X,X
ILSZOJT,O,O,O,O,X,O,X,X
ILSOTJZ,O,X,O,O,X,O,X,O
ILSOTZJ,O,O,O,O,X,O,X,X
ILSOJTZ,X,X,O,O,X,O,X,O
ILSOJZT,X,X,O,O,X,O,X,O
ILSOZTJ,O,O,O,O,X,O,X,X
ILSOZJT,O,O,O,O,X,O,X,O
ILZTJSO,O,O,O,O,O,X,O,X
ILZTJOS,O,O,X,O,O,X,O,X
ILZTSJO,O,O,O,O,O,X,O,X
ILZTSOJ,O,O,O,O,X,X,X,X
ILZTOJS,O,X,X,X,O,X,O,X
ILZTOSJ,O,X,X,X,O,X,X,X
ILZJTSO,O,O,X,O,X,O,O,O
ILZJTOS,O,O,X,O,X,O,O,X
ILZJSTO,O,O,X,O,X,O,X,O
ILZJSOT,O,O,X,O,X,O,X,O
ILZJOTS,O,X,X,O,X,O,O,X
ILZJOST,O,O,X,O,X,O,X,O
ILZSTJO,O,O,O,O,O,O,X,X
ILZSTOJ,O,O,O,O,O,O,X,X
ILZSJTO,O,O,O,O,X,O,X,O
ILZSJOT,O,O,X,O,O,O,X,O
ILZSOTJ,O,O,O,O,O,O,X,X
ILZSOJT,O,O,X,O,O,O,X,X
ILZOTJS,O,X,X,X,O,O,X,X
ILZOTSJ,O,X,X,X,O,O,X,X
ILZOJTS,O,X,X,X,O,O,X,X
ILZOJST,O,O,X,X,O,O,X,X
ILZOSTJ,O,O,X,X,O,O,X,X
ILZOSJT,O,O,X,X,O,O,X,X
ILOTJSZ,O,X,O,O,X,O,X,O
ILOTJZS,O,X,O,O,O,O,X,O
ILOTSJZ,O,X,O,O,X,O,X,O
ILOTSZJ,O,X,O,O,O,O,X,X
ILOTZJS,O,X,O,X,O,O,X,X
ILOTZSJ,O,X,O,X,O,O,X,X
ILOJTSZ,X,X,O,O,X,O,X,O
ILOJTZS,X,X,O,O,O,O,X,O
ILOJSTZ,X,X,O,O,X,O,X,O
ILOJSZT,X,X,O,O,X,O,X,O
ILOJZTS,X,X,X,O,O,O,X,O
ILOJZST,X,X,X,O,O,O,X,O
ILOSTJZ,O,X,O,O,X,O,X,O
ILOSTZJ,O,O,O,O,O,O,X,X
ILOSJTZ,X,X,O,O,X,O,X,O
ILOSJZT,X,X,O,O,X,O,X,O
ILOSZTJ,O,O,O,O,O,O,X,X
ILOSZJT,O,O,O,O,O,O,X,O
ILOZTJS,O,X,O,X,O,O,X,X
ILOZTSJ,O,X,O,X,O,O,X,X
ILOZJTS,O,X,X,X,O,O,X,O
ILOZJST,O,O,X,X,O,O,X,O
ILOZSTJ,O,O,O,X,O,O,X,X
ILOZSJT,O,O,O,X,O,O,X,O
IJTLSZO,O,X,O,O,X,O,O,O
IJTLSOZ,O,X,O,O,X,O,O,X
IJTLZSO,O,X,O,O,O,O,O,O
IJTLZOS,O,X,X,O,O,O,O,X
IJTLOSZ,O,X,O,O,X,O,O,X
IJTLOZS,O,X,O,O,X,O,O,X
IJTSLZO,X,O,O,O,X,O,O,O
IJTSLOZ,X,X,O,O,X,O,O,X
IJTSZLO,X,O,O,O,X,O,O,O
IJTSZOL,X,O,O,O,X,X,O,O
IJTSOLZ,X,X,O,O,X,X,O,O
IJTSOZL,X,X,O,O,X,X,O,O
IJTZLSO,O,O,O,X,O,O,O,O
IJTZLOS,O,O,X,X,O,O,O,X
IJTZSLO,O,O,O,X,O,O,O,O
IJTZSOL,O,O,O,X,O,X,O,O
IJTZOLS,O,O,O,X,O,O,O,O
IJTZOSL,O,O,O,X,O,X,O,O
IJTOLSZ,O,X,O,O,X,O,O,O
IJTOLZS,O,X,O,O,O,O,O,O
IJTOSLZ,X,X,O,O,X,X,O,O
IJTOSZL,X,X,O,O,X,X,O,O
IJTOZLS,O,X,O,X,O,O,O,O
IJTOZSL,O,X,O,X,O,X,O,O
IJLTSZO,O,X,O,O,X,O,O,O
IJLTSOZ,O,X,O,O,X,O,O,X
IJLTZSO,O,X,O,O,X,O,O,O
IJLTZOS,O,X,X,O,X,O,O,X
IJLTOSZ,O,X,O,O,X,O,O,X
IJLTOZS,O,X,X,O,X,O,O,X
IJLSTZO,O,O,O,O,X,O,X,O
IJLSTOZ,O,X,O,O,X,O,X,X
IJLSZTO,O,O,O,O,X,O,X,O
IJLSZOT,O,O,X,O,X,O,X,O
IJLSOTZ,X,X,X,O,X,O,X,O
IJLSOZT,X,X,X,O,X,O,X,O
IJLZTSO,O,O,X,O,X,O,O,O
IJLZTOS,O,X,X,O,X,O,O,X
IJLZSTO,O,O,X,O,X,O,X,O
IJLZSOT,O,O,X,O,X,O,X,O
IJLZOTS,O,X,X,O,X,O,O,O
IJLZOST,O,O,X,O,X,O,X,O
IJLOTSZ,X,X,X,O,X,O,O,O
IJLOTZS,X,X,X,O,X,O,O,O
IJLOSTZ,X,X,X,O,X,O,X,O
IJLOSZT,X,X,X,O,X,O,X,O
IJLOZTS,X,X,X,O,X,O,O,O
IJLOZST,X,X,X,O,X,O,X,O
IJSTLZO,X,O,O,O,X,O,O,O
IJSTLOZ,X,X,O,O,X,O,O,X
IJSTZLO,X,O,O,O,X,O,O,O
IJSTZOL,X,O,O,O,X,X,O,O
IJSTOLZ,X,X,O,O,X,X,O,O
IJSTOZL,X,X,O,O,X,X,O,O
IJSLTZO,X,O,O,O,X,O,X,O
IJSLTOZ,X,X,O,O,X,O,X,X
IJSLZTO,X,O,O,O,X,O,X,O
IJSLZOT,X,O,X,O,X,O,X,O
IJSLOTZ,X,X,X,O,X,O,X,O
IJSLOZT,X,X,X,O,X,O,X,O
IJSZTLO,X,O,O,O,X,O,O,O
IJSZTOL,X,O,O,O,X,X,O,O
IJSZLTO,X,O,O,O,X,O,X,O
IJSZLOT,X,O,X,O,X,O,X,O
IJSZOTL,X,O,O,O,X,X,O,O
IJSZOLT,X,O,O,O,X,X,X,O
IJSOTLZ,X,X,O,O,X,X,O,O
IJSOTZL,X,X,O,O,X,X,O,O
IJSOLTZ,X,X,O,O,X,X,X,O
IJSOLZT,X,X,O,O,X,X,X,O
IJSOZTL,X,X,O,O,X,X,O,O
IJSOZLT,X,X,O,O,X,X,X,O
IJZTLSO,O,O,X,X,O,O,O,O
IJZTLOS,O,O,X,X,O,O,O,X
IJZTSLO,O,O,X,X,O,O,O,O
IJZTSOL,O,O,X,X,O,X,O,O
IJZTOLS,O,O,X,X,O,O,O,O
IJZTOSL,O,O,X,X,O,X,O,O
IJZLTSO,O,O,X,O,X,O,O,O
IJZLTOS,O,O,X,O,X,O,O,X
IJZLSTO,O,O,X,O,X,O,X,O
IJZLSOT,O,O,X,O,X,O,X,O
IJZLOTS,O,X,X,O,X,O,O,O
IJZLOST,O,O,X,O,X,O,X,O
IJZSTLO,O,O,X,O,O,O,O,O
IJZSTOL,O,O,X,O,O,X,O,O
IJZSLTO,O,O,X,O,X,O,X,O
IJZSLOT,O,O,X,O,O,O,X,O
IJZSOTL,X,O,X,O,O,X,O,O
IJZSOLT,X,O,X,O,O,X,X,O
IJZOTLS,O,O,X,X,O,O,O,O
IJZOTSL,O,O,X,X,O,X,O,O
IJZOLTS,O,X,X,O,O,O,O,O
IJZOLST,O,O,X,O,O,O,X,O
IJZOSTL,X,O,X,O,O,X,O,O
IJZOSLT,X,O,X,O,O,X,X,O
IJOTLSZ,X,X,O,O,X,O,O,O
IJOTLZS,X,X,O,O,O,O,O,O
IJOTSLZ,X,X,O,O,X,O,O,O
IJOTSZL,X,X,O,O,X,O,O,O
IJOTZLS,X,X,O,X,O,O,O,O
IJOTZSL,X,X,O,X,O,O,O,O
IJOLTSZ,X,X,O,O,X,O,O,O
IJOLTZS,X,X,O,O,O,O,O,O
IJOLSTZ,X,X,O,O,X,O,X,O
IJOLSZT,X,X,O,O,X,O,X,O
IJOLZTS,X,X,X,O,O,O,O,O
IJOLZST,X,X,X,O,O,O,X,O
IJOSTLZ,X,X,O,O,X,O,O,O
IJOSTZL,X,X,O,O,X,O,O,O
IJOSLTZ,X,X,O,O,X,O,X,O
IJOSLZT,X,X,O,O,X,O,X,O
IJOSZTL,X,X,O,O,X,O,O,O
IJOSZLT,X,X,O,O,X,O,X,O
IJOZTLS,X,X,X,X,O,O,O,O
IJOZTSL,X,X,X,X,O,O,O,O
IJOZLTS,X,X,X,O,O,O,O,O
IJOZLST,X,X,X,O,O,O,X,O
IJOZSTL,X,X,X,O,O,O,O,O
IJOZSLT,X,X,X,O,O,O,X,O
ISTLJZO,O,O,O,O,X,X,O,O
ISTLJOZ,O,X,O,O,X,X,O,X
ISTLZJO,O,O,O,O,O,X,O,X
ISTLZOJ,O,O,O,O,X,X,X,X
ISTLOJZ,O,X,O,O,X,X,X,X
ISTLOZJ,O,O,O,O,X,X,X,X
ISTJLZO,X,O,O,O,X,X,O,O
ISTJLOZ,X,X,O,O,X,X,O,X
ISTJZLO,X,O,O,O,X,X,O,O
ISTJZOL,X,O,O,O,X,X,O,O
ISTJOLZ,X,X,O,O,X,X,O,O
ISTJOZL,X,X,O,O,X,X,O,O
ISTZLJO,O,O,O,O,O,X,O,X
ISTZLOJ,O,O,O,O,X,X,X,X
ISTZJLO,O,O,O,O,O,X,O,X
ISTZJOL,O,O,O,O,O,X,O,X
ISTZOLJ,O,O,O,X,O,X,X,X
ISTZOJL,O,O,O,O,O,X,X,X
ISTOLJZ,O,X,O,X,X,X,X,O
ISTOLZJ,O,O,O,X,O,X,X,X
ISTOJLZ,X,X,O,X,X,X,X,O
ISTOJZL,X,X,O,X,X,X,X,O
ISTOZLJ,O,O,O,X,O,X,X,X
ISTOZJL,O,O,O,X,O,X,X,X
ISLTJZO,O,O,O,O,X,O,X,O
ISLTJOZ,O,X,O,O,X,O,X,X
ISLTZJO,O,O,O,O,X,O,X,X
ISLTZOJ,O,O,O,O,X,O,X,X
