sequence,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhB8hBCjBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFzcBWjBUhBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFicB3hBunBcoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFldB3hBOmBcoBCs?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBxdBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeBmgB1rBUt?BSxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeB6rBmlBcs?BVyB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFTeB3hBqnBFmB8r?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhF8hBCeBmgBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFXdBUhBFoBxrBWx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFSjB3hBFmB8rBzn?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFZhBldBqrBfnBco?BWyB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBTeBUhBxrBVy?BXsB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFxdB3hB2rBCoBVy?B0rB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFCdBxiBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdB0mBmlBFoBSx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhBCeB1rBXoB8r?BxxB
ISTOLJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ISTOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOJLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ISTOJZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJZO,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X
ISLTJOZ,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X
ISLTZJO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X
ISLTZOJ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ISLTOZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJTOZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLJZTO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJZOT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZTJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTOJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISLZJTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISLZJOT,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLOJZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLOZTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ISJTLOZ,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X
ISJTZLO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISJTZOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ISJTOZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJLTOZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJLZTO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJLZOT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJLOZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJZTLO,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZTOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISJZLOT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJZOTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJOLZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJOZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ISZTLOJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZTJLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ISZTJOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZTOJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLTOJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLJTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISZLJOT,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISZJLOT,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZJOTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ISOTLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTJLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
ISOTJZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOLJZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOLZTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOJLZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOJZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTLSJO,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZTLSOJ,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTJLSO,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IZTJLOS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IZTJSOL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTJOLS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTJOSL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTSLJO,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZTSLOJ,O,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
IZTSJLO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
IZTSJOL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTSOLJ,O,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
IZTSOJL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTOJLS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTOJSL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTOSLJ,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IZTOSJL,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLTJSO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZLTSOJ,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZLJSOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJOTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZLSJTO,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZLSJOT,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLSOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLOSJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJTLOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOLTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZSTLOJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSTJLO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZSTJOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSTOJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTOJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSLJTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSLJOT,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLOJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSJLOT,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOLJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTJSL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IZOTSJL,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTLSJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLZJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOTJZLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOTSLZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTSJLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOTSJZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLTSJZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLTSZJ,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLTZJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X
IOLJSZT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLJZTS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSTJZ,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLSJZT,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLSZTJ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZJT,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJLSZT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJSLZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJSZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSTLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSTJZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSLJZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSLZTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSJLZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
