sequence,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBcjBGhBT?iBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF2hBRdBcjBS?nBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFuiBcjBRhBz?hBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Je2AJvhFRcBCeBzhBX?jB0rBlsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBGeBRiB1?rB8sBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF/hBUdBOoBC?jBxrBVxB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFGdBTeBRnBF?mB8rB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jex7IvhFTeBCnB8sBm?lBFnBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBXiBusBc?oBFmBzrB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBfnBxiBu?sBFoB0rB
TJOZSIL,O,O,X,O,O,X,X,X,X,O
TJOZSLI,O,O,X,O,O,X,X,X,X,O
TSILJZO,O,O,O,O,X,X,O,X,X,X
TSILJOZ,O,O,X,O,O,X,O,X,X,X
TSILZJO,O,O,O,O,X,X,O,X,X,X
TSILZOJ,O,O,O,O,X,X,O,X,X,X
TSILOJZ,O,O,X,O,O,X,O,X,X,X
TSILOZJ,O,O,O,O,X,X,O,X,X,X
TSIJLZO,O,O,O,O,X,O,O,X,X,X
TSIJLOZ,O,O,X,O,O,O,O,X,X,X
TSIJZLO,O,O,O,O,X,O,O,X,X,X
TSIJZOL,O,O,O,O,X,O,O,X,X,X
TSIJOLZ,O,O,X,O,O,O,O,X,X,X
TSIJOZL,O,O,X,O,X,O,O,X,X,X
TSIZLJO,O,O,O,O,X,X,O,X,X,X
TSIZLOJ,O,O,O,O,X,X,O,X,X,X
TSIZJLO,O,O,O,O,X,X,O,X,X,X
TSIZJOL,O,O,O,O,X,X,O,X,X,X
TSIZOLJ,O,O,O,O,X,X,O,X,X,X
TSIZOJL,O,O,O,O,X,X,O,X,X,X
TSIOLJZ,O,O,X,O,O,X,O,X,X,X
TSIOLZJ,O,O,O,O,X,X,O,X,X,X
TSIOJLZ,O,O,X,O,O,O,O,X,X,X
TSIOJZL,O,O,X,O,X,O,O,X,X,X
TSIOZLJ,O,O,O,O,X,X,O,X,X,X
TSIOZJL,O,O,O,O,X,X,O,X,X,X
TSLIJZO,O,O,O,O,X,X,O,X,X,X
TSLIJOZ,O,O,X,O,O,X,O,X,X,X
TSLIZJO,O,O,O,O,X,X,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,O,X,X,X
TSLIOJZ,O,O,X,O,O,X,O,X,X,X
TSLIOZJ,O,O,O,O,X,X,O,X,X,X
TSLJIZO,O,O,O,O,X,X,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X,X,X,X
TSLJZIO,O,O,O,O,X,X,X,X,X,X
TSLJZOI,O,O,O,O,X,X,X,X,X,X
TSLJOIZ,O,O,X,O,O,X,X,X,X,X
TSLJOZI,O,O,X,O,O,X,X,X,X,X
TSLZIJO,O,O,O,O,O,X,X,X,X,X
TSLZIOJ,O,O,O,O,O,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,X,X,X,X
TSLZJOI,O,O,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,O,O,O,X,X,X,X,X
TSLZOJI,O,O,O,O,O,X,X,X,X,X
TSLOIJZ,O,O,X,O,O,X,O,X,X,X
TSLOIZJ,O,O,O,O,X,X,O,X,X,X
TSLOJIZ,O,O,X,O,O,X,X,X,X,X
