sequence,v115@EhD8EeE8DeF8BeG8Jem6IvhFFcBxdB0fBqlB3hBzpB,v115@EhD8EeE8DeF8BeG8JeT6IvhF/gB1hBUhBxiBupBiqB,v115@EhD8EeE8DeF8BeG8JeT6IvhF0cBxdBigBWqBFmBXqB,v115@EhD8EeE8DeF8BeG8Je//IvhFUbBxdBlhBmlBCmBzpB,v115@EhD8EeE8DeF8BeG8Jem6IvhFxdB0fBfmBlhBCmBzpB,v115@EhD8EeE8DeF8BeG8Jey/IvhFxdBulB3hB0fBFmBzpB
TZSLIOJ,O,X,X,X,X,X
TZSLJIO,O,X,X,O,O,X
TZSLJOI,O,X,X,O,O,X
TZSLOIJ,O,X,X,X,X,X
TZSLOJI,O,X,X,X,X,X
TZSJILO,X,X,X,O,O,X
TZSJIOL,X,X,O,O,O,X
TZSJLIO,X,X,X,O,O,X
TZSJLOI,X,X,X,O,O,X
TZSJOIL,X,X,O,O,O,X
TZSJOLI,X,X,O,O,O,X
TZSOILJ,X,X,X,X,O,X
TZSOIJL,X,X,O,O,O,X
TZSOLIJ,X,X,X,X,O,X
TZSOLJI,X,X,X,X,O,X
TZSOJIL,X,X,O,O,O,X
TZSOJLI,X,X,O,O,O,X
TZOILJS,X,X,O,X,X,X
TZOILSJ,X,O,X,X,X,X
TZOIJLS,X,O,O,X,X,X
TZOIJSL,X,O,O,O,X,X
TZOISLJ,X,X,X,O,O,X
TZOISJL,X,X,O,O,O,X
TZOLIJS,X,X,O,X,X,X
TZOLISJ,X,O,X,X,X,X
TZOLJIS,X,X,O,X,X,X
TZOLJSI,X,X,O,X,X,X
TZOLSIJ,X,O,X,X,X,X
TZOLSJI,X,O,X,X,X,X
TZOJILS,X,O,O,X,X,X
TZOJISL,X,O,O,O,X,X
TZOJLIS,X,O,O,X,X,X
TZOJLSI,X,O,O,X,X,X
TZOJSIL,X,O,O,O,X,X
TZOJSLI,X,O,O,O,X,X
TZOSILJ,X,X,X,O,O,X
TZOSIJL,X,X,O,O,O,X
TZOSLIJ,X,X,X,O,O,X
TZOSLJI,X,X,X,O,O,X
TZOSJIL,X,X,O,O,O,X
TZOSJLI,X,X,O,O,O,X
TOILJSZ,X,O,O,O,X,O
TOILJZS,O,O,O,X,X,X
TOILSJZ,O,O,X,O,X,O
TOILSZJ,O,O,X,O,O,X
TOILZJS,O,X,O,X,X,X
TOILZSJ,O,O,X,X,X,X
TOIJLSZ,X,O,O,O,X,O
TOIJLZS,X,O,O,X,X,X
TOIJSLZ,X,O,O,O,X,O
TOIJSZL,X,O,O,O,O,X
TOIJZLS,X,O,O,X,X,X
TOIJZSL,X,O,O,O,X,X
TOISLJZ,O,O,X,O,X,O
TOISLZJ,O,O,X,O,O,X
TOISJLZ,O,O,O,O,X,O
TOISJZL,X,O,O,O,O,X
TOISZLJ,O,X,X,O,O,X
TOISZJL,X,X,O,O,O,X
TOIZLJS,O,X,O,X,X,X
TOIZLSJ,O,O,X,X,X,X
TOIZJLS,O,O,O,X,X,X
TOIZJSL,X,O,O,O,O,X
TOIZSLJ,O,X,X,O,O,X
TOIZSJL,X,X,O,O,O,X
TOLIJSZ,X,O,O,O,X,O
TOLIJZS,O,O,O,X,X,X
TOLISJZ,O,O,X,O,X,O
TOLISZJ,O,O,X,O,O,X
TOLIZJS,O,X,O,X,X,X
TOLIZSJ,O,O,X,X,X,X
TOLJISZ,X,O,O,O,X,O
TOLJIZS,O,O,O,X,X,X
TOLJSIZ,X,O,O,O,X,O
TOLJSZI,X,O,O,O,X,O
TOLJZIS,O,O,O,X,X,X
TOLJZSI,O,O,O,X,X,X
TOLSIJZ,O,O,X,O,X,O
TOLSIZJ,O,O,X,O,O,X
TOLSJIZ,O,O,X,O,X,O
TOLSJZI,O,O,X,O,X,O
TOLSZIJ,O,O,X,O,O,X
TOLSZJI,O,O,X,O,O,X
