sequence,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgB/iBajB5jB0k?B2uB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBaq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgBmdB5jB0iBKp?BfqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhF/iBajB5jBckBzp?BOpB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBidB5jBziBNp?BeqB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBTdBejB5jBKp?BdqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFxdBOkB0iB6oBfq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFUbBTdBejB5jB3k?ByuB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBip?BzpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFmdB5jB0iBikB3p?BNqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFyiB5jBOkB0iBfq?BTpB
IZOTJSL,X,O,X,O,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,X,X,X,X,X
IZOTSJL,X,O,X,O,X,X,X,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,X,O,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,O,X,X
IZOLJTS,X,O,X,X,O,X,X,X,O,X,X
IZOLJST,X,O,O,X,X,X,X,X,O,X,X
IZOLSTJ,X,O,O,X,X,X,X,X,O,X,X
IZOLSJT,X,O,O,X,X,X,X,X,O,X,X
IZOJTLS,X,O,X,X,O,X,X,X,X,X,X
IZOJTSL,X,O,X,X,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,O,X,X,X,O,X,X
IZOJLST,X,O,O,X,X,X,X,X,O,X,X
IZOJSTL,X,O,X,X,X,X,X,X,O,X,X
IZOJSLT,X,O,X,X,X,X,X,X,X,O,X
IZOSTLJ,X,O,X,O,X,X,X,X,X,X,X
IZOSTJL,X,O,X,O,X,X,X,X,O,X,X
IZOSLTJ,X,O,X,O,X,X,X,X,X,O,X
IZOSLJT,X,O,X,X,X,X,X,X,X,O,X
IZOSJTL,X,O,X,X,X,X,X,X,O,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,O,X
IOTLJSZ,X,X,X,X,O,X,X,X,X,X,X
IOTLJZS,X,X,X,X,O,X,X,X,X,X,X
IOTLSJZ,X,X,X,O,X,X,X,X,X,X,O
IOTLSZJ,X,O,X,O,X,X,X,X,X,X,X
IOTLZJS,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,O,X,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,O,X,X,X,X,X,X
IOTJSZL,O,O,X,O,O,X,X,X,X,X,X
IOTJZLS,O,O,X,X,O,X,X,X,X,X,X
IOTJZSL,O,O,X,O,O,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,X,X,X,X,X,O
IOTSLZJ,X,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,X,X,X,X,X,O
IOTSJZL,O,O,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,O,X,X,X,X,X,X,X
IOTSZJL,X,O,X,O,X,X,X,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,O,X,X,X,X,X,X,X
IOTZSJL,X,O,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,O,O,X,X,X,X,X
IOLTJZS,X,X,X,X,O,O,X,X,X,X,X
IOLTSJZ,X,X,X,O,X,O,X,X,X,X,O
IOLTSZJ,X,O,X,O,X,O,X,X,O,X,X
IOLTZJS,X,O,X,X,X,X,X,X,O,X,X
IOLTZSJ,X,O,X,O,X,X,X,X,O,X,X
IOLJTSZ,X,X,X,X,O,O,X,O,X,X,X
IOLJTZS,X,X,X,X,O,O,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,O,X,O,X,X,X
IOLJSZT,X,X,X,X,X,X,X,O,X,X,X
IOLJZTS,X,X,X,X,O,O,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,O,X,X,X
IOLSTJZ,X,X,O,O,X,X,X,O,X,X,O
IOLSTZJ,X,O,O,O,X,X,X,O,O,X,X
IOLSJTZ,X,X,X,O,O,X,X,O,X,X,X
IOLSJZT,X,X,X,X,X,X,X,O,X,X,X
IOLSZTJ,X,O,O,O,X,X,X,X,O,X,X
IOLSZJT,X,O,O,X,X,X,X,X,O,X,X
IOLZTJS,X,O,X,X,X,X,X,X,O,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,O,X,X
IOLZJTS,X,O,X,X,O,X,X,X,O,X,X
IOLZJST,X,O,O,X,X,X,X,X,O,X,X
IOLZSTJ,X,O,O,X,X,X,X,X,O,X,X
IOLZSJT,X,O,O,X,X,X,X,X,O,X,X
IOJTLSZ,X,X,X,X,O,O,X,O,X,X,X
IOJTLZS,X,X,X,X,O,O,X,X,X,X,X
IOJTSLZ,O,X,X,O,O,X,X,X,X,X,X
IOJTSZL,O,O,X,O,O,X,X,X,X,X,X
IOJTZLS,O,O,X,X,O,X,X,X,X,X,X
IOJTZSL,O,O,X,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,O,O,X,O,X,X,X
IOJLTZS,X,X,X,X,O,O,X,X,X,X,X
IOJLSTZ,X,X,X,X,O,O,X,O,X,X,X
IOJLSZT,X,X,X,X,X,X,X,O,X,X,X
IOJLZTS,X,X,X,X,O,O,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,O,X,X,X
IOJSTLZ,O,X,X,O,O,X,X,X,X,X,X
IOJSTZL,O,O,X,O,O,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,O,O,X,O,X,X,X
IOJSLZT,O,X,X,X,X,X,X,O,X,X,X
IOJSZTL,O,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,O,X,X,X,X,X,X
IOJZTSL,O,O,X,X,O,X,X,X,X,X,X
IOJZLTS,X,O,X,X,O,O,X,X,X,X,X
IOJZLST,X,O,X,X,X,X,X,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,X,X,O
IOSTLZJ,X,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,O,X,X,X,X,X,X,O
IOSTJZL,O,O,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,O,X,X,X,X,X,X,X
IOSTZJL,X,O,X,O,X,X,X,X,O,X,X
IOSLTJZ,O,X,X,O,X,X,X,X,X,X,O
IOSLTZJ,X,O,X,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,O,O,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,O,X,X,X,X,X,O,X
IOSLZJT,X,O,X,X,X,X,X,X,X,O,X
IOSJTLZ,O,X,X,O,O,X,X,X,X,X,X
IOSJTZL,O,O,X,O,O,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,O,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,X,X,X,X,X,X
IOSZTJL,X,O,X,O,X,X,X,X,O,X,X
IOSZLTJ,X,O,X,O,X,X,X,X,X,O,X
IOSZLJT,X,O,X,X,X,X,X,X,X,O,X
IOSZJTL,X,O,X,X,X,X,X,X,O,X,X
IOSZJLT,X,O,X,X,X,X,X,X,X,O,X
IOZTLJS,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,O,X,X,X,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,X,O,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,O,X,X,X,X,X,X,X
IOZTSJL,X,O,X,O,X,X,X,X,X,X,X
IOZLTJS,X,O,X,X,X,X,X,X,O,X,X
IOZLTSJ,X,O,X,X,X,X,X,X,O,X,X
IOZLJTS,X,O,X,X,O,X,X,X,O,X,X
IOZLJST,X,O,O,X,X,X,X,X,O,X,X
IOZLSTJ,X,O,O,X,X,X,X,X,O,X,X
IOZLSJT,X,O,O,X,X,X,X,X,O,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,X
IOZJTSL,X,O,X,X,O,X,X,X,X,X,X
IOZJLTS,X,O,X,X,O,X,X,X,O,X,X
IOZJLST,X,O,O,X,X,X,X,X,O,X,X
IOZJSTL,X,O,X,X,X,X,X,X,O,X,X
IOZJSLT,X,O,X,X,X,X,X,X,X,O,X
IOZSTLJ,X,O,X,O,X,X,X,X,X,X,X
IOZSTJL,X,O,X,O,X,X,X,X,O,X,X
IOZSLTJ,X,O,X,O,X,X,X,X,X,O,X
IOZSLJT,X,O,X,X,X,X,X,X,X,O,X
IOZSJTL,X,O,X,X,X,X,X,X,O,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,O,X
LTIJSZO,O,X,X,X,O,O,X,O,O,X,O
LTIJSOZ,O,X,X,X,O,O,X,O,X,X,O
LTIJZSO,O,X,X,X,O,O,X,X,O,X,X
LTIJZOS,O,X,X,X,X,O,X,X,O,X,X
LTIJOSZ,X,X,X,X,O,O,X,O,X,X,X
LTIJOZS,X,X,X,X,X,O,X,X,X,X,X
LTISJZO,O,X,O,X,X,O,O,O,O,X,O
LTISJOZ,O,X,O,O,X,O,X,O,X,X,O
LTISZJO,O,X,O,X,X,O,O,O,O,X,O
LTISZOJ,X,X,O,O,X,O,O,O,O,X,X
LTISOJZ,O,X,O,O,X,O,X,O,X,X,O
LTISOZJ,X,X,O,O,X,O,X,O,O,X,X
LTIZJSO,X,X,O,X,X,O,O,X,O,X,X
LTIZJOS,X,X,X,X,X,O,X,X,O,X,X
LTIZSJO,X,X,O,X,X,O,O,X,O,X,O
LTIZSOJ,X,X,O,X,X,O,O,X,O,X,X
LTIZOJS,X,X,X,X,X,X,X,X,O,X,X
LTIZOSJ,X,X,X,X,X,X,O,X,O,X,X
LTIOJSZ,X,X,X,X,X,O,X,X,X,X,X
LTIOJZS,X,X,X,X,X,O,X,X,X,X,X
LTIOSJZ,X,X,X,O,X,O,X,X,X,X,O
LTIOSZJ,X,X,X,O,X,O,X,X,O,X,X
LTIOZJS,X,X,X,X,X,X,X,X,O,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,O,X,X
LTJISZO,O,X,X,X,O,O,X,O,O,X,O
LTJISOZ,O,X,X,X,O,O,X,O,X,X,O
LTJIZSO,O,X,X,X,O,O,X,X,O,X,X
LTJIZOS,O,X,X,X,X,O,X,X,O,X,X
LTJIOSZ,X,X,X,X,O,O,X,O,X,X,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,X
LTJSIZO,O,X,X,X,O,O,O,O,O,X,O
LTJSIOZ,O,X,X,X,O,O,X,O,X,X,O
LTJSZIO,O,X,X,X,O,O,O,O,O,X,O
LTJSZOI,O,X,X,X,O,O,O,O,O,X,X
LTJSOIZ,O,X,X,X,O,O,X,O,X,X,O
LTJSOZI,O,X,X,X,O,O,O,O,X,X,X
LTJZISO,O,X,X,X,O,O,O,X,O,X,X
LTJZIOS,O,X,X,X,X,O,X,X,O,X,X
LTJZSIO,O,X,X,X,O,O,O,X,O,X,X
LTJZSOI,O,X,X,X,O,O,O,X,O,X,X
LTJZOIS,O,X,X,X,X,O,X,X,O,X,X
LTJZOSI,O,X,X,X,X,O,X,X,O,X,X
LTJOISZ,X,X,X,X,O,O,X,O,X,X,X
LTJOIZS,X,X,X,X,X,O,X,X,X,X,X
LTJOSIZ,X,X,X,X,O,O,X,O,X,X,X
LTJOSZI,X,X,X,X,O,O,X,O,X,X,X
LTJOZIS,X,X,X,X,X,O,X,X,X,X,X
LTJOZSI,X,X,X,X,X,O,X,X,X,X,X
LTSIJZO,O,X,O,X,X,O,O,O,O,X,O
LTSIJOZ,O,X,O,O,X,O,X,O,X,X,O
LTSIZJO,O,X,O,X,X,O,O,O,O,X,O
LTSIZOJ,X,X,O,O,X,O,O,O,O,X,X
LTSIOJZ,O,X,O,O,X,O,X,O,X,X,O
LTSIOZJ,X,X,O,O,X,O,X,O,O,X,X
LTSJIZO,O,X,O,X,X,O,O,O,O,X,O
LTSJIOZ,O,X,O,O,X,O,X,O,X,X,O
LTSJZIO,O,X,O,X,X,O,O,O,O,X,O
LTSJZOI,O,X,O,X,X,O,O,O,O,X,X
LTSJOIZ,O,X,O,O,X,O,X,O,X,X,O
LTSJOZI,O,X,O,O,X,O,O,O,X,X,X
LTSZIJO,O,X,O,X,X,O,O,O,O,X,O
LTSZIOJ,X,X,O,O,X,O,O,O,O,X,X
LTSZJIO,O,X,O,X,X,O,O,O,O,X,O
LTSZJOI,O,X,O,X,X,O,O,O,O,X,X
LTSZOIJ,X,X,O,O,X,O,O,O,O,X,X
LTSZOJI,X,X,O,O,X,O,O,O,O,X,X
LTSOIJZ,O,X,O,O,X,O,X,O,X,X,O
LTSOIZJ,X,X,O,O,X,O,X,O,O,X,X
LTSOJIZ,O,X,O,O,X,O,X,O,X,X,O
LTSOJZI,O,X,O,O,X,O,O,O,X,X,X
LTSOZIJ,X,X,O,O,X,O,O,O,O,X,X
LTSOZJI,X,X,O,O,X,O,O,O,O,X,X
LTZIJSO,X,X,O,X,X,O,O,X,O,X,X
LTZIJOS,X,X,X,X,X,O,X,X,O,X,X
LTZISJO,X,X,O,X,X,O,O,X,O,X,O
LTZISOJ,X,X,O,X,X,O,O,X,O,X,X
LTZIOJS,X,X,X,X,X,X,X,X,O,X,X
LTZIOSJ,X,X,X,X,X,X,O,X,O,X,X
LTZJISO,X,X,O,X,X,O,O,X,O,X,X
LTZJIOS,X,X,X,X,X,O,X,X,O,X,X
LTZJSIO,X,X,O,X,X,O,O,X,O,X,X
LTZJSOI,X,X,O,X,X,O,O,X,O,X,X
LTZJOIS,X,X,X,X,X,O,X,X,O,X,X
LTZJOSI,X,X,X,X,X,O,X,X,O,X,X
LTZSIJO,X,X,O,X,X,O,O,X,O,X,O
LTZSIOJ,X,X,O,X,X,O,O,X,O,X,X
LTZSJIO,X,X,O,X,X,O,O,X,O,X,O
LTZSJOI,X,X,O,X,X,O,O,X,O,X,X
LTZSOIJ,X,X,O,X,X,O,O,X,O,X,X
LTZSOJI,X,X,O,X,X,O,O,X,O,X,X
LTZOIJS,X,X,X,X,X,X,X,X,O,X,X
LTZOISJ,X,X,X,X,X,X,O,X,O,X,X
LTZOJIS,X,X,X,X,X,O,X,X,O,X,X
LTZOJSI,X,X,X,X,X,O,X,X,O,X,X
LTZOSIJ,X,X,X,X,X,O,O,X,O,X,X
LTZOSJI,X,X,X,X,X,O,O,X,O,X,X
LTOIJSZ,X,X,X,X,X,O,X,X,X,X,X
LTOIJZS,X,X,X,X,X,O,X,X,X,X,X
LTOISJZ,X,X,X,O,X,O,X,X,X,X,O
LTOISZJ,X,X,X,O,X,O,X,X,O,X,X
LTOIZJS,X,X,X,X,X,X,X,X,O,X,X
LTOIZSJ,X,X,X,O,X,X,X,X,O,X,X
LTOJISZ,X,X,X,X,X,O,X,O,X,X,X
LTOJIZS,X,X,X,X,X,O,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,O,X,O,X,X,X
LTOJSZI,X,X,X,X,X,O,X,O,X,X,X
LTOJZIS,X,X,X,X,X,O,X,X,X,X,X
LTOJZSI,X,X,X,X,X,O,X,X,X,X,X
LTOSIJZ,X,X,X,O,X,O,X,O,X,X,O
LTOSIZJ,X,X,X,O,X,O,X,O,O,X,X
LTOSJIZ,X,X,X,O,X,O,X,O,X,X,O
LTOSJZI,X,X,X,O,X,O,O,O,X,X,X
LTOSZIJ,X,X,X,O,X,O,O,O,O,X,X
LTOSZJI,X,X,X,O,X,O,O,O,O,X,X
LTOZIJS,X,X,X,X,X,X,X,X,O,X,X
LTOZISJ,X,X,X,O,X,X,O,X,O,X,X
LTOZJIS,X,X,X,X,X,O,X,X,O,X,X
LTOZJSI,X,X,X,X,X,O,X,X,O,X,X
LTOZSIJ,X,X,X,O,X,O,O,X,O,X,X
LTOZSJI,X,X,X,O,X,O,O,X,O,X,X
LITJSZO,O,X,X,X,O,O,X,O,O,X,O
LITJSOZ,O,X,X,X,O,O,X,O,X,X,O
LITJZSO,O,X,X,X,O,O,X,X,O,X,X
LITJZOS,O,X,X,X,X,O,X,X,O,X,X
LITJOSZ,X,X,X,X,O,O,X,O,X,X,X
LITJOZS,X,X,X,X,X,O,X,X,X,X,X
LITSJZO,O,X,O,X,X,O,O,O,O,X,O
LITSJOZ,O,X,O,O,X,O,X,O,X,X,O
LITSZJO,O,X,O,X,X,O,O,O,O,X,O
LITSZOJ,X,X,O,O,X,O,O,O,O,X,X
LITSOJZ,O,X,O,O,X,O,X,O,X,X,O
LITSOZJ,X,X,O,O,X,O,X,O,O,X,X
LITZJSO,X,X,O,X,X,O,O,X,O,X,X
LITZJOS,X,X,X,X,X,O,X,X,O,X,X
LITZSJO,X,X,O,X,X,O,O,X,O,X,O
LITZSOJ,X,X,O,X,X,O,O,X,O,X,X
LITZOJS,X,X,X,X,X,X,X,X,O,X,X
LITZOSJ,X,X,X,X,X,X,O,X,O,X,X
LITOJSZ,X,X,X,X,X,O,X,X,X,X,X
LITOJZS,X,X,X,X,X,O,X,X,X,X,X
LITOSJZ,X,X,X,O,X,O,X,X,X,X,O
LITOSZJ,X,X,X,O,X,O,X,X,O,X,X
LITOZJS,X,X,X,X,X,X,X,X,O,X,X
LITOZSJ,X,X,X,O,X,X,X,X,O,X,X
LIJTSZO,O,X,X,X,O,O,X,O,O,X,O
LIJTSOZ,O,X,X,X,O,O,X,O,X,X,O
LIJTZSO,O,X,X,X,O,O,X,X,O,X,X
LIJTZOS,O,X,X,X,X,O,X,X,O,X,X
LIJTOSZ,X,X,X,X,O,O,X,O,X,X,X
LIJTOZS,X,X,X,X,O,O,X,X,X,X,X
LIJSTZO,O,X,O,X,O,O,X,O,O,X,O
LIJSTOZ,O,X,O,X,O,O,X,O,X,X,O
LIJSZTO,O,X,O,X,X,X,X,O,O,X,X
LIJSZOT,O,X,O,X,X,X,X,O,O,X,X
LIJSOTZ,O,X,X,X,X,O,X,O,X,X,X
LIJSOZT,O,X,X,X,X,X,X,O,X,X,X
LIJZTSO,O,X,O,X,O,O,X,X,O,X,X
LIJZTOS,O,X,X,X,X,O,X,X,O,X,X
LIJZSTO,O,X,O,X,X,X,X,O,O,X,X
LIJZSOT,O,X,O,X,X,X,X,O,O,X,X
LIJZOTS,X,X,X,X,X,O,X,X,O,X,X
LIJZOST,X,X,O,X,X,X,X,O,O,X,X
LIJOTSZ,X,X,X,X,O,O,X,O,X,X,X
LIJOTZS,X,X,X,X,O,O,X,X,X,X,X
LIJOSTZ,X,X,X,X,O,O,X,O,X,X,X
LIJOSZT,X,X,X,X,X,X,X,O,X,X,X
LIJOZTS,X,X,X,X,O,O,X,X,X,X,X
LIJOZST,X,X,X,X,X,X,X,O,X,X,X
LISTJZO,O,X,O,X,X,O,O,O,O,X,O
LISTJOZ,O,X,O,O,X,O,X,O,X,X,O
LISTZJO,O,O,O,X,X,O,O,O,O,O,O
LISTZOJ,X,X,O,O,X,O,O,O,O,O,X
LISTOJZ,O,X,O,O,X,O,X,O,X,X,O
LISTOZJ,X,X,O,O,X,O,X,O,O,X,X
LISJTZO,O,X,O,X,O,O,X,O,O,X,O
LISJTOZ,O,X,O,O,O,O,X,O,X,X,O
LISJZTO,O,X,O,X,X,X,X,O,O,O,X
LISJZOT,O,X,O,X,X,X,X,O,O,O,X
LISJOTZ,O,X,X,O,X,O,X,O,X,X,X
LISJOZT,O,X,X,X,X,X,X,O,X,X,X
LISZTJO,O,O,O,X,X,X,O,O,O,O,O
LISZTOJ,X,X,O,O,X,X,O,O,O,O,X
LISZJTO,O,O,O,X,X,X,O,O,O,O,X
LISZJOT,O,X,O,X,X,X,X,O,O,O,X
LISZOTJ,X,X,O,O,X,X,O,X,O,O,X
LISZOJT,X,X,O,X,X,X,X,X,O,O,X
LISOTJZ,O,X,O,O,X,X,X,O,X,X,O
LISOTZJ,X,X,O,O,X,X,X,O,O,X,X
LISOJTZ,O,X,X,O,X,X,X,O,X,X,X
LISOJZT,O,X,X,X,X,X,X,O,X,X,X
LISOZTJ,X,X,O,O,X,X,X,X,O,O,X
LISOZJT,X,X,O,X,X,X,X,X,O,O,X
LIZTJSO,X,X,O,X,X,O,O,X,O,X,X
LIZTJOS,X,X,X,X,X,O,X,X,O,X,X
LIZTSJO,X,X,O,X,X,O,O,X,O,X,O
LIZTSOJ,X,X,O,X,X,O,O,X,O,X,X
LIZTOJS,X,X,X,X,X,X,X,X,O,X,X
LIZTOSJ,X,X,X,X,X,X,O,X,O,X,X
LIZJTSO,X,X,O,X,O,O,O,X,O,X,X
LIZJTOS,X,X,X,X,X,O,X,X,O,X,X
LIZJSTO,X,O,O,X,X,X,O,O,O,O,X
LIZJSOT,X,X,O,X,X,X,X,O,O,O,X
LIZJOTS,X,O,X,X,X,O,X,X,O,X,X
LIZJOST,X,O,O,X,X,X,X,O,O,X,X
LIZSTJO,X,O,O,X,X,X,O,O,O,O,O
LIZSTOJ,X,X,O,X,X,X,O,O,O,O,X
LIZSJTO,X,O,O,X,X,X,O,O,O,O,X
LIZSJOT,X,X,O,X,X,X,X,O,O,O,X
LIZSOTJ,X,X,O,X,X,X,O,X,O,O,X
LIZSOJT,X,X,O,X,X,X,X,X,O,O,X
LIZOTJS,X,O,X,X,X,X,X,X,O,X,X
LIZOTSJ,X,O,X,X,X,X,O,X,O,X,X
LIZOJTS,X,O,X,X,X,X,X,X,O,X,X
LIZOJST,X,O,O,X,X,X,X,X,O,X,X
LIZOSTJ,X,O,O,X,X,X,O,X,O,X,X
LIZOSJT,X,O,O,X,X,X,X,X,O,X,X
LIOTJSZ,X,X,X,X,O,O,X,X,X,X,X
LIOTJZS,X,X,X,X,O,O,X,X,X,X,X
LIOTSJZ,X,X,X,O,X,O,X,X,X,X,O
LIOTSZJ,X,O,X,O,X,O,X,X,O,X,X
LIOTZJS,X,O,X,X,X,X,X,X,O,X,X
LIOTZSJ,X,O,X,O,X,X,X,X,O,X,X
LIOJTSZ,X,X,X,X,O,O,X,O,X,X,X
LIOJTZS,X,X,X,X,O,O,X,X,X,X,X
LIOJSTZ,X,X,X,X,O,O,X,O,X,X,X
LIOJSZT,X,X,X,X,X,X,X,O,X,X,X
LIOJZTS,X,X,X,X,O,O,X,X,X,X,X
LIOJZST,X,X,X,X,X,X,X,O,X,X,X
LIOSTJZ,X,X,O,O,X,X,X,O,X,X,O
LIOSTZJ,X,O,O,O,X,X,X,O,O,X,X
LIOSJTZ,X,X,X,O,O,X,X,O,X,X,X
LIOSJZT,X,X,X,X,X,X,X,O,X,X,X
LIOSZTJ,X,O,O,O,X,X,X,X,O,X,X
LIOSZJT,X,O,O,X,X,X,X,X,O,X,X
LIOZTJS,X,O,X,X,X,X,X,X,O,X,X
LIOZTSJ,X,O,X,X,X,X,X,X,O,X,X
LIOZJTS,X,O,X,X,O,X,X,X,O,X,X
LIOZJST,X,O,O,X,X,X,X,X,O,X,X
LIOZSTJ,X,O,O,X,X,X,X,X,O,X,X
LIOZSJT,X,O,O,X,X,X,X,X,O,X,X
LJTISZO,O,X,X,X,O,O,X,O,O,X,O
LJTISOZ,O,X,X,X,O,O,X,O,X,X,O
LJTIZSO,O,X,X,X,O,O,X,X,O,X,X
LJTIZOS,O,X,X,X,X,O,X,X,O,X,X
LJTIOSZ,X,X,X,X,O,O,X,O,X,X,X
LJTIOZS,X,X,X,X,O,O,X,X,X,X,X
LJTSIZO,O,X,X,X,O,O,O,O,O,X,O
LJTSIOZ,O,X,X,X,O,O,X,O,X,X,O
LJTSZIO,O,X,X,X,O,O,O,O,O,X,O
LJTSZOI,O,X,X,X,O,O,O,O,O,X,X
LJTSOIZ,O,X,X,X,O,O,X,O,X,X,O
LJTSOZI,O,X,X,X,O,O,O,O,X,X,X
LJTZISO,O,X,X,X,O,O,O,X,O,X,X
LJTZIOS,O,X,X,X,X,O,X,X,O,X,X
LJTZSIO,O,X,X,X,O,O,O,X,O,X,X
LJTZSOI,O,X,X,X,O,O,O,X,O,X,X
LJTZOIS,O,X,X,X,X,O,X,X,O,X,X
LJTZOSI,O,X,X,X,X,O,X,X,O,X,X
LJTOISZ,X,X,X,X,O,O,X,O,X,X,X
LJTOIZS,X,X,X,X,O,O,X,X,X,X,X
LJTOSIZ,X,X,X,X,O,O,X,O,X,X,X
LJTOSZI,X,X,X,X,O,O,X,O,X,X,X
LJTOZIS,X,X,X,X,O,O,X,X,X,X,X
LJTOZSI,X,X,X,X,O,O,X,X,X,X,X
LJITSZO,O,X,X,X,O,O,X,O,O,X,O
LJITSOZ,O,X,X,X,O,O,X,O,X,X,O
LJITZSO,O,X,X,X,O,O,X,X,O,X,X
LJITZOS,O,X,X,X,X,O,X,X,O,X,X
LJITOSZ,X,X,X,X,O,O,X,O,X,X,X
LJITOZS,X,X,X,X,O,O,X,X,X,X,X
LJISTZO,O,X,O,X,O,O,X,O,O,X,O
LJISTOZ,O,X,O,X,O,O,X,O,X,X,O
LJISZTO,O,X,O,X,X,X,X,O,O,X,X
LJISZOT,O,X,O,X,X,X,X,O,O,X,X
LJISOTZ,O,X,X,X,X,O,X,O,X,X,X
LJISOZT,O,X,X,X,X,X,X,O,X,X,X
LJIZTSO,O,X,O,X,O,O,X,X,O,X,X
LJIZTOS,O,X,X,X,X,O,X,X,O,X,X
LJIZSTO,O,X,O,X,X,X,X,O,O,X,X
LJIZSOT,O,X,O,X,X,X,X,O,O,X,X
LJIZOTS,X,X,X,X,X,O,X,X,O,X,X
LJIZOST,X,X,O,X,X,X,X,O,O,X,X
LJIOTSZ,X,X,X,X,O,O,X,O,X,X,X
LJIOTZS,X,X,X,X,O,O,X,X,X,X,X
LJIOSTZ,X,X,X,X,O,O,X,O,X,X,X
LJIOSZT,X,X,X,X,X,X,X,O,X,X,X
LJIOZTS,X,X,X,X,O,O,X,X,X,X,X
LJIOZST,X,X,X,X,X,X,X,O,X,X,X
LJSTIZO,O,X,O,X,O,O,O,O,O,X,O
LJSTIOZ,O,X,O,X,O,O,X,O,X,X,O
LJSTZIO,O,X,O,X,O,O,O,O,O,X,O
LJSTZOI,O,X,O,X,O,O,O,O,O,X,X
LJSTOIZ,O,X,O,X,O,O,X,O,X,X,O
LJSTOZI,O,X,O,X,O,O,O,O,X,X,X
LJSITZO,O,X,O,X,O,O,X,O,O,X,O
LJSITOZ,O,X,O,X,O,O,X,O,X,X,O
LJSIZTO,O,X,O,X,X,X,X,O,O,X,X
LJSIZOT,O,X,O,X,X,X,X,O,O,X,X
LJSIOTZ,O,X,X,X,X,O,X,O,X,X,X
LJSIOZT,O,X,X,X,X,X,X,O,X,X,X
LJSZTIO,O,X,O,X,X,X,O,O,O,X,X
LJSZTOI,O,X,O,X,X,X,O,O,O,X,X
LJSZITO,O,X,O,X,X,X,O,O,O,X,X
LJSZIOT,O,X,O,X,X,X,X,O,O,X,X
LJSZOTI,O,X,O,X,X,X,X,O,O,X,X
