sequence,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicB9iBTeBfnB8s?B+tB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBeiBtiB6jB/t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhF/hBaiBGeBUjB9s?BTtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB0dBdnBSoBGt?BXtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicBTeBfnBGoBUt?B9sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB/iBGeBNoBUn?BSyB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFmcB6jB0hB3nBTt?BtsB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBXeBdnBCtB+t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBcjBXiBtsB+t?BisB
TZIOJLS,X,X,O,O,X,X,X,X,X
TZIOJSL,X,O,O,O,X,X,X,X,X
TZIOSLJ,X,X,O,X,X,O,O,X,X
TZIOSJL,X,O,O,X,X,X,X,X,X
TZLIJSO,X,X,O,X,X,O,X,O,X
TZLIJOS,X,X,X,X,X,O,X,O,X
TZLISJO,X,X,O,X,O,O,X,X,X
TZLISOJ,X,X,O,X,X,O,X,X,X
TZLIOJS,X,X,X,X,X,O,X,O,X
TZLIOSJ,X,X,X,X,X,O,X,X,X
TZLJISO,X,X,O,X,X,O,X,X,X
TZLJIOS,X,X,X,X,X,O,X,X,X
TZLJSIO,X,X,O,X,X,O,X,X,X
TZLJSOI,X,X,O,X,X,O,X,X,X
TZLJOIS,X,X,X,X,X,O,X,X,X
TZLJOSI,X,X,X,X,X,O,X,X,X
TZLSIJO,X,X,O,X,O,O,X,X,X
TZLSIOJ,X,X,O,X,X,O,X,X,X
TZLSJIO,X,X,O,X,O,O,X,X,X
TZLSJOI,X,X,O,X,X,O,X,X,X
TZLSOIJ,X,X,O,X,X,O,X,X,X
TZLSOJI,X,X,O,X,X,O,X,X,X
TZLOIJS,X,X,X,X,X,O,X,O,X
TZLOISJ,X,X,X,X,X,O,X,X,X
TZLOJIS,X,X,X,X,X,O,X,X,X
TZLOJSI,X,X,X,X,X,O,X,X,X
TZLOSIJ,X,X,X,X,X,O,X,X,X
TZLOSJI,X,X,X,X,X,O,X,X,X
TZJILSO,X,X,O,O,X,X,X,X,X
TZJILOS,X,X,X,O,X,X,X,X,X
TZJISLO,X,O,O,O,O,X,X,X,X
TZJISOL,X,O,O,O,O,X,X,X,X
TZJIOLS,X,X,X,O,X,X,X,X,X
TZJIOSL,X,O,O,O,O,X,X,X,X
TZJLISO,X,X,O,O,X,X,X,X,X
TZJLIOS,X,X,X,O,X,X,X,X,X
TZJLSIO,X,X,O,O,X,X,X,X,X
TZJLSOI,X,X,O,O,X,X,X,X,X
TZJLOIS,X,X,X,O,X,X,X,X,X
TZJLOSI,X,X,X,O,X,X,X,X,X
TZJSILO,X,O,O,O,O,X,X,X,X
TZJSIOL,X,O,O,O,O,X,X,X,X
TZJSLIO,X,O,O,O,O,X,X,X,X
TZJSLOI,X,O,O,O,X,X,X,X,X
TZJSOIL,X,O,O,O,O,X,X,X,X
TZJSOLI,X,O,O,O,X,X,X,X,X
TZJOILS,X,X,X,O,X,X,X,X,X
TZJOISL,X,O,O,O,O,X,X,X,X
TZJOLIS,X,X,X,O,X,X,X,X,X
TZJOLSI,X,X,X,O,X,X,X,X,X
TZJOSIL,X,O,O,O,O,X,X,X,X
TZJOSLI,X,O,O,O,X,X,X,X,X
TZSILJO,X,O,O,X,O,O,X,X,X
TZSILOJ,X,O,O,X,X,O,X,X,X
TZSIJLO,X,O,O,X,O,X,X,X,X
TZSIJOL,X,O,O,X,O,X,X,X,X
TZSIOLJ,X,O,O,X,X,O,X,X,X
TZSIOJL,X,O,O,X,X,X,X,X,X
TZSLIJO,X,O,O,X,O,O,X,X,X
TZSLIOJ,X,O,O,X,X,O,X,X,X
TZSLJIO,X,O,O,X,O,O,X,X,X
TZSLJOI,X,O,O,X,X,O,X,X,X
TZSLOIJ,X,O,O,X,X,O,X,X,X
TZSLOJI,X,O,O,X,X,O,X,X,X
TZSJILO,X,O,O,X,O,X,X,X,X
TZSJIOL,X,O,O,X,O,X,X,X,X
TZSJLIO,X,O,O,X,O,X,X,X,X
TZSJLOI,X,O,O,X,X,X,X,X,X
TZSJOIL,X,O,O,X,O,X,X,X,X
TZSJOLI,X,O,O,X,X,X,X,X,X
TZSOILJ,X,O,O,X,X,O,X,X,X
TZSOIJL,X,O,O,X,X,X,X,X,X
TZSOLIJ,X,O,O,X,X,O,X,X,X
TZSOLJI,X,O,O,X,X,O,X,X,X
TZSOJIL,X,O,O,X,X,X,X,X,X
TZSOJLI,X,O,O,X,X,X,X,X,X
TZOILJS,X,X,O,X,X,O,X,O,X
TZOILSJ,X,X,O,X,X,O,O,X,X
TZOIJLS,X,X,O,O,X,X,X,X,X
TZOIJSL,X,O,O,O,X,X,X,X,X
TZOISLJ,X,X,O,X,X,O,O,X,X
TZOISJL,X,O,O,X,X,X,X,X,X
TZOLIJS,X,X,O,X,X,O,X,O,X
TZOLISJ,X,X,O,X,X,O,O,X,X
TZOLJIS,X,X,O,X,X,O,X,X,X
TZOLJSI,X,X,O,X,X,O,X,X,X
TZOLSIJ,X,X,O,X,X,O,O,X,X
TZOLSJI,X,X,O,X,X,O,X,X,X
TZOJILS,X,X,O,O,X,X,X,X,X
TZOJISL,X,O,O,O,X,X,X,X,X
TZOJLIS,X,X,O,O,X,X,X,X,X
TZOJLSI,X,X,O,O,X,X,X,X,X
TZOJSIL,X,O,O,O,X,X,X,X,X
TZOJSLI,X,O,O,O,X,X,X,X,X
TZOSILJ,X,X,O,X,X,O,O,X,X
TZOSIJL,X,O,O,X,X,X,X,X,X
TZOSLIJ,X,X,O,X,X,O,O,X,X
TZOSLJI,X,X,O,X,X,O,X,X,X
TZOSJIL,X,O,O,X,X,X,X,X,X
TZOSJLI,X,O,O,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,O,X
TOILJZS,X,X,X,O,X,O,X,O,X
TOILSJZ,X,X,O,X,X,X,X,O,X
TOILSZJ,X,X,O,X,X,O,O,X,X
TOILZJS,X,X,O,X,X,O,X,O,X
TOILZSJ,X,X,O,X,X,O,O,X,X
TOIJLSZ,X,X,X,O,X,X,X,O,X
TOIJLZS,X,X,X,O,X,X,X,O,X
TOIJSLZ,X,O,O,O,X,X,X,X,X
TOIJSZL,X,O,O,O,X,X,X,X,X
TOIJZLS,X,X,O,O,X,X,X,X,X
TOIJZSL,X,O,O,O,X,X,X,X,X
TOISLJZ,X,X,O,X,X,X,X,O,X
TOISLZJ,X,X,O,X,X,X,O,X,X
TOISJLZ,X,O,O,O,X,X,X,X,X
TOISJZL,X,O,O,O,X,X,X,X,X
TOISZLJ,X,X,O,X,X,X,O,X,X
TOISZJL,X,X,O,X,X,X,X,X,X
TOIZLJS,X,X,O,X,X,O,X,O,X
TOIZLSJ,X,X,O,X,X,O,O,X,X
TOIZJLS,X,X,O,O,X,X,X,X,X
TOIZJSL,X,O,O,O,X,X,X,X,X
TOIZSLJ,X,X,O,X,X,O,O,X,X
TOIZSJL,X,O,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,O,X,X,X,O,X
TOLIJZS,X,X,X,O,X,O,X,O,X
TOLISJZ,X,X,O,X,X,X,X,O,X
TOLISZJ,X,X,O,X,X,O,O,X,X
TOLIZJS,X,X,O,X,X,O,X,O,X
TOLIZSJ,X,X,O,X,X,O,O,X,X
TOLJISZ,X,X,X,O,X,X,X,O,X
TOLJIZS,X,X,X,O,X,O,X,O,X
TOLJSIZ,X,X,X,O,X,X,X,X,X
TOLJSZI,X,X,X,O,X,X,X,X,X
TOLJZIS,X,X,X,O,X,O,X,X,X
TOLJZSI,X,X,X,O,X,O,X,X,X
TOLSIJZ,X,X,O,X,X,X,X,O,X
TOLSIZJ,X,X,O,X,X,O,O,X,X
TOLSJIZ,X,X,O,X,X,X,X,X,X
TOLSJZI,X,X,O,X,X,X,X,X,X
TOLSZIJ,X,X,O,X,X,O,O,X,X
TOLSZJI,X,X,O,X,X,O,X,X,X
TOLZIJS,X,X,O,X,X,O,X,O,X
TOLZISJ,X,X,O,X,X,O,O,X,X
TOLZJIS,X,X,O,X,X,O,X,X,X
TOLZJSI,X,X,O,X,X,O,X,X,X
TOLZSIJ,X,X,O,X,X,O,O,X,X
TOLZSJI,X,X,O,X,X,O,X,X,X
TOJILSZ,X,X,X,O,X,X,X,O,X
TOJILZS,X,X,X,O,X,X,X,O,X
TOJISLZ,X,O,O,O,X,X,X,X,X
TOJISZL,X,O,O,O,X,X,X,X,X
TOJIZLS,X,X,O,O,X,X,X,X,X
TOJIZSL,X,O,O,O,X,X,X,X,X
TOJLISZ,X,X,X,O,X,X,X,O,X
TOJLIZS,X,X,X,O,X,X,X,O,X
TOJLSIZ,X,X,X,O,X,X,X,X,X
TOJLSZI,X,X,X,O,X,X,X,X,X
TOJLZIS,X,X,X,O,X,X,X,X,X
TOJLZSI,X,X,X,O,X,X,X,X,X
TOJSILZ,X,O,O,O,X,X,X,X,X
TOJSIZL,X,O,O,O,X,X,X,X,X
TOJSLIZ,X,O,O,O,X,X,X,X,X
TOJSLZI,X,O,O,O,X,X,X,X,X
TOJSZIL,X,O,O,O,X,X,X,X,X
TOJSZLI,X,O,O,O,X,X,X,X,X
TOJZILS,X,X,O,O,X,X,X,X,X
TOJZISL,X,O,O,O,X,X,X,X,X
TOJZLIS,X,X,O,O,X,X,X,X,X
TOJZLSI,X,X,O,O,X,X,X,X,X
TOJZSIL,X,O,O,O,X,X,X,X,X
TOJZSLI,X,O,O,O,X,X,X,X,X
TOSILJZ,X,X,O,X,X,X,X,O,X
TOSILZJ,X,X,O,X,X,X,O,X,X
TOSIJLZ,X,O,O,O,X,X,X,X,X
TOSIJZL,X,O,O,O,X,X,X,X,X
TOSIZLJ,X,X,O,X,X,X,O,X,X
TOSIZJL,X,X,O,X,X,X,X,X,X
TOSLIJZ,X,X,O,X,X,X,X,O,X
TOSLIZJ,X,X,O,X,X,X,O,X,X
TOSLJIZ,X,X,O,X,X,X,X,X,X
TOSLJZI,X,X,O,X,X,X,X,X,X
TOSLZIJ,X,X,O,X,X,X,O,X,X
TOSLZJI,X,X,O,X,X,X,X,X,X
TOSJILZ,X,O,O,O,X,X,X,X,X
TOSJIZL,X,O,O,O,X,X,X,X,X
TOSJLIZ,X,O,O,O,X,X,X,X,X
TOSJLZI,X,O,O,O,X,X,X,X,X
TOSJZIL,X,O,O,O,X,X,X,X,X
TOSJZLI,X,O,O,O,X,X,X,X,X
TOSZILJ,X,X,O,X,X,X,O,X,X
TOSZIJL,X,X,O,X,X,X,X,X,X
TOSZLIJ,X,X,O,X,X,X,O,X,X
TOSZLJI,X,X,O,X,X,X,X,X,X
TOSZJIL,X,X,O,X,X,X,X,X,X
TOSZJLI,X,X,O,X,X,X,X,X,X
TOZILJS,X,X,O,X,X,O,X,O,X
TOZILSJ,X,X,O,X,X,O,O,X,X
TOZIJLS,X,X,O,O,X,X,X,X,X
TOZIJSL,X,O,O,O,X,X,X,X,X
TOZISLJ,X,X,O,X,X,O,O,X,X
TOZISJL,X,O,O,X,X,X,X,X,X
TOZLIJS,X,X,O,X,X,O,X,O,X
TOZLISJ,X,X,O,X,X,O,O,X,X
TOZLJIS,X,X,O,X,X,O,X,X,X
TOZLJSI,X,X,O,X,X,O,X,X,X
TOZLSIJ,X,X,O,X,X,O,O,X,X
TOZLSJI,X,X,O,X,X,O,X,X,X
TOZJILS,X,X,O,O,X,X,X,X,X
TOZJISL,X,O,O,O,X,X,X,X,X
TOZJLIS,X,X,O,O,X,X,X,X,X
TOZJLSI,X,X,O,O,X,X,X,X,X
TOZJSIL,X,O,O,O,X,X,X,X,X
TOZJSLI,X,O,O,O,X,X,X,X,X
TOZSILJ,X,X,O,X,X,O,O,X,X
TOZSIJL,X,O,O,X,X,X,X,X,X
TOZSLIJ,X,X,O,X,X,O,O,X,X
TOZSLJI,X,X,O,X,X,O,X,X,X
TOZSJIL,X,O,O,X,X,X,X,X,X
TOZSJLI,X,O,O,X,X,X,X,X,X
ITLJSZO,O,X,X,O,X,X,X,O,X
ITLJSOZ,X,X,X,O,X,X,X,O,X
ITLJZSO,O,X,X,O,X,O,X,O,X
ITLJZOS,X,X,X,O,X,O,X,O,X
ITLJOSZ,X,X,X,O,X,X,X,O,X
ITLJOZS,X,X,X,O,X,O,X,O,X
ITLSJZO,O,X,O,X,X,X,X,O,X
ITLSJOZ,X,X,O,X,X,X,X,O,X
ITLSZJO,X,X,O,X,O,O,X,X,X
ITLSZOJ,X,X,O,X,X,O,X,X,X
ITLSOJZ,X,X,O,X,X,X,X,O,X
ITLSOZJ,X,X,O,X,X,O,X,X,X
ITLZJSO,X,X,O,X,X,O,X,O,X
ITLZJOS,X,X,X,X,X,O,X,O,X
ITLZSJO,X,X,O,X,O,O,X,X,X
ITLZSOJ,X,X,O,X,X,O,X,X,X
ITLZOJS,X,X,X,X,X,O,X,O,X
ITLZOSJ,X,X,X,X,X,O,X,X,X
ITLOJSZ,X,X,X,O,X,X,X,O,X
ITLOJZS,X,X,X,O,X,O,X,O,X
ITLOSJZ,X,X,O,X,X,X,X,O,X
ITLOSZJ,X,X,O,X,X,O,X,X,X
ITLOZJS,X,X,O,X,X,O,X,O,X
ITLOZSJ,X,X,O,X,X,O,X,X,X
ITJLSZO,O,X,X,O,X,X,X,O,O
ITJLSOZ,X,X,X,O,X,X,X,O,O
ITJLZSO,O,X,X,O,X,X,X,O,O
ITJLZOS,X,X,X,O,X,X,X,O,X
ITJLOSZ,X,X,X,O,X,X,X,O,X
ITJLOZS,X,X,X,O,X,X,X,O,X
ITJSLZO,O,O,O,O,X,X,X,X,O
ITJSLOZ,X,O,O,O,X,X,X,X,O
ITJSZLO,O,O,O,O,X,X,X,X,O
ITJSZOL,O,O,O,O,X,X,X,X,O
ITJSOLZ,X,O,O,O,X,X,X,X,O
ITJSOZL,X,O,O,O,X,X,X,X,O
ITJZLSO,O,X,O,O,X,X,X,X,O
ITJZLOS,O,X,X,O,X,X,X,X,X
ITJZSLO,O,O,O,O,X,X,X,X,O
ITJZSOL,O,O,O,O,X,X,X,X,O
ITJZOLS,O,X,X,O,X,X,X,X,X
ITJZOSL,O,O,O,O,X,X,X,X,O
ITJOLSZ,X,X,X,O,X,X,X,O,X
ITJOLZS,X,X,X,O,X,X,X,O,X
ITJOSLZ,X,O,O,O,X,X,X,X,O
ITJOSZL,X,O,O,O,X,X,X,X,O
ITJOZLS,O,X,O,O,X,X,X,X,X
ITJOZSL,O,O,O,O,X,X,X,X,O
ITSLJZO,O,O,O,X,X,X,X,O,X
ITSLJOZ,X,O,O,X,X,X,X,O,X
ITSLZJO,X,O,O,X,O,X,X,X,X
ITSLZOJ,X,X,O,X,X,X,X,X,X
ITSLOJZ,X,O,O,X,X,X,X,O,X
ITSLOZJ,X,X,O,X,X,X,X,X,X
ITSJLZO,O,O,O,O,X,X,X,X,X
ITSJLOZ,X,O,O,O,X,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,X,X
ITSJZOL,O,O,O,O,X,X,X,X,X
ITSJOLZ,X,O,O,O,X,X,X,X,X
ITSJOZL,X,O,O,O,X,X,X,X,X
ITSZLJO,X,O,O,X,O,X,X,X,X
ITSZLOJ,X,X,O,X,X,X,X,X,X
ITSZJLO,X,O,O,X,O,X,X,X,X
ITSZJOL,X,O,O,X,O,X,X,X,X
ITSZOLJ,X,X,O,X,X,X,X,X,X
ITSZOJL,X,X,O,X,X,X,X,X,X
ITSOLJZ,X,O,O,X,X,X,X,O,X
ITSOLZJ,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,O,O,O,X,X,X,X,X
ITSOJZL,X,O,O,O,X,X,X,X,X
ITSOZLJ,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,O,X,X,X,X,X,X
ITZLJSO,X,X,O,X,X,O,X,O,X
ITZLJOS,X,X,X,X,X,O,X,O,X
ITZLSJO,X,X,O,X,O,O,X,X,X
ITZLSOJ,X,X,O,X,X,O,X,X,X
ITZLOJS,X,X,X,X,X,O,X,O,X
ITZLOSJ,X,X,X,X,X,O,X,X,X
ITZJLSO,X,X,O,O,X,X,X,X,X
ITZJLOS,X,X,X,O,X,X,X,X,X
ITZJSLO,X,O,O,O,O,X,X,X,X
ITZJSOL,X,O,O,O,O,X,X,X,X
ITZJOLS,X,X,X,O,X,X,X,X,X
ITZJOSL,X,O,O,O,O,X,X,X,X
ITZSLJO,X,O,O,X,O,O,X,X,X
ITZSLOJ,X,O,O,X,X,O,X,X,X
ITZSJLO,X,O,O,X,O,X,X,X,X
ITZSJOL,X,O,O,X,O,X,X,X,X
ITZSOLJ,X,O,O,X,X,O,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X,X
ITZOLJS,X,X,O,X,X,O,X,O,X
ITZOLSJ,X,X,O,X,X,O,O,X,X
ITZOJLS,X,X,O,O,X,X,X,X,X
ITZOJSL,X,O,O,O,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,O,O,X,X
ITZOSJL,X,O,O,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,O,X
ITOLJZS,X,X,X,O,X,O,X,O,X
ITOLSJZ,X,X,O,X,X,X,X,O,X
ITOLSZJ,X,X,O,X,X,O,O,X,X
ITOLZJS,X,X,O,X,X,O,X,O,X
ITOLZSJ,X,X,O,X,X,O,O,X,X
ITOJLSZ,X,X,X,O,X,X,X,O,X
ITOJLZS,X,X,X,O,X,X,X,O,X
ITOJSLZ,X,O,O,O,X,X,X,X,X
ITOJSZL,X,O,O,O,X,X,X,X,X
ITOJZLS,X,X,O,O,X,X,X,X,X
ITOJZSL,X,O,O,O,X,X,X,X,X
ITOSLJZ,X,X,O,X,X,X,X,O,X
ITOSLZJ,X,X,O,X,X,X,O,X,X
ITOSJLZ,X,O,O,O,X,X,X,X,X
ITOSJZL,X,O,O,O,X,X,X,X,X
ITOSZLJ,X,X,O,X,X,X,O,X,X
ITOSZJL,X,X,O,X,X,X,X,X,X
ITOZLJS,X,X,O,X,X,O,X,O,X
ITOZLSJ,X,X,O,X,X,O,O,X,X
ITOZJLS,X,X,O,O,X,X,X,X,X
ITOZJSL,X,O,O,O,X,X,X,X,X
ITOZSLJ,X,X,O,X,X,O,O,X,X
ITOZSJL,X,O,O,X,X,X,X,X,X
ILTJSZO,O,X,X,O,X,X,X,O,X
ILTJSOZ,X,X,X,O,X,X,X,O,X
ILTJZSO,O,X,X,O,X,O,X,O,X
ILTJZOS,X,X,X,O,X,O,X,O,X
ILTJOSZ,X,X,X,O,X,X,X,O,X
ILTJOZS,X,X,X,O,X,O,X,O,X
ILTSJZO,O,X,O,X,X,X,X,O,X
ILTSJOZ,X,X,O,X,X,X,X,O,X
ILTSZJO,X,X,O,X,O,O,X,X,X
ILTSZOJ,X,X,O,X,X,O,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,O,X
ILTSOZJ,X,X,O,X,X,O,X,X,X
ILTZJSO,X,X,O,X,X,O,X,O,X
ILTZJOS,X,X,X,X,X,O,X,O,X
ILTZSJO,X,X,O,X,O,O,X,X,X
ILTZSOJ,X,X,O,X,X,O,X,X,X
ILTZOJS,X,X,X,X,X,O,X,O,X
ILTZOSJ,X,X,X,X,X,O,X,X,X
ILTOJSZ,X,X,X,O,X,X,X,O,X
ILTOJZS,X,X,X,O,X,O,X,O,X
ILTOSJZ,X,X,O,X,X,X,X,O,X
ILTOSZJ,X,X,O,X,X,O,X,X,X
ILTOZJS,X,X,O,X,X,O,X,O,X
ILTOZSJ,X,X,O,X,X,O,X,X,X
ILJTSZO,O,X,X,O,X,X,X,O,O
ILJTSOZ,X,X,X,O,X,X,X,O,O
ILJTZSO,O,X,X,O,X,O,X,O,O
ILJTZOS,X,X,X,O,X,O,X,O,X
ILJTOSZ,X,X,X,O,X,X,X,O,X
ILJTOZS,X,X,X,O,X,O,X,O,X
ILJSTZO,O,O,X,O,X,X,X,X,X
ILJSTOZ,X,O,X,O,X,X,X,X,X
ILJSZTO,O,X,X,X,O,X,X,X,X
ILJSZOT,O,X,X,X,O,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X
ILJSOZT,O,X,X,X,X,X,X,X,X
ILJZTSO,O,X,X,O,X,O,X,X,O
ILJZTOS,O,X,X,O,X,O,X,X,X
ILJZSTO,O,O,X,X,O,O,X,X,X
ILJZSOT,O,O,X,X,O,O,X,X,X
ILJZOTS,O,X,X,X,X,O,X,X,X
ILJZOST,O,O,X,X,X,O,X,X,X
ILJOTSZ,X,X,X,O,X,X,X,O,X
ILJOTZS,X,X,X,O,X,O,X,O,X
ILJOSTZ,X,O,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,X,X,X
ILJOZTS,O,X,X,X,X,O,X,X,X
ILJOZST,O,O,X,X,X,O,X,X,X
ILSTJZO,O,O,O,X,X,X,X,O,X
ILSTJOZ,X,O,O,X,X,X,X,O,X
ILSTZJO,X,O,O,X,O,O,X,X,X
ILSTZOJ,X,X,O,X,X,O,X,X,X
ILSTOJZ,X,O,O,X,X,X,X,O,X
ILSTOZJ,X,X,O,X,X,O,X,X,X
ILSJTZO,O,O,O,X,X,X,X,X,X
ILSJTOZ,X,O,O,X,X,X,X,X,X
ILSJZTO,O,X,X,X,O,X,X,X,X
ILSJZOT,O,X,X,X,O,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X,X
ILSZTJO,X,O,O,X,O,O,X,X,X
ILSZTOJ,X,X,O,X,X,O,X,X,X
ILSZJTO,O,X,X,X,O,O,X,X,X
ILSZJOT,O,X,X,X,O,O,X,X,X
ILSZOTJ,X,X,X,X,X,O,X,X,X
ILSZOJT,X,X,X,X,O,O,X,X,X
ILSOTJZ,X,O,O,X,X,X,X,O,X
ILSOTZJ,X,X,O,X,X,O,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,O,X,X,X
ILSOZJT,X,X,X,X,O,O,X,X,X
ILZTJSO,X,X,X,X,X,O,X,O,X
ILZTJOS,X,X,X,X,X,O,X,O,X
ILZTSJO,X,X,X,X,O,O,X,X,X
ILZTSOJ,X,X,X,X,X,O,X,X,X
ILZTOJS,X,X,X,X,X,O,X,O,X
ILZTOSJ,X,X,X,X,X,O,X,X,X
ILZJTSO,O,X,X,X,X,O,X,X,X
ILZJTOS,X,X,X,X,X,O,X,X,X
ILZJSTO,O,O,X,X,O,O,X,X,X
ILZJSOT,O,O,X,X,O,O,X,X,X
ILZJOTS,X,X,X,X,X,O,X,X,X
ILZJOST,O,O,X,X,O,O,X,X,X
ILZSTJO,X,O,X,X,O,O,X,X,X
ILZSTOJ,X,O,X,X,X,O,X,X,X
ILZSJTO,O,O,X,X,O,O,X,X,X
ILZSJOT,O,O,X,X,O,O,X,X,X
ILZSOTJ,X,O,X,X,X,O,X,X,X
ILZSOJT,X,O,X,X,O,O,X,X,X
ILZOTJS,X,X,X,X,X,O,X,O,X
ILZOTSJ,X,X,X,X,X,O,O,X,X
ILZOJTS,X,X,X,X,X,O,X,X,X
ILZOJST,X,O,X,X,X,O,O,X,X
ILZOSTJ,X,X,X,X,X,O,O,X,X
ILZOSJT,X,O,X,X,O,O,O,X,X
ILOTJSZ,X,X,X,O,X,X,X,O,X
ILOTJZS,X,X,X,O,X,O,X,O,X
ILOTSJZ,X,X,O,X,X,X,X,O,X
ILOTSZJ,X,X,O,X,X,O,O,X,X
ILOTZJS,X,X,O,X,X,O,X,O,X
ILOTZSJ,X,X,O,X,X,O,O,X,X
ILOJTSZ,X,X,X,O,X,X,X,O,X
ILOJTZS,X,X,X,O,X,O,X,O,X
ILOJSTZ,X,O,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,O,X,X
ILOJZTS,X,X,X,X,X,O,X,X,X
ILOJZST,O,O,X,X,X,O,O,X,X
ILOSTJZ,X,X,O,X,X,X,X,O,X
ILOSTZJ,X,X,O,X,X,O,O,X,X
ILOSJTZ,X,O,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,X,X,O,O,X,X
ILOSZJT,X,X,X,X,O,O,O,X,X
ILOZTJS,X,X,X,X,X,O,X,O,X
ILOZTSJ,X,X,X,X,X,O,O,X,X
ILOZJTS,X,X,X,X,X,O,X,X,X
ILOZJST,X,O,X,X,X,O,O,X,X
ILOZSTJ,X,X,X,X,X,O,O,X,X
ILOZSJT,X,O,X,X,O,O,O,X,X
IJTLSZO,O,X,X,O,X,X,X,O,O
IJTLSOZ,X,X,X,O,X,X,X,O,O
IJTLZSO,O,X,X,O,X,X,X,O,O
IJTLZOS,X,X,X,O,X,X,X,O,X
IJTLOSZ,X,X,X,O,X,X,X,O,X
IJTLOZS,X,X,X,O,X,X,X,O,X
IJTSLZO,O,O,O,O,X,X,X,X,O
IJTSLOZ,X,O,O,O,X,X,X,X,O
IJTSZLO,O,O,O,O,X,X,X,X,O
IJTSZOL,O,O,O,O,X,X,X,X,O
IJTSOLZ,X,O,O,O,X,X,X,X,O
IJTSOZL,X,O,O,O,X,X,X,X,O
IJTZLSO,O,X,O,O,X,X,X,X,O
IJTZLOS,O,X,X,O,X,X,X,X,X
IJTZSLO,O,O,O,O,X,X,X,X,O
IJTZSOL,O,O,O,O,X,X,X,X,O
IJTZOLS,O,X,X,O,X,X,X,X,X
IJTZOSL,O,O,O,O,X,X,X,X,O
IJTOLSZ,X,X,X,O,X,X,X,O,X
IJTOLZS,X,X,X,O,X,X,X,O,X
IJTOSLZ,X,O,O,O,X,X,X,X,O
IJTOSZL,X,O,O,O,X,X,X,X,O
IJTOZLS,O,X,O,O,X,X,X,X,X
IJTOZSL,O,O,O,O,X,X,X,X,O
IJLTSZO,O,X,X,O,X,X,X,O,O
IJLTSOZ,X,X,X,O,X,X,X,O,O
IJLTZSO,O,X,X,O,X,O,X,O,O
IJLTZOS,X,X,X,O,X,O,X,O,X
IJLTOSZ,X,X,X,O,X,X,X,O,X
IJLTOZS,X,X,X,O,X,O,X,O,X
IJLSTZO,O,O,X,O,X,X,X,X,X
IJLSTOZ,X,O,X,O,X,X,X,X,X
IJLSZTO,O,X,X,X,O,X,X,X,X
IJLSZOT,O,X,X,X,O,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,X,X,X,X,X
IJLZTSO,O,X,X,O,X,O,X,X,O
IJLZTOS,O,X,X,O,X,O,X,X,X
IJLZSTO,O,O,X,X,O,O,X,X,X
IJLZSOT,O,O,X,X,O,O,X,X,X
IJLZOTS,O,X,X,X,X,O,X,X,X
IJLZOST,O,O,X,X,X,O,X,X,X
IJLOTSZ,X,X,X,O,X,X,X,O,X
IJLOTZS,X,X,X,O,X,O,X,O,X
IJLOSTZ,X,O,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,O,X,X,X
IJLOZST,O,O,X,X,X,O,X,X,X
IJSTLZO,O,O,O,O,X,X,X,X,O
IJSTLOZ,X,O,O,O,X,X,X,X,O
IJSTZLO,O,O,O,O,X,X,X,X,O
IJSTZOL,O,O,O,O,X,X,X,X,O
IJSTOLZ,X,O,O,O,X,X,X,X,O
IJSTOZL,X,O,O,O,X,X,X,X,O
IJSLTZO,O,O,O,O,X,X,X,X,X
IJSLTOZ,X,O,O,O,X,X,X,X,X
