sequence,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBUdB?ajB5jBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhF3dB5jB?zfBeoBFnBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFUdB5jB?zfBeoBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBUdB?FeB+oBRnBTsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBFdB?TeBWoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jem6IvhFTeB0fB?XiBxsBCtBFsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFFdBzfB?GjBXjBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBajB?5jBXiB1sBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFzfBxiB?FnBXoBGoBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFGeBzfB?XiBVoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je39IvhF5jBlfB?isB8sBmpBzrB
TSJZLIO,O,X,X,O,X,X,X,O,X,X,X
TSJZLOI,O,X,X,O,X,X,X,O,X,X,X
TSJZOIL,O,O,O,X,X,X,X,O,X,X,X
TSJZOLI,O,O,O,O,X,X,X,O,X,X,X
TSJOILZ,O,O,O,O,X,X,X,O,O,X,X
TSJOIZL,O,O,O,O,X,X,X,O,X,X,X
TSJOLIZ,O,O,O,O,X,X,X,O,O,X,X
TSJOLZI,O,O,O,O,X,X,X,O,X,X,X
TSJOZIL,O,O,O,O,X,X,X,O,X,X,X
TSJOZLI,O,O,O,O,X,X,X,O,X,X,X
TSZILJO,O,X,X,X,O,O,X,O,X,X,X
TSZILOJ,O,X,X,X,O,O,X,X,X,X,X
TSZIJLO,O,X,X,X,O,O,X,O,X,X,X
TSZIJOL,O,X,X,X,O,X,X,O,X,X,X
TSZIOLJ,O,X,X,X,O,X,X,X,O,X,X
TSZIOJL,O,X,X,X,O,X,X,X,X,X,X
TSZLIJO,O,X,X,X,O,X,X,O,X,X,X
TSZLIOJ,O,X,X,X,O,X,X,X,X,X,X
TSZLJIO,O,X,X,O,X,X,X,O,X,X,X
TSZLJOI,O,X,X,O,X,X,X,O,X,X,X
TSZLOIJ,O,X,X,X,X,X,X,X,X,X,X
TSZLOJI,O,X,X,O,X,X,X,X,X,X,X
TSZJILO,O,X,X,O,X,O,X,O,X,X,X
TSZJIOL,O,X,O,O,X,X,X,O,X,X,X
TSZJLIO,O,X,X,O,X,X,X,O,X,X,X
TSZJLOI,O,X,X,O,X,X,X,O,X,X,X
TSZJOIL,O,X,O,X,X,X,X,O,X,X,X
TSZJOLI,O,X,O,O,X,X,X,O,X,X,X
TSZOILJ,O,X,X,X,X,X,X,X,O,X,X
TSZOIJL,O,X,X,X,X,X,X,X,X,X,X
TSZOLIJ,O,X,X,X,X,X,X,X,O,X,X
TSZOLJI,O,X,O,O,X,X,X,X,X,X,X
TSZOJIL,O,X,O,O,X,X,X,X,X,X,X
TSZOJLI,O,X,O,O,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,O,X,O,O,O,O,X
TSOILZJ,O,X,X,X,O,X,O,X,O,O,X
TSOIJLZ,O,X,X,X,O,X,O,O,O,O,X
TSOIJZL,O,X,X,X,O,X,X,O,X,O,X
TSOIZLJ,O,X,X,X,O,X,O,X,O,O,X
TSOIZJL,O,X,X,X,O,X,O,X,X,O,X
TSOLIJZ,O,X,X,X,O,X,O,O,O,O,X
TSOLIZJ,O,X,X,X,O,X,O,X,O,O,X
TSOLJIZ,O,O,O,O,X,X,X,O,O,X,X
TSOLJZI,O,O,O,O,X,X,X,O,X,X,X
TSOLZIJ,O,X,X,X,X,X,X,X,O,X,X
TSOLZJI,O,X,O,O,X,X,X,X,X,X,X
TSOJILZ,O,O,O,O,X,X,X,O,O,X,X
TSOJIZL,O,O,O,O,X,X,X,O,X,X,X
TSOJLIZ,O,O,O,O,X,X,X,O,O,X,X
TSOJLZI,O,O,O,O,X,X,X,O,X,X,X
TSOJZIL,O,O,O,O,X,X,X,O,X,X,X
TSOJZLI,O,O,O,O,X,X,X,O,X,X,X
TSOZILJ,O,X,X,X,X,X,X,X,O,X,X
TSOZIJL,O,X,X,X,X,X,X,X,X,X,X
TSOZLIJ,O,X,X,X,X,X,X,X,O,X,X
TSOZLJI,O,X,O,O,X,X,X,X,X,X,X
TSOZJIL,O,X,O,O,X,X,X,X,X,X,X
TSOZJLI,O,X,O,O,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,O,O,X,O,X,X,O
TZILJOS,O,X,X,X,O,O,O,O,X,X,X
TZILSJO,O,X,X,X,O,O,X,O,X,X,O
TZILSOJ,X,X,X,X,O,O,X,X,X,X,O
TZILOJS,O,X,X,X,X,O,O,X,X,X,X
TZILOSJ,X,X,X,X,X,O,O,X,X,X,O
TZIJLSO,O,X,X,X,O,O,X,O,X,X,X
TZIJLOS,O,X,O,X,O,O,O,O,X,X,X
TZIJSLO,O,X,X,X,O,O,X,O,X,X,X
TZIJSOL,O,X,O,X,O,X,O,O,X,X,X
TZIJOLS,O,X,O,X,O,X,O,O,X,X,X
TZIJOSL,O,X,O,X,O,X,O,O,X,X,X
TZISLJO,O,X,X,X,O,O,X,O,X,X,X
TZISLOJ,X,X,X,X,O,O,X,X,X,X,X
TZISJLO,O,X,X,X,O,O,X,O,X,X,X
TZISJOL,O,X,X,X,O,X,O,O,X,X,X
TZISOLJ,X,X,X,X,O,X,O,X,X,X,X
TZISOJL,X,X,X,X,O,X,O,X,X,X,X
TZIOLJS,O,X,O,X,X,X,O,X,X,X,X
TZIOLSJ,X,X,X,X,X,X,O,X,O,X,X
TZIOJLS,O,X,O,X,O,X,O,X,X,X,X
TZIOJSL,O,X,O,X,O,X,O,X,X,X,X
TZIOSLJ,X,X,X,X,O,X,O,X,X,X,X
TZIOSJL,X,X,X,X,O,X,O,X,X,X,X
TZLIJSO,O,X,X,X,X,X,X,O,X,X,O
TZLIJOS,O,X,X,X,X,X,X,O,X,X,X
TZLISJO,O,X,X,X,X,X,X,O,X,X,O
TZLISOJ,X,X,X,X,X,X,X,X,X,X,O
TZLIOJS,O,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X,X,X,X,X,O
TZLJISO,O,X,X,X,X,X,X,O,X,X,X
TZLJIOS,O,X,O,X,X,X,X,O,X,X,X
TZLJSIO,O,X,X,X,X,X,X,O,X,X,X
TZLJSOI,O,X,X,X,X,X,X,O,X,X,X
TZLJOIS,O,X,O,X,X,X,X,O,X,X,X
TZLJOSI,O,X,O,X,X,X,X,O,X,X,X
TZLSIJO,O,X,X,X,X,X,X,O,X,X,X
TZLSIOJ,X,X,X,X,X,X,X,X,X,X,X
TZLSJIO,O,X,X,X,X,X,X,O,X,X,X
TZLSJOI,O,X,X,X,X,X,X,O,X,X,X
TZLSOIJ,X,X,X,X,X,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X,X,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X,X,X,X
TZLOISJ,X,X,X,X,X,X,X,X,X,X,X
TZLOJIS,O,X,O,X,X,X,X,X,X,X,X
TZLOJSI,O,X,O,X,X,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X,X,X,X,X,X
TZLOSJI,X,X,O,X,X,X,X,X,X,X,X
TZJILSO,O,X,X,O,X,O,X,O,X,X,X
TZJILOS,O,X,O,X,X,O,X,O,X,X,X
TZJISLO,O,X,X,O,X,O,X,O,X,X,X
TZJISOL,O,O,O,O,X,X,X,O,X,X,X
TZJIOLS,O,O,O,X,X,X,X,O,X,X,X
TZJIOSL,O,O,O,O,X,X,X,O,X,X,X
TZJLISO,O,X,X,X,X,X,X,O,X,X,X
TZJLIOS,O,X,O,X,X,X,X,O,X,X,X
TZJLSIO,O,X,X,O,X,X,X,O,X,X,X
TZJLSOI,O,X,X,O,X,X,X,O,X,X,X
TZJLOIS,O,X,O,X,X,X,X,O,X,X,X
TZJLOSI,O,X,O,X,X,X,X,O,X,X,X
TZJSILO,O,X,X,O,X,O,X,O,X,X,X
TZJSIOL,O,O,O,O,X,X,X,O,X,X,X
TZJSLIO,O,X,X,O,X,X,X,O,X,X,X
TZJSLOI,O,X,X,O,X,X,X,O,X,X,X
TZJSOIL,O,O,O,X,X,X,X,O,X,X,X
TZJSOLI,O,O,O,O,X,X,X,O,X,X,X
TZJOILS,O,O,O,X,X,X,X,O,X,X,X
TZJOISL,O,O,O,X,X,X,X,O,X,X,X
TZJOLIS,O,O,O,X,X,X,X,O,X,X,X
TZJOLSI,O,O,O,X,X,X,X,O,X,X,X
TZJOSIL,O,O,O,X,X,X,X,O,X,X,X
TZJOSLI,O,O,O,O,X,X,X,O,X,X,X
TZSILJO,O,X,X,X,O,O,X,O,X,X,X
TZSILOJ,X,X,X,X,O,O,X,X,X,X,X
TZSIJLO,O,X,X,X,O,O,X,O,X,X,X
TZSIJOL,O,X,X,X,O,X,X,O,X,X,X
TZSIOLJ,X,X,X,X,O,X,X,X,O,X,X
TZSIOJL,X,X,X,X,O,X,X,X,X,X,X
TZSLIJO,O,X,X,X,O,X,X,O,X,X,X
TZSLIOJ,X,X,X,X,O,X,X,X,X,X,X
TZSLJIO,O,X,X,O,X,X,X,O,X,X,X
TZSLJOI,O,X,X,O,X,X,X,O,X,X,X
TZSLOIJ,X,X,X,X,X,X,X,X,X,X,X
TZSLOJI,X,X,X,O,X,X,X,X,X,X,X
TZSJILO,O,X,X,O,X,O,X,O,X,X,X
TZSJIOL,O,X,O,O,X,X,X,O,X,X,X
TZSJLIO,O,X,X,O,X,X,X,O,X,X,X
TZSJLOI,O,X,X,O,X,X,X,O,X,X,X
TZSJOIL,O,X,O,X,X,X,X,O,X,X,X
TZSJOLI,O,X,O,O,X,X,X,O,X,X,X
TZSOILJ,X,X,X,X,X,X,X,X,O,X,X
TZSOIJL,X,X,X,X,X,X,X,X,X,X,X
TZSOLIJ,X,X,X,X,X,X,X,X,O,X,X
TZSOLJI,X,X,O,O,X,X,X,X,X,X,X
TZSOJIL,X,X,O,O,X,X,X,X,X,X,X
TZSOJLI,X,X,O,O,X,X,X,X,X,X,X
TZOILJS,O,X,O,X,X,X,O,X,X,X,X
TZOILSJ,X,X,X,X,X,X,O,X,O,X,X
TZOIJLS,O,X,O,X,X,X,O,X,X,X,X
TZOIJSL,O,X,O,X,X,X,O,X,X,X,X
TZOISLJ,X,X,X,X,X,X,O,X,X,X,X
TZOISJL,X,X,X,X,X,X,O,X,X,X,X
TZOLIJS,O,X,O,X,X,X,O,X,X,X,X
TZOLISJ,X,X,X,X,X,X,O,X,O,X,X
TZOLJIS,O,O,O,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X,X,X,O,X,X
TZOLSJI,X,X,O,X,X,X,X,X,X,X,X
TZOJILS,O,O,O,O,X,X,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,X,X,X,X,X
TZOJLIS,O,O,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,O,O,X,X,X,X,X,X,X
TZOJSIL,O,O,O,O,X,X,X,X,X,X,X
TZOJSLI,O,O,O,O,X,X,X,X,X,X,X
TZOSILJ,X,X,X,X,X,X,X,X,O,X,X
TZOSIJL,X,X,X,X,X,X,X,X,X,X,X
TZOSLIJ,X,X,X,X,X,X,X,X,O,X,X
TZOSLJI,X,X,O,O,X,X,X,X,X,X,X
TZOSJIL,X,X,O,O,X,X,X,X,X,X,X
TZOSJLI,X,X,O,O,X,X,X,X,X,X,X
TOILJSZ,X,O,O,X,X,X,O,O,O,O,X
TOILJZS,X,O,O,X,X,X,O,O,X,O,X
TOILSJZ,X,X,X,X,X,X,O,O,O,O,X
TOILSZJ,X,X,X,X,X,X,O,X,O,O,X
TOILZJS,X,X,O,X,X,X,O,X,X,O,X
TOILZSJ,X,X,X,X,X,X,O,X,O,O,O
TOIJLSZ,X,O,O,X,O,X,O,O,O,O,X
TOIJLZS,O,O,O,X,X,X,O,O,X,O,X
TOIJSLZ,X,O,O,X,O,X,O,O,X,O,X
TOIJSZL,O,O,O,X,O,X,X,O,X,O,X
TOIJZLS,O,O,O,X,X,X,O,O,X,O,X
TOIJZSL,O,O,O,X,O,X,O,O,X,O,X
TOISLJZ,X,X,X,X,O,X,O,O,O,O,X
TOISLZJ,X,X,X,X,O,X,O,X,O,O,X
TOISJLZ,X,X,X,X,O,X,O,O,O,O,X
TOISJZL,X,X,X,X,O,X,X,O,X,O,X
TOISZLJ,X,X,X,X,O,X,O,X,O,O,X
TOISZJL,X,X,X,X,O,X,O,X,X,O,X
TOIZLJS,O,X,O,X,X,X,O,X,X,O,X
TOIZLSJ,X,X,X,X,X,X,O,X,O,O,X
TOIZJLS,O,X,O,X,O,X,O,X,X,O,X
TOIZJSL,O,X,O,X,O,X,O,X,X,O,X
TOIZSLJ,X,X,X,X,O,X,O,X,X,O,X
TOIZSJL,X,X,X,X,O,X,O,X,X,O,X
TOLIJSZ,X,O,O,X,X,X,O,O,O,O,X
TOLIJZS,X,O,O,X,X,X,O,O,X,O,X
TOLISJZ,X,X,X,X,X,X,O,O,O,O,X
TOLISZJ,X,X,X,X,X,X,O,X,O,O,X
TOLIZJS,X,X,O,X,X,X,O,X,X,O,X
TOLIZSJ,X,X,X,X,X,X,O,X,O,O,O
TOLJISZ,X,O,O,X,X,X,O,O,O,X,X
TOLJIZS,X,O,O,X,X,X,O,O,X,X,X
TOLJSIZ,X,O,O,X,X,X,X,O,O,X,X
TOLJSZI,X,O,O,X,X,X,X,O,X,X,X
TOLJZIS,X,O,O,X,X,X,X,O,X,X,X
TOLJZSI,X,O,O,X,X,X,X,O,X,X,X
TOLSIJZ,X,X,X,X,X,X,O,O,O,O,X
TOLSIZJ,X,X,X,X,X,X,O,X,O,O,X
TOLSJIZ,X,O,O,X,X,X,X,O,O,X,X
TOLSJZI,X,O,O,X,X,X,X,O,X,X,X
TOLSZIJ,X,X,X,X,X,X,X,X,O,X,X
TOLSZJI,X,X,O,X,X,X,X,X,X,X,X
TOLZIJS,X,X,O,X,X,X,O,X,X,X,X
TOLZISJ,X,X,X,X,X,X,O,X,O,X,X
TOLZJIS,X,O,O,X,X,X,X,X,X,X,X
TOLZJSI,X,O,O,X,X,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,X,X,X,O,X,X
TOLZSJI,X,X,O,X,X,X,X,X,X,X,X
TOJILSZ,X,O,O,O,X,X,O,O,O,X,X
TOJILZS,O,O,O,O,X,X,O,O,X,X,X
TOJISLZ,X,O,O,O,X,X,O,O,X,X,X
TOJISZL,O,O,O,O,X,X,X,O,X,X,X
TOJIZLS,O,O,O,O,X,X,O,O,X,X,X
TOJIZSL,O,O,O,O,X,X,O,O,X,X,X
TOJLISZ,X,O,O,X,X,X,O,O,O,X,X
TOJLIZS,O,O,O,X,X,X,O,O,X,X,X
TOJLSIZ,X,O,O,O,X,X,X,O,O,X,X
TOJLSZI,X,O,O,O,X,X,X,O,X,X,X
TOJLZIS,O,O,O,X,X,X,X,O,X,X,X
TOJLZSI,O,O,O,O,X,X,X,O,X,X,X
TOJSILZ,X,O,O,O,X,X,X,O,O,X,X
TOJSIZL,O,O,O,O,X,X,X,O,X,X,X
TOJSLIZ,X,O,O,O,X,X,X,O,O,X,X
TOJSLZI,X,O,O,O,X,X,X,O,X,X,X
TOJSZIL,O,O,O,O,X,X,X,O,X,X,X
TOJSZLI,O,O,O,O,X,X,X,O,X,X,X
TOJZILS,O,O,O,O,X,X,X,O,X,X,X
TOJZISL,O,O,O,O,X,X,X,O,X,X,X
TOJZLIS,O,O,O,X,X,X,X,O,X,X,X
TOJZLSI,O,O,O,O,X,X,X,O,X,X,X
TOJZSIL,O,O,O,O,X,X,X,O,X,X,X
TOJZSLI,O,O,O,O,X,X,X,O,X,X,X
TOSILJZ,X,X,X,X,O,X,O,O,O,O,X
TOSILZJ,X,X,X,X,O,X,O,X,O,O,X
TOSIJLZ,X,X,X,X,O,X,O,O,O,O,X
TOSIJZL,X,X,X,X,O,X,X,O,X,O,X
TOSIZLJ,X,X,X,X,O,X,O,X,O,O,X
TOSIZJL,X,X,X,X,O,X,O,X,X,O,X
TOSLIJZ,X,X,X,X,O,X,O,O,O,O,X
TOSLIZJ,X,X,X,X,O,X,O,X,O,O,X
TOSLJIZ,X,O,O,O,X,X,X,O,O,X,X
TOSLJZI,X,O,O,O,X,X,X,O,X,X,X
TOSLZIJ,X,X,X,X,X,X,X,X,O,X,X
TOSLZJI,X,X,O,O,X,X,X,X,X,X,X
TOSJILZ,X,O,O,O,X,X,X,O,O,X,X
TOSJIZL,X,O,O,O,X,X,X,O,X,X,X
TOSJLIZ,X,O,O,O,X,X,X,O,O,X,X
TOSJLZI,X,O,O,O,X,X,X,O,X,X,X
TOSJZIL,X,O,O,O,X,X,X,O,X,X,X
TOSJZLI,X,O,O,O,X,X,X,O,X,X,X
TOSZILJ,X,X,X,X,X,X,X,X,O,X,X
TOSZIJL,X,X,X,X,X,X,X,X,X,X,X
TOSZLIJ,X,X,X,X,X,X,X,X,O,X,X
TOSZLJI,X,X,O,O,X,X,X,X,X,X,X
TOSZJIL,X,X,O,O,X,X,X,X,X,X,X
TOSZJLI,X,X,O,O,X,X,X,X,X,X,X
TOZILJS,O,X,O,X,X,X,O,X,X,X,X
TOZILSJ,X,X,X,X,X,X,O,X,O,X,X
TOZIJLS,O,X,O,X,X,X,O,X,X,X,X
TOZIJSL,O,X,O,X,X,X,O,X,X,X,X
TOZISLJ,X,X,X,X,X,X,O,X,X,X,X
TOZISJL,X,X,X,X,X,X,O,X,X,X,X
TOZLIJS,O,X,O,X,X,X,O,X,X,X,X
TOZLISJ,X,X,X,X,X,X,O,X,O,X,X
TOZLJIS,O,O,O,X,X,X,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,X,X,X,X,O,X,X
TOZLSJI,X,X,O,X,X,X,X,X,X,X,X
TOZJILS,O,O,O,O,X,X,X,X,X,X,X
TOZJISL,O,O,O,O,X,X,X,X,X,X,X
TOZJLIS,O,O,O,X,X,X,X,X,X,X,X
TOZJLSI,O,O,O,O,X,X,X,X,X,X,X
TOZJSIL,O,O,O,O,X,X,X,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,X,X,X,X
TOZSILJ,X,X,X,X,X,X,X,X,O,X,X
TOZSIJL,X,X,X,X,X,X,X,X,X,X,X
TOZSLIJ,X,X,X,X,X,X,X,X,O,X,X
TOZSLJI,X,X,O,O,X,X,X,X,X,X,X
TOZSJIL,X,X,O,O,X,X,X,X,X,X,X
TOZSJLI,X,X,O,O,X,X,X,X,X,X,X
ITLJSZO,X,X,X,X,O,X,X,O,X,X,X
ITLJSOZ,X,X,X,X,O,X,X,O,X,O,X
ITLJZSO,O,X,X,X,X,X,X,O,X,X,O
ITLJZOS,O,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,O,X,O,O,X,O,X
ITLJOZS,O,X,X,X,X,X,O,O,X,O,X
ITLSJZO,X,X,X,X,O,X,X,O,X,X,X
ITLSJOZ,X,X,X,X,O,X,X,O,X,O,X
ITLSZJO,X,X,X,X,O,O,X,O,X,X,O
ITLSZOJ,X,X,X,X,O,O,X,X,X,X,O
ITLSOJZ,X,X,X,X,O,X,X,O,X,O,X
ITLSOZJ,X,X,X,X,O,O,X,X,X,O,X
ITLZJSO,O,X,X,X,O,O,X,O,X,X,O
ITLZJOS,O,X,X,X,O,O,O,O,X,X,X
ITLZSJO,O,X,X,X,O,O,X,O,X,X,O
ITLZSOJ,X,X,X,X,O,O,X,X,X,X,O
ITLZOJS,O,X,X,X,X,O,O,X,X,X,X
ITLZOSJ,X,X,X,X,X,O,O,X,X,X,O
ITLOJSZ,X,X,X,X,X,X,O,O,O,O,X
ITLOJZS,X,X,X,X,X,X,O,O,X,O,X
ITLOSJZ,X,X,X,X,X,X,O,O,O,O,X
ITLOSZJ,X,X,X,X,X,O,O,X,O,O,X
ITLOZJS,X,X,X,X,X,O,O,X,X,O,X
ITLOZSJ,X,X,X,X,X,O,O,X,O,O,O
ITJLSZO,X,X,X,X,O,X,X,O,X,X,X
ITJLSOZ,X,O,X,X,O,X,X,O,X,O,X
ITJLZSO,O,X,X,X,X,X,X,O,X,X,O
ITJLZOS,O,X,O,X,X,X,X,O,X,X,X
ITJLOSZ,X,O,O,X,O,X,O,O,X,O,X
ITJLOZS,O,O,O,X,X,X,O,O,X,O,X
ITJSLZO,O,X,X,X,O,X,X,O,X,X,X
ITJSLOZ,O,O,X,X,O,X,X,O,X,O,X
ITJSZLO,O,X,X,X,O,X,X,O,X,X,X
ITJSZOL,O,O,O,X,O,X,X,O,X,O,X
ITJSOLZ,O,O,O,X,O,X,O,O,X,O,X
ITJSOZL,O,O,O,X,O,X,X,O,X,O,X
ITJZLSO,O,X,X,X,O,X,X,O,X,X,X
ITJZLOS,O,X,O,X,O,X,O,O,X,X,X
ITJZSLO,O,X,X,X,O,X,X,O,X,X,X
ITJZSOL,O,O,O,X,O,X,O,O,X,O,X
ITJZOLS,O,O,O,X,O,X,O,O,X,O,X
ITJZOSL,O,O,O,X,O,X,O,O,X,O,X
ITJOLSZ,X,O,O,X,O,X,O,O,O,O,X
ITJOLZS,O,O,O,X,X,X,O,O,X,O,X
ITJOSLZ,O,O,O,X,O,X,O,O,X,O,X
ITJOSZL,O,O,O,X,O,X,X,O,X,O,X
ITJOZLS,O,O,O,X,X,X,O,O,X,O,X
ITJOZSL,O,O,O,X,O,X,O,O,X,O,X
ITSLJZO,O,X,X,X,O,X,X,O,X,X,X
ITSLJOZ,O,X,X,X,O,X,X,O,X,O,X
ITSLZJO,O,X,X,X,O,O,X,O,X,X,O
ITSLZOJ,O,X,X,X,O,O,X,X,X,X,O
ITSLOJZ,O,X,X,X,O,X,X,O,O,O,X
ITSLOZJ,O,X,X,X,O,O,X,X,O,O,X
ITSJLZO,O,X,X,X,O,X,X,O,X,X,X
ITSJLOZ,O,X,X,X,O,X,X,O,X,O,X
ITSJZLO,O,X,X,X,O,X,X,O,X,X,X
ITSJZOL,O,X,X,X,O,X,X,O,X,O,X
ITSJOLZ,O,X,X,X,O,X,O,O,O,O,X
ITSJOZL,O,X,X,X,O,X,X,O,X,O,X
ITSZLJO,O,X,X,X,O,O,X,O,X,X,X
ITSZLOJ,O,X,X,X,O,O,X,X,X,X,X
ITSZJLO,O,X,X,X,O,O,X,O,X,X,X
ITSZJOL,O,X,X,X,O,X,O,O,X,O,X
ITSZOLJ,O,X,X,X,O,X,O,X,O,O,X
ITSZOJL,O,X,X,X,O,X,O,X,X,O,X
ITSOLJZ,O,X,X,X,O,X,O,O,O,O,X
ITSOLZJ,O,X,X,X,O,X,O,X,O,O,X
ITSOJLZ,O,X,X,X,O,X,O,O,O,O,X
ITSOJZL,O,X,X,X,O,X,X,O,X,O,X
ITSOZLJ,O,X,X,X,O,X,O,X,O,O,X
ITSOZJL,O,X,X,X,O,X,O,X,X,O,X
ITZLJSO,O,X,X,X,O,O,X,O,X,X,O
ITZLJOS,O,X,X,X,O,O,O,O,X,X,X
ITZLSJO,O,X,X,X,O,O,X,O,X,X,O
ITZLSOJ,X,X,X,X,O,O,X,X,X,X,O
ITZLOJS,O,X,X,X,X,O,O,X,X,X,X
ITZLOSJ,X,X,X,X,X,O,O,X,X,X,O
ITZJLSO,O,X,X,X,O,O,X,O,X,X,X
ITZJLOS,O,X,O,X,O,O,O,O,X,X,X
ITZJSLO,O,X,X,X,O,O,X,O,X,X,X
ITZJSOL,O,X,O,X,O,X,O,O,X,O,X
ITZJOLS,O,X,O,X,O,X,O,O,X,O,X
ITZJOSL,O,X,O,X,O,X,O,O,X,O,X
ITZSLJO,O,X,X,X,O,O,X,O,X,X,X
ITZSLOJ,X,X,X,X,O,O,X,X,X,X,X
ITZSJLO,O,X,X,X,O,O,X,O,X,X,X
ITZSJOL,O,X,X,X,O,X,O,O,X,O,X
ITZSOLJ,X,X,X,X,O,X,O,X,X,O,X
ITZSOJL,X,X,X,X,O,X,O,X,X,O,X
ITZOLJS,O,X,O,X,X,X,O,X,X,O,X
ITZOLSJ,X,X,X,X,X,X,O,X,O,O,X
ITZOJLS,O,X,O,X,O,X,O,X,X,O,X
ITZOJSL,O,X,O,X,O,X,O,X,X,O,X
ITZOSLJ,X,X,X,X,O,X,O,X,X,O,X
ITZOSJL,X,X,X,X,O,X,O,X,X,O,X
ITOLJSZ,X,O,O,X,X,X,O,O,O,O,X
ITOLJZS,X,O,O,X,X,X,O,O,X,O,X
ITOLSJZ,X,X,X,X,X,X,O,O,O,O,X
ITOLSZJ,X,X,X,X,X,X,O,X,O,O,X
ITOLZJS,X,X,O,X,X,X,O,X,X,O,X
ITOLZSJ,X,X,X,X,X,X,O,X,O,O,O
ITOJLSZ,X,O,O,X,O,X,O,O,O,O,X
ITOJLZS,O,O,O,X,X,X,O,O,X,O,X
ITOJSLZ,X,O,O,X,O,X,O,O,X,O,X
ITOJSZL,O,O,O,X,O,X,X,O,X,O,X
ITOJZLS,O,O,O,X,X,X,O,O,X,O,X
ITOJZSL,O,O,O,X,O,X,O,O,X,O,X
ITOSLJZ,X,X,X,X,O,X,O,O,O,O,X
ITOSLZJ,X,X,X,X,O,X,O,X,O,O,X
ITOSJLZ,X,X,X,X,O,X,O,O,O,O,X
ITOSJZL,X,X,X,X,O,X,X,O,X,O,X
ITOSZLJ,X,X,X,X,O,X,O,X,O,O,X
ITOSZJL,X,X,X,X,O,X,O,X,X,O,X
ITOZLJS,O,X,O,X,X,X,O,X,X,O,X
ITOZLSJ,X,X,X,X,X,X,O,X,O,O,X
ITOZJLS,O,X,O,X,O,X,O,X,X,O,X
ITOZJSL,O,X,O,X,O,X,O,X,X,O,X
ITOZSLJ,X,X,X,X,O,X,O,X,X,O,X
ITOZSJL,X,X,X,X,O,X,O,X,X,O,X
ILTJSZO,X,X,X,X,O,X,X,O,X,X,X
ILTJSOZ,X,X,X,X,O,X,X,O,X,O,X
ILTJZSO,O,X,X,X,X,X,X,O,X,X,O
ILTJZOS,O,X,X,X,X,X,X,O,X,X,X
ILTJOSZ,X,X,X,X,O,X,O,O,X,O,X
ILTJOZS,O,X,X,X,X,X,O,O,X,O,X
ILTSJZO,X,X,X,X,O,X,X,O,X,X,X
ILTSJOZ,X,X,X,X,O,X,X,O,X,O,X
ILTSZJO,X,X,X,X,O,O,X,O,X,X,O
ILTSZOJ,X,X,X,X,O,O,X,X,X,X,O
ILTSOJZ,X,X,X,X,O,X,X,O,X,O,X
ILTSOZJ,X,X,X,X,O,O,X,X,X,O,X
ILTZJSO,O,X,X,X,O,O,X,O,X,X,O
ILTZJOS,O,X,X,X,O,O,O,O,X,X,X
ILTZSJO,O,X,X,X,O,O,X,O,X,X,O
ILTZSOJ,X,X,X,X,O,O,X,X,X,X,O
ILTZOJS,O,X,X,X,X,O,O,X,X,X,X
ILTZOSJ,X,X,X,X,X,O,O,X,X,X,O
ILTOJSZ,X,X,X,X,X,X,O,O,X,O,X
ILTOJZS,X,X,X,X,X,X,O,O,X,O,X
ILTOSJZ,X,X,X,X,X,X,O,O,X,O,X
ILTOSZJ,X,X,X,X,X,O,O,X,X,O,X
ILTOZJS,X,X,X,X,X,O,O,X,X,O,X
ILTOZSJ,X,X,X,X,X,O,O,X,X,O,O
