sequence,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBatBXsBGsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBmsB3sBCsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcB3hB?FjB6sBOtBzrB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxdBXjB?lmBmsB6rBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBatBGsBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFXdBFjB?xmB6rBOtBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFmcBTeB?1mBfoBSsBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBSsBetBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFViBGeB?ZoBThBXnBSxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhF/iBGeB?ZoBlmBTsB6rB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFqiBTeB?3hB2sBlmBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFSiBTeB?xmBetBlmBXsB
TSLJZOI,O,X,O,O,O,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,O,O,X,X,X,X,X,X,X
TSLJOZI,O,X,X,O,O,X,X,X,X,X,X,X
TSLZIJO,O,X,O,X,X,O,X,X,X,X,X,X
TSLZIOJ,O,X,O,X,O,O,X,X,X,X,X,X
TSLZJIO,O,X,O,O,O,X,X,X,X,X,X,X
TSLZJOI,O,X,O,O,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,O,X,O,X,X,X,X,X,X,X
TSLZOJI,O,X,O,X,O,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,X,O,X,O,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,O,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,X,O,X,O,X,X,X,X,X,X,X
TSLOZJI,O,X,O,X,O,X,X,X,X,X,X,X
TSJILZO,X,O,X,O,X,X,O,X,X,X,X,X
TSJILOZ,X,O,X,O,X,X,O,X,X,X,X,X
TSJIZLO,X,O,X,O,X,X,O,X,X,X,X,X
TSJIZOL,X,O,X,O,X,X,O,O,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,O,X,X,X,X,X
TSJIOZL,X,O,X,O,X,X,O,O,X,X,X,X
TSJLIZO,O,O,X,O,O,X,X,O,X,X,X,X
TSJLIOZ,O,O,X,O,O,X,X,O,X,X,X,X
TSJLZIO,O,O,X,O,O,X,X,O,X,X,X,X
TSJLZOI,O,O,X,O,O,X,X,O,X,X,X,X
TSJLOIZ,O,O,X,O,O,X,X,O,X,X,X,X
TSJLOZI,O,O,X,O,O,X,X,O,X,X,X,X
TSJZILO,X,O,X,O,X,O,O,X,X,X,X,X
TSJZIOL,X,O,X,O,X,O,O,O,X,X,X,X
TSJZLIO,O,O,O,O,O,X,X,O,X,X,X,X
TSJZLOI,O,O,O,O,O,X,X,O,X,X,X,X
TSJZOIL,X,O,X,O,X,X,X,O,X,X,X,X
TSJZOLI,X,O,O,O,X,X,X,O,X,X,X,X
TSJOILZ,X,O,X,O,X,X,X,X,X,X,X,X
TSJOIZL,X,O,X,O,X,X,X,O,X,X,X,X
TSJOLIZ,X,O,X,O,X,X,X,O,X,X,X,X
TSJOLZI,X,O,X,O,X,X,X,O,X,X,X,X
TSJOZIL,X,O,X,O,X,X,X,O,X,X,X,X
TSJOZLI,X,O,X,O,X,X,X,O,X,X,X,X
TSZILJO,O,X,O,X,X,O,O,X,X,X,X,X
TSZILOJ,O,X,O,X,O,O,O,X,X,X,X,X
TSZIJLO,X,X,X,O,X,O,O,X,X,X,O,X
TSZIJOL,X,O,X,O,X,O,O,O,X,X,O,X
TSZIOLJ,O,X,O,X,O,O,O,X,X,X,X,X
TSZIOJL,X,X,X,X,X,O,O,X,X,X,X,X
TSZLIJO,O,X,O,X,X,O,X,X,X,X,X,X
TSZLIOJ,O,X,O,X,O,O,X,X,X,X,X,X
TSZLJIO,O,X,O,O,O,X,X,X,X,X,X,X
TSZLJOI,O,X,O,O,O,X,X,X,X,X,X,X
TSZLOIJ,O,X,O,X,O,X,X,X,X,X,X,X
TSZLOJI,O,X,O,X,O,X,X,X,X,X,X,X
TSZJILO,X,O,X,O,X,O,O,X,X,X,X,X
TSZJIOL,X,O,X,O,X,O,O,O,X,X,X,X
TSZJLIO,O,O,O,O,O,X,X,O,X,X,X,X
TSZJLOI,O,O,O,O,O,X,X,O,X,X,X,X
TSZJOIL,X,O,X,O,X,X,X,O,X,X,X,X
TSZJOLI,X,O,O,O,X,X,X,O,X,X,X,X
TSZOILJ,O,X,O,X,O,O,O,X,X,O,X,X
TSZOIJL,X,X,X,X,X,O,O,X,X,O,X,X
TSZOLIJ,O,X,O,X,O,O,X,X,X,O,X,X
TSZOLJI,O,X,O,X,O,X,X,X,X,X,X,X
TSZOJIL,X,X,X,O,X,O,X,X,X,O,X,X
TSZOJLI,X,X,O,O,X,X,X,X,X,X,X,X
TSOILJZ,X,X,O,X,X,X,O,X,X,O,X,X
TSOILZJ,X,X,O,X,X,O,O,X,X,O,X,X
TSOIJLZ,X,X,X,X,X,X,O,X,X,O,X,X
TSOIJZL,X,X,X,X,X,O,O,X,X,O,X,X
TSOIZLJ,O,X,O,X,O,O,O,X,X,O,X,X
TSOIZJL,X,X,X,X,X,O,O,X,X,O,X,X
TSOLIJZ,O,X,O,X,X,X,X,X,X,O,X,X
TSOLIZJ,O,X,O,X,O,X,X,X,X,O,X,X
TSOLJIZ,O,X,O,X,O,X,X,X,X,X,X,X
TSOLJZI,O,X,O,X,O,X,X,X,X,X,X,X
TSOLZIJ,O,X,O,X,O,O,X,X,X,O,X,X
TSOLZJI,O,X,O,X,O,X,X,X,X,X,X,X
TSOJILZ,X,X,X,O,X,X,X,X,X,O,X,X
TSOJIZL,X,X,X,O,X,X,X,X,X,O,X,X
TSOJLIZ,X,X,X,O,X,X,X,X,X,X,X,X
TSOJLZI,X,X,X,O,X,X,X,X,X,X,X,X
TSOJZIL,X,X,X,O,X,O,X,X,X,O,X,X
TSOJZLI,X,X,O,O,X,X,X,X,X,X,X,X
TSOZILJ,O,X,O,X,O,O,O,X,X,O,X,X
TSOZIJL,X,X,X,X,X,O,O,X,X,O,X,X
TSOZLIJ,O,X,O,X,O,O,X,X,X,O,X,X
TSOZLJI,O,X,O,X,O,X,X,X,X,X,X,X
TSOZJIL,X,X,X,O,X,O,X,X,X,O,X,X
TSOZJLI,X,X,O,O,X,X,X,X,X,X,X,X
TZILJSO,X,X,X,X,O,X,O,X,O,X,X,X
TZILJOS,O,O,X,X,O,X,X,O,X,X,X,O
TZILSJO,O,X,O,X,X,O,O,X,O,X,X,X
TZILSOJ,O,X,O,X,O,O,O,X,O,X,X,X
TZILOJS,O,X,X,X,O,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,O,O,O,X,X,X,X,X
TZIJLSO,X,X,X,X,O,X,O,O,O,X,O,X
TZIJLOS,O,O,X,X,O,X,X,O,X,X,O,X
TZIJSLO,X,O,X,O,X,O,O,X,X,X,O,O
TZIJSOL,X,O,X,O,X,O,O,O,X,X,O,O
TZIJOLS,O,O,X,X,O,X,X,O,X,X,O,X
TZIJOSL,X,O,X,X,X,O,O,O,X,X,O,O
TZISLJO,O,X,O,X,X,O,O,X,X,X,X,X
TZISLOJ,O,X,O,X,O,O,O,X,X,X,X,X
TZISJLO,X,X,X,O,X,O,O,X,X,X,O,X
TZISJOL,X,O,X,O,X,O,O,O,X,X,O,X
TZISOLJ,O,X,O,X,O,O,O,X,X,X,X,X
TZISOJL,X,X,X,X,X,O,O,X,X,X,X,X
TZIOLJS,O,X,X,X,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,O,O,O,X,X,O,X,X
TZIOJLS,O,O,X,X,O,X,X,O,X,X,O,X
TZIOJSL,X,O,X,X,X,O,O,O,X,O,O,X
TZIOSLJ,O,X,O,X,O,O,O,X,X,O,X,X
TZIOSJL,X,X,X,X,X,O,O,X,X,O,X,X
TZLIJSO,X,X,X,X,O,X,O,X,O,X,X,X
TZLIJOS,O,O,X,X,O,X,X,O,X,X,X,X
TZLISJO,O,X,O,X,X,O,O,X,O,X,X,X
TZLISOJ,O,X,O,X,O,O,O,X,O,X,X,X
TZLIOJS,O,X,X,X,O,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,O,O,O,X,X,X,X,X
TZLJISO,X,X,X,X,O,X,O,O,O,X,X,X
TZLJIOS,O,O,X,X,O,X,X,O,X,X,X,X
TZLJSIO,O,O,O,O,O,X,X,O,O,X,X,X
TZLJSOI,O,O,O,O,O,X,X,O,X,X,X,X
TZLJOIS,O,O,X,X,O,X,X,O,X,X,X,X
TZLJOSI,O,O,X,X,O,X,X,O,X,X,X,X
TZLSIJO,O,X,O,X,X,O,X,X,O,X,X,X
TZLSIOJ,O,X,O,X,O,O,X,X,O,X,X,X
TZLSJIO,O,X,O,O,O,X,X,X,O,X,X,X
TZLSJOI,O,X,O,O,O,X,X,X,X,X,X,X
TZLSOIJ,O,X,O,X,O,X,X,X,O,X,X,X
TZLSOJI,O,X,O,X,O,X,X,X,X,X,X,X
TZLOIJS,O,X,X,X,O,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,O,O,O,X,X,O,X,X
TZLOJIS,O,X,X,X,O,X,X,X,X,X,X,X
TZLOJSI,O,X,X,X,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,O,O,X,X,X,O,X,X
TZLOSJI,O,X,O,X,O,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,O,X,O,O,O,X,X,X
TZJILOS,O,O,X,X,O,X,X,O,X,X,X,X
TZJISLO,X,O,X,O,X,O,O,X,X,X,X,O
TZJISOL,X,O,X,O,X,O,O,O,X,X,X,O
TZJIOLS,O,O,X,X,O,X,X,O,X,X,X,X
TZJIOSL,X,O,X,X,X,O,O,O,X,X,X,O
TZJLISO,X,X,X,X,O,X,O,O,O,X,X,X
TZJLIOS,O,O,X,X,O,X,X,O,X,X,X,X
TZJLSIO,O,O,O,O,O,X,X,O,O,X,X,X
TZJLSOI,O,O,O,O,O,X,X,O,X,X,X,X
TZJLOIS,O,O,X,X,O,X,X,O,X,X,X,X
TZJLOSI,O,O,X,X,O,X,X,O,X,X,X,X
TZJSILO,X,O,X,O,X,O,O,X,X,X,X,O
TZJSIOL,X,O,X,O,X,O,O,O,X,X,X,O
TZJSLIO,O,O,O,O,O,X,X,O,X,X,X,X
TZJSLOI,O,O,O,O,O,X,X,O,X,X,X,X
TZJSOIL,X,O,X,O,X,X,X,O,X,X,X,O
TZJSOLI,X,O,O,O,X,X,X,O,X,X,X,X
TZJOILS,O,O,X,X,O,X,X,O,X,X,X,X
TZJOISL,X,O,X,X,X,O,O,O,X,O,X,O
TZJOLIS,O,O,X,X,O,X,X,O,X,X,X,X
TZJOLSI,O,O,X,X,O,X,X,O,X,X,X,X
TZJOSIL,X,O,X,O,X,O,X,O,X,O,X,O
TZJOSLI,X,O,O,O,X,X,X,O,X,X,X,X
TZSILJO,O,X,O,X,X,O,O,X,X,X,X,X
TZSILOJ,O,X,O,X,O,O,O,X,X,X,X,X
TZSIJLO,X,X,X,O,X,O,O,X,X,X,O,X
TZSIJOL,X,O,X,O,X,O,O,O,X,X,O,X
TZSIOLJ,O,X,O,X,O,O,O,X,X,X,X,X
TZSIOJL,X,X,X,X,X,O,O,X,X,X,X,X
TZSLIJO,O,X,O,X,X,O,X,X,X,X,X,X
TZSLIOJ,O,X,O,X,O,O,X,X,X,X,X,X
TZSLJIO,O,X,O,O,O,X,X,X,X,X,X,X
TZSLJOI,O,X,O,O,O,X,X,X,X,X,X,X
TZSLOIJ,O,X,O,X,O,X,X,X,X,X,X,X
TZSLOJI,O,X,O,X,O,X,X,X,X,X,X,X
TZSJILO,X,O,X,O,X,O,O,X,X,X,X,X
TZSJIOL,X,O,X,O,X,O,O,O,X,X,X,X
TZSJLIO,O,O,O,O,O,X,X,O,X,X,X,X
TZSJLOI,O,O,O,O,O,X,X,O,X,X,X,X
TZSJOIL,X,O,X,O,X,X,X,O,X,X,X,X
TZSJOLI,X,O,O,O,X,X,X,O,X,X,X,X
TZSOILJ,O,X,O,X,O,O,O,X,X,O,X,X
TZSOIJL,X,X,X,X,X,O,O,X,X,O,X,X
TZSOLIJ,O,X,O,X,O,O,X,X,X,O,X,X
TZSOLJI,O,X,O,X,O,X,X,X,X,X,X,X
TZSOJIL,X,X,X,O,X,O,X,X,X,O,X,X
TZSOJLI,X,X,O,O,X,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,O,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,O,O,O,X,X,O,X,X
TZOIJLS,O,O,X,X,O,X,X,O,X,X,O,X
TZOIJSL,X,O,X,X,X,O,O,O,X,O,O,X
TZOISLJ,O,X,O,X,O,O,O,X,X,O,X,X
TZOISJL,X,X,X,X,X,O,O,X,X,O,X,X
TZOLIJS,O,X,X,X,O,X,X,X,X,X,X,X
TZOLISJ,O,X,O,X,O,O,O,X,X,O,X,X
TZOLJIS,O,X,X,X,O,X,X,X,X,X,X,X
TZOLJSI,O,X,O,X,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,O,X,O,O,X,X,X,O,X,X
TZOLSJI,O,X,O,X,O,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,O,X,X,O,X,X,X,X
TZOJISL,X,O,X,X,X,O,O,O,X,O,X,O
TZOJLIS,O,O,X,X,O,X,X,O,X,X,X,X
TZOJLSI,O,O,X,X,O,X,X,O,X,X,X,X
TZOJSIL,X,O,X,O,X,O,X,O,X,O,X,O
TZOJSLI,X,O,O,O,X,X,X,O,X,X,X,X
TZOSILJ,O,X,O,X,O,O,O,X,X,O,X,X
TZOSIJL,X,X,X,X,X,O,O,X,X,O,X,X
TZOSLIJ,O,X,O,X,O,O,X,X,X,O,X,X
TZOSLJI,O,X,O,X,O,X,X,X,X,X,X,X
TZOSJIL,X,X,X,O,X,O,X,X,X,O,X,X
TZOSJLI,X,X,O,O,X,X,X,X,X,X,X,X
TOILJSZ,X,X,X,X,O,X,X,X,X,X,X,X
TOILJZS,O,X,X,X,O,X,X,X,X,X,X,X
TOILSJZ,O,X,X,X,X,X,O,X,X,O,X,X
TOILSZJ,O,X,X,X,O,O,O,X,X,O,X,X
TOILZJS,O,X,X,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,X,X,O,O,O,X,X,O,X,X
TOIJLSZ,X,X,X,X,X,X,X,X,X,X,O,X
TOIJLZS,X,O,X,X,X,X,X,O,X,X,O,X
TOIJSLZ,X,X,X,X,X,X,O,X,X,O,O,X
TOIJSZL,X,O,X,X,X,O,O,O,X,O,O,X
TOIJZLS,O,O,X,X,O,X,X,O,X,X,O,X
TOIJZSL,X,O,X,X,X,O,O,O,X,O,O,X
TOISLJZ,X,X,O,X,X,X,O,X,X,O,X,X
TOISLZJ,X,X,O,X,X,O,O,X,X,O,X,X
TOISJLZ,X,X,X,X,X,X,O,X,X,O,X,X
TOISJZL,X,X,X,X,X,O,O,X,X,O,X,X
TOISZLJ,O,X,O,X,O,O,O,X,X,O,X,X
TOISZJL,X,X,X,X,X,O,O,X,X,O,X,X
TOIZLJS,O,X,X,X,O,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,O,O,O,X,X,O,X,X
TOIZJLS,O,O,X,X,O,X,X,O,X,X,O,X
TOIZJSL,X,O,X,X,X,O,O,O,X,O,O,X
TOIZSLJ,O,X,O,X,O,O,O,X,X,O,X,X
TOIZSJL,X,X,X,X,X,O,O,X,X,O,X,X
TOLIJSZ,X,X,X,X,O,X,X,X,X,X,X,X
TOLIJZS,O,X,X,X,O,X,X,X,X,X,X,X
TOLISJZ,O,X,O,X,X,X,O,X,X,O,X,X
TOLISZJ,O,X,O,X,O,O,O,X,X,O,X,X
TOLIZJS,O,X,X,X,O,X,X,X,X,X,X,X
TOLIZSJ,O,X,O,X,O,O,O,X,X,O,X,X
TOLJISZ,X,X,X,X,O,X,X,X,X,X,X,X
TOLJIZS,O,X,X,X,O,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,X,O,X,X,X,X,X,X,X
TOLJSZI,O,X,O,X,O,X,X,X,X,X,X,X
TOLJZIS,O,X,X,X,O,X,X,X,X,X,X,X
TOLJZSI,O,X,O,X,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,X,X,X,X,X,X,O,X,X
TOLSIZJ,O,X,O,X,O,X,X,X,X,O,X,X
TOLSJIZ,O,X,O,X,O,X,X,X,X,X,X,X
TOLSJZI,O,X,O,X,O,X,X,X,X,X,X,X
TOLSZIJ,O,X,O,X,O,O,X,X,X,O,X,X
TOLSZJI,O,X,O,X,O,X,X,X,X,X,X,X
TOLZIJS,O,X,X,X,O,X,X,X,X,X,X,X
TOLZISJ,O,X,O,X,O,O,O,X,X,O,X,X
TOLZJIS,O,X,X,X,O,X,X,X,X,X,X,X
TOLZJSI,O,X,O,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,X,O,X,O,O,X,X,X,O,X,X
TOLZSJI,O,X,O,X,O,X,X,X,X,X,X,X
TOJILSZ,X,X,X,X,X,X,X,O,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,O,X,X,X,X
TOJISLZ,X,O,X,X,X,X,O,X,X,O,X,O
TOJISZL,X,O,X,X,X,O,O,O,X,O,X,O
TOJIZLS,O,O,X,X,O,X,X,O,X,X,X,X
TOJIZSL,X,O,X,X,X,O,O,O,X,O,X,O
TOJLISZ,X,X,X,X,O,X,X,O,X,X,X,X
TOJLIZS,O,O,X,X,O,X,X,O,X,X,X,X
TOJLSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOJLSZI,O,O,X,X,O,X,X,O,X,X,X,X
TOJLZIS,O,O,X,X,O,X,X,O,X,X,X,X
TOJLZSI,O,O,X,X,O,X,X,O,X,X,X,X
TOJSILZ,X,O,X,O,X,X,X,X,X,O,X,O
TOJSIZL,X,O,X,O,X,X,X,O,X,O,X,O
TOJSLIZ,X,O,X,O,X,X,X,O,X,X,X,X
TOJSLZI,X,O,X,O,X,X,X,O,X,X,X,X
TOJSZIL,X,O,X,O,X,O,X,O,X,O,X,O
TOJSZLI,X,O,O,O,X,X,X,O,X,X,X,X
TOJZILS,O,O,X,X,O,X,X,O,X,X,X,X
TOJZISL,X,O,X,X,X,O,O,O,X,O,X,O
TOJZLIS,O,O,X,X,O,X,X,O,X,X,X,X
TOJZLSI,O,O,X,X,O,X,X,O,X,X,X,X
TOJZSIL,X,O,X,O,X,O,X,O,X,O,X,O
TOJZSLI,X,O,O,O,X,X,X,O,X,X,X,X
TOSILJZ,X,X,O,X,X,X,O,X,X,O,X,X
TOSILZJ,X,X,O,X,X,O,O,X,X,O,X,X
TOSIJLZ,X,X,X,X,X,X,O,X,X,O,X,X
TOSIJZL,X,X,X,X,X,O,O,X,X,O,X,X
TOSIZLJ,O,X,O,X,O,O,O,X,X,O,X,X
TOSIZJL,X,X,X,X,X,O,O,X,X,O,X,X
TOSLIJZ,O,X,O,X,X,X,X,X,X,O,X,X
TOSLIZJ,O,X,O,X,O,X,X,X,X,O,X,X
TOSLJIZ,O,X,O,X,O,X,X,X,X,X,X,X
TOSLJZI,O,X,O,X,O,X,X,X,X,X,X,X
TOSLZIJ,O,X,O,X,O,O,X,X,X,O,X,X
TOSLZJI,O,X,O,X,O,X,X,X,X,X,X,X
TOSJILZ,X,X,X,O,X,X,X,X,X,O,X,X
TOSJIZL,X,X,X,O,X,X,X,X,X,O,X,X
TOSJLIZ,X,X,X,O,X,X,X,X,X,X,X,X
TOSJLZI,X,X,X,O,X,X,X,X,X,X,X,X
TOSJZIL,X,X,X,O,X,O,X,X,X,O,X,X
TOSJZLI,X,X,O,O,X,X,X,X,X,X,X,X
TOSZILJ,O,X,O,X,O,O,O,X,X,O,X,X
TOSZIJL,X,X,X,X,X,O,O,X,X,O,X,X
TOSZLIJ,O,X,O,X,O,O,X,X,X,O,X,X
TOSZLJI,O,X,O,X,O,X,X,X,X,X,X,X
TOSZJIL,X,X,X,O,X,O,X,X,X,O,X,X
TOSZJLI,X,X,O,O,X,X,X,X,X,X,X,X
TOZILJS,O,X,X,X,O,X,X,X,X,X,X,X
TOZILSJ,O,X,X,X,O,O,O,X,X,O,X,X
TOZIJLS,O,O,X,X,O,X,X,O,X,X,O,X
TOZIJSL,X,O,X,X,X,O,O,O,X,O,O,X
TOZISLJ,O,X,O,X,O,O,O,X,X,O,X,X
TOZISJL,X,X,X,X,X,O,O,X,X,O,X,X
TOZLIJS,O,X,X,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,O,X,O,O,O,X,X,O,X,X
TOZLJIS,O,X,X,X,O,X,X,X,X,X,X,X
TOZLJSI,O,X,O,X,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,O,O,X,X,X,O,X,X
TOZLSJI,O,X,O,X,O,X,X,X,X,X,X,X
TOZJILS,O,O,X,X,O,X,X,O,X,X,X,X
TOZJISL,X,O,X,X,X,O,O,O,X,O,X,O
TOZJLIS,O,O,X,X,O,X,X,O,X,X,X,X
TOZJLSI,O,O,X,X,O,X,X,O,X,X,X,X
TOZJSIL,X,O,X,O,X,O,X,O,X,O,X,O
TOZJSLI,X,O,O,O,X,X,X,O,X,X,X,X
TOZSILJ,O,X,O,X,O,O,O,X,X,O,X,X
TOZSIJL,X,X,X,X,X,O,O,X,X,O,X,X
TOZSLIJ,O,X,O,X,O,O,X,X,X,O,X,X
TOZSLJI,O,X,O,X,O,X,X,X,X,X,X,X
TOZSJIL,X,X,X,O,X,O,X,X,X,O,X,X
TOZSJLI,X,X,O,O,X,X,X,X,X,X,X,X
ITLJSZO,X,X,X,X,O,X,O,X,O,X,X,X
ITLJSOZ,X,X,X,X,O,X,O,X,O,X,X,X
ITLJZSO,X,X,X,X,O,X,O,X,O,X,X,X
ITLJZOS,O,O,X,X,O,X,X,O,X,X,X,O
ITLJOSZ,X,X,X,X,O,X,X,X,X,X,X,X
ITLJOZS,O,O,X,X,O,X,X,O,X,X,X,O
ITLSJZO,O,X,O,X,X,X,O,X,O,X,X,X
ITLSJOZ,O,X,X,X,X,X,O,X,O,X,X,X
ITLSZJO,O,X,O,X,X,O,O,X,O,X,X,X
ITLSZOJ,O,X,O,X,O,O,O,X,O,X,X,X
ITLSOJZ,O,X,X,X,X,X,O,X,O,X,X,X
ITLSOZJ,O,X,O,X,O,X,O,X,O,X,X,X
ITLZJSO,X,X,X,X,O,X,O,X,O,X,X,X
ITLZJOS,O,O,X,X,O,X,X,O,X,X,X,O
ITLZSJO,O,X,O,X,X,O,O,X,O,X,X,X
ITLZSOJ,O,X,O,X,O,O,O,X,O,X,X,X
ITLZOJS,O,X,X,X,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,O,O,O,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,X,X,X,X,X,X,X
ITLOJZS,O,X,X,X,O,X,X,X,X,X,X,X
ITLOSJZ,O,X,X,X,X,X,O,X,X,X,X,X
ITLOSZJ,O,X,X,X,O,O,O,X,X,X,X,X
ITLOZJS,O,X,X,X,O,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,O,O,O,X,X,X,X,X
ITJLSZO,X,X,X,X,O,X,O,O,O,X,O,X
ITJLSOZ,X,X,X,X,O,X,O,O,O,X,O,X
ITJLZSO,X,X,X,X,O,X,O,O,O,X,O,X
ITJLZOS,O,O,X,X,O,X,X,O,X,X,O,X
ITJLOSZ,X,X,X,X,O,X,X,O,X,X,O,X
ITJLOZS,O,O,X,X,O,X,X,O,X,X,O,X
ITJSLZO,X,O,X,O,X,X,O,X,X,X,O,O
ITJSLOZ,X,O,X,O,X,X,O,X,X,X,O,O
ITJSZLO,X,O,X,O,X,O,O,X,X,X,O,O
ITJSZOL,X,O,X,O,X,O,O,O,X,X,O,O
ITJSOLZ,X,O,X,O,X,X,O,X,X,X,O,O
ITJSOZL,X,O,X,O,X,X,O,O,X,X,O,O
ITJZLSO,X,X,X,X,O,X,O,O,O,X,O,X
ITJZLOS,O,O,X,X,O,X,X,O,X,X,O,X
ITJZSLO,X,O,X,O,X,O,O,X,X,X,O,O
ITJZSOL,X,O,X,O,X,O,O,O,X,X,O,O
ITJZOLS,O,O,X,X,O,X,X,O,X,X,O,X
ITJZOSL,X,O,X,X,X,O,O,O,X,X,O,O
ITJOLSZ,X,X,X,X,X,X,X,O,X,X,O,X
ITJOLZS,X,O,X,X,X,X,X,O,X,X,O,X
ITJOSLZ,X,O,X,X,X,X,O,X,X,X,O,O
ITJOSZL,X,O,X,X,X,O,O,O,X,X,O,O
ITJOZLS,O,O,X,X,O,X,X,O,X,X,O,X
ITJOZSL,X,O,X,X,X,O,O,O,X,X,O,O
ITSLJZO,O,X,O,X,X,X,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,O,X,X,X,X,X
ITSLZJO,O,X,O,X,X,O,O,X,X,X,X,X
ITSLZOJ,O,X,O,X,O,O,O,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,O,X,X,X,X,X
ITSLOZJ,O,X,O,X,O,X,O,X,X,X,X,X
ITSJLZO,X,X,X,O,X,X,O,X,X,X,O,X
ITSJLOZ,X,X,X,O,X,X,O,X,X,X,O,X
ITSJZLO,X,X,X,O,X,O,O,X,X,X,O,X
ITSJZOL,X,O,X,O,X,O,O,O,X,X,O,X
ITSJOLZ,X,X,X,O,X,X,O,X,X,X,O,X
ITSJOZL,X,O,X,O,X,X,O,O,X,X,O,X
ITSZLJO,O,X,O,X,X,O,O,X,X,X,X,X
ITSZLOJ,O,X,O,X,O,O,O,X,X,X,X,X
ITSZJLO,X,X,X,O,X,O,O,X,X,X,O,X
ITSZJOL,X,O,X,O,X,O,O,O,X,X,O,X
ITSZOLJ,O,X,O,X,O,O,O,X,X,X,X,X
ITSZOJL,X,X,X,X,X,O,O,X,X,X,X,X
ITSOLJZ,X,X,X,X,X,X,O,X,X,X,X,X
ITSOLZJ,X,X,X,X,X,O,O,X,X,X,X,X
ITSOJLZ,X,X,X,X,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,X,X,O,O,X,X,X,X,X
ITSOZLJ,O,X,X,X,O,O,O,X,X,X,X,X
ITSOZJL,X,X,X,X,X,O,O,X,X,X,X,X
ITZLJSO,X,X,X,X,O,X,O,X,O,X,X,X
ITZLJOS,O,O,X,X,O,X,X,O,X,X,X,O
ITZLSJO,O,X,O,X,X,O,O,X,O,X,X,X
ITZLSOJ,O,X,O,X,O,O,O,X,O,X,X,X
ITZLOJS,O,X,X,X,O,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,O,O,O,X,X,X,X,X
ITZJLSO,X,X,X,X,O,X,O,O,O,X,O,X
ITZJLOS,O,O,X,X,O,X,X,O,X,X,O,X
ITZJSLO,X,O,X,O,X,O,O,X,X,X,O,O
ITZJSOL,X,O,X,O,X,O,O,O,X,X,O,O
ITZJOLS,O,O,X,X,O,X,X,O,X,X,O,X
ITZJOSL,X,O,X,X,X,O,O,O,X,X,O,O
ITZSLJO,O,X,O,X,X,O,O,X,X,X,X,X
ITZSLOJ,O,X,O,X,O,O,O,X,X,X,X,X
ITZSJLO,X,X,X,O,X,O,O,X,X,X,O,X
