sequence,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBflB0gBlhBzq?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBzfBfmBlhB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBKr?BWxB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBqgBlhB/qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFflB0gBlhB6qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8Jem6IvhFCcBTfBlhB/qBxr?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhFxbBykBfmBWsB0q?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfB/qBFmBCs?BmqB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF1hBmkBCmBxrB/q?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF2gB3hBxkBFmB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Je06IvhF2kBlhB3lBxrB6q?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeK/IvhFfgBxbBzgB+rBUn?BlqB,v115@5gD8GeC8FeF8FeE8CeD8JeT/IvhF0gBlhBmfB3lBxr?BSwB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBCcBTlBxrBXr?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex7IvhFmfBfmBlhBTfB0q?BCsB
IZSOJLT,X,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X
IZOTLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X
IZOTLSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IZOTJLS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
IZOTJSL,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IZOTSLJ,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZOTSJL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IZOLTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
IZOLTSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IZOLJTS,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IZOLJST,X,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IZOLSTJ,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IZOLSJT,X,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IZOJTLS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
IZOJTSL,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IZOJLTS,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IZOJLST,X,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IZOJSTL,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IZOJSLT,X,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOSTLJ,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
IZOSTJL,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
IZOSLTJ,X,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOSLJT,X,O,X,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IZOSJTL,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IZOSJLT,X,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOTLJSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOTLJZS,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOTLZJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
IOTLZSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTJLZS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTJSZL,O,X,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOTJZLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X
IOTJZSL,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOTSJLZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOTSJZL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOTSZJL,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IOTZLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X
IOTZLSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOTZJLS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X
IOTZJSL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X
IOTZSLJ,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOTZSJL,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOLTJSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLTJZS,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOLTZJS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
IOLTZSJ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLJTZS,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLJSZT,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLJZTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOLJZST,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X
IOLSTJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOLSTZJ,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOLSJTZ,O,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IOLSJZT,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOLSZTJ,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOLSZJT,O,O,O,X,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOLZTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLZTSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOLZJTS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IOLZJST,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOLZSTJ,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOLZSJT,X,O,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOJTLSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IOJTSZL,O,X,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOJTZLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X
IOJTZSL,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJLTSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJLTZS,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJLSTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJLSZT,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJLZTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOJLZST,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X
IOJSTLZ,O,O,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X,X,X
IOJSTZL,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOJSLTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJSLZT,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOJSZTL,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X
IOJSZLT,O,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJZTLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,O,X
IOJZTSL,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IOJZLTS,X,O,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X
IOJZLST,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X
IOJZSTL,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOJZSLT,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSTLJZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSTJLZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOSTZJL,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IOSLTJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOSLTZJ,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSLJTZ,O,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IOSLJZT,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOSLZTJ,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSLZJT,O,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSJTLZ,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X
IOSJTZL,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X
IOSJLTZ,O,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
IOSJLZT,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOSJZTL,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,O,X
IOSJZLT,O,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
IOSZTLJ,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOSZTJL,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X
IOSZLTJ,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSZLJT,O,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOSZJTL,O,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOSZJLT,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZTLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X
IOZTLSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZTJLS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
IOZTJSL,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IOZTSLJ,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOZTSJL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOZLTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
IOZLTSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZLJTS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IOZLJST,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOZLSTJ,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOZLSJT,X,O,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOZJTLS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
IOZJTSL,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
IOZJLTS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
IOZJLST,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOZJSTL,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOZJSLT,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZSTLJ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
IOZSTJL,X,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
IOZSLTJ,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZSLJT,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X
IOZSJTL,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
IOZSJLT,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
LTIJSZO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZOS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTIJOZS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
LTISZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LTISZOJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTIOJZS,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTIOZSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
LTJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZOS,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTJIOZS,O,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTJSIZO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJSIOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJSZIO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJSZOI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
LTJSOIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJSOZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJZISO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZSIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJZSOI,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJZOIS,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZOSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTJOISZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTJOIZS,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
LTJOSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJOSZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJOZIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJOZSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSIJZO,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTSIZJO,O,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
LTSJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTSJIOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTSJZIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LTSJZOI,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
LTSJOIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LTSJOZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LTSZIJO,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSZJOI,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSZOIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSZOJI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSOJZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSOZJI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZISJO,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZISOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LTZJISO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJSIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
LTZJSOI,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
LTZJOIS,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O
LTZSJIO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZSJOI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
LTZSOIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
LTZSOJI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
LTZOIJS,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTZOJIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
LTZOSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOISZJ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOIZJS,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTOIZSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJZIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOJZSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOSJIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOSJZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOSZIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOSZJI,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOZIJS,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTOZJIS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOZJSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
LTOZSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
LITJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
LITJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJZOS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LITJOZS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LITSJZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
LITSZOJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LITZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
