sequence,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeR8IvhFGeBTgBihBU?jBFnB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhB3?iBcoBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Je37IvhF1hB0dB6jBx?lBmnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG8IvhF/iBFeBigBc?oBRmBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhBc?nBTjB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Jez7IvhFRdBSjB2lBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFGeBTgBRiBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JecAJvhFxcB6jBXhBe?oBFnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFxdBTgBGjBF?nB8sBfsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG+IvhFigBRiBzgBF?nBXoBUsB
TSOIJZL,O,X,X,X,O,X,O,X,X,X
TSOIZLJ,O,X,X,X,O,X,O,X,X,X
TSOIZJL,O,X,X,X,O,X,O,X,X,X
TSOLIJZ,O,O,X,X,X,O,O,X,X,O
TSOLIZJ,O,O,X,X,O,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,O,O,X,X,X
TSOLJZI,O,X,X,X,O,O,O,X,X,X
TSOLZIJ,O,O,X,X,O,X,O,X,X,X
TSOLZJI,O,O,X,X,O,X,O,X,X,X
TSOJILZ,O,X,X,X,O,O,O,X,X,O
TSOJIZL,O,X,X,X,O,O,O,X,X,X
TSOJLIZ,O,X,X,X,O,O,O,X,X,X
TSOJLZI,O,X,X,X,O,O,O,X,X,X
TSOJZIL,O,X,X,X,O,O,O,X,X,X
TSOJZLI,O,X,X,X,O,O,O,X,X,X
TSOZILJ,O,O,X,X,O,X,O,X,X,X
TSOZIJL,O,O,X,X,O,X,O,X,X,X
TSOZLIJ,O,O,X,X,O,X,O,X,X,X
TSOZLJI,O,O,X,X,O,X,O,X,X,X
TSOZJIL,O,O,X,X,O,X,O,X,X,X
TSOZJLI,O,O,X,X,O,X,O,X,X,X
TZILJSO,O,O,X,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,O,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X,X,X
TZILOSJ,X,O,X,O,X,X,X,X,X,X
TZIJLSO,O,O,X,X,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X,X,X
TZIJSLO,X,O,X,O,X,X,X,X,X,X
TZIJSOL,X,O,X,O,X,X,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,X,O,X
TZIJOSL,O,X,X,X,X,X,X,X,X,X
TZISLJO,X,O,X,O,X,X,X,X,X,X
TZISLOJ,X,O,X,O,X,X,X,X,X,X
TZISJLO,X,O,X,O,X,X,X,X,X,X
TZISJOL,X,O,X,O,X,X,X,X,X,X
TZISOLJ,X,O,X,O,X,X,X,X,X,X
TZISOJL,X,X,X,O,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,O,X
TZIOLSJ,O,O,X,O,X,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,X,O,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,X,X,X,X
TZIOSJL,O,O,X,O,X,X,X,X,X,X
TZLIJSO,O,O,X,O,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X,X,X
TZLISJO,O,O,X,O,X,X,X,X,X,X
TZLISOJ,X,O,X,O,X,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,X,X,X
TZLIOSJ,X,O,X,O,X,X,X,X,X,X
TZLJISO,O,O,X,O,X,X,X,X,X,X
TZLJIOS,O,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,X,X,X,X,X,O,X,X
TZLJSOI,X,X,X,X,X,X,X,O,X,X
TZLJOIS,O,X,X,O,X,X,X,X,O,X
TZLJOSI,O,X,X,O,X,X,X,X,O,X
TZLSIJO,O,O,X,X,O,X,X,O,X,O
TZLSIOJ,X,O,X,X,O,X,X,X,X,X
TZLSJIO,O,O,X,X,O,X,X,O,X,X
TZLSJOI,X,X,X,X,O,X,X,O,X,X
TZLSOIJ,X,O,X,O,O,X,X,X,X,X
TZLSOJI,X,X,X,O,O,X,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X,X,O,X
TZLOISJ,O,O,X,O,X,X,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,X,O,X
TZLOJSI,O,O,X,O,X,X,X,X,O,X
TZLOSIJ,O,O,X,O,X,X,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X,O,X
TZJILSO,O,O,X,X,X,X,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,X,X,X
TZJISLO,X,O,X,X,X,X,X,X,X,X
TZJISOL,X,O,X,X,X,X,X,X,X,X
TZJIOLS,O,O,X,X,X,X,X,X,O,X
TZJIOSL,O,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,X,X,X,X,X
TZJLIOS,O,O,X,X,X,X,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X,O,X,X
TZJLSOI,X,O,X,X,X,X,X,O,X,X
TZJLOIS,O,O,X,X,X,X,X,X,O,X
TZJLOSI,O,O,X,O,X,X,X,X,O,X
TZJSILO,O,O,X,X,X,O,X,O,X,X
TZJSIOL,O,O,X,X,X,O,X,O,X,X
TZJSLIO,O,O,X,X,X,O,X,O,X,X
TZJSLOI,O,O,X,X,X,O,X,O,X,X
TZJSOIL,O,O,X,X,X,O,X,O,X,X
TZJSOLI,O,O,X,X,X,O,X,O,O,X
TZJOILS,O,O,X,X,X,X,X,X,O,X
TZJOISL,O,O,X,X,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X,O,X
TZJOLSI,O,O,X,O,X,X,X,X,O,X
TZJOSIL,O,O,X,O,X,O,X,X,X,X
TZJOSLI,O,O,X,O,X,O,X,X,O,X
TZSILJO,O,O,X,X,X,X,X,O,X,O
TZSILOJ,O,O,X,X,X,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,O,X,O
TZSIJOL,O,O,X,X,X,X,O,O,X,X
TZSIOLJ,O,O,X,X,X,X,O,X,X,X
TZSIOJL,O,X,X,X,X,X,O,O,X,X
TZSLIJO,O,O,X,X,O,O,X,O,X,O
TZSLIOJ,O,O,X,X,O,X,X,X,X,X
TZSLJIO,O,O,X,X,O,O,X,O,X,X
TZSLJOI,O,X,X,X,O,O,X,O,X,X
TZSLOIJ,O,O,X,O,O,X,X,X,X,X
TZSLOJI,O,X,X,O,O,X,X,X,X,X
TZSJILO,O,O,X,X,X,O,X,O,X,O
TZSJIOL,O,O,X,X,X,O,O,O,X,X
TZSJLIO,O,O,X,X,X,O,X,O,X,X
TZSJLOI,O,O,X,X,X,O,X,O,X,X
TZSJOIL,O,O,X,X,X,O,O,O,X,X
TZSJOLI,O,O,X,X,X,O,O,O,O,X
TZSOILJ,O,O,X,O,X,X,O,X,X,X
TZSOIJL,O,X,X,O,X,X,O,O,X,X
TZSOLIJ,O,O,X,O,O,X,O,X,X,X
TZSOLJI,O,X,X,O,O,X,O,X,O,X
TZSOJIL,O,X,X,O,X,X,O,O,X,X
TZSOJLI,O,X,X,O,X,X,O,O,O,X
TZOILJS,O,O,X,O,X,X,X,X,O,X
TZOILSJ,O,O,X,O,X,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X,O,X
TZOIJSL,O,O,X,O,X,X,X,X,X,X
TZOISLJ,X,O,X,O,X,X,X,X,X,X
TZOISJL,O,O,X,O,X,X,X,X,X,X
TZOLIJS,O,O,X,O,X,X,X,X,O,X
TZOLISJ,O,O,X,O,X,X,X,X,X,X
TZOLJIS,O,O,X,O,X,X,X,X,O,X
TZOLJSI,O,O,X,O,X,X,X,X,O,X
TZOLSIJ,O,O,X,O,X,X,O,X,X,X
TZOLSJI,O,O,X,O,X,X,O,X,O,X
TZOJILS,O,O,X,X,X,X,X,X,O,X
TZOJISL,O,O,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,O,X
TZOJLSI,O,O,X,O,X,X,X,X,O,X
TZOJSIL,O,O,X,O,X,X,X,X,X,X
TZOJSLI,O,O,X,O,X,X,X,X,O,X
TZOSILJ,O,O,X,O,X,X,O,X,X,X
TZOSIJL,O,O,X,O,X,X,O,X,X,X
TZOSLIJ,O,O,X,O,X,X,O,X,X,X
TZOSLJI,O,O,X,O,X,X,O,X,O,X
TZOSJIL,O,O,X,O,X,X,O,X,X,X
TZOSJLI,O,O,X,O,X,X,O,X,O,X
TOILJSZ,X,O,O,O,X,X,X,X,X,X
TOILJZS,O,O,O,O,X,X,X,X,X,X
TOILSJZ,X,O,O,O,X,X,O,X,X,X
TOILSZJ,O,O,O,O,X,X,O,X,X,X
TOILZJS,O,O,O,O,X,X,X,X,X,X
TOILZSJ,O,O,O,O,X,X,X,X,X,X
TOIJLSZ,X,O,O,X,O,X,X,X,X,X
TOIJLZS,O,O,O,X,X,X,X,X,X,X
TOIJSLZ,X,X,O,X,O,X,X,X,X,X
TOIJSZL,X,X,O,O,O,X,X,X,X,X
TOIJZLS,O,X,O,X,X,X,X,X,X,X
TOIJZSL,O,X,O,O,X,X,X,X,X,X
TOISLJZ,O,O,O,O,X,X,O,X,X,X
TOISLZJ,O,O,O,O,X,X,O,X,X,X
TOISJLZ,O,X,O,X,O,X,O,X,X,X
TOISJZL,O,X,O,O,O,X,O,X,X,X
TOISZLJ,O,X,O,O,O,X,O,X,X,X
TOISZJL,O,X,O,O,O,X,O,X,X,X
TOIZLJS,O,O,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,O,O,X,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,X,X,X
TOIZJSL,O,X,O,O,X,X,X,X,X,X
TOIZSLJ,X,O,O,O,X,X,X,X,X,X
TOIZSJL,O,O,O,O,X,X,X,X,X,X
TOLIJSZ,X,O,O,O,X,X,X,X,X,X
TOLIJZS,O,O,O,O,X,X,X,X,X,X
TOLISJZ,X,O,O,O,X,X,O,X,X,X
TOLISZJ,O,O,O,O,X,X,O,X,X,X
TOLIZJS,O,O,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,O,O,X,X,X,X,X,X
TOLJISZ,X,O,O,O,X,X,X,X,X,X
TOLJIZS,O,O,O,O,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,X,X,O,X,X,X
TOLJSZI,X,X,O,O,X,X,O,X,X,X
TOLJZIS,O,O,O,O,X,X,X,X,O,X
TOLJZSI,O,O,O,O,X,X,X,X,O,X
TOLSIJZ,X,O,X,X,X,X,O,X,X,O
TOLSIZJ,O,O,X,X,O,X,O,X,X,X
TOLSJIZ,X,X,X,X,X,X,O,X,X,X
TOLSJZI,X,X,X,O,O,X,O,X,X,X
TOLSZIJ,O,O,X,O,O,X,O,X,X,X
TOLSZJI,O,O,X,O,O,X,O,X,X,X
TOLZIJS,O,O,X,O,X,X,X,X,O,X
TOLZISJ,O,O,X,O,X,X,X,X,X,X
TOLZJIS,O,O,X,O,X,X,X,X,O,X
TOLZJSI,O,O,X,O,X,X,X,X,O,X
TOLZSIJ,O,O,X,O,X,X,O,X,X,X
TOLZSJI,O,O,X,O,X,X,O,X,O,X
TOJILSZ,X,O,O,X,O,X,X,X,X,X
TOJILZS,O,O,O,X,X,X,X,X,X,X
TOJISLZ,X,O,O,X,O,O,X,X,X,X
TOJISZL,X,X,O,X,O,O,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X,X,X,X
TOJLISZ,X,O,O,X,O,X,X,X,X,X
TOJLIZS,O,O,O,X,X,X,X,X,X,X
TOJLSIZ,X,O,O,X,O,O,O,X,X,X
TOJLSZI,X,O,O,X,O,O,O,X,X,X
TOJLZIS,O,O,O,X,X,X,X,X,O,X
TOJLZSI,O,O,O,X,X,X,X,X,O,X
TOJSILZ,X,O,O,X,O,O,O,X,X,X
TOJSIZL,X,X,O,X,O,O,O,X,X,X
TOJSLIZ,X,O,O,X,O,O,O,X,X,X
TOJSLZI,X,O,O,X,O,O,O,X,X,X
TOJSZIL,X,O,O,X,O,O,O,X,X,X
TOJSZLI,X,O,O,X,O,O,O,X,X,X
TOJZILS,O,O,O,X,X,X,X,X,O,X
TOJZISL,O,O,O,X,X,X,X,X,X,X
TOJZLIS,O,O,O,X,X,X,X,X,O,X
TOJZLSI,O,O,O,X,X,X,X,X,O,X
TOJZSIL,O,O,O,X,X,O,X,X,X,X
TOJZSLI,O,O,O,X,X,O,X,X,O,X
TOSILJZ,O,O,X,O,X,X,O,X,X,O
TOSILZJ,O,O,X,O,O,X,O,X,X,X
TOSIJLZ,O,X,X,X,O,X,O,X,X,O
TOSIJZL,O,X,X,O,O,X,O,X,X,X
TOSIZLJ,O,X,X,O,O,X,O,X,X,X
TOSIZJL,O,X,X,O,O,X,O,X,X,X
TOSLIJZ,O,O,X,X,X,O,O,X,X,O
TOSLIZJ,O,O,X,X,O,X,O,X,X,X
TOSLJIZ,O,X,X,X,X,O,O,X,X,X
TOSLJZI,O,X,X,O,O,O,O,X,X,X
TOSLZIJ,O,O,X,O,O,X,O,X,X,X
TOSLZJI,O,O,X,O,O,X,O,X,X,X
TOSJILZ,O,X,X,X,O,O,O,X,X,O
TOSJIZL,O,X,X,X,O,O,O,X,X,X
TOSJLIZ,O,X,X,X,O,O,O,X,X,X
TOSJLZI,O,X,X,X,O,O,O,X,X,X
TOSJZIL,O,X,X,X,O,O,O,X,X,X
TOSJZLI,O,X,X,X,O,O,O,X,X,X
TOSZILJ,O,O,X,O,O,X,O,X,X,X
TOSZIJL,O,O,X,O,O,X,O,X,X,X
TOSZLIJ,O,O,X,O,O,X,O,X,X,X
TOSZLJI,O,O,X,O,O,X,O,X,X,X
TOSZJIL,O,O,X,O,O,X,O,X,X,X
TOSZJLI,O,O,X,O,O,X,O,X,X,X
TOZILJS,O,O,X,O,X,X,X,X,O,X
TOZILSJ,O,O,X,O,X,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X,X,O,X
TOZIJSL,O,O,X,O,X,X,X,X,X,X
TOZISLJ,X,O,X,O,X,X,X,X,X,X
TOZISJL,O,O,X,O,X,X,X,X,X,X
TOZLIJS,O,O,X,O,X,X,X,X,O,X
TOZLISJ,O,O,X,O,X,X,X,X,X,X
TOZLJIS,O,O,X,O,X,X,X,X,O,X
TOZLJSI,O,O,X,O,X,X,X,X,O,X
TOZLSIJ,O,O,X,O,X,X,O,X,X,X
TOZLSJI,O,O,X,O,X,X,O,X,O,X
TOZJILS,O,O,X,X,X,X,X,X,O,X
TOZJISL,O,O,X,X,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X,O,X
TOZJLSI,O,O,X,O,X,X,X,X,O,X
TOZJSIL,O,O,X,O,X,X,X,X,X,X
TOZJSLI,O,O,X,O,X,X,X,X,O,X
TOZSILJ,O,O,X,O,X,X,O,X,X,X
TOZSIJL,O,O,X,O,X,X,O,X,X,X
TOZSLIJ,O,O,X,O,X,X,O,X,X,X
TOZSLJI,O,O,X,O,X,X,O,X,O,X
TOZSJIL,O,O,X,O,X,X,O,X,X,X
TOZSJLI,O,O,X,O,X,X,O,X,O,X
ITLJSZO,X,O,O,O,X,X,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X,X,X,X
ITLJZSO,O,O,O,O,X,X,X,X,X,X
ITLJZOS,O,O,O,X,X,X,X,X,X,X
ITLJOSZ,X,O,O,X,X,X,X,X,X,X
ITLJOZS,X,O,O,X,X,X,X,X,X,X
ITLSJZO,X,O,O,O,X,X,X,X,X,O
ITLSJOZ,X,O,O,X,X,X,X,X,X,O
ITLSZJO,O,O,O,O,O,X,X,X,X,O
ITLSZOJ,X,O,O,O,O,X,X,X,X,X
ITLSOJZ,X,O,O,X,X,X,X,X,X,O
ITLSOZJ,X,O,O,X,O,X,X,X,X,X
ITLZJSO,O,O,O,O,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,X,X,X
ITLZSJO,O,O,O,O,X,X,X,X,X,X
ITLZSOJ,X,O,O,O,X,X,X,X,X,X
ITLZOJS,O,O,X,X,X,X,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,X,X,X
ITLOJSZ,X,O,O,X,X,X,X,X,X,X
ITLOJZS,X,O,O,X,X,X,X,X,X,X
ITLOSJZ,X,O,O,X,X,X,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,X,X,X,X
ITLOZJS,O,O,O,X,X,X,X,X,X,X
ITLOZSJ,X,O,O,X,X,X,X,X,X,X
ITJLSZO,X,O,O,X,X,X,X,X,X,X
ITJLSOZ,X,O,O,X,X,X,X,X,X,X
ITJLZSO,X,O,O,X,X,X,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X,X,X,X
ITJLOSZ,X,O,O,X,X,X,X,X,X,X
ITJLOZS,X,O,O,X,X,X,X,X,X,X
ITJSLZO,X,X,O,X,X,O,X,X,X,X
ITJSLOZ,X,X,O,X,X,O,X,X,X,X
ITJSZLO,X,X,O,O,X,O,X,X,X,X
ITJSZOL,X,X,O,O,X,O,X,X,X,X
ITJSOLZ,X,X,O,X,X,O,X,X,X,X
ITJSOZL,X,X,O,X,X,O,X,X,X,X
ITJZLSO,X,X,O,X,X,X,X,X,X,X
ITJZLOS,X,X,O,X,X,X,X,X,X,X
ITJZSLO,X,X,O,O,X,X,X,X,X,X
ITJZSOL,X,X,O,O,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,X,X,X,X,X
ITJZOSL,X,X,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,X,X,X,X,X
ITJOLZS,X,X,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,O,X,X,O,X,X,X,X
ITJOSZL,X,X,O,X,X,O,X,X,X,X
ITJOZLS,X,X,O,X,X,X,X,X,X,X
ITJOZSL,X,X,O,X,X,X,X,X,X,X
ITSLJZO,X,O,O,O,X,O,X,X,X,O
ITSLJOZ,X,O,O,X,X,O,O,X,X,O
ITSLZJO,X,O,O,O,O,O,X,X,X,O
ITSLZOJ,X,O,O,O,O,X,X,X,X,X
ITSLOJZ,X,O,O,X,X,O,O,X,X,O
ITSLOZJ,X,O,O,X,O,X,O,X,X,X
ITSJLZO,X,X,O,X,X,O,X,X,X,O
ITSJLOZ,X,X,O,X,X,O,O,X,X,O
ITSJZLO,X,X,O,O,X,O,X,X,X,O
ITSJZOL,X,X,O,O,X,O,O,X,X,X
ITSJOLZ,X,X,O,X,X,O,O,X,X,O
ITSJOZL,X,X,O,X,X,O,O,X,X,X
ITSZLJO,X,X,O,O,X,X,X,X,X,O
ITSZLOJ,X,X,O,O,X,X,X,X,X,X
ITSZJLO,X,X,O,O,X,X,X,X,X,O
ITSZJOL,X,X,O,O,X,X,O,X,X,X
ITSZOLJ,X,X,O,O,X,X,O,X,X,X
ITSZOJL,X,X,O,O,X,X,O,X,X,X
ITSOLJZ,X,X,O,X,X,X,O,X,X,O
ITSOLZJ,X,X,O,X,O,X,O,X,X,X
ITSOJLZ,X,X,O,X,X,X,O,X,X,O
ITSOJZL,X,X,O,X,X,X,O,X,X,X
ITSOZLJ,X,X,O,X,X,X,O,X,X,X
ITSOZJL,X,X,O,X,X,X,O,X,X,X
ITZLJSO,O,O,O,O,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,X,X,X
ITZLSOJ,X,O,O,O,X,X,X,X,X,X
ITZLOJS,O,O,X,X,X,X,X,X,X,X
ITZLOSJ,X,O,O,X,X,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X,X,X,X
ITZJLOS,O,O,O,X,X,X,X,X,X,X
ITZJSLO,X,X,O,O,X,X,X,X,X,X
ITZJSOL,X,X,O,O,X,X,X,X,X,X
ITZJOLS,O,X,O,X,X,X,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,X,X,X
ITZSLJO,X,O,O,O,X,X,X,X,X,X
ITZSLOJ,X,O,O,O,X,X,X,X,X,X
ITZSJLO,X,O,O,O,X,X,X,X,X,X
ITZSJOL,X,X,O,O,X,X,X,X,X,X
ITZSOLJ,X,O,O,O,X,X,X,X,X,X
ITZSOJL,X,X,O,O,X,X,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,X,X
ITZOJLS,O,X,O,X,X,X,X,X,X,X
ITZOJSL,O,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,X,X,X,X,X
ITZOSJL,O,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,O,O,X,X,X,X,X,X,X
ITOLJZS,O,O,O,X,X,X,X,X,X,X
ITOLSJZ,X,O,O,X,X,X,O,X,X,X
ITOLSZJ,O,O,O,X,X,X,O,X,X,X
ITOLZJS,O,O,O,X,X,X,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,X,X,X,X
ITOJLSZ,X,O,O,X,X,X,X,X,X,X
ITOJLZS,O,O,O,X,X,X,X,X,X,X
ITOJSLZ,X,X,O,X,X,X,X,X,X,X
ITOJSZL,X,X,O,X,X,X,X,X,X,X
ITOJZLS,O,X,O,X,X,X,X,X,X,X
ITOJZSL,O,X,O,X,X,X,X,X,X,X
ITOSLJZ,X,O,O,X,X,X,O,X,X,X
ITOSLZJ,O,O,O,X,X,X,O,X,X,X
ITOSJLZ,X,X,O,X,X,X,O,X,X,X
ITOSJZL,X,X,O,X,X,X,O,X,X,X
ITOSZLJ,X,X,O,X,X,X,O,X,X,X
ITOSZJL,O,X,O,X,X,X,O,X,X,X
ITOZLJS,O,O,O,X,X,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,X,X,X
ITOZJSL,O,X,O,X,X,X,X,X,X,X
ITOZSLJ,X,O,O,X,X,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,X,X,X
ILTJSZO,X,X,O,O,X,X,X,X,X,X
ILTJSOZ,X,X,O,X,X,X,X,X,X,X
ILTJZSO,O,X,O,O,X,X,X,X,X,X
ILTJZOS,O,X,O,X,X,X,X,X,X,X
ILTJOSZ,X,X,O,X,X,X,X,X,X,X
ILTJOZS,X,X,O,X,X,X,X,X,X,X
ILTSJZO,X,X,O,O,X,X,X,X,X,O
ILTSJOZ,X,X,O,X,X,X,X,X,X,O
ILTSZJO,O,X,O,O,X,X,X,X,X,O
ILTSZOJ,X,X,O,O,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,X,X,O
ILTSOZJ,X,X,O,X,X,X,X,X,X,X
ILTZJSO,O,X,O,O,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,O,O,X,X,X,X,X,X
ILTZSOJ,X,X,O,O,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,O,X,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,X,X,X,X,X
ILTOJZS,X,X,O,X,X,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X,X,X
ILTOSZJ,X,X,O,X,X,X,X,X,X,X
ILTOZJS,O,X,O,X,X,X,X,X,X,X
ILTOZSJ,X,X,O,X,X,X,X,X,X,X
ILJTSZO,X,X,O,O,X,X,X,X,X,X
ILJTSOZ,X,X,O,X,X,X,X,X,X,X
ILJTZSO,O,X,O,O,X,X,X,X,X,X
ILJTZOS,O,X,O,X,X,X,X,X,X,X
ILJTOSZ,X,X,O,X,X,X,X,X,X,X
ILJTOZS,X,X,O,X,X,X,X,X,X,X
ILJSTZO,X,X,O,O,X,X,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X,X,X,X
ILJSZTO,O,X,O,O,X,X,X,X,X,X
ILJSZOT,O,X,O,O,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,O,O,X,X,X,X,X,X
ILJZTSO,X,X,O,O,X,X,X,X,X,X
ILJZTOS,O,X,O,X,X,X,X,X,X,X
ILJZSTO,X,X,O,O,X,X,X,O,X,X
ILJZSOT,O,X,O,O,X,X,X,O,X,X
ILJZOTS,O,X,O,O,X,X,X,X,X,X
ILJZOST,O,X,O,O,X,X,X,X,X,X
ILJOTSZ,X,X,O,O,X,X,X,X,X,X
ILJOTZS,X,X,O,O,X,X,X,X,X,X
ILJOSTZ,X,X,O,O,X,X,X,X,X,X
ILJOSZT,X,X,O,O,X,X,X,X,X,X
ILJOZTS,X,X,O,O,X,X,X,X,X,X
ILJOZST,X,X,O,O,X,X,X,X,X,X
ILSTJZO,X,X,O,O,X,X,X,X,X,O
ILSTJOZ,X,X,O,X,X,X,X,X,X,O
ILSTZJO,O,X,O,O,X,X,X,X,X,O
ILSTZOJ,X,X,O,O,X,X,X,X,X,X
ILSTOJZ,X,X,O,X,X,X,X,X,X,O
ILSTOZJ,X,X,O,X,X,X,X,X,X,X
ILSJTZO,X,X,O,O,X,X,X,X,X,O
ILSJTOZ,X,X,O,X,X,X,X,X,X,O
ILSJZTO,O,X,O,O,X,X,X,X,X,O
ILSJZOT,O,X,O,O,X,X,X,X,X,O
ILSJOTZ,X,X,O,X,X,X,X,X,X,O
ILSJOZT,X,X,O,O,X,X,X,X,X,O
ILSZTJO,O,X,O,O,X,X,X,X,X,X
ILSZTOJ,X,X,O,O,X,X,X,X,X,X
ILSZJTO,O,X,O,O,X,X,X,X,X,O
ILSZJOT,O,X,O,O,X,X,X,X,X,O
ILSZOTJ,X,X,O,O,X,X,X,X,X,X
ILSZOJT,O,X,O,O,X,X,X,X,X,X
ILSOTJZ,X,X,O,X,X,X,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X,X,X,X
ILSOJTZ,X,X,O,X,X,X,X,X,X,O
ILSOJZT,X,X,O,O,X,X,X,X,X,O
ILSOZTJ,X,X,O,O,X,X,X,X,X,X
ILSOZJT,O,X,O,O,X,X,X,X,X,X
ILZTJSO,O,X,O,O,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X,X
ILZTSJO,O,X,O,O,X,X,X,X,X,X
ILZTSOJ,X,X,O,O,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,X,O,O,X,X,X,X,X,X
ILZJTSO,X,X,O,O,X,X,X,X,X,X
ILZJTOS,O,X,O,X,X,X,X,X,X,X
ILZJSTO,X,X,O,O,X,X,X,O,X,X
ILZJSOT,O,X,O,O,X,X,X,O,X,X
ILZJOTS,O,X,O,O,X,X,X,X,X,X
ILZJOST,O,X,O,O,X,X,X,X,X,X
ILZSTJO,O,X,O,O,X,X,X,O,X,X
ILZSTOJ,X,X,O,O,X,X,X,X,X,X
ILZSJTO,O,X,O,O,X,X,X,O,X,X
ILZSJOT,O,X,O,O,X,X,X,O,X,X
ILZSOTJ,X,X,O,O,X,X,X,X,X,X
ILZSOJT,O,X,O,O,X,X,X,O,X,X
ILZOTJS,X,X,O,O,X,X,X,X,X,X
ILZOTSJ,X,X,O,O,X,X,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,X,X,X
ILZOJST,O,X,O,O,X,X,X,X,X,X
ILZOSTJ,X,X,O,O,X,X,X,X,X,X
ILZOSJT,X,X,O,O,X,X,X,X,X,X
