sequence,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jB/?qBFmBmqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF0bBxdBKlBG?jBFmBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFXcBxdBKlBG?jBFmB0qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jBl?gB2qBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8Je2/IvhFXcB0dB6jBx?lBFlBzqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFZgB0dB6jBX?mBuqBFrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFFcB0dB6jBx?lBmqB/qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF1gB0dB6jBx?lB2qBXrB
TZJSOIL,X,X,X,O,X,X,X,X
TZJSOLI,X,X,X,O,X,X,X,X
TZJOILS,X,X,X,O,X,X,O,X
TZJOISL,X,X,X,O,X,X,X,X
TZJOLIS,X,X,X,O,X,X,O,X
TZJOLSI,X,X,X,O,O,X,X,X
TZJOSIL,X,X,X,O,X,X,X,X
TZJOSLI,X,X,X,O,O,X,X,X
TZSILJO,O,X,X,X,O,O,X,X
TZSILOJ,O,X,X,X,X,O,X,X
TZSIJLO,O,X,X,X,O,O,X,X
TZSIJOL,O,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,X,X,O,X,X
TZSIOJL,O,X,X,X,X,O,X,X
TZSLIJO,O,X,X,X,O,O,X,X
TZSLIOJ,O,X,X,X,X,O,X,X
TZSLJIO,O,X,O,X,O,X,X,X
TZSLJOI,O,X,O,X,O,X,X,X
TZSLOIJ,O,X,X,X,X,O,X,X
TZSLOJI,O,X,O,X,X,X,X,X
TZSJILO,O,X,O,X,X,X,X,X
TZSJIOL,O,X,X,X,X,X,X,X
TZSJLIO,O,X,O,X,O,X,X,X
TZSJLOI,O,X,O,X,O,X,X,X
TZSJOIL,O,X,X,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X,X,X
TZSOILJ,O,X,X,X,X,O,X,X
TZSOIJL,O,X,X,X,X,O,X,X
TZSOLIJ,O,X,X,X,X,O,X,X
TZSOLJI,O,X,X,X,X,X,X,X
TZSOJIL,O,X,X,X,X,X,X,X
TZSOJLI,O,X,X,X,X,X,X,X
TZOILJS,X,X,X,O,O,X,O,O
TZOILSJ,O,X,X,X,O,O,X,O
TZOIJLS,X,X,X,X,O,X,X,O
TZOIJSL,X,X,X,X,O,X,X,X
TZOISLJ,X,X,X,X,O,O,X,O
TZOISJL,X,X,X,X,O,O,X,X
TZOLIJS,X,X,X,O,O,X,O,X
TZOLISJ,O,X,X,X,O,O,X,X
TZOLJIS,X,X,X,O,X,X,O,X
TZOLJSI,X,X,X,O,O,X,X,X
TZOLSIJ,O,X,X,X,O,O,X,X
TZOLSJI,O,X,X,X,O,X,X,X
TZOJILS,X,X,X,O,X,X,O,X
TZOJISL,X,X,X,O,X,X,X,X
TZOJLIS,X,X,X,O,X,X,O,X
TZOJLSI,X,X,X,O,O,X,X,X
TZOJSIL,X,X,X,O,X,X,X,X
TZOJSLI,X,X,X,O,O,X,X,X
TZOSILJ,O,X,X,X,O,O,X,X
TZOSIJL,O,X,X,X,O,O,X,X
TZOSLIJ,O,X,X,X,O,O,X,X
TZOSLJI,O,X,X,X,O,X,X,X
TZOSJIL,O,X,X,X,X,X,X,X
TZOSJLI,O,X,X,X,O,X,X,X
TOILJSZ,X,X,X,X,O,X,O,X
TOILJZS,X,X,X,X,O,X,O,O
TOILSJZ,X,X,X,X,O,O,X,X
TOILSZJ,X,X,X,X,O,O,X,O
TOILZJS,X,X,X,O,O,X,O,O
TOILZSJ,O,X,X,X,O,O,X,O
TOIJLSZ,X,X,X,X,O,X,X,X
TOIJLZS,X,X,X,X,O,X,X,O
TOIJSLZ,X,X,X,X,O,X,X,X
TOIJSZL,X,X,X,X,O,X,X,X
TOIJZLS,X,X,X,X,O,X,X,O
TOIJZSL,X,X,X,X,O,X,X,X
TOISLJZ,X,X,X,X,O,O,X,X
TOISLZJ,X,X,X,X,O,O,X,O
TOISJLZ,X,X,X,X,O,O,X,X
TOISJZL,X,X,X,X,O,O,X,X
TOISZLJ,X,X,X,X,O,O,X,O
TOISZJL,X,X,X,X,O,O,X,X
TOIZLJS,X,X,X,O,O,X,O,O
TOIZLSJ,O,X,X,X,O,O,X,O
TOIZJLS,X,X,X,X,O,X,X,O
TOIZJSL,X,X,X,X,O,X,X,X
TOIZSLJ,X,X,X,X,O,O,X,O
TOIZSJL,X,X,X,X,O,O,X,X
TOLIJSZ,X,O,O,X,O,X,O,X
TOLIJZS,X,O,O,X,O,X,O,X
TOLISJZ,X,X,O,X,O,O,X,X
TOLISZJ,X,X,X,X,O,O,X,X
TOLIZJS,X,O,X,O,O,X,O,X
TOLIZSJ,O,X,X,X,O,O,X,X
TOLJISZ,X,O,O,O,X,X,O,X
TOLJIZS,X,O,O,O,X,X,O,X
TOLJSIZ,X,O,O,O,X,X,X,X
TOLJSZI,X,O,O,O,O,X,X,X
TOLJZIS,X,O,O,O,X,X,O,X
TOLJZSI,X,O,O,O,O,X,X,X
TOLSIJZ,O,X,O,X,O,O,X,X
TOLSIZJ,O,X,X,X,O,O,X,X
TOLSJIZ,O,O,O,X,X,X,X,X
TOLSJZI,O,O,O,X,O,X,X,X
TOLSZIJ,O,X,X,X,O,O,X,X
TOLSZJI,O,O,O,X,O,X,X,X
TOLZIJS,X,O,X,O,O,X,O,X
TOLZISJ,O,X,X,X,O,O,X,X
TOLZJIS,X,O,O,O,X,X,O,X
TOLZJSI,X,O,O,O,O,X,X,X
TOLZSIJ,O,X,X,X,O,O,X,X
TOLZSJI,O,O,O,X,O,X,X,X
TOJILSZ,X,O,O,O,X,X,O,X
TOJILZS,X,O,O,O,X,X,O,X
TOJISLZ,X,X,O,O,X,X,X,X
TOJISZL,X,X,X,O,X,X,X,X
TOJIZLS,X,X,X,O,X,X,O,X
TOJIZSL,X,X,X,O,X,X,X,X
TOJLISZ,X,O,O,O,X,X,O,X
TOJLIZS,X,O,O,O,X,X,O,X
TOJLSIZ,X,O,O,O,X,X,X,X
TOJLSZI,X,O,O,O,O,X,X,X
TOJLZIS,X,O,O,O,X,X,O,X
TOJLZSI,X,O,O,O,O,X,X,X
TOJSILZ,X,X,O,O,X,X,X,X
TOJSIZL,X,X,X,O,X,X,X,X
TOJSLIZ,X,X,O,O,X,X,X,X
TOJSLZI,X,X,O,O,O,X,X,X
TOJSZIL,X,X,X,O,X,X,X,X
TOJSZLI,X,X,X,O,O,X,X,X
TOJZILS,X,X,X,O,X,X,O,X
TOJZISL,X,X,X,O,X,X,X,X
TOJZLIS,X,X,X,O,X,X,O,X
TOJZLSI,X,X,X,O,O,X,X,X
TOJZSIL,X,X,X,O,X,X,X,X
TOJZSLI,X,X,X,O,O,X,X,X
TOSILJZ,O,X,X,X,O,O,X,X
TOSILZJ,O,X,X,X,O,O,X,X
TOSIJLZ,O,X,X,X,O,O,X,X
TOSIJZL,O,X,X,X,O,O,X,X
TOSIZLJ,O,X,X,X,O,O,X,X
TOSIZJL,O,X,X,X,O,O,X,X
TOSLIJZ,O,X,O,X,O,O,X,X
TOSLIZJ,O,X,X,X,O,O,X,X
TOSLJIZ,O,X,O,X,X,X,X,X
TOSLJZI,O,X,O,X,O,X,X,X
TOSLZIJ,O,X,X,X,O,O,X,X
TOSLZJI,O,X,O,X,O,X,X,X
TOSJILZ,O,X,O,X,X,X,X,X
TOSJIZL,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,X,X,X,X,X
TOSJLZI,O,X,O,X,O,X,X,X
TOSJZIL,O,X,X,X,X,X,X,X
TOSJZLI,O,X,X,X,O,X,X,X
TOSZILJ,O,X,X,X,O,O,X,X
TOSZIJL,O,X,X,X,O,O,X,X
TOSZLIJ,O,X,X,X,O,O,X,X
TOSZLJI,O,X,X,X,O,X,X,X
TOSZJIL,O,X,X,X,X,X,X,X
TOSZJLI,O,X,X,X,O,X,X,X
TOZILJS,X,X,X,O,O,X,O,O
TOZILSJ,O,X,X,X,O,O,X,O
TOZIJLS,X,X,X,X,O,X,X,O
TOZIJSL,X,X,X,X,O,X,X,X
TOZISLJ,X,X,X,X,O,O,X,O
TOZISJL,X,X,X,X,O,O,X,X
TOZLIJS,X,X,X,O,O,X,O,X
TOZLISJ,O,X,X,X,O,O,X,X
TOZLJIS,X,X,X,O,X,X,O,X
TOZLJSI,X,X,X,O,O,X,X,X
TOZLSIJ,O,X,X,X,O,O,X,X
TOZLSJI,O,X,X,X,O,X,X,X
TOZJILS,X,X,X,O,X,X,O,X
TOZJISL,X,X,X,O,X,X,X,X
TOZJLIS,X,X,X,O,X,X,O,X
TOZJLSI,X,X,X,O,O,X,X,X
TOZJSIL,X,X,X,O,X,X,X,X
TOZJSLI,X,X,X,O,O,X,X,X
TOZSILJ,O,X,X,X,O,O,X,X
TOZSIJL,O,X,X,X,O,O,X,X
TOZSLIJ,O,X,X,X,O,O,X,X
TOZSLJI,O,X,X,X,O,X,X,X
TOZSJIL,O,X,X,X,X,X,X,X
TOZSJLI,O,X,X,X,O,X,X,X
ITLJSZO,X,O,O,X,O,X,O,X
ITLJSOZ,X,O,O,X,X,X,O,X
ITLJZSO,X,O,O,X,O,X,O,X
ITLJZOS,X,O,O,O,O,X,O,O
ITLJOSZ,X,O,O,X,O,X,O,X
ITLJOZS,X,O,O,O,O,X,O,O
ITLSJZO,X,X,O,X,O,O,X,X
ITLSJOZ,X,X,O,X,X,O,X,X
ITLSZJO,X,X,X,X,O,O,X,X
ITLSZOJ,X,X,X,X,X,O,X,O
ITLSOJZ,X,X,O,X,X,O,X,X
ITLSOZJ,X,X,X,X,X,O,X,O
ITLZJSO,X,O,X,X,O,X,O,X
ITLZJOS,X,O,X,O,O,X,O,O
ITLZSJO,X,X,X,X,O,O,X,X
ITLZSOJ,X,X,X,X,X,O,X,O
ITLZOJS,X,O,X,O,O,X,O,O
ITLZOSJ,O,X,X,X,O,O,X,O
ITLOJSZ,X,O,O,X,O,X,O,X
ITLOJZS,X,O,O,X,O,X,O,O
ITLOSJZ,X,X,O,X,O,O,X,X
ITLOSZJ,X,X,X,X,O,O,X,O
ITLOZJS,X,O,X,O,O,X,O,O
ITLOZSJ,O,X,X,X,O,O,X,O
ITJLSZO,X,O,O,X,O,X,X,X
ITJLSOZ,X,O,O,X,X,X,X,X
ITJLZSO,X,O,O,X,O,X,X,X
ITJLZOS,X,O,O,O,O,X,X,O
ITJLOSZ,X,O,O,X,O,X,X,X
ITJLOZS,X,O,O,O,O,X,X,O
ITJSLZO,X,O,O,X,O,X,X,X
ITJSLOZ,X,O,O,X,X,X,X,X
ITJSZLO,X,X,O,X,O,X,X,X
ITJSZOL,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,O,X,X,X,X,X
ITJSOZL,X,X,X,X,X,X,X,X
ITJZLSO,X,O,O,X,O,X,X,X
ITJZLOS,X,O,O,O,O,X,X,O
ITJZSLO,X,X,O,X,O,X,X,X
ITJZSOL,X,X,X,X,X,X,X,X
ITJZOLS,X,X,X,O,X,X,X,O
ITJZOSL,X,X,X,X,X,X,X,X
ITJOLSZ,X,O,O,X,X,X,X,X
ITJOLZS,X,O,O,O,X,X,X,O
ITJOSLZ,X,X,O,X,X,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X
ITJOZLS,X,X,X,O,X,X,X,O
ITJOZSL,X,X,X,X,X,X,X,X
ITSLJZO,X,X,O,X,O,O,X,X
ITSLJOZ,X,X,O,X,X,O,X,X
ITSLZJO,X,X,X,X,O,O,X,X
ITSLZOJ,X,X,X,X,X,O,X,O
ITSLOJZ,X,X,O,X,X,O,X,X
ITSLOZJ,X,X,X,X,X,O,X,O
ITSJLZO,X,X,O,X,O,O,X,X
ITSJLOZ,X,X,O,X,X,O,X,X
ITSJZLO,X,X,O,X,O,O,X,X
ITSJZOL,X,X,X,X,X,O,X,X
ITSJOLZ,X,X,O,X,X,O,X,X
ITSJOZL,X,X,X,X,X,O,X,X
ITSZLJO,X,X,X,X,O,O,X,X
ITSZLOJ,X,X,X,X,X,O,X,O
ITSZJLO,X,X,X,X,O,O,X,X
ITSZJOL,X,X,X,X,X,O,X,X
ITSZOLJ,X,X,X,X,X,O,X,O
ITSZOJL,X,X,X,X,X,O,X,X
ITSOLJZ,X,X,X,X,X,O,X,X
ITSOLZJ,X,X,X,X,X,O,X,O
ITSOJLZ,X,X,X,X,X,O,X,X
ITSOJZL,X,X,X,X,X,O,X,X
ITSOZLJ,X,X,X,X,X,O,X,O
ITSOZJL,X,X,X,X,X,O,X,X
ITZLJSO,X,X,X,X,O,X,O,X
ITZLJOS,X,X,X,O,O,X,O,O
ITZLSJO,X,X,X,X,O,O,X,X
ITZLSOJ,X,X,X,X,X,O,X,O
ITZLOJS,X,X,X,O,O,X,O,O
ITZLOSJ,O,X,X,X,O,O,X,O
ITZJLSO,X,X,X,X,O,X,X,X
ITZJLOS,X,X,X,O,O,X,X,O
ITZJSLO,X,X,X,X,O,X,X,X
ITZJSOL,X,X,X,X,X,X,X,X
ITZJOLS,X,X,X,O,X,X,X,O
ITZJOSL,X,X,X,X,X,X,X,X
ITZSLJO,X,X,X,X,O,O,X,X
ITZSLOJ,X,X,X,X,X,O,X,O
ITZSJLO,X,X,X,X,O,O,X,X
ITZSJOL,X,X,X,X,X,O,X,X
ITZSOLJ,X,X,X,X,X,O,X,O
ITZSOJL,X,X,X,X,X,O,X,X
ITZOLJS,X,X,X,O,X,X,O,O
ITZOLSJ,O,X,X,X,X,O,X,O
ITZOJLS,X,X,X,X,X,X,X,O
ITZOJSL,X,X,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,X,O,X,O
ITZOSJL,X,X,X,X,X,O,X,X
ITOLJSZ,X,X,X,X,X,X,O,X
ITOLJZS,X,X,X,X,X,X,O,O
ITOLSJZ,X,X,X,X,X,O,X,X
ITOLSZJ,X,X,X,X,X,O,X,O
ITOLZJS,X,X,X,O,X,X,O,O
ITOLZSJ,O,X,X,X,X,O,X,O
ITOJLSZ,X,X,X,X,X,X,X,X
ITOJLZS,X,X,X,X,X,X,X,O
ITOJSLZ,X,X,X,X,X,X,X,X
ITOJSZL,X,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,O
ITOJZSL,X,X,X,X,X,X,X,X
ITOSLJZ,X,X,X,X,X,O,X,X
ITOSLZJ,X,X,X,X,X,O,X,O
ITOSJLZ,X,X,X,X,X,O,X,X
ITOSJZL,X,X,X,X,X,O,X,X
ITOSZLJ,X,X,X,X,X,O,X,O
ITOSZJL,X,X,X,X,X,O,X,X
ITOZLJS,X,X,X,O,X,X,O,O
ITOZLSJ,O,X,X,X,X,O,X,O
ITOZJLS,X,X,X,X,X,X,X,O
ITOZJSL,X,X,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,O,X,O
ITOZSJL,X,X,X,X,X,O,X,X
ILTJSZO,X,O,O,X,O,X,O,X
ILTJSOZ,X,O,O,X,X,X,O,X
ILTJZSO,X,O,O,X,O,X,O,X
ILTJZOS,X,O,O,O,O,X,O,O
ILTJOSZ,X,O,O,X,O,X,O,X
ILTJOZS,X,O,O,O,O,X,O,O
ILTSJZO,X,X,O,X,O,O,X,X
ILTSJOZ,X,X,O,X,X,O,X,X
ILTSZJO,X,X,X,X,O,O,X,X
ILTSZOJ,X,X,X,X,X,O,X,O
ILTSOJZ,X,X,O,X,X,O,X,X
ILTSOZJ,X,X,X,X,X,O,X,O
ILTZJSO,X,O,X,X,O,X,O,X
ILTZJOS,X,O,X,O,O,X,O,O
ILTZSJO,X,X,X,X,O,O,X,X
ILTZSOJ,X,X,X,X,X,O,X,O
ILTZOJS,X,O,X,O,O,X,O,O
ILTZOSJ,O,X,X,X,O,O,X,O
ILTOJSZ,X,O,O,X,O,X,O,X
ILTOJZS,X,O,O,X,O,X,O,O
ILTOSJZ,X,X,O,X,O,O,X,X
ILTOSZJ,X,X,X,X,O,O,X,O
ILTOZJS,X,O,X,O,O,X,O,O
ILTOZSJ,O,X,X,X,O,O,X,O
ILJTSZO,X,O,O,O,O,X,O,X
ILJTSOZ,X,O,O,O,X,X,O,X
ILJTZSO,X,O,O,O,O,X,O,X
ILJTZOS,X,O,O,O,O,X,O,X
ILJTOSZ,X,O,O,O,O,X,O,X
ILJTOZS,X,O,O,O,O,X,O,X
ILJSTZO,X,O,O,O,O,O,O,X
ILJSTOZ,X,O,O,O,X,O,O,X
ILJSZTO,X,X,X,O,O,O,O,X
ILJSZOT,X,O,X,O,O,O,O,X
ILJSOTZ,X,O,O,O,O,O,O,X
ILJSOZT,X,O,X,O,O,O,O,X
ILJZTSO,X,O,O,O,O,X,O,X
ILJZTOS,X,O,O,O,O,X,O,X
ILJZSTO,X,X,X,O,O,O,O,X
ILJZSOT,X,O,X,O,O,O,O,X
ILJZOTS,X,O,O,O,O,X,O,X
ILJZOST,O,O,X,O,O,O,O,X
ILJOTSZ,X,O,O,O,O,X,O,X
ILJOTZS,X,O,O,O,O,X,O,X
ILJOSTZ,X,O,O,O,O,O,O,X
ILJOSZT,X,O,X,O,O,O,O,X
ILJOZTS,X,O,O,O,O,X,O,X
ILJOZST,O,O,X,O,O,O,O,X
ILSTJZO,O,X,X,X,O,O,X,X
ILSTJOZ,O,X,X,X,X,O,X,X
ILSTZJO,O,X,X,X,O,O,X,X
ILSTZOJ,O,X,X,X,X,O,X,X
ILSTOJZ,O,X,X,X,X,O,X,X
ILSTOZJ,O,X,X,X,X,O,X,X
ILSJTZO,X,X,X,X,O,O,O,X
ILSJTOZ,X,X,X,X,X,O,O,X
ILSJZTO,X,X,X,X,O,O,O,X
ILSJZOT,O,X,X,O,O,O,O,X
ILSJOTZ,X,X,X,X,O,O,O,X
ILSJOZT,O,X,X,O,O,O,O,X
ILSZTJO,O,X,X,X,O,O,X,X
ILSZTOJ,O,X,X,X,X,O,X,X
ILSZJTO,X,X,X,X,O,O,O,X
ILSZJOT,O,X,X,O,O,O,O,X
ILSZOTJ,O,X,X,X,O,O,X,X
ILSZOJT,O,X,X,O,O,O,O,X
ILSOTJZ,O,X,X,X,O,O,X,X
ILSOTZJ,O,X,X,X,O,O,X,X
ILSOJTZ,X,X,X,X,O,O,O,X
ILSOJZT,O,X,X,X,O,O,O,X
ILSOZTJ,O,X,X,X,O,O,X,X
ILSOZJT,O,X,X,O,O,O,O,X
ILZTJSO,X,X,X,X,O,X,O,X
ILZTJOS,X,X,X,O,O,X,O,O
ILZTSJO,X,X,X,X,O,O,X,X
ILZTSOJ,X,X,X,X,X,O,X,O
ILZTOJS,X,X,X,O,O,X,O,O
ILZTOSJ,O,X,X,X,O,O,X,O
ILZJTSO,X,X,X,O,O,X,O,X
ILZJTOS,X,O,X,O,O,X,O,X
ILZJSTO,X,X,X,O,O,O,O,X
ILZJSOT,X,O,X,O,O,O,O,X
ILZJOTS,X,O,X,O,O,X,O,X
ILZJOST,O,O,X,O,O,O,O,X
ILZSTJO,O,X,X,X,O,O,X,X
ILZSTOJ,O,X,X,X,X,O,X,X
ILZSJTO,X,X,X,X,O,O,O,X
ILZSJOT,O,X,X,O,O,O,O,X
ILZSOTJ,O,X,X,X,O,O,X,X
ILZSOJT,O,X,X,O,O,O,O,X
ILZOTJS,X,X,X,O,O,X,O,O
ILZOTSJ,O,X,X,X,O,O,X,O
ILZOJTS,X,O,X,O,O,X,O,X
ILZOJST,O,O,X,O,O,O,O,X
ILZOSTJ,O,X,X,X,O,O,X,X
ILZOSJT,O,X,X,O,O,O,O,X
ILOTJSZ,X,O,O,X,O,X,O,X
ILOTJZS,X,O,O,X,O,X,O,O
ILOTSJZ,X,X,O,X,O,O,X,X
ILOTSZJ,X,X,X,X,O,O,X,O
ILOTZJS,X,O,X,O,O,X,O,O
ILOTZSJ,O,X,X,X,O,O,X,O
ILOJTSZ,X,O,O,O,O,X,O,X
ILOJTZS,X,O,O,O,O,X,O,X
ILOJSTZ,X,O,O,O,O,O,O,X
ILOJSZT,X,O,X,O,O,O,O,X
ILOJZTS,X,O,O,O,O,X,O,X
ILOJZST,O,O,X,O,O,O,O,X
ILOSTJZ,O,X,X,X,O,O,X,X
ILOSTZJ,O,X,X,X,O,O,X,X
ILOSJTZ,X,X,X,X,O,O,O,X
ILOSJZT,O,X,X,X,O,O,O,X
ILOSZTJ,O,X,X,X,O,O,X,X
ILOSZJT,O,X,X,O,O,O,O,X
ILOZTJS,X,X,X,O,O,X,O,O
ILOZTSJ,O,X,X,X,O,O,X,O
ILOZJTS,X,O,X,O,O,X,O,X
ILOZJST,O,O,X,O,O,O,O,X
ILOZSTJ,O,X,X,X,O,O,X,X
ILOZSJT,O,X,X,O,O,O,O,X
IJTLSZO,X,O,O,O,O,X,O,X
IJTLSOZ,X,O,O,O,X,X,O,X
IJTLZSO,X,O,O,O,O,X,O,X
IJTLZOS,X,O,O,O,O,X,O,O
IJTLOSZ,X,O,O,O,O,X,O,X
IJTLOZS,X,O,O,O,O,X,O,O
IJTSLZO,X,O,O,O,O,X,X,X
IJTSLOZ,X,O,O,O,X,X,X,X
IJTSZLO,X,X,O,O,O,X,X,X
IJTSZOL,X,X,X,O,X,X,X,X
IJTSOLZ,X,X,O,O,X,X,X,X
IJTSOZL,X,X,X,O,X,X,X,X
IJTZLSO,X,O,O,O,O,X,O,X
IJTZLOS,X,O,O,O,O,X,O,O
IJTZSLO,X,X,O,O,O,X,X,X
IJTZSOL,X,X,X,O,X,X,X,X
IJTZOLS,X,X,X,O,X,X,O,O
IJTZOSL,X,X,X,O,X,X,X,X
IJTOLSZ,X,O,O,O,X,X,O,X
IJTOLZS,X,O,O,O,X,X,O,O
IJTOSLZ,X,X,O,O,X,X,X,X
IJTOSZL,X,X,X,O,X,X,X,X
IJTOZLS,X,X,X,O,X,X,O,O
IJTOZSL,X,X,X,O,X,X,X,X
IJLTSZO,X,O,O,O,O,X,O,X
IJLTSOZ,X,O,O,O,X,X,O,X
IJLTZSO,X,O,O,O,O,X,O,X
IJLTZOS,X,O,O,O,O,X,O,X
IJLTOSZ,X,O,O,O,O,X,O,X
IJLTOZS,X,O,O,O,O,X,O,X
IJLSTZO,X,O,O,O,O,O,O,X
IJLSTOZ,X,O,O,O,X,O,O,X
IJLSZTO,X,X,X,O,O,O,O,X
IJLSZOT,X,O,X,O,O,O,O,X
IJLSOTZ,X,O,O,O,O,O,O,X
IJLSOZT,X,O,X,O,O,O,O,X
IJLZTSO,X,O,O,O,O,X,O,X
IJLZTOS,X,O,O,O,O,X,O,X
IJLZSTO,X,X,X,O,O,O,O,X
IJLZSOT,X,O,X,O,O,O,O,X
IJLZOTS,X,O,O,O,O,X,O,X
IJLZOST,O,O,X,O,O,O,O,X
IJLOTSZ,X,O,O,O,O,X,O,X
IJLOTZS,X,O,O,O,O,X,O,X
IJLOSTZ,X,O,O,O,O,O,O,X
IJLOSZT,X,O,X,O,O,O,O,X
IJLOZTS,X,O,O,O,O,X,O,X
IJLOZST,O,O,X,O,O,O,O,X
IJSTLZO,X,O,O,O,O,O,X,X
IJSTLOZ,X,O,O,O,X,O,X,X
IJSTZLO,X,X,O,O,O,O,X,X
IJSTZOL,X,X,X,O,X,O,X,X
IJSTOLZ,X,X,O,O,X,O,X,X
IJSTOZL,X,X,X,O,X,O,X,X
IJSLTZO,X,O,O,O,O,O,O,X
IJSLTOZ,X,O,O,O,X,O,O,X
IJSLZTO,X,X,X,O,O,O,O,X
IJSLZOT,X,O,X,O,O,O,O,X
IJSLOTZ,X,O,O,O,O,O,O,X
IJSLOZT,X,O,X,O,O,O,O,X
IJSZTLO,X,X,X,O,O,O,X,X
IJSZTOL,X,X,X,O,X,O,X,X
IJSZLTO,X,X,X,O,O,O,O,X
IJSZLOT,X,X,X,O,O,O,O,X
IJSZOTL,X,X,X,O,X,O,X,X
IJSZOLT,X,X,X,O,O,O,O,X
IJSOTLZ,X,X,X,O,X,O,X,X
IJSOTZL,X,X,X,O,X,O,X,X
IJSOLTZ,X,O,O,O,X,O,O,X
IJSOLZT,X,O,X,O,O,O,O,X
IJSOZTL,X,X,X,O,X,O,X,X
IJSOZLT,X,X,X,O,O,O,O,X
IJZTLSO,X,O,O,O,O,X,O,X
IJZTLOS,X,O,O,O,O,X,O,O
IJZTSLO,X,X,O,O,O,X,X,X
IJZTSOL,X,X,X,O,X,X,X,X
IJZTOLS,X,X,X,O,X,X,O,O
IJZTOSL,X,X,X,O,X,X,X,X
IJZLTSO,X,O,O,O,O,X,O,X
IJZLTOS,X,O,O,O,O,X,O,X
IJZLSTO,X,X,X,O,O,O,O,X
IJZLSOT,X,O,X,O,O,O,O,X
IJZLOTS,X,O,O,O,O,X,O,X
IJZLOST,O,O,X,O,O,O,O,X
IJZSTLO,X,X,X,O,O,O,X,X
IJZSTOL,X,X,X,O,X,O,X,X
IJZSLTO,X,X,X,O,O,O,O,X
IJZSLOT,X,X,X,O,O,O,O,X
IJZSOTL,X,X,X,O,X,O,X,X
IJZSOLT,X,X,X,O,O,O,O,X
IJZOTLS,X,X,X,O,X,X,O,O
IJZOTSL,X,X,X,O,X,X,X,X
IJZOLTS,X,O,O,O,O,X,O,X
IJZOLST,O,O,X,O,O,O,O,X
IJZOSTL,X,X,X,O,X,O,X,X
IJZOSLT,X,X,X,O,O,O,O,X
IJOTLSZ,X,O,O,O,X,X,O,X
IJOTLZS,X,O,O,O,X,X,O,O
IJOTSLZ,X,X,O,O,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X
IJOTZLS,X,X,X,O,X,X,O,O
IJOTZSL,X,X,X,O,X,X,X,X
IJOLTSZ,X,O,O,O,O,X,O,X
IJOLTZS,X,O,O,O,O,X,O,X
IJOLSTZ,X,O,O,O,O,O,O,X
IJOLSZT,X,O,X,O,O,O,O,X
IJOLZTS,X,O,O,O,O,X,O,X
IJOLZST,O,O,X,O,O,O,O,X
IJOSTLZ,X,X,X,O,X,O,X,X
IJOSTZL,X,X,X,O,X,O,X,X
IJOSLTZ,X,O,O,O,X,O,O,X
IJOSLZT,X,O,X,O,O,O,O,X
IJOSZTL,X,X,X,O,X,O,X,X
IJOSZLT,X,X,X,O,O,O,O,X
IJOZTLS,X,X,X,O,X,X,O,O
IJOZTSL,X,X,X,O,X,X,X,X
IJOZLTS,X,O,O,O,O,X,O,X
IJOZLST,O,O,X,O,O,O,O,X
IJOZSTL,X,X,X,O,X,O,X,X
IJOZSLT,X,X,X,O,O,O,O,X
ISTLJZO,O,X,X,X,O,O,X,X
ISTLJOZ,O,X,X,X,X,O,X,X
ISTLZJO,O,X,X,X,O,O,X,X
ISTLZOJ,O,X,X,X,X,O,X,O
ISTLOJZ,O,X,X,X,X,O,X,X
ISTLOZJ,O,X,X,X,X,O,X,O
ISTJLZO,O,X,X,X,O,O,X,X
ISTJLOZ,O,X,X,X,X,O,X,X
ISTJZLO,O,X,X,X,O,O,X,X
ISTJZOL,O,X,X,X,X,O,X,X
ISTJOLZ,O,X,X,X,X,O,X,X
ISTJOZL,O,X,X,X,X,O,X,X
ISTZLJO,O,X,X,X,O,O,X,X
ISTZLOJ,O,X,X,X,X,O,X,O
ISTZJLO,O,X,X,X,O,O,X,X
ISTZJOL,O,X,X,X,X,O,X,X
ISTZOLJ,O,X,X,X,X,O,X,O
ISTZOJL,O,X,X,X,X,O,X,X
ISTOLJZ,O,X,X,X,X,O,X,X
ISTOLZJ,O,X,X,X,X,O,X,O
ISTOJLZ,O,X,X,X,X,O,X,X
ISTOJZL,O,X,X,X,X,O,X,X
ISTOZLJ,O,X,X,X,X,O,X,O
