sequence,v115@GhA8HeB8HeB8BeC8AeD8Jex/IvhF8lBzhBunBikB3p?BlrB,v115@GhA8HeB8HeB8BeC8AeD8JeZEJvhFzfBfmBlhBunB8r?BCqB,v115@GhA8HeB8HeB8BeC8AeD8Jei/IvhFRhBunBFlBXmB8r?BTpB,v115@GhA8HeB8HeB8BeC8AeD8Jex/IvhF0hBliB2pBzlBCs?B3pB,v115@GhA8HeB8HeB8BeC8AeD8JeUBJvhFRiB/pBFlBTnBGr?BipB,v115@GhA8HeB8HeB8BeC8AeD8Je2EJvhFRhB3iBFmBUlBTp?BCsB,v115@GhA8HeB8HeB8BeC8AeD8JexAJvhFliB6pBTlB/rBUn?BOpB
TOILSJZ,X,X,O,X,X,O,X
TOILSZJ,X,X,X,O,X,O,O
TOILZJS,X,X,O,O,X,O,X
TOILZSJ,X,X,O,O,X,O,O
TOIJLSZ,X,X,O,O,X,O,X
TOIJLZS,X,X,O,O,X,O,X
TOIJSLZ,O,X,O,O,O,O,X
TOIJSZL,O,X,X,X,O,O,X
TOIJZLS,O,X,O,O,X,X,X
TOIJZSL,O,X,O,X,O,O,X
TOISLJZ,O,X,O,X,X,O,X
TOISLZJ,O,X,X,O,X,X,O
TOISJLZ,O,X,O,X,O,O,X
TOISJZL,O,X,X,X,O,O,X
TOISZLJ,O,X,X,X,X,X,O
TOISZJL,O,X,X,X,X,O,O
TOIZLJS,O,X,O,O,X,X,X
TOIZLSJ,X,X,O,O,X,X,O
TOIZJLS,O,X,O,X,X,X,X
TOIZJSL,O,X,O,X,X,O,X
TOIZSLJ,O,X,O,X,X,X,O
TOIZSJL,O,X,O,X,X,O,O
TOLIJSZ,X,X,O,O,X,O,X
TOLIJZS,X,X,O,O,X,O,X
TOLISJZ,X,X,O,X,X,O,X
TOLISZJ,X,X,X,O,X,O,O
TOLIZJS,X,X,O,O,X,O,X
TOLIZSJ,X,X,O,O,X,O,O
TOLJISZ,X,X,O,O,X,O,X
TOLJIZS,X,X,O,O,X,O,X
TOLJSIZ,O,X,O,O,X,O,X
TOLJSZI,O,X,O,O,X,O,X
TOLJZIS,O,X,O,O,X,O,X
TOLJZSI,O,X,O,O,X,O,O
TOLSIJZ,O,X,O,X,X,O,X
TOLSIZJ,O,X,X,O,X,O,O
TOLSJIZ,O,X,O,O,X,O,X
TOLSJZI,O,X,O,O,X,O,X
TOLSZIJ,O,X,O,O,X,O,O
TOLSZJI,O,X,O,O,X,O,O
TOLZIJS,O,X,O,O,X,O,X
TOLZISJ,X,X,O,O,X,O,O
TOLZJIS,O,X,O,O,X,O,X
TOLZJSI,O,X,O,O,X,O,O
TOLZSIJ,O,X,O,O,X,O,O
TOLZSJI,O,X,O,O,X,O,O
TOJILSZ,X,X,O,O,X,O,X
TOJILZS,X,X,O,O,X,O,X
TOJISLZ,O,X,O,O,O,O,X
TOJISZL,O,X,X,X,O,O,X
TOJIZLS,O,X,O,O,X,X,X
TOJIZSL,O,X,O,X,O,O,X
TOJLISZ,X,X,O,O,X,O,X
TOJLIZS,X,X,O,O,X,O,X
TOJLSIZ,O,X,O,O,X,O,X
TOJLSZI,O,X,O,O,X,O,X
TOJLZIS,O,X,O,O,X,O,X
TOJLZSI,O,X,O,O,X,O,O
TOJSILZ,O,X,O,O,O,O,X
TOJSIZL,O,X,X,X,O,O,X
TOJSLIZ,O,X,O,O,O,O,X
TOJSLZI,O,X,O,O,O,O,X
TOJSZIL,O,X,O,X,O,O,X
TOJSZLI,O,X,O,X,O,O,X
TOJZILS,O,X,O,O,X,X,X
TOJZISL,O,X,O,X,O,O,X
TOJZLIS,O,X,O,O,X,O,X
TOJZLSI,O,X,O,O,X,O,O
TOJZSIL,O,X,O,X,O,O,O
TOJZSLI,O,X,O,X,O,O,O
TOSILJZ,O,X,O,X,X,O,X
TOSILZJ,O,X,X,O,X,X,O
TOSIJLZ,O,X,O,X,O,O,X
TOSIJZL,O,X,X,X,O,O,X
TOSIZLJ,O,X,X,X,X,X,O
TOSIZJL,O,X,X,X,O,O,O
TOSLIJZ,O,X,O,X,X,O,X
TOSLIZJ,O,X,X,O,X,O,O
TOSLJIZ,O,X,O,O,O,O,X
TOSLJZI,O,X,O,O,O,O,X
TOSLZIJ,O,X,O,O,X,O,O
TOSLZJI,O,X,O,O,O,O,O
TOSJILZ,O,X,O,O,O,O,X
TOSJIZL,O,X,X,X,O,O,X
TOSJLIZ,O,X,O,O,O,O,X
TOSJLZI,O,X,O,O,O,O,X
TOSJZIL,O,X,O,X,O,O,X
TOSJZLI,O,X,O,X,O,O,X
TOSZILJ,O,X,O,X,X,X,O
TOSZIJL,O,X,O,X,O,O,O
TOSZLIJ,O,X,O,X,X,X,O
TOSZLJI,O,X,O,X,O,X,O
TOSZJIL,O,X,O,X,O,O,O
TOSZJLI,O,X,O,X,O,O,O
TOZILJS,O,X,O,O,X,X,X
TOZILSJ,X,X,O,O,X,X,O
TOZIJLS,O,X,O,X,X,X,X
TOZIJSL,O,X,O,X,X,O,X
TOZISLJ,O,X,O,X,X,X,O
TOZISJL,O,X,O,X,X,O,O
TOZLIJS,O,X,O,O,X,O,X
TOZLISJ,X,X,O,O,X,O,O
TOZLJIS,O,X,O,O,X,O,X
TOZLJSI,O,X,O,O,X,O,O
TOZLSIJ,O,X,O,O,X,O,O
TOZLSJI,O,X,O,O,X,O,O
TOZJILS,O,X,O,O,X,X,X
TOZJISL,O,X,O,X,X,O,X
TOZJLIS,O,X,O,O,X,O,X
TOZJLSI,O,X,O,O,X,O,O
TOZJSIL,O,X,O,X,X,O,O
TOZJSLI,O,X,O,X,X,O,O
TOZSILJ,O,X,O,X,X,X,O
TOZSIJL,O,X,O,X,X,O,O
TOZSLIJ,O,X,O,X,X,X,O
TOZSLJI,O,X,O,X,X,X,O
TOZSJIL,O,X,O,X,X,O,O
TOZSJLI,O,X,O,X,X,O,O
ITLJSZO,X,O,O,X,X,X,X
ITLJSOZ,X,O,X,X,X,O,X
ITLJZSO,X,O,O,X,X,X,X
ITLJZOS,X,O,O,X,X,X,X
ITLJOSZ,X,O,X,X,X,O,X
ITLJOZS,X,O,O,X,X,O,X
ITLSJZO,X,O,O,X,X,X,X
ITLSJOZ,X,O,X,X,X,O,X
ITLSZJO,X,O,X,X,X,X,X
ITLSZOJ,X,O,X,X,X,O,X
ITLSOJZ,X,O,X,X,X,O,X
ITLSOZJ,X,O,X,X,X,O,X
ITLZJSO,X,O,O,X,X,X,X
ITLZJOS,X,O,O,X,X,X,X
ITLZSJO,X,O,O,X,X,X,X
ITLZSOJ,X,O,O,X,X,O,O
ITLZOJS,X,O,O,X,X,O,X
ITLZOSJ,X,O,X,X,X,O,O
ITLOJSZ,X,O,X,X,X,O,X
ITLOJZS,X,O,O,X,X,O,X
ITLOSJZ,X,O,X,X,X,O,X
ITLOSZJ,X,O,X,X,X,O,X
ITLOZJS,X,O,X,X,X,O,X
ITLOZSJ,X,O,X,X,X,O,O
ITJLSZO,X,O,O,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X
ITJLZSO,X,O,O,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X
ITJLOZS,X,O,O,O,X,X,X
ITJSLZO,O,O,O,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X
ITJSOLZ,O,X,X,O,X,O,X
ITJSOZL,O,X,X,X,X,O,X
ITJZLSO,X,O,O,X,X,X,X
ITJZLOS,O,O,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X
ITJZOLS,O,X,O,O,X,X,X
ITJZOSL,O,O,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,O,X
ITJOLZS,X,X,O,O,X,X,X
ITJOSLZ,O,X,X,O,X,O,X
ITJOSZL,O,X,X,X,X,O,X
ITJOZLS,O,X,X,O,X,X,X
ITJOZSL,O,X,X,X,X,O,X
ITSLJZO,O,O,O,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,O,X
ITSLOZJ,O,O,X,X,X,X,X
ITSJLZO,O,O,O,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,O,X
ITSJOZL,O,X,X,X,X,O,X
ITSZLJO,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X
ITSZOJL,O,O,X,X,X,O,X
ITSOLJZ,O,X,X,X,X,O,X
ITSOLZJ,O,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,O,O,X
ITSOJZL,O,X,X,X,O,O,X
ITSOZLJ,O,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,O,X
ITZLJSO,X,O,O,X,X,X,X
ITZLJOS,O,O,O,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,O
ITZLOJS,O,O,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,O
ITZJLSO,X,O,O,X,X,X,X
ITZJLOS,O,O,O,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X
ITZJOLS,O,X,O,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,O
ITZSJLO,O,O,O,X,X,X,X
ITZSJOL,O,O,O,X,X,X,O
ITZSOLJ,O,O,O,X,X,X,O
ITZSOJL,O,O,O,X,X,O,O
ITZOLJS,O,X,O,X,X,X,X
ITZOLSJ,X,X,X,X,X,X,O
ITZOJLS,O,X,O,X,X,X,X
ITZOJSL,O,O,X,X,X,O,X
ITZOSLJ,O,O,X,X,X,X,O
ITZOSJL,O,O,X,X,X,O,O
ITOLJSZ,X,X,X,O,X,O,X
ITOLJZS,X,X,O,O,X,O,X
ITOLSJZ,X,X,X,X,X,O,X
ITOLSZJ,X,X,X,O,X,O,X
ITOLZJS,X,X,X,O,X,O,X
ITOLZSJ,X,X,X,O,X,O,O
ITOJLSZ,X,X,X,O,X,O,X
ITOJLZS,X,X,O,O,X,O,X
ITOJSLZ,O,X,X,O,O,O,X
ITOJSZL,O,X,X,X,O,O,X
ITOJZLS,O,X,X,O,X,X,X
ITOJZSL,O,X,X,X,O,O,X
ITOSLJZ,O,X,X,X,X,O,X
ITOSLZJ,O,X,X,O,X,X,X
ITOSJLZ,O,X,X,X,O,O,X
ITOSJZL,O,X,X,X,O,O,X
ITOSZLJ,O,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,O,X
ITOZLJS,O,X,X,O,X,X,X
ITOZLSJ,X,X,X,O,X,X,O
ITOZJLS,O,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,O,X
ITOZSLJ,O,X,X,X,X,X,O
ITOZSJL,O,X,X,X,X,O,O
ILTJSZO,X,O,X,O,X,X,X
ILTJSOZ,X,O,X,X,X,O,X
ILTJZSO,X,O,X,O,X,X,X
ILTJZOS,X,O,X,O,X,X,X
ILTJOSZ,X,O,X,O,X,O,X
ILTJOZS,X,O,X,O,X,O,X
ILTSJZO,X,O,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,O,X
ILTSZJO,X,O,X,X,X,X,X
ILTSZOJ,X,O,X,X,X,O,X
ILTSOJZ,X,O,X,X,X,O,X
ILTSOZJ,X,O,X,X,X,O,X
ILTZJSO,X,O,X,O,X,X,X
ILTZJOS,X,O,X,O,X,X,X
ILTZSJO,X,O,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,O,O
ILTZOJS,X,O,X,O,X,O,X
ILTZOSJ,X,O,X,O,X,O,O
ILTOJSZ,X,O,X,O,X,O,X
ILTOJZS,X,O,X,O,X,O,X
ILTOSJZ,X,O,X,X,X,O,X
ILTOSZJ,X,O,X,O,X,O,X
ILTOZJS,X,O,X,O,X,O,X
ILTOZSJ,X,O,X,O,X,O,O
ILJTSZO,X,O,X,O,X,X,X
ILJTSOZ,X,O,X,X,X,X,X
ILJTZSO,X,O,X,O,X,X,X
ILJTZOS,X,O,X,O,X,X,X
ILJTOSZ,X,O,X,O,X,X,X
ILJTOZS,X,O,X,O,X,X,X
ILJSTZO,X,O,X,O,X,X,X
ILJSTOZ,X,O,X,X,X,X,X
ILJSZTO,X,O,X,O,X,X,X
ILJSZOT,X,O,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,X
ILJZTSO,X,O,X,O,X,X,X
ILJZTOS,X,O,X,O,X,X,X
ILJZSTO,X,O,X,O,X,X,X
ILJZSOT,X,O,X,X,X,X,X
ILJZOTS,X,O,X,O,X,X,X
ILJZOST,X,O,X,X,X,X,X
ILJOTSZ,X,O,X,O,X,X,X
ILJOTZS,X,O,X,O,X,X,X
ILJOSTZ,X,O,X,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X
ILJOZTS,X,O,X,O,X,X,X
ILJOZST,X,O,X,O,X,X,X
ILSTJZO,X,O,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,O,X
ILSTZJO,X,O,X,X,X,X,X
ILSTZOJ,X,O,X,X,X,O,X
ILSTOJZ,X,O,X,X,X,O,X
ILSTOZJ,X,O,X,X,X,O,X
ILSJTZO,X,O,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,O,X
ILSJZTO,X,O,X,X,X,X,X
ILSJZOT,X,O,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,O,X
ILSJOZT,X,O,X,X,X,X,X
ILSZTJO,X,O,X,X,X,X,X
ILSZTOJ,X,O,X,X,X,O,O
ILSZJTO,X,O,X,X,X,X,X
ILSZJOT,X,O,X,X,X,X,X
ILSZOTJ,X,O,X,X,X,O,O
ILSZOJT,X,O,X,X,X,X,O
ILSOTJZ,X,O,X,X,X,O,X
ILSOTZJ,X,O,X,X,X,O,O
ILSOJTZ,X,O,X,X,O,O,X
ILSOJZT,X,O,X,X,O,X,O
ILSOZTJ,X,O,X,X,X,O,O
ILSOZJT,X,O,X,X,X,X,O
ILZTJSO,X,O,X,O,X,X,X
ILZTJOS,X,O,X,O,X,X,X
ILZTSJO,X,O,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,O
ILZTOJS,X,O,X,O,X,X,X
ILZTOSJ,X,O,X,O,X,X,O
ILZJTSO,X,O,X,O,X,X,X
ILZJTOS,X,O,X,O,X,X,X
ILZJSTO,X,O,X,O,X,X,X
ILZJSOT,X,O,X,X,X,X,X
ILZJOTS,X,O,X,O,X,X,X
ILZJOST,X,O,X,X,X,X,X
ILZSTJO,X,O,X,X,X,X,X
ILZSTOJ,X,O,X,X,X,X,X
ILZSJTO,X,O,X,X,X,X,X
ILZSJOT,X,O,X,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,X
ILZSOJT,X,O,X,X,X,X,X
ILZOTJS,X,O,X,O,X,X,X
ILZOTSJ,X,O,X,O,X,X,O
ILZOJTS,X,O,X,O,X,X,X
ILZOJST,X,O,X,O,X,X,X
ILZOSTJ,X,O,X,O,X,X,X
ILZOSJT,X,O,X,X,X,X,X
ILOTJSZ,X,O,X,O,X,O,X
ILOTJZS,X,O,X,O,X,O,X
ILOTSJZ,X,O,X,X,X,O,X
ILOTSZJ,X,O,X,O,X,O,O
ILOTZJS,X,O,X,O,X,O,X
ILOTZSJ,X,O,X,O,X,O,O
ILOJTSZ,X,O,X,O,X,O,X
ILOJTZS,X,O,X,O,X,O,X
ILOJSTZ,X,O,X,O,O,O,X
ILOJSZT,X,O,X,O,O,X,O
ILOJZTS,X,O,X,O,X,X,X
ILOJZST,X,O,X,O,O,X,X
ILOSTJZ,X,O,X,X,X,O,X
ILOSTZJ,X,O,X,O,X,O,O
ILOSJTZ,X,O,X,X,O,O,X
ILOSJZT,X,O,X,X,O,X,O
ILOSZTJ,X,O,X,O,X,O,O
ILOSZJT,X,O,X,X,X,X,O
ILOZTJS,X,O,X,O,X,X,X
ILOZTSJ,X,O,X,O,X,X,O
ILOZJTS,X,O,X,O,X,X,X
ILOZJST,X,O,X,O,X,X,X
ILOZSTJ,X,O,X,O,X,X,O
ILOZSJT,X,O,X,X,X,X,O
IJTLSZO,X,O,O,O,X,X,X
IJTLSOZ,X,O,X,X,X,X,X
IJTLZSO,X,O,O,O,X,X,X
IJTLZOS,X,O,O,O,X,X,X
IJTLOSZ,X,O,X,O,X,X,X
IJTLOZS,X,O,O,O,X,X,X
IJTSLZO,O,O,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,X
IJTSZLO,O,O,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X
IJTSOLZ,O,X,X,O,X,X,X
IJTSOZL,O,X,X,X,X,X,X
IJTZLSO,X,O,O,X,X,X,X
IJTZLOS,O,O,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X
IJTZOLS,O,X,O,O,X,X,X
IJTZOSL,O,O,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X
IJTOSLZ,O,X,X,O,X,X,X
IJTOSZL,O,X,X,X,X,X,X
IJTOZLS,O,X,X,O,X,X,X
IJTOZSL,O,X,X,X,X,X,X
IJLTSZO,X,O,X,O,X,X,X
IJLTSOZ,X,O,X,X,X,X,X
IJLTZSO,X,O,X,O,X,X,X
IJLTZOS,X,O,X,O,X,X,X
IJLTOSZ,X,O,X,O,X,X,X
IJLTOZS,X,O,X,O,X,X,X
IJLSTZO,X,O,X,O,X,X,X
IJLSTOZ,X,O,X,X,X,X,X
IJLSZTO,X,O,X,O,X,X,X
IJLSZOT,X,O,X,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,X
IJLZTSO,X,O,X,O,X,X,X
IJLZTOS,X,O,X,O,X,X,X
IJLZSTO,X,O,X,O,X,X,X
IJLZSOT,X,O,X,X,X,X,X
IJLZOTS,X,O,X,O,X,X,X
IJLZOST,X,O,X,X,X,X,X
IJLOTSZ,X,O,X,O,X,X,X
IJLOTZS,X,O,X,O,X,X,X
IJLOSTZ,X,O,X,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X
IJLOZTS,X,O,X,O,X,X,X
IJLOZST,X,O,X,O,X,X,X
IJSTLZO,O,O,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,X
IJSTOLZ,O,X,X,O,O,X,X
IJSTOZL,O,X,X,X,O,X,X
IJSLTZO,O,O,X,O,X,X,X
IJSLTOZ,O,O,X,X,X,X,X
IJSLZTO,O,O,X,O,X,X,X
IJSLZOT,O,O,X,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X
IJSZTOL,O,O,X,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X
IJSZOTL,O,O,X,X,O,X,X
IJSZOLT,X,O,X,X,O,X,X
IJSOTLZ,X,X,X,O,O,X,X
IJSOTZL,X,X,X,X,O,X,X
IJSOLTZ,X,O,X,O,O,X,X
IJSOLZT,X,O,X,O,O,X,X
IJSOZTL,X,O,X,X,O,X,X
IJSOZLT,X,O,X,O,O,X,X
IJZTLSO,X,O,O,X,X,X,X
IJZTLOS,O,O,O,X,X,X,X
IJZTSLO,O,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,X,X
IJZTOLS,O,X,O,O,X,X,X
IJZTOSL,O,O,O,X,X,X,X
IJZLTSO,X,O,O,O,X,X,X
IJZLTOS,O,O,O,O,X,X,X
IJZLSTO,X,O,O,O,X,X,X
IJZLSOT,X,O,O,X,X,X,X
IJZLOTS,X,O,O,O,X,X,X
IJZLOST,X,O,O,X,X,X,X
IJZSTLO,O,O,O,X,X,X,X
IJZSTOL,O,O,O,X,O,X,X
IJZSLTO,O,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X
IJZSOTL,O,O,O,X,O,X,X
IJZSOLT,X,O,O,X,O,X,X
IJZOTLS,O,X,O,O,X,X,X
IJZOTSL,O,O,O,X,O,X,X
IJZOLTS,X,O,O,O,X,X,X
IJZOLST,X,O,O,O,O,X,X
IJZOSTL,X,O,O,X,O,X,X
IJZOSLT,X,O,O,O,O,X,X
IJOTLSZ,X,X,O,O,X,X,X
IJOTLZS,X,X,O,O,X,X,X
IJOTSLZ,X,X,O,O,O,X,X
IJOTSZL,X,X,X,X,O,X,X
IJOTZLS,X,X,O,O,X,X,X
IJOTZSL,X,X,O,X,O,X,X
IJOLTSZ,X,O,O,O,X,X,X
IJOLTZS,X,O,O,O,X,X,X
IJOLSTZ,X,O,X,O,O,X,X
IJOLSZT,X,O,X,O,O,X,X
IJOLZTS,X,O,O,O,X,X,X
IJOLZST,X,O,O,O,O,X,X
IJOSTLZ,X,X,X,O,O,X,X
IJOSTZL,X,X,X,X,O,X,X
IJOSLTZ,X,O,X,O,O,X,X
IJOSLZT,X,O,X,O,O,X,X
IJOSZTL,X,O,X,X,O,X,X
IJOSZLT,X,O,X,O,O,X,X
IJOZTLS,X,X,O,O,X,X,X
IJOZTSL,X,O,O,X,O,X,X
IJOZLTS,X,O,O,O,X,X,X
IJOZLST,X,O,O,O,O,X,X
IJOZSTL,X,O,O,X,O,X,X
IJOZSLT,X,O,O,O,O,X,X
ISTLJZO,O,O,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,O,X
ISTLOZJ,O,O,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X
ISTJOLZ,O,X,X,X,X,O,X
ISTJOZL,O,X,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,O
ISTZJLO,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,O
ISTZOLJ,O,O,X,X,X,X,O
ISTZOJL,O,O,X,X,O,O,O
ISTOLJZ,O,X,X,X,X,O,X
ISTOLZJ,O,X,X,X,X,X,O
ISTOJLZ,O,X,X,X,O,O,X
ISTOJZL,O,X,X,X,O,O,X
ISTOZLJ,O,X,X,X,X,X,O
ISTOZJL,O,X,X,X,O,O,O
ISLTJZO,O,O,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,O,X
ISLTZJO,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,O,X
ISLTOJZ,O,O,X,X,X,O,X
ISLTOZJ,O,O,X,X,X,O,X
ISLJTZO,O,O,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,O,X
ISLJZTO,O,O,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,O,X
ISLJOZT,O,O,X,X,X,X,X
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,O,O
ISLZJTO,O,O,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X
ISLZOTJ,O,O,X,X,X,O,O
ISLZOJT,O,O,X,X,X,X,O
ISLOTJZ,X,O,X,X,X,O,X
ISLOTZJ,X,O,X,X,X,O,O
ISLOJTZ,X,O,X,X,O,O,X
ISLOJZT,O,O,X,X,O,X,O
ISLOZTJ,O,O,X,X,X,O,O
ISLOZJT,O,O,X,X,X,X,O
ISJTLZO,O,O,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X
ISJTZOL,O,O,X,X,O,X,X
ISJTOLZ,O,X,X,X,O,O,X
ISJTOZL,O,X,X,X,O,O,X
ISJLTZO,O,O,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,X
ISJZTOL,O,O,X,X,O,X,O
ISJZLTO,O,O,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X
ISJZOTL,O,O,X,X,O,X,O
ISJZOLT,X,O,X,X,O,X,O
ISJOTLZ,X,X,X,X,O,O,X
ISJOTZL,X,X,X,X,O,O,X
ISJOLTZ,X,O,X,X,O,X,X
ISJOLZT,X,O,X,X,O,X,O
ISJOZTL,X,O,X,X,O,X,O
ISJOZLT,X,O,X,X,O,X,O
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,O
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,O
ISZTOLJ,O,O,X,X,X,X,O
ISZTOJL,O,O,X,X,X,O,O
ISZLTJO,O,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,O
ISZLJTO,O,O,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,O
ISZLOJT,O,O,X,X,X,X,O
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,O
ISZJLTO,O,O,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,O
ISZJOLT,X,O,X,X,X,X,O
ISZOTLJ,O,O,X,X,X,X,O
ISZOTJL,O,O,X,X,X,O,O
ISZOLTJ,X,O,X,X,X,X,O
ISZOLJT,X,O,X,X,X,X,O
ISZOJTL,O,O,X,X,O,X,O
ISZOJLT,X,O,X,X,O,X,O
ISOTLJZ,X,X,X,X,X,O,X
ISOTLZJ,X,X,X,X,X,X,O
ISOTJLZ,X,X,X,X,O,O,X
ISOTJZL,X,X,X,X,O,O,X
ISOTZLJ,X,X,X,X,X,X,O
ISOTZJL,X,X,X,X,O,O,O
ISOLTJZ,X,O,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,O,O
ISOLJTZ,X,O,X,X,O,O,X
ISOLJZT,X,O,X,X,O,X,O
ISOLZTJ,X,O,X,X,X,O,O
ISOLZJT,X,O,X,X,X,X,O
ISOJTLZ,X,X,X,X,O,O,X
ISOJTZL,X,X,X,X,O,O,X
ISOJLTZ,X,O,X,X,O,O,X
ISOJLZT,X,O,X,X,O,X,O
ISOJZTL,X,O,X,X,O,X,O
ISOJZLT,X,O,X,X,O,X,O
ISOZTLJ,X,O,X,X,X,X,O
ISOZTJL,X,O,X,X,X,O,O
ISOZLTJ,X,O,X,X,X,X,O
ISOZLJT,X,O,X,X,X,X,O
ISOZJTL,X,O,X,X,O,X,O
ISOZJLT,X,O,X,X,O,X,O
IZTLJSO,X,O,O,X,X,X,X
IZTLJOS,O,O,O,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,O
IZTLOJS,O,O,O,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,O
IZTJLSO,X,O,O,X,X,X,X
IZTJLOS,O,O,O,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X
IZTJSOL,O,O,O,X,X,X,X
IZTJOLS,O,X,O,X,X,X,X
IZTJOSL,O,O,O,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,O
