sequence,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhFXcBTdBOkB8kBSm?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBGdBKkBzfB3h?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeO/IvhF6hBTdBRgB0gB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gB+hBTdBifB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFCbBTdB8kBGhBXh?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhF8gBGdBzfB3hBCl?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFufBTdBcmBXlBll?BCrB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBSiBmfB3hBTk?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFlbB+hBTdBClBfl?B8qB,v115@7gB8HeB8FeD8EeH8AeF8JeG8IvhFTdB/kBxlBFlB8q?BipB
TSOIZJL,X,X,O,X,O,O,O,X,X,O
TSOLIJZ,O,O,O,O,X,O,X,X,X,X
TSOLIZJ,O,O,O,O,X,O,X,X,X,X
TSOLJIZ,O,O,O,O,X,O,X,O,X,X
TSOLJZI,O,O,O,O,X,O,X,O,X,X
TSOLZIJ,O,O,O,O,X,O,X,X,X,X
TSOLZJI,O,O,O,O,X,O,X,O,X,X
TSOJILZ,X,X,O,O,X,O,X,O,X,X
TSOJIZL,X,X,O,O,O,O,O,O,X,X
TSOJLIZ,X,O,O,O,X,O,X,O,X,X
TSOJLZI,X,O,O,O,X,O,X,O,X,X
TSOJZIL,X,O,O,O,O,O,O,O,X,X
TSOJZLI,X,O,O,O,O,O,X,O,X,X
TSOZILJ,O,X,O,X,O,O,X,X,X,X
TSOZIJL,X,O,O,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,O,O,O,X,X,X,X
TSOZLJI,O,O,O,O,O,O,X,O,X,X
TSOZJIL,O,O,O,O,O,O,O,O,X,X
TSOZJLI,O,O,O,O,O,O,X,O,X,X
TZILJSO,O,O,X,X,O,X,X,O,X,X
TZILJOS,O,O,X,O,O,X,X,O,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,X
TZILSOJ,O,X,X,X,O,X,X,X,X,X
TZILOJS,O,O,X,X,O,X,X,O,X,X
TZILOSJ,O,O,X,X,O,X,X,X,X,X
TZIJLSO,O,O,X,X,O,X,X,O,X,X
TZIJLOS,O,O,X,O,O,X,X,O,X,X
TZIJSLO,O,O,X,O,O,O,X,O,X,X
TZIJSOL,O,O,X,O,O,O,X,X,X,X
TZIJOLS,O,O,X,O,O,X,X,O,X,X
TZIJOSL,O,O,X,O,O,O,X,X,X,X
TZISLJO,O,X,X,O,O,O,X,X,X,X
TZISLOJ,O,X,X,O,O,O,X,X,X,X
TZISJLO,X,O,X,O,O,O,O,X,X,X
TZISJOL,X,O,X,O,O,O,O,X,X,X
TZISOLJ,O,X,X,X,O,O,X,X,X,X
TZISOJL,X,X,X,O,O,O,O,X,X,X
TZIOLJS,O,X,X,X,O,X,X,O,X,X
TZIOLSJ,O,X,X,X,O,X,X,X,X,X
TZIOJLS,O,O,X,O,O,X,X,O,X,X
TZIOJSL,O,O,X,O,O,O,X,O,X,X
TZIOSLJ,O,X,X,X,O,O,X,X,X,X
TZIOSJL,X,X,X,X,O,O,O,X,X,X
TZLIJSO,O,O,X,X,O,X,X,O,X,X
TZLIJOS,O,O,X,O,O,X,X,O,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X
TZLISOJ,O,X,X,X,O,X,X,X,X,X
TZLIOJS,O,O,X,X,O,X,X,O,X,X
TZLIOSJ,O,O,X,X,O,X,X,X,X,X
TZLJISO,O,O,X,X,O,X,X,O,X,X
TZLJIOS,O,O,X,O,O,X,X,O,X,X
TZLJSIO,O,O,X,O,O,X,X,O,X,X
TZLJSOI,O,O,X,O,O,X,X,O,X,X
TZLJOIS,O,O,X,O,O,X,X,O,X,X
TZLJOSI,O,O,X,O,O,X,X,O,X,X
TZLSIJO,O,O,O,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,O,X,X,O,X,X
TZLSJOI,O,O,O,O,O,X,X,O,X,X
TZLSOIJ,O,O,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,O,O,X,X,O,X,X
TZLOIJS,O,O,X,X,O,X,X,O,X,X
TZLOISJ,O,O,X,X,O,X,X,X,X,X
TZLOJIS,O,O,X,X,O,X,X,O,X,X
TZLOJSI,O,O,X,X,O,X,X,O,X,X
TZLOSIJ,O,O,O,X,O,X,X,X,X,X
TZLOSJI,O,O,O,X,O,X,X,O,X,X
TZJILSO,O,O,X,X,O,X,X,O,X,X
TZJILOS,O,O,X,O,O,X,X,O,X,X
TZJISLO,O,O,X,O,O,O,X,O,X,X
TZJISOL,O,O,X,O,O,O,X,X,X,X
TZJIOLS,O,O,X,O,O,X,X,O,X,X
TZJIOSL,O,O,X,O,O,O,X,X,X,X
TZJLISO,O,O,X,X,O,X,X,O,X,X
TZJLIOS,O,O,X,O,O,X,X,O,X,X
TZJLSIO,O,O,X,O,O,X,X,O,X,X
TZJLSOI,O,O,X,O,O,X,X,O,X,X
TZJLOIS,O,O,X,O,O,X,X,O,X,X
TZJLOSI,O,O,X,O,O,X,X,O,X,X
TZJSILO,O,O,X,O,O,O,X,O,X,X
TZJSIOL,O,O,X,O,O,O,X,X,X,X
TZJSLIO,O,O,X,O,O,O,X,O,X,X
TZJSLOI,O,O,X,O,O,O,X,O,X,X
TZJSOIL,O,O,X,O,O,O,X,X,X,X
TZJSOLI,O,O,X,O,O,O,X,X,X,X
TZJOILS,O,O,X,O,O,X,X,O,X,X
TZJOISL,O,O,X,O,O,O,X,O,X,X
TZJOLIS,O,O,X,O,O,X,X,O,X,X
TZJOLSI,O,O,X,O,O,X,X,O,X,X
TZJOSIL,O,X,X,O,O,O,X,O,X,X
TZJOSLI,O,X,X,O,O,O,X,O,X,X
TZSILJO,O,O,O,O,O,O,X,X,X,X
TZSILOJ,O,O,O,O,O,O,X,X,X,X
TZSIJLO,X,O,O,O,O,O,O,X,X,X
TZSIJOL,X,O,O,O,O,O,O,X,X,X
TZSIOLJ,O,X,O,X,O,O,X,X,X,X
TZSIOJL,X,O,O,O,O,O,O,X,X,X
TZSLIJO,O,O,O,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,O,O,O,X,X,X,X
TZSLJIO,O,O,O,O,O,O,X,O,X,X
TZSLJOI,O,O,O,O,O,O,X,O,X,X
TZSLOIJ,O,O,O,O,O,O,X,X,X,X
TZSLOJI,O,O,O,O,O,O,X,O,X,X
TZSJILO,O,O,O,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,O,O,X,X,X
TZSJLIO,O,O,O,O,O,O,X,O,X,X
TZSJLOI,O,O,O,O,O,O,X,O,X,X
TZSJOIL,O,O,O,O,O,O,O,X,X,X
TZSJOLI,O,O,O,O,O,O,X,X,X,X
TZSOILJ,O,X,O,X,O,O,X,X,X,X
TZSOIJL,X,O,O,O,O,O,O,X,X,X
TZSOLIJ,O,O,O,O,O,O,X,X,X,X
TZSOLJI,O,O,O,O,O,O,X,O,X,X
TZSOJIL,O,O,O,O,O,O,O,O,X,X
TZSOJLI,O,O,O,O,O,O,X,O,X,X
TZOILJS,O,X,X,X,O,X,X,O,X,X
TZOILSJ,O,X,X,X,O,X,X,X,X,X
TZOIJLS,O,O,X,O,O,X,X,O,X,X
TZOIJSL,O,O,X,O,O,O,X,O,X,X
TZOISLJ,O,X,X,X,O,O,X,X,X,X
TZOISJL,X,X,X,X,O,O,O,X,X,X
TZOLIJS,O,O,X,X,O,X,X,O,X,X
TZOLISJ,O,O,X,X,O,X,X,X,X,X
TZOLJIS,O,O,X,X,O,X,X,O,X,X
TZOLJSI,O,O,X,X,O,X,X,O,X,X
TZOLSIJ,O,O,O,X,O,X,X,X,X,X
TZOLSJI,O,O,O,X,O,X,X,O,X,X
TZOJILS,O,O,X,O,O,X,X,O,X,X
TZOJISL,O,O,X,O,O,O,X,O,X,X
TZOJLIS,O,O,X,O,O,X,X,O,X,X
TZOJLSI,O,O,X,O,O,X,X,O,X,X
TZOJSIL,O,X,X,O,O,O,X,O,X,X
TZOJSLI,O,X,X,O,O,O,X,O,X,X
TZOSILJ,O,X,O,X,O,O,X,X,X,X
TZOSIJL,X,X,O,O,O,O,O,X,X,X
TZOSLIJ,O,X,O,O,O,O,X,X,X,X
TZOSLJI,O,X,O,O,O,O,X,O,X,X
TZOSJIL,O,X,O,O,O,O,O,O,X,X
TZOSJLI,O,X,O,O,O,O,X,O,X,X
TOILJSZ,X,X,X,X,X,O,X,O,O,X
TOILJZS,X,X,X,X,O,X,X,O,O,X
TOILSJZ,O,X,O,X,X,O,X,X,X,X
TOILSZJ,O,X,O,X,X,O,X,X,X,X
TOILZJS,O,X,X,X,O,X,X,O,X,X
TOILZSJ,O,X,X,X,O,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,O,X,O,O,X
TOIJLZS,X,X,X,X,O,X,X,O,O,X
TOIJSLZ,X,X,X,O,X,O,X,O,X,X
TOIJSZL,X,X,X,O,O,O,X,O,X,O
TOIJZLS,X,X,X,O,O,X,X,O,X,X
TOIJZSL,X,X,X,O,O,O,X,O,X,X
TOISLJZ,X,X,O,O,X,O,X,X,X,X
TOISLZJ,X,X,O,X,X,O,X,X,X,X
TOISJLZ,X,X,O,O,X,O,X,X,X,X
TOISJZL,X,X,O,O,O,O,O,X,X,O
TOISZLJ,X,X,O,X,O,O,X,X,X,O
TOISZJL,X,X,O,X,O,O,O,X,X,O
TOIZLJS,O,X,X,X,O,X,X,O,X,X
TOIZLSJ,O,X,X,X,O,X,X,X,X,X
TOIZJLS,O,X,X,X,O,X,X,O,X,X
TOIZJSL,O,X,X,X,O,O,X,O,X,X
TOIZSLJ,O,X,X,X,O,O,X,X,X,X
TOIZSJL,X,X,X,X,O,O,O,X,X,X
TOLIJSZ,X,O,X,X,X,O,X,O,O,X
TOLIJZS,X,O,X,X,O,X,X,O,O,X
TOLISJZ,O,O,O,X,X,O,X,X,X,X
TOLISZJ,O,O,O,X,X,O,X,X,X,X
TOLIZJS,O,O,X,X,O,X,X,O,X,X
TOLIZSJ,O,O,X,X,O,X,X,X,X,X
TOLJISZ,X,O,X,X,X,O,X,O,O,X
TOLJIZS,X,O,X,X,O,X,X,O,O,X
TOLJSIZ,O,O,O,O,X,O,X,O,X,X
TOLJSZI,O,O,O,O,X,O,X,O,X,X
TOLJZIS,O,O,X,O,O,X,X,O,X,X
TOLJZSI,O,O,X,O,O,X,X,O,X,X
TOLSIJZ,O,O,O,O,X,O,X,X,X,X
TOLSIZJ,O,O,O,X,X,O,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,X,O,X,X
TOLSJZI,O,O,O,O,X,O,X,O,X,X
TOLSZIJ,O,O,O,X,X,O,X,X,X,X
TOLSZJI,O,O,O,O,X,O,X,O,X,X
TOLZIJS,O,O,X,X,O,X,X,O,X,X
TOLZISJ,O,O,X,X,O,X,X,X,X,X
TOLZJIS,O,O,X,X,O,X,X,O,X,X
TOLZJSI,O,O,X,X,O,X,X,O,X,X
TOLZSIJ,O,O,O,X,O,X,X,X,X,X
TOLZSJI,O,O,O,X,O,X,X,O,X,X
TOJILSZ,X,X,X,X,X,O,X,O,O,X
TOJILZS,X,X,X,X,O,X,X,O,O,X
TOJISLZ,X,X,X,O,X,O,X,O,X,X
TOJISZL,X,X,X,O,O,O,X,O,X,X
TOJIZLS,O,X,X,O,O,X,X,O,X,X
TOJIZSL,O,X,X,O,O,O,X,O,X,X
TOJLISZ,X,O,X,X,X,O,X,O,O,X
TOJLIZS,X,O,X,X,O,X,X,O,O,X
TOJLSIZ,O,O,O,O,X,O,X,O,X,X
TOJLSZI,O,O,O,O,X,O,X,O,X,X
TOJLZIS,O,O,X,O,O,X,X,O,X,X
TOJLZSI,O,O,X,O,O,X,X,O,X,X
TOJSILZ,X,X,O,O,X,O,X,O,X,X
TOJSIZL,X,X,O,O,O,O,X,O,X,X
TOJSLIZ,X,O,O,O,X,O,X,O,X,X
TOJSLZI,X,O,O,O,X,O,X,O,X,X
TOJSZIL,X,O,O,O,O,O,X,O,X,X
TOJSZLI,X,O,O,O,O,O,X,O,X,X
TOJZILS,O,O,X,O,O,X,X,O,X,X
TOJZISL,O,O,X,O,O,O,X,O,X,X
TOJZLIS,O,O,X,O,O,X,X,O,X,X
TOJZLSI,O,O,X,O,O,X,X,O,X,X
TOJZSIL,O,X,X,O,O,O,X,O,X,X
TOJZSLI,O,X,X,O,O,O,X,O,X,X
TOSILJZ,X,X,O,O,X,O,X,X,X,X
TOSILZJ,X,X,O,X,X,O,X,X,X,X
TOSIJLZ,X,X,O,O,X,O,X,X,X,X
TOSIJZL,X,X,O,O,O,O,O,X,X,O
TOSIZLJ,X,X,O,X,O,O,X,X,X,O
TOSIZJL,X,X,O,X,O,O,O,X,X,O
TOSLIJZ,O,O,O,O,X,O,X,X,X,X
TOSLIZJ,O,O,O,O,X,O,X,X,X,X
TOSLJIZ,O,O,O,O,X,O,X,O,X,X
TOSLJZI,O,O,O,O,X,O,X,O,X,X
TOSLZIJ,O,O,O,O,X,O,X,X,X,X
TOSLZJI,O,O,O,O,X,O,X,O,X,X
TOSJILZ,X,X,O,O,X,O,X,O,X,X
TOSJIZL,X,X,O,O,O,O,O,O,X,X
TOSJLIZ,X,O,O,O,X,O,X,O,X,X
TOSJLZI,X,O,O,O,X,O,X,O,X,X
TOSJZIL,X,O,O,O,O,O,O,O,X,X
TOSJZLI,X,O,O,O,O,O,X,O,X,X
TOSZILJ,O,X,O,X,O,O,X,X,X,X
TOSZIJL,X,O,O,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,O,O,X,X,X,X
TOSZLJI,O,O,O,O,O,O,X,O,X,X
TOSZJIL,O,O,O,O,O,O,O,O,X,X
TOSZJLI,O,O,O,O,O,O,X,O,X,X
TOZILJS,O,X,X,X,O,X,X,O,X,X
TOZILSJ,O,X,X,X,O,X,X,X,X,X
TOZIJLS,O,O,X,O,O,X,X,O,X,X
TOZIJSL,O,O,X,O,O,O,X,O,X,X
TOZISLJ,O,X,X,X,O,O,X,X,X,X
TOZISJL,X,X,X,X,O,O,O,X,X,X
TOZLIJS,O,O,X,X,O,X,X,O,X,X
TOZLISJ,O,O,X,X,O,X,X,X,X,X
TOZLJIS,O,O,X,X,O,X,X,O,X,X
TOZLJSI,O,O,X,X,O,X,X,O,X,X
TOZLSIJ,O,O,O,X,O,X,X,X,X,X
TOZLSJI,O,O,O,X,O,X,X,O,X,X
TOZJILS,O,O,X,O,O,X,X,O,X,X
TOZJISL,O,O,X,O,O,O,X,O,X,X
TOZJLIS,O,O,X,O,O,X,X,O,X,X
TOZJLSI,O,O,X,O,O,X,X,O,X,X
TOZJSIL,O,X,X,O,O,O,X,O,X,X
TOZJSLI,O,X,X,O,O,O,X,O,X,X
TOZSILJ,O,X,O,X,O,O,X,X,X,X
TOZSIJL,X,X,O,O,O,O,O,X,X,X
TOZSLIJ,O,X,O,O,O,O,X,X,X,X
TOZSLJI,O,X,O,O,O,O,X,O,X,X
TOZSJIL,O,X,O,O,O,O,O,O,X,X
TOZSJLI,O,X,O,O,O,O,X,O,X,X
ITLJSZO,X,O,X,X,X,O,X,O,O,X
ITLJSOZ,X,O,X,X,X,O,X,X,O,X
ITLJZSO,X,O,X,X,O,X,X,O,O,X
ITLJZOS,X,O,X,X,O,X,X,O,O,X
ITLJOSZ,X,O,X,X,X,O,X,X,O,X
ITLJOZS,X,O,X,X,O,X,X,O,O,X
ITLSJZO,X,O,O,X,X,O,X,X,X,X
ITLSJOZ,O,O,O,X,X,O,X,X,X,X
ITLSZJO,O,O,O,X,X,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,O,X,X,X,X
ITLSOJZ,O,O,O,X,X,O,X,X,X,X
ITLSOZJ,O,O,O,X,X,O,X,X,X,X
ITLZJSO,O,O,X,X,O,X,X,O,X,X
ITLZJOS,O,O,X,X,O,X,X,O,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X,X
ITLZSOJ,O,X,X,X,O,X,X,X,X,X
ITLZOJS,O,O,X,X,O,X,X,O,X,X
ITLZOSJ,O,O,X,X,O,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,O,X,O,O,X
ITLOJZS,X,O,X,X,O,X,X,O,O,X
ITLOSJZ,O,O,O,X,X,O,X,X,X,X
ITLOSZJ,O,O,O,X,X,O,X,X,X,X
ITLOZJS,O,O,X,X,O,X,X,O,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X,X
ITJLSZO,X,O,X,X,X,O,X,O,O,X
ITJLSOZ,X,O,X,X,X,O,X,X,O,X
ITJLZSO,X,O,X,X,O,X,X,O,O,X
ITJLZOS,X,O,X,X,O,X,X,O,O,X
ITJLOSZ,X,O,X,X,X,O,X,X,O,X
ITJLOZS,X,O,X,X,O,X,X,O,O,X
ITJSLZO,X,O,X,O,X,O,X,O,X,X
ITJSLOZ,X,O,X,O,X,O,X,X,X,X
ITJSZLO,X,O,X,O,O,O,X,O,X,O
ITJSZOL,X,O,X,O,O,O,X,X,X,O
ITJSOLZ,X,X,X,O,X,O,X,X,X,X
ITJSOZL,X,X,X,O,O,O,X,X,X,O
ITJZLSO,X,O,X,X,O,X,X,O,X,X
ITJZLOS,X,O,X,O,O,X,X,O,X,X
ITJZSLO,X,O,X,O,O,O,X,O,X,X
ITJZSOL,X,O,X,O,O,O,X,X,X,X
ITJZOLS,X,O,X,O,O,X,X,O,X,X
ITJZOSL,X,O,X,O,O,O,X,X,X,X
ITJOLSZ,X,X,X,X,X,O,X,X,O,X
ITJOLZS,X,X,X,X,O,X,X,O,O,X
ITJOSLZ,X,X,X,O,X,O,X,X,X,X
ITJOSZL,X,X,X,O,O,O,X,X,X,O
ITJOZLS,X,X,X,O,O,X,X,O,X,X
ITJOZSL,X,X,X,O,O,O,X,X,X,X
ITSLJZO,X,O,O,O,X,O,X,X,X,X
ITSLJOZ,X,O,O,O,X,O,X,X,X,X
ITSLZJO,X,O,O,O,X,O,X,X,X,X
ITSLZOJ,X,O,O,O,X,O,X,X,X,X
ITSLOJZ,X,O,O,O,X,O,X,X,X,X
ITSLOZJ,X,O,O,O,X,O,X,X,X,X
ITSJLZO,X,O,O,O,X,O,X,X,X,X
ITSJLOZ,X,O,O,O,X,O,X,X,X,X
ITSJZLO,X,O,O,O,O,O,O,X,X,O
ITSJZOL,X,O,O,O,O,O,O,X,X,O
ITSJOLZ,X,X,O,O,X,O,X,X,X,X
ITSJOZL,X,X,O,O,O,O,O,X,X,O
ITSZLJO,X,O,O,O,O,O,X,X,X,O
ITSZLOJ,X,O,O,O,O,O,X,X,X,O
ITSZJLO,X,O,O,O,O,O,O,X,X,O
ITSZJOL,X,O,O,O,O,O,O,X,X,O
ITSZOLJ,X,X,O,X,O,O,X,X,X,O
ITSZOJL,X,O,O,O,O,O,O,X,X,O
ITSOLJZ,X,X,O,O,X,O,X,X,X,X
ITSOLZJ,X,X,O,X,X,O,X,X,X,X
ITSOJLZ,X,X,O,O,X,O,X,X,X,X
ITSOJZL,X,X,O,O,O,O,O,X,X,O
ITSOZLJ,X,X,O,X,O,O,X,X,X,O
ITSOZJL,X,X,O,X,O,O,O,X,X,O
ITZLJSO,O,O,X,X,O,X,X,O,X,X
ITZLJOS,O,O,X,O,O,X,X,O,X,X
ITZLSJO,O,O,X,X,O,X,X,X,X,X
ITZLSOJ,O,X,X,X,O,X,X,X,X,X
ITZLOJS,O,O,X,X,O,X,X,O,X,X
ITZLOSJ,O,O,X,X,O,X,X,X,X,X
ITZJLSO,O,O,X,X,O,X,X,O,X,X
ITZJLOS,O,O,X,O,O,X,X,O,X,X
ITZJSLO,O,O,X,O,O,O,X,O,X,X
ITZJSOL,O,O,X,O,O,O,X,X,X,X
ITZJOLS,O,O,X,O,O,X,X,O,X,X
ITZJOSL,O,O,X,O,O,O,X,X,X,X
ITZSLJO,O,X,X,O,O,O,X,X,X,X
ITZSLOJ,O,X,X,O,O,O,X,X,X,X
ITZSJLO,X,O,X,O,O,O,O,X,X,X
ITZSJOL,X,O,X,O,O,O,O,X,X,X
ITZSOLJ,O,X,X,X,O,O,X,X,X,X
ITZSOJL,X,X,X,O,O,O,O,X,X,X
ITZOLJS,O,X,X,X,O,X,X,O,X,X
ITZOLSJ,O,X,X,X,O,X,X,X,X,X
ITZOJLS,O,O,X,O,O,X,X,O,X,X
ITZOJSL,O,O,X,O,O,O,X,O,X,X
ITZOSLJ,O,X,X,X,O,O,X,X,X,X
ITZOSJL,X,X,X,X,O,O,O,X,X,X
ITOLJSZ,X,X,X,X,X,O,X,O,O,X
ITOLJZS,X,X,X,X,O,X,X,O,O,X
ITOLSJZ,O,X,O,X,X,O,X,X,X,X
ITOLSZJ,O,X,O,X,X,O,X,X,X,X
ITOLZJS,O,X,X,X,O,X,X,O,X,X
ITOLZSJ,O,X,X,X,O,X,X,X,X,X
ITOJLSZ,X,X,X,X,X,O,X,O,O,X
ITOJLZS,X,X,X,X,O,X,X,O,O,X
ITOJSLZ,X,X,X,O,X,O,X,O,X,X
ITOJSZL,X,X,X,O,O,O,X,O,X,O
ITOJZLS,X,X,X,O,O,X,X,O,X,X
ITOJZSL,X,X,X,O,O,O,X,O,X,X
ITOSLJZ,X,X,O,O,X,O,X,X,X,X
ITOSLZJ,X,X,O,X,X,O,X,X,X,X
ITOSJLZ,X,X,O,O,X,O,X,X,X,X
ITOSJZL,X,X,O,O,O,O,O,X,X,O
ITOSZLJ,X,X,O,X,O,O,X,X,X,O
ITOSZJL,X,X,O,X,O,O,O,X,X,O
ITOZLJS,O,X,X,X,O,X,X,O,X,X
ITOZLSJ,O,X,X,X,O,X,X,X,X,X
ITOZJLS,O,X,X,X,O,X,X,O,X,X
ITOZJSL,O,X,X,X,O,O,X,O,X,X
ITOZSLJ,O,X,X,X,O,O,X,X,X,X
ITOZSJL,X,X,X,X,O,O,O,X,X,X
ILTJSZO,X,O,X,X,X,O,X,O,O,X
ILTJSOZ,X,O,X,X,X,O,X,X,O,X
ILTJZSO,X,O,X,X,O,X,X,O,O,X
ILTJZOS,X,O,X,X,O,X,X,O,O,X
ILTJOSZ,X,O,X,X,X,O,X,X,O,X
ILTJOZS,X,O,X,X,O,X,X,O,O,X
ILTSJZO,X,O,O,X,X,O,X,X,X,X
ILTSJOZ,X,O,O,X,X,O,X,X,X,X
ILTSZJO,X,O,O,X,X,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,O,X,X,X,X
ILTSOJZ,X,O,O,X,X,O,X,X,X,X
ILTSOZJ,X,O,O,X,X,O,X,X,X,X
ILTZJSO,X,O,X,X,O,X,X,O,X,X
ILTZJOS,X,O,X,X,O,X,X,O,X,X
ILTZSJO,X,O,X,X,O,X,X,X,X,X
ILTZSOJ,X,X,X,X,O,X,X,X,X,X
ILTZOJS,X,O,X,X,O,X,X,O,X,X
ILTZOSJ,X,O,X,X,O,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,X,O,O,X
ILTOJZS,X,O,X,X,O,X,X,O,O,X
ILTOSJZ,X,O,O,X,X,O,X,X,X,X
ILTOSZJ,X,O,O,X,X,O,X,X,X,X
ILTOZJS,X,O,X,X,O,X,X,O,X,X
ILTOZSJ,X,O,X,X,O,X,X,X,X,X
ILJTSZO,X,O,X,X,X,O,X,X,O,X
ILJTSOZ,X,O,X,X,X,O,X,X,O,X
ILJTZSO,X,O,X,X,O,X,X,X,O,X
ILJTZOS,X,O,X,X,O,X,X,X,O,X
ILJTOSZ,X,O,X,X,X,O,X,X,O,X
ILJTOZS,X,O,X,X,O,X,X,X,O,X
ILJSTZO,X,O,X,X,X,O,X,X,O,X
ILJSTOZ,X,O,X,X,X,O,X,X,O,X
ILJSZTO,X,O,X,X,X,O,X,X,O,O
ILJSZOT,X,O,X,X,X,X,X,X,O,O
ILJSOTZ,X,X,X,X,X,X,X,X,O,X
ILJSOZT,X,O,X,X,X,X,X,X,O,O
ILJZTSO,O,X,X,X,X,X,X,X,O,X
ILJZTOS,O,X,X,X,O,X,X,X,O,X
ILJZSTO,O,X,X,X,X,X,X,X,O,X
ILJZSOT,O,X,X,X,O,X,X,X,O,X
ILJZOTS,O,X,X,X,O,X,X,X,O,X
ILJZOST,O,X,X,X,O,X,X,X,O,X
ILJOTSZ,X,O,X,X,X,X,X,X,O,X
ILJOTZS,X,O,X,X,O,X,X,X,O,X
ILJOSTZ,X,X,X,X,X,X,X,X,O,X
ILJOSZT,X,O,X,X,X,X,X,X,O,O
ILJOZTS,O,X,X,X,O,X,X,X,O,X
ILJOZST,O,X,X,X,O,X,X,X,O,X
ILSTJZO,X,O,O,X,X,O,X,X,X,X
ILSTJOZ,X,O,O,X,X,O,X,X,X,X
ILSTZJO,X,O,O,X,X,O,X,X,X,X
ILSTZOJ,X,O,O,X,X,O,X,X,X,X
ILSTOJZ,X,O,O,X,X,O,X,X,X,X
ILSTOZJ,O,O,O,X,X,O,X,X,X,X
ILSJTZO,X,O,O,X,X,O,X,X,O,X
ILSJTOZ,X,O,O,X,X,O,X,X,O,X
ILSJZTO,X,O,X,X,X,O,O,X,O,O
ILSJZOT,X,O,O,X,X,X,O,X,O,O
ILSJOTZ,X,X,O,X,X,X,X,X,O,X
ILSJOZT,O,O,O,X,X,X,O,X,O,O
ILSZTJO,X,O,X,X,X,O,X,X,X,O
ILSZTOJ,O,X,X,X,X,O,X,X,X,O
ILSZJTO,O,O,X,X,X,O,O,X,X,O
ILSZJOT,O,O,O,X,X,X,O,X,X,O
ILSZOTJ,O,O,X,X,X,X,X,X,X,O
ILSZOJT,O,O,O,X,X,X,O,X,X,O
ILSOTJZ,X,X,O,X,X,X,X,X,X,X
ILSOTZJ,O,O,O,X,X,X,X,X,X,X
ILSOJTZ,X,X,O,X,X,X,X,X,O,X
ILSOJZT,O,O,O,X,X,X,O,X,O,O
ILSOZTJ,O,O,X,X,X,X,X,X,X,O
ILSOZJT,O,O,O,X,X,X,O,X,X,O
ILZTJSO,X,O,X,X,O,X,X,X,X,X
ILZTJOS,X,O,X,X,O,X,X,X,X,X
ILZTSJO,X,O,X,X,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,O,X,X,X,X,X
ILZTOJS,X,O,X,X,O,X,X,X,X,X
ILZTOSJ,O,O,X,X,O,X,X,X,X,X
ILZJTSO,O,X,X,X,O,X,X,X,O,X
ILZJTOS,O,X,X,X,O,X,X,X,O,X
ILZJSTO,O,X,X,X,X,X,X,X,O,X
ILZJSOT,O,X,X,X,O,X,X,X,O,X
ILZJOTS,O,X,X,X,O,X,X,X,O,X
ILZJOST,O,X,X,X,O,X,X,X,O,X
ILZSTJO,X,X,X,X,O,X,X,X,X,X
ILZSTOJ,O,X,X,X,O,X,X,X,X,X
ILZSJTO,O,X,X,X,X,X,O,X,X,X
ILZSJOT,O,X,X,X,O,X,O,X,X,X
ILZSOTJ,O,X,X,X,O,X,X,X,X,X
ILZSOJT,O,X,X,X,O,X,O,X,X,X
ILZOTJS,X,O,X,X,O,X,X,X,X,X
ILZOTSJ,O,O,X,X,O,X,X,X,X,X
ILZOJTS,O,X,X,X,O,X,X,X,O,X
ILZOJST,O,X,X,X,O,X,X,X,O,X
ILZOSTJ,O,X,X,X,O,X,X,X,X,X
ILZOSJT,O,X,X,X,O,X,O,X,X,X
ILOTJSZ,X,O,X,X,X,X,X,O,O,X
ILOTJZS,X,O,X,X,O,X,X,O,O,X
ILOTSJZ,X,O,O,X,X,X,X,X,X,X
