sequence,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBCiB8?qBTnB1wB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBTiB6?qBcrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBlmBc?sBzqBCsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBXiB6?qBcsBTrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBTiBllBc?rBXsBCrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBllBcrBT?nBCrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBfnB6nBl?lB0rBzqB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFRhB+nBcpBl?lBXrBzrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFWnBcpBllBx?rBzqBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JexBJvhFTkBllB3mBc?sBipBWwB
TJSLIOZ,X,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,X,O,X,X,X
TJZISOL,O,X,X,X,O,X,X,X,X,X
TJZIOLS,O,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,O,X,X,X,X
TJZLISO,O,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,O,X,X,X
TJZSIOL,O,X,X,X,O,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,O,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,O,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,X,X,O,X,X,X,X
TJZOISL,O,X,X,X,X,O,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,O,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X,O,X,X
TSIZLOJ,X,X,X,X,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X,X,O,X,X
TSIZJOL,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X,O,X,X
TSJIZOL,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X,O,X,X
