sequence,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFUhBFiB6qBX?nB2wBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBCiBllBe?sBXrBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhF3cBciB6qBT?mBmsBxwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhFGdB/mBanB0?lBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFTdBllBUnBX?rByxBGrB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB6rB0?nBzqB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB8qB+?rBTnByxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB6qB0?nBTrB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBS?wBmsBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBXiBllBm?rBzsBSwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBO?sBSwBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlBTnBG?rByxB0qB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhF6hBTdBllB2?sBXrBRxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFSiBllB3mBm?mBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBzhBllBX?rBmsBSxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiBTmBW?wBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jem7IvhF1lBXiB5mBz?qBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBllB3mBm?sBSwBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeG9IvhFZnBllBcrBz?sB6qB/rB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFOnBllBcrBz?sBCrBXsB
ILOTSJZ,X,X,O,X,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X
ILOTSZJ,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X
ILOTZJS,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOTZSJ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOJTZS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOJSTZ,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
ILOJSZT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOJZTS,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOJZST,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ILOSTZJ,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ILOSJTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOSZTJ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOSZJT,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOZTJS,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOZJTS,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOZJST,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ILOZSJT,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTLSZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJTLSOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJTLZSO,X,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IJTLZOS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTSLZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,O,X,X
IJTSLOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IJTSZLO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X
IJTSZOL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X
IJTSOLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,O,X,X
IJTSOZL,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X
IJTZLSO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZSLO,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
IJTZSOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOLS,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZOSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,O,X,O,X,X,X
IJTOSZL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X
IJTOZLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTOZSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJLTSZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IJLTSOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
IJLTZSO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
IJLTZOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IJLTOZS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSTZO,X,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
IJLSTOZ,X,O,O,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
IJLSZTO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
IJLSZOT,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IJLSOZT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZTSO,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZSTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLZSOT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZOTS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZOST,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IJLOTZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IJLOSZT,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJLOZTS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOZST,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSTLZO,X,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,O,X,X
IJSTLOZ,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X
IJSTZLO,X,O,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X
IJSTZOL,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,O,X,X
IJSTOZL,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X
IJSLTZO,X,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
IJSLTOZ,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
IJSLZTO,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
IJSLZOT,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IJSLOZT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZTLO,X,O,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
IJSZTOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IJSZLTO,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOTL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOLT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJSOZTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJSOZLT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJZTLSO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTSLO,X,X,O,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
IJZTSOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZTOLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTOSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZLTSO,X,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IJZLTOS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLSTO,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOST,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSTLO,X,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
IJZSTOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZSLTO,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IJZSLOT,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSOTL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSOLT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTSL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOLTS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOLST,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,O,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X
IJOTSZL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IJOTZLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTZSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOLTZS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJOLZTS,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLZST,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,O,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X
IJOSTZL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
IJOSLZT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJOSZTL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IJOSZLT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IJOZTLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZTSL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOZLTS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZLST,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZSTL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOZSLT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTLJZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
ISTLZJO,X,X,X,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTLZOJ,X,X,X,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
ISTLOZJ,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
ISTJLZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTJLOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
ISTJZLO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTJZOL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
ISTJOZL,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
ISTZLJO,X,X,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTZLOJ,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
ISTZJLO,X,X,O,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISTZJOL,X,X,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
ISTZOLJ,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
ISTZOJL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ISTOLJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
ISTOLZJ,X,X,X,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X
ISTOJLZ,X,X,X,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X
ISTOJZL,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X
ISTOZLJ,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
ISTOZJL,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X
ISLTJZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISLTJOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
ISLTZJO,X,X,X,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISLTOJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
ISLTOZJ,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
ISLJTZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISLJTOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
ISLJZTO,O,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
ISLJZOT,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTJO,O,X,X,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISLZJTO,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLZJOT,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLOZJT,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJTLZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISJTLOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
ISJTZLO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISJTZOL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
ISJLTZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISJLTOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
ISJLZTO,X,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZTLO,X,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ISJZTOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJZLTO,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
ISJZLOT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOTL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOLT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISJOZLT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ISZTLJO,X,X,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISZTLOJ,X,X,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
ISZTJLO,X,X,O,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
ISZTJOL,X,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ISZTOLJ,X,X,O,O,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X
ISZTOJL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ISZLTJO,X,X,O,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
ISZLTOJ,X,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISZLJTO,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISZLJOT,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOJT,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTLO,X,X,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ISZJTOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLTO,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZJLOT,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOTL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOLT,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTJL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLJT,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJTL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X
ISOTJLZ,X,X,X,O,X,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X
ISOTJZL,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
ISOTZJL,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ISOLTJZ,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLZJT,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJZTL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTJL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJTL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTLJSO,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZTLJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTLSJO,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
IZTLSOJ,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
IZTLOJS,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
