sequence,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFUdBRgBWnBllBTr?B3qB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFRcBUgBFhBTiB+r?B3qB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFRcBUgBGhBTiB/r?B1vB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFUdB/lBFhBCnBml?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhF2gBqhB/iBllBUm?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFOgB/iBChB0hBVr?BxvB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFUcBFgBTiB3hBWr?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhF0bB/lBGiBimBlm?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFUdBxmBGrB/qBFr?BiqB,v115@6gC8HeD8FeE8CeF8DeD8Jex6IvhF8gBzcBmfBSnB/r?B1vB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFXcBViB0lBxmBSw?BOqB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFGcB/iBRgBlmBUr?BTqB,v115@6gC8HeD8FeE8CeF8DeD8Jex6IvhF/iB0lBlmB6rBmp?BzqB,v115@6gC8HeD8FeE8CeF8DeD8Je/CJvhFxfB0lBlmBTrBmp?BCrB,v115@6gC8HeD8FeE8CeF8DeD8Je2/IvhFRbBShB/iBlmBUr?BTqB,v115@6gC8HeD8FeE8CeF8DeD8Je/CJvhFxfB0hBllBTrBmp?BCrB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFShB/iBlmBUrBZl?BuqB
IZSJOLT,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IZSOTJL,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IZSOLTJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZSOLJT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZSOJTL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZSOJLT,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOTLJS,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZOTJLS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZOLSTJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLSJT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZOJTLS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZOJLTS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IZOSTJL,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IZOSLTJ,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZOSLJT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZOSJTL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IZOSJLT,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTLJSZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOTLZJS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTLZSJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOTJZLS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IOTSZJL,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOTZLJS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOLTZJS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJZST,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLSTJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOLSZJT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLZTJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJST,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLZSTJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOJTLSZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJTSZL,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJTZLS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJLTZS,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLZTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLZST,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJSTLZ,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJSTZL,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOJSZLT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJZLTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJZSTL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IOSTZJL,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOSLTJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOSLZJT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSJZTL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IOSZTJL,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOSZLTJ,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOSZLJT,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSZJTL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOSZJLT,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZTLJS,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJST,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZLSTJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOZJTLS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZJLTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZJSTL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O
IOZSTJL,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOZSLTJ,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOZSLJT,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IOZSJTL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X
IOZSJLT,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
LTIJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTISJZO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTISJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTISZOJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
LTISOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTIZJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIZSJO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTIZSOJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZOJS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJISZO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIZO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOZI,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTJZISO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSIJOZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSIZJO,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
LTSIOJZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSIOZJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSJIZO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSJIOZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSJZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJZOI,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSJOZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LTSZIOJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LTSZJOI,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSZOIJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTSZOJI,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSOIJZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSOIZJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSOJIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSOJZI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSOZIJ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSOZJI,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZIJOS,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZISJO,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTZISOJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTZIOJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZIOSJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZJISO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZSIOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZSJIO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZSJOI,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZSOIJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZSOJI,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZOIJS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZOISJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZOJIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOSJI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOISJZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOISZJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTOIZJS,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOIZSJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOJISZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOJZSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOZISJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOZJIS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LITJZOS,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LITJOSZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LITSJZO,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
LITSJOZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LITSZJO,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LITSZOJ,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X
LITSOJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LITSOZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LITZJSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LITZJOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LITZSJO,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
LITZSOJ,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LITZOJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LITZOSJ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
LITOJSZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITOJZS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LITOSJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
LITOSZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LITOZJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LITOZSJ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LIJTSOZ,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJTZSO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJTZOS,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJTOZS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LIJSTZO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
LIJSTOZ,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJSZTO,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
LIJSZOT,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
LIJSOTZ,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJSOZT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
LIJZTSO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJZSTO,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
LIJZSOT,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
