sequence,v115@7gB8GeD8GeE8DeH8BeC8Jei6IvhF5gBOhBXdBzfBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gB0cBKmBFn?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gBXdBKmBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhF2gBXdBRlBFnBCm?B0rB,v115@7gB8GeD8GeE8DeH8BeC8Je//IvhFRbBCdBmgBVnB0l?BzrB,v115@7gB8GeD8GeE8DeH8BeC8Jex6IvhFTcB0fB6lB/rBFn?BOsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBFdBChBUhBRr?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBRhBUmBFnBCm?BXsB,v115@7gB8GeD8GeE8DeH8BeC8Je2/IvhF5gB0cBKmBzfBFn?BXsB
TZIOJSL,O,X,X,O,X,X,O,O,X
TZIOSLJ,O,X,X,O,X,X,O,X,X
TZIOSJL,O,X,X,O,X,X,O,O,X
TZLIJSO,O,O,O,O,O,X,X,X,O
TZLIJOS,O,O,O,O,X,X,X,O,O
TZLISJO,O,O,O,O,O,O,X,X,O
TZLISOJ,O,X,X,O,O,O,X,X,X
TZLIOJS,O,O,X,O,X,X,X,O,O
TZLIOSJ,O,X,X,O,X,X,X,X,X
TZLJISO,O,O,O,X,O,X,X,X,O
TZLJIOS,O,O,O,X,X,X,X,O,O
TZLJSIO,O,O,O,X,O,X,X,X,O
TZLJSOI,O,O,O,X,O,X,X,X,X
TZLJOIS,O,O,O,X,X,X,X,O,O
TZLJOSI,O,O,O,X,O,X,X,X,X
TZLSIJO,O,O,O,O,O,O,X,X,O
TZLSIOJ,O,X,X,O,O,O,X,X,X
TZLSJIO,O,O,O,X,O,O,X,X,O
TZLSJOI,O,O,O,X,O,O,X,X,X
TZLSOIJ,O,X,X,O,O,O,X,X,X
TZLSOJI,O,O,O,X,O,O,X,X,X
TZLOIJS,O,O,X,O,X,X,X,O,O
TZLOISJ,O,X,X,O,X,X,X,X,X
TZLOJIS,O,O,O,X,X,X,X,O,O
TZLOJSI,O,O,O,X,O,X,X,X,X
TZLOSIJ,O,X,X,O,O,X,X,X,X
TZLOSJI,O,O,O,X,O,X,X,X,X
TZJILSO,O,O,X,O,O,X,X,X,O
TZJILOS,O,O,X,O,X,X,O,O,O
TZJISLO,O,X,X,O,O,X,O,X,X
TZJISOL,O,X,X,O,O,X,O,O,X
TZJIOLS,O,O,X,O,X,X,O,O,X
TZJIOSL,O,X,X,O,X,X,O,O,X
TZJLISO,O,O,O,X,O,X,X,X,O
TZJLIOS,O,O,O,X,X,X,X,O,O
TZJLSIO,O,O,O,X,O,X,X,X,O
TZJLSOI,O,O,O,X,O,X,X,X,X
TZJLOIS,O,O,O,X,X,X,X,O,O
TZJLOSI,O,O,O,X,O,X,X,X,X
TZJSILO,O,X,X,O,O,X,X,X,X
TZJSIOL,O,X,X,O,O,X,X,O,X
TZJSLIO,O,O,O,X,O,X,X,X,O
TZJSLOI,O,O,O,X,O,X,X,X,X
TZJSOIL,O,X,X,O,O,X,X,O,X
TZJSOLI,O,O,O,X,O,X,X,X,X
TZJOILS,O,O,X,O,O,X,O,O,X
TZJOISL,O,X,X,O,O,X,O,O,X
TZJOLIS,O,O,O,X,O,X,X,O,O
TZJOLSI,O,O,O,X,O,X,X,X,X
TZJOSIL,O,X,X,O,O,X,X,O,X
TZJOSLI,O,O,O,X,O,X,X,X,X
TZSILJO,O,X,X,O,O,O,X,X,X
TZSILOJ,O,X,X,O,O,O,X,X,X
TZSIJLO,O,X,X,O,O,X,X,X,X
TZSIJOL,O,X,X,O,O,X,X,O,X
TZSIOLJ,O,X,X,O,O,O,X,X,X
TZSIOJL,O,X,X,O,O,X,X,O,X
TZSLIJO,O,O,O,O,O,O,X,X,O
TZSLIOJ,O,X,X,O,O,O,X,X,X
TZSLJIO,O,O,O,X,O,O,X,X,O
TZSLJOI,O,O,O,X,O,O,X,X,X
TZSLOIJ,O,X,X,O,O,O,X,X,X
TZSLOJI,O,O,O,X,O,O,X,X,X
TZSJILO,O,X,X,O,O,X,X,X,X
TZSJIOL,O,X,X,O,O,X,X,O,X
TZSJLIO,O,O,O,X,O,O,X,X,O
TZSJLOI,O,O,O,X,O,O,X,X,X
TZSJOIL,O,X,X,O,O,X,X,O,X
TZSJOLI,O,O,O,X,O,O,X,X,X
TZSOILJ,O,X,X,O,O,O,X,X,X
TZSOIJL,O,X,X,O,O,X,X,O,X
TZSOLIJ,O,X,X,O,O,O,X,X,X
TZSOLJI,O,O,O,X,O,O,X,X,X
TZSOJIL,O,X,X,O,O,X,X,O,X
TZSOJLI,O,O,O,X,O,O,X,X,X
TZOILJS,O,O,X,O,O,X,O,O,X
TZOILSJ,O,X,X,O,O,X,X,X,X
TZOIJLS,O,O,X,O,O,X,O,O,X
TZOIJSL,O,X,X,O,O,X,O,O,X
TZOISLJ,O,X,X,O,O,X,O,X,X
TZOISJL,O,X,X,O,O,X,O,O,X
TZOLIJS,O,O,X,O,O,X,X,O,O
TZOLISJ,O,X,X,O,O,X,X,X,X
TZOLJIS,O,O,O,X,O,X,X,O,O
TZOLJSI,O,O,O,X,O,X,X,X,X
TZOLSIJ,O,X,X,O,O,X,X,X,X
TZOLSJI,O,O,O,X,O,X,X,X,X
TZOJILS,O,O,X,O,O,X,O,O,X
TZOJISL,O,X,X,O,O,X,O,O,X
TZOJLIS,O,O,O,X,O,X,X,O,O
TZOJLSI,O,O,O,X,O,X,X,X,X
TZOJSIL,O,X,X,O,O,X,X,O,X
TZOJSLI,O,O,O,X,O,X,X,X,X
TZOSILJ,O,X,X,O,O,X,X,X,X
TZOSIJL,O,X,X,O,O,X,X,O,X
TZOSLIJ,O,X,X,O,O,X,X,X,X
TZOSLJI,O,O,O,X,O,X,X,X,X
TZOSJIL,O,X,X,O,O,X,X,O,X
TZOSJLI,O,O,O,X,O,X,X,X,X
TOILJSZ,O,O,O,O,X,X,O,X,X
TOILJZS,X,O,O,O,X,X,O,O,X
TOILSJZ,O,X,O,O,O,X,O,X,X
TOILSZJ,O,X,X,X,O,X,O,X,X
TOILZJS,O,O,X,O,O,X,O,X,X
TOILZSJ,O,X,X,O,O,X,X,X,X
TOIJLSZ,O,O,O,O,X,X,O,X,X
TOIJLZS,X,O,O,O,X,X,O,O,X
TOIJSLZ,O,X,O,O,X,X,O,X,X
TOIJSZL,O,X,X,O,X,X,O,O,X
TOIJZLS,X,O,X,O,X,X,O,O,X
TOIJZSL,X,X,X,O,X,X,O,O,X
TOISLJZ,O,X,O,O,O,X,O,X,X
TOISLZJ,O,X,X,X,O,X,O,X,X
TOISJLZ,O,X,O,O,O,X,O,X,X
TOISJZL,O,X,X,O,X,X,O,O,X
TOISZLJ,O,X,X,O,O,X,O,X,X
TOISZJL,O,X,X,O,O,X,O,X,X
TOIZLJS,O,O,X,O,O,X,O,O,X
TOIZLSJ,O,X,X,O,O,X,X,X,X
TOIZJLS,O,O,X,O,O,X,O,O,X
TOIZJSL,O,X,X,O,O,X,O,O,X
TOIZSLJ,O,X,X,O,O,X,O,X,X
TOIZSJL,O,X,X,O,O,X,O,O,X
TOLIJSZ,O,O,O,O,X,X,O,X,X
TOLIJZS,X,O,O,O,X,X,O,O,O
TOLISJZ,O,X,O,O,O,X,O,X,X
TOLISZJ,O,X,X,X,O,X,O,X,X
TOLIZJS,O,O,X,O,O,X,O,X,O
TOLIZSJ,O,X,X,O,O,X,X,X,X
TOLJISZ,O,O,O,X,X,X,O,X,X
TOLJIZS,X,O,O,X,X,X,O,O,O
TOLJSIZ,O,O,O,X,O,X,X,X,X
TOLJSZI,O,O,O,X,O,X,X,X,X
TOLJZIS,X,O,O,X,O,X,X,O,O
TOLJZSI,X,O,O,X,O,X,X,X,X
TOLSIJZ,O,X,O,O,O,X,X,X,X
TOLSIZJ,O,X,X,X,O,X,X,X,X
TOLSJIZ,O,O,O,X,O,X,X,X,X
TOLSJZI,O,O,O,X,O,X,X,X,X
TOLSZIJ,O,X,X,X,O,X,X,X,X
TOLSZJI,O,O,O,X,O,X,X,X,X
TOLZIJS,O,O,X,X,O,X,X,O,O
TOLZISJ,O,X,X,X,O,X,X,X,X
TOLZJIS,O,O,O,X,O,X,X,O,O
TOLZJSI,O,O,O,X,O,X,X,X,X
TOLZSIJ,O,X,X,X,O,X,X,X,X
TOLZSJI,O,O,O,X,O,X,X,X,X
TOJILSZ,O,O,O,O,X,X,O,X,X
TOJILZS,X,O,O,O,X,X,O,O,X
TOJISLZ,O,X,O,O,X,X,O,X,X
TOJISZL,O,X,X,O,X,X,O,O,X
TOJIZLS,X,O,X,O,X,X,O,O,X
TOJIZSL,X,X,X,O,X,X,O,O,X
TOJLISZ,O,O,O,X,X,X,O,X,X
TOJLIZS,X,O,O,X,X,X,O,O,O
TOJLSIZ,O,O,O,X,O,X,X,X,X
TOJLSZI,O,O,O,X,O,X,X,X,X
TOJLZIS,X,O,O,X,O,X,X,O,O
TOJLZSI,X,O,O,X,O,X,X,X,X
TOJSILZ,O,X,O,O,O,X,O,X,X
TOJSIZL,O,X,X,O,X,X,O,O,X
TOJSLIZ,O,O,O,X,O,X,X,X,X
TOJSLZI,O,O,O,X,O,X,X,X,X
TOJSZIL,O,X,X,X,O,X,X,O,X
TOJSZLI,O,O,O,X,O,X,X,X,X
TOJZILS,X,O,X,X,O,X,O,O,X
TOJZISL,X,X,X,X,O,X,O,O,X
TOJZLIS,X,O,O,X,O,X,X,O,O
TOJZLSI,X,O,O,X,O,X,X,X,X
TOJZSIL,X,X,X,X,O,X,X,O,X
TOJZSLI,X,O,O,X,O,X,X,X,X
TOSILJZ,O,X,O,O,O,X,O,X,X
TOSILZJ,O,X,X,X,O,X,O,X,X
TOSIJLZ,O,X,O,O,O,X,O,X,X
TOSIJZL,O,X,X,O,X,X,O,O,X
TOSIZLJ,O,X,X,O,O,X,O,X,X
TOSIZJL,O,X,X,O,O,X,O,X,X
TOSLIJZ,O,X,O,O,O,X,X,X,X
TOSLIZJ,O,X,X,X,O,X,X,X,X
TOSLJIZ,O,O,O,X,O,X,X,X,X
TOSLJZI,O,O,O,X,O,X,X,X,X
TOSLZIJ,O,X,X,X,O,X,X,X,X
TOSLZJI,O,O,O,X,O,X,X,X,X
TOSJILZ,O,X,O,O,O,X,O,X,X
TOSJIZL,O,X,X,O,X,X,O,O,X
TOSJLIZ,O,O,O,X,O,X,X,X,X
TOSJLZI,O,O,O,X,O,X,X,X,X
TOSJZIL,O,X,X,X,O,X,X,O,X
TOSJZLI,O,O,O,X,O,X,X,X,X
TOSZILJ,O,X,X,X,O,X,X,X,X
TOSZIJL,O,X,X,O,O,X,X,O,X
TOSZLIJ,O,X,X,X,O,X,X,X,X
TOSZLJI,O,O,O,X,O,X,X,X,X
TOSZJIL,O,X,X,X,O,X,X,O,X
TOSZJLI,O,O,O,X,O,X,X,X,X
TOZILJS,O,O,X,O,O,X,O,O,X
TOZILSJ,O,X,X,O,O,X,X,X,X
TOZIJLS,O,O,X,O,O,X,O,O,X
TOZIJSL,O,X,X,O,O,X,O,O,X
TOZISLJ,O,X,X,O,O,X,O,X,X
TOZISJL,O,X,X,O,O,X,O,O,X
TOZLIJS,O,O,X,O,O,X,X,O,O
TOZLISJ,O,X,X,O,O,X,X,X,X
TOZLJIS,O,O,O,X,O,X,X,O,O
TOZLJSI,O,O,O,X,O,X,X,X,X
TOZLSIJ,O,X,X,O,O,X,X,X,X
TOZLSJI,O,O,O,X,O,X,X,X,X
TOZJILS,O,O,X,O,O,X,O,O,X
TOZJISL,O,X,X,O,O,X,O,O,X
TOZJLIS,O,O,O,X,O,X,X,O,O
TOZJLSI,O,O,O,X,O,X,X,X,X
TOZJSIL,O,X,X,O,O,X,X,O,X
TOZJSLI,O,O,O,X,O,X,X,X,X
TOZSILJ,O,X,X,O,O,X,X,X,X
TOZSIJL,O,X,X,O,O,X,X,O,X
TOZSLIJ,O,X,X,O,O,X,X,X,X
TOZSLJI,O,O,O,X,O,X,X,X,X
TOZSJIL,O,X,X,O,O,X,X,O,X
TOZSJLI,O,O,O,X,O,X,X,X,X
ITLJSZO,O,O,O,X,X,X,O,X,O
ITLJSOZ,O,O,O,O,X,X,O,X,X
ITLJZSO,X,O,O,O,X,X,X,X,O
ITLJZOS,X,O,O,O,X,X,O,X,O
ITLJOSZ,X,O,O,O,X,X,O,X,X
ITLJOZS,X,O,O,O,X,X,O,O,O
ITLSJZO,O,O,O,X,O,X,O,X,O
ITLSJOZ,O,O,O,O,X,X,O,X,X
ITLSZJO,O,O,O,X,O,X,O,X,O
ITLSZOJ,X,X,X,X,O,X,O,X,X
ITLSOJZ,O,X,O,O,X,X,O,X,X
ITLSOZJ,O,X,X,X,O,X,O,X,X
ITLZJSO,O,O,O,O,O,X,X,X,O
ITLZJOS,O,O,O,O,X,X,O,X,O
ITLZSJO,O,O,O,O,O,X,X,X,O
ITLZSOJ,O,X,X,O,O,X,X,X,X
ITLZOJS,O,O,X,O,X,X,O,X,O
ITLZOSJ,O,X,X,O,X,X,X,X,X
ITLOJSZ,O,O,O,O,X,X,O,X,X
ITLOJZS,X,O,O,O,X,X,O,O,O
ITLOSJZ,O,X,O,O,X,X,O,X,X
ITLOSZJ,O,X,X,X,X,X,O,X,X
ITLOZJS,X,O,X,O,X,X,O,X,O
ITLOZSJ,O,X,X,O,X,X,X,X,X
ITJLSZO,O,O,O,X,X,X,O,X,O
ITJLSOZ,O,O,O,O,X,X,O,X,X
ITJLZSO,X,O,O,O,X,X,X,X,O
ITJLZOS,X,O,O,O,X,X,O,X,O
ITJLOSZ,X,O,O,O,X,X,O,X,X
ITJLOZS,X,O,O,O,X,X,O,O,O
ITJSLZO,O,X,O,X,X,X,O,X,X
ITJSLOZ,O,X,O,O,X,X,O,X,X
ITJSZLO,O,X,X,O,X,X,O,X,X
ITJSZOL,O,X,X,O,X,X,O,X,X
ITJSOLZ,O,X,O,O,X,X,O,X,X
ITJSOZL,O,X,X,O,X,X,O,O,X
ITJZLSO,X,O,X,O,X,X,X,X,O
ITJZLOS,X,O,X,O,X,X,O,O,O
ITJZSLO,X,X,X,O,X,X,O,X,X
ITJZSOL,X,X,X,O,X,X,O,O,X
ITJZOLS,X,O,X,O,X,X,O,O,X
ITJZOSL,X,X,X,O,X,X,O,O,X
ITJOLSZ,O,O,O,O,X,X,O,X,X
ITJOLZS,X,O,O,O,X,X,O,O,X
ITJOSLZ,O,X,O,O,X,X,O,X,X
ITJOSZL,O,X,X,O,X,X,O,O,X
ITJOZLS,X,O,X,O,X,X,O,O,X
ITJOZSL,X,X,X,O,X,X,O,O,X
ITSLJZO,O,X,O,X,O,X,O,X,X
ITSLJOZ,O,X,O,O,X,X,O,X,X
ITSLZJO,O,X,O,X,O,X,O,X,X
ITSLZOJ,X,X,X,X,O,X,O,X,X
ITSLOJZ,O,X,O,O,X,X,O,X,X
ITSLOZJ,O,X,X,X,O,X,O,X,X
ITSJLZO,O,X,O,X,O,X,O,X,X
ITSJLOZ,O,X,O,O,X,X,O,X,X
ITSJZLO,O,X,X,O,X,X,O,X,X
ITSJZOL,O,X,X,O,X,X,O,X,X
ITSJOLZ,O,X,O,O,X,X,O,X,X
ITSJOZL,O,X,X,O,X,X,O,O,X
ITSZLJO,O,X,X,O,O,X,O,X,X
ITSZLOJ,X,X,X,O,O,X,O,X,X
ITSZJLO,O,X,X,O,O,X,O,X,X
ITSZJOL,O,X,X,O,O,X,O,X,X
ITSZOLJ,O,X,X,O,O,X,O,X,X
ITSZOJL,O,X,X,O,X,X,O,X,X
ITSOLJZ,O,X,O,O,X,X,O,X,X
ITSOLZJ,O,X,X,X,O,X,O,X,X
ITSOJLZ,O,X,O,O,X,X,O,X,X
ITSOJZL,O,X,X,O,X,X,O,O,X
ITSOZLJ,O,X,X,O,X,X,O,X,X
ITSOZJL,O,X,X,O,X,X,O,X,X
ITZLJSO,O,O,X,O,O,X,X,X,O
ITZLJOS,O,O,X,O,X,X,O,O,O
ITZLSJO,O,O,X,O,O,X,X,X,O
ITZLSOJ,O,X,X,O,O,X,X,X,X
ITZLOJS,O,O,X,O,X,X,O,O,O
ITZLOSJ,O,X,X,O,X,X,X,X,X
ITZJLSO,O,O,X,O,O,X,X,X,O
ITZJLOS,O,O,X,O,X,X,O,O,O
ITZJSLO,O,X,X,O,O,X,O,X,X
ITZJSOL,O,X,X,O,O,X,O,O,X
ITZJOLS,O,O,X,O,X,X,O,O,X
ITZJOSL,O,X,X,O,X,X,O,O,X
ITZSLJO,O,X,X,O,O,X,O,X,X
ITZSLOJ,O,X,X,O,O,X,O,X,X
ITZSJLO,O,X,X,O,O,X,O,X,X
ITZSJOL,O,X,X,O,O,X,O,O,X
ITZSOLJ,O,X,X,O,O,X,O,X,X
ITZSOJL,O,X,X,O,X,X,O,O,X
ITZOLJS,O,O,X,O,X,X,O,O,X
ITZOLSJ,O,X,X,O,X,X,X,X,X
ITZOJLS,O,O,X,O,X,X,O,O,X
ITZOJSL,O,X,X,O,X,X,O,O,X
ITZOSLJ,O,X,X,O,X,X,O,X,X
ITZOSJL,O,X,X,O,X,X,O,O,X
ITOLJSZ,O,O,O,O,X,X,O,X,X
ITOLJZS,X,O,O,O,X,X,O,O,X
ITOLSJZ,O,X,O,O,X,X,O,X,X
ITOLSZJ,O,X,X,X,X,X,O,X,X
ITOLZJS,O,O,X,O,X,X,O,X,X
ITOLZSJ,O,X,X,O,X,X,X,X,X
ITOJLSZ,O,O,O,O,X,X,O,X,X
ITOJLZS,X,O,O,O,X,X,O,O,X
ITOJSLZ,O,X,O,O,X,X,O,X,X
ITOJSZL,O,X,X,O,X,X,O,O,X
ITOJZLS,X,O,X,O,X,X,O,O,X
ITOJZSL,X,X,X,O,X,X,O,O,X
ITOSLJZ,O,X,O,O,X,X,O,X,X
ITOSLZJ,O,X,X,X,X,X,O,X,X
ITOSJLZ,O,X,O,O,X,X,O,X,X
ITOSJZL,O,X,X,O,X,X,O,O,X
ITOSZLJ,O,X,X,O,X,X,O,X,X
ITOSZJL,O,X,X,O,X,X,O,X,X
ITOZLJS,O,O,X,O,X,X,O,O,X
ITOZLSJ,O,X,X,O,X,X,X,X,X
ITOZJLS,O,O,X,O,X,X,O,O,X
ITOZJSL,O,X,X,O,X,X,O,O,X
ITOZSLJ,O,X,X,O,X,X,O,X,X
ITOZSJL,O,X,X,O,X,X,O,O,X
ILTJSZO,O,O,O,X,X,X,O,X,O
ILTJSOZ,O,O,O,O,X,X,O,X,X
ILTJZSO,X,O,O,O,X,X,X,X,O
ILTJZOS,X,O,O,O,X,X,O,X,O
ILTJOSZ,X,O,O,O,X,X,O,X,X
ILTJOZS,X,O,O,O,X,X,O,X,O
ILTSJZO,O,O,O,X,O,X,O,X,O
ILTSJOZ,O,O,O,O,X,X,O,X,X
ILTSZJO,O,O,O,X,O,X,O,X,O
ILTSZOJ,X,X,X,X,O,X,O,X,X
ILTSOJZ,O,X,O,O,X,X,O,X,X
ILTSOZJ,O,X,X,X,O,X,O,X,X
ILTZJSO,O,O,O,O,O,X,X,X,O
ILTZJOS,O,O,O,O,X,X,O,X,O
ILTZSJO,O,O,O,O,O,X,X,X,O
ILTZSOJ,O,X,X,O,O,X,X,X,X
ILTZOJS,O,O,X,O,X,X,O,X,O
ILTZOSJ,O,X,X,O,X,X,X,X,X
ILTOJSZ,O,O,O,O,X,X,O,X,X
ILTOJZS,X,O,O,O,X,X,O,X,O
ILTOSJZ,O,X,O,O,X,X,O,X,X
ILTOSZJ,O,X,X,X,X,X,O,X,X
ILTOZJS,X,O,X,O,X,X,O,X,O
ILTOZSJ,O,X,X,O,X,X,X,X,X
ILJTSZO,O,O,O,X,X,X,O,X,O
ILJTSOZ,O,O,O,O,X,X,O,X,X
ILJTZSO,X,O,O,O,X,X,X,X,O
ILJTZOS,X,O,O,O,X,X,O,X,O
ILJTOSZ,X,O,O,O,X,X,O,X,X
ILJTOZS,X,O,O,O,X,X,O,X,O
ILJSTZO,X,O,O,X,X,X,O,X,O
ILJSTOZ,O,O,O,X,X,X,O,X,X
ILJSZTO,X,X,X,X,X,X,O,X,O
ILJSZOT,O,O,X,X,X,X,O,X,O
ILJSOTZ,O,O,O,X,X,X,O,X,X
ILJSOZT,O,O,X,X,X,X,O,X,X
ILJZTSO,O,O,O,O,X,X,X,X,O
ILJZTOS,O,O,O,O,X,X,O,X,O
ILJZSTO,O,X,X,X,X,X,X,X,O
ILJZSOT,O,O,X,X,X,X,X,X,O
ILJZOTS,X,O,O,O,X,X,O,X,O
ILJZOST,O,O,X,X,X,X,X,X,O
ILJOTSZ,X,O,O,O,X,X,O,X,X
ILJOTZS,X,O,O,O,X,X,O,X,O
ILJOSTZ,X,O,O,X,X,X,O,X,X
ILJOSZT,X,O,X,X,X,X,O,X,X
ILJOZTS,X,O,O,O,X,X,O,X,O
ILJOZST,X,O,X,X,X,X,X,X,O
ILSTJZO,O,O,O,X,O,X,O,X,O
ILSTJOZ,O,O,O,X,X,X,O,X,X
ILSTZJO,O,O,O,X,O,O,O,X,O
ILSTZOJ,X,X,X,X,O,O,O,X,X
ILSTOJZ,O,X,O,X,X,X,O,X,X
ILSTOZJ,O,X,X,X,O,O,O,X,X
ILSJTZO,X,O,O,X,O,X,O,X,O
ILSJTOZ,O,O,O,X,X,X,O,X,X
ILSJZTO,X,X,X,X,X,X,O,X,O
ILSJZOT,O,O,X,X,X,X,O,X,O
ILSJOTZ,O,O,O,X,X,X,O,X,X
ILSJOZT,O,O,X,X,X,X,O,X,X
ILSZTJO,O,X,X,X,O,O,O,X,X
ILSZTOJ,O,X,X,X,O,O,O,X,X
ILSZJTO,O,X,X,X,X,O,O,X,O
ILSZJOT,O,O,X,X,X,X,O,X,O
ILSZOTJ,O,X,X,X,X,O,O,X,X
ILSZOJT,O,X,X,X,X,X,O,X,X
ILSOTJZ,O,X,X,X,X,X,O,X,X
ILSOTZJ,O,X,X,X,O,X,O,X,X
ILSOJTZ,O,X,X,X,X,X,O,X,X
ILSOJZT,O,X,X,X,X,X,O,X,X
ILSOZTJ,O,X,X,X,X,X,O,X,X
ILSOZJT,O,X,X,X,X,X,O,X,X
ILZTJSO,O,O,O,O,X,X,X,X,O
ILZTJOS,O,O,O,O,X,X,O,X,O
ILZTSJO,O,O,O,O,X,O,X,X,O
ILZTSOJ,O,X,X,O,X,O,X,X,X
ILZTOJS,O,O,X,O,X,X,O,X,O
ILZTOSJ,O,X,X,O,X,X,X,X,X
ILZJTSO,O,O,O,O,X,X,X,X,O
ILZJTOS,O,O,O,O,X,X,O,X,O
ILZJSTO,O,X,X,X,X,O,X,X,O
ILZJSOT,O,O,X,X,X,X,X,X,O
ILZJOTS,O,O,O,O,X,X,O,X,O
ILZJOST,O,O,X,X,X,X,X,X,O
ILZSTJO,O,X,X,X,X,O,X,X,X
ILZSTOJ,O,X,X,X,X,O,X,X,X
ILZSJTO,O,X,X,X,X,O,X,X,O
ILZSJOT,O,O,X,X,X,X,X,X,O
ILZSOTJ,O,X,X,X,X,O,X,X,X
ILZSOJT,O,X,X,X,X,X,X,X,X
ILZOTJS,O,X,X,O,X,X,O,X,X
ILZOTSJ,O,X,X,O,X,X,X,X,X
ILZOJTS,O,O,X,O,X,X,O,X,O
ILZOJST,O,O,X,X,X,X,X,X,O
ILZOSTJ,O,X,X,X,X,O,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,O,O,X,X,O,X,X
ILOTJZS,X,O,O,O,X,X,O,X,O
ILOTSJZ,O,X,O,O,X,X,O,X,X
ILOTSZJ,O,X,X,X,X,X,O,X,X
ILOTZJS,O,O,X,O,X,X,O,X,O
ILOTZSJ,O,X,X,O,X,X,X,X,X
ILOJTSZ,O,O,O,O,X,X,O,X,X
ILOJTZS,X,O,O,O,X,X,O,X,O
ILOJSTZ,O,O,O,X,X,X,O,X,X
ILOJSZT,O,O,X,X,X,X,O,X,X
ILOJZTS,O,O,O,O,X,X,O,X,O
ILOJZST,O,O,X,X,X,X,X,X,O
ILOSTJZ,O,X,X,X,X,X,O,X,X
ILOSTZJ,O,X,X,X,X,X,O,X,X
ILOSJTZ,O,X,X,X,X,X,O,X,X
ILOSJZT,O,X,X,X,X,X,O,X,X
ILOSZTJ,O,X,X,X,X,X,O,X,X
ILOSZJT,O,X,X,X,X,X,O,X,X
ILOZTJS,O,X,X,O,X,X,O,X,X
ILOZTSJ,O,X,X,O,X,X,X,X,X
ILOZJTS,O,O,X,O,X,X,O,X,O
ILOZJST,O,O,X,X,X,X,X,X,O
ILOZSTJ,O,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,O,X,X,X,O,X,O
IJTLSOZ,O,O,O,O,X,X,O,X,X
IJTLZSO,X,O,O,O,X,X,X,X,O
IJTLZOS,X,O,O,O,X,X,O,X,O
IJTLOSZ,X,O,O,O,X,X,O,X,X
IJTLOZS,X,O,O,O,X,X,O,O,O
IJTSLZO,O,X,O,X,X,X,O,X,X
IJTSLOZ,O,X,O,O,X,X,O,X,X
IJTSZLO,O,X,X,O,X,X,O,X,X
IJTSZOL,O,X,X,O,X,X,O,X,X
IJTSOLZ,O,X,O,O,X,X,O,X,X
IJTSOZL,O,X,X,O,X,X,O,O,X
IJTZLSO,X,O,X,O,X,X,X,X,O
IJTZLOS,X,O,X,O,X,X,O,O,O
IJTZSLO,X,X,X,O,X,X,O,X,X
IJTZSOL,X,X,X,O,X,X,O,O,X
IJTZOLS,X,O,X,O,X,X,O,O,X
IJTZOSL,X,X,X,O,X,X,O,O,X
IJTOLSZ,O,O,O,O,X,X,O,X,X
IJTOLZS,X,O,O,O,X,X,O,O,X
IJTOSLZ,O,X,O,O,X,X,O,X,X
IJTOSZL,O,X,X,O,X,X,O,O,X
IJTOZLS,X,O,X,O,X,X,O,O,X
IJTOZSL,X,X,X,O,X,X,O,O,X
IJLTSZO,O,O,O,X,X,X,O,X,O
IJLTSOZ,O,O,O,O,X,X,O,X,X
IJLTZSO,X,O,O,O,X,X,X,X,O
IJLTZOS,X,O,O,O,X,X,O,X,O
IJLTOSZ,X,O,O,O,X,X,O,X,X
IJLTOZS,X,O,O,O,X,X,O,X,O
IJLSTZO,X,O,O,X,X,X,O,X,O
IJLSTOZ,O,O,O,X,X,X,O,X,X
IJLSZTO,X,X,X,X,X,X,O,X,O
IJLSZOT,O,O,X,X,X,X,O,X,O
IJLSOTZ,O,O,O,X,X,X,O,X,X
IJLSOZT,O,O,X,X,X,X,O,X,X
IJLZTSO,O,O,O,O,X,X,X,X,O
IJLZTOS,O,O,O,O,X,X,O,X,O
IJLZSTO,O,X,X,X,X,X,X,X,O
IJLZSOT,O,O,X,X,X,X,X,X,O
IJLZOTS,X,O,O,O,X,X,O,X,O
IJLZOST,O,O,X,X,X,X,X,X,O
IJLOTSZ,X,O,O,O,X,X,O,X,X
IJLOTZS,X,O,O,O,X,X,O,X,O
IJLOSTZ,X,O,O,X,X,X,O,X,X
IJLOSZT,X,O,X,X,X,X,O,X,X
IJLOZTS,X,O,O,O,X,X,O,X,O
IJLOZST,X,O,X,X,X,X,X,X,O
IJSTLZO,X,X,O,X,X,X,O,X,X
IJSTLOZ,O,X,O,O,X,X,O,X,X
IJSTZLO,X,X,X,O,X,X,O,X,X
IJSTZOL,X,X,X,O,X,X,O,X,X
IJSTOLZ,O,X,O,O,X,X,O,X,X
IJSTOZL,X,X,X,O,X,X,O,X,X
IJSLTZO,X,O,O,X,X,X,O,X,O
IJSLTOZ,O,O,O,X,X,X,O,X,X
IJSLZTO,X,X,X,X,X,X,O,X,O
