sequence,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lBzhBaoB5oB+s?BlrB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFmhBziB5oBCmB0r?BlsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF6mBmiB5oBzlB0n?BVxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF0hBliB5oBzlBys?BWxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFVmBUiBaoB5oBGr?BTsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFlhBaoB5oBzlB8r?B+sB,v115@9gB8HeA8IeC8GeE8CeA8KeVFJvhFUhBanBziB5oBGr?B3sB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lB+mBiiB5oBzn?BVxB
TZJOISL,O,O,O,X,X,O,O,O
TZJOLIS,O,O,O,X,X,O,O,O
TZJOLSI,O,O,O,X,X,O,X,O
TZJOSIL,O,O,O,X,X,O,O,O
TZJOSLI,O,O,O,X,X,O,O,O
TZSILJO,O,O,O,X,X,O,O,O
TZSILOJ,O,O,O,X,X,X,O,O
TZSIJLO,O,O,O,X,X,O,O,O
TZSIJOL,O,O,O,X,X,O,O,O
TZSIOLJ,O,O,O,X,X,X,O,O
TZSIOJL,O,O,O,X,X,O,O,O
TZSLIJO,O,O,O,X,X,O,O,O
TZSLIOJ,O,O,O,X,X,X,O,O
TZSLJIO,O,O,O,X,X,O,O,O
TZSLJOI,O,O,O,X,X,O,O,O
TZSLOIJ,O,O,O,X,X,X,O,O
TZSLOJI,O,O,O,X,X,X,O,O
TZSJILO,O,O,O,X,X,O,O,O
TZSJIOL,O,O,O,X,X,O,O,O
TZSJLIO,O,O,O,X,X,O,O,O
TZSJLOI,O,O,O,X,X,O,O,O
TZSJOIL,O,O,O,X,X,O,O,O
TZSJOLI,O,O,O,X,X,O,O,O
TZSOILJ,O,O,O,X,X,X,O,O
TZSOIJL,O,O,O,X,X,O,O,O
TZSOLIJ,O,O,O,X,X,X,O,O
TZSOLJI,O,O,O,X,X,X,O,O
TZSOJIL,O,O,O,X,X,O,O,O
TZSOJLI,O,O,O,X,X,O,O,O
TZOILJS,O,O,O,X,X,O,X,O
TZOILSJ,O,O,O,X,X,O,O,O
TZOIJLS,O,O,O,X,X,O,O,O
TZOIJSL,O,O,O,X,X,O,O,O
TZOISLJ,O,O,O,X,X,O,O,O
TZOISJL,O,O,O,X,X,O,O,O
TZOLIJS,O,O,O,X,X,O,X,O
TZOLISJ,O,O,O,X,X,O,O,O
TZOLJIS,O,O,O,X,X,O,X,O
TZOLJSI,O,O,O,X,X,O,X,O
TZOLSIJ,O,O,O,X,X,O,X,O
TZOLSJI,O,O,O,X,X,O,X,O
TZOJILS,O,O,O,X,X,O,O,O
TZOJISL,O,O,O,X,X,O,O,O
TZOJLIS,O,O,O,X,X,O,O,O
TZOJLSI,O,O,O,X,X,O,X,O
TZOJSIL,O,O,O,X,X,O,O,O
TZOJSLI,O,O,O,X,X,O,O,O
TZOSILJ,O,O,O,X,X,O,O,O
TZOSIJL,O,O,O,X,X,O,O,O
TZOSLIJ,O,O,O,X,X,O,O,O
TZOSLJI,O,O,O,X,X,O,O,O
TZOSJIL,O,O,O,X,X,O,O,O
TZOSJLI,O,O,O,X,X,O,O,O
TOILJSZ,O,O,O,O,O,O,X,O
TOILJZS,O,O,O,O,O,O,X,O
TOILSJZ,X,O,O,O,O,O,X,O
TOILSZJ,X,O,O,O,X,O,X,O
TOILZJS,O,O,O,O,O,O,X,O
TOILZSJ,O,O,O,O,X,O,X,O
TOIJLSZ,O,O,O,O,O,O,X,O
TOIJLZS,O,O,O,O,O,O,X,O
TOIJSLZ,O,O,O,O,O,O,O,O
TOIJSZL,O,O,O,O,O,O,O,O
TOIJZLS,O,O,O,O,O,O,O,O
TOIJZSL,O,O,O,O,O,O,O,O
TOISLJZ,X,O,O,O,O,O,O,O
TOISLZJ,X,O,O,O,X,O,O,O
TOISJLZ,O,O,O,O,O,O,O,O
TOISJZL,O,O,O,O,O,O,O,O
TOISZLJ,O,O,O,O,X,O,O,O
TOISZJL,O,O,O,O,X,O,O,O
TOIZLJS,O,O,O,O,O,O,X,O
TOIZLSJ,O,O,O,O,X,O,O,O
TOIZJLS,O,O,O,O,O,O,O,O
TOIZJSL,O,O,O,O,O,O,O,O
TOIZSLJ,O,O,O,O,X,O,O,O
TOIZSJL,O,O,O,O,X,O,O,O
TOLIJSZ,O,O,O,O,O,O,X,O
TOLIJZS,O,O,O,O,O,O,X,O
TOLISJZ,X,O,O,O,O,O,X,O
TOLISZJ,X,O,O,O,X,O,X,O
TOLIZJS,O,O,O,O,O,O,X,O
TOLIZSJ,O,O,O,O,X,O,X,O
TOLJISZ,O,O,O,O,O,O,X,O
TOLJIZS,O,O,O,O,O,O,X,O
TOLJSIZ,O,O,O,O,O,O,X,O
TOLJSZI,O,O,O,O,O,O,X,O
TOLJZIS,O,O,O,O,O,O,X,O
TOLJZSI,O,O,O,O,O,O,X,O
TOLSIJZ,X,O,O,O,O,O,X,O
TOLSIZJ,X,O,O,O,X,O,X,O
TOLSJIZ,X,O,O,O,O,O,X,O
TOLSJZI,X,O,O,O,O,O,X,O
TOLSZIJ,X,O,O,O,X,O,X,O
TOLSZJI,X,O,O,O,X,O,X,O
TOLZIJS,O,O,O,O,O,O,X,O
TOLZISJ,O,O,O,O,X,O,X,O
TOLZJIS,O,O,O,O,O,O,X,O
TOLZJSI,O,O,O,O,O,O,X,O
TOLZSIJ,O,O,O,O,X,O,X,O
TOLZSJI,O,O,O,O,X,O,X,O
TOJILSZ,O,O,O,O,O,O,X,O
TOJILZS,O,O,O,O,O,O,X,O
TOJISLZ,O,O,O,O,O,O,O,O
TOJISZL,O,O,O,O,O,O,O,O
TOJIZLS,O,O,O,O,O,O,O,O
TOJIZSL,O,O,O,O,O,O,O,O
TOJLISZ,O,O,O,O,O,O,X,O
TOJLIZS,O,O,O,O,O,O,X,O
TOJLSIZ,O,O,O,O,O,O,X,O
TOJLSZI,O,O,O,O,O,O,X,O
TOJLZIS,O,O,O,O,O,O,X,O
TOJLZSI,O,O,O,O,O,O,X,O
TOJSILZ,O,O,O,O,O,O,O,O
TOJSIZL,O,O,O,O,O,O,O,O
TOJSLIZ,O,O,O,O,O,O,O,O
TOJSLZI,O,O,O,O,O,O,O,O
TOJSZIL,O,O,O,O,O,O,O,O
TOJSZLI,O,O,O,O,O,O,O,O
TOJZILS,O,O,O,O,O,O,O,O
TOJZISL,O,O,O,O,O,O,O,O
TOJZLIS,O,O,O,O,O,O,O,O
TOJZLSI,O,O,O,O,O,O,X,O
TOJZSIL,O,O,O,O,O,O,O,O
TOJZSLI,O,O,O,O,O,O,O,O
TOSILJZ,X,O,O,O,O,O,O,O
TOSILZJ,X,O,O,O,X,O,O,O
TOSIJLZ,O,O,O,O,O,O,O,O
TOSIJZL,O,O,O,O,O,O,O,O
TOSIZLJ,O,O,O,O,X,O,O,O
TOSIZJL,O,O,O,O,X,O,O,O
TOSLIJZ,X,O,O,O,O,O,O,O
TOSLIZJ,X,O,O,O,X,O,O,O
TOSLJIZ,X,O,O,O,O,O,O,O
TOSLJZI,X,O,O,O,O,O,O,O
TOSLZIJ,X,O,O,O,X,O,O,O
TOSLZJI,X,O,O,O,X,O,O,O
TOSJILZ,O,O,O,O,O,O,O,O
TOSJIZL,O,O,O,O,O,O,O,O
TOSJLIZ,O,O,O,O,O,O,O,O
TOSJLZI,O,O,O,O,O,O,O,O
TOSJZIL,O,O,O,O,O,O,O,O
TOSJZLI,O,O,O,O,O,O,O,O
TOSZILJ,O,O,O,O,X,O,O,O
TOSZIJL,O,O,O,O,X,O,O,O
TOSZLIJ,O,O,O,O,X,O,O,O
TOSZLJI,O,O,O,O,X,O,O,O
TOSZJIL,O,O,O,O,X,O,O,O
TOSZJLI,O,O,O,O,X,O,O,O
TOZILJS,O,O,O,O,O,O,X,O
TOZILSJ,O,O,O,O,X,O,O,O
TOZIJLS,O,O,O,O,O,O,O,O
TOZIJSL,O,O,O,O,O,O,O,O
TOZISLJ,O,O,O,O,X,O,O,O
TOZISJL,O,O,O,O,X,O,O,O
TOZLIJS,O,O,O,O,O,O,X,O
TOZLISJ,O,O,O,O,X,O,O,O
TOZLJIS,O,O,O,O,O,O,X,O
TOZLJSI,O,O,O,O,O,O,X,O
TOZLSIJ,O,O,O,O,X,O,X,O
TOZLSJI,O,O,O,O,X,O,X,O
TOZJILS,O,O,O,O,O,O,O,O
TOZJISL,O,O,O,O,O,O,O,O
TOZJLIS,O,O,O,O,O,O,O,O
TOZJLSI,O,O,O,O,O,O,X,O
TOZJSIL,O,O,O,O,O,O,O,O
TOZJSLI,O,O,O,O,O,O,O,O
TOZSILJ,O,O,O,O,X,O,O,O
TOZSIJL,O,O,O,O,X,O,O,O
TOZSLIJ,O,O,O,O,X,O,O,O
TOZSLJI,O,O,O,O,X,O,O,O
TOZSJIL,O,O,O,O,X,O,O,O
TOZSJLI,O,O,O,O,X,O,O,O
ITLJSZO,O,O,O,O,O,O,O,O
ITLJSOZ,O,O,X,O,O,O,O,X
ITLJZSO,O,O,O,O,O,O,O,O
ITLJZOS,O,O,O,O,O,O,O,O
ITLJOSZ,O,O,X,O,O,O,X,O
ITLJOZS,O,O,X,O,O,O,X,O
ITLSJZO,O,O,O,O,O,O,O,O
ITLSJOZ,X,O,X,O,O,O,O,X
ITLSZJO,O,O,O,O,X,X,O,O
ITLSZOJ,X,O,O,O,X,X,O,O
ITLSOJZ,X,O,O,O,O,O,O,X
ITLSOZJ,X,O,O,O,X,X,O,O
ITLZJSO,O,O,O,O,X,X,O,O
ITLZJOS,O,O,O,X,X,X,O,O
ITLZSJO,O,O,O,O,X,X,O,O
ITLZSOJ,O,O,O,O,X,X,O,O
ITLZOJS,O,O,O,O,X,X,X,O
ITLZOSJ,O,O,O,O,X,X,O,O
ITLOJSZ,O,O,O,O,O,O,X,O
ITLOJZS,O,O,O,O,O,O,X,O
ITLOSJZ,X,O,O,O,O,O,X,O
ITLOSZJ,X,O,O,O,X,X,X,O
ITLOZJS,O,O,O,O,O,X,X,O
ITLOZSJ,O,O,O,O,X,X,X,O
ITJLSZO,O,O,O,O,O,O,O,O
ITJLSOZ,O,O,X,O,O,O,O,X
ITJLZSO,O,O,O,O,O,O,O,O
ITJLZOS,O,O,O,O,O,O,O,O
ITJLOSZ,O,O,X,O,O,O,X,O
ITJLOZS,O,O,X,O,O,O,X,O
ITJSLZO,O,O,O,O,O,O,O,O
ITJSLOZ,O,O,X,O,O,O,O,X
ITJSZLO,O,O,O,O,O,O,O,O
ITJSZOL,O,O,O,O,O,O,O,O
ITJSOLZ,O,O,O,X,O,O,O,O
ITJSOZL,O,O,O,X,O,O,O,O
ITJZLSO,O,O,O,O,O,O,O,O
ITJZLOS,O,O,O,O,O,O,O,O
ITJZSLO,O,O,O,O,O,O,O,O
ITJZSOL,O,O,O,O,O,O,O,O
ITJZOLS,O,O,O,X,O,O,O,O
ITJZOSL,O,O,O,O,O,O,O,O
ITJOLSZ,O,O,O,O,O,O,X,O
ITJOLZS,O,O,O,O,O,O,X,O
ITJOSLZ,O,O,O,O,O,O,O,O
ITJOSZL,O,O,O,O,O,O,O,O
ITJOZLS,O,O,O,O,O,O,O,O
ITJOZSL,O,O,O,O,O,O,O,O
ITSLJZO,O,O,O,O,O,O,O,O
ITSLJOZ,X,O,X,O,O,O,O,X
ITSLZJO,O,O,O,O,X,X,O,O
ITSLZOJ,X,O,O,O,X,X,O,O
ITSLOJZ,X,O,O,O,O,O,O,X
ITSLOZJ,X,O,O,O,X,X,O,O
ITSJLZO,O,O,O,O,O,O,O,O
ITSJLOZ,O,O,X,O,O,O,O,X
ITSJZLO,O,O,O,O,O,O,O,O
ITSJZOL,O,O,O,O,O,O,O,O
ITSJOLZ,O,O,O,X,O,O,O,O
ITSJOZL,O,O,O,X,O,O,O,O
ITSZLJO,O,O,O,X,X,O,O,O
ITSZLOJ,O,O,O,X,X,X,O,O
ITSZJLO,O,O,O,X,X,O,O,O
ITSZJOL,O,O,O,X,X,O,O,O
ITSZOLJ,O,O,O,X,X,X,O,O
ITSZOJL,O,O,O,X,X,O,O,O
ITSOLJZ,X,O,O,O,O,O,O,O
ITSOLZJ,X,O,O,O,X,O,O,O
ITSOJLZ,O,O,O,O,O,O,O,O
ITSOJZL,O,O,O,O,O,O,O,O
ITSOZLJ,O,O,O,O,X,O,O,O
ITSOZJL,O,O,O,O,X,O,O,O
ITZLJSO,O,O,O,X,X,O,O,O
ITZLJOS,O,O,O,X,X,O,O,O
ITZLSJO,O,O,O,X,X,O,O,O
ITZLSOJ,O,O,O,X,X,X,O,O
ITZLOJS,O,O,O,X,X,X,X,O
ITZLOSJ,O,O,O,X,X,X,O,O
ITZJLSO,O,O,O,X,X,O,O,O
ITZJLOS,O,O,O,X,X,O,O,O
ITZJSLO,O,O,O,X,X,O,O,O
ITZJSOL,O,O,O,X,X,O,O,O
ITZJOLS,O,O,O,X,X,O,O,O
ITZJOSL,O,O,O,X,X,O,O,O
ITZSLJO,O,O,O,X,X,O,O,O
ITZSLOJ,O,O,O,X,X,X,O,O
ITZSJLO,O,O,O,X,X,O,O,O
ITZSJOL,O,O,O,X,X,O,O,O
ITZSOLJ,O,O,O,X,X,X,O,O
ITZSOJL,O,O,O,X,X,O,O,O
ITZOLJS,O,O,O,X,X,O,X,O
ITZOLSJ,O,O,O,X,X,O,O,O
ITZOJLS,O,O,O,X,X,O,O,O
ITZOJSL,O,O,O,X,X,O,O,O
ITZOSLJ,O,O,O,X,X,O,O,O
ITZOSJL,O,O,O,X,X,O,O,O
ITOLJSZ,O,O,O,O,O,O,X,O
ITOLJZS,O,O,O,O,O,O,X,O
ITOLSJZ,X,O,O,O,O,O,X,O
ITOLSZJ,X,O,O,O,X,O,X,O
ITOLZJS,O,O,O,O,O,O,X,O
ITOLZSJ,O,O,O,O,X,O,X,O
ITOJLSZ,O,O,O,O,O,O,X,O
ITOJLZS,O,O,O,O,O,O,X,O
ITOJSLZ,O,O,O,O,O,O,O,O
ITOJSZL,O,O,O,O,O,O,O,O
ITOJZLS,O,O,O,O,O,O,O,O
ITOJZSL,O,O,O,O,O,O,O,O
ITOSLJZ,X,O,O,O,O,O,O,O
ITOSLZJ,X,O,O,O,X,O,O,O
ITOSJLZ,O,O,O,O,O,O,O,O
ITOSJZL,O,O,O,O,O,O,O,O
ITOSZLJ,O,O,O,O,X,O,O,O
ITOSZJL,O,O,O,O,X,O,O,O
ITOZLJS,O,O,O,O,O,O,X,O
ITOZLSJ,O,O,O,O,X,O,O,O
ITOZJLS,O,O,O,O,O,O,O,O
ITOZJSL,O,O,O,O,O,O,O,O
ITOZSLJ,O,O,O,O,X,O,O,O
ITOZSJL,O,O,O,O,X,O,O,O
ILTJSZO,O,O,O,O,O,O,O,O
ILTJSOZ,O,O,X,O,O,O,O,X
ILTJZSO,O,O,O,O,O,O,O,O
ILTJZOS,O,O,O,O,O,O,O,O
ILTJOSZ,O,O,X,O,O,O,X,O
ILTJOZS,O,O,X,O,O,O,X,O
ILTSJZO,O,O,O,O,O,O,O,O
ILTSJOZ,X,O,X,O,O,O,O,X
ILTSZJO,O,O,O,O,X,X,O,O
ILTSZOJ,X,O,O,O,X,X,O,O
ILTSOJZ,X,O,O,O,O,O,O,X
ILTSOZJ,X,O,O,O,X,X,O,O
ILTZJSO,O,O,O,O,X,X,O,O
ILTZJOS,O,O,O,X,X,X,O,O
ILTZSJO,O,O,O,O,X,X,O,O
ILTZSOJ,O,O,O,O,X,X,O,O
ILTZOJS,O,O,O,O,X,X,X,O
ILTZOSJ,O,O,O,O,X,X,O,O
ILTOJSZ,O,O,O,O,O,O,X,O
ILTOJZS,O,O,O,O,O,O,X,O
ILTOSJZ,X,O,O,O,O,O,X,O
ILTOSZJ,X,O,O,O,X,X,X,O
ILTOZJS,O,O,O,O,O,X,X,O
ILTOZSJ,O,O,O,O,X,X,X,O
ILJTSZO,O,O,X,O,O,O,O,X
ILJTSOZ,O,O,X,O,O,O,O,X
ILJTZSO,O,O,X,O,O,O,O,X
ILJTZOS,O,O,X,O,O,O,O,X
ILJTOSZ,O,O,X,O,O,O,X,X
ILJTOZS,O,O,X,O,O,O,X,X
ILJSTZO,O,O,X,O,O,O,O,X
ILJSTOZ,O,O,X,O,O,O,O,X
ILJSZTO,O,O,X,O,O,O,O,X
ILJSZOT,O,O,X,O,X,O,O,X
ILJSOTZ,X,O,X,O,O,O,O,X
ILJSOZT,O,O,X,O,O,O,O,X
ILJZTSO,O,O,X,O,O,O,X,X
ILJZTOS,O,O,X,O,O,O,X,X
ILJZSTO,O,O,X,O,O,O,X,X
ILJZSOT,O,O,X,O,X,O,X,X
ILJZOTS,O,O,X,O,X,O,X,X
ILJZOST,O,O,X,O,X,O,X,X
ILJOTSZ,O,O,X,O,O,O,X,X
ILJOTZS,O,O,X,O,O,O,X,X
ILJOSTZ,X,O,X,O,O,O,X,X
ILJOSZT,O,O,X,O,O,O,X,X
ILJOZTS,O,O,X,O,O,O,X,X
ILJOZST,O,O,X,O,O,O,X,X
ILSTJZO,O,O,O,O,O,O,O,X
ILSTJOZ,X,O,X,O,O,O,O,X
ILSTZJO,O,O,O,O,X,X,O,O
ILSTZOJ,X,O,O,O,X,X,O,O
ILSTOJZ,X,O,O,O,O,O,O,X
ILSTOZJ,X,O,O,O,X,X,O,O
ILSJTZO,O,O,X,O,O,O,O,X
ILSJTOZ,O,O,X,O,O,O,O,X
ILSJZTO,O,O,X,O,O,O,O,X
ILSJZOT,O,O,X,O,X,O,O,X
ILSJOTZ,X,O,X,O,O,O,O,X
ILSJOZT,O,O,X,O,O,O,O,X
ILSZTJO,O,O,X,O,X,O,O,O
ILSZTOJ,O,O,X,O,X,X,O,O
ILSZJTO,O,O,X,O,O,O,O,X
ILSZJOT,O,O,X,O,X,O,O,X
ILSZOTJ,X,O,X,O,X,X,O,X
ILSZOJT,O,O,X,O,O,O,O,X
ILSOTJZ,X,O,O,O,O,O,O,X
ILSOTZJ,X,O,O,O,X,O,O,X
ILSOJTZ,X,O,X,O,O,O,O,X
ILSOJZT,O,O,X,O,O,O,O,X
ILSOZTJ,X,O,X,O,X,O,O,X
ILSOZJT,O,O,X,O,O,O,O,X
ILZTJSO,O,O,X,O,X,O,X,O
ILZTJOS,O,O,X,X,X,O,X,O
ILZTSJO,O,O,X,O,X,O,X,O
ILZTSOJ,O,O,X,O,X,X,X,O
ILZTOJS,O,O,X,O,X,X,X,O
ILZTOSJ,O,O,X,O,X,X,X,O
ILZJTSO,O,O,X,O,O,O,X,X
ILZJTOS,O,O,X,O,O,O,X,X
ILZJSTO,O,O,X,O,O,O,X,X
ILZJSOT,O,O,X,O,X,O,X,X
ILZJOTS,O,O,X,O,X,O,X,X
ILZJOST,O,O,X,O,X,O,X,X
ILZSTJO,O,O,X,O,X,O,X,O
ILZSTOJ,O,O,X,O,X,X,X,O
ILZSJTO,O,O,X,O,O,O,X,X
ILZSJOT,O,O,X,O,X,O,X,X
ILZSOTJ,X,O,X,O,X,X,X,X
ILZSOJT,O,O,X,O,O,O,X,X
ILZOTJS,X,O,X,O,O,O,X,X
ILZOTSJ,X,O,X,O,X,O,X,X
ILZOJTS,O,O,X,O,O,O,X,X
ILZOJST,O,O,X,O,O,O,X,X
ILZOSTJ,X,O,X,O,X,O,X,X
ILZOSJT,O,O,X,O,O,O,X,X
ILOTJSZ,X,O,O,O,O,O,X,X
ILOTJZS,X,O,O,O,O,O,X,X
ILOTSJZ,X,O,O,O,O,O,X,X
ILOTSZJ,X,O,O,O,X,O,X,X
ILOTZJS,X,O,O,O,O,O,X,X
ILOTZSJ,X,O,O,O,X,O,X,X
ILOJTSZ,O,O,X,O,O,O,X,X
ILOJTZS,O,O,X,O,O,O,X,X
ILOJSTZ,X,O,X,O,O,O,X,X
ILOJSZT,O,O,X,O,O,O,X,X
ILOJZTS,O,O,X,O,O,O,X,X
ILOJZST,O,O,X,O,O,O,X,X
ILOSTJZ,X,O,O,O,O,O,X,X
ILOSTZJ,X,O,O,O,X,O,X,X
ILOSJTZ,X,O,X,O,O,O,X,X
ILOSJZT,O,O,X,O,O,O,X,X
ILOSZTJ,X,O,X,O,X,O,X,X
ILOSZJT,O,O,X,O,O,O,X,X
ILOZTJS,X,O,X,O,O,O,X,X
ILOZTSJ,X,O,X,O,X,O,X,X
ILOZJTS,O,O,X,O,O,O,X,X
ILOZJST,O,O,X,O,O,O,X,X
ILOZSTJ,X,O,X,O,X,O,X,X
ILOZSJT,O,O,X,O,O,O,X,X
IJTLSZO,O,O,O,O,O,O,O,O
IJTLSOZ,O,O,X,O,O,O,O,X
IJTLZSO,O,O,O,O,O,O,O,O
IJTLZOS,O,O,O,O,O,O,O,O
IJTLOSZ,O,O,X,O,O,O,X,O
IJTLOZS,O,O,X,O,O,O,X,O
IJTSLZO,O,O,O,O,O,O,O,O
IJTSLOZ,O,O,X,O,O,O,O,X
IJTSZLO,O,O,O,O,O,O,O,O
IJTSZOL,O,O,O,O,O,O,O,O
IJTSOLZ,O,O,O,X,O,O,O,O
IJTSOZL,O,O,O,X,O,O,O,O
IJTZLSO,O,O,O,O,O,O,O,O
IJTZLOS,O,O,O,O,O,O,O,O
IJTZSLO,O,O,O,O,O,O,O,O
IJTZSOL,O,O,O,O,O,O,O,O
IJTZOLS,O,O,O,X,O,O,O,O
IJTZOSL,O,O,O,O,O,O,O,O
IJTOLSZ,O,O,O,O,O,O,X,O
IJTOLZS,O,O,O,O,O,O,X,O
IJTOSLZ,O,O,O,O,O,O,O,O
IJTOSZL,O,O,O,O,O,O,O,O
IJTOZLS,O,O,O,O,O,O,O,O
IJTOZSL,O,O,O,O,O,O,O,O
IJLTSZO,O,O,X,O,O,O,O,X
IJLTSOZ,O,O,X,O,O,O,O,X
IJLTZSO,O,O,X,O,O,O,O,X
IJLTZOS,O,O,X,O,O,O,O,X
IJLTOSZ,O,O,X,O,O,O,X,X
IJLTOZS,O,O,X,O,O,O,X,X
IJLSTZO,O,O,X,O,O,O,O,X
IJLSTOZ,O,O,X,O,O,O,O,X
IJLSZTO,O,O,X,O,O,O,O,X
IJLSZOT,O,O,X,O,X,O,O,X
IJLSOTZ,X,O,X,O,O,O,O,X
IJLSOZT,O,O,X,O,O,O,O,X
IJLZTSO,O,O,X,O,O,O,X,X
IJLZTOS,O,O,X,O,O,O,X,X
IJLZSTO,O,O,X,O,O,O,X,X
IJLZSOT,O,O,X,O,X,O,X,X
IJLZOTS,O,O,X,O,X,O,X,X
IJLZOST,O,O,X,O,X,O,X,X
IJLOTSZ,O,O,X,O,O,O,X,X
IJLOTZS,O,O,X,O,O,O,X,X
IJLOSTZ,X,O,X,O,O,O,X,X
IJLOSZT,O,O,X,O,O,O,X,X
IJLOZTS,O,O,X,O,O,O,X,X
IJLOZST,O,O,X,O,O,O,X,X
IJSTLZO,O,O,O,O,O,O,O,X
IJSTLOZ,O,O,X,O,O,O,O,X
IJSTZLO,O,O,O,O,O,O,O,O
IJSTZOL,O,O,O,O,O,O,O,O
IJSTOLZ,O,O,O,X,O,O,O,X
IJSTOZL,O,O,O,X,O,O,O,O
IJSLTZO,O,O,X,O,O,O,O,X
IJSLTOZ,O,O,X,O,O,O,O,X
IJSLZTO,O,O,X,O,O,O,O,X
IJSLZOT,O,O,X,O,X,O,O,X
IJSLOTZ,X,O,X,O,O,O,O,X
IJSLOZT,O,O,X,O,O,O,O,X
IJSZTLO,O,O,X,O,O,O,O,O
IJSZTOL,O,O,X,O,O,O,O,O
IJSZLTO,O,O,X,O,O,O,O,X
IJSZLOT,O,O,X,O,X,O,O,X
IJSZOTL,O,X,X,O,O,O,O,X
IJSZOLT,O,X,X,O,O,O,O,X
IJSOTLZ,X,X,O,O,O,O,O,X
IJSOTZL,X,X,O,O,O,O,O,X
IJSOLTZ,X,X,X,O,O,O,O,X
IJSOLZT,O,X,X,O,O,O,O,X
IJSOZTL,O,X,X,O,O,O,O,X
IJSOZLT,O,X,X,O,O,O,O,X
IJZTLSO,O,O,X,O,O,O,O,O
IJZTLOS,O,O,X,O,O,O,O,O
IJZTSLO,O,O,X,O,O,O,O,O
IJZTSOL,O,O,X,O,O,O,O,O
IJZTOLS,O,O,X,X,O,O,O,O
IJZTOSL,O,O,X,O,O,O,O,O
IJZLTSO,O,O,X,O,O,O,X,X
IJZLTOS,O,O,X,O,O,O,X,X
IJZLSTO,O,O,X,O,O,O,X,X
IJZLSOT,O,O,X,O,X,O,X,X
IJZLOTS,O,O,X,O,X,O,X,X
IJZLOST,O,O,X,O,X,O,X,X
IJZSTLO,O,O,X,O,O,O,O,O
IJZSTOL,O,O,X,O,O,O,O,O
IJZSLTO,O,O,X,O,O,O,O,X
IJZSLOT,O,O,X,O,X,O,O,X
IJZSOTL,O,X,X,O,O,O,O,X
IJZSOLT,O,X,X,O,O,O,O,X
IJZOTLS,O,X,X,O,O,O,X,X
IJZOTSL,O,X,X,O,O,O,X,X
IJZOLTS,O,X,X,O,O,O,X,X
IJZOLST,O,X,X,O,O,O,X,X
IJZOSTL,O,X,X,O,O,O,X,X
IJZOSLT,O,X,X,O,O,O,X,X
IJOTLSZ,O,X,O,O,O,O,X,X
IJOTLZS,O,X,O,O,O,O,X,X
IJOTSLZ,O,X,O,O,O,O,O,X
IJOTSZL,O,X,O,O,O,O,O,X
IJOTZLS,O,X,O,O,O,O,O,X
IJOTZSL,O,X,O,O,O,O,O,X
IJOLTSZ,O,X,X,O,O,O,X,X
IJOLTZS,O,X,X,O,O,O,X,X
IJOLSTZ,X,X,X,O,O,O,X,X
IJOLSZT,O,X,X,O,O,O,X,X
IJOLZTS,O,X,X,O,O,O,X,X
IJOLZST,O,X,X,O,O,O,X,X
IJOSTLZ,X,X,O,O,O,O,O,X
IJOSTZL,X,X,O,O,O,O,O,X
IJOSLTZ,X,X,X,O,O,O,O,X
IJOSLZT,O,X,X,O,O,O,O,X
IJOSZTL,O,X,X,O,O,O,O,X
IJOSZLT,O,X,X,O,O,O,O,X
IJOZTLS,O,X,X,O,O,O,X,X
IJOZTSL,O,X,X,O,O,O,X,X
IJOZLTS,O,X,X,O,O,O,X,X
IJOZLST,O,X,X,O,O,O,X,X
IJOZSTL,O,X,X,O,O,O,X,X
IJOZSLT,O,X,X,O,O,O,X,X
ISTLJZO,O,O,O,O,O,O,O,O
ISTLJOZ,X,O,X,O,O,O,O,X
ISTLZJO,O,O,O,O,X,X,O,O
ISTLZOJ,X,O,O,O,X,X,O,O
ISTLOJZ,X,O,O,O,O,O,O,X
ISTLOZJ,X,O,O,O,X,X,O,O
ISTJLZO,O,O,O,O,O,O,O,O
ISTJLOZ,O,O,X,O,O,O,O,X
ISTJZLO,O,O,O,O,O,O,O,O
ISTJZOL,O,O,O,O,O,O,O,O
ISTJOLZ,O,O,O,X,O,O,O,O
ISTJOZL,O,O,O,X,O,O,O,O
ISTZLJO,O,O,O,X,X,O,O,O
ISTZLOJ,O,O,O,X,X,X,O,O
ISTZJLO,O,O,O,X,X,O,O,O
ISTZJOL,O,O,O,X,X,O,O,O
ISTZOLJ,O,O,O,X,X,X,O,O
ISTZOJL,O,O,O,X,X,O,O,O
ISTOLJZ,X,O,O,O,O,O,O,O
ISTOLZJ,X,O,O,O,X,O,O,O
ISTOJLZ,O,O,O,O,O,O,O,O
ISTOJZL,O,O,O,O,O,O,O,O
ISTOZLJ,O,O,O,O,X,O,O,O
ISTOZJL,O,O,O,O,X,O,O,O
ISLTJZO,O,O,O,O,O,O,O,X
ISLTJOZ,X,O,X,O,O,O,O,X
ISLTZJO,O,O,O,O,X,X,O,O
