sequence,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFmgBzhBfoB6oB0l?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBamBzhBGjBUo?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBUiBGjBzlBfs?BVyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBemBUiBFjBfs?BSyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBUhBFiB6oBzn?BmrB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBymBGjBUoBXm?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBFiB8nB+oBzl?BfsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBmhBSoBXmBUo?BFsB
TLZJSIO,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,X,X
TLZJOSI,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,O,X,X
TLZOISJ,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,O,X,X
TLZOJSI,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X
TLOISZJ,X,X,O,X,X,X,X,X
TLOIZJS,X,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X
TLOSIZJ,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X
TLOSZIJ,X,X,O,X,X,X,X,X
TLOSZJI,X,X,O,X,X,X,X,X
TLOZIJS,X,X,X,X,X,O,X,X
TLOZISJ,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,O,X,X
TLOZJSI,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,O
TJILZSO,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X
TJISLZO,X,X,O,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,O
TJISZLO,X,X,O,X,X,X,X,X
TJISZOL,X,X,O,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X,O
TJISOZL,X,X,O,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O
TJLIZSO,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X
TJLSIZO,X,X,O,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,O
TJLSZIO,X,X,O,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,O
TJLSOZI,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,O
TJSIZLO,X,X,O,X,X,X,X,X
TJSIZOL,X,X,O,X,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,O
TJSIOZL,X,X,O,X,X,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,O
TJSLZIO,X,X,O,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,O
TJSLOZI,X,X,X,X,X,X,X,X
TJSZILO,X,X,O,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X,X,X
TJSZLIO,X,X,O,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X
TJSZOIL,X,X,O,X,X,X,X,X
TJSZOLI,X,X,O,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,X,O
TJSOIZL,X,X,O,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,O
TJSOLZI,X,X,O,X,X,X,X,X
TJSOZIL,X,X,O,X,X,X,X,X
TJSOZLI,X,X,O,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X
TJOILSZ,X,X,O,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,X,X,X,X
TJOLSZI,X,X,O,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X
TJOSIZL,X,X,O,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X,X,X
TJOSZIL,X,X,O,X,X,X,X,X
TJOSZLI,X,X,O,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,O
TSILZJO,O,O,O,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,X,O
TSILOZJ,O,O,X,X,X,X,X,X
TSIJLZO,X,X,O,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,O
TSIJZLO,X,X,O,X,X,X,X,X
TSIJZOL,X,X,O,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,O
TSIJOZL,X,X,O,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,X,X,O
TSIOLZJ,O,O,O,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,X,X,O
TSIOJZL,X,X,O,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X
TSLIJZO,X,X,O,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,O
TSLIZJO,O,O,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X,X,O
TSLIOZJ,O,O,X,X,X,X,X,X
TSLJIZO,X,X,O,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,X,O
TSLJZIO,X,X,O,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,X,O
TSLJOZI,X,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X,X,O
TSLOIZJ,O,O,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X,X,O
TSLOJZI,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X
TSJILZO,X,X,O,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X,X,O
TSJIZLO,X,X,O,X,X,X,X,X
TSJIZOL,X,X,O,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,X,O
TSJIOZL,X,X,O,X,X,X,X,X
TSJLIZO,X,X,O,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X,X,O
TSJLZIO,X,X,O,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X,X,O
TSJLOZI,X,X,X,X,X,X,X,X
TSJZILO,X,X,O,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X,X,X
TSJZLIO,X,X,O,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,X,X
TSJZOLI,X,X,O,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X,X,O
TSJOIZL,X,X,O,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,X,X,O
TSJOLZI,X,X,O,X,X,X,X,X
TSJOZIL,X,X,O,X,X,X,X,X
TSJOZLI,X,X,O,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X,X
TSZJOIL,O,O,O,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,X,X,O,X,X,X,X,O
TSOILZJ,O,O,O,X,X,X,X,X
TSOIJLZ,X,X,O,X,X,X,X,O
TSOIJZL,X,X,O,X,X,X,X,X
