sequence,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFUdBxlBlnBa?oBmrBTrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR8IvhFajBTgB/mB0?nBFnB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBZjB6nBF?mB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBimB3?nBmnB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFXdBZjBTgBO?rBCsBcsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeyBJvhF+iBZjBTgBF?hBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBliB3?mBysB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdBlhBaoBT?nB0rBmqB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3cBajBTiBF?mBRsB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdB0hBmlBz?nBinB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFZjBTgBcmB6?nB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR9IvhF2lBiiBfsBz?nBFmBUrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFidBziBxlB2?sBcmB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Jez7IvhFRdB2lBVnBa?oBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3dBynBFmBR?sBTrBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoBFmBX?nBTrBisB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoB3iBF?mBzrBirB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBmiB3iBF?mBRsBywB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBynBFmBz?nB3rBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF2hBzdBFmBR?sBisB3rB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFRdB2nBFmB/?mBznBywB
IOLJSTZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLJZTS,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLZTJS,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJSLZT,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOJZLTS,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,O,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X
IOZTLSJ,X,X,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOZTJLS,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X
IOZTJSL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
IOZTSLJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZLTJS,X,O,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IOZJTSL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IOZJLTS,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISZJO,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISZOJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZIO,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJZISO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTJZIOS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJZSIO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTJZSOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIZJO,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSJIZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZIOJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZJOI,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZOIJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOJZI,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZIJOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZISJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZJIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZJSIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZJSOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZSIJO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZSJOI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZSOIJ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZOJSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZOSIJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZIJS,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJIS,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJOZS,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSJZO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSZJO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LITSZOJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITZJSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZSJO,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZSOJ,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LITOJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOJZS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOSJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTOZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJSTZO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LIJSZOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTSO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LIJZTOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
LIJZSTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJZSOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJZOTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOSTZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOSZT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJOZTS,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJOZST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
