sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
TLJZOIS,O,X,X,X,X,O,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,O,O,O,X,X
TLJOIZS,O,X,X,X,X,O,O,X,O,X,X
TLJOSIZ,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,X,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,X,X,X,X,O,X,O,X,X,X
TLSIZJO,X,O,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,O,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,X,X,X,O,X,O,X,X,X
TLSJZIO,O,X,X,X,X,O,X,O,X,X,X
TLSJZOI,O,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,O,X,X,X,X,X
TLSJOZI,O,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,X,O,X,X,X
TLSZIOJ,O,O,X,O,X,O,X,X,X,X,X
TLSZJIO,O,O,X,O,X,O,X,O,X,X,X
TLSZJOI,O,O,X,O,X,O,X,X,X,X,X
TLSZOIJ,O,O,X,O,X,O,X,X,X,X,X
TLSZOJI,O,O,X,O,X,O,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,O,X,X,X,X,X
TLSOIZJ,X,O,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,O,X,X,X,X,X
TLSOJZI,O,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,X,O,X,O,X,X,X,X,X
TLSOZJI,O,O,X,O,X,O,X,X,X,X,X
TLZIJSO,O,X,X,X,X,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X,X,X
TLZISJO,O,X,X,X,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,O,X,X,X,X,X
TLZIOJS,O,X,X,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,O,X,X,X,X,X
TLZJIOS,O,X,X,X,X,O,X,X,X,X,X
TLZJSIO,O,O,X,O,X,O,X,X,X,X,X
TLZJSOI,O,O,X,O,X,O,X,X,X,X,X
TLZJOIS,O,X,X,X,X,O,X,X,X,X,X
TLZJOSI,X,O,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,X,O,X,O,X,X,X,X,X
TLZSIOJ,O,O,X,O,X,O,X,X,X,X,X
