sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TLJISOZ,X,X,O,X,O,X,X
TLJIZSO,X,X,O,O,X,X,X
TLJIZOS,X,X,O,O,O,X,X
TLJIOSZ,X,X,X,X,O,X,X
TLJIOZS,X,X,O,O,O,X,X
TLJSIZO,X,X,O,X,X,X,X
TLJSIOZ,X,X,O,X,O,X,X
TLJSZIO,X,X,O,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X
TLJSOIZ,X,X,O,X,O,X,X
TLJSOZI,X,X,O,X,X,X,X
TLJZISO,X,X,O,O,X,X,X
TLJZIOS,X,X,O,O,O,X,X
TLJZSIO,X,X,O,O,X,X,X
TLJZSOI,X,X,O,O,X,X,X
TLJZOIS,X,X,O,O,O,X,X
TLJZOSI,X,X,O,O,X,X,X
TLJOISZ,X,X,X,X,O,X,X
TLJOIZS,X,X,O,O,O,X,X
TLJOSIZ,X,X,X,X,O,X,X
TLJOSZI,X,X,X,X,X,X,X
TLJOZIS,X,X,O,O,O,X,X
TLJOZSI,X,X,O,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X
TLSIJOZ,O,O,O,X,O,X,O
TLSIZJO,O,O,O,O,X,X,X
