sequence,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFGeBlgB?UiBaoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFCeBlgB?UiBOoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeG8IvhF6iBTeB?lgBZnBXmB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?zlBFnB8sBmrB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFSiBTeB?lgBXmBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?lhBzlBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeWCJvhFcjBlgB?xmBzlBinB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeZCJvhFGeBlgB?cmBziBCmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFcjBlgB?GiBXmBKsBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFqiBTeB?lgBXmB2sBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmB8sBasB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR9IvhFSjBlgB?3hBOsB8sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JelAJvhFcmBxiB?XjB2sBCmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?XjBKsBzqB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?0iBKsBzqBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?XjBKsB0sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgBOnB?0iBCmBFmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmBysBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?0iBKsBXtBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgB0iB?ulBimBFnB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeF8IvhFxdB6lB?cmBXjB2sBTsB
IJLSOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IJLZTSO,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O
IJLZTOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLZSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLZOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLOTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLOZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJSTLZO,O,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IJSTLOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IJSTZOL,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IJSTOLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJSLTOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSLZTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSLZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
IJSLOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IJSZTLO,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IJSZTOL,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IJSZLTO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IJSZLOT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IJSZOTL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
IJSZOLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IJSOTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IJSOZTL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
IJSOZLT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IJZTLSO,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IJZTLOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZTSLO,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IJZTSOL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IJZTOLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLTOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLSTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IJZSTOL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IJZSLTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZSLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZSOLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZSL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLZTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOLZST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOSTLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOSTZL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOSLTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOSLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IJOZTLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOZLTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ISTLJOZ,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ISTLZJO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ISTLZOJ,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ISTLOJZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTLOZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,O,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTJZLO,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ISTJZOL,O,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTJOZL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTZLJO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ISTZLOJ,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ISTZJLO,O,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
ISTZJOL,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ISTZOLJ,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ISTZOJL,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ISTOLJZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTOLZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISTOJZL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTOZLJ,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ISTOZJL,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISLTJZO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLTZJO,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ISLTZOJ,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ISLTOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLTOZJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ISLJTOZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLJZTO,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISLJZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ISLJOTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISLZTJO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISLZTOJ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ISLZJTO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISLZJOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ISLZOTJ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ISLZOJT,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISLOTJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLOTZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLOJZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISLOZTJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ISLOZJT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISJTLZO,O,O,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
ISJTLOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
ISJTZOL,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISJTOLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJTOZL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLTZO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJLTOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJLZTO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJLZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ISJLOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJLOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISJZTLO,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O
ISJZTOL,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
ISJZLTO,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISJZLOT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISJZOTL,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
ISJZOLT,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ISJOTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJOTZL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ISJOZTL,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O
ISJOZLT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISZTLJO,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O
ISZTLOJ,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ISZTJLO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O
ISZTJOL,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ISZTOLJ,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ISZTOJL,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O
ISZLTJO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ISZLTOJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ISZLJTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISZLJOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ISZLOTJ,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZLOJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISZJTLO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ISZJTOL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ISZJLTO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZJLOT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,O
ISZJOLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISZOTLJ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ISZOTJL,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ISZOLTJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOLJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISZOJTL,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ISZOJLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISOTLJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOTLZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOTJZL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOTZLJ,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISOTZJL,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISOLTJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOLTZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOLZTJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ISOLZJT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISOJTLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJZTL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISOJZLT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISOZTLJ,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ISOZTJL,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ISOZLTJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZLJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISOZJTL,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ISOZJLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IZTLJSO,X,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTLJOS,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
IZTJLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJSLO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IZTJSOL,X,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IZTJOLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IZTSLOJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTSJLO,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTSJOL,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTSOLJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTSOJL,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTOLJS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLTJSO,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLTJOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTOSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLJOST,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSTJO,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IZLSOTJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOJT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IZLOTJS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOTSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOJST,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOSTJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
