sequence,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbByhB3iBcoBGo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBfiBxdBSoBUo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dBOsBXtB6t?BlrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbB5jBUiBaoBfs?BlsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbBldBcjBXnBSt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBRdBcjBXnBSt?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dB6jBXnBVt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBUdB5jBlnBao?BfsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBxdBSoBVsBUo?BfsB
TZIOJSL,O,X,X,X,X,X,X,O,X
TZIOSLJ,O,X,X,X,X,X,O,O,X
TZIOSJL,O,X,X,X,X,X,X,O,X
TZLIJSO,X,X,X,X,X,X,X,X,O
TZLIJOS,X,X,X,O,X,X,O,X,O
TZLISJO,O,X,X,X,X,X,X,X,O
TZLISOJ,O,X,X,X,X,X,O,X,O
TZLIOJS,X,X,X,O,X,X,O,X,O
TZLIOSJ,O,X,X,X,X,X,O,X,O
TZLJISO,X,X,X,X,X,X,X,X,O
TZLJIOS,X,X,X,O,X,X,O,X,O
TZLJSIO,X,O,X,X,X,X,X,X,O
TZLJSOI,X,O,X,X,X,X,X,X,O
TZLJOIS,X,X,X,O,X,X,O,X,O
TZLJOSI,X,O,X,X,X,X,X,X,O
TZLSIJO,O,O,X,X,X,X,O,X,O
TZLSIOJ,O,O,X,X,X,X,O,X,O
TZLSJIO,O,O,X,X,X,X,O,X,O
TZLSJOI,O,O,X,X,X,X,O,X,O
TZLSOIJ,O,O,X,X,X,X,O,X,O
TZLSOJI,O,O,X,X,X,X,O,X,O
TZLOIJS,X,X,X,O,X,X,O,X,O
TZLOISJ,O,X,X,X,X,X,O,X,O
TZLOJIS,X,X,X,O,X,X,O,X,O
TZLOJSI,X,O,X,X,X,X,X,X,O
TZLOSIJ,O,O,X,X,X,X,O,X,O
TZLOSJI,O,O,X,X,X,X,O,X,O
TZJILSO,X,X,X,X,X,X,X,O,X
TZJILOS,X,X,X,O,X,X,O,O,X
TZJISLO,O,X,X,X,X,X,X,O,X
TZJISOL,O,X,X,X,X,X,X,O,X
TZJIOLS,X,X,X,O,X,X,O,O,X
TZJIOSL,O,X,X,X,X,X,X,O,X
TZJLISO,X,X,X,X,X,X,X,X,O
TZJLIOS,X,X,X,O,X,X,O,X,O
TZJLSIO,X,O,X,X,X,X,X,X,O
TZJLSOI,X,O,X,X,X,X,X,X,O
TZJLOIS,X,X,X,O,X,X,O,X,O
TZJLOSI,X,O,X,X,X,X,X,X,O
TZJSILO,O,X,X,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X,X
TZJOILS,X,X,X,O,X,X,O,O,X
TZJOISL,O,X,X,X,X,X,X,O,X
TZJOLIS,X,X,X,O,X,X,O,X,O
TZJOLSI,X,O,X,X,X,X,X,X,O
TZJOSIL,O,O,X,X,X,X,X,X,X
TZJOSLI,O,O,X,X,X,X,X,X,X
TZSILJO,O,X,X,X,X,X,O,X,X
TZSILOJ,O,X,X,X,X,X,O,X,X
TZSIJLO,O,X,X,X,X,X,O,X,X
TZSIJOL,O,O,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,X,X,X,O,X,X
TZSIOJL,O,O,X,X,X,X,O,X,X
TZSLIJO,O,O,X,X,X,X,O,X,X
TZSLIOJ,O,O,X,X,X,X,O,X,X
TZSLJIO,O,O,X,X,X,X,O,X,X
TZSLJOI,O,O,X,X,X,X,O,X,X
TZSLOIJ,O,O,X,X,X,X,O,X,X
TZSLOJI,O,O,X,X,X,X,O,X,X
TZSJILO,O,X,X,X,X,X,O,X,X
TZSJIOL,O,O,X,X,X,X,O,X,X
TZSJLIO,O,O,X,X,X,X,O,X,X
TZSJLOI,O,O,X,X,X,X,O,X,X
TZSJOIL,O,O,X,X,X,X,O,X,X
TZSJOLI,O,O,X,X,X,X,O,X,X
TZSOILJ,O,X,X,X,X,X,O,X,X
TZSOIJL,O,O,X,X,X,X,O,X,X
TZSOLIJ,O,O,X,X,X,X,O,X,X
TZSOLJI,O,O,X,X,X,X,O,X,X
TZSOJIL,O,O,X,X,X,X,O,X,X
TZSOJLI,O,O,X,X,X,X,O,X,X
TZOILJS,X,X,X,O,X,X,O,O,X
TZOILSJ,O,X,X,X,X,X,O,O,X
TZOIJLS,X,X,X,O,X,X,O,O,X
TZOIJSL,O,X,X,X,X,X,X,O,X
TZOISLJ,O,X,X,X,X,X,O,O,X
TZOISJL,O,X,X,X,X,X,X,O,X
TZOLIJS,X,X,X,O,X,X,O,X,O
TZOLISJ,O,X,X,X,X,X,O,X,O
TZOLJIS,X,X,X,O,X,X,O,X,O
TZOLJSI,X,O,X,X,X,X,X,X,O
TZOLSIJ,O,O,X,X,X,X,O,X,O
TZOLSJI,O,O,X,X,X,X,O,X,O
TZOJILS,X,X,X,O,X,X,O,O,X
TZOJISL,O,X,X,X,X,X,X,O,X
TZOJLIS,X,X,X,O,X,X,O,X,O
TZOJLSI,X,O,X,X,X,X,X,X,O
TZOJSIL,O,O,X,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X,X
TZOSILJ,O,X,X,X,X,X,O,X,X
TZOSIJL,O,O,X,X,X,X,O,X,X
TZOSLIJ,O,O,X,X,X,X,O,X,X
TZOSLJI,O,O,X,X,X,X,O,X,X
TZOSJIL,O,O,X,X,X,X,O,X,X
TZOSJLI,O,O,X,X,X,X,O,X,X
TOILJSZ,X,O,X,X,X,X,X,O,X
TOILJZS,X,X,X,O,X,X,O,O,O
TOILSJZ,X,O,X,X,X,X,O,O,X
TOILSZJ,X,O,X,X,X,X,O,O,X
TOILZJS,X,X,X,O,O,X,O,O,O
TOILZSJ,O,X,X,X,O,X,O,O,O
TOIJLSZ,X,O,X,X,X,X,X,O,X
TOIJLZS,X,X,X,O,X,X,O,O,O
TOIJSLZ,X,O,O,X,X,X,X,O,X
TOIJSZL,X,O,O,X,X,X,X,O,X
TOIJZLS,X,X,X,O,X,X,O,O,X
TOIJZSL,O,X,X,X,X,X,X,O,X
TOISLJZ,X,O,X,X,X,X,O,O,X
TOISLZJ,X,O,X,X,O,X,O,O,X
TOISJLZ,X,O,O,X,X,X,O,O,X
TOISJZL,X,O,O,X,X,X,O,O,X
TOISZLJ,O,X,X,X,X,X,O,O,X
TOISZJL,O,O,X,X,X,X,O,O,X
TOIZLJS,X,X,X,O,X,X,O,O,X
TOIZLSJ,O,X,X,X,X,X,O,O,X
TOIZJLS,X,X,X,O,X,X,O,O,X
TOIZJSL,O,X,X,X,X,X,X,O,X
TOIZSLJ,O,X,X,X,X,X,O,O,X
TOIZSJL,O,X,X,X,X,X,X,O,X
TOLIJSZ,X,O,X,X,X,X,X,O,X
TOLIJZS,X,X,X,O,X,X,O,O,O
TOLISJZ,X,O,X,X,X,X,O,O,X
TOLISZJ,X,O,X,X,X,X,O,O,X
TOLIZJS,X,X,X,O,O,X,O,O,O
TOLIZSJ,O,X,X,X,O,X,O,O,O
TOLJISZ,X,O,X,X,X,X,X,O,X
TOLJIZS,X,X,X,O,X,X,O,O,O
TOLJSIZ,X,O,X,X,X,X,O,X,X
TOLJSZI,X,O,X,X,X,O,O,X,O
TOLJZIS,X,X,X,O,X,O,O,X,O
TOLJZSI,X,O,X,X,X,O,X,X,O
TOLSIJZ,X,O,X,X,X,X,O,X,X
TOLSIZJ,X,O,X,X,O,X,O,X,X
TOLSJIZ,X,O,X,X,X,X,O,X,X
TOLSJZI,X,O,X,X,X,O,O,X,O
TOLSZIJ,X,O,X,X,O,O,O,X,O
TOLSZJI,X,O,X,X,O,O,O,X,O
TOLZIJS,X,X,X,O,O,O,O,X,O
TOLZISJ,O,X,X,X,O,X,O,X,O
TOLZJIS,X,X,X,O,O,O,O,X,O
TOLZJSI,X,O,X,X,X,O,X,X,O
TOLZSIJ,O,O,X,X,O,O,O,X,O
TOLZSJI,O,O,X,X,O,O,O,X,O
TOJILSZ,X,O,X,X,X,X,X,O,X
TOJILZS,X,X,X,O,X,X,O,O,O
TOJISLZ,X,O,O,X,X,X,X,O,X
TOJISZL,X,O,O,X,X,X,X,O,X
TOJIZLS,X,X,X,O,X,X,O,O,X
TOJIZSL,O,X,X,X,X,X,X,O,X
TOJLISZ,X,O,X,X,X,X,X,O,X
TOJLIZS,X,X,X,O,X,X,O,O,O
TOJLSIZ,X,O,X,X,X,X,O,X,X
TOJLSZI,X,O,X,X,X,O,O,X,O
TOJLZIS,X,X,X,O,X,O,O,X,O
TOJLZSI,X,O,X,X,X,O,X,X,O
TOJSILZ,X,O,O,X,X,X,O,O,X
TOJSIZL,X,O,O,X,X,X,O,O,X
TOJSLIZ,X,O,O,X,X,X,O,X,X
TOJSLZI,X,O,O,X,X,O,O,X,O
TOJSZIL,X,O,O,X,X,X,O,X,X
TOJSZLI,X,O,O,X,X,X,O,X,X
TOJZILS,X,X,X,O,X,X,O,O,X
TOJZISL,O,X,X,X,X,X,X,O,X
TOJZLIS,X,X,X,O,X,X,O,X,O
TOJZLSI,X,O,X,X,X,X,X,X,O
TOJZSIL,O,O,X,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X,X
TOSILJZ,X,O,X,X,X,X,O,O,X
TOSILZJ,X,O,X,X,O,X,O,O,X
TOSIJLZ,X,O,O,X,X,X,O,O,X
TOSIJZL,X,O,O,X,X,X,O,O,X
TOSIZLJ,O,X,X,X,X,X,O,O,X
TOSIZJL,O,O,X,X,X,X,O,O,X
TOSLIJZ,X,O,X,X,X,X,O,X,X
TOSLIZJ,X,O,X,X,O,X,O,X,X
TOSLJIZ,X,O,X,X,X,X,O,X,X
TOSLJZI,X,O,X,X,X,O,O,X,O
TOSLZIJ,X,O,X,X,O,O,O,X,O
TOSLZJI,X,O,X,X,O,O,O,X,O
TOSJILZ,X,O,O,X,X,X,O,O,X
TOSJIZL,X,O,O,X,X,X,O,O,X
TOSJLIZ,X,O,O,X,X,X,O,X,X
TOSJLZI,X,O,O,X,X,O,O,X,O
TOSJZIL,X,O,O,X,X,X,O,X,X
TOSJZLI,X,O,O,X,X,X,O,X,X
TOSZILJ,O,X,X,X,X,X,O,X,X
TOSZIJL,O,O,X,X,X,X,O,X,X
TOSZLIJ,O,O,X,X,X,X,O,X,X
TOSZLJI,O,O,X,X,X,X,O,X,X
TOSZJIL,O,O,X,X,X,X,O,X,X
TOSZJLI,O,O,X,X,X,X,O,X,X
TOZILJS,X,X,X,O,X,X,O,O,X
TOZILSJ,O,X,X,X,X,X,O,O,X
TOZIJLS,X,X,X,O,X,X,O,O,X
TOZIJSL,O,X,X,X,X,X,X,O,X
TOZISLJ,O,X,X,X,X,X,O,O,X
TOZISJL,O,X,X,X,X,X,X,O,X
TOZLIJS,X,X,X,O,X,X,O,X,O
TOZLISJ,O,X,X,X,X,X,O,X,O
TOZLJIS,X,X,X,O,X,X,O,X,O
TOZLJSI,X,O,X,X,X,X,X,X,O
TOZLSIJ,O,O,X,X,X,X,O,X,O
TOZLSJI,O,O,X,X,X,X,O,X,O
TOZJILS,X,X,X,O,X,X,O,O,X
TOZJISL,O,X,X,X,X,X,X,O,X
TOZJLIS,X,X,X,O,X,X,O,X,O
TOZJLSI,X,O,X,X,X,X,X,X,O
TOZJSIL,O,O,X,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X,X
TOZSILJ,O,X,X,X,X,X,O,X,X
TOZSIJL,O,O,X,X,X,X,O,X,X
TOZSLIJ,O,O,X,X,X,X,O,X,X
TOZSLJI,O,O,X,X,X,X,O,X,X
TOZSJIL,O,O,X,X,X,X,O,X,X
TOZSJLI,O,O,X,X,X,X,O,X,X
ITLJSZO,X,O,X,X,X,X,X,O,X
ITLJSOZ,X,O,X,X,X,X,X,O,X
ITLJZSO,X,X,X,X,X,X,X,O,O
ITLJZOS,X,X,X,O,X,X,O,O,O
ITLJOSZ,X,O,X,X,X,X,X,O,X
ITLJOZS,X,X,X,O,X,X,O,O,O
ITLSJZO,X,O,X,X,X,X,O,O,X
ITLSJOZ,X,O,X,X,X,X,O,O,X
ITLSZJO,X,O,X,X,X,X,O,O,X
ITLSZOJ,X,O,X,X,X,X,O,O,X
ITLSOJZ,X,O,X,X,X,X,O,O,X
ITLSOZJ,X,O,X,X,X,X,O,O,X
ITLZJSO,X,X,X,X,X,X,X,O,O
ITLZJOS,X,X,X,O,O,X,O,O,O
ITLZSJO,O,X,X,X,O,X,X,O,O
ITLZSOJ,O,X,X,X,O,X,O,O,O
ITLZOJS,X,X,X,O,O,X,O,O,O
ITLZOSJ,O,X,X,X,O,X,O,O,O
ITLOJSZ,X,O,X,X,X,X,X,O,X
ITLOJZS,X,X,X,O,X,X,O,O,O
ITLOSJZ,X,O,X,X,X,X,O,O,X
ITLOSZJ,X,O,X,X,X,X,O,O,X
ITLOZJS,X,X,X,O,O,X,O,O,O
ITLOZSJ,O,X,X,X,O,X,O,O,O
ITJLSZO,X,O,X,X,X,X,X,O,X
ITJLSOZ,X,O,X,X,X,X,X,O,X
ITJLZSO,X,X,X,X,X,X,X,O,O
ITJLZOS,X,X,X,O,X,X,O,O,O
ITJLOSZ,X,O,X,X,X,X,X,O,X
ITJLOZS,X,X,X,O,X,X,O,O,O
ITJSLZO,X,O,O,X,X,X,X,O,X
ITJSLOZ,X,O,O,X,X,X,X,O,X
ITJSZLO,X,X,O,X,X,X,X,O,X
ITJSZOL,X,O,O,X,X,X,X,O,X
ITJSOLZ,X,O,O,X,X,X,X,O,X
ITJSOZL,X,O,O,X,X,X,X,O,X
ITJZLSO,X,X,X,X,X,X,X,O,X
ITJZLOS,X,X,X,O,X,X,O,O,X
ITJZSLO,O,X,X,X,X,X,X,O,X
ITJZSOL,O,X,X,X,X,X,X,O,X
ITJZOLS,X,X,X,O,X,X,O,O,X
ITJZOSL,O,X,X,X,X,X,X,O,X
ITJOLSZ,X,O,X,X,X,X,X,O,X
ITJOLZS,X,X,X,O,X,X,O,O,O
ITJOSLZ,X,O,O,X,X,X,X,O,X
ITJOSZL,X,O,O,X,X,X,X,O,X
ITJOZLS,X,X,X,O,X,X,O,O,X
ITJOZSL,O,X,X,X,X,X,X,O,X
ITSLJZO,X,O,X,X,X,X,O,O,X
ITSLJOZ,X,O,X,X,X,X,O,O,X
ITSLZJO,X,O,X,X,O,X,O,O,X
ITSLZOJ,X,O,X,X,O,X,O,O,X
ITSLOJZ,X,O,X,X,X,X,O,O,X
ITSLOZJ,X,O,X,X,O,X,O,O,X
ITSJLZO,X,O,O,X,X,X,O,O,X
ITSJLOZ,X,O,O,X,X,X,O,O,X
ITSJZLO,X,X,O,X,X,X,O,O,X
ITSJZOL,X,O,O,X,X,X,O,O,X
ITSJOLZ,X,O,O,X,X,X,O,O,X
ITSJOZL,X,O,O,X,X,X,O,O,X
ITSZLJO,O,X,X,X,X,X,O,O,X
ITSZLOJ,O,X,X,X,X,X,O,O,X
ITSZJLO,O,X,X,X,X,X,O,O,X
ITSZJOL,O,O,X,X,X,X,O,O,X
ITSZOLJ,O,X,X,X,X,X,O,O,X
ITSZOJL,O,O,X,X,X,X,O,O,X
ITSOLJZ,X,O,X,X,X,X,O,O,X
ITSOLZJ,X,O,X,X,O,X,O,O,X
ITSOJLZ,X,O,O,X,X,X,O,O,X
ITSOJZL,X,O,O,X,X,X,O,O,X
ITSOZLJ,O,X,X,X,X,X,O,O,X
ITSOZJL,O,O,X,X,X,X,O,O,X
ITZLJSO,X,X,X,X,X,X,X,O,X
ITZLJOS,X,X,X,O,X,X,O,O,X
ITZLSJO,O,X,X,X,X,X,X,O,X
ITZLSOJ,O,X,X,X,X,X,O,O,X
ITZLOJS,X,X,X,O,X,X,O,O,X
ITZLOSJ,O,X,X,X,X,X,O,O,X
ITZJLSO,X,X,X,X,X,X,X,O,X
ITZJLOS,X,X,X,O,X,X,O,O,X
ITZJSLO,O,X,X,X,X,X,X,O,X
ITZJSOL,O,X,X,X,X,X,X,O,X
ITZJOLS,X,X,X,O,X,X,O,O,X
ITZJOSL,O,X,X,X,X,X,X,O,X
ITZSLJO,O,X,X,X,X,X,X,O,X
ITZSLOJ,O,X,X,X,X,X,O,O,X
ITZSJLO,O,X,X,X,X,X,X,O,X
ITZSJOL,O,X,X,X,X,X,X,O,X
ITZSOLJ,O,X,X,X,X,X,O,O,X
ITZSOJL,O,X,X,X,X,X,X,O,X
ITZOLJS,X,X,X,O,X,X,O,O,X
ITZOLSJ,O,X,X,X,X,X,O,O,X
ITZOJLS,X,X,X,O,X,X,O,O,X
ITZOJSL,O,X,X,X,X,X,X,O,X
ITZOSLJ,O,X,X,X,X,X,O,O,X
ITZOSJL,O,X,X,X,X,X,X,O,X
ITOLJSZ,X,O,X,X,X,X,X,O,X
ITOLJZS,X,X,X,O,X,X,O,O,O
ITOLSJZ,X,O,X,X,X,X,O,O,X
ITOLSZJ,X,O,X,X,X,X,O,O,X
ITOLZJS,X,X,X,O,O,X,O,O,O
ITOLZSJ,O,X,X,X,O,X,O,O,O
ITOJLSZ,X,O,X,X,X,X,X,O,X
ITOJLZS,X,X,X,O,X,X,O,O,O
ITOJSLZ,X,O,O,X,X,X,X,O,X
ITOJSZL,X,O,O,X,X,X,X,O,X
ITOJZLS,X,X,X,O,X,X,O,O,X
ITOJZSL,O,X,X,X,X,X,X,O,X
ITOSLJZ,X,O,X,X,X,X,O,O,X
ITOSLZJ,X,O,X,X,O,X,O,O,X
ITOSJLZ,X,O,O,X,X,X,O,O,X
ITOSJZL,X,O,O,X,X,X,O,O,X
ITOSZLJ,O,X,X,X,X,X,O,O,X
ITOSZJL,O,O,X,X,X,X,O,O,X
ITOZLJS,X,X,X,O,X,X,O,O,X
ITOZLSJ,O,X,X,X,X,X,O,O,X
ITOZJLS,X,X,X,O,X,X,O,O,X
ITOZJSL,O,X,X,X,X,X,X,O,X
ITOZSLJ,O,X,X,X,X,X,O,O,X
ITOZSJL,O,X,X,X,X,X,X,O,X
ILTJSZO,X,X,X,X,X,X,X,O,X
ILTJSOZ,X,X,X,X,X,X,X,O,X
ILTJZSO,X,X,X,X,X,X,X,O,X
ILTJZOS,X,X,X,O,X,X,O,O,X
ILTJOSZ,X,X,X,X,X,X,X,O,X
ILTJOZS,X,X,X,O,X,X,O,O,X
ILTSJZO,X,X,X,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,X,X,X,O,X
ILTSZJO,X,X,X,X,X,X,X,O,X
ILTSZOJ,X,X,X,X,X,X,O,O,X
ILTSOJZ,X,X,X,X,X,X,X,O,X
ILTSOZJ,X,X,X,X,X,X,O,O,X
ILTZJSO,X,X,X,X,X,X,X,O,X
ILTZJOS,X,X,X,O,O,X,O,O,X
ILTZSJO,O,X,X,X,O,X,X,O,X
ILTZSOJ,O,X,X,X,O,X,O,O,X
ILTZOJS,X,X,X,O,O,X,O,O,X
ILTZOSJ,O,X,X,X,O,X,O,O,X
ILTOJSZ,X,X,X,X,X,X,X,O,X
ILTOJZS,X,X,X,O,X,X,O,O,X
ILTOSJZ,X,X,X,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,X,X,O,O,X
ILTOZJS,X,X,X,O,O,X,O,O,X
ILTOZSJ,O,X,X,X,O,X,O,O,X
ILJTSZO,X,X,X,X,X,X,X,O,X
ILJTSOZ,X,X,X,X,X,X,X,O,X
ILJTZSO,X,X,X,X,X,X,X,O,X
ILJTZOS,X,X,X,O,X,X,X,O,X
ILJTOSZ,X,X,X,X,X,X,X,O,X
ILJTOZS,X,X,X,O,X,X,X,O,X
ILJSTZO,X,X,O,X,X,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X,X,X
ILJSZTO,X,X,O,X,X,O,X,X,X
ILJSZOT,X,X,O,O,X,O,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,X,X
ILJSOZT,X,X,O,O,X,O,X,X,X
ILJZTSO,X,X,X,X,X,X,X,X,X
ILJZTOS,X,X,X,O,O,O,X,X,X
ILJZSTO,X,X,X,X,O,O,X,X,X
ILJZSOT,X,X,X,O,O,O,X,X,X
ILJZOTS,X,X,X,O,O,O,X,X,X
ILJZOST,X,X,X,O,O,O,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,X
ILJOTZS,X,X,X,O,X,X,X,O,X
ILJOSTZ,X,X,O,X,X,X,X,X,X
ILJOSZT,X,X,O,O,X,O,X,X,X
ILJOZTS,X,X,X,O,O,O,X,X,X
ILJOZST,X,X,X,O,O,O,X,X,X
ILSTJZO,X,X,X,X,X,X,O,X,X
ILSTJOZ,X,X,X,X,X,X,O,X,X
ILSTZJO,X,X,X,X,O,X,O,X,X
ILSTZOJ,X,X,X,X,O,X,O,X,X
ILSTOJZ,X,X,X,X,X,X,O,X,X
ILSTOZJ,X,X,X,X,O,X,O,X,X
ILSJTZO,X,X,O,X,X,X,X,X,X
ILSJTOZ,X,X,O,X,X,X,X,X,X
ILSJZTO,X,X,O,X,O,O,X,X,X
ILSJZOT,X,X,O,O,O,O,X,X,X
ILSJOTZ,X,X,O,X,X,X,X,X,X
ILSJOZT,X,X,O,O,O,O,X,X,X
ILSZTJO,X,X,X,X,O,O,X,X,X
ILSZTOJ,X,X,X,X,O,O,X,X,X
ILSZJTO,X,X,X,X,O,O,X,X,X
ILSZJOT,X,X,X,O,O,O,X,X,X
ILSZOTJ,X,X,X,X,O,O,X,X,X
ILSZOJT,X,X,X,O,O,O,X,X,X
ILSOTJZ,X,X,X,X,X,X,O,X,X
ILSOTZJ,X,X,X,X,O,X,O,X,X
ILSOJTZ,X,X,O,X,X,X,X,X,X
ILSOJZT,X,X,O,O,O,O,X,X,X
ILSOZTJ,X,X,X,X,O,O,X,X,X
ILSOZJT,X,X,X,O,O,O,X,X,X
ILZTJSO,X,X,X,X,X,X,X,X,X
ILZTJOS,X,X,X,O,O,O,X,X,X
ILZTSJO,O,X,X,X,O,X,X,X,X
ILZTSOJ,O,X,X,X,O,X,X,X,X
ILZTOJS,X,X,X,O,O,O,X,X,X
ILZTOSJ,O,X,X,X,O,X,X,X,X
ILZJTSO,X,X,X,X,X,X,X,X,X
ILZJTOS,X,X,X,O,O,O,X,X,X
ILZJSTO,X,X,X,X,O,O,X,X,X
ILZJSOT,X,X,X,O,O,O,X,X,X
ILZJOTS,X,X,X,O,O,O,X,X,X
ILZJOST,X,X,X,O,O,O,X,X,X
ILZSTJO,X,X,X,X,O,O,X,X,X
ILZSTOJ,O,X,X,X,O,O,X,X,X
ILZSJTO,X,X,X,X,O,O,X,X,X
ILZSJOT,O,X,X,O,O,O,X,X,X
ILZSOTJ,O,X,X,X,O,O,X,X,X
ILZSOJT,O,X,X,O,O,O,X,X,X
ILZOTJS,X,X,X,O,O,O,X,X,X
ILZOTSJ,O,X,X,X,O,X,X,X,X
ILZOJTS,X,X,X,O,O,O,X,X,X
ILZOJST,X,X,X,O,O,O,X,X,X
ILZOSTJ,O,X,X,X,O,O,X,X,X
ILZOSJT,O,X,X,O,O,O,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,O,X
ILOTJZS,X,X,X,O,X,X,O,O,X
ILOTSJZ,X,X,X,X,X,X,X,O,X
ILOTSZJ,X,X,X,X,X,X,O,O,X
ILOTZJS,X,X,X,O,O,X,O,O,X
ILOTZSJ,O,X,X,X,O,X,O,O,X
ILOJTSZ,X,X,X,X,X,X,X,O,X
ILOJTZS,X,X,X,O,X,X,X,O,X
ILOJSTZ,X,X,O,X,X,X,X,X,X
ILOJSZT,X,X,O,O,X,O,X,X,X
ILOJZTS,X,X,X,O,O,O,X,X,X
ILOJZST,X,X,X,O,O,O,X,X,X
ILOSTJZ,X,X,X,X,X,X,O,X,X
ILOSTZJ,X,X,X,X,O,X,O,X,X
ILOSJTZ,X,X,O,X,X,X,X,X,X
ILOSJZT,X,X,O,O,O,O,X,X,X
ILOSZTJ,X,X,X,X,O,O,X,X,X
ILOSZJT,X,X,X,O,O,O,X,X,X
ILOZTJS,X,X,X,O,O,O,X,X,X
ILOZTSJ,O,X,X,X,O,X,X,X,X
ILOZJTS,X,X,X,O,O,O,X,X,X
ILOZJST,X,X,X,O,O,O,X,X,X
ILOZSTJ,O,X,X,X,O,O,X,X,X
ILOZSJT,O,X,X,O,O,O,X,X,X
IJTLSZO,X,O,X,X,X,X,X,O,X
IJTLSOZ,X,O,X,X,X,X,X,O,X
IJTLZSO,X,X,X,X,X,X,X,O,O
IJTLZOS,X,X,X,O,X,X,O,O,O
IJTLOSZ,X,O,X,X,X,X,X,O,X
IJTLOZS,X,X,X,O,X,X,O,O,O
IJTSLZO,X,O,O,X,X,X,X,O,X
IJTSLOZ,X,O,O,X,X,X,X,O,X
IJTSZLO,X,X,O,X,X,X,X,O,X
IJTSZOL,X,O,O,X,X,X,X,O,X
IJTSOLZ,X,O,O,X,X,X,X,O,X
IJTSOZL,X,O,O,X,X,X,X,O,X
IJTZLSO,X,X,X,X,X,X,X,O,X
IJTZLOS,X,X,X,O,X,X,O,O,X
IJTZSLO,O,X,X,X,X,X,X,O,X
IJTZSOL,O,X,X,X,X,X,X,O,X
IJTZOLS,X,X,X,O,X,X,O,O,X
IJTZOSL,O,X,X,X,X,X,X,O,X
IJTOLSZ,X,O,X,X,X,X,X,O,X
IJTOLZS,X,X,X,O,X,X,O,O,O
IJTOSLZ,X,O,O,X,X,X,X,O,X
IJTOSZL,X,O,O,X,X,X,X,O,X
IJTOZLS,X,X,X,O,X,X,O,O,X
IJTOZSL,O,X,X,X,X,X,X,O,X
IJLTSZO,X,X,X,X,X,X,X,O,X
IJLTSOZ,X,X,X,X,X,X,X,O,X
IJLTZSO,X,X,X,X,X,X,X,O,X
IJLTZOS,X,X,X,O,X,X,X,O,X
IJLTOSZ,X,X,X,X,X,X,X,O,X
IJLTOZS,X,X,X,O,X,X,X,O,X
IJLSTZO,X,X,O,X,X,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X,X,X
IJLSZTO,X,X,O,X,X,O,X,X,X
IJLSZOT,X,X,O,O,X,O,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,X,X
IJLSOZT,X,X,O,O,X,O,X,X,X
IJLZTSO,X,X,X,X,X,X,X,X,X
IJLZTOS,X,X,X,O,O,O,X,X,X
IJLZSTO,X,X,X,X,O,O,X,X,X
IJLZSOT,X,X,X,O,O,O,X,X,X
IJLZOTS,X,X,X,O,O,O,X,X,X
IJLZOST,X,X,X,O,O,O,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,O,X
IJLOTZS,X,X,X,O,X,X,X,O,X
IJLOSTZ,X,X,O,X,X,X,X,X,X
IJLOSZT,X,X,O,O,X,O,X,X,X
IJLOZTS,X,X,X,O,O,O,X,X,X
IJLOZST,X,X,X,O,O,O,X,X,X
IJSTLZO,X,X,O,X,X,X,O,O,X
IJSTLOZ,X,X,O,X,X,X,O,O,X
IJSTZLO,X,X,O,X,X,X,O,O,X
IJSTZOL,X,X,O,X,X,X,O,O,X
IJSTOLZ,X,X,O,X,X,X,O,O,X
IJSTOZL,X,X,O,X,X,X,O,O,X
IJSLTZO,X,X,O,X,X,X,X,X,X
IJSLTOZ,X,X,O,X,X,X,X,X,X
IJSLZTO,X,X,O,X,O,O,X,X,X
