sequence,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBTeBCiB2rBln?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFmcBqiBTeBFhB3m?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcB8hBSjB2rBln?BzsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBcjBTmB6sBFn?BmsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFTeBFhB0iB3mBmm?BqsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFeiBCeBFhBXjBTm?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFcjBFhB6nB3mBmm?BzsB
TJZOILS,O,O,O,X,X,X,X
TJZOISL,O,X,O,X,O,O,X
TJZOLIS,O,O,O,X,X,X,X
TJZOLSI,O,O,O,X,X,X,X
TJZOSIL,O,X,O,X,O,O,X
TJZOSLI,O,X,O,X,O,O,X
TJOILSZ,O,O,X,X,X,X,X
TJOILZS,O,O,O,X,X,X,X
TJOISLZ,O,O,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X
TJOIZLS,O,O,O,X,X,X,X
TJOIZSL,O,X,O,X,O,X,X
TJOLISZ,O,O,X,X,X,X,X
TJOLIZS,O,O,O,X,X,X,X
TJOLSIZ,O,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X
TJOLZIS,O,O,O,X,X,X,X
TJOLZSI,O,X,O,X,X,X,X
TJOSILZ,O,O,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X
TJOZILS,O,O,O,X,X,X,X
TJOZISL,O,X,O,X,O,X,X
TJOZLIS,O,O,O,X,X,X,X
TJOZLSI,O,O,O,X,X,X,X
TJOZSIL,O,X,O,X,O,X,X
TJOZSLI,O,X,O,X,O,X,X
TSILJZO,X,O,O,X,X,X,O
TSILJOZ,X,O,X,X,X,X,X
TSILZJO,X,O,X,X,X,X,O
TSILZOJ,X,O,X,X,O,X,O
TSILOJZ,X,O,X,X,X,X,X
TSILOZJ,X,O,X,X,X,X,O
TSIJLZO,O,O,O,X,X,X,O
TSIJLOZ,O,O,X,X,X,X,X
TSIJZLO,O,O,O,X,X,X,O
TSIJZOL,O,O,O,X,O,X,X
TSIJOLZ,O,O,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X
TSIZLJO,X,O,X,X,X,O,O
TSIZLOJ,X,O,X,X,O,X,O
TSIZJLO,X,O,X,X,X,O,O
TSIZJOL,X,O,X,X,O,O,X
TSIZOLJ,X,O,X,O,O,X,O
TSIZOJL,X,O,X,X,O,O,X
TSIOLJZ,X,O,X,X,X,X,X
TSIOLZJ,X,O,X,O,X,X,O
TSIOJLZ,O,O,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X
TSIOZLJ,X,O,X,O,O,X,O
TSIOZJL,X,O,X,X,O,X,X
TSLIJZO,X,O,O,X,X,X,O
TSLIJOZ,X,O,X,X,X,X,X
TSLIZJO,X,O,X,X,X,X,O
TSLIZOJ,X,O,X,X,O,X,O
TSLIOJZ,X,O,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,X,O
TSLJIZO,X,O,O,X,X,X,O
TSLJIOZ,X,O,X,X,X,X,X
TSLJZIO,X,O,O,X,X,X,O
TSLJZOI,X,O,O,X,X,X,O
TSLJOIZ,X,O,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X
TSLZIJO,X,O,X,X,X,X,O
TSLZIOJ,X,O,X,X,O,X,O
TSLZJIO,X,O,X,X,X,X,O
TSLZJOI,X,O,X,X,X,X,O
TSLZOIJ,X,O,X,X,O,X,O
TSLZOJI,X,O,X,X,O,X,O
TSLOIJZ,X,O,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,X,O
TSLOJIZ,X,O,X,X,X,X,X
TSLOJZI,X,O,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,O
TSLOZJI,X,O,X,X,X,X,O
TSJILZO,O,O,O,X,X,X,O
TSJILOZ,O,O,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,O
TSJIZOL,O,O,O,X,O,X,X
TSJIOLZ,O,O,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X
TSJLIZO,O,O,O,X,X,X,O
TSJLIOZ,O,O,X,X,X,X,X
TSJLZIO,O,O,O,X,X,X,O
TSJLZOI,O,O,O,X,X,X,O
TSJLOIZ,O,O,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X
TSJZILO,O,O,O,X,X,X,O
TSJZIOL,O,O,O,X,O,X,X
TSJZLIO,O,O,O,X,X,X,O
TSJZLOI,O,O,O,X,X,X,O
TSJZOIL,O,O,O,X,O,X,X
TSJZOLI,O,O,O,X,O,X,X
TSJOILZ,O,O,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X
TSJOLIZ,O,O,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X
TSZILJO,X,O,X,X,X,O,O
TSZILOJ,X,O,X,X,O,X,O
TSZIJLO,X,O,X,X,X,O,O
TSZIJOL,X,O,X,X,O,O,X
TSZIOLJ,X,O,X,O,O,X,O
TSZIOJL,X,O,X,X,O,O,X
TSZLIJO,X,O,X,X,X,O,O
TSZLIOJ,X,O,X,X,O,X,O
TSZLJIO,X,O,X,X,X,O,O
TSZLJOI,X,O,X,X,X,O,O
TSZLOIJ,X,O,X,X,O,X,O
TSZLOJI,X,O,X,X,O,X,O
TSZJILO,X,O,X,X,X,O,O
TSZJIOL,X,O,X,X,O,O,X
TSZJLIO,X,O,X,X,X,O,O
TSZJLOI,X,O,X,X,X,O,O
TSZJOIL,X,O,X,X,O,O,X
TSZJOLI,X,O,X,X,O,O,X
TSZOILJ,X,O,X,O,O,X,O
TSZOIJL,X,O,X,X,O,O,X
TSZOLIJ,X,O,X,O,O,X,O
TSZOLJI,X,O,X,O,O,X,O
TSZOJIL,X,O,X,X,O,O,X
TSZOJLI,X,O,X,X,O,O,X
TSOILJZ,X,O,X,X,X,X,X
TSOILZJ,X,O,X,O,X,X,O
TSOIJLZ,O,O,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X
TSOIZLJ,X,O,X,O,O,X,O
TSOIZJL,X,O,X,X,O,X,X
TSOLIJZ,X,O,X,X,X,X,X
TSOLIZJ,X,O,X,O,X,X,O
TSOLJIZ,X,O,X,X,X,X,X
TSOLJZI,X,O,X,X,X,X,X
TSOLZIJ,X,O,X,O,X,X,O
TSOLZJI,X,O,X,O,X,X,O
TSOJILZ,O,O,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X
TSOZILJ,X,O,X,O,O,X,O
TSOZIJL,X,O,X,X,O,X,X
TSOZLIJ,X,O,X,O,O,X,O
TSOZLJI,X,O,X,O,O,X,O
TSOZJIL,X,O,X,X,O,X,X
TSOZJLI,X,O,X,X,O,X,X
TZILJSO,X,O,O,X,X,O,X
TZILJOS,X,O,O,X,X,X,X
TZILSJO,X,O,X,X,X,O,O
TZILSOJ,X,O,X,X,X,X,O
TZILOJS,X,O,X,O,X,X,X
TZILOSJ,X,O,X,O,O,X,X
TZIJLSO,O,O,O,X,X,O,X
TZIJLOS,O,O,O,X,X,X,X
TZIJSLO,O,O,O,X,X,O,O
TZIJSOL,O,O,O,X,X,O,X
TZIJOLS,O,O,O,X,X,X,X
TZIJOSL,O,X,O,X,O,O,X
TZISLJO,X,O,X,X,X,O,O
TZISLOJ,X,O,X,X,O,X,O
TZISJLO,X,O,X,X,X,O,O
TZISJOL,X,O,X,X,O,O,X
TZISOLJ,X,O,X,O,O,X,O
TZISOJL,X,O,X,X,O,O,X
TZIOLJS,X,O,X,O,X,X,X
TZIOLSJ,X,O,X,O,O,X,X
TZIOJLS,O,O,X,X,X,X,X
TZIOJSL,O,X,X,X,O,O,X
TZIOSLJ,X,O,X,O,O,X,O
TZIOSJL,X,O,X,X,O,O,X
TZLIJSO,X,O,O,X,X,O,X
TZLIJOS,X,O,O,X,X,X,X
TZLISJO,X,O,X,X,X,O,O
TZLISOJ,X,O,X,X,X,X,O
TZLIOJS,X,O,X,O,X,X,X
TZLIOSJ,X,O,X,O,O,X,X
TZLJISO,X,O,O,X,X,O,X
TZLJIOS,X,O,O,X,X,X,X
TZLJSIO,X,O,O,X,X,O,X
TZLJSOI,X,O,O,X,X,O,X
TZLJOIS,X,O,O,X,X,X,X
TZLJOSI,X,O,O,X,X,X,X
TZLSIJO,X,O,X,X,X,O,O
TZLSIOJ,X,O,X,X,X,X,O
TZLSJIO,X,O,X,X,X,O,O
TZLSJOI,X,O,X,X,X,O,O
TZLSOIJ,X,O,X,X,X,X,O
TZLSOJI,X,O,X,X,X,X,O
TZLOIJS,X,O,X,O,X,X,X
TZLOISJ,X,O,X,O,O,X,X
TZLOJIS,X,O,X,O,X,X,X
TZLOJSI,X,O,X,O,X,X,X
TZLOSIJ,X,O,X,O,O,X,X
TZLOSJI,X,O,X,O,O,X,X
TZJILSO,O,O,O,X,X,O,X
TZJILOS,O,O,O,X,X,X,X
TZJISLO,O,O,O,X,X,O,O
TZJISOL,O,O,O,X,X,O,X
TZJIOLS,O,O,O,X,X,X,X
TZJIOSL,O,X,O,X,O,O,X
TZJLISO,O,O,O,X,X,O,X
TZJLIOS,O,O,O,X,X,X,X
TZJLSIO,O,O,O,X,X,O,X
TZJLSOI,O,O,O,X,X,O,X
TZJLOIS,O,O,O,X,X,X,X
TZJLOSI,O,O,O,X,X,X,X
