sequence,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFCbB0cBNlB+?pBXmBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhF8fBqgBthB/?qBZmBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem7IvhFthBZkBflB0?gB6pBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jez6IvhFtgB0cB6pB/?qBOrBZkB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFqfBmbBthB0?gB3pBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem7IvhFthBZkBzfBf?mB6pB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFthBzfBarB8?lB3pBGqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhFXbBZhBthBS?lBTpB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeX7IvhF0cB2kBNmBx?pBqqBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je6/IvhFTbBZkB3hB8?pBtqBOrB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je06IvhFthB2kB3lBZ?mBTpB6qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFzaBthB3gBa?mB+pB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jei6IvhF+gBZhBthB3?fBTpB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jex6IvhFehBthB0fBK?pBXlBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JecAJvhFthBTfBuqBZ?mBikB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeT7IvhFZhBthBOkB0?fBqqB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRbBthBUgBe?rB3lBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFufBthBTgB8?qB3pBarB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je//IvhFcgBthBKpBu?qBZmBzpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRbBthB3gBe?rBUlBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFfgBRhBcmB9?qBTpBmqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeX7IvhFthB2kBarBx?pB8qBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhFthBflB0gBZ?mB6qBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeT6IvhFegBtgB0cBK?pBRqBXrB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je//IvhF0cBKpBxlB9?lBerBzpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jei6IvhF0cB3fBxlBT?pBmqBtqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jez7IvhFthBUgBerBx?pB/pBipB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFzbBthBUgBe?rBxpB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem6IvhFtgB0cBikBR?qBXrBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRgB3hBUgB9?qBOrBTpB
LTIJZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X
LTISJOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTISZJO,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTISZOJ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISOJZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZJSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTIZSOJ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZOJS,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
LTSIJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSIZJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSIZOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSJZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSZIOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTZISOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZIOJS,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZSIOJ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,X,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOISZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOSJZI,X,O,X,O,O,X,X,X,X,X,O,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOSZJI,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOZJIS,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOZSJI,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X
LITJSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LITJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LITJZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LITJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITSJZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X
LITSJOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LITSZJO,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LITSZOJ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITSOJZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITSOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITZJSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITZJOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITZSJO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LITZSOJ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITZOJS,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LITOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LITOSZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJTSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,X
LIJTSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LIJTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LIJTZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LIJTOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJSTZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,O,X
LIJSTOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
LIJSZTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,O,O,X
LIJSZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LIJSOTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LIJZTSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LIJZTOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJZSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X
LIJZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LIJZOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJOTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LIJOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJOSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
LIJOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
LIJOZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJOZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LISTJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X
LISTJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LISTZJO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LISTZOJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LISTOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LISTOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LISJTZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,O,O,X
LISJTOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X
LISJZTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X
LISJZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LISJOTZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LISJOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LISZTJO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LISZTOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LISZJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
LISZJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
