sequence,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFlcBCeBUhBenBXj?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFVhBciBTeB3hBat?BGsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFXcBTeBGiBlmBys?B0sB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhF3dBcjBFhBCnBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFCeBFhB8mBXjBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFWjBUhBanBXjBlm?BzsB
TJOLIZS,X,O,O,O,X,O
TJOLSIZ,O,O,O,X,X,X
TJOLSZI,O,O,O,X,X,X
TJOLZIS,X,O,O,O,X,O
TJOLZSI,X,O,O,O,X,O
TJOSILZ,O,X,O,X,X,X
TJOSIZL,O,O,X,X,X,X
TJOSLIZ,O,X,O,X,X,X
TJOSLZI,O,X,O,X,X,X
TJOSZIL,O,O,X,X,X,X
TJOSZLI,O,O,X,X,X,X
TJOZILS,O,O,X,O,X,O
TJOZISL,O,O,X,O,O,X
TJOZLIS,O,O,X,O,X,O
TJOZLSI,O,O,X,O,X,O
TJOZSIL,O,O,X,O,O,X
TJOZSLI,O,O,X,O,O,X
TSILJZO,O,O,O,X,X,X
TSILJOZ,O,O,O,X,X,X
TSILZJO,X,X,X,O,O,X
TSILZOJ,X,O,O,O,O,X
TSILOJZ,X,O,O,X,X,X
TSILOZJ,X,O,O,X,X,X
TSIJLZO,O,O,X,X,X,X
TSIJLOZ,O,O,O,X,X,X
TSIJZLO,O,X,X,X,O,X
TSIJZOL,O,O,X,X,X,X
TSIJOLZ,O,X,O,X,X,X
TSIJOZL,X,O,X,X,X,X
TSIZLJO,X,X,X,O,O,X
TSIZLOJ,X,X,O,O,O,X
TSIZJLO,O,X,X,O,O,X
TSIZJOL,O,X,X,X,X,X
TSIZOLJ,X,X,O,O,O,X
TSIZOJL,X,X,X,X,O,X
TSIOLJZ,X,O,O,X,X,X
TSIOLZJ,X,O,O,O,X,X
TSIOJLZ,X,X,O,X,X,X
TSIOJZL,X,O,X,X,X,X
TSIOZLJ,X,X,O,O,O,X
TSIOZJL,X,X,X,O,O,X
TSLIJZO,O,O,O,X,X,X
TSLIJOZ,O,O,O,X,X,X
TSLIZJO,X,X,X,O,O,X
TSLIZOJ,X,O,O,O,O,X
TSLIOJZ,X,O,O,X,X,X
TSLIOZJ,X,O,O,X,X,X
TSLJIZO,O,O,O,X,X,X
TSLJIOZ,O,O,O,X,X,X
TSLJZIO,O,O,O,X,X,X
TSLJZOI,O,O,O,X,X,X
TSLJOIZ,O,O,O,X,X,X
TSLJOZI,X,O,O,X,X,X
TSLZIJO,X,X,X,O,O,X
TSLZIOJ,X,O,O,O,O,X
TSLZJIO,X,X,X,O,O,X
TSLZJOI,X,X,X,O,O,X
TSLZOIJ,X,O,O,O,O,X
TSLZOJI,X,O,O,O,O,X
TSLOIJZ,X,O,O,X,X,X
TSLOIZJ,X,O,O,X,X,X
TSLOJIZ,X,O,O,X,X,X
TSLOJZI,X,O,O,X,X,X
TSLOZIJ,X,O,O,X,X,X
TSLOZJI,X,O,O,X,X,X
TSJILZO,O,O,X,X,X,X
TSJILOZ,O,O,O,X,X,X
TSJIZLO,O,X,X,X,O,X
TSJIZOL,O,O,X,X,X,X
TSJIOLZ,O,X,O,X,X,X
TSJIOZL,X,O,X,X,X,X
TSJLIZO,O,O,X,X,X,X
TSJLIOZ,O,O,O,X,X,X
TSJLZIO,O,O,X,X,X,X
TSJLZOI,O,O,X,X,X,X
TSJLOIZ,O,O,O,X,X,X
TSJLOZI,X,O,O,X,X,X
TSJZILO,O,X,X,X,O,X
TSJZIOL,O,O,X,X,X,X
TSJZLIO,O,X,X,X,O,X
TSJZLOI,O,X,X,X,O,X
TSJZOIL,O,O,X,X,X,X
TSJZOLI,O,O,X,X,X,X
TSJOILZ,O,X,O,X,X,X
TSJOIZL,X,O,X,X,X,X
TSJOLIZ,O,X,O,X,X,X
TSJOLZI,X,X,O,X,X,X
TSJOZIL,X,O,X,X,X,X
TSJOZLI,X,O,X,X,X,X
TSZILJO,X,X,X,O,O,X
TSZILOJ,X,X,O,O,O,X
TSZIJLO,O,X,X,O,O,X
TSZIJOL,O,X,X,X,X,X
TSZIOLJ,X,X,O,O,O,X
TSZIOJL,X,X,X,X,O,X
TSZLIJO,X,X,X,O,O,X
TSZLIOJ,X,X,O,O,O,X
TSZLJIO,X,X,X,O,O,X
TSZLJOI,X,X,X,O,O,X
TSZLOIJ,X,X,O,O,O,X
TSZLOJI,X,X,O,O,O,X
TSZJILO,O,X,X,O,O,X
TSZJIOL,O,X,X,X,X,X
TSZJLIO,O,X,X,O,O,X
TSZJLOI,O,X,X,O,O,X
TSZJOIL,O,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X
TSZOILJ,X,X,O,O,O,X
TSZOIJL,X,X,X,X,O,X
TSZOLIJ,X,X,O,O,O,X
TSZOLJI,X,X,O,O,O,X
TSZOJIL,X,X,X,X,O,X
TSZOJLI,X,X,X,X,O,X
TSOILJZ,X,O,O,X,X,X
TSOILZJ,X,O,O,O,X,X
TSOIJLZ,X,X,O,X,X,X
TSOIJZL,X,O,X,X,X,X
TSOIZLJ,X,X,O,O,O,X
TSOIZJL,X,X,X,O,O,X
TSOLIJZ,X,O,O,X,X,X
TSOLIZJ,X,O,O,O,X,X
TSOLJIZ,X,O,O,X,X,X
TSOLJZI,X,O,O,X,X,X
TSOLZIJ,X,O,O,O,X,X
TSOLZJI,X,O,O,O,X,X
TSOJILZ,X,X,O,X,X,X
TSOJIZL,X,O,X,X,X,X
TSOJLIZ,X,X,O,X,X,X
TSOJLZI,X,X,O,X,X,X
TSOJZIL,X,O,X,X,X,X
TSOJZLI,X,O,X,X,X,X
TSOZILJ,X,X,O,O,O,X
TSOZIJL,X,X,X,O,O,X
TSOZLIJ,X,X,O,O,O,X
TSOZLJI,X,X,O,O,O,X
TSOZJIL,X,X,X,O,O,X
TSOZJLI,X,X,X,O,O,X
TZILJSO,O,O,O,O,X,O
TZILJOS,O,O,O,X,X,X
TZILSJO,X,X,X,O,O,X
TZILSOJ,X,O,O,O,O,X
TZILOJS,O,O,O,X,X,O
TZILOSJ,X,O,O,O,O,X
TZIJLSO,O,O,X,O,X,O
TZIJLOS,O,O,X,X,X,X
TZIJSLO,O,X,X,O,O,X
TZIJSOL,O,O,X,X,X,X
TZIJOLS,O,O,X,X,X,X
TZIJOSL,O,O,X,X,O,X
TZISLJO,X,X,X,O,O,X
TZISLOJ,X,X,O,O,O,X
TZISJLO,O,X,X,O,O,X
TZISJOL,O,X,X,X,X,X
TZISOLJ,X,X,O,O,O,X
TZISOJL,O,X,X,X,O,X
TZIOLJS,O,O,O,O,X,O
TZIOLSJ,X,O,O,O,O,X
TZIOJLS,O,O,X,O,X,O
TZIOJSL,O,O,X,O,O,X
TZIOSLJ,X,X,O,O,O,X
TZIOSJL,O,X,X,O,O,X
TZLIJSO,O,O,O,O,X,O
TZLIJOS,O,O,O,X,X,X
TZLISJO,X,X,X,O,O,X
TZLISOJ,X,O,O,O,O,X
TZLIOJS,O,O,O,X,X,O
TZLIOSJ,X,O,O,O,O,X
TZLJISO,O,O,O,O,X,O
TZLJIOS,O,O,O,X,X,X
TZLJSIO,O,O,O,O,X,O
TZLJSOI,O,O,O,O,X,O
TZLJOIS,O,O,O,X,X,X
TZLJOSI,O,O,O,X,X,X
TZLSIJO,X,X,X,O,O,X
TZLSIOJ,X,O,O,O,O,X
TZLSJIO,X,X,X,O,O,X
TZLSJOI,X,X,X,O,O,X
TZLSOIJ,X,O,O,O,O,X
TZLSOJI,X,O,O,O,O,X
TZLOIJS,O,O,O,X,X,O
TZLOISJ,X,O,O,O,O,X
TZLOJIS,O,O,O,X,X,O
TZLOJSI,O,O,O,X,X,O
TZLOSIJ,X,O,O,O,O,X
TZLOSJI,X,O,O,O,O,X
TZJILSO,O,O,X,O,X,O
TZJILOS,O,O,X,X,X,X
TZJISLO,O,X,X,O,O,X
TZJISOL,O,O,X,X,X,X
TZJIOLS,O,O,X,X,X,X
TZJIOSL,O,O,X,X,O,X
TZJLISO,O,O,X,O,X,O
TZJLIOS,O,O,X,X,X,X
