sequence,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBigB0?kBFmB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFzbBFdBcmBx?kB3kByuB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBOpB8?pBFmBiqB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFygBFdBcmBx?kBXlB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFzbBFdBcmBx?kBmpB3pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBckBigBF?mBzpBOpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFFdBRgBcmB3?gBOpBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBTfBigBF?mB0kB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFZkBUgBamBl?fBGhBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jez6IvhFXdBamBFlB0?pBZkBGrB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je+/IvhFKgBXdBUhBZ?kBFmBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2AJvhFXdBTfBxlBF?mBipB0pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFXdBUhBxkBa?qBFmBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBclBO?mBikB1uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBlgBc?mBaqBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBOmBi?pBcqBlpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBcmBF?lBTpBiqB
ISJTLOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ISJTZLO,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISJTZOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJTOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJLTZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISJLOZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ISJZTLO,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZLTO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISJZLOT,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZOLT,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOTLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJOZTL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZTLJO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZTLOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ISZTJLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
ISZTOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ISZLTJO,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLTOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLJTO,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZLJOT,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X
ISZJTLO,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ISZJTOL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
ISZJLOT,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
ISZJOTL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZJOLT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZOTLJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISZOTJL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZOLTJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISZOJTL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZOJLT,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ISOTLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
ISOTLZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ISOTJLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
ISOTJZL,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
ISOTZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
ISOTZJL,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O
ISOLTJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
ISOLTZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
ISOLJZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
ISOLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
ISOJTLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISOJTZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOJLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISOJLZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
ISOJZTL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJZLT,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISOZTLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZLTJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISOZJTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZJLT,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZTLJSO,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IZTLJOS,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IZTLSJO,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZTLOJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZTSJLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZTSOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZTOLJS,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X
IZTOLSJ,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZTOJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
IZTOJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X
IZTOSLJ,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZTOSJL,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
IZLTJSO,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IZLTJOS,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IZLTSJO,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLTOJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZLJTSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZLJOTS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLSTJO,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLSJTO,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSJOT,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLSOTJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X
IZLOTJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IZLOJST,X,O,X,O,O,X,X,X,O,X,O,O,O,X,X,O,X
IZLOSTJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSJT,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X
IZJTLSO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJTSOL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJTOLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTOS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IZJLSOT,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X
IZJLOTS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJSTLO,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJSTOL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJSLTO,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IZJSLOT,X,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
IZJSOTL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJSOLT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJOTLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLTS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJOSTL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJOSLT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSTLJO,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSTJLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSTOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZSLTJO,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSLJTO,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X
IZSJTLO,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IZSJLOT,X,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSJOTL,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJOLT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZSOJTL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IZOTLJS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTJS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,O,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
IZOLSTJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZOJTLS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZOJLTS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IZOJSTL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZOJSLT,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IZOSTLJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLTJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZOSJTL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTLJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTLSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTLSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOTLZJS,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
IOTLZSJ,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTJLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTJSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IOTJZLS,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTJZSL,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
IOTSLJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTSLZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOTSJLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTSJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IOTSZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O
IOTZLJS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X
IOTZLSJ,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IOTZJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
IOTZJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O
IOTZSLJ,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IOTZSJL,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O
IOLTJSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTSJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLTSZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLJSZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOLJZTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOLJZST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOLSTJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLSTZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOLSJZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOLSZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSZJT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOLZTJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOLZJST,X,X,X,O,X,X,X,X,O,X,O,O,O,X,O,O,X
IOLZSTJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOJTLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJTLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJTSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJTZLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IOJLTSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOJLZTS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,O,X,O,X,O,O,O,X,O,X,X
IOJSTLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJSTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJSLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJSLZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJZTLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJZLTS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJZSTL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJZSLT,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSTLJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOSTLZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOSTJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IOSTZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IOSTZJL,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O
IOSLTJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
IOSLTZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOSLJZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOSLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOSJTLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSJTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOSJLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOSJLZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSZTLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZLTJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOSZJTL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZTLJS,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZTJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOZTSLJ,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLTJS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZLJST,X,O,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
IOZLSTJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLSJT,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOZJTLS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOZJLTS,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOZJSTL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOZJSLT,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOZSTLJ,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZSLTJ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZSLJT,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
