sequence,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFZhBfiB8iB+?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFxdBfmBSnBT?jBUsBtrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFCeBfmB5mBN?nBToBUsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhFyhBGeBfmBU?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhF0cBxdBTjBm?rB/rB9sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF8iB+jBChBd?nB/rBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF9jBzgBfnB0?rB6sBmsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBGiBTjBX?hB9rBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBTjBmrBt?rB6sBXrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8JeU9IvhF9jBzgB5mBi?nBmlB3sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFXdBTeBWoBd?mB5mBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFxdBNmBTjBX?nBGsB0rB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFUdB9jBfmB5?mBziBKsB
TSIJZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIZJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIZOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
TSIZOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSIOLJZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TSIOLZJ,X,X,O,O,X,X,X,X,X,O,X,O,X
TSIOJLZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TSIOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,O,O,X,X,O,X,X,O,X,O,X
TSIOZJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSLIJZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSLIJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TSLIZJO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSLIZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
TSLIOJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSLIOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
TSLJIZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSLJIOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TSLJZIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSLJZOI,O,X,X,O,X,O,X,X,X,X,X,X,X
TSLJOIZ,O,X,O,X,X,O,X,X,X,X,X,O,O
TSLJOZI,O,O,O,X,X,O,X,X,X,X,X,O,X
TSLZIJO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSLZIOJ,X,X,X,O,X,X,X,X,X,X,X,X,O
TSLZJIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSLZJOI,O,X,X,O,X,O,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,O,X,X,X,X,X,X,X,O,X
TSLZOJI,X,X,X,O,X,X,X,X,X,X,X,O,X
TSLOIJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSLOIZJ,X,O,O,O,X,X,X,X,X,O,X,O,O
TSLOJIZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSLOJZI,O,O,O,O,X,O,X,X,X,X,X,O,X
TSLOZIJ,X,O,O,O,X,X,X,X,X,X,X,O,X
TSLOZJI,X,O,O,O,X,X,X,X,X,X,X,O,X
TSJILZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSJILOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TSJIZLO,O,X,X,O,X,O,X,X,X,X,X,X,X
TSJIZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSJLIOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TSJLZIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSJLZOI,O,X,X,O,X,O,X,X,X,X,X,X,X
TSJLOIZ,O,X,O,X,X,O,X,X,X,X,X,O,O
TSJLOZI,O,O,O,X,X,O,X,X,X,X,X,O,X
TSJZILO,O,X,X,O,X,O,X,X,X,X,X,X,X
TSJZIOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZLIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSJZLOI,O,O,X,O,X,O,X,X,X,X,X,X,X
TSJZOIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZOLI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSJOILZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TSJOIZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSJOLZI,O,O,O,O,X,O,X,X,X,X,X,O,X
TSJOZIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJOZLI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSZILJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZILOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZIJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZIOLJ,X,X,O,O,X,X,O,X,X,X,X,X,X
TSZIOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSZLIJO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSZLIOJ,X,X,X,O,X,X,O,X,X,X,X,X,O
TSZLJIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSZLJOI,O,O,X,O,X,O,O,X,X,X,X,X,X
TSZLOIJ,X,O,X,O,X,X,O,X,X,X,X,O,X
TSZLOJI,X,O,X,O,X,X,O,X,X,X,X,O,X
TSZJILO,O,X,X,O,X,O,X,X,X,X,X,X,X
TSZJIOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJLIO,O,X,X,O,X,O,X,X,X,X,X,X,O
TSZJLOI,O,O,X,O,X,O,O,X,X,X,X,X,X
TSZJOIL,O,X,O,O,X,X,O,X,X,X,X,X,X
TSZJOLI,O,O,O,O,X,O,O,X,X,X,X,X,X
TSZOILJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TSZOIJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSZOLIJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TSZOLJI,X,O,O,O,X,X,O,X,X,X,X,O,X
TSZOJIL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSZOJLI,X,O,O,O,X,X,O,X,X,X,X,X,X
TSOILJZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TSOILZJ,X,O,O,O,X,X,X,X,X,O,X,O,X
TSOIJLZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TSOIJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOIZLJ,X,O,O,O,X,X,O,X,X,O,X,O,X
TSOIZJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSOLIJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSOLIZJ,X,O,O,O,X,X,X,X,X,O,X,O,O
TSOLJIZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSOLJZI,O,O,O,O,X,O,X,X,X,X,X,O,X
TSOLZIJ,X,O,O,O,X,X,X,X,X,X,X,O,X
TSOLZJI,X,O,O,O,X,X,X,X,X,X,X,O,X
TSOJILZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TSOJIZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,X,O,O,X,O,X,X,X,X,X,O,O
TSOJLZI,O,O,O,O,X,O,X,X,X,X,X,O,X
TSOJZIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOJZLI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOZILJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TSOZIJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSOZLIJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TSOZLJI,X,O,O,O,X,X,O,X,X,X,X,O,X
TSOZJIL,X,X,O,O,X,X,O,X,X,X,X,X,X
TSOZJLI,X,O,O,O,X,X,O,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
TZILSJO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TZILOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TZILOSJ,X,X,X,X,X,X,O,X,X,O,X,X,X
TZIJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIJSLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIJSOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,X,X,X,X,X,X,O,X,X,X
TZIJOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TZISLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZISLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TZISJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZISJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZISOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
TZISOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TZIOLSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TZIOJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
TZIOJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TZIOSLJ,X,X,O,X,X,X,O,X,X,O,X,X,X
TZIOSJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
TZLIJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
TZLISJO,O,X,X,X,X,X,X,X,X,X,X,X,O
TZLISOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TZLIOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
TZLIOSJ,X,X,X,X,X,X,O,X,X,O,X,X,O
TZLJISO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZLJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X,X,X,O,X,X
TZLJOIS,O,X,X,X,X,X,X,O,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X,O,X,X,O,X,X
TZLSIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZLSIOJ,X,X,X,O,X,X,O,X,X,X,X,X,O
TZLSJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZLSJOI,O,O,X,O,X,X,O,X,X,X,O,X,X
TZLSOIJ,X,O,X,O,X,X,O,X,X,X,X,O,X
TZLSOJI,X,O,X,O,X,X,O,X,X,X,X,O,X
TZLOIJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TZLOISJ,X,O,X,X,X,X,O,X,X,O,X,X,X
TZLOJIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TZLOSIJ,X,O,X,X,X,X,O,X,X,X,X,O,X
TZLOSJI,X,O,X,X,X,X,O,X,X,X,X,O,X
TZJILSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJILOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TZJISLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJISOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X,O,X,X,X,X
TZJIOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TZJLISO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJLIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TZJLSIO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJLSOI,O,X,X,O,X,X,X,X,O,X,O,X,X
TZJLOIS,O,X,X,X,X,X,X,X,O,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,O,X,O,X,X
TZJSILO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJSIOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJSLIO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJSLOI,O,X,X,O,X,X,O,X,O,X,X,X,X
TZJSOIL,O,X,X,O,X,X,O,X,X,X,O,X,X
TZJSOLI,O,X,X,O,X,X,O,X,O,X,O,X,X
TZJOILS,O,X,X,X,X,X,X,O,O,X,X,X,X
TZJOISL,O,X,X,X,X,X,O,X,X,X,X,X,X
TZJOLIS,O,X,X,X,X,X,X,O,O,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X,O,O,X,O,X,X
TZJOSIL,O,X,X,O,X,X,O,X,X,X,O,X,X
TZJOSLI,O,X,X,O,X,X,O,X,O,X,O,X,X
TZSILJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSILOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TZSIJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSIJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSIOLJ,X,X,O,O,X,X,O,X,X,X,X,X,X
TZSIOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TZSLIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZSLIOJ,X,X,X,O,X,X,O,X,X,X,X,X,O
TZSLJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZSLJOI,O,O,X,O,X,X,O,X,X,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,O,X,X,X,X,O,X
TZSLOJI,X,O,X,O,X,X,O,X,X,X,X,O,X
TZSJILO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSJIOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJLIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZSJLOI,O,O,X,O,X,X,O,X,X,X,X,X,X
TZSJOIL,O,X,O,O,X,X,O,X,X,X,X,X,X
TZSJOLI,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSOILJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TZSOIJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TZSOLIJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TZSOLJI,X,O,O,O,X,X,O,X,X,X,X,O,X
TZSOJIL,X,X,O,O,X,X,O,X,X,X,X,X,X
TZSOJLI,X,O,O,O,X,X,O,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TZOILSJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TZOIJLS,X,X,X,X,X,X,X,O,X,O,X,X,X
TZOIJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TZOISLJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TZOISJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TZOLISJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TZOLJIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TZOLSIJ,X,O,O,X,X,X,O,X,X,X,X,O,X
TZOLSJI,X,O,O,X,X,X,O,X,X,X,X,O,X
TZOJILS,X,X,X,X,X,X,X,O,O,X,X,X,X
TZOJISL,X,X,X,X,X,X,O,X,X,X,X,X,X
TZOJLIS,X,X,X,X,X,X,X,O,O,X,X,X,X
TZOJLSI,X,X,X,X,X,X,X,O,O,X,X,X,X
TZOJSIL,X,X,X,O,X,X,O,X,X,X,X,X,X
TZOJSLI,X,X,X,O,X,X,O,X,O,X,X,X,X
TZOSILJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TZOSIJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TZOSLIJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TZOSLJI,X,O,O,O,X,X,O,X,X,X,X,O,X
TZOSJIL,X,X,O,O,X,X,O,X,X,X,X,X,X
TZOSJLI,X,O,O,O,X,X,O,X,X,X,X,X,X
TOILJSZ,O,X,O,X,O,X,X,O,X,X,X,X,X
TOILJZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOILSJZ,O,X,O,X,X,X,X,O,X,X,X,O,X
TOILSZJ,X,O,O,X,X,X,X,O,X,O,X,O,X
TOILZJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOILZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X
TOIJLSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TOIJLZS,O,X,X,X,O,X,X,O,O,O,X,X,X
TOIJSLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TOIJSZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOIJZSL,O,X,X,X,O,X,O,X,X,X,X,X,X
TOISLJZ,O,X,O,X,X,X,X,X,X,X,X,O,X
TOISLZJ,X,O,O,X,X,X,X,X,X,O,X,O,X
TOISJLZ,O,X,O,X,X,X,X,X,X,X,X,O,X
TOISJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOISZLJ,X,O,O,X,X,X,O,X,X,O,X,O,X
TOISZJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOIZLSJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TOIZJLS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOIZJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TOIZSLJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TOIZSJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TOLIJSZ,O,X,O,X,O,X,X,O,X,X,X,X,X
TOLIJZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOLISJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TOLISZJ,X,O,O,X,X,X,X,O,X,O,X,O,O
TOLIZJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOLIZSJ,X,X,O,X,X,X,O,O,X,O,X,X,O
TOLJISZ,O,X,O,X,O,X,X,O,X,X,X,X,X
TOLJIZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOLJSIZ,O,X,O,X,O,X,X,O,X,X,X,O,X
TOLJSZI,O,X,O,X,O,X,X,O,X,X,X,O,X
TOLJZIS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOLJZSI,O,X,X,X,O,X,X,O,X,X,X,X,X
TOLSIJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TOLSIZJ,X,O,O,X,X,X,X,O,X,O,X,O,O
TOLSJIZ,O,X,O,X,X,X,X,O,X,X,X,O,O
TOLSJZI,O,O,O,X,X,X,X,O,X,X,X,O,X
TOLSZIJ,X,O,O,X,X,X,X,O,X,X,X,O,X
TOLSZJI,X,O,O,X,X,X,X,O,X,X,X,O,X
TOLZIJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOLZISJ,X,X,O,X,X,X,O,O,X,O,X,X,X
TOLZJIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TOLZJSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TOLZSIJ,X,X,O,X,X,X,O,O,X,X,X,O,X
TOLZSJI,X,X,O,X,X,X,O,O,X,X,X,O,X
TOJILSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJILZS,O,X,X,X,O,X,X,O,O,O,X,X,X
TOJISLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TOJISZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOJIZLS,O,X,X,X,O,X,X,O,O,O,X,X,X
TOJIZSL,O,X,X,X,O,X,O,X,X,X,X,X,X
TOJLISZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJLIZS,O,X,X,X,O,X,X,O,O,O,X,X,X
TOJLSIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TOJLSZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TOJLZIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TOJLZSI,O,X,X,X,O,X,X,O,O,X,X,X,X
TOJSILZ,O,X,O,X,O,X,X,X,X,X,X,O,X
TOJSIZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOJSLIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TOJSLZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TOJSZIL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOJSZLI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJZILS,O,X,X,X,O,X,X,O,O,X,X,X,X
TOJZISL,O,X,X,X,O,X,O,X,X,X,X,X,X
TOJZLIS,O,X,X,X,O,X,X,O,O,X,X,X,X
TOJZLSI,O,X,X,X,O,X,X,O,O,X,X,X,X
TOJZSIL,O,X,X,X,O,X,O,X,X,X,X,X,X
TOJZSLI,O,X,X,X,O,X,O,X,O,X,X,X,X
TOSILJZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TOSILZJ,X,O,O,O,X,X,X,X,X,O,X,O,X
TOSIJLZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TOSIJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSIZLJ,X,O,O,O,X,X,O,X,X,O,X,O,X
TOSIZJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TOSLIJZ,O,X,O,O,X,X,X,X,X,X,X,O,O
TOSLIZJ,X,O,O,O,X,X,X,X,X,O,X,O,O
TOSLJIZ,O,X,O,O,X,X,X,X,X,X,X,O,O
TOSLJZI,O,O,O,O,X,X,X,X,X,X,X,O,X
TOSLZIJ,X,O,O,O,X,X,X,X,X,X,X,O,X
TOSLZJI,X,O,O,O,X,X,X,X,X,X,X,O,X
TOSJILZ,O,X,O,O,X,X,X,X,X,X,X,O,X
TOSJIZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,O,X,X,X,X,X,X,X,O,O
TOSJLZI,O,O,O,O,X,X,X,X,X,X,X,O,X
TOSJZIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TOSZILJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TOSZIJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TOSZLIJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TOSZLJI,X,O,O,O,X,X,O,X,X,X,X,O,X
TOSZJIL,X,X,O,O,X,X,O,X,X,X,X,X,X
TOSZJLI,X,O,O,O,X,X,O,X,X,X,X,X,X
TOZILJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOZILSJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TOZIJLS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOZIJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
TOZISLJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TOZISJL,X,X,O,X,X,X,O,X,X,X,X,X,X
TOZLIJS,X,X,X,X,X,X,X,O,X,O,X,X,X
TOZLISJ,X,O,O,X,X,X,O,X,X,O,X,X,X
TOZLJIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TOZLJSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TOZLSIJ,X,O,O,X,X,X,O,X,X,X,X,O,X
TOZLSJI,X,O,O,X,X,X,O,X,X,X,X,O,X
TOZJILS,X,X,X,X,X,X,X,O,O,X,X,X,X
TOZJISL,X,X,X,X,X,X,O,X,X,X,X,X,X
TOZJLIS,X,X,X,X,X,X,X,O,O,X,X,X,X
TOZJLSI,X,X,X,X,X,X,X,O,O,X,X,X,X
TOZJSIL,X,X,X,O,X,X,O,X,X,X,X,X,X
TOZJSLI,X,X,X,O,X,X,O,X,O,X,X,X,X
TOZSILJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TOZSIJL,X,X,O,O,X,X,O,X,X,X,X,X,X
TOZSLIJ,X,O,O,O,X,X,O,X,X,X,X,O,X
TOZSLJI,X,O,O,O,X,X,O,X,X,X,X,O,X
TOZSJIL,X,X,O,O,X,X,O,X,X,X,X,X,X
TOZSJLI,X,O,O,O,X,X,O,X,X,X,X,X,X
ITLJSZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ITLJSOZ,O,X,X,X,X,O,X,X,X,X,X,X,O
ITLJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ITLJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLJOZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITLSJZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ITLSJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ITLSZJO,O,X,X,X,X,O,X,X,X,X,X,X,O
ITLSZOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ITLSOJZ,O,X,O,X,X,O,X,X,X,X,X,O,O
ITLSOZJ,X,X,O,X,X,X,X,X,X,O,X,O,O
ITLZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ITLZJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITLZSJO,O,X,X,X,X,X,X,X,X,X,X,X,O
ITLZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ITLZOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITLZOSJ,X,X,X,X,X,X,O,X,X,O,X,X,O
ITLOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X,X,X,X,O,O
ITLOSZJ,X,X,O,X,X,X,X,X,X,O,X,O,O
ITLOZJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITLOZSJ,X,X,O,X,X,X,O,X,X,O,X,X,O
ITJLSZO,O,X,X,X,X,O,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
ITJLZSO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJLZOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJLOZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITJSLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJSZOL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJSOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJZLSO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X,X,X,X,X,X,X,X
