sequence,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehB3dBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Jei6IvhFRdBckB?mgBTiB3gBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehBUdB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?3dBzfBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFVgBahB?RdBTiB3kBcqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFufBahB?3dBTgBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?UdBzfB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbB3dB?zgBUiBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbBUdB?zgB3iBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFRdB8lB?TiB3kBFlBiqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeaBJvhFRdBOkB?XgBTiBcqBlpB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFzbB3dB?ukBUiBllBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFlbBRdB?8lBTiB3kBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFlbBaiB?uiB8lBzkBfqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeK/IvhFfgBlbB?RdB8lBTiBmpB
IZJOTSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLTS,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
IZJOLST,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
IZJOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
IZSTLJO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
IZSTJOL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
IZSTOLJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZSTOJL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
IZSLTJO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZSLJTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSLJOT,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IZSLOTJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZSLOJT,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IZSJTLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
IZSJTOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
IZSJLTO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
IZSJLOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
IZSJOTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IZSJOLT,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IZSOTJL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IZSOLTJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IZSOLJT,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X
IZSOJTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IZSOJLT,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X
IZOTLJS,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X
IZOTLSJ,X,O,X,X,O,X,X,X,O,X,O,X,O,X,X
IZOTJLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
IZOTJSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOTSLJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOTSJL,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IZOLTJS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X
IZOLTSJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOLJTS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IZOLJST,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IZOLSTJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOLSJT,X,O,X,X,O,X,X,X,O,O,O,X,O,O,X
IZOJTLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
IZOJTSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOJLTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IZOJLST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IZOJSTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IZOJSLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IZOSTLJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOSTJL,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IZOSLTJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IZOSLJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
IZOSJTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IZOSJLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOTLJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
IOTLJZS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
IOTLSJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
IOTLSZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IOTLZJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
IOTLZSJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
IOTJLSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOTJLZS,O,O,O,X,X,O,O,X,X,X,O,X,X,O,O
IOTJSLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOTJSZL,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOTJZLS,X,O,O,X,X,O,O,X,X,X,O,X,X,O,O
IOTJZSL,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X
IOTSLJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTSLZJ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOTSJZL,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
IOTSZLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTSZJL,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
IOTZLJS,X,O,O,X,O,O,X,X,O,X,O,X,X,O,X
IOTZLSJ,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X
IOTZJLS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,O
IOTZJSL,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X
IOTZSLJ,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X
IOTZSJL,X,O,X,X,O,O,X,X,X,O,O,O,O,X,X
IOLTJSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLTJZS,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
IOLTSJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X
IOLTZSJ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IOLJTZS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O
IOLJSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IOLJSZT,X,X,X,X,O,X,X,O,O,X,O,X,X,O,O
IOLJZTS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOLJZST,X,O,X,X,O,X,X,O,O,X,O,X,X,O,O
IOLSTJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,O,X,X,O,O,O,O,X,O,O,X
IOLSZTJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IOLSZJT,X,X,X,X,O,X,X,O,O,O,O,X,O,O,X
IOLZTJS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X
IOLZTSJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOLZJTS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOLZJST,X,O,X,X,O,X,X,O,O,X,O,X,X,O,O
IOLZSTJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOLZSJT,X,O,X,X,O,X,X,O,O,O,O,X,O,O,X
IOJTLSZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOJTLZS,O,O,O,X,X,X,O,X,X,X,O,X,X,O,O
IOJTSLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJTZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O
IOJTZSL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLTZS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
IOJLSTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJLSZT,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O
IOJLZTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IOJLZST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IOJSTLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOJSLTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJSLZT,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
IOJSZTL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
IOJZTLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
IOJZTSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOJZLTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IOJZLST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IOJZSTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOJZSLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOSTLJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOSTLZJ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOSTJZL,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
IOSTZLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOSTZJL,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
IOSLTJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X
IOSLZTJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSLZJT,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X
IOSJTLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOSJLTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSJLZT,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
IOSJZTL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IOSJZLT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
IOSZTLJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSZTJL,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IOSZLTJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSZLJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
IOSZJTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOSZJLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOZTLJS,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X
IOZTLSJ,X,O,X,X,O,X,X,X,O,X,O,X,O,X,X
IOZTJLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
IOZTJSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZTSLJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZTSJL,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IOZLTJS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X
IOZLTSJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZLJTS,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOZLJST,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOZLSTJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZLSJT,X,O,X,X,O,X,X,X,O,O,O,X,O,O,X
IOZJTLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
IOZJTSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZJLTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IOZJLST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
IOZJSTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOZJSLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOZSTLJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZSTJL,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IOZSLTJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZSLJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
IOZSJTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOZSJLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
LTIJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
LTIJZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
LTIJOSZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
LTIJOZS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
LTISJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
LTISZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LTISOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIZJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTIZJOS,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
LTIZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
LTIZOSJ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTIOJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTIOJZS,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
LTIOSJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTIOSZJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
LTIOZJS,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
LTIOZSJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
LTJISZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
LTJIZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
LTJIOSZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
LTJIOZS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
LTJSIZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
LTJSZIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTJSOIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
LTJSOZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTJZISO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJZIOS,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
LTJZSIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
LTJZOIS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X
LTJZOSI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
LTJOISZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
LTJOIZS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
LTJOSIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
LTJOSZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTJOZIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
LTJOZSI,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
LTSIZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LTSIOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSJIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
LTSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTSJOIZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X
LTSJOZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTSZIJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSZJIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTSZOJI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTSOIZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTSOJIZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTSOJZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTSOZJI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTZIJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZIJOS,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X
LTZISJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
LTZIOSJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
LTZJISO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZJIOS,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X
LTZJSIO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
LTZJOIS,O,O,O,X,O,X,O,O,O,X,O,X,X,O,X
LTZJOSI,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
LTZSIJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTZSJIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
LTZSOIJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTZSOJI,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTZOIJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
LTZOISJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTZOJIS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
LTZOJSI,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X
LTZOSIJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTZOSJI,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTOIJSZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTOIJZS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
LTOISJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTOISZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTOIZJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
LTOIZSJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTOJISZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTOJIZS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
LTOJSIZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTOJSZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTOJZIS,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X
LTOJZSI,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X
LTOSIJZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTOSIZJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTOSJIZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X
LTOSJZI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTOSZJI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
LTOZIJS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
LTOZISJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTOZJIS,O,O,O,X,O,O,X,O,O,X,O,X,X,O,X
LTOZJSI,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X
LTOZSIJ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LTOZSJI,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
LITJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITJSOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LITJZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITJZOS,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
LITJOSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LITJOZS,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
LITSJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LITSZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITSOJZ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LITSOZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZJSO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LITZJOS,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LITZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITZSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITZOJS,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
LITZOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LITOJSZ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LITOJZS,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LITOSJZ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LITOSZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITOZJS,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LITOZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJTSZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LIJTSOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LIJTZSO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LIJTZOS,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
LIJTOSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
LIJTOZS,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
LIJSTZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LIJSTOZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
LIJSZTO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O
LIJSZOT,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O
LIJSOTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O
LIJZTSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
LIJZTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LIJZSTO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O
LIJZSOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
LIJZOTS,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X
LIJZOST,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O
LIJOTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJOTZS,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
LIJOSTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJOSZT,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O
LIJOZTS,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X
LIJOZST,X,X,X,X,X,X,O,O,O,X,O,X,X,O,O
LISTJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LISTJOZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
