sequence,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBOkBlgBSoBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFTeBflBlgBWoBCl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFCbBlgBGjBXjBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTeBKkBflBlgBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBlgBSoBmkBTk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFFbBTeBqkB3gBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTfBlgBGjBXjByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFOkBlgBUjBzkBft?B6tB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFflBlgBunBcoBCl?BTtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhF6jBukB3gBziBFl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeT6IvhF1gBGjBXjBxkByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFufB1gB6jBXlBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF6jBlfB3gB2pBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Le1/IvhF0bBCjBxkBXoB2p?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBWoBikB0kBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFKkBflBlgBunBco?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF0fBlgBCjB2pBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBUjBmkBftBTk?B6tB
IJSOTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJSOLZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJSOZTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZTLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IJZTLOS,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZTSLO,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
IJZTSOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IJZTOLS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IJZTOSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IJZLTSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZLTOS,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IJZLSOT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOTS,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IJZLOST,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZSTLO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IJZSTOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
IJZSLTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IJZSLOT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZSOTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IJZOTSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IJZOLTS,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IJZOLST,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZOSTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IJOTLZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTZLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTZSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLTSZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IJOLTZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOLSZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOZTLS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IJOZLTS,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISTLJZO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
ISTLJOZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISTLZJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISTLZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTLOJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
ISTJLOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
ISTJZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ISTJOLZ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISTZLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTZJLO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ISTZOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTZOJL,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISTOLJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISTOLZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTOZJL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,O,X,X,O,X,X,O,O,O,X,X,O,X
ISLTJOZ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ISLTZJO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ISLTZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLTOJZ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ISLTOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLJTZO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
ISLJTOZ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ISLJZTO,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
ISLJZOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISLJOZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISLZTJO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ISLZTOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLZJTO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISLZJOT,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISJTLZO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
ISJTLOZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISJTZLO,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
ISJTZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ISJTOLZ,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJLTZO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
ISJLTOZ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ISJLZTO,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
ISJLZOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISJLOZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISJZTLO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ISJZTOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ISJZLTO,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ISJZLOT,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISJZOTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISJOLZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZTLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISZTLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTJLO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ISZTJOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ISZTOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISZLTJO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ISZLTOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZLJTO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISZLJOT,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISZJTLO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISZJTOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ISZJLTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZJOTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOTJL,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISZOJTL,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOTLZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISOTJLZ,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOTZJL,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJTLZ,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJZTL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISOZTJL,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ISOZJTL,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJOS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZTLSJO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IZTLSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZTLOJS,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLOS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZTJSLO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTJSOL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTJOLS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZTJOSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IZTSLOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTSJLO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZTSJOL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZTSOJL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOLJS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOLSJ,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTOJLS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOJSL,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZTOSJL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLTJSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZLTSJO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOJS,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZLJSTO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IZLJOST,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IZLSTOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJTO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLOTJS,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLOJTS,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IZLOJST,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJTLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZJTSLO,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJTSOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJTOLS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJTOSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJLTSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZJLSTO,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IZJLOST,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSTOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJSOLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJOLTS,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJOLST,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOSTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJOSLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTJLO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZSTJOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSTOJL,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLTJO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSLJTO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZSJTOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSJLTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSJOLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSOTJL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOTSJL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOLJTS,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTLS,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSTL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOJSLT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOSTJL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSJTL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
