sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TSIZJLO,X,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,O
TSIOZJL,X,X,X,X,X,X,O
TSLIJZO,X,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X,X
