sequence,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFUbBFcBXdBWlBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeT6IvhF0bBxcBykB3hBWr?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex7IvhFXdBOkBlgB0fBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufB3bBFdB6mB8p?BzqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBXdBlgB8pBTr?BCrB,v115@7gB8GeC8FeD8FeE8AeH8JeO/IvhF0bBxcBzfBCmB3m?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeK/IvhFzaBfhBxcBumB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jey/IvhFfhBxcBumBTfB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex6IvhFXdBTfBmgB6mB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex8IvhFTfBlgB3hB8pBip?BWwB,v115@7gB8GeC8FeD8FeE8AeH8Jem7IvhFxfB3hBTfB0lBCn?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBlgB3hB8pBzq?BCsB
TSLZJIO,O,O,O,O,X,O,O,X,X,X,O,O
TSLZJOI,O,O,O,O,X,X,O,X,O,X,X,X
TSLZOIJ,X,O,X,O,X,O,O,X,O,O,X,X
TSLZOJI,X,O,X,O,X,O,O,X,O,O,X,X
TSLOIJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,X,O,X,O,X,X,O,X,X,X
TSLOJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TSLOJZI,O,O,O,O,X,O,O,X,X,X,X,X
TSLOZIJ,O,O,X,O,X,O,O,X,O,X,X,X
TSLOZJI,O,O,X,O,X,O,O,X,O,X,X,X
TSJILZO,O,O,X,X,X,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSJIZLO,X,O,X,X,X,X,X,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X,X,X,O,X,X
TSJIOLZ,O,O,X,X,X,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,X,O,X,X,X,X,X,X
TSJLIZO,O,O,O,X,X,O,X,X,X,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,X,X,X,X,X
TSJLZIO,O,O,O,X,X,O,O,X,X,X,X,X
TSJLZOI,O,O,O,X,X,X,O,X,X,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,X,X,X,X,X
TSJLOZI,O,O,O,X,X,X,O,X,X,X,X,X
TSJZILO,X,O,X,X,X,X,O,O,X,X,O,O
TSJZIOL,X,O,X,X,X,X,O,O,O,O,O,O
TSJZLIO,X,O,X,X,X,X,O,O,X,X,O,O
TSJZLOI,X,O,X,X,X,X,O,O,O,X,X,X
TSJZOIL,X,O,X,X,X,X,O,O,O,O,O,O
TSJZOLI,X,O,X,X,X,X,O,O,O,O,X,X
TSJOILZ,O,O,O,X,X,O,X,X,X,X,X,X
TSJOIZL,X,O,O,X,X,O,X,X,O,X,X,X
TSJOLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TSJOLZI,O,O,O,X,X,O,X,X,X,X,X,X
TSJOZIL,X,O,O,X,X,O,X,X,O,X,X,X
TSJOZLI,X,O,O,X,X,O,X,X,O,X,X,X
TSZILJO,O,O,X,O,O,X,O,O,X,X,O,O
TSZILOJ,X,O,X,O,X,X,O,X,X,O,X,X
TSZIJLO,X,O,X,O,O,X,O,O,X,X,O,O
TSZIJOL,X,O,X,O,O,X,O,O,O,O,O,O
TSZIOLJ,O,O,X,O,O,X,O,X,O,O,X,X
TSZIOJL,X,X,X,O,O,X,X,X,O,O,O,O
TSZLIJO,O,O,X,O,O,X,O,O,X,X,O,O
TSZLIOJ,X,O,X,O,X,X,O,X,X,O,X,X
TSZLJIO,O,O,X,O,O,X,O,O,X,X,O,O
TSZLJOI,O,O,X,O,X,X,O,O,O,X,X,X
TSZLOIJ,X,O,X,O,X,X,O,X,O,O,X,X
TSZLOJI,X,O,X,O,X,X,O,O,O,O,X,X
TSZJILO,X,O,X,O,O,X,O,O,X,X,O,O
TSZJIOL,X,O,X,O,O,X,O,O,O,O,O,O
TSZJLIO,X,O,X,O,O,X,O,O,X,X,O,O
TSZJLOI,X,O,X,O,X,X,O,O,O,X,X,X
TSZJOIL,X,O,X,O,O,X,O,O,O,O,O,O
TSZJOLI,X,O,X,O,O,X,O,O,O,O,X,X
TSZOILJ,O,O,X,O,O,X,O,X,O,O,X,X
TSZOIJL,X,X,X,O,O,X,X,X,O,O,O,O
TSZOLIJ,O,O,X,O,O,X,O,X,O,O,X,X
TSZOLJI,O,O,X,O,O,X,O,O,O,O,X,X
TSZOJIL,X,X,X,O,O,X,O,O,O,O,O,O
TSZOJLI,X,X,X,O,O,X,O,O,O,O,X,X
TSOILJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSOILZJ,O,O,O,X,X,O,X,X,O,X,X,X
TSOIJLZ,O,X,O,X,X,O,X,X,X,X,X,X
TSOIJZL,X,X,O,X,X,O,X,X,O,X,X,X
TSOIZLJ,O,O,X,O,O,X,X,X,O,O,X,X
TSOIZJL,X,X,O,O,O,O,X,X,O,O,X,X
TSOLIJZ,O,O,O,X,X,O,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,X,O,X,X,O,X,X,X
TSOLJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TSOLJZI,O,O,O,X,X,O,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,O,O,X,X,O,X,X,X
TSOLZJI,O,O,O,O,O,O,X,X,O,X,X,X
TSOJILZ,O,O,O,X,X,O,X,X,X,X,X,X
TSOJIZL,X,O,O,X,X,O,X,X,O,X,X,X
TSOJLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TSOJLZI,O,O,O,X,X,O,X,X,X,X,X,X
TSOJZIL,X,O,O,O,O,O,X,X,O,X,X,X
TSOJZLI,X,O,O,O,O,O,X,X,O,X,X,X
TSOZILJ,O,O,X,O,O,X,X,X,O,O,X,X
TSOZIJL,X,X,O,O,O,O,X,X,O,O,O,O
TSOZLIJ,O,O,X,O,O,O,X,X,O,O,X,X
TSOZLJI,O,O,X,O,O,O,X,X,O,O,X,X
TSOZJIL,X,X,O,O,O,O,X,X,O,O,O,O
TSOZJLI,X,X,O,O,O,O,X,X,O,O,X,X
TZILJSO,X,O,X,O,O,O,O,O,X,X,X,O
TZILJOS,X,O,X,O,X,O,O,X,X,X,X,X
TZILSJO,X,X,X,O,O,O,O,O,X,X,O,O
TZILSOJ,X,O,X,O,X,O,O,X,X,X,X,X
TZILOJS,X,O,X,O,X,O,O,X,X,X,X,X
TZILOSJ,X,O,X,O,X,O,O,X,X,X,X,X
TZIJLSO,X,O,X,O,O,O,O,O,X,X,X,O
TZIJLOS,X,O,X,O,X,O,O,X,X,X,X,X
TZIJSLO,X,O,X,O,O,X,O,O,X,X,O,O
TZIJSOL,X,X,X,O,O,X,O,O,O,X,O,O
TZIJOLS,X,O,X,O,O,O,X,X,O,X,X,X
TZIJOSL,X,X,X,O,O,O,X,X,O,X,X,O
TZISLJO,X,O,X,O,O,X,O,O,X,X,O,O
TZISLOJ,X,O,X,O,X,X,O,X,X,O,X,X
TZISJLO,X,O,X,O,O,X,O,O,X,X,O,O
TZISJOL,X,X,X,O,O,X,O,O,O,O,O,O
TZISOLJ,X,O,X,O,O,X,O,X,O,O,X,X
TZISOJL,X,X,X,O,O,X,X,X,O,O,O,O
TZIOLJS,X,X,X,O,O,O,X,X,O,X,X,X
TZIOLSJ,X,X,X,O,O,O,X,X,O,X,X,X
TZIOJLS,X,X,X,O,O,O,X,X,O,X,X,X
TZIOJSL,X,X,X,O,O,O,X,X,O,X,X,O
TZIOSLJ,X,X,X,O,O,X,X,X,O,O,X,X
TZIOSJL,X,X,X,O,O,O,X,X,O,O,O,O
TZLIJSO,X,O,X,O,O,O,O,O,X,X,X,O
TZLIJOS,X,O,X,O,X,O,O,X,X,X,X,X
TZLISJO,X,O,X,O,O,O,O,O,X,X,O,O
TZLISOJ,X,O,X,O,X,O,O,X,X,X,X,X
TZLIOJS,X,O,X,O,X,O,O,X,X,X,X,X
TZLIOSJ,X,O,X,O,X,O,O,X,X,X,X,X
TZLJISO,X,O,X,O,O,O,O,O,X,X,X,O
TZLJIOS,X,O,X,O,X,O,O,X,X,X,X,X
TZLJSIO,X,O,X,O,O,O,O,O,X,X,X,O
TZLJSOI,X,O,X,O,X,X,O,O,O,X,X,X
TZLJOIS,X,O,X,O,X,O,O,X,O,X,X,X
TZLJOSI,X,O,X,O,X,O,O,O,O,X,X,X
TZLSIJO,X,O,X,O,O,O,O,O,X,X,O,O
TZLSIOJ,X,O,X,O,X,O,O,X,X,O,X,X
TZLSJIO,X,O,X,O,O,O,O,O,X,X,O,O
TZLSJOI,X,O,X,O,X,X,O,O,O,X,X,X
TZLSOIJ,X,O,X,O,X,O,O,X,O,O,X,X
TZLSOJI,X,O,X,O,X,O,O,O,O,O,X,X
TZLOIJS,X,O,X,O,X,O,O,X,O,X,X,X
TZLOISJ,X,O,X,O,X,O,O,X,O,X,X,X
TZLOJIS,X,O,X,O,X,O,O,X,O,X,X,X
TZLOJSI,X,O,X,O,X,O,O,O,O,X,X,X
TZLOSIJ,X,O,X,O,X,O,O,X,O,O,X,X
TZLOSJI,X,O,X,O,X,O,O,O,O,O,X,X
TZJILSO,X,O,X,O,O,O,O,O,X,X,X,O
TZJILOS,X,O,X,O,X,O,O,X,X,X,X,X
TZJISLO,X,O,X,O,O,X,O,O,X,X,O,O
TZJISOL,X,O,X,O,O,X,O,O,O,X,O,O
TZJIOLS,X,O,X,O,O,O,X,X,O,X,X,X
TZJIOSL,X,X,X,O,O,O,X,X,O,X,X,O
TZJLISO,X,O,X,O,O,O,O,O,X,X,X,O
TZJLIOS,X,O,X,O,X,O,O,X,X,X,X,X
TZJLSIO,X,O,X,O,O,O,O,O,X,X,X,O
TZJLSOI,X,O,X,O,X,X,O,O,O,X,X,X
TZJLOIS,X,O,X,O,X,O,O,X,O,X,X,X
TZJLOSI,X,O,X,O,X,X,O,O,O,X,X,X
TZJSILO,X,O,X,O,O,X,O,O,X,X,O,O
TZJSIOL,X,O,X,O,O,X,O,O,O,O,O,O
TZJSLIO,X,O,X,O,O,X,O,O,X,X,O,O
TZJSLOI,X,O,X,O,X,X,O,O,O,X,X,X
TZJSOIL,X,O,X,O,O,X,O,O,O,O,O,O
TZJSOLI,X,O,X,O,O,X,O,O,O,O,X,X
TZJOILS,X,O,X,O,O,O,X,X,O,X,X,X
TZJOISL,X,X,X,O,O,O,X,X,O,X,X,O
TZJOLIS,X,O,X,O,O,O,O,X,O,X,X,X
TZJOLSI,X,O,X,O,O,O,O,O,O,X,X,X
TZJOSIL,X,O,X,O,O,O,O,O,O,O,X,O
TZJOSLI,X,O,X,O,O,O,O,O,O,O,X,X
TZSILJO,X,O,X,O,O,X,O,O,X,X,O,O
TZSILOJ,X,O,X,O,X,X,O,X,X,O,X,X
TZSIJLO,X,O,X,O,O,X,O,O,X,X,O,O
TZSIJOL,X,X,X,O,O,X,O,O,O,O,O,O
TZSIOLJ,X,O,X,O,O,X,O,X,O,O,X,X
TZSIOJL,X,X,X,O,O,X,X,X,O,O,O,O
TZSLIJO,X,O,X,O,O,X,O,O,X,X,O,O
TZSLIOJ,X,O,X,O,X,X,O,X,X,O,X,X
TZSLJIO,X,O,X,O,O,X,O,O,X,X,O,O
TZSLJOI,X,O,X,O,X,X,O,O,O,X,X,X
TZSLOIJ,X,O,X,O,X,X,O,X,O,O,X,X
TZSLOJI,X,O,X,O,X,X,O,O,O,O,X,X
TZSJILO,X,O,X,O,O,X,O,O,X,X,O,O
TZSJIOL,X,O,X,O,O,X,O,O,O,O,O,O
TZSJLIO,X,O,X,O,O,X,O,O,X,X,O,O
TZSJLOI,X,O,X,O,X,X,O,O,O,X,X,X
TZSJOIL,X,O,X,O,O,X,O,O,O,O,O,O
TZSJOLI,X,O,X,O,O,X,O,O,O,O,X,X
TZSOILJ,X,O,X,O,O,X,O,X,O,O,X,X
TZSOIJL,X,X,X,O,O,X,X,X,O,O,O,O
TZSOLIJ,X,O,X,O,O,X,O,X,O,O,X,X
TZSOLJI,X,O,X,O,O,X,O,O,O,O,X,X
TZSOJIL,X,X,X,O,O,X,O,O,O,O,O,O
TZSOJLI,X,X,X,O,O,X,O,O,O,O,X,X
TZOILJS,X,X,X,O,O,O,X,X,O,X,X,X
TZOILSJ,X,X,X,O,O,O,X,X,O,X,X,X
TZOIJLS,X,X,X,O,O,O,X,X,O,X,X,X
TZOIJSL,X,X,X,O,O,O,X,X,O,X,X,O
TZOISLJ,X,X,X,O,O,X,X,X,O,O,X,X
TZOISJL,X,X,X,O,O,O,X,X,O,O,O,O
TZOLIJS,X,X,X,O,O,O,O,X,O,X,X,X
TZOLISJ,X,X,X,O,O,O,O,X,O,X,X,X
TZOLJIS,X,X,X,O,O,O,O,X,O,X,X,X
TZOLJSI,X,X,X,O,O,O,O,O,O,X,X,X
TZOLSIJ,X,X,X,O,O,O,O,X,O,O,X,X
TZOLSJI,X,X,X,O,O,O,O,O,O,O,X,X
TZOJILS,X,X,X,O,O,O,X,X,O,X,X,X
TZOJISL,X,X,X,O,O,O,X,X,O,X,X,O
TZOJLIS,X,X,X,O,O,O,O,X,O,X,X,X
TZOJLSI,X,X,X,O,O,O,O,O,O,X,X,X
TZOJSIL,X,X,X,O,O,O,O,O,O,O,X,O
TZOJSLI,X,X,X,O,O,O,O,O,O,O,X,X
TZOSILJ,X,X,X,O,O,X,O,X,O,O,X,X
TZOSIJL,X,X,X,O,O,O,X,X,O,O,O,O
TZOSLIJ,X,X,X,O,O,O,O,X,O,O,X,X
TZOSLJI,X,X,X,O,O,O,O,O,O,O,X,X
TZOSJIL,X,X,X,O,O,O,O,O,O,O,O,O
TZOSJLI,X,X,X,O,O,O,O,O,O,O,X,X
TOILJSZ,O,O,O,X,X,O,X,X,X,X,X,X
TOILJZS,O,O,X,O,X,O,X,X,X,X,X,X
TOILSJZ,O,O,O,X,X,O,X,X,X,X,X,X
TOILSZJ,O,O,X,O,X,O,X,X,O,X,X,X
TOILZJS,O,O,X,O,X,O,X,X,O,X,X,X
TOILZSJ,O,O,X,O,X,O,X,X,O,X,X,X
TOIJLSZ,O,O,O,X,X,O,X,X,X,X,X,X
TOIJLZS,O,O,X,X,X,O,X,X,X,X,X,X
TOIJSLZ,O,X,O,X,X,O,X,X,X,X,X,X
TOIJSZL,X,X,O,X,X,O,X,X,O,X,X,X
TOIJZLS,X,O,X,O,X,O,X,X,O,X,X,X
TOIJZSL,X,X,O,O,X,O,X,X,O,X,X,X
TOISLJZ,O,O,O,X,X,O,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,O,X,X,O,X,X,X
TOISJLZ,O,X,O,X,X,O,X,X,X,X,X,X
TOISJZL,X,X,O,X,X,O,X,X,O,X,X,X
TOISZLJ,O,O,X,O,O,X,X,X,O,X,X,X
TOISZJL,X,X,O,O,O,O,X,X,O,X,X,X
TOIZLJS,O,X,X,O,O,O,X,X,O,X,X,X
TOIZLSJ,O,X,X,O,O,O,X,X,O,X,X,X
TOIZJLS,X,X,X,O,O,O,X,X,O,X,X,X
TOIZJSL,X,X,O,O,O,O,X,X,O,X,X,X
TOIZSLJ,O,X,X,O,O,X,X,X,O,X,X,X
TOIZSJL,X,X,O,O,O,O,X,X,O,X,X,X
TOLIJSZ,O,O,O,X,X,O,X,X,X,X,X,X
TOLIJZS,O,O,O,O,X,O,O,X,X,X,X,X
TOLISJZ,O,O,O,X,X,O,X,X,X,X,X,X
TOLISZJ,O,O,O,O,X,O,X,X,O,X,X,X
TOLIZJS,O,O,O,O,X,O,O,X,O,X,X,X
TOLIZSJ,O,O,O,O,X,O,O,X,O,X,X,X
TOLJISZ,O,O,O,X,X,O,X,X,X,X,X,X
TOLJIZS,O,O,O,O,X,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOLJSZI,O,O,O,O,X,O,O,X,X,X,X,X
TOLJZIS,O,O,O,O,X,O,O,X,X,X,X,X
TOLJZSI,O,O,O,O,X,O,O,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,O,O,X,O,X,X,O,X,X,X
TOLSJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOLSJZI,O,O,O,O,X,O,O,X,X,X,X,X
TOLSZIJ,O,O,O,O,O,O,O,X,O,X,X,X
TOLSZJI,O,O,O,O,O,O,O,X,O,X,X,X
TOLZIJS,O,O,O,O,O,O,O,X,O,X,X,X
TOLZISJ,O,O,O,O,O,O,O,X,O,X,X,X
TOLZJIS,O,O,O,O,O,O,O,X,O,X,X,X
TOLZJSI,O,O,O,O,O,O,O,X,O,X,X,X
TOLZSIJ,O,O,O,O,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,O,O,O,O,X,O,X,X,X
TOJILSZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJILZS,O,O,X,X,X,O,X,X,X,X,X,X
TOJISLZ,O,X,O,X,X,O,X,X,X,X,X,X
TOJISZL,X,X,O,X,X,O,X,X,O,X,X,X
TOJIZLS,X,O,X,O,X,O,X,X,O,X,X,X
TOJIZSL,X,X,O,O,X,O,X,X,O,X,X,X
TOJLISZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJLIZS,O,O,O,X,X,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJLSZI,O,O,O,X,X,O,O,X,X,X,X,X
TOJLZIS,O,O,O,X,X,O,O,X,X,X,X,X
TOJLZSI,O,O,O,X,X,O,O,X,X,X,X,X
TOJSILZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJSIZL,X,O,O,X,X,O,X,X,O,X,X,X
TOJSLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOJSLZI,O,O,O,X,X,O,X,X,X,X,X,X
TOJSZIL,X,O,O,O,O,O,X,X,O,X,X,X
TOJSZLI,X,O,O,O,O,O,X,X,O,X,X,X
TOJZILS,X,O,X,O,O,O,X,X,O,X,X,X
TOJZISL,X,X,O,O,O,O,X,X,O,X,X,X
TOJZLIS,X,O,X,O,O,O,O,X,O,X,X,X
TOJZLSI,X,O,X,O,O,O,O,O,O,X,X,X
TOJZSIL,X,O,O,O,O,O,O,O,O,X,X,X
TOJZSLI,X,O,O,O,O,O,O,O,O,X,X,X
TOSILJZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSILZJ,O,O,O,X,X,O,X,X,O,X,X,X
TOSIJLZ,O,X,O,X,X,O,X,X,X,X,X,X
TOSIJZL,X,X,O,X,X,O,X,X,O,X,X,X
TOSIZLJ,O,O,X,O,O,X,X,X,O,X,X,X
TOSIZJL,X,X,O,O,O,O,X,X,O,X,X,X
TOSLIJZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSLIZJ,O,O,O,X,X,O,X,X,O,X,X,X
TOSLJIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSLJZI,O,O,O,X,X,O,X,X,X,X,X,X
TOSLZIJ,O,O,O,O,O,O,X,X,O,X,X,X
TOSLZJI,O,O,O,O,O,O,X,X,O,X,X,X
TOSJILZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSJIZL,X,O,O,X,X,O,X,X,O,X,X,X
TOSJLIZ,O,O,O,X,X,O,X,X,X,X,X,X
TOSJLZI,O,O,O,X,X,O,X,X,X,X,X,X
TOSJZIL,X,O,O,O,O,O,X,X,O,X,X,X
TOSJZLI,X,O,O,O,O,O,X,X,O,X,X,X
TOSZILJ,O,O,X,O,O,X,X,X,O,X,X,X
TOSZIJL,X,X,O,O,O,O,X,X,O,X,O,X
TOSZLIJ,O,O,X,O,O,O,X,X,O,X,X,X
TOSZLJI,O,O,X,O,O,O,X,X,O,X,X,X
TOSZJIL,X,X,O,O,O,O,X,X,O,X,O,X
TOSZJLI,X,X,O,O,O,O,X,X,O,X,X,X
TOZILJS,O,X,X,O,O,O,X,X,O,X,X,X
TOZILSJ,O,X,X,O,O,O,X,X,O,X,X,X
TOZIJLS,X,X,X,O,O,O,X,X,O,X,X,X
TOZIJSL,X,X,O,O,O,O,X,X,O,X,X,X
TOZISLJ,O,X,X,O,O,X,X,X,O,X,X,X
TOZISJL,X,X,O,O,O,O,X,X,O,X,O,X
TOZLIJS,O,X,X,O,O,O,O,X,O,X,X,X
TOZLISJ,O,X,X,O,O,O,O,X,O,X,X,X
TOZLJIS,O,X,X,O,O,O,O,X,O,X,X,X
TOZLJSI,O,X,X,O,O,O,O,O,O,X,X,X
TOZLSIJ,O,X,X,O,O,O,O,X,O,X,X,X
TOZLSJI,O,X,X,O,O,O,O,O,O,X,X,X
TOZJILS,X,X,X,O,O,O,X,X,O,X,X,X
TOZJISL,X,X,O,O,O,O,X,X,O,X,X,X
TOZJLIS,X,X,X,O,O,O,O,X,O,X,X,X
TOZJLSI,X,X,X,O,O,O,O,O,O,X,X,X
TOZJSIL,X,X,O,O,O,O,O,O,O,X,X,X
TOZJSLI,X,X,O,O,O,O,O,O,O,X,X,X
TOZSILJ,O,X,X,O,O,X,O,X,O,X,X,X
TOZSIJL,X,X,O,O,O,O,X,X,O,X,O,X
TOZSLIJ,O,X,X,O,O,O,O,X,O,X,X,X
TOZSLJI,O,X,X,O,O,O,O,O,O,X,X,X
TOZSJIL,X,X,O,O,O,O,O,O,O,X,O,X
TOZSJLI,X,X,O,O,O,O,O,O,O,X,X,X
ITLJSZO,O,O,X,X,X,O,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLJZSO,O,O,X,O,X,O,O,X,X,X,X,X
ITLJZOS,O,O,X,O,X,O,O,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,O,X,X,X,X,X,X
ITLJOZS,O,O,X,O,X,O,O,X,X,X,X,X
ITLSJZO,O,O,X,X,X,O,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,O,X,O,X,X,X,X,X,X
ITLSZOJ,X,O,X,O,X,O,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITLSOZJ,X,O,X,O,X,O,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,O,O,X,X,X,X,X
ITLZJOS,X,O,X,O,X,O,O,X,X,X,X,X
ITLZSJO,X,O,X,O,X,O,O,X,X,X,X,X
ITLZSOJ,X,O,X,O,X,O,O,X,X,X,X,X
ITLZOJS,X,O,X,O,X,O,O,X,X,X,X,X
ITLZOSJ,X,O,X,O,X,O,O,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,O,X,X,X,X,X,X
ITLOJZS,O,O,X,O,X,O,O,X,X,X,X,X
ITLOSJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITLOSZJ,O,O,X,O,X,O,X,X,X,X,X,X
ITLOZJS,O,O,X,O,X,O,O,X,X,X,X,X
ITLOZSJ,O,O,X,O,X,O,O,X,X,X,X,X
ITJLSZO,X,O,X,X,X,O,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJLZSO,X,O,X,O,X,O,O,X,X,X,X,X
ITJLZOS,X,O,X,O,X,O,O,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,O,X,X,X,X,X,X
ITJLOZS,X,O,X,O,X,O,O,X,X,X,X,X
ITJSLZO,X,O,X,X,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,O,X,X,X,X,X,X
ITJSOZL,X,O,X,X,X,O,X,X,X,X,X,X
ITJZLSO,X,O,X,O,X,O,O,O,X,X,X,X
ITJZLOS,X,O,X,O,X,O,O,X,X,X,X,X
ITJZSLO,X,O,X,O,X,X,O,O,X,X,X,X
ITJZSOL,X,O,X,O,X,X,O,O,X,X,X,X
ITJZOLS,X,O,X,O,X,O,X,X,X,X,X,X
ITJZOSL,X,X,X,O,X,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
ITJOLZS,X,O,X,X,X,O,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,O,X,X,X,X,X,X
ITJOSZL,X,X,X,X,X,O,X,X,X,X,X,X
ITJOZLS,X,O,X,O,X,O,X,X,X,X,X,X
ITJOZSL,X,X,X,O,X,O,X,X,X,X,X,X
ITSLJZO,O,O,X,X,X,O,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,O,X,O,X,X,X,X,X,X
ITSLZOJ,X,O,X,O,X,O,X,X,X,O,X,X
ITSLOJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITSLOZJ,O,O,X,O,X,O,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZLO,X,O,X,X,X,X,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X,X,O,X,X
ITSJOLZ,O,O,X,X,X,O,X,X,X,X,X,X
ITSJOZL,X,O,X,X,X,O,X,X,X,X,X,X
ITSZLJO,O,O,X,O,O,X,X,X,X,X,O,O
ITSZLOJ,X,O,X,O,X,X,X,X,X,O,X,X
ITSZJLO,X,O,X,O,O,X,X,X,X,X,O,O
ITSZJOL,X,O,X,O,O,X,X,X,O,O,O,O
ITSZOLJ,O,O,X,O,O,X,X,X,O,O,X,X
ITSZOJL,X,X,X,O,O,X,X,X,O,O,O,O
ITSOLJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,O,X,X,O,X,X,X
ITSOJLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITSOJZL,X,X,X,X,X,O,X,X,O,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,X,O,O,X,X
ITSOZJL,X,X,X,O,O,O,X,X,O,O,X,X
ITZLJSO,X,O,X,O,O,O,O,O,X,X,X,O
ITZLJOS,X,O,X,O,X,O,O,X,X,X,X,X
ITZLSJO,X,X,X,O,O,O,O,O,X,X,O,O
ITZLSOJ,X,O,X,O,X,O,O,X,X,X,X,X
ITZLOJS,X,O,X,O,X,O,O,X,X,X,X,X
ITZLOSJ,X,O,X,O,X,O,O,X,X,X,X,X
ITZJLSO,X,O,X,O,O,O,O,O,X,X,X,O
ITZJLOS,X,O,X,O,X,O,O,X,X,X,X,X
ITZJSLO,X,O,X,O,O,X,O,O,X,X,O,O
ITZJSOL,X,X,X,O,O,X,O,O,O,X,O,O
ITZJOLS,X,O,X,O,O,O,X,X,O,X,X,X
ITZJOSL,X,X,X,O,O,O,X,X,O,X,X,O
ITZSLJO,X,O,X,O,O,X,O,O,X,X,O,O
ITZSLOJ,X,O,X,O,X,X,O,X,X,O,X,X
ITZSJLO,X,O,X,O,O,X,O,O,X,X,O,O
ITZSJOL,X,X,X,O,O,X,O,O,O,O,O,O
ITZSOLJ,X,O,X,O,O,X,O,X,O,O,X,X
ITZSOJL,X,X,X,O,O,X,X,X,O,O,O,O
ITZOLJS,X,X,X,O,O,O,X,X,O,X,X,X
ITZOLSJ,X,X,X,O,O,O,X,X,O,X,X,X
ITZOJLS,X,X,X,O,O,O,X,X,O,X,X,X
ITZOJSL,X,X,X,O,O,O,X,X,O,X,X,O
