sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
ISJZTLO,X,X,X,X,X,X,X,X,X,X,O,X
ISJZTOL,X,X,X,X,X,X,X,X,X,X,O,X
ISJZLTO,X,X,X,X,X,X,X,X,X,X,O,X
ISJZLOT,X,X,X,X,X,X,X,X,X,X,O,X
ISJZOTL,X,X,X,X,X,X,X,X,X,X,O,X
ISJZOLT,O,X,X,X,X,X,X,X,X,X,O,X
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X,X,X,O,X
ISJOLTZ,O,O,O,O,X,X,X,X,X,X,X,X
ISJOLZT,O,O,O,X,X,X,X,X,X,X,O,X
ISJOZTL,O,O,X,X,X,X,X,X,X,X,O,X
ISJOZLT,O,O,X,X,X,X,X,X,X,X,O,X
ISZTLJO,X,X,X,X,O,X,X,X,O,X,X,X
ISZTLOJ,X,X,X,X,O,X,X,X,O,X,X,X
ISZTJLO,X,X,X,X,O,X,X,X,O,X,X,X
ISZTJOL,O,O,X,X,O,X,X,X,O,X,X,X
ISZTOLJ,O,O,X,X,O,X,X,X,O,X,X,X
ISZTOJL,O,O,X,X,O,X,X,X,O,X,X,X
ISZLTJO,X,O,X,X,O,X,X,X,O,X,X,X
ISZLTOJ,O,O,X,X,O,X,X,X,O,X,X,X
ISZLJTO,X,O,X,X,O,X,X,X,X,O,X,X
ISZLJOT,O,O,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,O,X,X,X,X,X,X,O
ISZLOJT,O,O,X,X,O,X,X,X,X,O,X,O
ISZJTLO,X,X,X,X,O,X,X,X,X,O,O,X
ISZJTOL,O,O,X,X,O,X,X,X,X,X,O,X
ISZJLTO,O,X,X,X,O,X,X,X,X,O,O,X
ISZJLOT,O,O,X,X,O,X,X,X,X,X,O,X
ISZJOTL,O,O,X,X,O,X,X,X,X,X,O,X
ISZJOLT,O,O,X,X,O,X,X,X,X,X,O,X
ISZOTLJ,O,O,X,X,O,X,X,X,X,X,X,O
ISZOTJL,O,O,X,X,O,X,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,O,X,X,X,X,X,X,O
ISZOLJT,O,O,X,X,O,X,X,X,X,O,X,O
ISZOJTL,O,O,X,X,O,X,X,X,X,O,O,O
ISZOJLT,O,O,X,X,O,X,X,X,X,O,O,O
ISOTLJZ,O,O,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,O,X,X,X,X,X,X,X,X,X,O,X
ISOTZLJ,O,O,X,X,O,X,X,X,X,X,X,X
ISOTZJL,O,O,X,X,O,X,X,X,X,X,X,X
ISOLTJZ,O,O,O,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,O,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,O,O,X,X,X,X,X,O,X,X
ISOLJZT,O,O,O,X,X,X,X,X,X,X,O,X
ISOLZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X,X,O,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X,X,O,X
ISOJLTZ,O,O,O,O,X,X,X,X,X,O,X,X
ISOJLZT,O,O,O,X,X,X,X,X,X,X,O,X
ISOJZTL,O,O,X,X,X,X,X,X,X,X,O,X
ISOJZLT,O,O,X,X,X,X,X,X,X,X,O,X
ISOZTLJ,O,O,X,X,O,X,X,X,X,X,X,X
ISOZTJL,O,O,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,O,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,O,X,X,X,X,X,X,X
ISOZJTL,O,O,X,X,O,X,X,X,X,X,O,X
ISOZJLT,O,O,X,X,O,X,X,X,X,X,O,X
IZTLJSO,O,O,X,X,X,O,X,X,X,O,X,X
IZTLJOS,O,O,X,X,X,O,X,X,X,O,X,X
IZTLSJO,O,O,X,X,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,O,O,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,O,X,O
IZTLOSJ,O,O,X,X,O,X,X,X,X,X,X,O
IZTJLSO,O,O,X,X,X,O,X,X,X,O,X,X
IZTJLOS,O,O,X,X,X,O,X,X,X,O,X,X
IZTJSLO,O,O,X,X,O,O,X,X,X,O,X,X
IZTJSOL,O,O,X,X,O,O,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,O,X,X,X,O,X,X
IZTJOSL,O,O,X,X,O,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,O,O,X,X,X,X,X,X
IZTSJLO,O,O,X,X,O,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,O,O,X,X,X,X,X,X
IZTSOJL,O,O,X,X,O,O,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,O,X,O
IZTOLSJ,O,O,X,X,O,X,X,X,X,X,X,O
IZTOJLS,O,O,X,X,X,X,X,X,X,O,X,O
IZTOJSL,O,O,X,X,O,X,X,X,X,O,X,O
IZTOSLJ,O,O,X,X,O,X,X,X,X,X,X,O
IZTOSJL,O,O,X,X,O,X,X,X,X,X,X,O
IZLTJSO,O,O,O,O,X,X,X,X,X,O,X,X
IZLTJOS,O,O,O,O,X,X,X,X,X,O,X,X
IZLTSJO,O,O,O,O,O,X,X,X,X,X,X,X
IZLTSOJ,O,O,O,O,O,X,X,X,X,X,X,X
IZLTOJS,O,O,O,O,X,X,X,X,X,O,X,O
IZLTOSJ,O,O,O,O,O,X,X,X,X,X,X,O
IZLJTSO,X,O,O,O,X,X,X,X,X,O,X,X
IZLJTOS,X,O,O,O,X,X,X,X,X,O,X,X
IZLJSTO,X,O,X,X,X,X,X,X,X,O,X,X
IZLJSOT,O,O,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,O,X,X,X,X,X,O,X,O
IZLJOST,O,O,O,X,X,X,X,X,X,O,X,O
IZLSTJO,X,O,X,X,O,X,X,X,O,X,X,X
IZLSTOJ,O,O,X,X,O,X,X,X,O,X,X,X
IZLSJTO,X,O,X,X,O,X,X,X,X,O,X,X
IZLSJOT,O,O,O,X,O,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,X,X,X,X,X,O
IZLSOJT,O,O,O,X,O,X,X,X,X,O,X,O
IZLOTJS,O,O,O,O,X,X,X,X,X,O,X,O
IZLOTSJ,O,O,O,O,O,X,X,X,X,X,X,O
IZLOJTS,X,O,O,O,X,X,X,X,X,O,X,O
IZLOJST,O,O,O,X,X,X,X,X,X,O,X,O
IZLOSTJ,O,O,X,X,O,X,X,X,X,X,X,O
IZLOSJT,O,O,O,X,O,X,X,X,X,O,X,O
IZJTLSO,O,O,X,X,O,O,X,X,X,O,X,X
IZJTLOS,O,O,X,X,O,O,X,X,X,O,X,X
IZJTSLO,O,O,X,X,O,O,X,X,X,O,X,X
IZJTSOL,O,O,X,X,O,O,X,X,X,X,X,X
IZJTOLS,O,O,X,X,O,O,X,X,X,O,X,X
IZJTOSL,O,O,X,X,O,X,X,X,X,X,X,X
IZJLTSO,O,X,O,O,O,O,X,X,X,O,X,X
IZJLTOS,O,X,O,O,O,O,X,X,X,O,X,X
IZJLSTO,O,X,X,X,O,X,X,X,X,O,X,X
IZJLSOT,O,O,O,X,O,X,X,X,X,X,X,X
IZJLOTS,O,X,O,O,O,X,X,X,X,O,X,O
IZJLOST,O,O,O,X,O,X,X,X,X,O,X,O
IZJSTLO,X,X,X,X,O,O,X,X,X,O,O,X
IZJSTOL,O,O,X,X,O,O,X,X,X,X,O,X
IZJSLTO,O,X,X,X,O,O,X,X,X,O,O,X
IZJSLOT,O,O,X,X,O,O,X,X,X,X,O,X
IZJSOTL,O,O,X,X,O,O,X,X,X,X,O,X
IZJSOLT,O,O,X,X,O,O,X,X,X,X,O,X
IZJOTLS,O,O,X,X,O,O,X,X,X,O,X,O
IZJOTSL,O,O,X,X,O,X,X,X,X,O,X,O
IZJOLTS,O,X,O,O,O,X,X,X,X,O,X,O
IZJOLST,O,O,O,X,O,X,X,X,X,O,X,O
IZJOSTL,O,O,X,X,O,O,X,X,X,O,O,O
IZJOSLT,O,O,X,X,O,O,X,X,X,O,O,O
IZSTLJO,X,X,X,X,O,O,X,X,O,X,X,X
IZSTLOJ,X,X,X,X,O,O,X,X,O,X,X,X
IZSTJLO,X,X,X,X,O,O,X,X,O,X,X,X
IZSTJOL,O,O,X,X,O,O,X,X,O,X,X,X
IZSTOLJ,O,O,X,X,O,O,X,X,O,X,X,X
IZSTOJL,O,O,X,X,O,O,X,X,O,X,X,X
IZSLTJO,X,O,X,X,O,O,X,X,O,X,X,X
IZSLTOJ,O,O,X,X,O,O,X,X,O,X,X,X
IZSLJTO,X,O,X,X,O,O,X,X,X,O,X,X
IZSLJOT,O,O,X,X,O,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,O,X,X,X,X,X,O
IZSLOJT,O,O,X,X,O,O,X,X,X,O,X,O
IZSJTLO,X,X,X,X,O,O,X,X,X,O,O,X
IZSJTOL,O,O,X,X,O,O,X,X,X,X,O,X
IZSJLTO,O,X,X,X,O,O,X,X,X,O,O,X
IZSJLOT,O,O,X,X,O,O,X,X,X,X,O,X
IZSJOTL,O,O,X,X,O,O,X,X,X,X,O,X
IZSJOLT,O,O,X,X,O,O,X,X,X,X,O,X
IZSOTLJ,O,O,X,X,O,O,X,X,X,X,X,O
IZSOTJL,O,O,X,X,O,O,X,X,X,X,X,O
IZSOLTJ,O,O,X,X,O,O,X,X,X,X,X,O
IZSOLJT,O,O,X,X,O,O,X,X,X,O,X,O
IZSOJTL,O,O,X,X,O,O,X,X,X,O,O,O
IZSOJLT,O,O,X,X,O,O,X,X,X,O,O,O
IZOTLJS,O,O,X,X,X,X,X,X,X,O,X,O
IZOTLSJ,O,O,X,X,O,X,X,X,X,X,X,O
IZOTJLS,O,O,X,X,X,X,X,X,X,O,X,O
IZOTJSL,O,O,X,X,O,X,X,X,X,O,X,O
IZOTSLJ,O,O,X,X,O,X,X,X,X,X,X,O
IZOTSJL,O,O,X,X,O,X,X,X,X,X,X,O
IZOLTJS,O,O,O,O,X,X,X,X,X,O,X,O
IZOLTSJ,O,O,O,O,O,X,X,X,X,X,X,O
IZOLJTS,X,O,O,O,X,X,X,X,X,O,X,O
IZOLJST,O,O,O,X,X,X,X,X,X,O,X,O
IZOLSTJ,O,O,X,X,O,X,X,X,X,X,X,O
IZOLSJT,O,O,O,X,O,X,X,X,X,O,X,O
IZOJTLS,O,O,X,X,O,X,X,X,X,O,X,O
IZOJTSL,O,O,X,X,O,X,X,X,X,O,X,O
IZOJLTS,O,X,O,O,O,X,X,X,X,O,X,O
IZOJLST,O,O,O,X,O,X,X,X,X,O,X,O
IZOJSTL,O,O,X,X,O,O,X,X,X,O,O,O
IZOJSLT,O,O,X,X,O,O,X,X,X,O,O,O
IZOSTLJ,O,O,X,X,O,O,X,X,X,X,X,O
IZOSTJL,O,O,X,X,O,O,X,X,X,X,X,O
IZOSLTJ,O,O,X,X,O,O,X,X,X,X,X,O
IZOSLJT,O,O,X,X,O,O,X,X,X,O,X,O
IZOSJTL,O,O,X,X,O,O,X,X,X,O,O,O
IZOSJLT,O,O,X,X,O,O,X,X,X,O,O,O
IOTLJSZ,O,O,O,O,X,O,X,X,X,O,X,X
IOTLJZS,X,O,O,O,X,O,X,X,X,O,X,O
IOTLSJZ,O,O,O,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,O,O,X,X,X,X,X,X,X,O
IOTLZJS,X,X,O,O,X,O,X,X,X,X,X,O
IOTLZSJ,O,X,O,O,O,O,X,X,X,X,X,O
IOTJLSZ,O,X,O,O,X,O,X,X,X,O,X,X
IOTJLZS,O,X,O,O,O,O,X,X,X,O,X,O
IOTJSLZ,O,X,X,X,X,O,X,X,X,O,X,X
IOTJSZL,O,X,X,X,O,X,X,X,X,X,O,X
IOTJZLS,X,X,X,X,O,O,X,X,X,O,X,O
IOTJZSL,X,X,X,X,O,O,X,X,X,O,X,O
IOTSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,O,X,X,X,X,X,X,X,O
IOTSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,O,O,X,X,O,X,X,X,X,X,X,O
IOTSZJL,O,X,X,X,O,X,X,X,X,X,X,O
IOTZLJS,X,X,O,X,X,O,X,X,X,X,X,O
IOTZLSJ,X,X,O,X,O,O,X,X,X,X,X,O
IOTZJLS,X,X,X,X,X,O,X,X,X,X,X,O
IOTZJSL,X,X,X,X,O,O,X,X,X,X,X,O
IOTZSLJ,X,X,X,X,O,O,X,X,X,X,X,O
IOTZSJL,X,X,X,X,O,O,X,X,X,X,X,O
IOLTJSZ,O,O,O,O,X,X,X,X,X,O,X,X
IOLTJZS,O,O,O,O,X,X,X,X,X,O,X,O
IOLTSJZ,O,O,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,O,X,X,X,X,X,X,X,O
IOLTZJS,X,X,O,O,X,X,X,X,X,X,X,O
IOLTZSJ,O,X,O,O,O,X,X,X,X,X,X,O
IOLJTSZ,O,O,O,O,X,X,X,X,X,O,X,X
IOLJTZS,O,O,O,O,X,X,X,X,X,O,X,O
IOLJSTZ,O,O,O,O,X,X,X,X,X,O,X,X
IOLJSZT,O,O,O,X,X,X,X,X,X,X,O,X
IOLJZTS,O,O,O,O,X,X,X,X,X,O,X,O
IOLJZST,O,O,O,X,X,X,X,X,X,O,X,O
IOLSTJZ,O,O,O,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,X,X,X,X,X,O
IOLSJTZ,O,O,O,O,X,X,X,X,X,O,X,X
IOLSJZT,O,O,O,X,X,X,X,X,X,X,O,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,O
IOLSZJT,O,O,O,X,X,X,X,X,X,X,X,O
IOLZTJS,O,O,O,O,X,X,X,X,X,O,X,O
IOLZTSJ,O,O,O,O,O,X,X,X,X,X,X,O
IOLZJTS,O,O,O,O,X,X,X,X,X,O,X,O
IOLZJST,O,O,O,X,X,X,X,X,X,O,X,O
IOLZSTJ,O,O,X,X,O,X,X,X,X,X,X,O
IOLZSJT,O,O,O,X,O,X,X,X,X,O,X,O
IOJTLSZ,O,X,O,O,X,O,X,X,X,O,X,X
IOJTLZS,O,X,O,O,O,O,X,X,X,O,X,O
IOJTSLZ,O,X,X,X,X,O,X,X,X,O,X,X
IOJTSZL,O,X,X,X,O,X,X,X,X,X,O,X
IOJTZLS,X,X,X,X,O,O,X,X,X,O,X,O
IOJTZSL,X,X,X,X,O,O,X,X,X,O,X,O
IOJLTSZ,O,X,O,O,X,O,X,X,X,O,X,X
IOJLTZS,O,X,O,O,O,O,X,X,X,O,X,O
IOJLSTZ,O,X,O,O,X,X,X,X,X,O,X,X
IOJLSZT,O,X,O,X,X,X,X,X,X,X,O,X
IOJLZTS,O,X,O,O,O,X,X,X,X,O,X,O
IOJLZST,O,X,O,X,O,X,X,X,X,O,X,O
IOJSTLZ,O,X,X,X,X,O,X,X,X,O,X,X
IOJSTZL,X,X,X,X,O,X,X,X,X,X,O,X
IOJSLTZ,O,X,O,O,X,X,X,X,X,O,X,X
IOJSLZT,O,X,O,X,X,X,X,X,X,X,O,X
IOJSZTL,X,X,X,X,O,X,X,X,X,X,O,X
IOJSZLT,O,X,X,X,O,X,X,X,X,X,O,X
IOJZTLS,O,X,X,X,O,O,X,X,X,O,X,O
IOJZTSL,O,X,X,X,O,X,X,X,X,O,X,O
IOJZLTS,O,X,O,O,O,X,X,X,X,O,X,O
IOJZLST,O,X,O,X,O,X,X,X,X,O,X,O
IOJZSTL,O,X,X,X,O,O,X,X,X,O,O,O
IOJZSLT,O,X,X,X,O,O,X,X,X,O,O,O
IOSTLJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,X,X,X,X,X,X,X,O
IOSTJLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,O,O,X,X,O,X,X,X,X,X,X,O
IOSTZJL,O,O,X,X,O,X,X,X,X,X,X,O
IOSLTJZ,O,O,O,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,O,O,X,X,X,X,X,X,X,O
IOSLJTZ,O,O,O,O,X,X,X,X,X,O,X,X
IOSLJZT,O,O,O,X,X,X,X,X,X,X,O,X
IOSLZTJ,O,O,X,X,X,X,X,X,X,X,X,O
IOSLZJT,O,O,O,X,X,X,X,X,X,X,X,O
IOSJTLZ,O,O,X,X,X,X,X,X,X,O,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,O,O,O,O,X,X,X,X,X,O,X,X
IOSJLZT,O,O,O,X,X,X,X,X,X,X,O,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,O,X
IOSZTLJ,O,O,X,X,O,X,X,X,X,X,X,O
IOSZTJL,O,O,X,X,O,X,X,X,X,X,X,O
IOSZLTJ,O,O,X,X,O,X,X,X,X,X,X,O
IOSZLJT,O,O,X,X,O,X,X,X,X,X,X,O
IOSZJTL,O,O,X,X,O,X,X,X,X,X,O,O
IOSZJLT,O,O,X,X,O,X,X,X,X,X,O,O
IOZTLJS,O,O,X,X,X,X,X,X,X,O,X,O
IOZTLSJ,O,O,X,X,O,X,X,X,X,X,X,O
IOZTJLS,O,O,X,X,X,X,X,X,X,O,X,O
IOZTJSL,O,O,X,X,O,X,X,X,X,O,X,O
IOZTSLJ,O,O,X,X,O,X,X,X,X,X,X,O
IOZTSJL,O,O,X,X,O,X,X,X,X,X,X,O
IOZLTJS,O,O,O,O,X,X,X,X,X,O,X,O
IOZLTSJ,O,O,O,O,O,X,X,X,X,X,X,O
IOZLJTS,X,O,O,O,X,X,X,X,X,O,X,O
IOZLJST,O,O,O,X,X,X,X,X,X,O,X,O
IOZLSTJ,O,O,X,X,O,X,X,X,X,X,X,O
IOZLSJT,O,O,O,X,O,X,X,X,X,O,X,O
IOZJTLS,O,O,X,X,O,X,X,X,X,O,X,O
IOZJTSL,O,O,X,X,O,X,X,X,X,O,X,O
IOZJLTS,O,X,O,O,O,X,X,X,X,O,X,O
IOZJLST,O,O,O,X,O,X,X,X,X,O,X,O
IOZJSTL,O,O,X,X,O,O,X,X,X,O,O,O
IOZJSLT,O,O,X,X,O,O,X,X,X,O,O,O
IOZSTLJ,O,O,X,X,O,O,X,X,X,X,X,O
IOZSTJL,O,O,X,X,O,O,X,X,X,X,X,O
IOZSLTJ,O,O,X,X,O,O,X,X,X,X,X,O
IOZSLJT,O,O,X,X,O,O,X,X,X,O,X,O
IOZSJTL,O,O,X,X,O,O,X,X,X,O,O,O
IOZSJLT,O,O,X,X,O,O,X,X,X,O,O,O
LTIJSZO,X,O,O,O,X,O,X,X,X,O,X,X
LTIJSOZ,O,O,O,O,X,X,O,X,X,X,X,X
LTIJZSO,O,O,O,O,X,O,X,X,X,O,X,X
LTIJZOS,O,O,O,O,X,O,X,X,X,O,X,X
LTIJOSZ,O,O,O,O,X,X,O,O,X,X,X,X
LTIJOZS,O,O,O,O,X,O,O,O,X,O,X,X
LTISJZO,X,O,O,O,X,X,X,X,X,X,X,X
LTISJOZ,O,O,O,O,X,X,O,X,X,X,X,X
LTISZJO,X,O,O,O,X,X,X,X,X,X,X,X
LTISZOJ,O,O,O,O,X,X,X,X,X,X,X,X
LTISOJZ,O,O,O,O,X,X,O,X,X,X,X,X
LTISOZJ,O,O,O,O,X,X,X,X,X,X,X,X
LTIZJSO,X,X,O,O,X,O,X,X,X,O,X,X
LTIZJOS,X,X,O,O,X,O,X,X,X,O,X,X
LTIZSJO,X,X,O,O,O,O,X,X,X,X,X,X
LTIZSOJ,O,X,O,O,O,O,X,X,X,X,X,X
LTIZOJS,X,X,O,O,X,X,X,O,X,O,X,O
LTIZOSJ,O,X,O,O,O,X,X,X,X,X,X,O
LTIOJSZ,O,O,O,O,X,X,O,O,X,O,X,X
LTIOJZS,O,O,O,O,X,X,O,O,X,O,X,O
LTIOSJZ,O,O,O,O,X,X,O,X,X,X,X,X
LTIOSZJ,O,O,O,O,X,X,X,X,X,X,X,O
LTIOZJS,X,X,O,O,X,X,X,O,X,X,X,O
LTIOZSJ,O,X,O,O,O,X,X,X,X,X,X,O
LTJISZO,O,O,O,O,X,O,X,X,X,O,X,X
LTJISOZ,O,O,O,O,X,X,O,X,X,X,X,X
LTJIZSO,O,O,O,O,O,O,X,X,X,O,X,X
LTJIZOS,O,O,O,O,O,O,X,X,X,O,X,X
LTJIOSZ,O,O,O,O,X,X,O,O,X,X,X,X
LTJIOZS,O,O,O,O,O,O,O,O,X,O,X,X
LTJSIZO,O,O,X,O,X,O,X,X,X,O,X,X
LTJSIOZ,O,O,X,O,X,X,O,X,X,X,X,X
LTJSZIO,O,O,X,X,X,O,X,X,X,O,X,X
LTJSZOI,O,O,X,X,X,O,O,X,X,X,X,X
LTJSOIZ,O,O,X,O,X,X,O,O,X,X,X,X
LTJSOZI,O,O,X,X,X,X,O,O,X,X,X,X
LTJZISO,O,O,O,X,O,O,X,X,X,O,X,X
LTJZIOS,O,O,O,X,O,O,X,X,X,O,X,X
LTJZSIO,O,O,X,X,O,O,X,X,X,O,X,X
LTJZSOI,O,O,X,X,O,O,O,X,X,X,X,X
LTJZOIS,O,O,O,X,O,O,O,O,X,O,X,X
LTJZOSI,O,O,X,X,O,O,O,O,X,X,X,X
LTJOISZ,O,O,O,O,X,X,O,O,X,O,X,X
LTJOIZS,O,O,O,O,O,O,O,O,X,O,X,O
LTJOSIZ,O,O,X,O,X,X,O,O,X,O,X,X
LTJOSZI,O,O,X,X,X,X,O,O,X,O,X,X
LTJOZIS,O,O,O,X,O,O,O,O,X,O,X,O
LTJOZSI,O,O,X,X,O,O,O,O,X,O,X,X
LTSIJZO,X,O,O,O,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,X,X,O,X,X,X,X,X
LTSIZJO,X,O,O,O,X,X,X,X,O,X,X,X
LTSIZOJ,O,O,O,O,X,X,X,X,O,X,X,X
LTSIOJZ,O,O,O,O,X,X,O,X,X,X,X,X
LTSIOZJ,O,O,O,O,X,X,X,X,X,X,X,X
LTSJIZO,O,O,X,O,X,O,X,X,X,O,X,X
LTSJIOZ,O,O,X,O,X,X,O,X,X,X,X,X
LTSJZIO,O,O,X,X,X,O,X,X,O,O,X,X
LTSJZOI,O,O,X,X,X,O,O,X,O,X,X,X
LTSJOIZ,O,O,X,O,X,X,O,O,X,X,X,X
LTSJOZI,O,O,X,X,X,X,O,O,X,X,X,X
LTSZIJO,X,O,O,O,X,O,X,X,O,X,X,X
LTSZIOJ,O,O,O,O,X,O,X,X,O,X,X,X
LTSZJIO,X,O,X,X,X,O,X,X,O,X,X,X
LTSZJOI,X,O,X,X,X,O,O,X,O,X,X,X
LTSZOIJ,O,O,O,O,X,O,X,X,O,X,X,X
LTSZOJI,O,O,X,X,X,O,O,O,O,X,X,X
LTSOIJZ,O,O,O,O,X,X,O,X,X,X,X,X
LTSOIZJ,O,O,O,O,X,X,X,X,X,X,X,O
LTSOJIZ,O,O,X,O,X,X,O,O,X,O,X,X
LTSOJZI,O,O,X,X,X,X,O,O,X,O,X,X
LTSOZIJ,O,O,O,O,X,X,X,X,O,X,X,O
LTSOZJI,O,O,X,X,X,X,O,O,O,X,X,X
LTZIJSO,O,O,O,O,X,O,X,X,X,O,X,X
LTZIJOS,O,O,O,O,X,O,X,X,X,O,X,X
LTZISJO,O,O,O,O,O,O,X,X,X,X,X,X
LTZISOJ,O,O,O,O,O,O,X,X,X,X,X,X
LTZIOJS,O,O,O,O,X,X,X,O,X,O,X,O
LTZIOSJ,O,O,O,O,O,X,X,X,X,X,X,O
LTZJISO,O,O,O,X,X,O,X,X,X,O,X,X
LTZJIOS,O,O,O,X,X,O,X,X,X,O,X,X
LTZJSIO,O,O,X,X,X,O,X,X,X,O,X,X
LTZJSOI,O,O,X,X,X,O,O,X,X,X,X,X
LTZJOIS,O,O,O,X,X,O,O,O,X,O,X,X
LTZJOSI,O,O,X,X,X,O,O,O,X,X,X,X
LTZSIJO,O,O,O,O,X,O,X,X,O,X,X,X
LTZSIOJ,O,O,O,O,O,O,X,X,O,X,X,X
LTZSJIO,O,O,X,X,X,O,X,X,O,X,X,X
LTZSJOI,O,O,X,X,O,O,O,X,O,X,X,X
LTZSOIJ,O,O,O,O,O,O,X,X,O,X,X,X
LTZSOJI,O,O,X,X,O,O,O,O,O,X,X,X
LTZOIJS,O,O,O,O,X,X,X,O,X,O,X,O
LTZOISJ,O,O,O,O,O,X,X,X,X,X,X,O
LTZOJIS,O,O,O,X,X,O,O,O,X,O,X,O
LTZOJSI,O,O,X,X,X,O,O,O,X,O,X,X
LTZOSIJ,O,O,O,O,O,O,X,X,X,X,X,O
LTZOSJI,O,O,X,X,O,O,O,O,X,X,X,X
LTOIJSZ,O,O,O,O,X,X,O,O,X,O,X,X
LTOIJZS,O,O,O,O,X,X,O,O,X,O,X,O
LTOISJZ,O,O,O,O,X,X,O,X,X,X,X,X
LTOISZJ,O,O,O,O,X,X,X,X,X,X,X,O
LTOIZJS,X,X,O,O,X,X,X,O,X,X,X,O
LTOIZSJ,O,X,O,O,O,X,X,X,X,X,X,O
LTOJISZ,O,O,O,O,X,X,O,O,X,O,X,X
LTOJIZS,O,O,O,O,O,O,O,O,X,O,X,O
LTOJSIZ,O,O,X,O,X,X,O,O,X,O,X,X
LTOJSZI,O,O,X,X,X,X,O,O,X,O,X,X
LTOJZIS,O,O,O,X,O,O,O,O,X,O,X,O
LTOJZSI,O,O,X,X,O,O,O,O,X,O,X,X
LTOSIJZ,O,O,O,O,X,X,O,X,X,X,X,X
LTOSIZJ,O,O,O,O,X,X,X,X,X,X,X,O
LTOSJIZ,O,O,X,O,X,X,O,O,X,O,X,X
LTOSJZI,O,O,X,X,X,X,O,O,X,O,X,X
LTOSZIJ,O,O,O,O,X,X,X,X,X,X,X,O
