sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TLISZJO,X,O,O,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,O,O,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,O,X,X,O,X,X,X,X,X
TLISOZJ,O,O,O,O,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,O,X,O,X,X,X,O,X,X
TLIZJOS,X,X,O,O,X,O,X,X,X,O,X,X
TLIZSJO,X,X,O,O,O,O,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,O,O,X,X,X,X,X,X
TLIZOJS,X,X,O,O,X,X,X,O,X,O,X,O
TLIZOSJ,O,X,O,O,O,X,X,X,X,X,X,O
TLIOJSZ,O,O,O,O,X,X,O,O,X,O,X,X
TLIOJZS,O,O,O,O,X,X,O,O,X,O,X,O
TLIOSJZ,O,O,O,O,X,X,O,X,X,X,X,X
TLIOSZJ,O,O,O,O,X,X,X,X,X,X,X,O
TLIOZJS,X,X,O,O,X,X,X,O,X,X,X,O
TLIOZSJ,O,X,O,O,O,X,X,X,X,X,X,O
TLJISZO,O,O,O,O,X,O,X,X,X,O,X,X
TLJISOZ,O,O,O,O,X,X,O,X,X,X,X,X
TLJIZSO,O,O,O,O,O,O,X,X,X,O,X,X
TLJIZOS,O,O,O,O,O,O,X,X,X,O,X,X
TLJIOSZ,O,O,O,O,X,X,O,O,X,X,X,X
TLJIOZS,O,O,O,O,O,O,O,O,X,O,X,X
TLJSIZO,O,O,X,O,X,O,X,X,X,O,X,X
TLJSIOZ,O,O,X,O,X,X,O,X,X,X,X,X
TLJSZIO,O,O,X,X,X,O,X,X,X,O,X,X
TLJSZOI,O,O,X,X,X,O,O,X,X,X,X,X
TLJSOIZ,O,O,X,O,X,X,O,O,X,X,X,X
TLJSOZI,O,O,X,X,X,X,O,O,X,X,X,X
TLJZISO,O,O,O,X,O,O,X,X,X,O,X,X
TLJZIOS,O,O,O,X,O,O,X,X,X,O,X,X
TLJZSIO,O,O,X,X,O,O,X,X,X,O,X,X
TLJZSOI,O,O,X,X,O,O,O,X,X,X,X,X
TLJZOIS,O,O,O,X,O,O,O,O,X,O,X,X
TLJZOSI,O,O,X,X,O,O,O,O,X,X,X,X
TLJOISZ,O,O,O,O,X,X,O,O,X,O,X,X
TLJOIZS,O,O,O,O,O,O,O,O,X,O,X,O
TLJOSIZ,O,O,X,O,X,X,O,O,X,O,X,X
TLJOSZI,O,O,X,X,X,X,O,O,X,O,X,X
TLJOZIS,O,O,O,X,O,O,O,O,X,O,X,O
TLJOZSI,O,O,X,X,O,O,O,O,X,O,X,X
TLSIJZO,X,O,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,X,X,O,X,X,X,X,X
TLSIZJO,X,O,O,O,X,X,X,X,O,X,X,X
