sequence,v115@EhD8EeF8DeI8BeC8JeT6IvhFegBCcBxdBlhB3lB0rB,v115@EhD8EeF8DeI8BeC8Jei6IvhFFcBxdBzfB+lB3hB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhF0cBxdBmgBXgB1qBqrB,v115@EhD8EeF8DeI8BeC8JeT6IvhFxdBSlBXmBOlBlmB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhFibBxdBUhBFlBGrBfsB,v115@EhD8EeF8DeI8BeC8JeT6IvhF2gBxdB3hBFlBCmB0rB,v115@EhD8EeF8DeI8BeC8Je//IvhFFbBOhBxdBclBSrBzrB,v115@EhD8EeF8DeI8BeC8Jei6IvhFfhBxdBzfBumB1qB0rB
TZJOSLI,X,X,X,X,O,O,X,O
TZSILJO,O,X,X,X,X,O,O,X
TZSILOJ,X,X,X,X,X,O,O,X
TZSIJLO,O,X,X,X,X,O,O,X
TZSIJOL,O,X,X,X,X,O,X,X
TZSIOLJ,X,X,X,X,X,O,O,X
TZSIOJL,O,X,X,X,X,O,X,X
TZSLIJO,O,X,X,X,X,O,O,X
TZSLIOJ,X,X,X,X,X,O,O,X
TZSLJIO,O,X,X,X,O,O,O,X
TZSLJOI,O,X,X,X,O,O,O,X
TZSLOIJ,X,X,X,X,X,O,O,X
TZSLOJI,X,X,X,X,O,O,O,X
TZSJILO,O,X,X,X,O,O,O,X
TZSJIOL,O,X,X,X,O,O,X,O
TZSJLIO,O,X,X,X,O,O,O,X
TZSJLOI,O,X,X,X,O,O,O,X
TZSJOIL,O,X,X,X,O,O,X,O
TZSJOLI,O,X,X,X,O,O,X,O
TZSOILJ,X,X,X,X,X,O,O,X
TZSOIJL,O,X,X,X,X,O,X,X
TZSOLIJ,X,X,X,X,X,O,O,X
TZSOLJI,X,X,X,X,O,O,O,O
TZSOJIL,O,X,X,X,O,O,X,O
TZSOJLI,O,X,X,X,O,O,X,O
TZOILJS,X,X,O,X,O,O,X,X
TZOILSJ,X,X,O,X,X,O,X,X
TZOIJLS,O,X,X,X,O,O,X,X
TZOIJSL,X,X,X,X,O,O,X,X
TZOISLJ,X,X,X,X,X,O,X,X
TZOISJL,O,X,X,X,X,O,X,X
TZOLIJS,X,X,O,X,O,O,X,X
TZOLISJ,X,X,O,X,X,O,X,X
TZOLJIS,X,X,O,X,O,O,X,O
TZOLJSI,X,X,O,X,O,O,X,O
TZOLSIJ,X,X,O,X,X,O,X,X
TZOLSJI,X,X,O,X,O,O,X,O
TZOJILS,O,X,X,X,O,O,X,O
TZOJISL,X,X,X,X,O,O,X,O
TZOJLIS,O,X,X,X,O,O,X,O
TZOJLSI,X,X,X,X,O,O,X,O
TZOJSIL,X,X,X,X,O,O,X,O
TZOJSLI,X,X,X,X,O,O,X,O
TZOSILJ,X,X,X,X,X,O,X,X
TZOSIJL,O,X,X,X,X,O,X,X
TZOSLIJ,X,X,X,X,X,O,X,X
TZOSLJI,X,X,X,X,O,O,X,O
TZOSJIL,O,X,X,X,O,O,X,O
TZOSJLI,O,X,X,X,O,O,X,O
TOILJSZ,O,O,O,X,X,O,X,O
TOILJZS,O,O,O,X,O,X,X,O
TOILSJZ,O,O,O,O,X,O,X,O
TOILSZJ,X,X,O,O,X,X,X,X
TOILZJS,X,X,O,X,O,O,X,X
TOILZSJ,X,X,O,X,X,O,X,X
TOIJLSZ,O,O,O,X,X,O,X,O
TOIJLZS,O,O,O,X,O,X,X,O
TOIJSLZ,O,O,X,X,X,O,X,O
TOIJSZL,O,O,X,X,X,O,X,O
TOIJZLS,O,O,X,X,O,O,X,O
TOIJZSL,X,O,X,X,O,O,X,O
TOISLJZ,O,O,O,X,X,O,X,O
TOISLZJ,X,X,O,X,X,X,X,X
TOISJLZ,O,O,X,X,X,O,X,O
TOISJZL,O,O,X,X,X,O,X,O
TOISZLJ,X,X,X,X,X,O,X,X
TOISZJL,O,X,X,X,X,O,X,X
TOIZLJS,X,X,O,X,O,O,X,X
TOIZLSJ,X,X,O,X,X,O,X,X
TOIZJLS,O,X,X,X,O,O,X,X
TOIZJSL,X,X,X,X,O,O,X,X
TOIZSLJ,X,X,X,X,X,O,X,X
TOIZSJL,O,X,X,X,X,O,X,X
TOLIJSZ,O,O,O,X,X,O,X,O
TOLIJZS,O,O,O,X,O,X,X,O
TOLISJZ,O,O,O,O,X,O,X,O
TOLISZJ,X,X,O,O,X,X,X,X
TOLIZJS,X,X,O,X,O,O,X,X
TOLIZSJ,X,X,O,X,X,O,X,X
TOLJISZ,O,O,O,X,X,O,X,O
TOLJIZS,O,O,O,X,O,X,X,O
TOLJSIZ,O,O,O,X,X,O,X,O
TOLJSZI,X,O,O,X,O,O,X,O
TOLJZIS,O,O,O,X,O,X,X,O
TOLJZSI,X,O,O,X,O,X,X,O
TOLSIJZ,O,O,O,O,X,O,X,O
TOLSIZJ,X,X,O,O,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,X,O
TOLSJZI,O,O,O,O,O,O,X,O
TOLSZIJ,X,X,O,O,X,X,X,X
TOLSZJI,X,X,O,O,O,X,X,O
TOLZIJS,X,X,O,X,O,O,X,X
TOLZISJ,X,X,O,X,X,O,X,X
TOLZJIS,X,X,O,X,O,O,X,O
TOLZJSI,X,X,O,X,O,O,X,O
TOLZSIJ,X,X,O,X,X,O,X,X
TOLZSJI,X,X,O,X,O,O,X,O
TOJILSZ,O,O,O,X,X,O,X,O
TOJILZS,O,O,O,X,O,X,X,O
TOJISLZ,O,O,X,X,X,O,X,O
TOJISZL,O,O,X,X,X,O,X,O
TOJIZLS,O,O,X,X,O,O,X,O
TOJIZSL,X,O,X,X,O,O,X,O
TOJLISZ,O,O,O,X,X,O,X,O
TOJLIZS,O,O,O,X,O,X,X,O
TOJLSIZ,O,O,O,X,X,O,X,O
TOJLSZI,X,O,O,X,O,O,X,O
TOJLZIS,O,O,O,X,O,X,X,O
TOJLZSI,X,O,O,X,O,X,X,O
TOJSILZ,O,O,X,X,X,O,X,O
TOJSIZL,O,O,X,X,X,O,X,O
TOJSLIZ,O,O,X,X,X,O,X,O
TOJSLZI,O,O,X,X,O,O,X,O
TOJSZIL,O,O,X,X,O,O,X,O
TOJSZLI,O,O,X,X,O,O,X,O
TOJZILS,O,O,X,X,O,O,X,O
TOJZISL,X,O,X,X,O,O,X,O
TOJZLIS,O,O,X,X,O,O,X,O
TOJZLSI,X,O,X,X,O,O,X,O
TOJZSIL,X,O,X,X,O,O,X,O
TOJZSLI,X,O,X,X,O,O,X,O
TOSILJZ,O,O,O,X,X,O,X,O
TOSILZJ,X,X,O,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,O,X,O
TOSIJZL,O,O,X,X,X,O,X,O
TOSIZLJ,X,X,X,X,X,O,X,X
TOSIZJL,O,X,X,X,X,O,X,X
TOSLIJZ,O,O,O,X,X,O,X,O
TOSLIZJ,X,X,O,X,X,X,X,X
TOSLJIZ,O,O,O,X,X,O,X,O
TOSLJZI,O,O,O,X,O,O,X,O
TOSLZIJ,X,X,O,X,X,X,X,X
TOSLZJI,X,X,O,X,O,X,X,O
TOSJILZ,O,O,X,X,X,O,X,O
TOSJIZL,O,O,X,X,X,O,X,O
TOSJLIZ,O,O,X,X,X,O,X,O
TOSJLZI,O,O,X,X,O,O,X,O
TOSJZIL,O,O,X,X,O,O,X,O
TOSJZLI,O,O,X,X,O,O,X,O
TOSZILJ,X,X,X,X,X,O,X,X
TOSZIJL,O,X,X,X,X,O,X,X
TOSZLIJ,X,X,X,X,X,O,X,X
TOSZLJI,X,X,X,X,O,O,X,O
TOSZJIL,O,X,X,X,O,O,X,O
TOSZJLI,O,X,X,X,O,O,X,O
TOZILJS,X,X,O,X,O,O,X,X
TOZILSJ,X,X,O,X,X,O,X,X
TOZIJLS,O,X,X,X,O,O,X,X
TOZIJSL,X,X,X,X,O,O,X,X
TOZISLJ,X,X,X,X,X,O,X,X
TOZISJL,O,X,X,X,X,O,X,X
TOZLIJS,X,X,O,X,O,O,X,X
TOZLISJ,X,X,O,X,X,O,X,X
TOZLJIS,X,X,O,X,O,O,X,O
TOZLJSI,X,X,O,X,O,O,X,O
TOZLSIJ,X,X,O,X,X,O,X,X
TOZLSJI,X,X,O,X,O,O,X,O
TOZJILS,O,X,X,X,O,O,X,O
TOZJISL,X,X,X,X,O,O,X,O
TOZJLIS,O,X,X,X,O,O,X,O
TOZJLSI,X,X,X,X,O,O,X,O
TOZJSIL,X,X,X,X,O,O,X,O
TOZJSLI,X,X,X,X,O,O,X,O
TOZSILJ,X,X,X,X,X,O,X,X
TOZSIJL,O,X,X,X,X,O,X,X
TOZSLIJ,X,X,X,X,X,O,X,X
TOZSLJI,X,X,X,X,O,O,X,O
TOZSJIL,O,X,X,X,O,O,X,O
TOZSJLI,O,X,X,X,O,O,X,O
ITLJSZO,O,O,O,X,X,X,O,X
ITLJSOZ,O,O,O,X,X,O,X,X
ITLJZSO,X,O,O,X,O,X,O,X
ITLJZOS,O,O,O,X,O,X,X,X
ITLJOSZ,O,O,O,X,X,O,X,O
ITLJOZS,O,O,O,X,O,X,X,O
ITLSJZO,O,O,O,O,X,X,O,X
ITLSJOZ,O,O,O,O,X,O,X,X
ITLSZJO,O,O,O,O,X,X,O,X
ITLSZOJ,X,X,O,O,X,X,O,X
ITLSOJZ,O,O,O,O,X,O,X,X
ITLSOZJ,X,X,O,O,X,X,X,X
ITLZJSO,X,X,O,X,O,O,O,X
ITLZJOS,O,X,O,X,O,O,X,X
ITLZSJO,O,X,O,X,X,O,O,X
ITLZSOJ,X,X,O,X,X,O,O,X
ITLZOJS,X,X,O,X,O,O,X,X
ITLZOSJ,X,X,O,X,X,O,X,X
ITLOJSZ,O,O,O,X,X,O,X,O
ITLOJZS,O,O,O,X,O,X,X,O
ITLOSJZ,O,O,O,O,X,O,X,X
ITLOSZJ,X,X,O,O,X,X,X,X
ITLOZJS,X,X,O,X,O,O,X,X
ITLOZSJ,X,X,O,X,X,O,X,X
ITJLSZO,O,O,O,X,X,X,X,X
ITJLSOZ,O,O,O,X,X,O,X,O
ITJLZSO,X,O,O,X,O,X,X,X
ITJLZOS,O,O,O,X,O,X,X,X
ITJLOSZ,O,O,O,X,X,O,X,O
ITJLOZS,O,O,O,X,O,X,X,O
ITJSLZO,O,O,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,O,X,O
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,O,X,O
ITJSOLZ,O,O,X,X,X,O,X,O
ITJSOZL,O,O,X,X,X,O,X,O
ITJZLSO,X,O,X,X,O,O,X,X
ITJZLOS,O,O,X,X,O,O,X,X
ITJZSLO,X,O,X,X,O,O,X,X
ITJZSOL,X,O,X,X,O,O,X,O
ITJZOLS,O,O,X,X,O,O,X,O
ITJZOSL,X,O,X,X,O,O,X,O
ITJOLSZ,O,O,O,X,X,O,X,O
ITJOLZS,O,O,O,X,O,X,X,O
ITJOSLZ,O,O,X,X,X,O,X,O
ITJOSZL,O,O,X,X,X,O,X,O
ITJOZLS,O,O,X,X,O,O,X,O
ITJOZSL,X,O,X,X,O,O,X,O
ITSLJZO,O,O,O,O,X,X,O,X
ITSLJOZ,O,O,O,O,X,O,X,X
ITSLZJO,O,O,O,O,X,X,O,X
ITSLZOJ,X,X,O,O,X,X,O,X
ITSLOJZ,O,O,O,O,X,O,X,X
ITSLOZJ,X,X,O,O,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,O,X,O
ITSJZLO,O,O,X,X,X,X,O,X
ITSJZOL,O,O,X,X,X,O,X,O
ITSJOLZ,O,O,X,X,X,O,X,O
ITSJOZL,O,O,X,X,X,O,X,O
ITSZLJO,O,O,X,X,X,O,O,X
ITSZLOJ,X,X,X,X,X,O,O,X
ITSZJLO,O,O,X,X,X,O,O,X
ITSZJOL,O,O,X,X,X,O,X,X
ITSZOLJ,X,X,X,X,X,O,O,X
ITSZOJL,O,X,X,X,X,O,X,X
ITSOLJZ,O,O,O,X,X,O,X,O
ITSOLZJ,X,X,O,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,O,X,O
ITSOJZL,O,O,X,X,X,O,X,O
ITSOZLJ,X,X,X,X,X,O,O,X
ITSOZJL,O,X,X,X,X,O,X,X
ITZLJSO,X,X,O,X,O,O,O,X
ITZLJOS,O,X,O,X,O,O,X,X
ITZLSJO,O,X,O,X,X,O,O,X
ITZLSOJ,X,X,O,X,X,O,O,X
ITZLOJS,X,X,O,X,O,O,X,X
ITZLOSJ,X,X,O,X,X,O,X,X
ITZJLSO,X,X,X,X,O,O,X,X
ITZJLOS,O,X,X,X,O,O,X,X
ITZJSLO,X,X,X,X,O,O,X,X
ITZJSOL,X,X,X,X,O,O,X,X
ITZJOLS,O,X,X,X,O,O,X,X
ITZJOSL,X,X,X,X,O,O,X,X
ITZSLJO,O,X,X,X,X,O,O,X
ITZSLOJ,X,X,X,X,X,O,O,X
ITZSJLO,O,X,X,X,X,O,O,X
ITZSJOL,O,X,X,X,X,O,X,X
ITZSOLJ,X,X,X,X,X,O,O,X
ITZSOJL,O,X,X,X,X,O,X,X
ITZOLJS,X,X,O,X,O,O,X,X
ITZOLSJ,X,X,O,X,X,O,X,X
ITZOJLS,O,X,X,X,O,O,X,X
ITZOJSL,X,X,X,X,O,O,X,X
ITZOSLJ,X,X,X,X,X,O,X,X
ITZOSJL,O,X,X,X,X,O,X,X
ITOLJSZ,O,O,O,X,X,O,X,O
ITOLJZS,O,O,O,X,O,X,X,O
ITOLSJZ,O,O,O,O,X,O,X,O
ITOLSZJ,X,X,O,O,X,X,X,X
ITOLZJS,X,X,O,X,O,O,X,X
ITOLZSJ,X,X,O,X,X,O,X,X
ITOJLSZ,O,O,O,X,X,O,X,O
ITOJLZS,O,O,O,X,O,X,X,O
ITOJSLZ,O,O,X,X,X,O,X,O
ITOJSZL,O,O,X,X,X,O,X,O
ITOJZLS,O,O,X,X,O,O,X,O
ITOJZSL,X,O,X,X,O,O,X,O
ITOSLJZ,O,O,O,X,X,O,X,O
ITOSLZJ,X,X,O,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,O,X,O
ITOSJZL,O,O,X,X,X,O,X,O
ITOSZLJ,X,X,X,X,X,O,X,X
ITOSZJL,O,X,X,X,X,O,X,X
ITOZLJS,X,X,O,X,O,O,X,X
ITOZLSJ,X,X,O,X,X,O,X,X
ITOZJLS,O,X,X,X,O,O,X,X
ITOZJSL,X,X,X,X,O,O,X,X
ITOZSLJ,X,X,X,X,X,O,X,X
ITOZSJL,O,X,X,X,X,O,X,X
ILTJSZO,O,O,O,X,X,X,O,X
ILTJSOZ,O,O,O,X,X,O,X,X
ILTJZSO,X,O,O,X,X,X,O,X
ILTJZOS,O,O,O,X,X,X,X,X
ILTJOSZ,O,O,O,X,X,O,X,O
ILTJOZS,O,O,O,X,X,X,X,O
ILTSJZO,O,O,O,O,X,X,O,X
ILTSJOZ,O,O,O,O,X,O,X,X
ILTSZJO,O,O,O,O,X,X,O,X
ILTSZOJ,X,X,O,O,X,X,O,X
ILTSOJZ,O,O,O,O,X,O,X,X
ILTSOZJ,X,X,O,O,X,X,X,X
ILTZJSO,X,X,O,X,X,O,O,X
ILTZJOS,O,X,O,X,X,O,X,X
ILTZSJO,O,X,O,X,X,O,O,X
ILTZSOJ,X,X,O,X,X,O,O,X
ILTZOJS,X,X,O,X,X,O,X,X
ILTZOSJ,X,X,O,X,X,O,X,X
ILTOJSZ,O,O,O,X,X,O,X,O
ILTOJZS,O,O,O,X,X,X,X,O
ILTOSJZ,O,O,O,O,X,O,X,X
ILTOSZJ,X,X,O,O,X,X,X,X
ILTOZJS,X,X,O,X,X,O,X,X
ILTOZSJ,X,X,O,X,X,O,X,X
ILJTSZO,X,O,O,X,X,X,O,X
ILJTSOZ,O,O,O,X,X,X,X,O
ILJTZSO,X,O,O,X,X,X,O,X
ILJTZOS,O,O,O,X,X,X,X,X
ILJTOSZ,O,O,O,X,X,X,X,O
ILJTOZS,O,O,O,X,X,X,X,O
ILJSTZO,O,O,X,O,X,X,O,X
ILJSTOZ,O,O,X,O,X,X,X,X
ILJSZTO,X,O,X,O,X,X,O,X
ILJSZOT,O,O,X,O,X,X,O,X
ILJSOTZ,O,O,X,O,X,X,X,O
ILJSOZT,O,O,X,O,X,X,O,X
ILJZTSO,X,O,O,X,X,X,O,X
ILJZTOS,X,O,O,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,O,X
ILJZSOT,X,O,X,X,X,X,O,X
ILJZOTS,X,O,O,X,X,X,X,O
ILJZOST,X,O,X,X,X,X,O,X
ILJOTSZ,O,O,O,X,X,X,X,O
ILJOTZS,O,O,O,X,X,X,X,O
ILJOSTZ,O,O,X,O,X,X,X,O
ILJOSZT,O,O,X,O,X,X,O,X
ILJOZTS,X,O,O,X,X,X,X,O
ILJOZST,X,O,X,X,X,X,O,X
ILSTJZO,O,O,O,O,X,X,O,X
ILSTJOZ,O,O,O,O,X,O,X,X
ILSTZJO,O,O,O,O,X,X,O,X
ILSTZOJ,X,X,O,O,X,X,O,X
ILSTOJZ,O,O,O,O,X,O,X,X
ILSTOZJ,X,X,O,O,X,X,X,X
ILSJTZO,O,O,X,O,X,X,O,X
ILSJTOZ,O,O,X,O,X,X,X,X
ILSJZTO,X,O,X,O,X,X,O,X
ILSJZOT,O,O,X,O,X,X,O,X
ILSJOTZ,O,O,X,O,X,X,X,O
ILSJOZT,O,O,X,O,X,X,O,X
ILSZTJO,X,O,O,O,X,X,O,X
ILSZTOJ,X,X,O,O,X,X,O,X
ILSZJTO,X,O,X,O,X,X,O,X
ILSZJOT,O,X,X,O,X,X,O,X
ILSZOTJ,X,X,O,O,X,X,O,X
ILSZOJT,X,X,X,O,X,X,O,X
ILSOTJZ,O,O,O,O,X,O,X,X
ILSOTZJ,X,X,O,O,X,X,X,X
ILSOJTZ,O,O,X,O,X,X,X,O
ILSOJZT,O,O,X,O,X,X,O,X
ILSOZTJ,X,X,O,O,X,X,O,X
ILSOZJT,X,O,X,O,X,X,O,X
ILZTJSO,X,X,O,X,X,X,O,X
ILZTJOS,X,X,O,X,X,X,X,X
ILZTSJO,X,X,O,X,X,X,O,X
ILZTSOJ,X,X,O,X,X,X,O,X
ILZTOJS,X,X,O,X,X,X,X,X
ILZTOSJ,X,X,O,X,X,X,X,X
ILZJTSO,X,O,O,X,X,X,O,X
ILZJTOS,X,O,O,X,X,X,X,X
ILZJSTO,X,O,X,X,X,X,O,X
ILZJSOT,X,O,X,X,X,X,O,X
ILZJOTS,X,O,O,X,X,X,X,O
ILZJOST,X,O,X,X,X,X,O,X
ILZSTJO,X,O,O,O,X,X,O,X
ILZSTOJ,X,X,O,O,X,X,O,X
ILZSJTO,X,O,X,O,X,X,O,X
ILZSJOT,X,X,X,O,X,X,O,X
ILZSOTJ,X,X,O,O,X,X,O,X
ILZSOJT,X,X,X,O,X,X,O,X
ILZOTJS,X,X,O,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,X,X
ILZOJTS,X,O,O,X,X,X,X,O
ILZOJST,X,O,X,X,X,X,O,X
ILZOSTJ,X,X,O,O,X,X,O,X
ILZOSJT,X,O,X,O,X,X,O,X
ILOTJSZ,O,O,O,X,X,O,X,O
ILOTJZS,O,O,O,X,X,X,X,O
ILOTSJZ,O,O,O,O,X,O,X,O
ILOTSZJ,X,X,O,O,X,X,X,X
ILOTZJS,X,X,O,X,X,O,X,X
ILOTZSJ,X,X,O,X,X,O,X,X
ILOJTSZ,O,O,O,X,X,X,X,O
ILOJTZS,O,O,O,X,X,X,X,O
ILOJSTZ,O,O,X,O,X,X,X,O
ILOJSZT,O,O,X,O,X,X,O,X
ILOJZTS,X,O,O,X,X,X,X,O
ILOJZST,X,O,X,X,X,X,O,X
ILOSTJZ,O,O,O,O,X,O,X,X
ILOSTZJ,X,X,O,O,X,X,X,X
ILOSJTZ,O,O,X,O,X,X,X,O
ILOSJZT,O,O,X,O,X,X,O,X
ILOSZTJ,X,X,O,O,X,X,O,X
ILOSZJT,X,O,X,O,X,X,O,X
ILOZTJS,X,X,O,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X,X
ILOZJTS,X,O,O,X,X,X,X,O
ILOZJST,X,O,X,X,X,X,O,X
ILOZSTJ,X,X,O,O,X,X,O,X
ILOZSJT,X,O,X,O,X,X,O,X
IJTLSZO,O,O,O,X,X,X,X,X
IJTLSOZ,O,O,O,X,X,O,X,O
IJTLZSO,X,O,O,X,O,X,X,X
IJTLZOS,O,O,O,X,O,X,X,X
IJTLOSZ,O,O,O,X,X,O,X,O
IJTLOZS,O,O,O,X,O,X,X,O
IJTSLZO,O,O,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,O,X,O
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,O,X,O
IJTSOLZ,O,O,X,X,X,O,X,O
IJTSOZL,O,O,X,X,X,O,X,O
IJTZLSO,X,O,X,X,O,O,X,X
IJTZLOS,O,O,X,X,O,O,X,X
IJTZSLO,X,O,X,X,O,O,X,X
IJTZSOL,X,O,X,X,O,O,X,O
IJTZOLS,O,O,X,X,O,O,X,O
IJTZOSL,X,O,X,X,O,O,X,O
IJTOLSZ,O,O,O,X,X,O,X,O
IJTOLZS,O,O,O,X,O,X,X,O
IJTOSLZ,O,O,X,X,X,O,X,O
IJTOSZL,O,O,X,X,X,O,X,O
IJTOZLS,O,O,X,X,O,O,X,O
IJTOZSL,X,O,X,X,O,O,X,O
IJLTSZO,X,O,O,X,X,X,O,X
IJLTSOZ,O,O,O,X,X,X,X,O
IJLTZSO,X,O,O,X,X,X,O,X
IJLTZOS,O,O,O,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,X,X,O
IJLTOZS,O,O,O,X,X,X,X,O
IJLSTZO,O,O,X,O,X,X,O,X
IJLSTOZ,O,O,X,O,X,X,X,X
IJLSZTO,X,O,X,O,X,X,O,X
IJLSZOT,O,O,X,O,X,X,O,X
IJLSOTZ,O,O,X,O,X,X,X,O
IJLSOZT,O,O,X,O,X,X,O,X
IJLZTSO,X,O,O,X,X,X,O,X
IJLZTOS,X,O,O,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,O,X
IJLZSOT,X,O,X,X,X,X,O,X
IJLZOTS,X,O,O,X,X,X,X,O
IJLZOST,X,O,X,X,X,X,O,X
IJLOTSZ,O,O,O,X,X,X,X,O
IJLOTZS,O,O,O,X,X,X,X,O
IJLOSTZ,O,O,X,O,X,X,X,O
IJLOSZT,O,O,X,O,X,X,O,X
IJLOZTS,X,O,O,X,X,X,X,O
IJLOZST,X,O,X,X,X,X,O,X
IJSTLZO,O,O,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,O,X,O
IJSTZLO,O,O,X,X,X,X,O,X
IJSTZOL,O,O,X,X,X,O,X,O
IJSTOLZ,O,O,X,X,X,O,X,O
IJSTOZL,O,O,X,X,X,O,X,O
IJSLTZO,O,O,X,O,X,X,O,X
IJSLTOZ,O,O,X,O,X,X,X,X
IJSLZTO,X,O,X,O,X,X,O,X
IJSLZOT,O,O,X,O,X,X,O,X
IJSLOTZ,O,O,X,O,X,X,X,O
IJSLOZT,O,O,X,O,X,X,O,X
IJSZTLO,O,O,X,X,X,X,O,X
IJSZTOL,O,O,X,X,X,X,X,X
IJSZLTO,X,O,X,X,X,X,O,X
IJSZLOT,O,O,X,X,X,X,O,X
IJSZOTL,O,O,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,O,X,O
IJSOTZL,O,O,X,X,X,O,X,O
IJSOLTZ,O,O,X,X,X,X,X,O
IJSOLZT,O,O,X,X,X,X,X,X
IJSOZTL,O,O,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X
IJZTLSO,X,O,X,X,O,X,X,X
IJZTLOS,O,O,X,X,O,X,X,X
IJZTSLO,X,O,X,X,O,X,X,X
IJZTSOL,X,O,X,X,O,X,X,O
IJZTOLS,O,O,X,X,O,X,X,O
IJZTOSL,X,O,X,X,O,X,X,O
IJZLTSO,X,O,O,X,X,X,O,X
IJZLTOS,X,O,O,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,O,X
IJZLSOT,X,O,X,X,X,X,O,X
IJZLOTS,X,O,O,X,X,X,X,O
IJZLOST,X,O,X,X,X,X,O,X
IJZSTLO,O,O,X,X,X,X,O,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,X,O,X,X,X,X,O,X
IJZSLOT,O,O,X,X,X,X,O,X
IJZSOTL,O,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,O
IJZOTSL,X,O,X,X,X,X,X,O
IJZOLTS,X,O,O,X,X,X,X,O
IJZOLST,X,O,X,X,X,X,X,X
IJZOSTL,O,O,X,X,X,X,X,X
IJZOSLT,O,O,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,O,X,O
IJOTLZS,O,O,O,X,O,X,X,O
IJOTSLZ,O,O,X,X,X,O,X,O
IJOTSZL,O,O,X,X,X,O,X,O
IJOTZLS,O,O,X,X,O,O,X,O
IJOTZSL,X,O,X,X,O,O,X,O
IJOLTSZ,O,O,O,X,X,X,X,O
IJOLTZS,O,O,O,X,X,X,X,O
IJOLSTZ,O,O,X,O,X,X,X,O
IJOLSZT,O,O,X,O,X,X,X,X
IJOLZTS,X,O,O,X,X,X,X,O
IJOLZST,X,O,X,X,X,X,X,X
IJOSTLZ,O,O,X,X,X,O,X,O
IJOSTZL,O,O,X,X,X,O,X,O
IJOSLTZ,O,O,X,X,X,X,X,O
IJOSLZT,O,O,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,O
IJOZTSL,X,O,X,X,X,X,X,O
IJOZLTS,X,O,O,X,X,X,X,O
IJOZLST,X,O,X,X,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X
ISTLJZO,O,O,O,O,X,X,O,X
ISTLJOZ,O,O,O,O,X,O,X,X
ISTLZJO,O,O,O,O,X,X,O,X
ISTLZOJ,X,X,O,O,X,X,O,X
ISTLOJZ,O,O,O,O,X,O,X,X
ISTLOZJ,X,X,O,O,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,O,X,X
ISTJZLO,O,O,X,X,X,X,O,X
ISTJZOL,O,O,X,X,X,O,X,X
ISTJOLZ,O,O,X,X,X,O,X,X
ISTJOZL,O,O,X,X,X,O,X,X
ISTZLJO,O,O,X,X,X,O,O,X
ISTZLOJ,X,X,X,X,X,O,O,X
ISTZJLO,O,O,X,X,X,O,O,X
ISTZJOL,O,O,X,X,X,O,X,X
ISTZOLJ,X,X,X,X,X,O,O,X
ISTZOJL,O,X,X,X,X,O,X,X
ISTOLJZ,O,O,O,X,X,O,X,X
ISTOLZJ,X,X,O,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,O,X,X
ISTOJZL,O,O,X,X,X,O,X,X
ISTOZLJ,X,X,X,X,X,O,O,X
ISTOZJL,O,X,X,X,X,O,X,X
ISLTJZO,O,O,O,O,X,X,O,X
ISLTJOZ,O,O,O,O,X,O,X,X
ISLTZJO,O,O,O,O,X,X,O,X
ISLTZOJ,X,X,O,O,X,X,O,X
ISLTOJZ,O,O,O,O,X,O,X,X
ISLTOZJ,X,X,O,O,X,X,X,X
ISLJTZO,O,O,X,O,X,X,O,X
ISLJTOZ,O,O,X,O,X,X,X,X
ISLJZTO,X,O,X,O,X,X,O,X
