sequence,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBGcB3gBqpB0m?BlqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufB3bBchB6qB1r?BzpB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hB0fBlgB/pB2r?BTqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBTfBlgB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhFTcBOkB0gBqpB/q?B1wB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFUbBFcBflBqmBzl?BWvB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBUhBupB1qBqm?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufBchBTgB1rBCq?B3qB,v115@5gD8FeD8FeD8GeD8CeF8Jem6IvhFCcBTfBxlB0mBlp?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBWhBClBXmB0m?BVvB,v115@5gD8FeD8FeD8GeD8CeF8Jei6IvhFzbB+hB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFFcB0gBqmBzkB3q?BupB,v115@5gD8FeD8FeD8GeD8CeF8Je2/IvhFCcBThB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBlgBTkB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8JeT6IvhFGcBUhB/pBFlBRr?BKqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhF3bBchBWlB1rBzk?BSvB,v115@5gD8FeD8FeD8GeD8CeF8JeO/IvhF8fBzbBxlBqmBlp?B3qB
IJOSTLZ,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X
IJOSTZL,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X
IJOSLTZ,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X
IJOSLZT,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IJOSZTL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IJOZTLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISTLJZO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X
ISTLJOZ,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISTLZJO,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O,O
ISTLZOJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X
ISTLOJZ,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X
ISTJLZO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISTJZLO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O
ISTJZOL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O
ISTJOLZ,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISTJOZL,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
ISTZLJO,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O,O
ISTZLOJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X
ISTZJLO,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,O
ISTZJOL,X,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O
ISTZOLJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
ISTZOJL,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,O
ISTOLJZ,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISTOLZJ,X,O,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X
ISTOZJL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O
ISLTJZO,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O
ISLTZOJ,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
ISLTOJZ,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
ISLJTZO,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X
ISLJTOZ,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
ISLJZTO,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ISLJZOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X
ISLJOZT,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
ISLZTOJ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
ISLZJTO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O
ISLZJOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ISLOJTZ,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISJTLZO,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
ISJTLOZ,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ISJTZLO,X,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,O
ISJTZOL,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,O
ISJTOLZ,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ISJTOZL,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
ISJLTZO,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
ISJLTOZ,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
ISJLZTO,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ISJLZOT,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ISJLOZT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISJZTLO,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O
ISJZTOL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ISJZLTO,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,O
ISJZLOT,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ISJZOTL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ISJZOLT,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
ISJOTLZ,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X
ISJOTZL,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X
ISJOLTZ,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ISJOLZT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISJOZTL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISZTLJO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O
ISZTLOJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
ISZTJLO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O
ISZTJOL,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISZTOLJ,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
ISZTOJL,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,O
ISZLTJO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X
ISZLTOJ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
ISZLJTO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O
ISZLJOT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O
ISZJTOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ISZJLTO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O
ISZJLOT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISZJOTL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ISZJOLT,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O
ISZOTLJ,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X
ISZOTJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
ISZOLTJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISZOJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOJLT,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O
ISOTLJZ,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISOTLZJ,X,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X
ISOTJLZ,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISOTZLJ,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X
ISOTZJL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,O
ISOLTJZ,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
ISOLJTZ,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ISOLJZT,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISOLZJT,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISOJTLZ,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X
ISOJTZL,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ISOJLTZ,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ISOJLZT,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISOJZTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ISOZTLJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ISOZTJL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISOZLTJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ISOZJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
IZTLJSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZTLJOS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
IZTLSJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZTLSOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZTLOJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZTJLOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZTJSLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTJSOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTJOLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
IZTSLOJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
IZTSJLO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X
IZTSJOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTSOLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZLJTOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZLJSTO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLJSOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOTJS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJTSOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJTOLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZJLSOT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
IZJSTOL,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
IZJSLTO,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
IZJSLOT,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
IZJSOLT,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJOTLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
IZJOSLT,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSTLJO,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IZSTLOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IZSTJLO,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZSTOLJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSTOJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLJTO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IZSJTOL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZSJLTO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZSJOLT,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
IZSOTJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSOLTJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOJSLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZOSTJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZOSLTJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSJLT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTLJZS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
IOTLSJZ,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTLZJS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTJLSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTSJLZ,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZJLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTJZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLTZJS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLJSZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLSZJT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLZTJS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJTZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X
IOJLSZT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
