sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
TSJILZO,O,O,O,X,X,O,X,X,X
TSJILOZ,X,O,X,O,O,O,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X,X
TSJIZOL,O,O,X,X,O,X,O,X,X
TSJIOLZ,O,O,O,O,O,O,X,X,X
TSJIOZL,O,X,X,O,O,X,O,X,X
TSJLIZO,O,O,O,X,X,O,X,X,X
TSJLIOZ,X,O,X,O,O,O,X,X,X
TSJLZIO,O,O,O,X,X,O,X,X,X
TSJLZOI,O,O,O,X,O,O,X,X,X
TSJLOIZ,O,O,O,O,O,O,X,X,X
TSJLOZI,O,O,O,O,O,O,X,X,X
TSJZILO,O,O,X,X,X,X,X,X,X
TSJZIOL,O,O,X,X,O,X,O,X,X
TSJZLIO,O,O,X,X,X,X,X,X,X
TSJZLOI,O,O,X,X,O,X,X,X,X
TSJZOIL,O,O,X,X,O,X,O,X,X
TSJZOLI,O,O,X,X,O,X,O,X,X
TSJOILZ,O,O,O,O,O,O,X,X,X
TSJOIZL,O,O,X,O,O,X,O,X,X
TSJOLIZ,O,O,O,O,O,O,X,X,X
TSJOLZI,O,O,O,O,O,O,X,X,X
TSJOZIL,O,O,X,O,O,X,O,X,X
TSJOZLI,O,O,X,O,O,X,O,X,X
TSZILJO,O,O,O,X,X,O,X,X,X
TSZILOJ,O,O,O,O,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X,X
TSZIJOL,O,O,X,X,O,X,O,X,X
TSZIOLJ,O,O,O,O,X,O,X,X,X
TSZIOJL,O,O,X,O,O,X,X,X,X
TSZLIJO,O,O,O,X,X,O,X,X,X
TSZLIOJ,O,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,O,X,X,X
TSZLJOI,O,O,O,X,X,O,X,X,X
TSZLOIJ,O,O,O,O,X,O,X,X,X
TSZLOJI,O,O,O,O,X,O,X,X,X
TSZJILO,O,O,X,X,X,X,X,X,X
TSZJIOL,O,O,X,X,O,X,O,X,X
TSZJLIO,O,O,X,X,X,X,X,X,X
TSZJLOI,O,O,X,X,O,X,X,X,X
TSZJOIL,O,O,X,X,O,X,O,X,X
TSZJOLI,O,O,X,X,O,X,O,X,X
TSZOILJ,O,O,O,O,X,O,X,X,X
TSZOIJL,O,O,X,O,O,X,X,X,X
TSZOLIJ,O,O,O,O,X,O,X,X,X
TSZOLJI,O,O,O,O,X,O,X,X,X
TSZOJIL,O,O,X,O,O,X,X,X,X
