sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
LTJOISZ,O,O,O,O,O,O,X,X,X
LTJOIZS,O,O,O,O,O,O,X,X,X
LTJOSIZ,O,O,O,O,O,O,X,X,X
LTJOSZI,O,O,O,O,O,O,X,X,X
LTJOZIS,O,O,O,O,O,O,X,X,X
LTJOZSI,O,O,O,O,O,O,X,X,X
LTSIJZO,O,O,O,X,X,O,X,X,X
LTSIJOZ,X,O,X,O,O,O,X,X,X
LTSIZJO,O,O,O,X,X,O,X,X,X
LTSIZOJ,O,O,O,O,X,X,X,O,X
LTSIOJZ,O,O,O,O,O,O,X,O,X
LTSIOZJ,X,X,O,O,X,O,X,O,X
LTSJIZO,O,O,O,X,X,O,X,X,X
LTSJIOZ,X,O,X,O,O,O,X,X,X
LTSJZIO,O,O,O,X,X,O,X,X,X
LTSJZOI,O,O,O,X,O,O,X,X,X
LTSJOIZ,O,O,O,O,O,O,X,X,X
LTSJOZI,O,O,O,O,O,O,X,X,X
LTSZIJO,O,O,O,X,X,O,X,X,X
LTSZIOJ,O,O,O,O,X,X,X,O,X
LTSZJIO,O,O,O,X,X,O,X,X,X
LTSZJOI,O,O,O,X,X,O,X,X,X
LTSZOIJ,O,O,O,O,X,O,X,X,X
LTSZOJI,O,O,O,O,X,O,X,X,X
LTSOIJZ,O,O,O,O,O,O,X,X,X
LTSOIZJ,X,X,O,O,X,O,X,X,X
LTSOJIZ,O,O,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,O,O,X,X,X
LTSOZIJ,X,O,O,O,X,O,X,X,X
LTSOZJI,X,O,O,O,X,O,X,X,X
LTZIJSO,O,O,O,X,X,O,X,X,X
LTZIJOS,O,O,O,X,X,X,X,X,X
LTZISJO,O,O,O,X,X,O,X,X,X
LTZISOJ,O,O,O,O,X,X,X,O,X
LTZIOJS,X,O,O,O,X,X,X,O,X
LTZIOSJ,O,O,O,O,X,X,X,O,X
LTZJISO,O,O,O,X,X,O,X,X,X
LTZJIOS,O,O,O,X,X,X,X,X,X
LTZJSIO,O,O,O,X,X,O,X,X,X
LTZJSOI,O,O,O,X,X,O,X,X,X
LTZJOIS,O,O,O,X,X,O,X,X,X
LTZJOSI,O,O,O,X,X,O,X,X,X
LTZSIJO,O,O,O,X,X,O,X,X,X
LTZSIOJ,O,O,O,O,X,X,X,O,X
LTZSJIO,O,O,O,X,X,O,X,X,X
LTZSJOI,O,O,O,X,X,O,X,X,X
LTZSOIJ,O,O,O,O,X,O,X,X,X
LTZSOJI,O,O,O,O,X,O,X,X,X
LTZOIJS,X,O,O,O,X,O,X,X,X
LTZOISJ,O,O,O,O,X,O,X,X,X
LTZOJIS,O,O,O,O,X,O,X,X,X
LTZOJSI,O,O,O,O,X,O,X,X,X
LTZOSIJ,O,O,O,O,X,O,X,X,X
LTZOSJI,O,O,O,O,X,O,X,X,X
LTOIJSZ,O,O,O,O,O,O,X,X,X
LTOIJZS,O,O,O,O,O,O,X,X,X
LTOISJZ,O,O,O,O,O,O,X,X,X
LTOISZJ,X,X,O,O,X,O,X,X,X
LTOIZJS,X,X,O,O,X,O,X,X,X
LTOIZSJ,X,X,O,O,X,O,X,X,X
LTOJISZ,O,O,O,O,O,O,X,X,X
LTOJIZS,O,O,O,O,O,O,X,X,X
LTOJSIZ,O,O,O,O,O,O,X,X,X
LTOJSZI,O,O,O,O,O,O,X,X,X
LTOJZIS,O,O,O,O,O,O,X,X,X
LTOJZSI,O,O,O,O,O,O,X,X,X
LTOSIJZ,O,O,O,O,O,O,X,X,X
LTOSIZJ,X,X,O,O,X,O,X,X,X
LTOSJIZ,O,O,O,O,O,O,X,X,X
LTOSJZI,O,O,O,O,O,O,X,X,X
LTOSZIJ,X,O,O,O,X,O,X,X,X
LTOSZJI,X,O,O,O,X,O,X,X,X
LTOZIJS,X,O,O,O,X,O,X,X,X
LTOZISJ,X,O,O,O,X,O,X,X,X
LTOZJIS,X,O,O,O,X,O,X,X,X
LTOZJSI,X,O,O,O,X,O,X,X,X
LTOZSIJ,X,O,O,O,X,O,X,X,X
LTOZSJI,X,O,O,O,X,O,X,X,X
LITJSZO,O,O,O,X,X,O,X,X,X
LITJSOZ,X,O,X,O,O,O,X,X,X
LITJZSO,O,O,O,X,X,O,X,X,X
LITJZOS,O,O,O,X,X,X,X,X,X
LITJOSZ,X,O,X,O,O,O,X,X,X
LITJOZS,X,X,X,O,O,O,X,X,X
LITSJZO,O,O,O,X,X,O,X,X,X
LITSJOZ,X,O,X,O,O,O,X,X,X
LITSZJO,O,O,O,X,X,O,X,X,X
LITSZOJ,O,O,O,O,X,X,X,O,X
LITSOJZ,O,O,O,O,O,O,X,O,X
LITSOZJ,X,X,O,O,X,O,X,O,X
LITZJSO,O,O,O,X,X,O,X,X,X
LITZJOS,O,O,O,X,X,X,X,X,X
LITZSJO,O,O,O,X,X,O,X,X,X
LITZSOJ,O,O,O,O,X,X,X,O,X
LITZOJS,X,O,O,O,X,X,X,O,X
LITZOSJ,O,O,O,O,X,X,X,O,X
LITOJSZ,O,O,O,O,O,O,X,O,X
LITOJZS,O,O,O,O,O,O,X,O,X
LITOSJZ,O,O,O,O,O,O,X,O,X
LITOSZJ,X,X,O,O,X,O,X,O,X
LITOZJS,X,X,O,O,X,O,X,O,X
LITOZSJ,X,X,O,O,X,O,X,O,X
LIJTSZO,X,O,X,X,X,O,X,X,X
LIJTSOZ,X,O,X,O,O,O,X,X,X
LIJTZSO,X,O,X,X,X,O,X,X,X
LIJTZOS,X,O,X,X,X,X,X,X,X
LIJTOSZ,X,O,X,O,O,O,X,X,X
LIJTOZS,X,X,X,O,O,O,X,X,X
LIJSTZO,X,O,X,X,X,O,X,X,X
LIJSTOZ,X,O,X,O,O,O,X,X,X
LIJSZTO,O,O,O,X,X,O,X,X,X
LIJSZOT,O,O,O,X,X,X,O,O,X
LIJSOTZ,X,O,X,O,X,O,X,O,X
LIJSOZT,X,O,X,O,X,X,O,O,X
LIJZTSO,O,X,O,X,X,X,X,X,X
LIJZTOS,X,X,X,X,X,X,X,X,X
LIJZSTO,O,O,O,X,X,O,X,X,X
LIJZSOT,O,O,O,X,X,X,O,O,X
LIJZOTS,X,X,X,X,X,X,O,O,X
LIJZOST,O,X,O,X,X,X,O,O,X
LIJOTSZ,X,O,X,O,X,X,X,O,X
LIJOTZS,X,X,X,X,X,X,X,O,X
LIJOSTZ,X,O,X,O,X,O,X,O,X
LIJOSZT,X,O,X,O,X,X,O,O,X
LIJOZTS,X,X,X,X,X,X,O,O,X
LIJOZST,X,O,X,O,X,X,O,O,X
LISTJZO,O,O,O,X,X,O,X,X,X
LISTJOZ,X,O,X,O,O,O,X,X,X
LISTZJO,O,O,O,X,X,O,X,X,X
LISTZOJ,O,O,O,O,X,X,X,O,X
LISTOJZ,O,O,O,O,O,O,X,O,X
LISTOZJ,X,X,O,O,X,O,X,O,X
LISJTZO,X,O,X,X,X,O,X,X,X
LISJTOZ,X,O,X,O,O,O,X,X,X
LISJZTO,O,O,O,X,X,O,X,X,X
LISJZOT,O,O,O,X,X,X,O,O,X
LISJOTZ,X,O,X,O,X,O,X,O,X
LISJOZT,X,O,X,O,X,X,O,O,X
LISZTJO,O,X,O,X,X,X,X,X,X
LISZTOJ,O,X,O,O,X,X,X,O,X
LISZJTO,O,X,O,X,X,O,X,X,X
LISZJOT,O,X,O,X,X,X,O,O,X
LISZOTJ,O,X,X,X,X,X,X,O,X
LISZOJT,O,X,O,O,X,X,X,O,X
LISOTJZ,X,X,X,O,X,X,X,O,X
LISOTZJ,X,X,X,O,X,X,X,O,X
LISOJTZ,X,O,X,O,X,O,X,O,X
LISOJZT,X,O,X,O,X,X,X,O,X
LISOZTJ,X,X,X,X,X,X,X,O,O
LISOZJT,X,X,O,O,X,X,X,O,O
LIZTJSO,X,X,O,X,X,X,X,X,X
LIZTJOS,X,X,O,X,X,X,X,X,X
LIZTSJO,O,X,O,X,X,X,X,X,X
LIZTSOJ,O,X,O,O,X,X,X,O,X
LIZTOJS,X,X,O,O,X,X,X,O,X
LIZTOSJ,X,X,O,O,X,X,X,O,X
LIZJTSO,O,X,O,X,X,X,X,X,X
LIZJTOS,X,X,O,X,X,X,X,X,X
LIZJSTO,O,X,O,X,X,O,X,X,X
LIZJSOT,O,X,O,X,X,X,O,O,X
LIZJOTS,X,X,X,X,X,X,O,O,X
LIZJOST,O,X,O,X,X,X,O,O,X
LIZSTJO,O,X,O,X,X,X,X,X,X
LIZSTOJ,O,X,O,O,X,X,X,O,X
LIZSJTO,O,X,O,X,X,O,X,X,X
LIZSJOT,O,X,O,X,X,X,O,O,X
LIZSOTJ,O,X,X,X,X,X,X,O,X
LIZSOJT,O,X,O,O,X,X,X,O,X
LIZOTJS,X,X,X,X,X,X,X,O,X
LIZOTSJ,X,X,X,X,X,X,X,O,X
LIZOJTS,X,X,X,X,X,X,X,O,X
LIZOJST,X,X,O,O,X,X,X,O,X
LIZOSTJ,O,X,X,X,X,X,X,O,X
LIZOSJT,O,X,O,O,X,X,X,O,X
LIOTJSZ,X,X,X,O,X,X,X,O,X
LIOTJZS,X,X,X,O,X,X,X,O,X
LIOTSJZ,X,X,X,O,X,X,X,O,X
LIOTSZJ,X,X,X,O,X,X,X,O,X
LIOTZJS,X,X,X,O,X,X,X,O,X
LIOTZSJ,X,X,X,O,X,X,X,O,X
LIOJTSZ,X,O,X,O,X,X,X,O,X
LIOJTZS,X,X,X,X,X,X,X,O,X
LIOJSTZ,X,O,X,O,X,O,X,O,X
LIOJSZT,X,O,X,O,X,X,X,O,X
LIOJZTS,X,X,X,X,X,X,X,O,X
LIOJZST,X,O,X,O,X,X,X,O,X
LIOSTJZ,X,X,X,O,X,X,X,O,X
LIOSTZJ,X,X,X,O,X,X,X,O,X
LIOSJTZ,X,O,X,O,X,O,X,O,X
LIOSJZT,X,O,X,O,X,X,X,O,X
LIOSZTJ,X,X,X,X,X,X,X,O,O
LIOSZJT,X,X,O,O,X,X,X,O,O
LIOZTJS,X,X,X,X,X,X,X,O,O
LIOZTSJ,X,X,X,X,X,X,X,O,O
LIOZJTS,X,X,X,X,X,X,X,O,O
LIOZJST,X,X,O,O,X,X,X,O,O
LIOZSTJ,X,X,X,X,X,X,X,O,O
LIOZSJT,X,X,O,O,X,X,X,O,O
LJTISZO,O,O,O,X,X,O,X,X,X
LJTISOZ,X,O,X,O,O,O,X,X,X
LJTIZSO,O,O,O,X,X,O,X,X,X
LJTIZOS,O,O,O,X,X,X,X,X,X
LJTIOSZ,X,O,X,O,O,O,X,X,X
LJTIOZS,X,X,X,O,O,O,X,X,X
LJTSIZO,O,O,O,X,X,O,X,X,X
LJTSIOZ,X,O,X,O,O,O,X,X,X
LJTSZIO,O,O,O,X,X,O,X,X,X
LJTSZOI,O,O,O,X,O,O,X,X,X
LJTSOIZ,O,O,O,O,O,O,X,X,X
LJTSOZI,O,O,O,O,O,O,X,X,X
LJTZISO,O,O,O,X,X,O,X,X,X
LJTZIOS,O,O,O,X,X,X,X,X,X
LJTZSIO,O,O,O,X,X,O,X,X,X
LJTZSOI,O,O,O,X,O,O,X,X,X
LJTZOIS,O,O,O,X,O,O,X,X,X
LJTZOSI,O,O,O,X,O,O,X,X,X
LJTOISZ,O,O,O,O,O,O,X,X,X
LJTOIZS,O,O,O,O,O,O,X,X,X
LJTOSIZ,O,O,O,O,O,O,X,X,X
LJTOSZI,O,O,O,O,O,O,X,X,X
LJTOZIS,O,O,O,O,O,O,X,X,X
LJTOZSI,O,O,O,O,O,O,X,X,X
LJITSZO,X,O,X,X,X,O,X,X,X
LJITSOZ,X,O,X,O,O,O,X,X,X
LJITZSO,X,O,X,X,X,O,X,X,X
LJITZOS,X,O,X,X,X,X,X,X,X
LJITOSZ,X,O,X,O,O,O,X,X,X
LJITOZS,X,X,X,O,O,O,X,X,X
LJISTZO,X,O,X,X,X,O,X,X,X
LJISTOZ,X,O,X,O,O,O,X,X,X
LJISZTO,O,O,O,X,X,O,X,X,X
LJISZOT,O,O,O,X,X,X,O,O,X
LJISOTZ,X,O,X,O,X,O,X,O,X
LJISOZT,X,O,X,O,X,X,O,O,X
LJIZTSO,O,X,O,X,X,X,X,X,X
LJIZTOS,X,X,X,X,X,X,X,X,X
LJIZSTO,O,O,O,X,X,O,X,X,X
LJIZSOT,O,O,O,X,X,X,O,O,X
LJIZOTS,X,X,X,X,X,X,O,O,X
LJIZOST,O,X,O,X,X,X,O,O,X
LJIOTSZ,X,O,X,O,X,X,X,O,X
LJIOTZS,X,X,X,X,X,X,X,O,X
LJIOSTZ,X,O,X,O,X,O,X,O,X
LJIOSZT,X,O,X,O,X,X,O,O,X
LJIOZTS,X,X,X,X,X,X,O,O,X
LJIOZST,X,O,X,O,X,X,O,O,X
LJSTIZO,O,O,O,X,X,O,X,X,X
LJSTIOZ,X,O,X,O,O,O,X,X,X
LJSTZIO,O,O,O,X,X,O,X,X,X
LJSTZOI,O,O,O,X,O,O,X,X,X
LJSTOIZ,O,O,O,O,O,O,X,X,X
LJSTOZI,O,O,O,O,O,O,X,X,X
LJSITZO,X,O,X,X,X,O,X,X,X
LJSITOZ,X,O,X,O,O,O,X,X,X
LJSIZTO,O,O,O,X,X,O,X,X,X
LJSIZOT,O,O,O,X,X,X,O,O,X
LJSIOTZ,X,O,X,O,X,O,X,O,X
LJSIOZT,X,O,X,O,X,X,O,O,X
LJSZTIO,O,O,O,X,X,O,X,X,X
LJSZTOI,O,O,O,X,O,O,X,X,X
LJSZITO,O,O,O,X,X,O,X,X,X
LJSZIOT,O,O,O,X,X,X,O,O,X
LJSZOTI,O,X,O,X,X,X,O,X,X
LJSZOIT,O,O,O,X,X,X,O,X,X
LJSOTIZ,X,O,X,O,O,O,X,X,X
LJSOTZI,X,O,X,X,O,O,X,X,X
LJSOITZ,X,O,X,O,X,O,X,X,X
LJSOIZT,X,O,X,O,X,X,O,X,X
LJSOZTI,X,O,X,X,X,X,O,X,X
LJSOZIT,X,O,X,O,X,X,O,X,X
LJZTISO,O,O,O,X,X,O,X,X,X
LJZTIOS,O,O,O,X,X,X,X,X,X
LJZTSIO,O,O,O,X,X,O,X,X,X
LJZTSOI,O,O,O,X,O,O,X,X,X
LJZTOIS,O,O,O,X,O,O,X,X,X
LJZTOSI,O,O,O,X,O,O,X,X,X
LJZITSO,O,X,O,X,X,X,X,X,X
LJZITOS,O,X,O,X,X,X,X,X,X
LJZISTO,O,O,O,X,X,O,X,X,X
LJZISOT,O,O,O,X,X,X,O,O,X
LJZIOTS,X,X,X,X,X,X,O,O,X
LJZIOST,O,X,O,X,X,X,O,O,X
LJZSTIO,O,O,O,X,X,O,X,X,X
LJZSTOI,O,O,O,X,O,O,X,X,X
LJZSITO,O,O,O,X,X,O,X,X,X
LJZSIOT,O,O,O,X,X,X,O,O,X
LJZSOTI,O,X,O,X,X,X,O,X,X
LJZSOIT,O,O,O,X,X,X,O,X,X
LJZOTIS,O,X,O,X,X,X,O,X,X
LJZOTSI,O,X,O,X,X,X,O,X,X
LJZOITS,X,X,X,X,X,X,O,X,X
LJZOIST,O,O,O,X,X,X,O,X,X
LJZOSTI,O,X,O,X,X,X,O,X,X
LJZOSIT,O,O,O,X,X,X,O,X,X
LJOTISZ,X,O,X,O,O,O,X,X,X
LJOTIZS,X,O,X,X,O,O,X,X,X
LJOTSIZ,X,O,X,O,O,O,X,X,X
LJOTSZI,X,O,X,X,O,O,X,X,X
LJOTZIS,X,O,X,X,O,O,X,X,X
LJOTZSI,X,O,X,X,O,O,X,X,X
LJOITSZ,X,O,X,O,X,X,X,X,X
LJOITZS,X,X,X,X,X,X,X,X,X
LJOISTZ,X,O,X,O,X,O,X,X,X
LJOISZT,X,O,X,O,X,X,O,X,X
LJOIZTS,X,X,X,X,X,X,O,X,X
LJOIZST,X,O,X,O,X,X,O,X,X
LJOSTIZ,X,O,X,O,O,O,X,X,X
LJOSTZI,X,O,X,X,O,O,X,X,X
LJOSITZ,X,O,X,O,X,O,X,X,X
LJOSIZT,X,O,X,O,X,X,O,X,X
LJOSZTI,X,O,X,X,X,X,O,X,X
LJOSZIT,X,O,X,O,X,X,O,X,X
LJOZTIS,X,O,X,X,X,X,O,X,X
LJOZTSI,X,O,X,X,X,X,O,X,X
LJOZITS,X,O,X,X,X,X,O,X,X
LJOZIST,X,O,X,O,X,X,O,X,X
LJOZSTI,X,O,X,X,X,X,O,X,X
LJOZSIT,X,O,X,O,X,X,O,X,X
LSTIJZO,O,O,O,X,X,O,X,X,X
LSTIJOZ,X,O,X,O,O,O,X,X,X
LSTIZJO,O,O,O,X,X,O,X,X,X
LSTIZOJ,O,O,O,O,X,X,X,O,X
LSTIOJZ,O,O,O,O,O,O,X,O,X
LSTIOZJ,X,X,O,O,X,O,X,O,X
LSTJIZO,O,O,O,X,X,O,X,X,X
LSTJIOZ,X,O,X,O,O,O,X,X,X
LSTJZIO,O,O,O,X,X,O,X,X,X
LSTJZOI,O,O,O,X,O,O,X,X,X
LSTJOIZ,O,O,O,O,O,O,X,X,X
LSTJOZI,O,O,O,O,O,O,X,X,X
LSTZIJO,O,O,O,X,X,O,X,X,X
LSTZIOJ,O,O,O,O,X,X,X,O,X
LSTZJIO,O,O,O,X,X,O,X,X,X
LSTZJOI,O,O,O,X,X,O,X,X,X
LSTZOIJ,O,O,O,O,X,O,X,X,X
LSTZOJI,O,O,O,O,X,O,X,X,X
LSTOIJZ,O,O,O,O,O,O,X,X,X
LSTOIZJ,X,X,O,O,X,O,X,X,X
LSTOJIZ,O,O,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,O,O,X,X,X
LSTOZIJ,X,O,O,O,X,O,X,X,X
LSTOZJI,X,O,O,O,X,O,X,X,X
LSITJZO,O,O,O,X,X,O,X,X,X
LSITJOZ,X,O,X,O,O,O,X,X,X
LSITZJO,O,O,O,X,X,O,X,X,X
LSITZOJ,O,O,O,O,X,X,X,O,X
LSITOJZ,O,O,O,O,O,O,X,O,X
LSITOZJ,X,X,O,O,X,O,X,O,X
LSIJTZO,X,O,X,X,X,O,X,X,X
LSIJTOZ,X,O,X,O,O,O,X,X,X
LSIJZTO,O,O,O,X,X,O,X,X,X
LSIJZOT,O,O,O,X,X,X,O,O,X
LSIJOTZ,X,O,X,O,X,O,X,O,X
LSIJOZT,X,O,X,O,X,X,O,O,X
LSIZTJO,O,X,O,X,X,X,X,X,X
LSIZTOJ,O,X,O,O,X,X,X,O,X
LSIZJTO,O,X,O,X,X,O,X,X,X
LSIZJOT,O,X,O,X,X,X,O,O,X
LSIZOTJ,O,X,X,X,X,X,X,O,X
LSIZOJT,O,X,O,O,X,X,X,O,X
LSIOTJZ,X,X,X,O,X,X,X,O,X
LSIOTZJ,X,X,X,O,X,X,X,O,X
LSIOJTZ,X,O,X,O,X,O,X,O,X
LSIOJZT,X,O,X,O,X,X,X,O,X
LSIOZTJ,X,X,X,X,X,X,X,O,O
LSIOZJT,X,X,O,O,X,X,X,O,O
LSJTIZO,O,O,O,X,X,O,X,X,X
LSJTIOZ,X,O,X,O,O,O,X,X,X
LSJTZIO,O,O,O,X,X,O,X,X,X
LSJTZOI,O,O,O,X,O,O,X,X,X
LSJTOIZ,O,O,O,O,O,O,X,X,X
LSJTOZI,O,O,O,O,O,O,X,X,X
LSJITZO,X,O,X,X,X,O,X,X,X
LSJITOZ,X,O,X,O,O,O,X,X,X
LSJIZTO,O,O,O,X,X,O,X,X,X
LSJIZOT,O,O,O,X,X,X,O,O,X
LSJIOTZ,X,O,X,O,X,O,X,O,X
LSJIOZT,X,O,X,O,X,X,O,O,X
LSJZTIO,O,O,O,X,X,O,X,X,X
LSJZTOI,O,O,O,X,O,O,X,X,X
LSJZITO,O,O,O,X,X,O,X,X,X
LSJZIOT,O,O,O,X,X,X,O,O,X
LSJZOTI,O,X,O,X,X,X,O,X,X
LSJZOIT,O,O,O,X,X,X,O,X,X
LSJOTIZ,X,O,X,O,O,O,X,X,X
LSJOTZI,X,O,X,X,O,O,X,X,X
LSJOITZ,X,O,X,O,X,O,X,X,X
LSJOIZT,X,O,X,O,X,X,O,X,X
LSJOZTI,X,O,X,X,X,X,O,X,X
LSJOZIT,X,O,X,O,X,X,O,X,X
LSZTIJO,O,O,O,X,X,O,X,X,X
LSZTIOJ,O,O,O,O,X,X,X,O,X
LSZTJIO,O,O,O,X,X,O,X,X,X
LSZTJOI,O,O,O,X,X,O,X,X,X
LSZTOIJ,O,O,O,O,X,O,X,X,X
LSZTOJI,O,O,O,O,X,O,X,X,X
LSZITJO,O,X,O,X,X,X,X,X,X
LSZITOJ,O,X,O,O,X,X,X,O,X
LSZIJTO,O,X,O,X,X,O,X,X,X
LSZIJOT,O,X,O,X,X,X,O,O,X
LSZIOTJ,O,X,X,X,X,X,X,O,X
LSZIOJT,O,X,O,O,X,X,X,O,X
LSZJTIO,O,O,O,X,X,O,X,X,X
LSZJTOI,O,O,O,X,X,O,X,X,X
LSZJITO,O,O,O,X,X,O,X,X,X
LSZJIOT,O,O,O,X,X,X,O,O,X
LSZJOTI,O,X,O,X,X,X,O,X,X
LSZJOIT,O,O,O,X,X,X,O,X,X
LSZOTIJ,O,X,O,X,X,X,X,X,X
LSZOTJI,O,X,O,X,X,X,X,X,X
LSZOITJ,O,X,X,X,X,X,X,O,X
LSZOIJT,O,X,O,O,X,X,X,O,X
LSZOJTI,O,X,O,X,X,X,X,X,X
LSZOJIT,O,O,O,O,X,X,X,X,X
LSOTIJZ,X,O,O,O,X,O,X,X,X
LSOTIZJ,X,X,O,O,X,O,X,X,X
LSOTJIZ,X,O,O,O,X,O,X,X,X
LSOTJZI,X,O,O,O,X,O,X,X,X
LSOTZIJ,X,O,O,O,X,O,X,X,O
LSOTZJI,X,O,O,O,X,O,X,X,X
LSOITJZ,X,X,X,O,X,X,X,O,X
LSOITZJ,X,X,X,O,X,X,X,O,X
LSOIJTZ,X,O,X,O,X,O,X,O,X
LSOIJZT,X,O,X,O,X,X,X,O,X
LSOIZTJ,X,X,X,X,X,X,X,O,O
LSOIZJT,X,X,O,O,X,X,X,O,O
LSOJTIZ,X,O,X,O,X,O,X,X,X
LSOJTZI,X,O,X,X,X,O,X,X,X
LSOJITZ,X,O,X,O,X,O,X,X,X
LSOJIZT,X,O,X,O,X,X,X,X,X
LSOJZTI,X,O,X,X,X,X,X,X,X
LSOJZIT,X,O,X,O,X,X,X,X,O
LSOZTIJ,X,O,O,X,X,X,X,X,O
LSOZTJI,X,O,O,X,X,X,X,X,X
LSOZITJ,X,O,X,X,X,X,X,O,O
LSOZIJT,X,O,O,O,X,X,X,O,O
LSOZJTI,X,O,O,X,X,X,X,X,X
LSOZJIT,X,O,O,O,X,X,X,X,O
LZTIJSO,O,O,O,X,X,O,X,X,X
LZTIJOS,O,O,O,X,X,X,X,X,X
LZTISJO,O,O,O,X,X,O,X,X,X
LZTISOJ,O,O,O,O,X,X,X,O,X
LZTIOJS,X,O,O,O,X,X,X,O,X
LZTIOSJ,O,O,O,O,X,X,X,O,X
LZTJISO,O,O,O,X,X,O,X,X,X
LZTJIOS,O,O,O,X,X,X,X,X,X
LZTJSIO,O,O,O,X,X,O,X,X,X
LZTJSOI,O,O,O,X,X,O,X,X,X
LZTJOIS,O,O,O,X,X,O,X,X,X
LZTJOSI,O,O,O,X,X,O,X,X,X
LZTSIJO,O,O,O,X,X,O,X,X,X
LZTSIOJ,O,O,O,O,X,X,X,O,X
LZTSJIO,O,O,O,X,X,O,X,X,X
LZTSJOI,O,O,O,X,X,O,X,X,X
LZTSOIJ,O,O,O,O,X,O,X,X,X
LZTSOJI,O,O,O,O,X,O,X,X,X
LZTOIJS,X,O,O,O,X,O,X,X,X
LZTOISJ,O,O,O,O,X,O,X,X,X
LZTOJIS,O,O,O,O,X,O,X,X,X
LZTOJSI,O,O,O,O,X,O,X,X,X
LZTOSIJ,O,O,O,O,X,O,X,X,X
LZTOSJI,O,O,O,O,X,O,X,X,X
LZITJSO,O,X,O,X,X,X,X,X,X
LZITJOS,O,X,O,X,X,X,X,X,X
LZITSJO,O,X,O,X,X,X,X,X,X
LZITSOJ,O,X,O,O,X,X,X,O,X
LZITOJS,X,X,O,O,X,X,X,O,X
LZITOSJ,O,X,O,O,X,X,X,O,X
LZIJTSO,O,X,O,X,X,X,X,X,X
LZIJTOS,O,X,O,X,X,X,X,X,X
LZIJSTO,O,X,O,X,X,O,X,X,X
LZIJSOT,O,X,O,X,X,X,O,O,X
LZIJOTS,X,X,X,X,X,X,O,O,X
LZIJOST,O,X,O,X,X,X,O,O,X
LZISTJO,O,X,O,X,X,X,X,X,X
LZISTOJ,O,X,O,O,X,X,X,O,X
LZISJTO,O,X,O,X,X,O,X,X,X
LZISJOT,O,X,O,X,X,X,O,O,X
LZISOTJ,O,X,X,X,X,X,X,O,X
LZISOJT,O,X,O,O,X,X,X,O,X
LZIOTJS,X,X,X,X,X,X,X,O,X
LZIOTSJ,X,X,X,X,X,X,X,O,X
LZIOJTS,X,X,X,X,X,X,X,O,X
LZIOJST,X,X,O,O,X,X,X,O,X
LZIOSTJ,O,X,X,X,X,X,X,O,X
LZIOSJT,O,X,O,O,X,X,X,O,X
LZJTISO,O,O,O,X,X,O,X,X,X
LZJTIOS,O,O,O,X,X,X,X,X,X
LZJTSIO,O,O,O,X,X,O,X,X,X
LZJTSOI,O,O,O,X,X,O,X,X,X
LZJTOIS,O,O,O,X,X,O,X,X,X
LZJTOSI,O,O,O,X,X,O,X,X,X
LZJITSO,O,X,O,X,X,X,X,X,X
LZJITOS,O,X,O,X,X,X,X,X,X
LZJISTO,O,O,O,X,X,O,X,X,X
LZJISOT,O,O,O,X,X,X,O,O,X
LZJIOTS,X,X,X,X,X,X,O,O,X
LZJIOST,O,X,O,X,X,X,O,O,X
LZJSTIO,O,O,O,X,X,O,X,X,X
LZJSTOI,O,O,O,X,X,O,X,X,X
LZJSITO,O,O,O,X,X,O,X,X,X
LZJSIOT,O,O,O,X,X,X,O,O,X
LZJSOTI,O,X,O,X,X,X,O,X,X
LZJSOIT,O,O,O,X,X,X,O,X,X
LZJOTIS,O,X,O,X,X,X,O,X,X
LZJOTSI,O,X,O,X,X,X,O,X,X
LZJOITS,X,X,X,X,X,X,O,X,X
LZJOIST,O,O,O,X,X,X,O,X,X
LZJOSTI,O,X,O,X,X,X,O,X,X
LZJOSIT,O,O,O,X,X,X,O,X,X
LZSTIJO,O,O,O,X,X,O,X,X,X
LZSTIOJ,O,O,O,O,X,X,X,O,X
LZSTJIO,O,O,O,X,X,O,X,X,X
LZSTJOI,O,O,O,X,X,O,X,X,X
LZSTOIJ,O,O,O,O,X,O,X,X,X
LZSTOJI,O,O,O,O,X,O,X,X,X
LZSITJO,O,X,O,X,X,X,X,X,X
