sequence,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFlcBGeB?ymB5nB/oBzrB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFTeBUhB?FiBGoBXnBSxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmcB5jB?1mBziBCsB3sB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jel7IvhFUdBajB?5jBThBGsBXsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmdB5jB?lmB3nB6rBTsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFUhBFiB?XjB6oBTnBWxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFzdB5jB?umBihBXsBlsB
TZOSLJI,O,X,X,X,X,O,X
TZOSJIL,O,X,O,X,O,X,X
TZOSJLI,O,X,X,X,X,X,X
TOILJSZ,O,X,O,O,X,X,X
TOILJZS,O,X,O,O,X,X,X
TOILSJZ,O,X,O,X,X,X,X
TOILSZJ,O,X,O,O,X,X,X
TOILZJS,O,X,O,O,X,X,X
TOILZSJ,O,X,O,O,X,X,X
TOIJLSZ,X,X,O,O,X,X,X
TOIJLZS,X,X,O,O,X,X,X
TOIJSLZ,X,X,X,O,X,X,X
TOIJSZL,X,X,O,O,X,X,X
TOIJZLS,X,X,O,O,X,X,X
TOIJZSL,X,X,O,O,X,X,X
TOISLJZ,O,X,O,X,O,X,X
TOISLZJ,O,X,O,O,O,X,X
TOISJLZ,O,X,X,O,O,X,X
TOISJZL,O,X,O,O,O,X,X
TOISZLJ,O,X,O,O,O,X,X
TOISZJL,O,X,O,X,O,X,X
TOIZLJS,O,X,O,O,X,X,X
TOIZLSJ,O,X,O,O,X,X,X
TOIZJLS,X,X,O,O,X,X,X
TOIZJSL,O,X,O,O,X,X,X
TOIZSLJ,O,X,O,O,O,X,X
TOIZSJL,O,X,O,X,O,X,X
TOLIJSZ,O,X,O,O,X,X,X
TOLIJZS,O,X,O,O,X,X,X
TOLISJZ,O,X,O,X,X,X,X
TOLISZJ,O,X,O,O,X,X,X
TOLIZJS,O,X,O,O,X,X,X
TOLIZSJ,O,X,O,O,X,X,X
TOLJISZ,O,X,O,O,X,X,X
TOLJIZS,O,X,O,O,X,X,X
TOLJSIZ,O,X,O,O,X,X,X
TOLJSZI,O,X,O,O,X,X,X
TOLJZIS,O,X,O,O,X,X,X
TOLJZSI,O,X,O,O,X,X,X
TOLSIJZ,O,X,O,X,X,X,X
TOLSIZJ,O,X,O,O,X,X,X
TOLSJIZ,O,X,O,X,X,X,X
TOLSJZI,O,X,O,X,X,X,X
TOLSZIJ,O,X,O,O,X,X,X
TOLSZJI,O,X,O,X,X,X,X
TOLZIJS,O,X,O,O,X,X,X
TOLZISJ,O,X,O,O,X,X,X
TOLZJIS,O,X,O,O,X,X,X
TOLZJSI,O,X,O,X,X,X,X
TOLZSIJ,O,X,O,O,X,X,X
TOLZSJI,O,X,O,X,X,X,X
TOJILSZ,X,X,O,O,X,X,X
TOJILZS,X,X,O,O,X,X,X
TOJISLZ,X,X,X,O,X,X,X
TOJISZL,X,X,O,O,X,X,X
TOJIZLS,X,X,O,O,X,X,X
TOJIZSL,X,X,O,O,X,X,X
TOJLISZ,X,X,X,O,X,X,X
TOJLIZS,X,X,O,O,X,X,X
TOJLSIZ,X,X,X,O,X,X,X
TOJLSZI,X,X,X,O,X,X,X
TOJLZIS,X,X,O,O,X,X,X
TOJLZSI,X,X,X,O,X,X,X
TOJSILZ,X,X,X,O,X,X,X
TOJSIZL,X,X,O,O,X,X,X
TOJSLIZ,X,X,X,O,X,X,X
TOJSLZI,X,X,X,O,X,X,X
TOJSZIL,X,X,O,O,X,X,X
TOJSZLI,X,X,X,O,X,X,X
TOJZILS,X,X,O,O,X,X,X
TOJZISL,X,X,O,O,X,X,X
TOJZLIS,X,X,O,O,X,X,X
TOJZLSI,X,X,X,O,X,X,X
TOJZSIL,X,X,O,O,X,X,X
TOJZSLI,X,X,X,O,X,X,X
TOSILJZ,O,X,O,X,O,X,X
TOSILZJ,O,X,O,O,O,X,X
TOSIJLZ,O,X,X,O,O,X,X
TOSIJZL,O,X,O,O,O,X,X
TOSIZLJ,O,X,O,O,O,X,X
TOSIZJL,O,X,O,X,O,X,X
TOSLIJZ,O,X,X,X,X,X,X
TOSLIZJ,O,X,X,O,X,X,X
TOSLJIZ,O,X,X,X,X,X,X
TOSLJZI,O,X,X,X,X,X,X
TOSLZIJ,O,X,X,O,X,X,X
TOSLZJI,O,X,X,X,X,X,X
TOSJILZ,O,X,X,O,O,X,X
TOSJIZL,O,X,O,O,O,X,X
TOSJLIZ,O,X,X,O,X,X,X
TOSJLZI,O,X,X,O,X,X,X
TOSJZIL,O,X,O,O,O,X,X
TOSJZLI,O,X,X,O,X,X,X
TOSZILJ,O,X,O,O,O,X,X
TOSZIJL,O,X,O,X,O,X,X
TOSZLIJ,O,X,X,O,X,X,X
TOSZLJI,O,X,X,X,X,X,X
TOSZJIL,O,X,O,X,O,X,X
TOSZJLI,O,X,X,X,X,X,X
TOZILJS,O,X,O,O,X,X,X
TOZILSJ,O,X,O,O,X,X,X
TOZIJLS,X,X,O,O,X,X,X
TOZIJSL,O,X,O,O,X,X,X
TOZISLJ,O,X,O,O,O,X,X
TOZISJL,O,X,O,X,O,X,X
TOZLIJS,O,X,O,O,X,X,X
TOZLISJ,O,X,O,O,X,X,X
TOZLJIS,O,X,O,O,X,X,X
TOZLJSI,O,X,O,X,X,X,X
TOZLSIJ,O,X,O,O,X,X,X
TOZLSJI,O,X,O,X,X,X,X
TOZJILS,X,X,O,O,X,X,X
TOZJISL,O,X,O,O,X,X,X
TOZJLIS,O,X,O,O,X,X,X
TOZJLSI,O,X,X,O,X,X,X
TOZJSIL,O,X,O,O,X,X,X
TOZJSLI,O,X,X,O,X,X,X
TOZSILJ,O,X,O,O,O,X,X
TOZSIJL,O,X,O,X,O,X,X
TOZSLIJ,O,X,X,O,X,X,X
TOZSLJI,O,X,X,X,X,X,X
TOZSJIL,O,X,O,X,O,X,X
TOZSJLI,O,X,X,X,X,X,X
ITLJSZO,O,X,O,O,X,X,X
ITLJSOZ,O,X,O,O,X,X,X
ITLJZSO,O,O,O,O,X,X,X
ITLJZOS,X,O,O,O,X,X,X
ITLJOSZ,X,X,O,O,X,X,X
ITLJOZS,X,O,O,O,X,X,X
ITLSJZO,O,X,O,O,O,X,X
ITLSJOZ,O,X,O,O,O,X,X
ITLSZJO,O,X,O,X,O,X,X
ITLSZOJ,O,X,O,X,O,X,X
ITLSOJZ,O,X,O,X,O,X,X
ITLSOZJ,O,X,O,O,O,X,X
ITLZJSO,O,O,O,O,X,X,X
ITLZJOS,X,O,O,O,X,X,X
ITLZSJO,O,O,O,X,O,X,X
ITLZSOJ,O,X,O,X,O,X,X
ITLZOJS,X,O,O,O,X,X,X
ITLZOSJ,O,X,O,O,X,X,X
ITLOJSZ,X,X,O,O,X,X,X
ITLOJZS,X,X,O,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,X
ITLOSZJ,O,X,O,O,X,X,X
ITLOZJS,X,X,O,O,X,X,X
ITLOZSJ,O,X,O,O,X,X,X
ITJLSZO,X,X,O,O,X,X,X
ITJLSOZ,X,X,O,O,X,X,X
ITJLZSO,X,O,O,O,X,X,X
ITJLZOS,X,O,O,O,X,X,X
ITJLOSZ,X,X,O,O,X,X,X
ITJLOZS,X,O,O,O,X,X,X
ITJSLZO,X,X,X,O,O,X,X
ITJSLOZ,X,X,X,O,O,X,X
ITJSZLO,X,X,X,O,O,O,X
ITJSZOL,X,X,O,O,O,O,X
ITJSOLZ,X,X,X,O,O,X,X
ITJSOZL,X,X,O,O,O,X,X
ITJZLSO,X,O,O,O,X,O,X
ITJZLOS,X,O,O,O,X,X,X
ITJZSLO,X,X,X,O,O,O,X
ITJZSOL,X,O,O,O,O,O,X
ITJZOLS,X,O,O,O,X,X,X
ITJZOSL,X,O,O,O,X,O,X
ITJOLSZ,X,X,O,O,X,X,X
ITJOLZS,X,O,O,O,X,X,X
ITJOSLZ,X,X,X,O,X,X,X
ITJOSZL,X,X,O,O,X,X,X
ITJOZLS,X,O,O,O,X,X,X
ITJOZSL,X,O,O,O,X,X,X
ITSLJZO,O,X,O,O,O,X,X
ITSLJOZ,O,X,O,O,O,X,X
ITSLZJO,O,X,O,X,O,X,X
ITSLZOJ,O,X,O,X,O,X,X
ITSLOJZ,O,X,O,X,O,X,X
ITSLOZJ,O,X,O,O,O,X,X
ITSJLZO,O,X,X,O,O,X,O
ITSJLOZ,O,X,X,O,O,X,O
ITSJZLO,O,X,X,O,O,O,O
ITSJZOL,O,X,O,O,O,O,O
ITSJOLZ,O,X,X,O,O,X,O
ITSJOZL,O,X,O,O,O,X,O
ITSZLJO,O,X,O,X,O,O,X
ITSZLOJ,O,X,O,X,O,O,X
ITSZJLO,O,X,X,X,O,O,O
ITSZJOL,O,X,O,X,O,O,O
ITSZOLJ,O,X,O,X,O,O,X
ITSZOJL,O,X,O,X,O,X,X
ITSOLJZ,O,X,O,X,O,X,X
ITSOLZJ,O,X,O,O,O,X,X
ITSOJLZ,O,X,X,O,O,X,X
ITSOJZL,O,X,O,O,O,X,X
ITSOZLJ,O,X,O,O,O,X,X
ITSOZJL,O,X,O,X,O,X,X
ITZLJSO,O,O,O,O,X,X,X
ITZLJOS,X,O,O,O,X,X,X
ITZLSJO,O,O,O,X,O,O,X
ITZLSOJ,O,X,O,X,O,O,X
ITZLOJS,X,O,O,O,X,X,X
ITZLOSJ,O,X,O,O,X,X,X
ITZJLSO,X,O,O,O,X,O,X
ITZJLOS,X,O,O,O,X,X,X
ITZJSLO,O,X,X,O,O,O,X
ITZJSOL,O,O,O,O,O,O,X
ITZJOLS,X,O,O,O,X,X,X
ITZJOSL,X,O,O,O,X,O,X
ITZSLJO,O,X,O,X,O,O,X
ITZSLOJ,O,X,O,X,O,O,X
ITZSJLO,O,X,X,X,O,O,O
ITZSJOL,O,O,O,X,O,O,O
ITZSOLJ,O,X,O,X,O,O,X
ITZSOJL,O,X,O,X,O,X,X
ITZOLJS,O,X,O,O,X,X,X
ITZOLSJ,O,X,O,O,X,X,X
ITZOJLS,X,O,O,O,X,X,X
ITZOJSL,O,O,O,O,X,X,X
ITZOSLJ,O,X,O,O,O,O,X
ITZOSJL,O,X,O,X,O,X,X
ITOLJSZ,O,X,O,O,X,X,X
ITOLJZS,O,X,O,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,X
ITOLSZJ,O,X,O,O,X,X,X
ITOLZJS,O,X,O,O,X,X,X
ITOLZSJ,O,X,O,O,X,X,X
ITOJLSZ,X,X,O,O,X,X,X
ITOJLZS,X,X,O,O,X,X,X
ITOJSLZ,X,X,X,O,X,X,X
ITOJSZL,X,X,O,O,X,X,X
ITOJZLS,X,X,O,O,X,X,X
ITOJZSL,X,X,O,O,X,X,X
ITOSLJZ,O,X,O,X,O,X,X
ITOSLZJ,O,X,O,O,O,X,X
ITOSJLZ,O,X,X,O,O,X,X
ITOSJZL,O,X,O,O,O,X,X
ITOSZLJ,O,X,O,O,O,X,X
ITOSZJL,O,X,O,X,O,X,X
ITOZLJS,O,X,O,O,X,X,X
ITOZLSJ,O,X,O,O,X,X,X
ITOZJLS,X,X,O,O,X,X,X
ITOZJSL,O,X,O,O,X,X,X
ITOZSLJ,O,X,O,O,O,X,X
ITOZSJL,O,X,O,X,O,X,X
ILTJSZO,O,X,O,O,X,X,X
ILTJSOZ,O,X,O,O,X,X,X
ILTJZSO,O,O,O,O,X,X,X
ILTJZOS,X,O,O,O,X,X,X
ILTJOSZ,X,X,O,O,X,X,X
ILTJOZS,X,O,O,O,X,X,X
ILTSJZO,O,X,O,O,O,X,X
ILTSJOZ,O,X,O,O,O,X,X
ILTSZJO,O,X,O,X,O,X,X
ILTSZOJ,O,X,O,X,O,X,X
ILTSOJZ,O,X,O,X,O,X,X
ILTSOZJ,O,X,O,O,O,X,X
ILTZJSO,O,O,O,O,X,X,X
ILTZJOS,X,O,O,O,X,X,X
ILTZSJO,O,O,O,X,O,X,X
ILTZSOJ,O,X,O,X,O,X,X
ILTZOJS,X,O,O,O,X,X,X
ILTZOSJ,O,X,O,O,X,X,X
ILTOJSZ,X,X,O,O,X,X,X
ILTOJZS,X,X,O,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X
ILTOSZJ,O,X,O,O,X,X,X
ILTOZJS,X,X,O,O,X,X,X
ILTOZSJ,O,X,O,O,X,X,X
ILJTSZO,O,X,O,O,X,X,X
ILJTSOZ,O,X,O,O,X,X,X
ILJTZSO,O,O,O,O,X,X,X
ILJTZOS,X,O,O,O,X,X,X
ILJTOSZ,X,X,O,O,X,X,X
ILJTOZS,X,O,O,O,X,X,X
ILJSTZO,O,X,X,O,X,X,X
ILJSTOZ,O,X,X,O,X,X,X
ILJSZTO,O,O,X,O,X,O,X
ILJSZOT,O,O,X,O,X,X,X
ILJSOTZ,O,X,X,O,X,X,X
ILJSOZT,O,O,X,O,X,X,X
ILJZTSO,O,O,O,O,X,O,X
ILJZTOS,X,O,O,O,X,X,X
ILJZSTO,O,O,O,O,X,O,X
ILJZSOT,O,O,X,O,X,X,X
ILJZOTS,X,O,O,O,X,X,X
ILJZOST,X,O,X,O,X,X,X
ILJOTSZ,X,X,O,O,X,X,X
ILJOTZS,X,O,O,O,X,X,X
ILJOSTZ,X,X,X,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X
ILJOZTS,X,O,O,O,X,X,X
ILJOZST,X,O,X,O,X,X,X
ILSTJZO,O,X,O,O,O,X,X
ILSTJOZ,O,X,O,O,O,X,X
ILSTZJO,O,X,O,X,O,X,X
ILSTZOJ,O,X,O,X,O,X,X
ILSTOJZ,O,X,O,X,O,X,X
ILSTOZJ,O,X,O,O,O,X,X
ILSJTZO,O,X,X,O,O,X,O
ILSJTOZ,O,X,X,O,O,X,O
ILSJZTO,O,O,X,O,X,O,O
ILSJZOT,O,O,X,O,X,X,X
ILSJOTZ,O,X,X,O,X,X,X
ILSJOZT,O,O,X,O,X,X,X
ILSZTJO,O,O,O,X,O,O,X
ILSZTOJ,O,X,O,X,O,O,X
ILSZJTO,O,O,O,X,X,O,O
ILSZJOT,O,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,X
ILSZOJT,O,X,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X
ILSOJTZ,O,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X
ILSOZTJ,O,X,O,O,X,X,X
ILSOZJT,O,X,X,X,X,X,X
ILZTJSO,O,O,O,O,X,X,X
ILZTJOS,X,O,O,O,X,X,X
ILZTSJO,O,O,O,X,O,O,X
ILZTSOJ,O,X,O,X,O,O,X
ILZTOJS,X,O,O,O,X,X,X
ILZTOSJ,O,X,O,O,X,X,X
ILZJTSO,O,O,O,O,X,O,X
ILZJTOS,X,O,O,O,X,X,X
ILZJSTO,O,O,O,O,X,O,X
ILZJSOT,O,O,X,O,X,X,X
ILZJOTS,X,O,O,O,X,X,X
ILZJOST,X,O,X,O,X,X,X
ILZSTJO,O,O,O,X,O,O,X
ILZSTOJ,O,X,O,X,O,O,X
ILZSJTO,O,O,O,X,X,O,O
ILZSJOT,O,O,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X
ILZSOJT,O,X,X,X,X,X,X
ILZOTJS,O,O,O,O,X,X,X
ILZOTSJ,O,X,O,O,X,X,X
ILZOJTS,O,O,O,O,X,X,X
ILZOJST,O,O,X,X,X,X,X
ILZOSTJ,O,X,O,O,X,X,X
ILZOSJT,O,X,X,X,X,X,X
ILOTJSZ,O,X,O,O,X,X,X
ILOTJZS,O,X,O,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X
ILOTSZJ,O,X,O,O,X,X,X
ILOTZJS,O,X,O,O,X,X,X
ILOTZSJ,O,X,O,O,X,X,X
ILOJTSZ,O,X,O,O,X,X,X
ILOJTZS,O,O,O,O,X,X,X
ILOJSTZ,O,X,X,O,X,X,X
ILOJSZT,O,O,X,O,X,X,X
ILOJZTS,O,O,O,O,X,X,X
ILOJZST,O,O,X,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X
ILOSJTZ,O,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X
ILOSZTJ,O,X,O,O,X,X,X
ILOSZJT,O,X,X,X,X,X,X
ILOZTJS,O,O,O,O,X,X,X
ILOZTSJ,O,X,O,O,X,X,X
ILOZJTS,O,O,O,O,X,X,X
ILOZJST,O,O,X,X,X,X,X
ILOZSTJ,O,X,O,O,X,X,X
ILOZSJT,O,X,X,X,X,X,X
IJTLSZO,X,X,O,O,X,X,X
IJTLSOZ,X,X,O,O,X,X,X
IJTLZSO,X,O,O,O,X,X,X
IJTLZOS,X,O,O,O,X,X,X
IJTLOSZ,X,X,O,O,X,X,X
IJTLOZS,X,O,O,O,X,X,X
IJTSLZO,X,X,X,O,O,X,X
IJTSLOZ,X,X,X,O,O,X,X
IJTSZLO,X,X,X,O,O,O,X
IJTSZOL,X,X,O,O,O,O,X
IJTSOLZ,X,X,X,O,O,X,X
IJTSOZL,X,X,O,O,O,X,X
IJTZLSO,X,O,O,O,X,O,X
IJTZLOS,X,O,O,O,X,X,X
IJTZSLO,X,X,X,O,O,O,X
IJTZSOL,X,O,O,O,O,O,X
IJTZOLS,X,O,O,O,X,X,X
IJTZOSL,X,O,O,O,X,O,X
IJTOLSZ,X,X,O,O,X,X,X
IJTOLZS,X,O,O,O,X,X,X
IJTOSLZ,X,X,X,O,X,X,X
IJTOSZL,X,X,O,O,X,X,X
IJTOZLS,X,O,O,O,X,X,X
IJTOZSL,X,O,O,O,X,X,X
IJLTSZO,O,X,O,O,X,X,X
IJLTSOZ,O,X,O,O,X,X,X
IJLTZSO,O,O,O,O,X,X,X
IJLTZOS,X,O,O,O,X,X,X
IJLTOSZ,X,X,O,O,X,X,X
IJLTOZS,X,O,O,O,X,X,X
IJLSTZO,O,X,X,O,X,X,X
IJLSTOZ,O,X,X,O,X,X,X
IJLSZTO,O,O,X,O,X,O,X
IJLSZOT,O,O,X,O,X,X,X
IJLSOTZ,O,X,X,O,X,X,X
IJLSOZT,O,O,X,O,X,X,X
IJLZTSO,O,O,O,O,X,O,X
IJLZTOS,X,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,O,X
IJLZSOT,O,O,X,O,X,X,X
IJLZOTS,X,O,O,O,X,X,X
IJLZOST,X,O,X,O,X,X,X
IJLOTSZ,X,X,O,O,X,X,X
IJLOTZS,X,O,O,O,X,X,X
IJLOSTZ,X,X,X,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X
IJLOZTS,X,O,O,O,X,X,X
IJLOZST,X,O,X,O,X,X,X
IJSTLZO,O,X,X,O,O,X,O
IJSTLOZ,O,X,X,O,O,X,O
IJSTZLO,O,X,X,O,O,O,O
IJSTZOL,O,X,X,O,O,O,O
IJSTOLZ,O,X,X,O,O,X,O
IJSTOZL,O,X,X,O,O,X,O
IJSLTZO,O,X,X,O,O,X,O
IJSLTOZ,O,X,X,O,O,X,O
IJSLZTO,O,O,X,O,X,O,O
IJSLZOT,O,O,X,O,X,X,X
IJSLOTZ,O,X,X,O,X,X,X
IJSLOZT,O,O,X,O,X,X,X
IJSZTLO,O,X,X,O,O,O,O
IJSZTOL,O,O,X,O,O,O,O
IJSZLTO,O,O,X,O,X,O,O
IJSZLOT,O,O,X,O,X,X,X
IJSZOTL,O,O,X,O,X,O,O
IJSZOLT,O,O,X,O,X,X,X
IJSOTLZ,O,X,X,O,O,X,O
IJSOTZL,O,X,X,O,O,X,O
IJSOLTZ,O,X,X,O,X,X,X
IJSOLZT,O,O,X,O,X,X,X
IJSOZTL,O,O,X,O,X,O,O
IJSOZLT,O,O,X,O,X,X,X
IJZTLSO,X,O,O,O,X,O,X
IJZTLOS,X,O,O,O,X,X,X
IJZTSLO,O,X,X,O,O,O,X
IJZTSOL,O,O,O,O,O,O,X
IJZTOLS,X,O,O,O,X,X,X
IJZTOSL,X,O,O,O,X,O,X
IJZLTSO,O,O,O,O,X,O,X
IJZLTOS,X,O,O,O,X,X,X
IJZLSTO,O,O,O,O,X,O,X
IJZLSOT,O,O,X,O,X,X,X
IJZLOTS,X,O,O,O,X,X,X
IJZLOST,X,O,X,O,X,X,X
IJZSTLO,O,X,X,O,O,O,O
IJZSTOL,O,O,O,O,O,O,O
IJZSLTO,O,O,O,O,X,O,O
IJZSLOT,O,O,X,O,X,X,X
IJZSOTL,O,O,X,O,X,O,O
IJZSOLT,O,O,X,O,X,X,X
IJZOTLS,X,O,O,O,X,X,X
IJZOTSL,O,O,O,O,X,O,X
IJZOLTS,O,O,O,O,X,X,X
IJZOLST,O,O,X,O,X,X,X
IJZOSTL,O,O,X,O,X,O,X
IJZOSLT,O,O,X,O,X,X,X
IJOTLSZ,X,X,O,O,X,X,X
IJOTLZS,X,O,O,O,X,X,X
IJOTSLZ,X,X,X,O,X,X,X
IJOTSZL,X,X,O,O,X,X,X
IJOTZLS,X,O,O,O,X,X,X
IJOTZSL,X,O,O,O,X,X,X
IJOLTSZ,O,X,O,O,X,X,X
IJOLTZS,O,O,O,O,X,X,X
IJOLSTZ,O,X,X,O,X,X,X
IJOLSZT,O,O,X,O,X,X,X
IJOLZTS,O,O,O,O,X,X,X
IJOLZST,O,O,X,O,X,X,X
IJOSTLZ,O,X,X,O,X,X,X
IJOSTZL,O,X,X,O,X,X,X
IJOSLTZ,O,X,X,O,X,X,X
IJOSLZT,O,O,X,O,X,X,X
IJOSZTL,O,O,X,O,X,O,X
IJOSZLT,O,O,X,O,X,X,X
IJOZTLS,X,O,O,O,X,X,X
IJOZTSL,O,O,O,O,X,O,X
IJOZLTS,O,O,O,O,X,X,X
IJOZLST,O,O,X,O,X,X,X
IJOZSTL,O,O,X,O,X,O,X
IJOZSLT,O,O,X,O,X,X,X
ISTLJZO,O,X,O,O,O,X,X
ISTLJOZ,O,X,O,O,O,X,X
ISTLZJO,O,X,O,X,O,X,X
ISTLZOJ,O,X,O,X,O,X,X
ISTLOJZ,O,X,O,X,O,X,X
ISTLOZJ,O,X,O,O,O,X,X
ISTJLZO,O,X,X,O,O,X,O
ISTJLOZ,O,X,X,O,O,X,O
ISTJZLO,O,X,X,O,O,O,O
ISTJZOL,O,X,O,O,O,O,O
ISTJOLZ,O,X,X,O,O,X,O
ISTJOZL,O,X,O,O,O,X,O
ISTZLJO,O,X,O,X,O,O,X
ISTZLOJ,O,X,O,X,O,O,X
ISTZJLO,O,X,X,X,O,O,O
ISTZJOL,O,X,O,X,O,O,O
ISTZOLJ,O,X,O,X,O,O,X
ISTZOJL,O,X,O,X,O,X,X
ISTOLJZ,O,X,O,X,O,X,X
ISTOLZJ,O,X,O,O,O,X,X
ISTOJLZ,O,X,X,O,O,X,X
ISTOJZL,O,X,O,O,O,X,X
ISTOZLJ,O,X,O,O,O,X,X
ISTOZJL,O,X,O,X,O,X,X
ISLTJZO,O,X,O,O,O,X,X
ISLTJOZ,O,X,O,O,O,X,X
ISLTZJO,O,X,O,X,O,X,X
ISLTZOJ,O,X,O,X,O,X,X
ISLTOJZ,O,X,O,X,O,X,X
ISLTOZJ,O,X,O,O,O,X,X
ISLJTZO,O,X,X,O,O,X,O
ISLJTOZ,O,X,X,O,O,X,O
ISLJZTO,O,O,X,O,X,O,O
ISLJZOT,O,O,X,O,X,X,X
ISLJOTZ,O,X,X,O,X,X,X
ISLJOZT,O,O,X,O,X,X,X
ISLZTJO,O,O,O,X,O,O,X
ISLZTOJ,O,X,O,X,O,O,X
ISLZJTO,O,O,O,X,X,O,O
ISLZJOT,O,O,X,X,X,X,X
ISLZOTJ,O,X,O,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X
ISLOJTZ,O,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X
ISLOZTJ,O,X,O,O,X,X,X
ISLOZJT,O,X,X,X,X,X,X
ISJTLZO,O,X,X,O,O,X,O
ISJTLOZ,O,X,X,O,O,X,O
ISJTZLO,O,X,X,O,O,O,O
ISJTZOL,O,X,X,O,O,O,O
ISJTOLZ,O,X,X,O,O,X,O
ISJTOZL,O,X,X,O,O,X,O
ISJLTZO,O,X,X,O,O,X,O
ISJLTOZ,O,X,X,O,O,X,O
ISJLZTO,O,O,X,O,X,O,O
ISJLZOT,O,O,X,O,X,X,X
ISJLOTZ,O,X,X,O,X,X,X
ISJLOZT,O,O,X,O,X,X,X
ISJZTLO,O,X,X,O,O,O,O
ISJZTOL,O,O,X,O,O,O,O
ISJZLTO,O,O,X,O,X,O,O
ISJZLOT,O,O,X,O,X,X,X
ISJZOTL,O,O,X,O,X,O,O
ISJZOLT,O,O,X,O,X,X,X
ISJOTLZ,O,X,X,O,O,X,O
ISJOTZL,O,X,X,O,O,X,O
ISJOLTZ,O,X,X,O,X,X,X
ISJOLZT,O,O,X,O,X,X,X
ISJOZTL,O,O,X,O,X,O,O
ISJOZLT,O,O,X,O,X,X,X
ISZTLJO,O,X,O,X,O,O,X
ISZTLOJ,O,X,O,X,O,O,X
ISZTJLO,O,X,X,X,O,O,O
ISZTJOL,O,O,O,X,O,O,O
ISZTOLJ,O,X,O,X,O,O,X
ISZTOJL,O,X,O,X,O,X,X
ISZLTJO,O,O,O,X,O,O,X
ISZLTOJ,O,X,O,X,O,O,X
ISZLJTO,O,O,O,X,X,O,O
ISZLJOT,O,O,X,X,X,X,X
ISZLOTJ,O,X,O,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X
ISZJTLO,O,X,X,X,O,O,O
ISZJTOL,O,O,O,X,O,O,O
ISZJLTO,O,O,O,X,X,O,O
ISZJLOT,O,O,X,X,X,X,X
ISZJOTL,O,O,X,X,X,O,O
ISZJOLT,O,O,X,X,X,X,X
ISZOTLJ,O,X,O,X,O,O,X
ISZOTJL,O,X,O,X,O,X,X
ISZOLTJ,O,X,O,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,O,O
ISZOJLT,O,X,X,X,X,X,X
ISOTLJZ,O,X,O,X,O,X,X
ISOTLZJ,O,X,O,O,O,X,X
ISOTJLZ,O,X,X,O,O,X,X
ISOTJZL,O,X,O,O,O,X,X
ISOTZLJ,O,X,O,O,O,X,X
ISOTZJL,O,X,O,X,O,X,X
ISOLTJZ,O,X,O,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X
ISOLJTZ,O,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X
ISOLZTJ,O,X,O,O,X,X,X
ISOLZJT,O,X,X,X,X,X,X
ISOJTLZ,O,X,X,O,O,X,O
ISOJTZL,O,X,X,O,O,X,O
ISOJLTZ,O,X,X,O,X,X,X
ISOJLZT,O,X,X,O,X,X,X
ISOJZTL,O,X,X,O,X,O,O
ISOJZLT,O,X,X,O,X,X,X
ISOZTLJ,O,X,O,O,O,O,X
ISOZTJL,O,X,O,X,O,X,X
ISOZLTJ,O,X,O,O,X,X,X
ISOZLJT,O,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,O,O
ISOZJLT,O,X,X,X,X,X,X
IZTLJSO,O,O,O,O,X,X,X
IZTLJOS,X,O,O,O,X,X,X
IZTLSJO,O,O,O,X,O,O,X
IZTLSOJ,O,X,O,X,O,O,X
IZTLOJS,X,O,O,O,X,X,X
IZTLOSJ,O,X,O,O,X,X,X
IZTJLSO,X,O,O,O,X,O,X
